masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem,prev found match,next found match,index
Nedarim,גליון אפרים,1,0,13a,$,,,,no ref,,Jerusalem Talmud Nedarim 4:1:2,88
Nedarim,גליון אפרים,1,0,17a,"@22(ושם בגמ') @11אם @33היתה חצר חלוקה וכו'. מכאן ראיה לדעת הרמב""ם פ""ז מה""נ דלאחר חלוקה שרי ודלא כמ""ש הרשב""א ומביאו הר""ן דף מ""ו ע""ב. ותמהני שלא הביאו הראשונים דברי הירושלמי. ומלבד הטעם שכתבתי בקונט' והוא מדברי הר""ן נ""ל עוד טעם אחר דלא דמיא ברירה דהכא לשאר ברירות בש""ס דאפי' אם נאמר שזהו חלק חבירו מ""מ אינו מהנהו שהרי אינו נוטל יותר ממה שהיה מגיע על חלקו:",ושם בגמ',,,no ref,Jerusalem Talmud Nedarim 5:1:1,Jerusalem Talmud Nedarim 5:1:2,105
Nedarim,גליון אפרים,1,0,17b,"@11נצרכא @33לראב""י. נראה דמכאן למדו הרמב""ם וטור דאף לראב""י אסורי' בהעמדת ריחים ע""ש:","נצרכא לראב""י",,,no ref,Jerusalem Talmud Nedarim 5:1:2,Jerusalem Talmud Nedarim 5:1:3,110
Nedarim,גליון אפרים,1,0,18b,"@11מפני @33שאמר זה וכו'. בב""ק שם הגירסא אר""י תנינן בניזקין מה דלא תנינן בנדרים קונם הניית נכסיי אלו עלי בחיי ובמותי כיון שאמר אלו אסרן עליו בין בחיי' בין לאחר מיתה ע""כ ותימא הא גדולה מזו תנן בנדרים דאפילו באומר זה לחוד אסרן בין מחיי' בין לאחר מיתה. ולפי הגהתי בקונט' ניחא דאשמועי' התם בחיי ובמותי הוה כאומר אלו. אך קשה איך מדמה מתני' דהכא למתני' דהתם דהכא איסר על עצמו שכן אדם יכול לאסור' אנפשי' בין דבר שהוא שלו בין דבר שהוא של אחרים משא""כ התם שאוסר על אחרים איכא לספוקי אם יכול לאסור דבר שברשותו לכשיצא מרשותו. ועיין בבבלי דף מ""ז:",מפני שאמר זה וכו',,,no ref,Jerusalem Talmud Nedarim 5:3:3,Jerusalem Talmud Nedarim 5:4:3,118
Nedarim,גליון אפרים,1,0,23a,"@11ת""ר @33וידבר משה וגו'. בת""כ מייתי להך דרשא בריש הפרשה ופי' בק""א דכתיב דבר אל בני ישראל וגו' והאי בני ישראל מיותר דכבר כתיב וידבר ה' אל משה לאמר והיינו לאמר לישראל ע""ש. והדבר תימא הלא אורחי' דקרא לומר כן ובכל המקומות ממעטינן עבדי' כמפורש בריש ת""כ ובכמה מקומות שם. אבל הפי' הנכון שכוונת הת""כ בני ישראל דכתיב בקרא דוידבר משה הוא מיותר וכמפורש בסוגיין וכמ""ש בקונט':","ת""ר וידבר משה וגו'",,,no ref,Jerusalem Talmud Nedarim 6:8:9,Jerusalem Talmud Nedarim 6:8:11,150
Nedarim,גליון אפרים,1,0,23a,"@11ודבר @33ה' מירושלים. נראה דאעיבור שני' וחדשי' קאי שהקב""ה מסכים על יד ב""ד כדאמרינן לקמן בשמעתין אקרא לאלקים עליון לאל גומר עלי וכ""מ בבבלי סוף מסכ' ברכות דמסיי' אמעשה דחנני' וכל כך למה משום דכתיב כי מציון חצא תורה ודבר ה' מירושלים:",ודבר ה' מירושלים,,,no ref,Jerusalem Talmud Nedarim 6:8:11,Jerusalem Talmud Nedarim 6:8:14,152
Nedarim,גליון אפרים,1,0,28a,"@11דרגש @33נזקפת אינה נכפית. בקונט' פירשתי נזקפת על צדה וכ""פ רש""י והר""ן במ""ק. והרא""ש כתב בפירושו דרגש לא היה כופהו אלא זוקפו כלו' מניחו כמו שהוא זקוף וא""ל זוקפו על צדו דא""כ הל""ל זוקפו ודיו כדאמרינן לקמן גבי מטה שנקליטיה יוצאין ועוד לקמן ניחא שמן הדין צריכה כפי' אלא שאינו יכול מפני הנקליטין אבל הכא יכפה אם היא טעונה כפי' ואם אינה טעונה למה צריך לזקפה ע""כ. הנה הראיה הראשונה קשיא אדמסייע ממימרא דר' יעקב תיקשי ליה מברייתא גופא לפירושו ליתני א""צ לכפותו ותו לא כדתניא בסיפא גבי מעה המיוחד' לכלים. ומאי דקשיא ליה יכפה אם היא טעונה כפי' י""ל דסגי בזקיפתו שניכר בזה כפייתו משא""כ בשאר מטות ועוד מדקאמר רשב""א שומט קלמנטרין שלה ודיו משמע דלהקל על הת""ק קאתי ואס""ד דת""ק אינו מצריך כפיי' כלל רשב""א להחמיר קאתי א""כ מאי ודיו דקאמר. גם מ""ש הנ""י במ""ק רשב""א אומר מתיר קרביטיו לא סגי ליה בזקיפה אלא מתיר הקשירה שבין הירועות והאמצעי ומיד הוא נופל לארץ והזרועות עומדים במקומן ע""כ. משמע מדבריו שרשב""א מתמי' וקשה הרי מפור' כאן שרשב""א מיקל מדקאמר דיו וצ""ע:",דרגש נזקפת אינה נכפית,,,no ref,Jerusalem Talmud Nedarim 7:2:3,,165
Nedarim,גליון אפרים,1,0,28a,"@11מטה @33שנקליטיה עולין וכו'. עמ""ש במ""ק דף ו' ע""ב בתו' בד""ה מטה וכו':",מטה שנקליטיה עולין וכו',,,no ref,,,166
Nedarim,גליון אפרים,1,0,28b,"@11הוה @33יריחו. כתב בי""מ פי' יריחו ממש הוה ול""ק לי' מיריחו סוגרת ומסוגרת דאפשר מעשה היה אחר כבישה ואין מוקדם ומאוחר בתורה ע""כ ומלבד שדוחק לומר אין מוקדם וכו' כמ""ש תו' בפסחים אלא לפי פי' עיקר חסר מן הספר לכך נ""ל פי' בקונט' עיקר:",הוה יריחו,,,no ref,,,167
Nedarim,גליון אפרים,1,0,28b,"@11ייבא @33כיי וכו' עד ג' גרנות אסורים והרביעית מותרת. גרסי' בבבלי דף נ""ט ע""ב אר""י בצל של תרומה שנטעו ורבו גידוליו על עיקרו מותר ומוקי ליה בגידולי גידולין בדבר שאין זרעו כלה ופריך והתנינן טבל גידולי גידולין אסורי' בדבר שאין זרעו כלה וכו' ע""ש. וקשה אמאי לא מוקי לה בגידולי גידולין בגורן הרביעי דשרי. והרמב""ם פ""ו מה' מעשרות פסק כן דגורן הרביעי מותר. וא""ל ר' ינאי סתמא קאמר דהא כי היכי דמוקי ליה בגידולי גידולין אפשר לאוקמי נמי בגורן הרביעי וצ""ע:",ייבא כיי וכו' עד ג' גרנות אסורים,,,no ref,,,168
Nedarim,גליון אפרים,1,0,28b,@99הדרן עלך פרק הנודר מן הירק,,,,no ref,,,169
Nedarim,גליון אפרים,1,0,28b,$,,,,no ref,,Jerusalem Talmud Nedarim 8:1:2,170
Nedarim,גליון אפרים,1,0,26a,"@22(ושם) @11הדא @33אמרה ניסן ר""ה לנדרים. בבבלי דף ס' גרסי' ת""ש קונם יין שאני טועם השנה נתעברה השנה אסור בה ובעיבורה ה""ד אילימא כדקתני למה לי למימרא. וקשה דלמא קמ""ל דניסן ר""ה לנדרים י""ל דס""ל לבבלי לכ""ע בנדרים הלך אחר לשון בני אדם כמפורש שם דף מ""ט ובבבלי בר""ה דף י""ב גרסי' ואימא ניסן בנדרים הלך אחר לשון בני אדם הלכך ליכא לפרושי מתני' הכי:",ושם,,,no ref,Jerusalem Talmud Nedarim 8:1:2,Jerusalem Talmud Nedarim 8:1:5,173
Nedarim,גליון אפרים,1,0,27b,"@11רשב""ג @33אומר עד שיגיע זמנה של רביעה שניי'. כל הפוסקים פסקו כת""ק והקשה הב""י בי""ד סימן ר""ך אמאי הא קיי""ל כל מקום ששנה רשב""ג במשנתינו הלכה כמותו ותירץ מדאר""ז מחלוקת דאמר עד הגשמים וכו' וההיא לת""ק איצטרך וכו' משמע דהלכתא כוותי' וכ""כ בכ""מ. ותימא הא לפמ""ש דהרמב""ם מפרש לדר""ז באומר עד הגשם אם ירדו גשמים ברביעה ראשונה מותר א""כ אף לרשב""ג איצטר' וצ""ע. ובעיקר הקושיא תמה אני איך נעלם ממאור עינינו משנה מפורשת פ""ט דשביעי' המודר הנאה מחבירו עד הגשמים עד שתרד רביעה שנייה ופסקו כהך סתמא. וא""ת ה""ל כסתם ואח""כ מחלוק' ואין הלכה כסתם י""ל הא בתרי מסכתות קיי""ל דאין סדר למשנה וכיון דיש לספק אזלינן לחומרא כת""ק. ועיין ברא""ש ריש מס' ברכות. ובי""ד סימן ו'. והא דאר""י הלכה כרשב""ג חוץ מערב וכו' היינו דבערב וכו' אין הלכה כרשב""ג אע""ג דליכא סתמא דתנן דלא כרשב""ג. ועיין בתוי""ט. ואין צורך למה שדחק שם:","רשב""ג אומר עד שיגיע זמנה של רביעה",,,no ref,Jerusalem Talmud Nedarim 8:4:2,Jerusalem Talmud Nedarim 8:5:1,186
Nedarim,גליון אפרים,1,0,29b,"@11וכי @33מתים היו וכו' אלא שירדו מנכסיהם. וקשה הא אמרי' בסמוך דעניות לאו נולד הוא שהעניות מצוי' וע""ק למה ליה למידק וכי מתים היו אדרבה אם נאמר מתו ממש טפי איכא למידק דפותחין בנולד דמיתה לא שכיחא לכך נראה דה""ג ורבנין וכי מתים היו וה""פ דפריך לרבנן ונילף ממשה ומשני וכי מתים היו וכו' אלא שירדו מנכסיהם א""כ ליכא למילף מהתם דעניות מצוי' ולאו כנולד הוא. וכתב הר""ן דליכא למימר שנעשו סומין או מצורעין שאף הן חשובין כמתים דהא כתי' במחלקתו של קרח העיני האנשים ההם תנקר וכתיב בקרב המחנה ומצורע טעון שילוח ע""ש. וקשה דלמא באותו זמן היו סומין ומצורעין ונתרפאו אח""כ בדרך הטבע ונראה דסומין ומצורעין ליכא למימר דלאו פתח הוא שהרי איכא למיחש אולי נתרפאו כאשר הי' באמת לפי סברא זו אבל אחרי שנתבזו בעניות ליכא למיחש מידי:",וכי מתים היו וכו' אלא שירדו מנכסיהם,,,no ref,Jerusalem Talmud Nedarim 9:2:1,Jerusalem Talmud Nedarim 9:2:3,208
Nedarim,גליון אפרים,1,0,33a,"@11היו @33תהיה אפי' מאה הויות. וא""ת מנ""ל לר""א הא שאביה ובעלה האחרון מפירין נדריה דהא מוקי לקרא ואם היו תהיה לרבות בוגרת וי""ל דרבוי הויו' יליף מהיו לחוד וכמ""ש בקונט' ותהי' לרבות בוגרת. וכה""ג מצינו בב""מ פ""ב דדרשי' מהשב אפי' מאה פעמים ותשיבם לרבות אפי' השבה דלאו מעליותא כגון לגינתו ולחורבתו ועיי' בתי""ט שם משנה ט'. ובבבלי בפרקין דף ע""א גרסי' מנ""ל דארוס אחרון מיפר נדרים שנראו לארוס ראשון אמר שמואל א""ק ונדריה עליה האי עליה קרא יתירא הוא למדרש נדרים שהיו עליה כבר. וקשה ל""ל עליה תיפוק ליה מדכתיב היו וכדדרשינן כאן והאי דרשא רווחת היא בכולא תלמודא וא""ל דאיצטרך עליה דמיפר אפי' נדרים שנראו לארוס ראשון דודאי לנדרים שלא נראו לארוס ראשון לא צריכין קרא מ""ש ראשון משני וצ""ע:",היו תהיה אפי' מאה הויות,,,no ref,Jerusalem Talmud Nedarim 10:4:1,Jerusalem Talmud Nedarim 10:4:2,236
Nedarim,גליון אפרים,1,0,33b,"@11דברי @33חכמים אריב""א וכו'. וקשה הא מתני' היא וחכ""א אין הבעל מיפר וכו' וי""ל דסד""א חכמים מוסיפים על דר""א דלאו במזונות לחוד תליא מילתא אלא אף בכניסת רשות ונפקא מיניה אם אביה זן אותה לאחר הנישואין אין הבעל יכול להפר לבדו קמ""ל דטעמא דחכמים שאין הדבר תלוי כלל במזונות ונכון הוא:","דברי חכמים אריב""א וכו'",,,no ref,Jerusalem Talmud Nedarim 10:4:2,Jerusalem Talmud Nedarim 10:5:2,238
Nedarim,גליון אפרים,1,0,39a,"@11מה @33כן אר""מ ור""י כמשנה הראשונה וכו'. עיי' בקונט'. וקשה מנ""ל דלפי משנה האחרונה תצא שלא בכתובה דלמא א""ב דלמשנה הראשונה כופין אותו להוציא וכמ""ש המפרשים משא""כ למשנה האחרונה ולפ""ז אתיא כולא מתני' ככ""ע וי""ל דירושלמי מפרש למתני' כפשטא דרישא איירי בשלא הפר ביום שמעו לכך יוציא ויתן כתובה אבל כשהפר ביום שמעו מותרת לכל אדם (ועיי' בר""ן דף פ""ב ע""ב) ולמשנה אחרונה קנסו אותה שלא יפר אלא חלקו ותהא נטולה מן היהודים. והשתא כולא סוגיין מתפרשת יפה. מיהו הבבלי לית לי' הנך שינויי דמשנינך הכא. דאל""כ לא הוה צריך לדחוקי בר""פ המדיר ולאיקמי מתני' דלא כר""מ דה""מ לחלק בין נדר דנזירות ובין שאר נדרים ומן התימא על הרא""ש בפירושו דמקשה ממשנה הראשונה אמ""ד היא נתנה וכו' ולא הביא דברי הירושלמי. ועוד הא אוקימנא לכולא פרקין כר' יוסי ובכתובות שם מסיק דר' יוסי סובר הוא נותן וכו' וצ""ע:","מה כן אר""מ ור""י כמשנה הראשונה וכו'",,,no ref,Jerusalem Talmud Nedarim 11:10:2,,270
Nedarim,גליון אפרים,1,0,39a,@99הדרן עלך פרק אלו נדרים וסליקא לה מסכת נדרים,,,,no ref,,,271
