Ref,Text
Genesis 17:20,"As for Ishmael, I have heeded you.<sup>*</sup><i class='footnote'><b>I have heeded you </b>Heb. <i>shema‘tikha</i>, play on “Ishmael.”</i> I hereby bless him. I will make him fertile and exceedingly numerous. He shall be the father of twelve chieftains, and I will make of him a great nation."
Genesis 18:2,"Looking up, he saw three figures<sup>*</sup><i class='footnote'><b>figures </b>Lit. “participants whose involvement defines the depicted situation.” Or “agents [of the divine],” as the notice of the advent of divine communication in v. 1 (see previous note) implies an agency situation that casts these participants in their defining role as agents. Trad. “men.” Cf. Rashbam, Ramban; see further the Dictionary under <i>’ish</i>; Agent.</i> standing near him. Perceiving this, he ran from the entrance of the tent to greet them and, bowing to the ground,"
Genesis 18:6,"Abraham hastened into the tent to Sarah, and said, “Quick, three <i>seah</i>s of choice flour! Knead and make cakes!”"
Genesis 18:10,"Then one said, “I will return to you next year,<sup>*</sup><i class='footnote'><b>next year </b>Heb. <i>ka-‘et ḥayyah</i>; cf. Gen. 17.21; 2 Kings 4.16–17.</i> and your wife Sarah shall have a son!” Sarah was listening at the entrance of the tent, which was behind him."
Genesis 18:11,"Now Abraham and Sarah were old, advanced in years; Sarah had stopped having her periods.<sup>*</sup><i class='footnote'><b>her periods </b>Heb. <i>’oraḥ ka-nashim</i>, lit. “the way of women”; NJPS “the periods of women.” (Perhaps, in light of Akkadian <i>’arḥu</i> “month,” the lit. meaning is actually “women’s menses.”)</i> "
Genesis 18:12,"And Sarah laughed to herself, saying, “Now that I’ve lost the ability,<sup>*</sup><i class='footnote'><b>I’ve lost the ability </b>Precise force of Heb. <i>veloti</i> uncertain. NJPS “I am withered,” trad. “I am waxed old.”</i> am I to have enjoyment—with my husband so old?”"
Genesis 19:4,"They had not yet lain down, when the town council [and] the militia of Sodom<sup>*</sup><i class='footnote'><b>town council [and] the militia of Sodom </b>Cf. Gen. 34.20, Josh. 7.4–5, and Judg. 20.2. Heb. <i>we-’anshe ha-‘ir ’anshe sedom</i>; NJPS “the townspeople, the men of Sodom,” trad. “the men of the city, the men of Sodom.”</i> —insignificant and influential alike,<sup>*</sup><i class='footnote'><b>insignificant and influential alike </b>NJPS “young and old,” trad. “both young and old”; Heb. <i>mi-na‘ar we-‘ad zaqen</i>. See the Dictionary under <i>na‘ar</i> and “elders.”</i> the whole assembly without exception—gathered about the house."
Genesis 19:5,"And they shouted to Lot and said to him, “Where are the ones<sup>*</sup><i class='footnote'><b>ones </b>Lit. “participants whose involvement defines the depicted situation.” NJPS “men.” See the Dictionary under <i>’ish</i>.</i> who came to you tonight? Bring them out to us, that we may be intimate with<sup>*</sup><i class='footnote'><b>be intimate with </b>I.e., humiliate.</i> them.”"
Genesis 19:9,"But they said, “Stand back! The fellow,” they said, “came here as an alien, and already he acts the ruler! Now we will deal worse with you than with them.” And they pressed hard against that householder<sup>*</sup><i class='footnote'><b>against that householder </b>Heb. <i>ba-’ish</i>; NJPS “against the person [of Lot],” trad. “upon the man.” See the Dictionary under <i>’ish</i>.</i> —against Lot—and moved forward to break the door."
Genesis 19:11,"And the people<sup>*</sup><i class='footnote'><b>people </b>So NJPS; lit. “[other] participants whose involvement defines the depicted situation.” Trad. “men.” See the Dictionary under <i>’ish</i>.</i> who were at the entrance of the house, low and high alike,<sup>*</sup><i class='footnote'><b>low and high alike </b>Cf. note at v. 4. Heb. <i>mi-katon we-‘ad gadol</i>; NJPS “young and old,” trad. “both small and great.”</i> they struck with blinding light, so that they were helpless to find the entrance."
Genesis 19:22,"Hurry, flee there, for I cannot do anything until you arrive there.” Hence the town came to be called Zoar.<sup>*</sup><i class='footnote'><b>Zoar </b>Connected with <i>miṣ‘ar</i> “a little place,” v. 20.</i> "
Genesis 19:37,The older one bore a son and named him Moab;<sup>*</sup><i class='footnote'><b>Moab </b>As though <i>me-’ab</i> “from (my) father.”</i> he is the father of the Moabites of today.
Genesis 19:38,"And the younger also bore a son, and she called him Ben-ammi;<sup>*</sup><i class='footnote'><b>Ben-ammi </b>As though “son of my (paternal) kindred.” See further the Dictionary under <i>‘am</i>.</i> he is the father of the Ammonites of today."
Genesis 20:8,"Early next morning, Abimelech called his servants and told them all that had happened; and they<sup>*</sup><i class='footnote'><b>they </b>Lit. “the [salient] participants.” See the Dictionary under <i>’ish</i>.</i> were greatly frightened."
Genesis 22:13,"When Abraham looked up, his eye fell upon a<sup>*</sup><i class='footnote'><b>a </b>Reading <i>’eḥad</i> with many Heb. mss. and ancient versions; text <i>’aḥar</i> “after.”</i> ram, caught in the thicket by its horns. So Abraham went and took the ram and offered it up as a burnt offering in place of his son."
Genesis 22:14,"And Abraham named that site Adonai-yireh,<sup>*</sup><i class='footnote'><b>Adonai-yireh </b>I.e., “יהוה will see”; cf. v. 8.</i> whence the present saying, “On the mount of יהוה there is vision.”<sup>*</sup><i class='footnote'><b>On the mount of יהוה there is vision </b>Heb. <i>be-har y-h-w-h yera’eh</i>.</i> "
Genesis 23:7,"Thereupon Abraham bowed low to the landowning citizens,<sup>*</sup><i class='footnote'><b>landowning citizens </b>Heb. <i>‘am ha-’areṣ</i>; lit. “people of the land.” See the Dictionary under <i>‘am</i>.</i> the Hittites,"
Genesis 24:21,"The man,<sup>*</sup><i class='footnote'><b>man </b>Or “agent.” Lit. “participant whose involvement defines the depicted situation.” See note at 18.2 and the Dictionary under <i>’ish</i>; Agent.</i> meanwhile, stood gazing at her, silently wondering whether יהוה had made his errand successful or not."
Genesis 24:22,"When the camels had finished drinking, the man took a gold nose-ring weighing a half-shekel,<sup>*</sup><i class='footnote'><b>half-shekel </b>Heb. <i>beqa‘</i>.</i> and two gold bands for her arms, ten shekels in weight."
Genesis 24:25,"And she went on, “There is plenty of straw<sup>*</sup><i class='footnote'><b>straw </b>Heb. <i>teben</i>, shredded straw, which in the East is mixed with feed; cf. v. 32.</i> and feed at home, and also room to spend the night.”"
Genesis 24:32,"So the man entered the house, and the camels were unloaded. The camels were given straw and feed, and water was brought to bathe his feet and the feet of the entourage<sup>*</sup><i class='footnote'><b>entourage </b>Lit. “participants”; trad. “men.” See Dictionary under <i>’ish</i>.</i> under him."
Genesis 24:63,"And Isaac went out walking<sup>*</sup><i class='footnote'><b>walking </b>Meaning of Heb. <i>lasuaḥ</i> uncertain; others “to meditate.”</i> in the field toward evening and, looking up, he saw camels approaching."
Genesis 25:25,"The first one emerged red, like a hairy mantle all over; so they named him Esau.<sup>*</sup><i class='footnote'><b>Esau </b>Synonym of “Seir,” play on Heb. <i>se‘ar</i> “hair.”</i> "
Genesis 25:26,"Then his brother emerged, holding on to the heel of Esau; so they named him Jacob.<sup>*</sup><i class='footnote'><b>Jacob </b>Play on Heb. <i>‘aqeb</i> “heel.”</i> Isaac was sixty years old when they were born."
Genesis 25:27,"When the boys grew up, Esau became a skillful hunter, a man of the outdoors; but Jacob became a mild man, raising livestock.<sup>*</sup><i class='footnote'><b>raising livestock </b>Heb. <i>yoshev ’ohalim</i>; NJPS “who stayed in camp,” lit. “a sitter in tents.” The idiom for a pastoralist; cf. 4.20.</i> "
Genesis 25:30,"And Esau said to Jacob, “Give me some of that red stuff to gulp down, for I am famished”—which is why he was named Edom.<sup>*</sup><i class='footnote'><b>Edom </b>Play on Heb. <i>’adom</i> “red.”</i> "
Genesis 26:7,"When the local leaders<sup>*</sup><i class='footnote'><b>local leaders </b>Or “locals.” Heb. <i>’anshe ha-maqom</i>; NJPS “the men of the place.” Cf., e.g., Gen. 34.20; Judg. 8.15–17. See the Dictionary under <i>’ish</i>.</i> asked him about his wife, he said, “She is my sister,” for he was afraid to say “my wife,” thinking, “The local leaders might kill me on account of Rebekah, for she is beautiful.”"
Genesis 26:10,"Abimelech said, “What have you done to us! One of the men<sup>*</sup><i class='footnote'><b>men </b>NJPS “people.” See the Dictionary under <i>‘am</i>.</i> might have lain with your wife, and you would have brought guilt upon us.”"
Genesis 26:22,"He moved from there and dug yet another well, and they did not quarrel over it; so he called it Rehoboth, saying, “Now at last יהוה has granted us ample space<sup>*</sup><i class='footnote'><b>ample space </b>Heb. <i>hirḥib</i>, connected with “Rehoboth.”</i> to increase in the land.”"
Genesis 27:15,"Rebekah then took the best clothes of her older son Esau, which were there<sup>*</sup><i class='footnote'><b>there </b>Or “in her charge”—an acknowledgment of authority; Heb. <i>’itah</i>, lit. “with her.”</i> in the house, and had her younger son Jacob put them on;"
Genesis 27:36,"[Esau] said, “Was he, then, named Jacob that he might supplant<sup>*</sup><i class='footnote'><b>supplant </b>Heb. <i>‘aqab</i>, connected with “Jacob.”</i> me these two times? First he took away my birthright and now he has taken away my blessing!” And he added, “Have you not reserved a blessing for me?”"
Genesis 28:12,"He had a dream; a stairway<sup>*</sup><i class='footnote'><b>stairway </b>Or “ramp”; others “ladder.” Heb. <i>sullam</i>.</i> was set on the ground and its top reached to the sky, and messengers of God were going up and down on it."
Genesis 29:22,"And Laban gathered all the people of the place<sup>*</sup><i class='footnote'><b>people of the place </b>Or “the locals” or “the local dignitaries,” whose presence clearly validated a marriage; Heb. <i>’anshe ha-maqom</i>. See the Dictionary under <i>’ish</i>.</i> and made a feast."
Genesis 29:32,"Leah conceived and bore a son, and named him Reuben;<sup>*</sup><i class='footnote'><b>Reuben </b>Understood as “See a son.”</i> for she declared, “It means: ‘יהוה has seen<sup>*</sup><i class='footnote'><b>has seen </b>Heb. <i>ra’ah</i>, connected with the first part of “Reuben.”</i> my affliction’; it also means: ‘Now my husband will love me.’”<sup>*</sup><i class='footnote'><b>will love me </b>Heb. <i>ye’ehabani</i>, connected with the end of “Reuben.”</i> "
Genesis 29:33,"She conceived again and bore a son, and declared, “This is because יהוה heard<sup>*</sup><i class='footnote'><b>heard </b>Heb. <i>shama‘</i>, connected with “Simeon.”</i> that I was unloved and has given me this one also”; so she named him Simeon."
Genesis 29:34,"Again she conceived and bore a son and declared, “This time my husband will become attached<sup>*</sup><i class='footnote'><b>will become attached </b>Heb. <i>yillaweh</i>, connected with “Levi.”</i> to me, for I have borne him three sons.” Therefore he was named Levi."
Genesis 29:35,"She conceived again and bore a son, and declared, “This time I will praise<sup>*</sup><i class='footnote'><b>I will praise </b>Heb. <i>’odeh</i>, connected with “Judah.”</i> יהוה.” Therefore she named him Judah. Then she stopped bearing."
Genesis 30:6,"And Rachel said, “God has vindicated me;<sup>*</sup><i class='footnote'><b>has vindicated me </b>Heb. <i>dananni</i>, connected with “Dan.”</i> indeed, [God] has heeded my plea and given me a son.” Therefore she named him Dan."
Genesis 30:8,"And Rachel said, “A fateful contest I waged<sup>*</sup><i class='footnote'><b>A fateful contest I waged </b>Heb. <i>naphtule … naphtalti</i>, connected with “Naphtali.” Lit. “A contest of God….”</i> with my sister; yes, and I have prevailed.” So she named him Naphtali."
Genesis 30:11,"Leah said, “What luck!”<sup>*</sup><i class='footnote'><b>What luck! </b>So the <i>kethib</i>, which reads <i>begad</i>; the <i>qere</i> reads <i>ba’ gad</i> “luck has come”; connected with “Gad.”</i> So she named him Gad."
Genesis 30:13,"Leah declared, “What fortune!”<sup>*</sup><i class='footnote'><b>What fortune! </b>Heb. <i>be’oshri</i>, connected with “Asher.”</i> meaning, “Women will deem me fortunate.” So she named him Asher."
Genesis 30:18,"And Leah said, “God has given me my reward<sup>*</sup><i class='footnote'><b>my reward </b>Heb. <i>sekhari</i>, connected with “Issachar.”</i> for having given my maid to my husband.” So she named him Issachar."
Genesis 30:20,"Leah said, “God has given me a choice gift;<sup>*</sup><i class='footnote'><b>has given me a choice gift </b>Heb. <i>zebadani … zebed</i>.</i> this time my husband will exalt me,<sup>*</sup><i class='footnote'><b>will exalt me </b>Heb. <i>yizbeleni</i>; others “will dwell with me.”</i> for I have borne him six sons.” So she named him Zebulun."
Genesis 30:23,"She conceived and bore a son, and said, “God has taken away<sup>*</sup><i class='footnote'><b>has taken away </b>Heb. <i>’asaph</i>, connected with “Joseph.”</i> my disgrace.”"
Genesis 30:24,"So she named him Joseph, which is to say, “May יהוה add<sup>*</sup><i class='footnote'><b>add </b>Heb. <i>yoseph</i>, connected with “Joseph.”</i> another son for me.”"
Genesis 31:28,"You did not even let me kiss my sons and daughters<sup>*</sup><i class='footnote'><b>sons and daughters </b>So NJPS; Heb. <i>levanai we-livnotai</i>, a stock phrase (see, e.g., 46.15; 1 Sam. 30.6; Neh. 5.5) that means “progeny,” thus including grandchildren.</i> good-by! It was a foolish thing for you to do."
Genesis 31:42,"Had not the God of my father’s [house]—the God of Abraham and the Fear<sup>*</sup><i class='footnote'><b>Fear </b>Meaning of Heb. <i>paḥad</i> uncertain.</i> of Isaac—been with me, you would have sent me away empty-handed. But it was my plight and the toil of my hands that God took notice of—and gave judgment on last night.”"
Genesis 31:49,"and [it was called] Mizpah, because he said, “May יהוה watch<sup>*</sup><i class='footnote'><b>watch </b>Heb. <i>yiṣeph</i>, associated with <i>Mizpah</i>.</i> between you and me, when we are out of sight of each other."
Genesis 31:50,"If you ill-treat my daughters or take other wives besides my daughters—though no one else<sup>*</sup><i class='footnote'><b>one else </b>Or “participant,” i.e., one of the witnesses to this agreement, who is thereby authorized to intervene if it is violated; cf. Kimhi, and see the Dictionary under <i>’ish</i>.</i> be about, remember, it is God who will be witness between you and me.”"
Genesis 31:53,May the God of Abraham’s [house] and the god of Nahor’s [house]”—their ancestral deities—“judge between us.” And Jacob swore by the Fear<sup>*</sup><i class='footnote'><b>Fear </b>Meaning of Heb. <i>paḥad</i> uncertain.</i> of his father Isaac’s [house].
Genesis 32:3,"When he saw them, Jacob said, “This is God’s camp.” So he named that place Mahanaim.<sup>*</sup><i class='footnote'><b>Mahanaim </b>Connected with Heb. <i>maḥaneh</i> “camp.”</i> "
Genesis 32:7,"The messengers returned to Jacob, saying, “We came to your brother Esau; he himself is coming to meet you, and his retinue<sup>*</sup><i class='footnote'><b>retinue </b>Trad. “men,” yet women may be in view. See 33.15; cf. 24.59; contrast Judg. 9.49 with Exod. 32.28. See further the Dictionary under <i>’ish</i>.</i> numbers four hundred.”"
Genesis 32:23,"That same night he arose, and taking his two wives, his two maidservants, and his eleven sons,<sup>*</sup><i class='footnote'><b>sons </b>NJPS “children”; Heb. <i>yeladim</i>. Given the specified number, the reference cannot include Jacob’s daughter(s). English idiom warrants the greater gender specificity.</i> he crossed the ford of the Jabbok."
Genesis 32:25,Jacob was left alone. And a figure<sup>*</sup><i class='footnote'><b>figure </b>Or “[divine] agent.” The expectation of divine intervention (see 28.15; 32.10–13) via a nearby agent (see 32.2–3) evokes this extended sense. Cf. 18.2; see further the Dictionary under <i>’ish</i>; Agent.</i> wrestled with him until the break of dawn.
Genesis 32:29,"Said he, “Your name shall no longer be Jacob, but Israel, for you have striven<sup>*</sup><i class='footnote'><b>striven </b>Heb. <i>saritha</i>, connected with first part of “Israel.”</i> with beings divine and human,<sup>*</sup><i class='footnote'><b>beings divine and human </b>Or “God (<i>Elohim</i>, connected with second part of ‘Israel’) and human beings.”</i> and have prevailed.”"
Genesis 33:1,"Looking up, Jacob saw Esau coming, with a retinue<sup>*</sup><i class='footnote'><b>retinue </b>See note at 32.7.</i> of four hundred. He divided the children<sup>*</sup><i class='footnote'><b>children </b>Heb. <i>yeladim</i>, referring here only to Jacob’s sons (see 32.23) in anticipation of their becoming the progenitors of Israel’s tribes; and so through v. 14.</i> among Leah, Rachel, and the two maids,"
Genesis 33:19,"The parcel of land where he pitched his tent he purchased from the kin of Hamor, Shechem’s father, for a hundred <i>kesitah</i>s.<sup>*</sup><i class='footnote'><b>kesitahs </b>Heb. <i>qesiṭah</i>, a unit of unknown value.</i> "
Genesis 34:2,"Shechem son of Hamor the Hivite, chief of the country, saw her, and took her and lay with her and disgraced her.<sup>*</sup><i class='footnote'><b>and disgraced her </b>Heb. <i>wa-y‘anneha</i>, lit. “and violated her.” NJPS “by force,” but whether Dinah consented is not stated, and is not at issue; regardless, by the norms of the ancient Near East, she was disgraced. OJPS “and humbled her.”</i> "
Genesis 34:7,"Meanwhile Jacob’s sons, having heard the news, came in from the field. The men<sup>*</sup><i class='footnote'><b>The men </b>More precisely, “the [salient] participants [in the situation],” namely Jacob’s sons. See the Dictionary under <i>’ish</i>.</i> were distressed and very angry, because he had committed an outrage in Israel by lying with Jacob’s daughter—a thing not to be done."
Genesis 34:20,"So Hamor and his son Shechem went to the public place<sup>*</sup><i class='footnote'><b>public place </b>Lit. “gate.”</i> of their town and spoke to their town council,<sup>*</sup><i class='footnote'><b>their town council </b>Heb. <i>’anshe ‘iram</i>; NJPS “their fellow townsmen,” trad. “the men of their city.” Cf. Ruth 3.11; 4.1–2. See the Dictionary under <i>’ish</i>.</i> saying,"
Genesis 34:21,"“These people<sup>*</sup><i class='footnote'><b>people </b>(So NJPS.) Lit. “participants whose involvement defines the depicted situation.” See the Dictionary under <i>’ish</i>.</i> are our friends; let them settle in the land and move about in it, for the land is large enough for them; we will take their daughters to ourselves as wives and give our daughters to them."
Genesis 34:30,"Jacob said to Simeon and Levi, “You have brought trouble on me, making me odious among the inhabitants of the land, the Canaanites and the Perizzites; my fighters<sup>*</sup><i class='footnote'><b>fighters </b>Heb. <i>metim</i> (in construct form); cf. Deut. 2.34; 3.6; Isa. 3.25. NJPS “men.”</i> are few in number, so that if they unite against me and attack me, I and my house will be destroyed.”"
Genesis 36:24,The sons of Zibeon were these: Aiah<sup>*</sup><i class='footnote'><b>Aiah </b>Heb. “and Aiah.”</i> and Anah—that was the Anah who discovered the hot springs<sup>*</sup><i class='footnote'><b>hot springs </b>Meaning of Heb. <i>yemim</i> uncertain.</i> in the wilderness while pasturing the asses of his father Zibeon.
Genesis 36:26,"The sons of Dishon<sup>*</sup><i class='footnote'><b>Dishon </b>Heb. <i>Dishan</i>; but cf. vv. 21, 25, 28, and 30, and 1 Chron. 1.41.</i> were these: Hemdan, Eshban, Ithran, and Cheran."
Genesis 37:3,"Now Israel loved Joseph best of all his sons—he was his “child of old age”;<sup>*</sup><i class='footnote'><b>he was his “child of old age” </b>NJPS “he was the child of his old age.” The expression <i>ben zequnim</i> is used here as a category label; it seems to denote a special, favored status. Cf. 44.20.</i> and he had made him an ornamented tunic.<sup>*</sup><i class='footnote'><b>ornamented tunic </b>Or “a coat of many colors”; meaning of Heb. uncertain.</i> "
Genesis 37:15,"a man came upon him<sup>*</sup><i class='footnote'><b>a man came upon him </b>Or “an agent located him,” i.e., this figure could be construed as acting in God’s behalf. For this verb’s use to describe a mission, see 16.7; 37.17; 38.22. On “man” and “agent,” see notes at 18.2, 24.21, and the Dictionary under <i>’ish</i>; Agent.</i> wandering in the fields. The man asked him, “What are you looking for?”"
Genesis 37:36,"The Midianites,<sup>*</sup><i class='footnote'><b>Midianites </b>Heb. “Medanites.”</i> meanwhile, sold him in Egypt to Potiphar, a courtier of Pharaoh and his prefect.<sup>*</sup><i class='footnote'><b>prefect </b>Precise force of Heb. <i>sar haṭṭabaḥim</i> uncertain; cf. Jer. 52.12; 2 Kings 25.8ff. and Jer. 39–40; Gen. 39.20; 40.3. Apparently the office was obscure even to the text’s original audience (cf. 39.1). NJPS “chief steward,” trad. “captain of the guard.”</i> "
Genesis 38:9,"But Onan, knowing that the offspring would not count as his, let [the semen] go to waste<sup>*</sup><i class='footnote'><b>let [the semen] go to waste </b>Heb. <i>shiḥet arṣah</i>; lit. “spoil [it] groundward.” NJPS “let it go to waste,” with “offspring” as the implausible co-referent of “it.” See the Dictionary under “seed.”</i> whenever he joined with his brother’s wife, so as not to provide offspring for his brother."
