mishnah_tref,yerushalmi_french_text
Mishnah Shabbat 1:11,"On peut (le vendredi) descendre l’agneau pascal au four à l’approche de la nuit; et dans la pièce du foyer<sup>93</sup><i class=""footnote"">Maïmonide a: fomentum ignis.</i> (le chauffoir des prêtres du Temple), on peut encore attiser le feu. Dans d’autres places, ce n’est permis que lorsque le temps est suffisant pour que la flamme puisse encore saisir presque tout le bois. R. Juda dit: il s’agit de charbons, il suffit qu’une parcelle soit arrivée."
Mishnah Shabbat 2:1,"Quelles matières peut-on employer pour la lumière du vendredi soir et lesquelles sont interdites? Sont interdits: les filaments de cèdre, les tiges de chanvre, la soie floche, la laine des saules, celle du désert (ou: chanvre bâtard), la mousse qui surnage sur l’eau<sup>97</sup><i class=""footnote"">Voilà pour les mèches. Suit la mention des corps gras.</i>. On n’emploiera pas la poix (ou goudron), ni la cire, ni de l’huile provenant du cotonnier<sup>98</sup><i class=""footnote"">Pour ces substances goudronnées, V. B. Chanania, Forschungen des wissenschaft. Talmud-Vereins, 1866, n° 5, col. 76-9. Comme équivalent de qiq, Maïmonide indique une sorte de plante grasse, équivalence admise par Kimhi, que cite Gesenius, s. V. Kikaïon.</i>, ni l’huile condamnée à la combustion (d’oblation devenue impure), ni la graisse des queues d’animaux, ni le suif. Nahum le Mède dit: on peut éclairer avec de la graisse fondue. Les autres sages en interdisent l’usage en tous cas, qu’il s’agisse de graisse fondue ou non."
Mishnah Shabbat 2:2,"On ne peut pas même aux jours de fête, brûler de l’huile condamnée à la combustion (étant impure). R. Ismaël dit: on n’emploiera pas à l’éclairage du vendredi soir de la résine ou déchet de poix (sentant mauvais), par respect du Shabat. Les autres sages permettent toutes les sortes d’huiles: celle du pavot, des noix, des raves, de la morue, du coloquinte<sup>108</sup><i class=""footnote"">Ou: absinthe, selon Maïmonide: coloqinthis, res amara.</i>, du déchet de poix (goudron), et du naft (résine ou pétrole)? R. Tarfon dit: on emploiera seulement l’huile d’olive."
Mishnah Shabbat 2:3,"On n’emploiera pour éclairer, en fait de produit des arbres, que le chanvre, de même que c’est le seul ligneux propageant l’impureté des tentes. Un chiffon d’étoffe roulé sans avoir été roussi est susceptible d’impureté, dit R. Eliézer, et ne peut pas servir à l’éclairage; selon R. aqiba, il reste toujours pur et pourra servir à l’éclairage."
Mishnah Shabbat 2:4,"On ne devra pas percer d’un trou une coquille d’œuf, puis la remplir d’huile et la placer près de la lumière et l’alimenter goutte à goutte, ni même si cette coquille est d’argile (plus solide); R. Juda l’autorise. Mais, si dès l’origine, le potier a fixé un tel objet sur le chandelier, tous permettent d’en user, l’ensemble étant un seul et même vase. On ne devra pas placer à côté de la lumière un vase plein d’huile et y faire tremper la mèche lumineuse pour l’alimenter ainsi. R. Juda l’autorise."
Mishnah Shabbat 2:5,"Celui qui éteint la lumière, ayant peur des païens<sup>118</sup><i class=""footnote"">Aux jours d'adoration du feu, les Perses en interdisaient l'usage hors des temples.</i>, ou des brigands, ou des mauvais esprits<sup>119</sup><i class=""footnote"">En vue des malades nerveux, que toute apparition effraie. Selon Maïmonide, c'est la Melancholia (terme grec transcrit par les médecins arabes).</i>, ou pour ne pas priver un malade du sommeil, n’est pas blâmable. Mais s’il le fait par avarice, pour épargner la lampe<sup>120</sup><i class=""footnote"">Le Qorban ' Eda traduit: croisil (ainsi que M. D. nous l'a lu).</i>, ou l’huile, ou la mèche, il est coupable. R. Yossé le dispense de toute peine dans ces divers cas d’extinction, sauf pour celui de la mèche, vu qu’ainsi il fait naître un charbon."
Mishnah Shabbat 2:6,"Pour 3 fautes graves, les femmes sont en danger de mort pendant leurs couches, pour transgression des lois de Nida, celle de la Halla, et celle de la lumière du Shabat."
Mishnah Shabbat 2:7,"L’homme doit rappeler 3 sujets chez lui le vendredi, à l’approche de la nuit: Avez-vous prélevé les dîmes? Avez-vous constitué le lien symbolique de l’eruv? Allumez la lumière! Au moment douteux qui sépare le jour de la nuit, on ne peut plus rédimer ce qui est soumis aux droits avec certitude, ni tremper les ustensiles de ménage dans le bain légal, ni allumer la lumière; mais l’on peut rédimer ce qui est douteux, poser l’eruv, et enfouir ce qui est chaud au milieu d’étoffes chaudes."
Mishnah Shabbat 3:1,"Sur un four (à 2 ouvertures) chauffé par du chaume ou des ramilles on peut placer des mets cuits (peu avant le Shabat et les laisser là); mais s’il a été chauffé avec du déchet d’olives, ou des sarments de bois, on ne pourra rien y mettre, à moins d’avoir enlevé les charbons, ou de les avoir couverts de cendre. Selon Shammaï (même au premier cas), on ne peut y déposer que de l’eau chaude, non des mets; Hillel permet l’une et l’autre. Shammaï permet en ce cas d’enlever de là les mets, non de les y remettre; Hillel permet aussi de les remettre."
Mishnah Shabbat 3:2,"Sur un poêle<sup>146</sup><i class=""footnote"">Par sa construction en cône, il garde mieux la chaleur.</i> chauffé par du chaume ou des ramilles, il n’est permis de rien poser, ni à l’intérieur, ni au-dessus. Un fourneau simple, allumé de même, est considéré comme un double four (soumis aux règles du § 1); s’il est chauffé par du déchet d’olives ou des sarments de bois, il est considéré comme un poêle."
Mishnah Shabbat 3:3,"Il n’est pas permis (en ce jour) de mettre un œuf à côté d’une marmite bouillant pour qu’il tourne (cuise un peu) à ce contact, ni de le couvrir d’étoffes chauffées au soleil; mais R. Yossé le permet. On ne devra pas non plus l’enfouir dans le sable brûlant, ou la poussière de la route, pour qu’il y rôtisse."
Mishnah Shabbat 3:4,"Il est arrivé que des gens de Tibériade ont amené un tuyau<sup>148</sup><i class=""footnote"">Terme employé aussi au (Kilayim 7, 1).</i>, swlhn, plein d’eau froide au milieu d’un conduit d’eau chaude (de leurs thermes). Voici ce que les sages leur dirent: au jour du Shabat, cette eau ainsi chauffée indirectement sera sujette aux règles de ce jour, et elle sera défendue soit pour le lavage, soit en boisson; aux jours de fête, elle sera sujette aux règles de ces derniers jours, et ne pourra servir qu’en boisson, non pour se laver. Il est permis au jour de Shabat de boire de l’eau chauffée dans le Miliarium (où le charbon est placé à côté de l’eau) dont on aura retiré le combustible; mais de la marmite nommée Antikhi<sup>149</sup><i class=""footnote"">""Peut être d'Antioche. Ce vase, à 3 compartiments, a de l'eau au-dessus et au-dessous du feu; aussi, sa chaleur est plus intense que celle du Miliarium.""</i>, il n’est pas permis de boire l’eau, même après le retrait du combustible."
Mishnah Shabbat 3:5,"Dans une marmite d’eau chaude, même enlevée du feu, on ne doit pas (ce jour) mettre de l’eau froide pour qu’elle chauffe par contact; mais on peut en jeter dans la marmite, ou dans un verre de cette eau, assez pour l’attiédir. Dans une casserole, lopa""<sup>158</sup><i class=""footnote"">Terme usité au (Pea 8, 8).</i>, ou dans un pot, qu’au crépuscule on a enlevé du feu à l’état bouillant, on ne doit pas (ce jour), ajouter des épices; mais on pourra les ajouter sur table dans la soupière, ou dans l’assiette contenant ces mets. Selon R. Juda, on peut les ajouter en tous cas, sauf dans les mets où il y a déjà du vinaigre ou une marinade de poissons."
Mishnah Shabbat 3:6,"Il n’est pas permis ce jour de poser un vase sous la lampe pour en recueillir l’huile qui égoutte, sauf à laisser le vase posé d’avance; mais on n’en usera pas pour éclairer au samedi suivant, parce qu’elle n’y était pas destinée. Il est permis de déplacer un candélabre neuf, non un vieux (malpropre). R. Simon permet de les déplacer tous, sauf ceux qui servent à l’éclairage le soir. Il est permis de placer un vase sous la lampe pour y recueillir des étincelles, mais non y joindre de l’eau (même de la veille), car ce serait effectuer leur extinction en ce jour."
Mishnah Shabbat 4:1,"Dans quels objets peut-on enfouir les mets chauds (pour les maintenir tels), et dans lesquels est-ce interdit? C’est interdit dans le déchet d’olives, le fumier, le sel, la chaux, le sable, soit humides, soit secs, la paille, les pépins, les flocons de laine, les herbes; ces 4 derniers à l’état humide; mais s’ils sont secs, on peut y enfouir. C’est permis sous des vêtements, ou des légumes secs, ou des plumes d’oiseaux, ou de la sciure de bois, ou de l’écorce de chanvre. R. Juda l’interdit lorsque celle-ci est mince, mais il le permet si elle est épaisse."
Mishnah Shabbat 4:2,"On peut enfouir dans les peaux encore garnies de poils, puis même les enlever de là, ou encore dans de la laine de tonte; mais en ce dernier cas, il n’est pas permis de la retirer. Comment opérera-t-on<sup>187</sup><i class=""footnote"">Que faire en cas d'enfouissement accompli par erreur?</i>? On enlève le couvercle, de sorte que la laine tombe à l’entoure. R. Eliézer b. Azaria dit: on penche de côté la boîte où se trouve le pot, de façon à pouvoir retirer les mets de ce dernier; car si l’on retirait le pot en entier, il y aurait à craindre que l'on puisse plus y replacer le pot par suite de l’amoncellement de la laine (cas interdit). Selon les autres sages, on peut retirer le pot en entier et l'y replacer sans crainte. Si on ne l’a pas couvert pendant qu’il faisait encore jour, on ne devra pas le couvrir à la nuit; mais si on l’avait couvert au jour et qu’ensuite il se trouve découvert spontanément, on peut le recouvrir. On peut remplir une cruche, cuaqan, d’eau froide, et la mettre sous un coussin ou divan (pour l’attiédir)."
Mishnah Shabbat 5:1,"Avoir quoi un animal domestique peut-il sortir le samedi<sup>195</sup><i class=""footnote"">L'animal devant aussi se reposer ce jour là, les charges seules lui sont interdites.</i>, et avec quoi est-ce interdit? Le chameau peut sortir avec le licol ou frein, la chamelle avec l’anneau au naseau, l’âne de Lybie<sup>196</sup><i class=""footnote"">V. (Kilayim 8, 4).</i> avec le frein, le cheval avec le collier<sup>197</sup><i class=""footnote"">On y attache un anneau, où l'on passe une corde pour mener la bête.</i>, et tous les animaux munis de ce dernier peuvent le porter et être conduits de cette façon. Tous ces objets (en cas d’impureté) peuvent être aspergés et baignés à l’endroit où ils se trouvent, sans déplacement."
Mishnah Shabbat 5:2,"L’âne peut sortir avec sa couverte, si, d’avance, elle était attachée sur lui (pour le réchauffer). Les boucs sortent enveloppés<sup>201</sup><i class=""footnote"">Pour eux, comme ci-après pour les chèvres, il s'agit d'éviter les saillies en ce jour.</i>; les brebis sortent ayant la queue attachée au pied, ou en bas, ou la laine abritée par une étoffe, et les chèvres sortent les mamelles ficelées (pour tarir le lait ou le garder). R. Yossé interdit toutes ces sorties, sauf celle des brebis à laine garantie. R. Juda permet que les chèvres, en sortant, aient les pis ficelés si c’est pour tarir le lait, non pour le conserver."
Mishnah Shabbat 5:3,"Avec quoi cette sortie est-elle interdite? Elle l’est pour le chameau dont la queue est entourée d’un chiffon (comme marque distinctive), ou s’il a les pieds liés, ou s’il a une jambe repliée, et il en est de même pour les autres animaux. On ne devra pas attacher ensemble des chameaux pour les mener ainsi; mais on pourra tenir en une main toutes les cordes réunies, en les menant, à condition de ne pas entortiller ces cordes (mélange interdit)."
Mishnah Shabbat 5:4,"On ne devra pas faire sortir l’âne avec une couverte non attachée d’avance sur lui, ni avec une clochette<sup>208</sup><i class=""footnote"">Le Qorban ' Eda rappelle le vieux mot esclete.</i> même bouchée, ni le cou garni de bois en forme d’échelle (pour préserver sa blessure, s’il en a), ni avec une courroie aux pieds (pour empêcher le frottement), ni les coqs munis de fils distinctifs, ou avec des liens entre les pattes, ni les boucs avec des brouettes<sup>209</sup><i class=""footnote"">Munk, Palestine, p. 30 et pl. 3.</i>, pour soutenir la queue (touffue), ni les chèvres munies d’un préservatif<sup>210</sup><i class=""footnote"">Littéral. D'un moyen servant à les protéger.</i>, ni le veau avec le joug d’essai ou muselière chmo"", ni la vache avec le pis munis de peau d’hérisson<sup>211</sup><i class=""footnote"">Pour les protéger contre les morsures des vipères. Cf. (Kilayim 8, 5) (2, p. 306).</i>, ni avec une courroie entre les cornes. La vache de R. Eliézer b. Azaria sortait pourtant les cornes ainsi garnies, contre l’assentiment des autres sages."
Mishnah Shabbat 6:1,"Que peut emporter la femme en sortant et que lui est-il interdit d’emporter? Elle ne devra porter ni des ficelles de coton ni de lin, ni des courroies aux cheveux, ni prendre un bain légal sans les relâcher (pour que l’eau pénètre), ni avec un bandeau frontal, ni avec des bandelettes ornées<sup>219</sup><i class=""footnote"">Autre genre de frontal, ou ornement sur la tête semi-voile.</i>, si ce n’est pas cousu au bonnet<sup>220</sup><i class=""footnote"">Ou: résille, filet. Le comment. A: cofie ou coiffe.</i>, ni avec une bande d’étoffe supportant la plaque, sur la voie publique; ni avec une couronne d’or en forme de tourelle, ni avec une petite chaîne de cou<sup>221</sup><i class=""footnote"">Maïmonide lui compare le terme colli ornamentum (de la racine strangulare, équivalant à KTL).</i>, catena, ni avec des anneaux de nez, ni avec des anneaux aux doigts, n’y eut-il même pas de cachet, ni avec une aiguille non percée. Mais si par mégarde elle l’a emporté, elle ne doit pas le sacrifice du péché involontaire."
Mishnah Shabbat 6:2,"L’homme ne doit pas sortir avec des sandales chargées de clous<sup>237</sup><i class=""footnote"">En souvenir de ce que des gens, ainsi chaussés, se tuèrent mutuellement pour échapper un jour aux persécutions.</i>, ni même sortir avec l’une d’elles au cas où il a une plaie à un pied, ni avec les phylactères sur lui<sup>238</sup><i class=""footnote"">Défense étendue à ceux qui les portaient le Shabat.</i>, ni avec une amulette si elle n’émane pas d’un homme compétent, ni avec une cuirasse, ni avec un casque, ni avec des jambières. Mais si, par mégarde, il est sorti ainsi, il ne doit pas le sacrifice du péché involontaire."
Mishnah Shabbat 6:3,"Une femme ne doit pas sortir avec une aiguille perforée, ni avec un anneau muni d’un cachet, ni avec une chaîne de cou (collare), ni avec un bonnet tordu, coclia""<sup>251</sup><i class=""footnote"">En forme de colimaçon.</i>, ni avec un flacon d’odeur<sup>252</sup><i class=""footnote"">Ci-après, 8, 2.</i>. En cas de sortie, elle est passible d’un sacrifice de péché. Tel est l’avis de R. Meir. Selon les autres sages, le sacrifice n’est pas dû, si elle est sortie avec le bonnet tordu, ou le flacon d’odeur (foliatum)."
Mishnah Shabbat 6:4,"L’homme ne doit sortir ni avec une épée, ni avec un arc, ni avec un bouclier triangulaire, ni avec un écu rond<sup>253</sup><i class=""footnote"">""Selon Bertinoro, c'est le mot italien Massa (masse d'armes); en arabe que les lexiques n'ont pas.""</i>, ni avec une lance. En cas d’infraction, le sacrifice de péché est dû. C’est que, dit R. Eliézer, ce ne sont que des ornements. Selon les autres sages, au contraire, ce sont des objets qui sont à sa honte, comme il est dit (Is 2, 4): Ils forgeront leurs épées en hoyaux, leurs hallebardes en serpes; une nation ne lèvera plus l’épée contre l’autre, et ils ne s’adonneront plus à la guerre. La jarretière (periscelis) est pure (non susceptible d’impureté), et l’on peut en porter le samedi; mais les chaînettes de jonction peuvent être impures et ne doivent pas être portées le jour."
Mishnah Shabbat 6:5,"Une femme peut sortir avec des cordons de cheveux, soit des siens soit d’une autre personne, avec des bandeaux de front ou des bandelettes s’ils sont cousus, avec des bandes d’étoffes et des postiches, dans la cour de la maison; avec de la ouate à l’oreille ou aux sandales, ou avec du coton de propreté pendant ses menstrues; avec un grain de poivre ou de sel sur la langue, ou avec tout ce qu’elle porte dans la bouche, à condition de ne pas l’y mettre spécialement en ce jour-là; au cas où elle l’a laissé tomber, elle ne peut plus l’y remettre. Rabbi permet de porter de fausses dents, ou dorées; les autres sages l’interdisent."
Mishnah Shabbat 6:6,"Les femmes peuvent sortir avec un sela (pièce de monnaie) attaché sur une plaie<sup>265</sup><i class=""footnote"">L'application des métaux comme remède n'est donc pas nouvelle.</i> de la plante des pieds. Les jeunes filles peuvent avoir aux oreilles, du fil, ou des éclats de bois (pour que le trou ne se referme pas); celles qui demeurent parmi les Arabes peuvent porter le voile épais (usité là); celles des Mèdes peuvent (selon l’usage) avoir la tête enveloppée d’étoffe. Ces suppléments sont, du reste, permis à toutes; seulement, les sages n’ont parlé que des exemples qui en réalité existent le plus souvent."
Mishnah Shabbat 6:7,"En portant ce surtout de tête, la femme peut attacher l’un des 2 glands de support, soit à un caillou, soit à une noix, soit à une monnaie<sup>266</sup><i class=""footnote"">Pour empêcher l'étoffe de tomber.</i>, à condition toutefois que cette dernière ne soit pas enveloppée spécialement le samedi."
Mishnah Shabbat 6:8,"Un homme bancal peut sortir avec sa jambe de bois. Tel est l’avis de R. Meir. R. Yossé l’interdit. S’il y a une cavité pour recevoir le genou, la forme est susceptible d’impureté (comme un vase). Les béquilles peuvent devenir impures par la compression<sup>267</sup><i class=""footnote"">Zabim, 2, 4.</i>, et l’on peut en user le samedi pour sortir. On peut avec elles entrer au parvis du temple. Le siège, comme les béquilles d’un paralytique, est susceptible d’impureté par compression; on ne peut pas en user en ce jour pour sortir, ni entrer au parvis du temple. Les figures d’âne ono"" cat ëwmon sont légalement pures<sup>268</sup><i class=""footnote"">""Ce sont des masques de comédie, non des ustensiles. L'explication usuelle de ce mot par """" sabot """" ne nous semble pas justifiée.""</i>, et l’on ne pourra pas les porter le samedi."
Mishnah Shabbat 6:9,"Les enfants peuvent sortir avec les liens<sup>269</sup><i class=""footnote"">Pour éviter à l'enfant le chagrin d'une séparation, un ruban le reliait au père.</i>, et les fils de rois munis de clochettes d’or. C’est, du reste, permis à chacun; seulement, les sages n’ont parlé que des exemples qui, en réalité, sont les plus fréquents."
Mishnah Shabbat 6:10,"On peut sortir en portant un œuf de sauterelle<sup>270</sup><i class=""footnote"">On lui attribuait la vertu de guérir les maux de dents, ou d'oreilles.</i>, ou une dent de renard<sup>271</sup><i class=""footnote"">""Celle d'un renard vivant devait tenir en éveil celui qui dort trop; et celle d'un mort devait guérir de l'insomnie.""</i>, ou un clou ayant servi à une pendaison<sup>272</sup><i class=""footnote"">Autre mode empirique, pour écarter la fièvre.</i>, pour servir de remède. Tel est l’avis de R. Meir<sup>273</sup><i class=""footnote"">La version de Jérus., ici et ci-après a: R. Yossé.</i>. Selon les autres sages, c’est interdit même aux jours ordinaires de la semaine, à titre d’usage païen."
Mishnah Shabbat 7:1,"Il est une grande règle (générale) au sujet du Shabat: celui qui oublie tout le principe de la loi du Shabat, et a opéré plusieurs travaux en plusieurs samedis ne doit qu’un sacrifice de péché. Celui qui connaît le principe de la loi shabatique (sans détails) et a opéré plusieurs travaux en plusieurs samedis, est répréhensible, pour chaque jour (pendant la durée duquel on a oublié la solennité). Lorsqu’on sait qu’en ce jour c’est le Shabat, et que malgré cela on se livre chaque fois à de nombreux travaux, on est blâmable pour chaque travail capital. Celui qui accomplit plusieurs actions faisant partie d’une même sorte de travaux, ne doit qu’un sacrifice de péché."
Mishnah Shabbat 7:2,"Il y a 40 travaux capitaux moins un<sup>303</sup><i class=""footnote"">""On énumère bien 40; mais il en est deux, """" coudre """" et """" lier """" qui ne forment qu'un.""</i>, savoir: semer, labourer, moissonner, mettre en gerbes, battre le blé, vanner, trier, moudre, tamiser, pétrir, cuire, tondre, blanchir, carder, teindre, filer<sup>304</sup><i class=""footnote"">Le comment. a: carpir ou charpir.</i>, ourdir, faire deux points<sup>305</sup><i class=""footnote"">Rashi traduit: lice (= lisse, nous dit M. Darmesteter). Cf. Babli, ib. 73a.</i>, tisser 2 fils, fendre 2 fils, nouer, délier, coudre 2 points, déchirer pour recoudre 2 points, chasser le cerf, l’égorger, le dépouiller, le saler, tanner sa peau, le raser, le découper, écrire 2 lettres, effacer pour écrire 2 lettres, bâtir, démolir, éteindre, allumer, forger, porter d’un domaine dans l’autre. Ce sont là tous travaux du premier chef, au nombre de 40 moins un."
Mishnah Shabbat 7:3,"On a encore énoncé une autre règle: si l’on porte au dehors ce qui est apte à être conservé et que l’on a l’habitude de conserver en telle quantité, on est passible d’un sacrifice de péché. Au cas contraire, celui-là seul qui a l’habitude de les conserver et l’a transporté est condamnable."
Mishnah Shabbat 7:4,"– Ainsi, p. ex., si l’on porte de la paille de la quantité d’une gueule de vache, des écorces de légumes secs de la contenance d’une gueule de chameau, des épis de la contenance d’une gueule de mouton, des herbes de la contenance d’une gueule de chevreau, des feuilles d’ail ou d’oignon, soit vertes de la grandeur d’une figue, soit sèches de la contenance d’une gueule de chevreau; toutes ces quantités ne sauraient être jointes, les mesures étant inégales. Transporter des comestibles de la grandeur d’une figue est interdit, et on les joint pour constituer l’interdit, en raison de l’uniformité de la mesure, sauf pour les écorces, les pépins, les tiges, le son fin ou gros; selon R. Juda, il faut exclure la pelure de lentilles, qui mûrit avec elles."
Mishnah Shabbat 8:1,"Si l’on transporte assez de vin pour mélanger une coupe potable<sup>369</sup><i class=""footnote"">Comme on ajoute _ d'eau au vin pour le rendre potable, la coupe d'un quart n'aura que 1/16 de loug pur.</i>, ou la quantité de lait absorbable en une fois, ou du miel suffisant pour l’étendre sur une plaie, de l’huile de quoi frotter un petit membre, assez d’eau pour humecter un collyre<sup>370</sup><i class=""footnote"">Maïmonide a un mot arabe, voir page 107.</i>, on est coupable; pour tous les autres liquides, la mesure est quart de loug, comme aussi un quart pour tout ce que l’on verse; pour toutes ces choses, dit R. Simon, la mesure est du quart (de loug). Du reste, on n’a précisé toutes ces mesures que pour ceux qui les enfouissent."
Mishnah Shabbat 8:2,"Il est interdit de transporter une corde de quoi faire une anse à un panier, ou du lien<sup>388</sup><i class=""footnote"">Maïmonide indique l'équivalent un équivalent page 111</i> d’aubier pour faire un crochet de suspension au tamis ou van; R. Juda indique comme longueur une quantité suffisante pour prendre mesure à un soulier d’enfant, ou du papier pouvant suffire à la rédaction d’un acquit de douane. Celui qui transporte une telle note est coupable. On peut prendre du papier effacé, de quoi enrouler autour du goulot d’un flacon d’odeur, foliatum<sup>389</sup><i class=""footnote"">Ci-dessus, 6, 3.</i>."
Mishnah Shabbat 8:3,"La peau sera interdite de la grandeur d’une amulette; celle qui étant doublement fendue dixusto"", de quoi écrire la Mezuza<sup>390</sup><i class=""footnote"">Contenant des pass. Du (Dt 6, 4)-9 et (Dt 11, 12)-20.</i>, du parchemin de quoi écrire la plus petite section des phylactères, à savoir celle du Shema (Dt 6, 4-9); de l’encre, de quoi écrire 2 lettres; du fard, de quoi colorer un œil, tous sont dans le même cas<sup>391</sup><i class=""footnote"">Dans le texte Jérus., les 2 phrases suiv. sont jointes au 3.</i>."
Mishnah Shabbat 8:4,"On interdit de prendre de la colle de quoi emplir le bout de sa palette, de la poix et du souffre en quantité suffisante pour préparer le trou d’un tuyau<sup>392</sup><i class=""footnote"">C.-à-d. de le boucher, sauf à laisser un trou.</i>, de la cire de quoi fermer une petite ouverture, de l’argile suffisant pour adapter une ouverture au foyer de l’orfèvre (pour le soufflet); selon R. Juda, la quantité sera telle qu’il y ait de quoi fabriquer un pied, le son qui suffira à couvrir l’ouverture du foyer de l’orfèvre; la chaux, ayant la mesure de quoi couvrir le petit doigt d’une fille<sup>393</sup><i class=""footnote"">Pour l'épiler.</i>; selon R. Juda, la quantité sera telle que l’on puisse enduire la tempe. R. Néhémie assigne pour mesure de quoi enduire le dessous de la tempe, antwpa."
