mishnah_tref,talmud_tref,french_text,hebrew_text
Mishnah Berakhot 2:4,Jerusalem Talmud Berakhot 2:5:1,"Les artisans peuvent faire cette lecture en haut d’un arbre ou d’un mur en construction<sup>182</sup><i class=""footnote"">""Littéralement: tablette d'érection d'un mur, assise; selon Maïmonide, tafia, ce qui émerge, que J. Lévy, Neuh. Worterbuch, s. 5., V. Dozy, Suppl. Aux Dictionn. arabes, 2, 65-66.""</i>, ce qui n’est pas permis pour la prière (ou l’amida).",האומנים קורין בראש האילן או בראש הנדבך מה שאין רשאין לעשות כן בתפילה:
Mishnah Berakhot 2:5,Jerusalem Talmud Berakhot 2:6:1,"Le fiancé est dispensé de lire le Shema la première nuit de son mariage jusqu’au samedi soir suivant, aussi longtemps qu’il n’a pas accompli le devoir conjugal. Il arriva à R. Gamliel de lire le shema la première nuit de son mariage: -“Maître, lui dirent ses disciples, ne nous as-tu pas enseigné que tout fiancé en est dispensé? – C’est vrai, dit-il; mais je ne saurais vous écouter pour oublier un instant la profession de foi juive”.-<sup>188</sup><i class=""footnote"">Le développement de ce § se retrouvera en Nida.</i>","חתן פטור מקרית שמע לילה הראשון עד מוצאי שבת אם לא עשה מעשה. מעשה בר""ג שנשא וקרא לילה הראשון אמרו לו תלמידיו לימדתנו רבינו שחתן פטור אמר להם איני שומע לכם לבטל ממני מלכות שמים אפי' שעה אחת:"
Mishnah Berakhot 2:6,Jerusalem Talmud Berakhot 2:7:1,"De même, R. Gamliel se rendit au bain la nuit de la mort de sa femme: “Ne nous as-tu pas appris, lui dirent-ils, qu’il est interdit aux parents du défunt de se baigner aux premiers jours du deuil? – Oui, dit-il; mais je ne me porte pas comme tout le monde et je suis d’une constitution faible<sup>189</sup><i class=""footnote"">Il y a dans le texte le terme grec asthenes: maladif, délicat.</i>”.",רחץ לילה הראשון שמתה אשתו אמרו לו תלמידיו לימדתנו רבינו שאבל אסור לרחוץ אמר להן איני כשאר כל אדם איסטניס אני:
Mishnah Berakhot 2:7,Jerusalem Talmud Berakhot 2:8:1,"Lorsque mourut son serviteur Tobie, il agréa des condoléances: “Ne nous as-tu pas appris, lui dirent-ils encore, qu’on ne reçoit pas de consolations pour la mort des esclaves? – Mon serviteur Tobie, répondit-il, ne ressemblait pas aux autres esclaves, car il était honnête et pieux”.",וכשמת טבי עבדו קיבל עליו תנחומין אמרו לו לא לימדתנו רבינו שאין מקבלין תנחומין על העבדים. אמר להם אין טבי עבדי כשאר העבדים כשר היה:
Mishnah Berakhot 2:8,Jerusalem Talmud Berakhot 2:9:1,"Si le fiancé désire faire la lecture du shema, même la première nuit de son mariage, il le peut. Mais R. Siméon bar-Gamliel dit qu’il n’est pas permis à chacun de s’arroger un vain titre (de gloriole).","חתן אם רוצה לקרות את שמע בלילה הראשון קורא. רשב""ג אומר לא כל הרוצה ליטול לו את השם יטול:"
Mishnah Berakhot 3:1,Jerusalem Talmud Berakhot 3:1:1,"Lors d’un décès, et aussi longtemps que le mort n’est pas enterré, les proches parents sont dispensés de la lecture du shema et de la mise des phylactères. Quant aux porteurs, ainsi que leurs remplaçants et leurs adjoints, soit qu’ils se trouvent devant le cercueil, soit qu’ils le suivent<sup>211</sup><i class=""footnote"">Des groupes étaient posés sur le passage du mort, et ils se chargeaient tour à tour de le porter, considérant cet acte comme une œuvre pie.</i>, si l’on a besoin d’eux, ils sont dispensés de réciter le Shema; sinon, ils y sont obligés. Dans l’un et l’autre cas, ils sont dispensés de la prière d’amida.",מי שמתו מוטל לפניו פטור מקרית שמע ומן התפילין נושאי המיטה וחילופיהן וחילופי חילופיהן את שלפני המיטה ואת של אחר המיטה את שהמיטה צורך בהן פטורין ואת שאין המיטה צורך בהן חייבין אילו ואילו פטורין מן התפילה. 
Mishnah Berakhot 3:2,Jerusalem Talmud Berakhot 3:2:1,"Après l’enterrement et au retour, on doit faire la récitation du shema, si on a le temps de la commencer et de le finir avant d’arriver au cercle (qu’on fait autour des gens en deuil pour les consoler); sinon, il vaut mieux ne pas la commencer. Ceux qui se tiennent à l’intérieur du cercle en sont dispensés, mais non ceux qui sont à l’extérieur (et qui ne voient pas les gens en deuil).",קברו את המת וחזרו אם יכולין להתחיל ולגמור עד שלא יגיעו לשורה יתחילו ואם לאו לא יתחילו העומדים בשורה הפנימים פטורין החיצונים חייבין:
Mishnah Berakhot 3:3,Jerusalem Talmud Berakhot 3:3:1,"Les femmes, les esclaves et les enfants sont dispensés de réciter le shema et de mettre les théphilins, mais ils sont obligés de faire la prière et la bénédiction du repas, et d’observer la loi de la mezuza<sup>242</sup><i class=""footnote"">""La Mézouza est un parchemin qui contient les versets 4-9 du ch. 6 et les versets 12-20 du ch. 11 du Dt; on l'attache aux poteaux des portes, comme il est ordonné par ces mêmes versets.""</i>.","נשים ועבדים וקטנים פטורין מק""ש ומן התפילין וחייבין בתפלה ובמזוזה ובבה""מ:"
Mishnah Berakhot 3:4,Jerusalem Talmud Berakhot 3:4:1,"L’homme impur<sup>251</sup><i class=""footnote"">""Baal qéri, """"qui a eu un accident """" (qui fluxum pollutionis senserit).""</i> ne fait qu’une récitation mentale, sans l’accompagner des bénédictions antérieures et postérieures. Il pense de même à la bénédiction qui suit le repas et non à celle qui le précède. Selon R. Yehuda, il récite (par la pensée) les bénédictions qui précèdent et celles qui suivent.",בעל קרי מהרהר בלבו ואינו מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריה ואינו מברך לפניה ר' יהודה אומר מברך לפניה ולאחריה:
Mishnah Berakhot 3:5,Jerusalem Talmud Berakhot 3:5:1,"Si quelqu’un occupé à réciter la prière, se souvient qu’il est impur (baal-kéri), il ne devra pas s’interrompre, mais abréger (chaque section). S’il est descendu pour prendre un bain et qu’il ait encore le temps de monter et de se couvrir pour faire la récitation avant que le soleil brille, il devra le faire; sinon, il se baissera pour être couvert par l’eau et fera ainsi la récitation. Il ne devra pas se couvrir d’eau sale ou stagnante, ou ayant déjà servi, à moins d’y avoir ajouté une grande quantité d’eau (pure). De ces eaux et des immondices il faut s’éloigner de quatre coudées, pour prier.",היה עומד בתפילה ונזכר שהוא בעל קרי לא יפסיק אלא יקצר ירד לטבול אם יכול לעלות להתכסות ולקרות עד שלא תנץ החמה יעלה ויתכסה ויקרא ואם לאו יתכסה במים ויקרא. אבל לא יתכסה לא במים הרעים ולא במי המשרה עד שיטיל לתוכן מים וכמה ירחיק מהם ומן הצואה ארבע אמות:
Mishnah Berakhot 3:6,Jerusalem Talmud Berakhot 3:6:1,"Profluviosus qui fluxum senserit<sup>263</sup><i class=""footnote"">Malgré le 1er état d'impureté, il faut un bain spécial pour le 2ème état.</i> et menstruata quae excreverit concubitus semen<sup>264</sup><i class=""footnote"">Après une cohabitation à l'état pur.</i>, et quae in congressu se senserit menstruatam, doivent (avant de prier) se baigner; R. Juda les en dispense (surtout en raison de ce que le bain, dans cas, est dangereux).",זב שראה קרי ונדה שפלטה שכבת זרע והמשמשת שראתה נדה צריכים טבילה ור' יהודה פוטר:
Mishnah Berakhot 4:1,Jerusalem Talmud Berakhot 4:1:1,"La prière du matin se dit jusqu’à midi; jusqu’à la quatrième heure (dix heures), d’après R. Yehouda; celle de l’après-midi, jusqu’au soir; d’après R. Yehuda, jusqu’à la moitié des vêpres seulement<sup>267</sup><i class=""footnote"">En supposant que la journée et la nuit soient égales, c'est-à-dire de douze heures chacune, les vêpres commenceraient à deux heures et demie du soir: on pourrait donc, selon R. Yehouda, dire les vêpres jusqu'à quatre heures moins un quart, et à partir de là commencerait le moment de la prière du soir.</i>. La prière du soir n’a pas d’heure fixe (elle se dit pendant toute la nuit); quant aux prières additionnelles (des Shabats et jours de fête), on peut les réciter toute la journée.",תפילת השחר עד חצות ר' יהודה אומר עד ד' שעות תפילת המנחה עד הערב ר' יהודה אומר עד פלג המנחה. תפילת הערב אין לה קבע ושל מוספים כל היום:
Mishnah Berakhot 4:1-2,Jerusalem Talmud Berakhot 4:2:1,"R. Nehounia ben-Kakana faisait, en entrant à l’école et à sa sortie, une courte prière. -Quel est le but de cette prière, lui demanda-t-on? -A mon entrée, répondit-il, je prie pour qu’il n’arrive aucun accident par ma faute; et à ma sortie, je rends grâce (à Dieu) du sort qu’il m’a fait.",ר' נחוניא בן הקנה היה מתפלל בכניסתו לבית המדרש וביציאתו תפלה קצרה אמר לו מה טיבה של תפלה זו אמר להן בכניסתי אני מתפלל שלא תארע תקלה על ידי וביציאתי אני נותן הודייה על חלקי:
Mishnah Berakhot 4:3,Jerusalem Talmud Berakhot 4:3:1,"Selon R. Gamliel, on doit réciter tous les jours les dix-huit bénédictions; d’après R. Yehoshouah, il suffit du résumé des dix-huit bénédictions; R. aqiba dit que celui qui sait bien sa prière par cœur doit réciter les dix-huit, sinon il suffit du résumé<sup>305</sup><i class=""footnote"">Le livre de rituel était rare à cette époque dans la Palestine: on faisait apprendre les prières par cœur dès l'enfance. Il y avait dans chaque communauté un homme, le hazan, chargé spécialement de ce soin. Voyez Mishna, IIème partie, (Shabat1, 6).</i>.","ר""ג אומר בכל יום אדם מתפלל שמונה עשרה ורבי יהושע אומר מעין שמונה עשרה ר""ע אומר אם שגורה תפלתו בפיו יתפלל שמונה עשרה ואם לאו מעין שמונה עשרה:"
Mishnah Berakhot 4:4,Jerusalem Talmud Berakhot 4:4:1,"Selon R. Eléazar, celui qui dit sa prière comme pour s’acquitter d’une récitation obligatoire (onéreuse) ne sera pas exaucé par l’Eternel<sup>327</sup><i class=""footnote"">Comp. (Avot 2, 18).</i>. R. Yehoshoua dit: Celui qui se trouve dans un endroit dangereux<sup>328</sup><i class=""footnote"">Expression difficile.</i> récite une courte prière résumée des dix-huit. Il disait: “Sauve ton peuple Israël, même lorsqu’il transgresse tes lois; que ses besoins soient devant toi; sois loué, Eternel, qui entends les prières et les supplications”.","ר""א אומר העושה תפילתו קבע אין תפילתו תחנונים. רבי יהושע אומר המהלך במקום סכנה מתפלל תפלה קצרה מעין י""ח ואומר הושיעה ה' את עמך את ישראל בכל פרשת העיבור יהיו צרכיהם לפניך בא""י שומע תפלה ותחנונים:"
Mishnah Berakhot 4:5-6,Jerusalem Talmud Berakhot 4:5:1,"Celui qui est sur une mule doit en descente (pour faire sa prière); s’il ne peut le faire, il doit tourner sa face (vers Jérusalem), et s’il ne peut pas tourner sa face, il doit diriger son cœur vers le saint des saints.",היה רוכב על החמור ירד אם אינו יכול לירד יחזיר את פניו ואם אינו יכול להחזיר את פניו יכוין את לבו כנגד בית קדשי הקדשים [היה יושב בספינה או באסדא יכוין את לבו כנגד קדשי הקדשים]:
Mishnah Berakhot 4:7,Jerusalem Talmud Berakhot 4:6:1,,רבי אלעזר בן עזריה אומר אין תפילת המוספין אלא בחבר עיר וחכמים אומרים בחבר עיר ושלא בחבר עיר ר' יהודה אומר משמו כל מקום שיש שם חבר עיר היחיד פטור מתפילת המוספין:
Mishnah Berakhot 5:1,Jerusalem Talmud Berakhot 5:1:1,"On ne se met à prier que sous l’impression du respect divin. Les anciens savants pieux attendaient un instant (en entrant à la synagogue) avant de prier, afin de se recueillir et de penser à notre Père qui est aux cieux. Si le roi même les saluait, ils ne répondaient pas; ils ne se seraient pas interrompus, eussent-ils eu un serpent enroulé autour du talon.",אין עומדין להתפלל אלא מתוך כובד ראש חסידים הראשונים היו שוהין שעה אחת ומתפללין כדי שיכונו את לבם אפילו המלך שואל בשלומו לא ישיבנו ואפילו נחש כרוך על עקיבו לא יפסיק:
Mishnah Berakhot 5:2,Jerusalem Talmud Berakhot 5:2:1,"Dans la deuxième bénédiction (de la amida), consacrée à la résurrection des morts, on mentionne (en hiver) la “force des pluies” (mashiv harouah<sup>367</sup><i class=""footnote"">C'est une qualification de la Providence, non une demande.</i>: et dans la neuvième bénédiction, celles années, on sollicite de Dieu la rosée ou la pluie. La formule de séparation (havdala, entre le samedi et le jour de la semaine) se dit dans la quatrième où l’on sollicite la faveur d’être intelligent. R. aqiba dit: l’habdalah forme une quatrième bénédiction spéciale, et, selon Eléazar, on l’intercale dans l’action de grâce (dix-huitième actuelle).","מזכירין גבורות גשמים בתחיית המתים ושואלין גשמים בברכת השנים והבדלה בחונן הדעת ר' עקיבה אומר אומרה ברכה רביעית בפני עצמה ר""א אומר בהודאה:"
Mishnah Berakhot 5:3,Jerusalem Talmud Berakhot 5:3:1,"On fait taire l’officiant s’il ajoute (dans l’amida) ces mots: “ta miséricorde s’étend aux nids des oiseaux<sup>383</sup><i class=""footnote"">Lorsqu'on prend des poussins, il faut au préalable renvoyer la père, pour ne pas la faire souffrir de ce spectacle (Dt 22, 6) et 7. C'est une addition inutile.</i>”: ou: “que ton nom soit rappelé pour le bien que tu nous fais”, ou celui qui dit deux fois “nous te rendons grâce”. Si l’officiant se trompe, un autre le remplacera, sans résister en ce moment<sup>387</sup><i class=""footnote"">L'office divin ne permet pas que, par modestie, le fidèle se récuse.</i>, à l’invitation faite d’officier. Où le remplaçant doit-il recommencer l’office? Au commencement de la section où le premier s’est trompé.",האומר על קן צפור יגיעו רחמיך ועל טוב יזכר שמך מודים מודים משתקין אותו העובר לפני התיבה וטעה יעבור אחר תחתיו ולא יהא סרבן באותה שעה ומאין הוא מתחיל מתחילת ברכה שטעה זה:
Mishnah Berakhot 5:4,Jerusalem Talmud Berakhot 5:4:1,"L’officiant ne doit pas répondre amen après la bénédiction des Cohanim, pour qu’il ne soit pas induit en erreur<sup>397</sup><i class=""footnote"">""L'officiant énonce avant les cohanim le mot à mot pour la bénédiction; il est donc à craindre, s'il répond amen comme les fidèles, qu'il ne s'embrouille dans l'énonciation des mots.""</i>. S’il n’y a pas d’autre cohen que lui, il ne doit pas prononcer la formule de bénédiction<sup>398</sup><i class=""footnote"">C'est aussi par la crainte qu'il n'ait pas l'esprit assez calme pour terminer la prière.</i>. S’il est certain de pouvoir la prononcer sans se troubler et de continuer aussi la prière, il lui est loisible de le faire.",העובר לפני התיבה לא יענה אחר הכהנים אמן מפני הטירוף אם אין שם כהן אלא הוא לא ישא את כפיו ואם הבטחתו שהוא נושא את כפיו וחוזר לתפילתו רשאי:
Mishnah Berakhot 5:5,Jerusalem Talmud Berakhot 5:5:1,"Si l’on se trompe en priant (en disant un mot pour un autre), c’est un mauvais présage; si c’est un ministre officiant qui se trompe, c’est un mauvais signe pour ceux qu’il représente, car l’envoyé d’un homme est comme lui-même. On raconte que lorsque R. Hanina ben-Dossa priait Dieu pour les malades, il disait de suite: Tel mourra, tel vivra. -“Comment, lui disait-on, sais-tu cela? -C’est que, répondait-il, si je dis ma prière couramment, je sais qu’elle est agréée; au cas contraire, je suis troublé, et mon vœu est par conséquent rejeté”.",המתפלל וטעה סימן רע לו ואם שליח ציבור הוא סי' רע לשולחיו ששלוחו של אדם כמותו אמרו עליו על רבי חנינא בן דוסא שהיה מתפלל על החולים ואומר זה חי וזה מת אמרו לו מנין אתה יודע אמר להם אם שגורה תפילתי בפי יודע אני שאני מקובל ואם לאו יודע אני שהוא מטורף:
Mishnah Berakhot 6:1,Jerusalem Talmud Berakhot 6:1:1,"Quelle est la bénédiction des fruits<sup>408</sup><i class=""footnote"">""La Mishna suppose qu'on sait déjà qu'il faut prononcer une bénédiction pour tous les produits consommés; il ne s'agit plus que de régler les diverses formules.""</i>? Pour les fruits des arbres on dit: “Sois loué, créateur des fruits de l’arbre”, excepté pour le vin<sup>409</sup><i class=""footnote"">""En raison de sa supériorité; il est l'objet d'une formule à part, comme le pain.""</i>, à propos duquel on dit: “créateur du fruit de la terre”; mais pour le pain on dit: “qui fait sortir le pain de la terre”. Pour la verdure, on dit: “créateur du fruit de la terre”, et selon R. Juda: “créateur des espèces de légumes”.",כיצד מברכין על הפירות פירות האילן הוא אומר בורא פרי העץ חוץ מן היין שעל היין הוא אומר בורא פרי הגפן ועל פירות הארץ הוא אומר בורא פרי האדמה חוץ מן הפת שעל הפת הוא אומר המוציא לחם מן הארץ ועל הירקות הוא אומר בורא פרי האדמה רבי יהודה אומר בורא מיני דשאים:
Mishnah Berakhot 6:2,Jerusalem Talmud Berakhot 6:2:1,"Si, pour les fruits de l’arbre, on a dit: “créateur des fruits de la terre”, cela suffit; mais non si, en mangeant des fruits de la terre, on dit “créateur des fruits de l’arbre”. Pour toutes les sortes on peut dire: “tout a été créé par sa parole<sup>440</sup><i class=""footnote"">Le texte a seulement le premier mot de la formule.</i>”.",בירך על פירות האילן בורא פרי האדמה יצא על פירות האדמה בורא פרי העץ לא יצא ועל כולם אם אמר שהכל יצא:
Mishnah Berakhot 6:3,Jerusalem Talmud Berakhot 6:3:1,"La formule générale est usitée pour tout ce qui ne pousse pas sur terre, ainsi que pour le vinaigre, les déchets de fruits et les sauterelles (pures). R. Juda dit: Toute espèce maudite (comme les trois précédents articles) ne nécessite pas de formule de bénédiction.",על דבר שאין גידוליו מן הארץ אומר שהכל נהיה בדברו על החומץ ועל הגוביי ועל הנובלות אומר שהכל נהיה בדברו רבי יהודה אומר כל שהוא מין קללה אין מברכין עליו:
