1:8, ""@45{$}(ה)@46 משל למלך. המשל הזה מובא בסנהדרין ל"ט רע"ב. ועיין בפירש"י שם. 
""1:79, ""@45{$}(עח)@46 לפי שהאור ברא הקדוש ברוך הוא ביום ראשון. חגיגה י"ב ע"א ב"ר פי"א ופי"ב. ילקוט רמז ט"ז. שמ"ר ריש פל"ה. תנחומא ריש שמיני. אסתר רבה בפתיחתא במאמר האחרון א"ר יהודה בר סימון אור שברא הקדוש ברוך הוא ביום ראשון כו'. 
""1:80, ""@45{$}(עט)@46 ואומר אור זרוע לצדיק. הוא ראי' על וגנזו לצדיקים. וכ"ה לפנינו בתנחומא שם. ובמדרש אסתר שם. אבל בב"ר שם ומנין שהתקינה לצדיקים לע"ל. שנא' ואורח צדיקים כאור נוגה הולך ואור עד נכון היום. ובחגיגה שם מובא לראי' שנא' וירא אלהים את האור כי טוב ואין טוב אלא צדיק. שנא' אמרו צדיק כי טוב. ובשמ"ר שם סיים והיכן גנזו בג"ע. שנאמר אור זרוע לצדיק. 
""1:81, ""@45{$}(פ)@46 בנוי ומשוכלל. פסיקתא פסקא קומי אורי (דף קמ"ה ע"א) וכן נשנה במדרש ב"ר סוף פ"ה. ומובא בילקוט משלי רמז תתקנ"ב בשס ב"ר. 
""1:82, ""@45{$}(פא)@46 שנא' אור זרוע לצדיק. במדרש שם ויאמר אלהים יהי אור בנוי ומשוכלל לע"ל. המד"א קומי אורי כי בא אורך. וכתיב כי הנה החשך יכסה ארץ וגו'. 
""1:83, ""@45{$}(פב)@46 על שבא מן המים. בס' רזיאל שם סיים לכך אור נקרא יום לשון ים מים. 
""1:84, ""@45{$}(פג)@46 חמשה אור כתיב בפרשה. ב"ר פ"ג וסופר ומונה כל החמשה פעמים. וכן מובא בילקוט בראשית רמז ד'. 
""1:85, ""@45{$}(פד)@46 א"ר אלעזר. ב"ר פ"ג. ילקוט רמז ה'. ובתנחומא תזריע בפ' אדם כי יהיה בעור בשרו. מובא זה בשם ר' אליעזר בן פדת בשם ר' יוחנן. וכן מובא בתוס' תענית דף ג' ע"א ד"ה ואלו. 
""1:86, ""@45{$}(פד)@46 ללמדך כי מיוחד היה היום ההוא. עיין רש"י עה"ת. וב"ר ספ"ג. 
""1:87, ""@45{$}(פה)@46 להודיע כי הערב. עי' נזיר ז' ע"א ובחולין פ"ה. 
""1:88, ""@45{$}(פו)@46 זה מעשה הצדיקים. ב"ר פ"ג במאמר המתחיל א"ר ינאי מתחלת ברייתו של עולם. 
""1:89, ""@45{$}(פז)@46 אלו מים העליונים. ב"ר פ"ד. ומובא ברמב"ן על התורה. 
""1:90, ""@45{$}(פה)@46 כך החצה. ב"ר פ"ד. ילקוט בראשית רמז ה'. 
""1:91, ""@45{$}(פט)@46 גברו מאד. במקרא כתוב מאד מאד. 
""1:92, ""@45{$}(צ)@46 מים שעל הרקיע במאמר הם תלויים. ב"ר פ"ד במאמר ר' פנחס בשם ר' הושעיה רבה אמר. ומובא בילקוט בראשית רמז ה'. וכן בחגיגה י' ע"א דתניא מים העליונים במאמר הם תלויים. פירש"י אינן נחות על שום דבר אלא מכונסות ועומדות כמין בריכה ותלויות במאמרו של הקדוש ברוך הוא. ומה שסיים רש"י שם במאמר שלאחריו "ופירותיהם מי גשמים כו' מפורש בב"ר" כוון למאמר שהבאתי. ועי' שו"ט מזמור י"ט ושם הלשון משובש. ויפה תקן ידידי הרב הגדול המופלג מהרא"ם פאדווא נ"י בביאורו אות כ'. 
""1:93, ""@45{$}(צא)@46 שאילה. וכן הביא הרמב"ן אבל בכאן אחר אמירת יהי רקיע כתוב ויעש אלהים את הרקיע. ולמה הוסיף ויהי כן אלא רצה לומר שהיה כן תמיד כל ימי העולם. וע"ש שהביא דברי הראב"ע וכתב ואינו נכון. 
""1:94, ""@45{$}(צב)@46 והרקיע שעשה ביום שני יי עיין ברמב"ן. 
""1:95, ""@45{$}(צג)@46 ואמרו חז"ל כי ששה רקיעים הם. עיין אדר"נ פל"ז ר"מ אומר שבע רקיעין הן. וילון. רקיע. שחקים. זבול. מעון. מכון. ערבות. ובמדרש דברים רבה פ"ב במאמר ד"א שמע ישראל. ובשו"ט מזמור קי"ד הוא בשם ר' אליעזר. ובחגיגה י"ב ע"ב הוא בשם ר"ל. ועיין בדב"ר שם. ויש לתקן שם כמו שהוא בכל המקומות. ועיין פסיקתא פסקא בחודש השביעי בהערה ע"ו. ופסקא ויהי ביום כלות משה הערה קל"ח. 
""1:96, ""@45{$}(צד)@46 שנאמר הן לה' אלהיך השמים ושמי השמים. ויל"ד איך יליף מהמקרא הזה דשבע רקיעין הן ? ולדעתי חסר וכצ"ל וי"א שני רקיעים הן. שנא' השמים ושמי השמים. כמו שהוא בחגיגה שם בשם ר' יהודה. וכן נשנה במדרש דב"ר פ"ב. אבל במדרש שו"ט מזמור קי"ד איתא רבנן אמרי [צ"ל רב אמר] שני רקיעין הן. שנא' לרוכב בשמי שמי קדם. רבנן אמרי שלשה הן. שנ' השמים ושמי השמים ע"כ. ודרש השמים חד ושמי השמים שנים. הרי שלשה. ובמדרש שו"ט מזמור קמ"ח הללו שמי השמים מכאן אתה למד שאינן אלא גשמים. וכה"א הנה השמים ושמי השמים ע"כ. מלת גשמים מחוסרת הבנה. ויש לתקן שצ"ל ג' שמים ואח"כ נתחברו המלות ונעשה גשמים. והוא עפ"י מאמרם ג' רקיעין הן. וכן ראיתי בבאור הרב מהרא"ם פדוואה שהביא כן בשם הרד"ל ז"ל. וכאשר הי' בעירי הרב המבאר הנ"ל. עוד בטרם הוציא לאור את באורו. הראיתיו זה שכן הגהתי בצד המדרש שלי. וכעת מצאתי בילקוט ראובני בראשית עה"כ ויאמר אלהים יהי רקיע. שהביא בשם מדרש שו"ט מזמור קמ"ח לנכון כמו שתקנתי. וז"ל מכאן אתה למד שאינן אלא שלשה שמים. 
""1:97, ""@45{$}(צה)@46 כי הקדוש ברוך הוא הוא מעונו של עולם. ב"ר פס"ח. שו"ט מזמור צ'. פסיקתא רבתי פכ"א. ילקוט ויצא רמז קי"ז. 
""1:98, ""@45{$}(צו)@46 מיד ברא מלאכי השרת. הוא דברי ר' יוחנן. ב"ר ריש פ"א. וסוף פ"ג. שמ"ר פט"ו. תנחומא חיי. ושו"ט מזמור כ"ד. פדר"ז רפ"ד. וע"ש בבאור הרד"ל והביא בשם מדרש כונן ביום שני נבראו אראלים ומלאכים ואופנים ושרפים וחשמלים וכן הביא מס' יצירה וכן תראה ביב"ע בראשית א' כ"ו. 
""1:99, ""@45{$}(צז)@46 גם גיהנם ביום שני נברא. פסחים נ"ד ע"א. ב"ר סוף פ"ד. למה אין כתוב בשני כי טוב. ר' יוחנן תני לה כו'. וכן נשנה במדרש שמ"ר פט"ו. תנחומא חיי. פדר"א רפ"ד. ומדרש כונן. ילקוט בראשית רמז ה'. 
""1:100, ""@45{$}(צח)@46 ד"א לפי שהארץ. ב"ר פ"ד אר"ש לפי שלא נגמרה מלאכת המים כו'. ועי' רש"י עה"ת בראשית א' ז' ומפני מה לא נאמר כי טוב ביום שני כו'. 
""1:101, ""@45{$}(צט)@46 ד"א לפי שלקה משה. בב"ר שם הוא מאמר ר' לוי מתחלת ברייתו של עולם צפה הקדוש ברוך הוא משה קרוי טוב ועתיד ליטול את שלו מתחת ידיהם. פי' עונש שלו מתחת ידיהם שע"י מי מריבה נגזר עליו שלא יכנס לארץ. וכן מובא בילקוט רמז ו'. 
""1:102, ""@45{$}(ק)@46 ופי' כמו כן תרנם. ר"ל ישר וטוב. ופי' הכתוב בל יחזקו כן תרנם. לא יחזקו חוזק ישר וטוב. עיין רד"ק בשרשים שרש כן. 
""1:103, ""@45{$}(קא)@46 כמו הקו כך המיס סביבות האש. ע"פ דרשתם ב"ר ריש פ"ה ילקוט רמז ז' יעשה מדה למים המד"א וקו ינטה על ירושלים. 
""1:104, ""@45{$}(קב)@46 שגער בהם ושקען בתהומות. עי' ב"ר פ"ה. שו"ט מזמור צ"ג. ושמ"ר פט"ו. 
