Index Title,Moed Katan
Moed Katan 3a:3,"Als R. Dimi kam, sagte er: [Sie$fn26lehrten:] Man könnte glauben, man"
Moed Katan 3b:1,"erhalte Geißelhiebe auch wegen des Zusatzes, so gibt es eine Lehre, daß man frei ist. Ich weiß aber nicht, was für eine Lehre und was für ein Zusatz das ist. R. Elea͑zar erklärte: Das Pflügen$fn27. Dies ist also wie folgt zu verstehen: Man könnte glauben, man erhalte Geißelhiebe wegen des Pflügens, [dessen Verbot] durch [die Regel] vom Generellen, Speziellen und Generellen gefolgert$fn28wird, so gibt es eine Lehre, daß man frei ist, sonst wäre ja die besondere Aufzählung$fn29überflüssig. R. Joḥanan erklärte: Die Tage vor Neujahr, die die Weisen [zum Siebentjahre] hinzugefügt$fn30haben. Dies ist also wie folgt zu erklären: Man könnte glauben, man erhalte Geißelhiebe wegen des Zusatzes vor dem Siebentjahre, wie zu folgern ist aus [den Worten :]$fn31<i>in der Zeit des Pflügens und des Erntens sollst du ruhen</i>, so gibt es eine Lehre, daß man frei ist, wie wir dies weiter erklären."
Moed Katan 3b:2,"Welches Bewenden hat es mit den Tagen vor Neujahr? – Wir haben gelernt: Bis wie lange darf man das Baumfeld im Vorsiebentjahre pflügen? Die Schule Šammajs sagt, so lange es für die heurige Frucht nützlich ist; die Schule Hillels sagt, bis zum Wochenfeste. Die Worte dieser und die Worte jener sind einander nahe. Bis wie lange darf man das Getreidefeld im Vorsiebentjahre pflügen? Bis die Feuchtigkeit [des Bodens] aufhört, so lange Leute noch pflügen, um Gurken und Kürbisse$fn32zu pflanzen. R. Šimo͑n sprach: Demnach hat die Tora die Frist jedem in die Hand gegeben!? Vielmehr das Getreidefeld bis zum Pesaḥfeste, das Baumfeld bis zum Wochenfeste. (Die Schule Hillels sagt, bis zum Pesaḥfeste.) Hierzu sagte R. Šimo͑n b. Pazi im Namen des R. Jehošua͑ b. Levi im Namen Bar Qapparas: R. Gamliél und sein Gerichtskollegium stimmten über diese zwei Zeitbestimmungen ab und hoben sie auf. R. Zera sprach zu R. Abahu, und wie manche sagen, Reš Laqiš zu R. Joḥanan: Wieso konnten R. Gamliél und sein Gerichtskollegium eine Anordnung der Schule Šammajs und der Schule Hillels aufheben, wir haben ja gelernt, ein Gerichtshof könne nicht die Worte eines anderen Gerichtshofes aufheben, es sei denn, daß er größer ist als jener an Weisheit und Zahl!? Eine Weile war er bestürzt, dann erwiderte er: Vielleicht hatten sie bestimmt, daß jeder, der dies will, komme und es aufhebe. – Ist dies denn [eine Anordnung] von ihnen, dies ist ja eine Moše am Sinaj überlieferte Halakha!? R. Asi sagte nämlich im Namen R. Joḥanans im Namen des R. Neḥunja aus dem Tale Beth Ḥivarthan: Die [Lehren von den] zehn Setzlingen$fn33, der Bachweide$fn34und dem Wassergießen$fn35, sind Moše am Sinaj überlieferte Halakhoth. R. Jiçḥaq erwiderte: Die Halakha erstreckt sich nur auf dreißig Tage vor Neujahr, und sie dehnten es bis zum Pesaḥfeste, beziehungsweise zum Wochenfeste aus, und bezüglich ihrer [Frist] bestimmten sie, daß jeder, der dies will, kommen und es aufheben könne. – Sind es denn überlieferte Halakhoth, sie sind ja [Bestimmungen] der Schrift!? Wir haben nämlich gelernt :$fn36<i>Beim Pflügen und beim Ernten sollst du ruhen</i>. R. A͑qiba sagt: Da dies vom Pflügen und Ernten im Siebentjahre nicht nötig ist, da es bereits heißt: <i>du darfst dein Feld nicht besäen und deinen Weinberg nicht beschneiden</i>, so beziehe man es auf das Pflügen im Vorsiebentjahre für das Siebentjahr und auf die Ernte des Siebentjahres"
Moed Katan 4a:1,"im Nachsiebentjahre. R. Jišma͑él sagte: Wie das Pflügen Freigestelltes ist, so auch das Ernten, wenn es Freigestelltes ist, ausgenommen das Ernten der Erstlingsgarbe, das Gebot$fn37ist. Vielmehr, erklärte R. Naḥman b. Jiçḥaq, die überlieferte Halakha [lehrt], daß es bei jungen [Setzlingen] erlaubt ist, und die Schriftverse [deuten], daß es bei alten verboten ist. – Wenn die überlieferte Halakha es bei jungen erlaubt, so ist es ja selbstverständlich, daß es bei alten verboten istl? – Vielmehr, die überlieferte Halakha ist nach R. Jišma͑él$fn38, und die Schriftverse sind nach R. A͑qiba nötig. R. Joḥanan erwiderte: R. Gamliél und sein Gerichtskollegium stützen sich bei ihrer Aufhebung auf die Tora. – Wieso? – Dies ist durch [das Wort] <i>Ruhe</i> zu folgern, das auch beim gewöhnlichen Šabbath gebraucht wird: wie bei diesem die Arbeit nur an diesem selbst verboten ist, vor- und nachher aber erlaubt, ebenso ist sie auch [beim Siebentjahre] nur an diesem selbst verboten, vorund nachher aber erlaubt. R. Aši wandte ein: Wieso kann, nach dem dies eine überlieferte Halakha ist, die Wortanalogie eine überlieferte Halakha aufheben, und wieso kann, nach dem dies ein Verbot der Schrift ist, die Wortanalogie ein Verbot der Schrift aufheben!? Vielmehr, erklärte R. Aši, R. Gamliél und sein Gerichtskollegium sind der Ansicht R. Jišma͑éls, welcher sagt, dies sei eine überlieferte Halakha, und die überlieferte Halakha hat gleich dem Wassergießen Geltung nur zur Zeit, wenn der Tempel besteht, nicht aber, wenn der Tempel nicht besteht."
Moed Katan 4a:2,"A<small>BER NICHT MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER.</small> Allerdings ist [die Bewässerung] mit Zugbrunnenwasser mühevoll, welche Mühe gibt es aber bei Regenwasser!? R. Ilea͑ erwiderte im Namen R. Joḥanans: Beim Regenwasser ist das Zugbrunnenwasser berücksichtigt worden. R. Aši erwiderte: Aus dem Regenwasser selbst kann Zugbrunnenwasser$fn39werden. Sie streiten über [eine Lehre] R. Zeras, denn R. Zera sagte im Namen des Rabba b. Jirmeja im Namen Šemuéls: Aus Teichen, die Zufluß aus Wassersammlungen$fn40haben, darf man am Halbfeste bewässern. Einer hält von der Lehre R. Zeras, und einer hält nicht von der Lehre R. Zeras."
Moed Katan 4a:3,"Der Text. R. Zera sagte im Namen des Rabba b. Jirmeja, im Namen Šemuéls: Aus Teichen, die Zufluß aus Wassersammlungen haben, darf man am Halbfeste bewässern. R. Jirmeja wandte gegen R. Zera ein: Nicht aber mit Regen- oder Zugbrunnenwasser!? Dieser erwiderte: Jirmeja, mein Sohn, die Wassersammlungen in Babylonien gleichen Gewässern, die nicht versiegen."
Moed Katan 4a:4,"Die Rabbanan lehrten: Aus Lachen und Pfützen, die am Vorabend des Festes mit Wasser gefüllt worden sind, darf man am Halbfeste nicht bewässern; wenn aber zwischen diesen ein Wasserarm sich hinzieht, so ist es erlaubt. R. Papa sagte: Dies nur, wenn der größere Teil dieses Feldes aus diesem Wasserarm bewässert wird$fn41. R. Aši sagte: Auch wenn der größere Teil dieses Feldes [aus diesem] nicht bewässert wird, denn da es nach und nach doch bewässert wird, sagt man sich: wird es nicht in einem Tage bewässert, so wird es in zwei oder drei Tagen."
Moed Katan 4a:5,"Die Rabbanan lehrten: Wenn aus einem Rieselfelde Wasser in eine Lache abfließt, so darf man aus dieser ein anderes Rieselfeld bewässern. – Das Wasser versiegt ja!? R. Jirmeja erwiderte: Einstweilen tropft es noch. Abajje sagte: Dies nur, solange die erste Quelle nicht versiegt ist."
Moed Katan 4a:6,"Es wird gelehrt: R. Šimo͑n b. Menasja sagte: Wenn von zwei Beeten das eine höher und das andere tiefer liegt, so darf man nicht vom unteren schöpfen und das obere bewässern. Noch mehr verschärfte es R. Elea͑zar b. Šimo͑n: Selbst wenn von einem Beete die eine Hälfte tiefer und die andere höher ist, darf man nicht aus der tieferen Stelle schöpfen und die höhere Stelle bewässern."
Moed Katan 4a:7,"Die Rabbanan lehrten: Man darf für Kräuter schöpfen$fn42,um sie zu essen, nicht aber, damit sie besser wachsen. Rabina und Rabba Tospaáh gingen am Halbfeste auf einem Wege und sahen einen Mann Eimer Wasser schöpfen. Da sprach Rabba Tospaáh zu Rabina: Möge der Meister ihn in den Bann tun. Dieser erwiderte: Es wird gelehrt, man dürfe Wasser für Kräuter schöpfen, um sie zu essen. Jener entgegnete: Du"
Moed Katan 4b:1,"glaubst wohl, ‘schöpfen’ heiße ‘Wasser schöpfen’, ‘schöpfen’ heißt ‘herausziehen’$fn43wie gelehrt wird: Wenn jemand Weinreben ausbeert, so beere er auch die der Armen$fn44aus, wie er seine ausbeert – so R. Jehuda; R. Meír sagt, wohl dürfe er dies bei seinen, nicht aber bei denen der Armen. Dieser erwiderte: Es wird ja aber gelehrt, man dürfe Wasser für Kräuter schöpfen, um sie zu essen!? Jener entgegnete: Ist dies gelehrt worden, so ist es gelehrt worden."
Moed Katan 4b:2,"M<small>AN DARF KEINE</small> K<small>REISFURCHEN UM DIE</small> W<small>EINSTÖCKE MACHEN</small>. Was sind U͑gjoth? R. Jehuda erwiderte: Kreisfurchen. Ebenso wird auch gelehrt: U͑gjoth sind die Furchen um die Wurzeln der Olivenbäume und Weinstöcke. – Dem ist ja aber nicht so, R. Jehuda erlaubte ja den Leuten von Barçita$fn45Furchen auf ihren Weinbergen zu machen!? – Das ist kein Einwand, dies bei neuen, jenes bei alten."
Moed Katan 4b:3,"R. E<small>LEA͑ZAR B.</small> A<small>͑ZARJA SAGT, MAN DÜRFE KEINEN</small> W<small>ASSERGRABEN ERRICHTEN</small>. Allerdings nicht am Halbfeste, wegen der Mühe, weshalb aber nicht im Siebentjahre? – Hierüber streiten R. Zera und R. Abba b. Mamal; einer sagt, weil dies den Anschein des Behackens hat, und einer sagt, weil man die Ufer zum Säen brauchbar macht. – Welchen Unterschied gibt es zwischen ihnen? – Einen Unterschied gibt es zwischen ihnen, wenn gleich darauf Wasser kommt; nach demjenigen, welcher sagt, man mache die Ufer zum Säen brauchbar, ist dies zu berücksichtigen, und nach demjenigen, welcher sagt, es habe den Anschein des Behackens, ist nichts zu berücksichtigen. – Aber auch nach demjenigen, welcher sagt, weil es den Anschein des Behackens hat, sollte doch berücksichtigt werden, man macht die Ufer zum Säen brauchbar!? – Vielmehr einen Unterschied gibt es zwischen ihnen, wenn man [den Schutt] herausnimmt und weit fortwirft; nach demjenigen, welcher sagt, weil man die Ufer zum Besäen brauchbar macht, ist nichts zu berücksichtigen, und nach demjenigen, welcher sagt, weil es den Anschein des Behackens hat, ist dies zu berücksichtigen. – Aber auch nach demjenigen, welcher sagt, weil man die Ufer zum Besäen brauchbar macht, sollte doch berücksichtigt werden, es hat den Anschein des Behackens!? – Auch beim Behacken läßt man [den Schutt] daneben liegen. Amemar lehrte$fn46 [ausdrücklich]: weil es den Anschein des Behackens hat, und wies auf einen Widerspruch hin, in dem R. Elea͑zar b. A͑zarja sich befindet: kann R. Elea͑zar b. A͑zarja denn gesagt haben, daß es, wo es den Anschein des Behackens hat, verboten sei, dem widersprechend wird ja gelehrt: Man darf [im Siebentjahre] den Dung in einem Haufen sammeln; R. Meír verbietet dies, es sei denn, daß man ihn drei Handbreiten tiefer oder drei Handbreiten höher legt. Hat man nur wenig, so füge man nach und nach hinzu; R. Elea͑zar b. A͑zarja verbietet dies, es sei denn, daß man ihn drei Handbreiten tiefer oder drei Handbreiten höher legt, oder daß man ihn auf einen Felsen legt. R. Zera und R. Abba b. Mamal [erklärten es]; einer erklärte, wenn die Vertiefung [bereits vorhanden] war, und einer erklärte, der Dung beweise es$fn47."
Moed Katan 4b:4,"U<small>ND AM</small> H<small>ALBFESTE VERFALLENE AUSBESSERN</small>. Was heißt ‘verfallene’? R. Abba erwiderte: Wenn die Tiefe bis auf eine Handbreite reduziert wurde, so darf man sie wieder auf sechs herstellen."
Moed Katan 4b:5,"Selbstverständlich ist es von einer halben Handbreite auf drei$fn48 [verboten], denn da in einem solchen$fn49kein Wasser fließt, so ist es nichts, und ebenso von zwei$fn50auf zwölf, weil dies sehr mühevoll ist. Wie ist es aber von zwei auf sieben$fn50: da$fn51tieft man fünf aus und hierbei tieft man fünf$fn52aus, oder aber [ist es verboten], weil die Handbreite darüber$fn53eine unnötige Mühe ist? – Dies bleibt unentschieden. Abajje erlaubte den Leuten von Bar Hamdakh einen Fluß von Gezweigen zu reinigen. R. Jirmeja erlaubte den Leuten von Sekutha einen verstopften Fluß auszubaggern. R. Aši erlaubte den Leuten von Matha Meḥasja im Flusse Burniç [eine Sandbank] zu durchstechen, indem er sagte, da das Publikum aus diesem trinkt, so erfolgt es für die Öffentlichkeit, und wir haben gelernt, man dürfe alle öffentlichen Arbeiten verrichten."
Moed Katan 4b:6,
