Index Title,Keritot
Keritot 7a:5,"D<small>IE</small> W<small>EISEN SAGEN, AUCH DER</small> G<small>OTTESLÄSTERER</small> &amp;<small>C</small>. Worauf beziehen sich [die Worte:] auch der Gotteslästerer, der keine Tätigkeit ausübt? – Die Rabbanan hörten R. A͑qiba es vom Totenbeschwörer und nicht vom Wahrsager lehren, da sprachen sie zu ihm: Dieser bringt wohl deshalb kein Opfer, weil er keine Tätigkeit ausübt, und auch der Gotteslästerer übt keine Tätigkeit aus."
Keritot 7a:6,"Die Rabbanan lehrten: Der Gotteslästerer bringe ein Opfer dar, weil dabei die Ausrottung genannt wird – so R. A͑qiba. Ferner heißt es:$fn256<i>er wird seine Sünde tragen</i>. – Ist es denn eine stichhaltige Regel, daß wegen all dessen, wobei die Ausrottung genannt wird, ein Opfer darzubringen ist, auch beim Pesaḥopfer und bei der Beschneidung wird ja die Ausrottung genannt, und dieserhalb ist kein Opfer darzubringen!? – Er"
Keritot 7b:1,"meint es wie folgt: der Gotteslästerer bringe ein Opfer dar, weil bei ihm die Ausrottung anstelle des Opfers genannt wird – so R. A͑qiba. Er ist der Ansicht, da die Ausrottung anderweitig stehen sollte, aber [im Abschnitte] von den Opfern$fn257steht, so ist zu entnehmen, daß er ein Opfer darbringe. Und [die Worte:] ferner heißt es:$fn258<i>er soll seine Sünde tragen</i>, sind von den Rabbanan. R. A͑qiba sprach zu den Rabbanan wie folgt: Ihr sagt, der Gotteslästerer begehe keine Tätigkeit: Gotteslästerer$fn259ist ja derjenige, der den Gottesnamen beschimpft, wozu wird nun die Ausrottung [beim Gotteslästerer]$fn260genannt? Sie erwiderten ihm: Um daraus die Ausrottung für den Beschimpfenden zu entnehmen. Beim Beschimpfenden heißt es:$fn261<i>er soll seine Sünde tragen</i>, und beim zweiten Pesaḥ heißt es ebenfalls:$fn258<i>er soll seine Sünde tragen</i>, wie da die Ausrottung, ebenso hier die Ausrottung."
Keritot 7b:2,"Die Rabbanan lehrten:$fn262<i>Er lästerte den Herrn</i>. Isi b. Jehuda sagte: Wie wenn jemand zu seinem Nächsten sagen würde: Du hast die Schüssel ausgerafft$fn263und sie auch beschädigt. Er ist der Ansicht, lästern heiße den Gottesnamen beschimpfen. R. Elea͑zar b. A͑zarja sagte: Wie wenn jemand zu seinem Nächsten sagen würde: du hast die Schüssel ausgerafft und sie nicht beschädigt. Er ist der Ansicht, lästern heiße Götzen$fn264verehren. Ein Anderes lehrt: <i>Den Herrn</i>. R. Elea͑zar b. A͑zarja sagt, die Schrift spreche vom Götzendienste; die Weisen sagen, die Schrift wolle damit nur die Beschimpfung des Gottesnamens mit der Ausrottung belegen."
Keritot 7b:3,"<sup>iii</sup> M<small>ANCHE</small> [W<small>ÖCHNERINNEN</small>] <small>BRINGEN EIN</small> O<small>PFER</small>$fn265<small>, UND ES IST ZU ESSEN, MANCHE BRINGEN EIN</small> O<small>PFER, UND ES IST NICHT ZU ESSEN</small>, [<small>UND MANCHE BRINGEN ÜBERHAUPT KEINES</small>]. M<small>ANCHE BRINGEN EIN</small> O<small>PFER, UND ES IST ZU ESSEN: DIE ETWAS</small> V<small>IEH-</small>, W<small>ILD- ODER</small> V<small>OGELARTIGES ABORTIERT HAT</small> – <small>SO</small> R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, NUR WENN ETWAS</small> M<small>ENSCHENÄHNLICHES DARAN WAR</small>. D<small>IE EINEN</small> S<small>ANDEL, EINE</small> N<small>ACHGEBURT ODER EINE ENTWICKELTE</small> E<small>IHAUT ABORTIERT HAT, ODER WENN</small> [<small>DIE</small> G<small>EBURT</small>] <small>ZERSTÜCKELT HERAUSKAM</small>. E<small>BENSO BRINGT EINE</small> S<small>KLAVIN, DIE ABORTIERT HAT, EIN</small> O<small>PFER, UND ES IST ZU ESSEN</small>. <sup>iv</sup> F<small>OLGENDE BRINGEN EINES UND ES IST NICHT ZU ESSEN: DIE ABORTIERT HAT UND NICHT WEISS, WAS SIE ABORTIERT HAT, UND ZWEI</small> F<small>RAUEN, DIE ABORTIERT HABEN, EINE, WAS</small> [<small>ZUM</small> O<small>PFER</small>] <small>NICHT VERPFLICHTET, UND EINE, WAS DAZU VERPFLICHTET</small>. R. J<small>OSE SAGTE</small>: N<small>UR DANN, WENN EINE NACH</small> O<small>STEN UND EINE NACH</small> W<small>ESTEN GEGANGEN IST, WENN ABER BEIDE DASTEHEN, SO BRINGEN BEIDE EIN</small> O<small>PFER, UND ES IST ZU ESSEN</small>. <sup>v</sup> F<small>OLGENDE BRINGEN KEINES: DIE EINE</small> E<small>IHAUT VOLL</small> W<small>ASSER, VOLL</small> B<small>LUT ODER VOLL VERSCHIEDENER</small> G<small>EBILDE ABORTIERT HAT, DIE ETWAS</small> F<small>ISCH</small>-, H<small>EUSCHREKKEN-</small>, E<small>KELTIER- ODER</small> K<small>RIECHTIERARTIGES ABORTIERT HAT, DIE AM VIERZIGSTEN</small> T<small>AGE</small>$fn266<small>EINE</small> F<small>EHLGEBURT ABORTIERT HAT, UND DIE EINE</small> S<small>EITENGEBURT</small> [<small>ZUR</small> W<small>ELT GEBRACHT</small>] <small>HAT</small>. R. Š<small>IMO͑N VERPFLICHTET DAZU BEI EINER</small> S<small>EITENGEBURT</small>."
Keritot 7b:4,"GEMARA. Woher dies von einer Sklavin? – Die Rabbanan lehrten: $fn267<i>Den Kindern Jisraél</i>; ich weiß dies nur von den Kindern Jisraél, woher dies von Proselytin und Sklavin? Es heißt$fn267<i>ein Weib</i>. – Was heißt: ebenso$fn268eine Sklavin? – Man könnte glauben, nur bei Dingen, wobei Mann und Weib einander gleichen, sagen wir, zu den Geboten, zu denen Weiber verpflichtet sind, seien auch Sklaven verpflichtet, zu den eine Wöchnerin [betreffenden Gesetzen] aber, die nur bei Weibern und nicht bei Männern Geltung haben, sei eine Sklavin nicht verpflichtet; daher lehrt er: ebenso eine Sklavin."
Keritot 7b:5,"F<small>OLGENDE BRINGEN EIN</small> O<small>PFER</small> &amp;<small>C</small>. Wie machen sie$fn269es? – Sie bringen [jede] ein zweifelloses [Brand]opfer$fn270und [zusammen] ein zweifelhaftes Geflügel-Sündopfer und treffen eine Vereinbarung$fn271. – Hält denn R. Jose von der Vereinbarung, wir haben ja gelernt: R. Šimo͑n sagt, sie bringen beide$fn272e in Sündopfer; R. Jose sagt, zwei können nicht ein Sündopfer bringen. Demnach hält R. Jose nichts von der Vereinbarung!? Raba erwiderte: R. Jose pflichtet bei hinsichtlich solcher, die der Sühne$fn273 benötigen. Ebenso sagte Rabin, als er kam, im Namen R. Joḥanans, R. Jose pflichte hinsichtlich solcher bei, die der Sühne benötigen. – Aus welchem Grunde? – Bei diesen ist für die Person ein Bewußtsein erforderlich, denn es heißt:$fn274<i>und er sich seiner Sünde bewußt wird</i>, daher können nicht [zwei ein Opfer] bringen und vereinbaren, hierbei aber bringen die Frauen das Opfer nur deshalb, um Heiliges essen$fn275zu dürfen. So heißt es auch im Schlußsätze jener Lehre: R. Jose sagt, ein Sündopfer, das wegen einer Sünde dargebracht wird, können zwei nicht darbringen."
Keritot 7b:6,"F<small>OLGENDE BRINGEN KEINES</small> &amp;<small>C</small>. R. Š<small>IMO͑N VERPFLICHTET DAZU BEI EINER</small> S<small>EITENGEBURT</small>. Was ist der Grund R. Šimo͑ns? Reš Laqiš erwiderte: Die Schrift sagt:$fn276<i>und wenn sie ein Mädchen gebiert</i>, dies$fn277schließt noch eine andere Geburt ein, nämlich die Seitengeburt. – Was ist der Grund der Rabbanan? R. Mani b. Paṭiš erwiderte:$fn278<i>Wenn eine Frau befruchtet wird und gebiert</i>, nur wenn sic aus der Stelle gebiert, wo sie befruchtet wird."
Keritot 7b:7,"<sup>vi</sup> <b>W</b><small>ENN EINE</small> F<small>RAU IN DER</small> N<small>ACHT ZUM EINUNDACHTZIGSTEN</small> T<small>AGE</small>$fn279<small>FEHLGEBIERT, SO IST SIE NACH DER</small> S<small>CHULE</small> Š<small>AMMAJS VON EINEM</small> O<small>PFER FREI UND NACH DER</small> S<small>CHULE</small> H<small>ILLELS DAZU</small>$fn280<small>VERPFLICHTET</small>. D<small>IE</small> S<small>CHULE</small> H<small>ILLELS SPRACH ZU DER</small> S<small>CHULE</small> Š<small>AMMAJS:</small> W<small>ELCHEN</small> U<small>NTERSCHIED GIBT ES DENN ZWISCHEN DER</small> N<small>ACHT ZUM EINUNDACHTZIGSTEN</small> T<small>AGE UND DEM EINUNDACHTZIGSTEN</small> T<small>AGE</small>$fn281<small>, WENN SIE IHM HINSICHTLICH DER</small> U<small>NREINHEIT</small>$fn282<small>GLEICHT, WIESO SOLLTE SIE IHM NICHT HINSICHTLICH DES</small> O<small>PFERS GLEICHEN!?</small> D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS ERWIDERTE:</small> N<small>EIN, WENN IHR DIES</small>$fn283 <small>VON DER</small> F<small>EHLGEBURT AM EINUNDACHTZIGSTEN</small> T<small>AGE SAGT, DIE ZU EINER FÜR DIE</small> D<small>ARBRINGUNG DES</small> O<small>PFERS GEEIGNETEN</small> Z<small>EIT GEKOMMEN IST, WOLLT IHR DIES AUCH VON DER</small> F<small>EHLGEBURT IN DER</small> N<small>ACHT ZUM EINUNDACHTZIGSTEN</small> T<small>AGE SAGEN, DIE NICHT ZU EINER FÜR DIE</small> D<small>ARBRINGUNG DES</small> O<small>PFERS GEEIGNETEN</small> Z<small>EIT GEKOMMEN IST!?</small> D<small>IE</small> S<small>CHULE</small> H<small>ILLELS ENTGEGNETE</small>: D<small>IE</small> F<small>EHLGEBURT AM EINUNDACHTZIGSTEN</small> T<small>AGE, DER AUF EINEN</small> Š<small>ABBATH FÄLLT, BEWEIST</small> [<small>DAS</small> E<small>NTGEGENGESETZTE</small>:] <small>SIE IST NICHT ZU EINER FÜR DIE</small> D<small>ARBRINGUNG DES</small> O<small>PFERS GEEIGNETEN</small> Z<small>EIT</small>$fn284<small>GEKOMMEN, DENNOCH IST</small> [<small>DIE</small> F<small>RAU</small>] <small>ZU EINEM</small> O<small>PFER VERPFLICHTET</small>. D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS ERWIDERTE:</small> N<small>EIN, WENN IHR DIES VON DER</small> F<small>EHLGEBURT AM EINUNDACHTZIGSTEN</small> T<small>AGE SAGT, DER AUF EINEN</small> Š<small>ABBATH FÄLLT, DER, WENN AUCH NICHT FÜR</small> P<small>RIVATOPFER, IMMERHIN FÜR</small> G<small>EMEINDEOPFER GEEIGNET IST, WOLLT IHR DIES AUCH VON DER</small> F<small>EHLGEBURT IN DER</small> N<small>ACHT ZUM EINUNDACHTZIGSTEN</small> T<small>AGE SAGEN, WO DOCH DIE</small> N<small>ACHT WEDER FÜR</small> P<small>RIVATOPFER NOCH FÜR</small> G<small>EMEINDEOPFER GEEIGNET IST!?</small> D<small>IE</small> B<small>LUT</small>[<small>UNREINHEIT</small>]$fn285<small>BEWEIST ABER NICHTS; AUCH WENN SIE INNERHALB DER</small> R<small>EINHEITSTAGE</small>$fn286<small>ABORTIERT, 1ST DAS</small> B<small>LUT UNREIN, DENNOCH IST SIE VOM</small> O<small>PFER BEFREIT</small>."
Keritot 7b:8,GEMARA. Es wird gelehrt: Die Schule Hilleis sprach zu der Schule
Keritot 8a:1,"Šammajs: Es heißt:$fn287<i>oder wegen einer Tochter</i>, dies schließt die Nacht zum einundachtzigsten Tage ein."
Keritot 8a:2,"R. Hoša͑ja pflegte zu Bar Qappara zu gehen, dann ließ er ihn und ging zu R. Ḥija. Eines Tages traf er jenen und fragte ihn: Wie ist es nach der Schule Hillels, wenn ein Flußbehafteter, der drei Wahrnehmungen gemacht hat, in der achten Nacht$fn288[eine Wahrnehmung] gemacht$fn289hat: ist der Grund der Schule Hillels bei der nachts Abortierenden, weil es heißt: <i>oder wegen einer Tochter</i>, ein Flußbehafteter aber, der drei Wahrnehmungen gemacht hat, der in der achten Nacht [eine Wahrnehmung] gemacht hat, ist nach ihr befreit, weil diesbezüglich kein überflüssiger Schriftvers vorhanden ist, oder gibt es hierbei keinen Unterschied? Da sprach Bar Qappara zu ihm: Was sagt der Babylonier$fn290dazu? Da schwieg R. Hoša͑ja und sagte nichts. Hierauf sprach Bar Qappara zu ihm: Wir benötigen noch immer der Worte Ijas$fn291."
Keritot 8a:3,"Wir wollen nun zum Früheren zurück. Es heißt: <i>oder wegen einer Tochter</i>, dies schließt die Nacht zum einundachtzigsten Tage ein. Es wäre anzunehmen, daß hierüber Tannaím streiten: Wenn ein Flußbehafteter in der Nacht zum achten drei Wahrnehmungen gemacht hat, so hat er, wie Eines lehrt, [ein Opfer] darzubringen, und wie ein Anderes lehrt, keines$fn292darzubringen. Wahrscheinlich streiten hierüber Tannaím. Derjenige, welcher lehrt, er bringe eines, ist der Ansicht, die Nacht fehle nicht von der Frist$fn293, und derjenige, welcher lehrt, er bringe keines, ist der Ansicht, die Nacht fehle von der Frist. R. Hona b. Aḥa erwiderte im Namen des R.Elea͑zar: Jene Tannaím sind beide der Ansicht, die Nacht fehle von der Frist, nur spricht die Lehre, daß er eines bringe, von einem Flußbehafteten, der zwei Wahrnehmungen gemacht$fn294hat, und die Lehre, daß er keines bringe, spricht von einem Flußbehafteten, der drei Wahrnehmungen gemacht$fn295hat. – Wozu braucht dies von einem Flußbehafteten, der zwei Wahrnehmungen gemacht hat, gelehrt zu werden!? – Er lehrt uns folgendes: nur wenn er in der Nacht zum achten Tage wahrgenommen hat, nicht aber, wenn am siebenten Tage. Er ist nämlich der Ansicht, die hinfälligmachende Wahrnehmung$fn296bringe nicht zum Opfer. Raba sprach: Du hast also die Lehre, daß er keines bringe, auf einen Flußbehafteten bezogen, der drei Wahrnehmungen gemacht hat, demnach sollte er es doch mitzählen ln der Lehre von den fünf, die ein Opfer wegen mehrerer Übertretungcn$fn297darzubringeri haben!? – Dies$fn298ist nicht ausgemacht. R. Joḥanan sagte nämlich, wer eine Wahrnehmung nachts und zwei am Tage$fn299gemacht hat, bringe ein [Opfer], und wer zwei nachts und eine am Tage, bringe keines. R. Joseph sagte: Es ist auch zu beweisen, daß, wenn eine nachts und zwei am Tage, [ein Opfer] zu bringen ist. Bei der ersten Wahrnehmung ist es ja nichts weiter als Samenerguß$fn300, wenn er aber wiederum zweimal wahrnimmt, werden sie vereinigt. R. Šeseth, Sohn des R. Idi, wandte ein: Es ist ja nicht gleich; die erste Wahrnehmung des Flußbehafteten erfolgt zu einer Zeit, in der er [zum Opfer] verpflichtet ist, wenn aber einmal nachts, so ist es nicht zu einer Zeit erfolgt, in der er [zum Opfer] verpflichtet ist, und wenn R. Joḥanan uns nicht gelehrt hätte, daß sie vereinigt wird, würde man geglaubt haben, sie werde nicht vereinigt!? – Kann R. Joḥanan denn gesagt haben, die Nacht fehle von der Frist, Ḥizqija sagte ja, daß er, wenn er am Tage$fn301unrein geworden ist, dieserhalb [ein Opfer] bringe, und wenn nachts, keines bringe, und R. Joḥanan sagte, daß er, auch wenn nachts, eines bringe!? – Das, was R. Joḥanan gesagt hat, wenn zwei nachts und eine am Tage, er keines bringe, gilt nach demjenigen, welcher sagt, [die Nacht] fehle von der Frist. – Nach dem, der dies sagt, ist dies ja selbstverständlich!? – Nötig ist dies von dem Falle, wenn die Wahrnehmung erfolgt ist einmal nachts und zweimal am Tage; man könnte glauben, da dies außerhalb der Zeit, in der er [zum Opfer] verpflichtet ist, erfolgt ist, werde sie nicht vereinigt, so lehrt er uns."
Keritot 8a:4,"<sup>vii</sup> <b>H</b><small>AT EINE</small> F<small>RAU FÜNF ZWEIFELHAFTE</small> G<small>EBURTSFÄLLE</small>$fn302<small>ODER FÜNF ZWEIFELHAFTE</small> F<small>LUSSFÄLLE</small>$fn303, <small>SO BRINGE SIE EIN</small> O<small>PFER, UND SIE DARF VON</small> S<small>CHLACHTOPFERN ESSEN, UND WEGEN DER ÜBRIGEN BESTEHT FÜR SIE KEINE</small> P<small>FLICHT</small>. W<small>ENN FÜNF ZWEIFELLOSE</small> F<small>LUSSFÄLLE ODER ZWEIFELLOSE</small> G<small>EBURTSFÄLLE, SO BRINGE SIE EIN</small> O<small>PFER, UND SIE DARF VON</small> S<small>CHLACHTOPFERN ESSEN, UND AUCH WEGEN DER ÜBRIGEN</small> [O<small>PFER</small>] <small>BESTEHT FÜR SIE EINE</small> P<small>FLICHT</small>. E<small>INST EREIGNETE ES SICH, DASS IN</small> J<small>ERUŠALEM</small> T<small>AUBENPAARE</small>$fn304<small>AUF</small> G<small>OLDDENARE GESTIEGEN WAREN</small>. D<small>A SPRACH</small> R. Š<small>IMO͑N B</small>. G<small>AMLIÉL:</small> B<small>EI DIESEM</small> T<small>EMPEL, ICH GEHE DIESE</small> N<small>ACHT NICHT EHER SCHLAFEN, ALS BIS SIE FÜR</small> [S<small>ILBER</small>]<small>DENARE ZU HABEN SIND</small>. H<small>IERAUF BEGAB ER SICH ZUM</small> G<small>ERICHTSHÖFE UND LEHRTE:</small> W<small>ENN EINE</small> F<small>RAU FÜNF ZWEIFELLOSE</small> G<small>EBURTSFÄLLE ODER FÜNF ZWEIFELLOSE</small> F<small>LUSSFÄLLE HAT, SO BRINGE SIE EIN</small> O<small>PFER DAR, UND SIE DARF VON</small> S<small>CHLACHTOPFERN ESSEN, UND WEGEN DER ÜBRIGEN BESTEHT FÜR SIE KEINE</small> P<small>FLICHT</small>. A<small>N JENEM</small> T<small>AGE FIEL DAS</small> T<small>AUBENPAAR AUF EIN</small> V<small>IERTEL</small> [S<small>ILBERDENAR</small>]."
Keritot 8a:5,"GEMARA. Die Rabbanan lehrten: Hat sie fünf zweifellose Geburtsfälle und fünf zweifelhafte Flußfälle, oder fünf zweifellose Geburtsfälle und fünf zweifelhafte Geburtsfälle, so bringe sie zwei Taubenpaare, eines wegen der zweifellosen und eines wegen der zweifelhaften; das wegen der zweifellosen ist zu essen, und auch wegen der übrigen [Opfer] besteht für sie eine Pflicht, und das wegen der zweifelhaften ist nicht zu essen, und wegen der übrigen besteht für sie keine Pflicht. R. Joḥanan b. Nuri sagte: Bei den zweifellosen sage sie, es sei Wegen des letzten Falles, und sie ist$fn305befreit; bei den zweifelhaften sage sie, wenn darunter einer zweifellos ist, es sei wegen des zweifellosen, und sie ist befreit, wenn aber nicht, sage sie, es sei wegen eines von ihnen, und sie ist befreit. R. A͑qiba sagte: Sowohl bei den zweifellosen als auch bei den zweifelhaften sage sie, es sei wegen eines von ihnen, und sie ist befreit. R. Naḥman b. Jiçḥaq sprach zu R. Papa: Ich will dir im Namen Rabas sagen, worin der Streit dieser Tannaím besteht. R. Joḥanan b. Nuri vergleicht sie mit dem Sündopfer; wer fünf Sündopfer schuldig ist, muß sie alle darbringen und erst dann erlangt er Sühne, und auch hierbei ist es nicht anders. R. A͑qiba aber vergleicht sie mit dem Tauchbade; wer fünf Tauchbäder$fn306nehmen muß, ist rein, sobald er einmal untergetaucht ist, und auch hierbei ist es nicht anders. Da sprach R. Papa zu ihm: Wieso sage sie, wenn du sagst, R. Joḥanan b. Nuri vergleiche sie mit dem Sündopfer, bei den zweifelhaften, es sei wegen"
Keritot 8b:1,"eines von ihnen, und ist befreit, ist denn, wer fünf Schwebe-Schuldopfer schuldig ist und eines darbringt, frei, es wird ja gelehrt, die Regel sei, die hinsichtlich der Sündopfer geteilt sind, seien auch hinsichtlich der Schuldopfer geteilt!? Vielmehr sind alle der Ansicht, man vergleiche sie mit dem Tauchbade, und sie streiten, ob Fahrlässigkeit zu berücksichtigen sei. R. Joḥanan b. Nuri ist der Ansicht, man berücksichtige eine Fahrlässigkeit$fn307, und R. A͑qiba ist der Ansicht, man berücksichtige keine Fahrlässigkeit."
Keritot 8b:2,"<sup>i</sup><b>V</b>IER <small>BENÖTIGEN DER</small> S<small>ÜHNE</small>$fn1 <small>UND VIER HABEN</small> [<small>EIN</small> O<small>PFER</small>] <small>DARZUBRINGEN BEI</small> V<small>ORSÄTZLICHKEIT WIE BEI</small> U<small>NVORSÄTZLICHKEIT</small>. F<small>OLGENDE BENÖTIGEN DER</small> S<small>ÜHNE: DER</small> F<small>LUSSBEHAFTETE, DIE</small> F<small>LUSSBEHAFTETE, DIE</small> W<small>ÖCHNERIN UND (DER)</small> A<small>USSÄTZIGE</small>. R. E<small>LIE͑ZER B</small>. J<small>A͑QOB SAGT, EIN</small> P<small>ROSELYT ERLANGE</small> S<small>ÜHNE</small>$fn2 <small>ERST WENN MAN FÜR IHN DAS</small> B<small>LUT GESPRENGT HAT, EBENSO EIN</small> N<small>AZIRÄER HINSICHTLICH DES</small> W<small>EINTRINKENS, DES</small> H<small>AARSCHNEIDENS UND DER</small> V<small>ERUNREINIGUNG</small>$fn3."
Keritot 8b:3,"GEMARA. Den Flußbehafteten und die Flußbehaftete zählt er wohl deshalb als zwei, weil sie in ihrer Unreinheit verschieden sind; der Flußbehaftete ist unverschuldet nicht verunreinigend, die Flußbehaftete aber ist nur durch Tage und nicht durch Wahrnehmungen$fn4 verunreinigend. Es wird nämlich gelehrt:$fn5<i>Aus seinem Leibe</i>$fn6, nicht aber unverschuldet. Er ist verunreinigend durch Wahrnehmungen$fn7 wie durch Tage, denn es wird gelehrt: Die Schrift hat es beim Manne von den Wahrnehmungen und beim Weibe von den Tagen abhängig gemacht. Die Flußbehaftete ist verunreinigend auch unverschuldet, aber nicht verunreinigend durch Wahrnehmungen$fn4 wie durch Tage. Aber auch der Aussätzige und die Aussätzige sind ja in ihrer Unreinheit verschieden, denn der Aussätzige benötigt des ungepflegten Haares und der zerrissenen Kleider, wie es heißt: $fn8<i>seine Kleider sollen eingerissen sein und sein Haar wild</i>, und ihm ist der Geschlechtsverkehr verboten, die Aussätzige aber benötigt nicht des ungepflegten Haares und der zerrissenen Kleider. Es wird nämlich gelehrt: Ich weiß dies nur von einem Manne$fn9, woher dies von einem Weibe? Wenn es$fn8 <i>und der Aussätzige</i> heißt, so sind es zwei. Wieso heißt es demnach $fn10<i>Mann</i>? Die Schrift entreißt es dem vorangehenden und bezieht es auf das folgende: dies besagt, daß nur der Mann des ungepflegten Haares und der zerrissenen Kleider benötigt, nicht aber benötigt das Weib des ungepflegten Haares und der zerrissenen Kleider. Ihr ist der Geschlechtsverkehr erlaubt, denn es heißt:$fn11<i>er soll sieben Tage außerhalb seines Zeltes sitzen</i>, nicht aber [sie] außerhalb ihres Zeltes. Demnach sollte er auch diese als zwei zählen!? – Der Flußbehaftete und die Flußbehaftete sind hauptsächlich durch ihre Unreinheit von einander getrennt$fn12, der Aussätzige und die Aussätzige sind nicht hauptsächlich durch ihre Unreinheit von einander getrennt, denn bei beiden erfolgt es bei Graupengröße$fn13."
Keritot 8b:4,"R. E<small>LIE͑ZER B</small>. J<small>A͑QOB SAGT, DER</small> P<small>ROSELYT ERLANGE</small> S<small>ÜHNE</small> &amp;<small>C</small>. Weshalb lehrt es der erste Tanna nicht vom Proselyten? – Er lehrt nur Fälle, wobei das Essen von Geheiligtem erlaubt werden soll, wenn aber ein Proselyt ein Opfer bringt, so erfolgt es zur Geeignetmachung seiner Person, in die Gemeinde zu kommen. – Weshalb lehrt er es nicht vom Naziräer!? – Schließlich bringt auch der Naziräer sein Opfer nur deshalb, damit er Wein trinken dürfe, der profan ist. – R. Elie͑zer aber, der es vom Naziräer lehrt, bei dem es zur Geeignetmachung seiner Person erfolgt, sollte es ja auch vom unreinen Naziräer lehren!? – Dieser bringt das Opfer nur dazu, um in Reinheit in das Nazirat zu gelangen."
Keritot 8b:5,"Die Rabbanan lehrten: Ein Proselyt ist Heiliges zu essen behindert, bis er sein Vogelopfer dargebracht hat. Hat er morgens eine Taube dargebracht, so darf er abends Heiliges$fn14essen. Von allen in der Tora genannten Vogelpaaren ist eines ein Sündopfer und eines ein Brandopfer, hierbei aber sind beide Brandopfer. Hat er ein Sündopfer vom Vieh gebracht, so hat er seiner Pflicht genügt; wenn ein Brandopfer und ein Heilsopfer, so hat er seiner Pflicht genügt; wenn ein Speisopfer und ein Heilsopfer, so hat er seiner Pflicht nicht genügt. Sie sprechen von einem Vogelpaar nur zu seiner Erleichterung. – Mit einem Speisopfer und einem Heilsopfer genügt er seiner Pflicht wohl deshalb nicht, weil es heißt:$fn15<i>wie ihr verfahret, so soll auch er verfahren</i>, wie ihr Brandopfer und Heilsopfer, ebenso auch der Proselyt Brandopfer und Heilsopfer, somit sollte er auch mit einem Vieh seiner Pflicht nicht genügen, denn es heißt: <i>wie ihr verfahret, so soll auch er verfahren</i>!? R. Papa erwiderte: Es ist zu folgern: wenn er hinsichtlich eines Vogels einbegriffen$fn16ist, um wieviel mehr hinsichtlich des Brandopfers vom Vieh. – Demnach sollte dies auch vom Speisopfer gelten!? – Der Allbarmherzige hat es durch [das Wort] <i>so</i> ausgeschlossen. – Wo ist das Vogel[opfer] einbegriffen? – Die Rabbanan lehrten: <i>Wie ihr verfahret, so soll auch er verfahren</i>, wie ihr Brandopfer und Heilsopfer, ebenso auch er Brandopfer und Heilsopfer, denn es heißt:$fn17<i>wie ihr, so der Fremde</i>. Woher, daß auch das Vogel[opfer] einbegriffen ist? Es heißt:$fn15<i>ein Feueropfer angenehmen Geruches für den</i>"
Keritot 9a:1,"<i>Herrn</i>, und das Vogel-Brandopfer ist es, das ganz des Herrn ist. Man könnte glauben, auch das Speisopfer sei einbegriffen, so heißt es so. Ein Anderes lehrt: <i>Und herrichtet ein Feueropfer angenehmen Geruches für den Herrn</i>; man könnte verstehen, alles, was als Feueropfer aufgeht, auch ein Speisopfer, so heißt es: <i>wie ihr verfahret, so soll auch er verfahren</i>, wie ihr Blutopfer, ebenso auch sie Blutopfer. [Man könnte glauben:] wie ihr Brandopfer und Heilsopfer, ebenso auch sie Brandopfer und Heilsopfer, so heißt es: <i>wie ihr, so sei der Fremdling</i>, ich habe ihn mit euch verglichen, nicht aber hinsichtlich eurer Opfer. Rabbi sagte: <i>Wie ihr</i>, wie euere Vorfahren; wie euere Vorfahren in das Bündnis getreten sind nur durch Beschneidung, Untertauchen und Blutbesänftigung$fn18, ebenso sollen auch sie in das Bündnis treten nur durch Beschneidung, Untertauchen und Blutbesänftigung. Eine Taube ist nicht einzubegreifen, weil solches in der ganzen Tora nicht zu finden ist. (Sie sprechen von einem Vogelpaare nur zu seiner Erleichterung.) – Etwa nicht, es wird ja gelehrt: $fn19<i>Er bringe es heran</i>, was lehrt dies? – Da es von den Tauben heißt:$fn20er <i>bringe dar</i>, so könnte man glauben, wer gesagt hat. er nehme auf sich ein Vogel-Brandopfer, bringe nicht weniger als zwei Tauben, so heißt es: <i>er bringe es dar</i>, auch eine Taube!? – Immerhin finden wir es nicht als Pflicht[opfer], – Die Wöchnerin ist es ja, die eine junge Taube oder eine Turteltaube als Sündopfer darzubringen hat!? – Mit dieser ist auch ein Lamm darzubringen."
Keritot 9a:2,"<i>Der Meister sagte: Wie euere Vorfahren in das Bündnis eingetreten sind nur &amp;c. Allerdings durch Beschneidung, denn es heißt:</i>$fn21<i>denn beschnitten war das ganze Volk, das ausgezogen war, oder auch hieraus:</i> $fn22<i>ich zog an dir vorüber und sah dich in deinem Blute besudelt, da sprach ich zu dir: du sollst in deinem Blute leben &amp;c. Ebenso durch Blutbesänftigung, denn es heißt:$fn23</i>und <i>er sandte die Jünglinge der Kinder Jisraél</i>; <i>woher dies aber vom Untertauchen? – Es heißt:</i>$fn24<i>und Moše nahm die Hälfte des Blutes und sprengte es auf das Volk</i>, und es gibt keine Besprengung ohne Untertauchen. – Demnach sollte man in der Jetztzeit, wo es keine Opfer gibt, keine Proselyten aufnehmen!? R. Aḥa b. Ja͑qob <i>erwiderte: [Es heißt:</i>]$fn15<i>wenn unter euch ein Fremdling wohnt &amp;c. oder in euerer Mitte &amp;c</i>.$fn25."
