Index Title,Nazir
Nazir 3a:5,"I<small>CH NEHME AUF MICH, DAS</small> H<small>AAR HINWACUSEN ZU LASSEN, SO IST ER</small> N<small>AZIR</small>. Woher, daß unter Šalaḥ$fn44das Wachsenlassen zu verstehen ist? – Es heißt:$fn45<i>deine Schößlinge [šelaḥajikh] wie ein Granatenhain</i>. – Vielleicht etwas, das vorübergeht$fn46, wie es heißt:$fn47<i>er läßt Wasser über die Straßen ziehen [šoleaḥ]</i>!? – Der Autor folgert aus [dem Worte] <i>Haarwuchs</i>; hierbei heißt es:$fn48<i>heilig soll er sein, den Haarwuchs gedeihen lassen</i>, und dort, beim gemeinen Priester, heißt es:$fn49<i>den Haarwuchs sollen sie nicht nachhängen lassen</i>. Wenn du aber willst, sage ich: auch beim Wasser$fn50ist unter <i>šoleaḥ</i> das Wachsen zu verstehen, denn R. Joseph paraphrasiert: wie das Wasser die Frucht tränkt und sie wachsen macht."
Nazir 3a:6,"I<small>CH NEHME AUF MICH</small> [<small>DIE</small> D<small>ARBRINGUNG</small>] <small>VON</small> V<small>ÖGELN, SO IST ER, WIE</small> R. M<small>EÍR SAGT</small>, N<small>AZIR</small>. Was ist der Grund R. Meírs? Reš Laqiš erwiderte: Er nahm auf sich [die Darbringung] der Vögel, die neben ‘Haar’ genannt$fn51werden, wie es heißt:$fn52<i>bis das Haar ihm wie den Adlern gewachsen war, und die Nägel wie Vögel[krallen]</i>. R. Meír ist der Ansicht, er werde vom daneben genannten$fn53erfaßt, und die Rabbanan sind der Ansicht,"
Nazir 3b:1,"er werde vom daneben genannten nicht erfaßt. R. Joḥanan erwiderte: Alle stimmen überein, daß er vom daneben genannten nicht erfaßt werde, vielmehr ist folgendes der Grund R. Meírs: wir berücksichtigen, er kann [die Darbringung der] Vögel eines unreinen Nazirs$fn54auf sich genommen haben. – Merke, er sagt ja, es sei zu berücksichtigen, somit kann er ja ein freiwilliges Vogelopfer auf sich genommen haben!? – Sodann sollte er gesagt haben: ich nehme auf mich [die Darbringung] eines Vogelpaares$fn55. – Vielleicht meinte er die Vögel eines Aussätzigen$fn56!? – Wenn ein Nazir an ihm vorüberging. – Vielleicht meinte er einen unreinen Nazir, ihn seiner Opfer zu entheben$fn57!? – Wenn ein reiner Nazir an ihm vorüberging. – Welchen Unterschied gibt es zwischen ihnen$fn58? – Einen Unterschied gibt es zwischen ihnen in dem Falle, wenn er gesagt hat: er nehme auf sich [die Darbringung von] Vögeln, die neben ‘Haar’ genannt werden. Nach R. Joḥanan ist er, obgleich er diesen Ausdruck gebraucht hat, nur dann [Nazir], wenn ein Nazir an ihm vorüberging, sonst aber nicht, nach Reš Laqiš aber auch dann, wenn kein Nazir an ihm vorüberging. – Gibt es denn jemand, der der Ansicht wäre, man werde von dem, was daneben genannt ist, nicht erfaßt!? Es wird ja gelehrt: Sagte jemand: bei der Rechten, so ist dies ein Schwur. Doch wohl aus dem Grunde, weil es heißt:$fn59<i>da hob er seine Rechte und seine Linke gegen den Himmel und schwor bei dem, der ewig lebt</i>$fn60. – Ich will dir sagen, nein, weil die Rechte an sich einen Schwur bedeutet. Es wird nämlich gelehrt: Woher, daß, wenn jemand ‘[bei der] Rechten’ sagt, dies ein Schwur sei? Es heißt:$fn61<i>der Herr hat bei seiner Rechten geschworen</i>. Und woher, daß, wenn jemand ‘[bei der] Linken’ sagt, dies ein Schwur sei? Es heißt:$fn61<i>und beim Arme seiner Macht</i>."
Nazir 3b:2,"<sup>ii,1</sup> <b>S</b><small>AGTE JEMAND</small>:] <small>ICH WILL</small> N<small>AZIR SEIN INBEZUG AUF</small> T<small>RAUBENKERNE</small>, S<small>CHLAUBEN</small>$fn62, <small>DAS</small> H<small>AARSCHEREN ODER DIE</small> V<small>ERUNREINIGUNG, SO IST ER</small> N<small>AZIR, UND ALLE</small> G<small>ENAUIGKEITEN DES</small> N<small>AZIRATES LIEGEN IHM OB</small>."
Nazir 3b:3,"GEMARA. Unsere Mišna vertritt nicht die Ansicht R. Šimo͑ns, denn es wird gelehrt: R. Šimo͑n sagt, er sei nur dann schuldig$fn63, wenn er sich alles$fn64abgelobt hat; die Weisen sagen, selbst wenn nur eines davon, sei er Nazir. – Was ist der Grund R. Šimo͑ns? – Die Schrift sagt:$fn65<i>von allem,, was aus dem Weinstocke bereitet wird, weder Kerne noch Schlauben</i>$fn66. – Was ist der Grund der Rabbanan? – Die Schrift sagt: $fn67<i>des Weines und des Rauschtrankes enthalte er sich</i>$fn68. – Und R. Šimo͑n, es heißt ja: <i>des Weines und des Rauschtrankes enthalte er sich</i>!? – Dies deutet darauf, daß ihm der Wein auch zu Gebotszwecken gleich dem freigestellten verboten sei. – Das sind wohl der Weihsegen und der Unterscheidungssegen, und bezüglich dieser ist er ja vom Berg Sinaj"
Nazir 4a:1,"her$fn69mit einem Schwure belegt$fn70!? – Vielmehr, nach einer Lehre Rabas: Wenn jemand geschworen hat, [Wein] zu trinken, und darauf spricht: ich will Nazir sein, so erstreckt sich das Nazirat auf den Schwur$fn71. – Und die Rabbanan, dieser [Schriftvers]$fn72ist ja nötig, um hieraus das Verbot des Weines zu Gebotszwecken gleich dem Freigestellten zu entnehmen!? – Die Schrift sollte ja nur den Wein nennen, da sie aber auch den Rauschtrank nennt, so ist beides zu entnehmen. – Und R. Šimo͑n!? – Der Rauschtrank wird deshalb genannt, um hieraus hinsichtlich des Tempels$fn73zu folgern. Es heißt:$fn74<i>Wein und Rauschtrank sollst du nicht trinken, du und deine Söhne mit dir</i>; wie dem Nazir nur Wein verboten ist, nicht aber andere [berauschende] Getränke, ebenso erstreckt sich das Verbot hinsichtlich des Tempels nur auf Wein, nicht aber auf andere berauschende Getränke. Dies schließt die Ansicht R. Jehudas aus, denn es wird gelehrt: R. Jehuda sagt, wer eine qei͑lische Feige gegessen oder Honig und Milch getrunken hat$fn75und darauf in den Tempel eingetreten ist, sei schuldig. Wenn du aber willst, sage ich: R. Šimo͑n ist nicht der Ansicht, daß ein Verbot sich auf Verbotenes$fn76erstrecke. Es wird nämlich gelehrt: R. Šimo͑n sagt, wer Aas am Versöhnungstage gegessen hat, sei frei$fn77. – Und die Rabbanan, es heißt ja: <i>von allem, was aus dem Weinstocke bereitet wird</i>$fn78!? – Die Rabbanan können dir erwidern: dies lehrt, daß die dem Nazir verbotenen Dinge mit einander vereinigt werden$fn79. – Und R. Šimo͑n!? – Er hält nichts von der Vereinigung. Es wird nämlich gelehrt: R. Šimo͑n sagt, die Geißelung$fn80sei auf ein Minimum gesetzt, und nur hinsichtlich des Opfers$fn81ist Olivengröße erforderlich."
Nazir 4a:2,"<sup>ii,2</sup> <b>S</b><small>AGTE JEMAND</small>:] <small>ICH WILL SEIN WIE</small> Š<small>IMŠON</small>$fn82, <small>DER</small> S<small>OHN</small> M<small>ANOAḤS, DER</small> E<small>HEMANN DER</small> D<small>ELILA, ODER</small>$fn83<small>DER, DER DIE</small> T<small>ORE VON</small> A͑<small>ZA AUSHOB, ODER DER, DEM DIE</small> P<small>ELIŠTIM DIE</small> A<small>UGEN AUSSTACHEN, SO IST ER</small> N<small>AZIR WIE</small> Š<small>IMŠON</small>."
Nazir 4a:3,"GEMARA. Wozu lehrt er dies alles? – Dies ist nötig. Hieße es nur: ich will wie Šimšon sein, so könnte ein anderer Šimšon gemeint sein, daher heißt es: wie der Sohn Manoaḥs. Und hieße es auch: wie der Sohn Manoaḥs, so könnte man glauben, es gebe einen anderen, der so heißt, daher heißt es auch: wie der Ehemann der Delila, oder wie der, dem die Pelištim die Augen ausstachen."
Nazir 4a:4,"<sup>ii,3</sup> <b>W</b><small>ELCHEN</small> U<small>NTERSCHIED GIBT ES ZWISCHEN EINEM LEBENSLÄNGLICHEN</small> N<small>AZIR UND EINEM</small> N<small>AZIR WIE</small> Š<small>IMŠON</small>? E<small>IN LEBENSLÄNGLICHER</small> N<small>AZIR DARF, WENN IHM DAS</small> H<small>AAR LÄSTIG WIRD, ES MIT EINEM</small> S<small>CHERMESSER STUTZEN UND BRINGT</small>$fn84<small>DIE DREI</small> O<small>PFERTIERE DAR, UND WENN ER UNREIN WIRD, BRINGT ER DAS</small> U<small>NREINHEITSOPFER</small>$fn85<small>DAR, EIN</small> N<small>AZIR WIE</small> Š<small>IMŠON ABER DARF, WENN IHM DAS</small> H<small>AAR LÄSTIG WIRD, ES NICHT STUTZEN, UND WENN ER UNREIN WIRD, BRINGT ER DAS</small> [U<small>NREINHEITS</small>]<small>OPFER NICHT DAR</small>."
Nazir 4a:5,"GEMARA. Wer spricht von einem lebenslänglichen Nazir!? – [Die Mišna] ist lückenhaft und muß wie folgt lauten: sagte jemand: ich will lebenslänglicher Nazir sein, so ist er Nazir. Welchen Unterschied gibt es zwischen einem lebenslänglichen Nazir und einem Nazir wie Šimšon? Ein lebenslänglicher Nazir darf, wenn ihm das Haar lästig wird, es mit einem Schermesser stutzen und bringt die drei Opfertiere dar, und wenn er unrein wird, bringt er das Unreinheitsopfer dar, ein Nazir wie Šimšon aber darf, wenn ihm das Haar lästig wird, es nicht stutzen, und er bringt das Unreinheitsopfer nicht dar. – Er braucht"
Nazir 4b:1,"also nur das Opfer nicht darzubringen, wohl aber ist er diesbezüglich$fn86 Nazir, somit vertritt ja unsere Mišna weder die Ansicht R. Jehudas noch die des R. Šimo͑n!? Es wird nämlich gelehrt: R. Jehuda sagt, ein Nazir wie Šimšon dürfe sich an Toten verunreinigen, denn wir finden, daß Šimšon sich verunreinigt hat. R. Šimo͑n sagt, wenn jemand sagte, er wolle ein Nazir wie Šimšon sein, habe er nichts gesagt, denn wir finden nirgends, daß aus dem Munde Šimšons ein Nazirgelübde gekommen sei. Wessen Ansicht: wenn die des R. Jehuda, so erlaubt er es ja auch von vornherein, während unsere Mišna von dem Falle spricht, wenn er unrein geworden ist, und wenn die des R. Šimo͑n, so wird er ja vom Nazirate überhaupt nicht erfaßt. – Tatsächlich die des R. Jehuda, da sie aber vom lebenslänglichen Nazir ‘wenn er unrein wird’ lehrt, so lehrt sie auch vom Nazir wie Šimšon ‘wenn er unrein wird’$fn87. – Es wäre anzunehmen, daß sie den Streit der folgenden Tannaím führen: Wir haben gelernt: [Sagte jemand:] dies$fn88sei mir wie Erstgeborenes$fn89, so ist es ihm nach R. Ja͑qob verboten und nach R. Jose erlaubt. Wahrscheinlich ist R. Jehuda der Ansicht R. Ja͑qobs, welcher sagt, es brauche keine Sache zu sein, die erst durch Gelübde [verboten wird], und R. Šimo͑n der Ansicht R. Joses, welcher sagt, es müsse eine Sache sein, die erst durch Gelübde [verboten wird]$fn90. – Nein, alle sind der Ansicht, es müsse eine Sache sein, die erst durch Gelübde [verboten wird], nur ist das Erstgeborene anders, denn es heißt:$fn91<i>für den Herrn</i>, und dies schließt das Erstgeborene ein$fn92. – Und R. Jose!? – Er kann dir erwidern: [die Worte] <i>für den Herrn</i> schließen Sündopfer und Schuldopfer$fn92 ein. – Was veranlaßt dich, Sündopfer und Schuldopfer einzuschließen und das Erstgeborene auszuschließen? – Ich schließe Sündopfer und Schuldopfer ein, die vom Gelübde erfaßt werden, und ich schließe das Erstgeborene aus, das nicht vom Gelübde erfaßt wird. Und R. Ja͑qob!? – Er kann dir erwidern: auch das Erstgeborene wird vom Gelübde erfaßt, denn es wird gelehrt: Im Hause unseres Meisters sagten sie: Woher, daß, wenn einem in seiner Herde ein Erstgeborenes geworfen wird, es Gebot sei, es zu weihen? Es heißt:$fn93<i>das Männliche sollst du heiligen</i>$fn94. – Und R. Jose!? – Er kami dir erwidern: zugegeben, daß es Gebot ist, es zu heiligen, aber ist sie etwa nicht heilig, auch wenn man sie nicht geheiligt hat!? – Auch beim Nazir heißt es ja:$fn95<i>für den Herrn</i>$fn96!? – Dies ist wegen der folgenden Lehre nötig: Šimo͑n der Gerechte sagte: Nie im Leben aß ich vom Schuldopfer$fn97eines unreinen Nazirs, außer im folgenden Falle. Einst kam zu mir ein Mann aus dem Süden, hübschäugig, schön von Gestalt, und die Locken in Krausen herabwallend. Ich sprach zu ihm: Mein Sohn, was veranlaßte dich, dies schöne Haar zu verunstalten? Er erwiderte mir: Hirte bei meinem Vater war ich daheim; als ich einst Wasser schöpfen ging und mein Spiegelbild in der Quelle betrachtete, überfiel mich der böse Trieb und wollte mich aus der Welt verstoßen. Da sprach ich zu ihm: Wicht, weshalb stolzierst du mit einer Welt, die nicht dein ist; dein Ende ist Moder und Gewürm! Beim Kult, ich schere dich im Namen des Himmels. Hierauf stand ich auf, küßte ihn aufs Haupt und sprach zu ihm: Viele mögen der Naziräer deinesgleichen in Jisraél sein! Deinetwegen spricht die Schrift: $fn98<i>Wenn jemand ein Nazirgelübde ausspricht, dem Herrn gesondert zu sein</i>."
Nazir 4b:2,"War etwa Šimšon kein gelobter Nazir, es heißt ja:$fn99<i>denn vom Mutterleibe an soll der Knabe ein Nazir Gottes sein</i>!? – Dies hatte der Engel gesagt$fn100. – Woher, daß er sich an Toten verunreinigte; wollte man sagen, weil es heißt:$fn101<i>mit einer Eselskinnlade habe ich tausend Mann erschlagen</i>, so kann er sie ja auf diese geschleudert und sie nicht berührt haben!? – Vielmehr, hieraus:$fn102<i>er erschlug von ihnen dreißig Mann und zog ihnen die Kleider ab</i>. – Vielleicht zog er ihnen zuerst die Kleider ab und tötete sie nachher!? – Es heißt: <i>erschlug, und zog</i>. – Vielleicht machte er sie nur totverletzt!? – Vielmehr, dies ist eine Überlieferung."
Nazir 4b:3,"Wo ist dies$fn103vom lebenslänglichen Nazir in der Schrift zu finden? – Es wird gelehrt: Rabbi sagte: Abšalom war lebenslänglicher Nazir, denn es heißt:$fn104<i>nach Verlauf von vierzig Jahren sprach Abšalom zum Könige: Ich möchte gehen und mein Gelübde, das ich dem Herrn gelobt</i>$fn105<i>habe, in Ḥebron einlösen</i>. Er schor sich einmal in zwölf Monaten, denn es heißt: <i>es geschah nach Ablauf eines jeden Jahres [jamim]</i>, und die"
Nazir 5a:1,"Bedeutung [des Wortes] <i>jamim</i> ist von dem, der auch beim Wohnhause in einer ummauerten Stadt$fn106gebraucht wird, zu entnehmen: wie es da zwölf Monate bedeutet, ebenso bedeutet es auch hierbei zwölf Monate. R. Nehoraj sagt, er schor sich einmal in dreißig Tagen. R. Jose sagt, er schor sich jeden Vorabend des Šabbaths, denn wir finden, daß Königssöhne sich jeden Vorabend des Šabbaths scheren. – Rabbi ist dieser Ansicht aus dem Grunde, weil er von <i>[jamim]</i> entnimmt, das beim Wohnhause in einer ummauerten Stadt gebraucht wird, und er selbst sagt ja, daß da unter <i>jamim</i> wenigtens zwei Tage$fn107zu verstehen seien!? – Diesen [Schluß durch] Wortanalogie folgert er wegen der Lästigkeit, und in zwei Tagen erfolgt keine Lästigkeit$fn108. – Vielleicht zwei Jahre, wie es heißt:$fn109<i>nach Ablauf von zwei Jahren, jamim</i>!? – Man folgere hinsichtlich <i>jamim</i>, wobei Jahre nicht genannt werden, von <i>jamim</i>, wobei Jahre nicht genannt werden, nicht aber ist hieraus zu folgern, da hierbei Jahre genannt werden. – Vielleicht dreißig Tage, denn es heißt: $fn110<i>bis zu einem Monat, jamim</i>!? – Man folgere hinsichtlich <i>jamim</i>, wobei Monate nicht genannt werden, von <i>jamim</i>, wobei Monate nicht genannt werden, nicht aber ist hieraus zu folgern, da hierbei Monate genannt werden. – Vielleicht hieraus:$fn111<i>von Jahr [jamim] zu Jahr [jamima]</i>$fn112!? – Man folgere hinsichtlich <i>jamim</i> von <i>jamim</i>, nicht aber hinsichtlich <i>jamim</i> von <i>jamima</i>. – Welchen Unterschied gibt es denn hierbei, in der Schule R. Jišma͑éls lehrten sie ja:$fn113<i>Wenn der Priester wiederkommt</i>,$fn114<i>wenn der Priester hineingeht</i>, ‘kommen’ und ‘gehen’ sind dasselbe$fn115!? – Dies nur, wenn kein gleiches [Wort] vorhanden ist, wenn aber ein gleiches vorhanden ist, folgere man vom gleichen. Wenn du aber willst, sage ich: woher, daß es da einmal in drei Monaten erfolgte, vielleicht viermal im Jahre: einmal in vier Monaten und alle zwei Monate einmal. – «R. Nehoraj sagt, er schor sich einmal in dreißig Tagen.» Aus welchem Grunde? – Priester tun dies$fn116wegen der Lästigkeit, und auch hierbei ist die Lästigkeit zu berücksichtigen. – «R. Jose sagt, er schor sich an jedem Vorabend des Šabbaths.» Welchen Unterschied gab es zwischen ihm und seinen Brüdern$fn117? – Wenn ein Fest in die Mitte der Woche fiel; seine Brüder gehören sich, er aber schor sich nicht. Oder auch, hinsichtlich des Scherens am Morgen des Vorabends des Šabbaths; seine Brüder schoren sich dann, er aber durfte sich erst abends scheren. – Welche vierzig Jahre sind$fn118es? R. Nehoraj erwiderte im Namen R. Jehošua͑s: Nach Ablauf von vierzig Jahren, seitdem sie nach einem Könige$fn119verlangten. Es wird gelehrt: Das Jahr, in dem sie nach einem Könige verlangten, war das zehnte Šemuéls aus Rama."
Nazir 5a:2,"<sup>iii,1</sup> <b>D</b><small>AS</small> N<small>AZIRAT OHNE</small> Z<small>EITBESTIMMUNG</small>$fn120<small>DAUERT DREISSIG</small> T<small>AGE</small>."
Nazir 5a:3,"GEMARA. Woher dies? R. Mathna erwiderte: Die Schrift sagt:$fn121<i>heilig soll er sein [jihje]</i>, und der Zahlen wert von <i>jihje</i> beträgt dreißig. Bar Pada erklärte: Entsprechend [den Wiederholungen des Wortes] <i>Nazir</i> in der Schrift, dreißig weniger eines$fn122. – Sollte es R. Mathna ebenfalls aus [der Wiederholung des Wortes] <i>Nazir</i> entnehmen!? – Er kann dir erwidern: diese ist zur Auslegung$fn123nötig. <i>Des Weines und des Rauschtrankes enthalte [jazir] er sich</i>; der Wein ist ihm zu Gebotszwecken ebenso wie der freigestellte verboten. <i>Wenn er ein Nazirgelübde ausspricht, sich zu enthalten</i>; dies lehrt, daß das Nazirat sich auf das Nazirat erstrecke$fn124. – Und Bar Pada!? – Er kann dir erwidern: ist"
Nazir 5b:1,"etwa nicht eines darunter, das nicht zur Auslegung dient!? Da nun dieses auf die Zahl deutet, so deuten auch die übrigen auf die Zahl. – Wir haben gelernt: Das Nazirat ohne Zeitbestimmung dauert dreißig Tage. Richtig ist dies nach R. Mathna, gegen Bar Pada aber ist dies ja ein Einwand$fn125!? – Bar Pada kann dir erwidern: da noch der dreißigste Tag hinzukommt, an dem er sich scheren und seine Opfer bringen muß, so lehrt er: dreißig. – Wir haben gelernt: Sagte jemand: ich will Nazir sein, so schere er sich am einunddreißigsten Tage. Richtig ist dies nach R. Mathna, gegen Bar Pada aber ist dies ja ein Einwand!? – Bar Pada kann dir erwidern: beachte den Schlußsatz: schor er sich am dreißigsten Tage, so hat er der Pflicht genügt. Vielmehr ist der Schlußsatz für ihn eine Stütze, und der Anfangsatz ist [zu erklären:] es ist ebenso als würde er ‘vollständige’ gesagt$fn126haben. – Gegen R. Mathna ist ja aus dem Schlußsatze ein Einwand zu erheben!? Er ist der Ansicht, ein Teil des Tages gelte als ganzer$fn127. – Wir haben gelernt: [Sagte jemand:] ich will dreißig Tage Nazir sein, so hat er, wenn er sich am dreißigsten Tage schor, der Pflicht nicht genügt!? – Wenn er ‘vollständige’ gesagt hat. – Wir haben gelernt: Wer zwei Nazirate gelobt hat, schere sich wegen des ersten am einunddreißigsten und wegen des anderen am ein und sechzigsten Tage. Richtig ist dies nach R. Mathna, gegen Bar Pada aber ist dies ja ein Einwand!? – Bar Pada kann dir erwidern: achte auf den Schlußsatz: schor er sich wegen des"
Nazir 6a:1,"ersten am dreißigsten Tage, so schere er sich wegen des anderen am sechzigsten. Vielmehr ist der Schlußsatz für ihn eine Stütze, und der Anfangsatz [ist zu erklären:] es ist$fn128ebenso, als würde er ‘vollständige’ gesagt haben. – Gegen R. Mathna ist ja aus dem Schlußsatze ein Einwand zu erheben!? – R. Mathna kann dir erwidern: wie weiter gelehrt wird: der dreißigste Tag wird zum einen und zum anderen gerechnet$fn129. – Dies lehrt wohl, daß ein Teil des Tages als ganzer gilt, und dies lehrte er ja bereits einmal!? – Man könnte glauben, dies gelte nur bei einem Nazirat, nicht aber$fn130bei zwei, so lehrt er uns. – Wir haben gelernt: Schor er sich am neunundfünfzigsten Tage, so hat er der Pflicht genügt, denn der dreißigste Tag wird ihm mitgereclinet. Einleuchtend ist dies$fn131nach R. Mathna, wozu aber ist dies nach Bar Pada nötig, nach ihm sind es ja überhaupt nur neunundzwanzig!? – Er kann dir erwidern: hierauf stütze ich mich eben$fn132. – Wir haben gelernt: Wenn jemand gesagt hat: ich will Nazir sein, und am dreißigsten Tage unrein geworden ist, so ist alles hinfällig. Einleuchtend ist dies nach R. Mathna, gegen Bar Pada aber$fn133ist dies ja ein Einwand!? – Bar Pada kann dir erwidern: achte auf den Schlußsatz: R. Elie͑zer sagt, nur"
