Index Title,Temurah
Temurah 3a:2,"Der Meister sagte: Von Opferlieren von Nichtjuden darf man nichts genießen, und man begeht an ihnen keine Veruntreuung. Man darf nichts genießen, rabbanitisch, und man begeht an ihnen keine Veruntreuung, nach der Tora. – Weshalb? – Es heißt:$fn28<i>wenn jemand eine Veruntreuung begeht und versehentlich sündigt</i>; wir folgern durch [das Wort] <i>Sünde</i>, das auch bei der Hebe gebraucht$fn29wird, und bei der Hebe heißt es: $fn30<i>Kinder Jisraél</i>, nicht aber Nichtjuden."
Temurah 3a:3,"«Man ist ihretwegen nicht schuldig wegen Verwerflichem, Übriggebliebenem und Unreinem.» Von der Unreinheit heißt es:$fn31<i>rede zu Ahron und seinen Söhnen, daß sie sich fern halten von den Heiligtümern der Kinder Jisraél und nicht entweihen &amp;c</i>., und man folgere hinsichtlich des Übriggebliebenen durch [das Wort] <i>entweihen</i> vom Unreinen; beim Unreinen heißt es:$fn31<i>der Kinder Jisraél, und sie sollen nicht entweihen &amp;c</i>., und beim Übriggebliebenen heißt es:$fn32<i>und wer es ißt, ladet eine Schuld auf sich, denn er hat das Heilige des Herrn entweiht</i>. Ferner folgere man hinsichtlich des Verwerflichen durch [das Wort] <i>Schuld</i> vom Übriggebliebenen, denn beim Verwerflichen heißt es:$fn33<i>und die Person, die davon ißt, ladet Schuld auf sich</i>, und beim Übriggebliebenen heißt es:$fn32<i>und wer es ißt, ladet Schuld auf sich, denn er hat das Heilige des Herrn entweiht</i>. Und bei diesen allen heißt es: <i>die Kinder Jisraél</i>, nicht aber Nichtjuden."
Temurah 3a:4,"«Sie werden nicht umgetauscht.» Denn es heißt:$fn34<i>er darf es nicht auswechseln und er darf es nicht umtauschen</i>, und am Beginne dieses Abschnittes heißt es:$fn35<i>rede zu den Kindern Jisraél also: Wenn jemand ein Gelübde ausspricht, die Schätzung</i>. Eine andere Lesart: Sie werden nicht umgetauscht. Aus welchem Grunde? Man vergleiche den Umtausch eines Viehs mit dem Viehzehnten und den Viehzehnten mit dem Getreidezehnten, und beim Getreidezehnten heißt es:$fn36<i>denn den Zehnten der Kinder Jisraél, den sie dem Herrn abheben</i>, der Kinder Jisraél, nicht aber der Nichtjuden."
Temurah 3a:5,"«Sie bringen kein Gußopfer dar; ihre Opfer aber benötigen des Gußopfers – so R. Šimo͑n». Woher dies? – Die Rabbanan lehrten:$fn37<i>Eingeborener</i>, ein Eingeborener bringt Gußopfer dar, nicht aber bringt ein Nichtjude Gußopfer dar. Man könnte glauben, auch sein Brandopfer benötige nicht des Gußopfers, so heißt es$fn37<i>so</i>."
Temurah 3a:6,"«R. Jose sprach: Ich finde, daß bei allen zu erschweren ist.» Aus welchem Grunde? – Bei ihnen heißt es:$fn38<i>für den Herrn</i>."
Temurah 3a:7,"«Dies gilt nur vom Geheiligten für den Altar, am Geheiligten für den Tempelreparaturfonds aber begeht man eine Veruntreuung.» Aus welchem Grunde? – Wenn wir auch hinsichtlich der Veruntreuung durch [das Wort] <i>Sünde</i> von der Hebe folgern,$fn39so gilt dies nur dann, wenn es der Hebe gleicht, die an sich heilig ist, nicht aber vom Geheiligten für den Tempelreparaturfonds, von dem nur der Geldwert heilig ist."
Temurah 3a:8,"R. Jehuda sagte im Namen Rabhs: Wegen aller Verbote der Tora ist man, wenn man dabei eine Tätigkeit ausgeübt hat, schuldig, und wenn man dabei keine Tätigkeit ausgeübt hat, frei. – Ist es denn eine stichhaltige Regel, daß man wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, frei ist, das Umtauschen ist ja ein Verbot, wobei keine Tätigkeit ausgeübt wird, und man ist dieserhalb zu geißeln!? Wir haben nämlich gelernt: Nicht etwa, daß man umtauschen darf, sondern daß, wenn jemand umgetauscht hat, der Umtausch gültig ist, und er erhält die vierzig Geißelhiebe. – Rabh kann dir erwidern: Hier ist die Ansicht R. Jehudas vertreten, welcher sagt, wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, sei zu geißeln. – Wieso kannst du unsere Mišna R. Jehuda addizieren, du hast ja beim Anfangsatze erklärt, sie vertrete nicht die Ansicht R. Jehudas!? Dieser lehrt, jeder könne umtauschen, und [du erklärtest, das Wort] ‘jeder’ schließe den Erben ein, nicht wie R. Jehuda. – Dieser Autor ist seiner Ansicht in einer Hinsicht, daß wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, zu geißeln sei, und streitet gegen ihn in einer Hinsicht, denn R. Jehuda ist der Ansicht, der Erbe könne nicht stützen und der Erbe könne nicht umtauschen, während unser Autor der Ansicht ist, der Erbe könne stützen und der Erbe könne umtauschen."
Temurah 3a:9,"R. Idi b. Abin sagte im Namen des R. A͑mram im Namen des R. Jiçḥaq im Namen des R. Johanan im Namen R. Jose des Galiläers: Wegen aller Verbote der Tora ist man, wenn man dabei eine Tätigkeit ausgeübt hat, zu geißeln, und wenn man dabei keine Tätigkeit ausgeübt hat, frei, ausgenommen das Schwören, das Umtauschen und das Fluchen (seines Nächsten) beim Gottesnamen; obgleich man dabei keine Tätigkeit ausübt, ist man schuldig. Im Namen des R. Jose b. R. Ḥanina sagten sie, auch wenn man die Hebe vor den Erstlingen entrichtet. Woher dies vom Schwören? R. Joḥanan erwiderte im Namen des R. Meír: Die Schrift sagt:$fn40<i>denn der Herr läßt den nicht ungestraft, der seinen Namen freventlich ausspricht</i>; das Gericht droben reinigt$fn41ihn nicht, das Gericht"
Temurah 3b:1,"hienieden aber geißelt und reinigt ihn. R. Papa sprach zu Abajje: Vielleicht gibt es für ihn überhaupt keine Reinigung!? Dieser erwiderte: Wenn dem so wäre, so sollte der Schriftvers lauten: <i>denn er läßt nicht ungestraft</i>, und nichts weiter, wenn es aber noch heißt <i>der Herr</i>, so heißt dies: das Gericht droben reinigt ihn nicht, das Gericht hienieden aber geißelt und reinigt ihn. – Wir wissen dies vom Nichtigkeitsschwure$fn42, woher dies vom Falschschwure$fn43? R. Joḥanan erklärte in seinem eigenen Namen: Es heißt zweimal$fn44<i>freventlich</i>, und da es [einmal] nicht auf den Nichtigkeitsschwur zu beziehen ist, so beziehe man es auf den Falschschwur, daß wegen dessen zu geißeln ist. R. Abahu wandte ein: Auf welchen Falschschwur: wollte man sagen, wenn jemand [geschworen] hat, er werde nicht essen, und gegessen hat, so hat er ja eine Tätigkeit ausgeübt$fn45, und wollte man sagen, wenn jemand [geschworen] hat, er werde essen, und nicht gegessen hat, so ist er ja nicht zu geißeln!? Es wurde nämlich gelehrt: [Wenn jemand gesagt hat:] ein Schwur, daß ich diesen Laib an diesem Tage essen werde, und der Tag vorüber ist und er ihn nicht gegessen hat, so ist er, wie R. Joḥanan und R. Šimo͑n b. Laqiš sagen, nicht zu geißeln. R. Joḥanan sagt, er sei nicht zu geißeln, weil es ein Verbot ist, wobei keine Tätigkeit ausgeübt worden ist, und wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, ist nicht zu geißeln; Reš Laqiš sagt, er sei nicht zu geißeln, weil die Warnung nur eine eventuelle$fn46sein kann, und bei einer eventuellen Warnung ist nicht zu geißeln. Vielmehr, erklärte R. Abahu, in dem Falle, [wenn er gesagt hat:] ich habe gegessen, oder: ich habe nicht gegessen. – Wieso ist [der Schwur]: ich habe gegessen, oder: ich habe nicht gegessen, anders als [der Schwur:] ich werde essen, oder: ich werde nicht essen, daß er jenen einschließt? Raba erwiderte: Die Tora schließt ausdrücklich den Falschschwur ein und vergleicht ihn mit dem Nichtigkeitsschwure: wie der Nichtigkeitsschwur sich nur auf die Vergangenheit$fn47bezieht, ebenso der Falschschwur nur auf die Vergangenheit$fn48. R. Jirmeja wandte gegen R. Abahu ein: [Wenn jemand gesagt hat:] ein Schwur, daß ich diesen Laib nicht essen werde, ein Schwur, daß ich ihn nicht essen werde, ein Schwur daß ich ihn nicht essen werde, und er ihn gegessen hat, so ist er nur einmal schuldig. Dies ist ein Bekräftigungsschwur, wegen dessen [Verletzung] man sich bei Vorsätzlichkeit der Geißelung schuldig macht und bei Unvorsätzlichkeit ein auf- und absteigendes Opfer$fn49darzubringen hat. [Die Worte] ‘dies ist’ schließen wohl den Fall aus, [wenn jemand geschworen hat:] ich habe gegessen, oder: ich habe nicht gegessen, daß er nämlich nicht zu geißeln sei. – Nein, dies ist es, dessentwegen bei Versehen ein Opfer darzubringen ist; wenn aber: ich habe gegessen, oder: ich habe nicht gegessen, so ist dieserhalb kein Opfer darzubringen. Dies nach R. Jišma͑él, welcher sagt, man sei nur wegen des promissorischen$fn50[Schwures] schuldig. – Wohl aber ist er zu geißeln; wie ist demnach der Schlußsatz zu erklären: dies ist ein Nichtigkeitsschwur, wegen dessen [Verletzung] man sich bei Vorsatz der Geißelung schuldig macht und bei Unvorsätzlichkeit frei ist. [Die Worte] ‘dies ist’ schließen wohl den Fall aus, [wenn jemand geschworen hat:] ich habe gegessen, oder: ich habe nicht gegessen, daß er nicht zu geißeln sei!? – Nein, dies ist es, dessentwegen man bei Versehen von einem Opfer frei ist; wenn aber: ich habe gegessen, oder: ich habe nicht gegessen, ist ein Opfer darzubringen. Dies nach R. A͑qiba, welcher sagt, man bringe ein Opfer dar wegen des assertorischen$fn50[Schwures]. – Du sagtest ja aber beim Anfangsatze, hier sei R. Jišma͑él vertreten!? – Vielmehr, wenn der Schlußsatz nach R. A͑qiba, so ist auch der Anfangsatz nach R. A͑qiba, und der Anfangsatz schließt nicht den Fall aus, [wenn jemand geschworen hat:] ich habe gegessen, oder: ich habe nicht gegessen, sondern: ich werde essen, oder: ich werde nicht essen. – Weshalb die Unterscheidung? – Wenn er von einem promissorischen [Schwure] spricht, schließt er einen promissorischen aus, aber sollte er denn, wenn er von einem promissorischen spricht, einen assertorischen ausschließen!?"
Temurah 3b:2,"«Das Umtauschen.» R. Joḥanan sprach zu einem Jünger: Lehre nicht ‘das Umtauschen’, weil man dabei durch das Sprechen eine Tätigkeit ausübt$fn51."
Temurah 3b:3,"«Das Fluchen (seines Nächsten) beim Gottesnamen.» Woher dies? R. Elea͑zar erwiderte im Namen des R. Oša͑ja: Die Schrift sagt:$fn52<i>wenn du nicht beobachten wirst</i>, und es heißt:$fn53<i>der Herr wird deine Plagen auszeichnen [hiphla]</i>. Ich würde nicht gewußt haben, was <i>hiphla</i> bedeute, wenn es aber heißt:$fn53<i>so soll ihn der Richter vor sich hinlegen [hippilo] und prügeln lassen</i>, so sage man, unter <i>hiphla</i> ist die Geißelung zu verstehen. – Vielleicht auch wegen des wahren Schwures$fn54!? – Es heißt ausdrücklich:$fn55<i>der Schwur des Herrn sei zwischen ihnen</i>. – Vielleicht, um seinen Nächsten zu beschwichtigen, jedoch ist er$fn56zu geißeln!? – Dies kannst du nicht sagen, denn es heißt:$fn57<i>in seinem Namen sollst du schwören</i>. – Dies ist ja aber wegen einer Lehre des R. Gidel nötig!? R. Gidel sagte nämlich im Namen Rabhs: Woher, daß man schwören darf, ein Gebot auszuüben$fn58? Es heißt:$fn59<i>ich habe geschworen und halte es, deine gerechten Gebote zu beobachten</i>. – Es gibt noch einen anderen Schriftvers: $fn60<i>ihm sollst du anhangen und in seinem Namen sollst du schwören</i>. Jener$fn61deutet also nur auf das Fluchen (seines Nächsten) beim Gottesnamen. – Vielleicht auf das unnütze Aussprechen des Gottesnamens!? – Ist denn das Fluchen (seines Nächsten) beim Gottesnamen weniger als das unnütze Aussprechen des Gottesnamens!? – Unser Einwand ist wie folgt zu verstehen: vielleicht ist für das unnütze Aussprechen des Gottesnamens die Geißelung ausreichend, für das Fluchen (seines Nächsten) beim Gottesnamen aber, wobei er zweierlei begeht, er spricht den Gottesnamen unnütz aus und quält seinen Nächsten, ist die Geißelung nicht ausreichend!?"
Temurah 4a:1,"– Dies kannst du nicht sagen, denn es heißt:$fn62<i>du sollst keinem Tauben fluchen</i>. [Wenn du willst, sage ich:] allerdings ist, wenn du [jenen Schriftvers] auf das Fluchen (seines Nächsten) [beim Gottesnamen] beziehst, das Verbot hieraus zu entnehmen, denn es heißt: <i>du sollst keinem Tauben fluchen</i>, wo findet sich aber das Verbot, wenn du ihn auf das unnütze Aussprechen des Gottesnamens beziehst!? – Etwa nicht, es heißt ja:$fn63<i>den Herrn, deinen Gott, sollst du fürchten und ihm sollst du dienen</i>!? – Dies ist eine ein Gebot betreffende Verwarnung."
Temurah 4a:2,"«Im Namen des R. Jose b. R. Ḥanina sagten sie, auch wenn man die Hebe vor den Erstlingen entrichtet.» Was ist der Grund des R. Jose b. R. Ḥanina? – Die Schrift sagt:$fn64<i>dein Getreide und deinen Most verspäte nicht</i>; Getreide, das sind die Erstlinge, Most, das ist die Hebe, und [der Allbarmherzige] sagt: <i>verspäte nicht</i>$fn65."
Temurah 4a:3,"Es wurde gelehrt: [Über die Entrichtung] der Hebe vor den Erstlingen [streiten] R. Elea͑zar und R. Jose b. R. Ḥanina; einer sagt, dieserhalb sei zu geißeln, und einer sagt, dieserhalb sei nicht zu geißeln. Es ist zu beweisen, daß R. Jose b. R. Ḥanina es ist, welcher sagt, dieserhalb sei zu geißeln, denn R. Jose b. R. Ḥanina sagte, auch wenn man die Hebe vor den Erstlingen entrichtet. – Im Gegenteil, es ist zu beweisen, daß R. Elea͑zar es ist, welcher sagt, dieserhalb sei zu geißeln, denn wir haben gelernt: Wenn jemand zwei Körbe mit Unverzehntetem vor sich hat und sagt: die Zehnten von diesem seien in jenem, so ist der erste verzehntet; [sagt er:] die Zehnten von diesem in jenem und von jenem in diesem, so ist der erste verzehntet und der andere unverzehntet$fn66; [sagt er:] die Zehnten von einem Korbe im anderen, so hat er einen Namen genannt$fn67. Hierzu wurde gelehrt: R. Elea͑zar sagt, er sei zu geißeln, weil er den in dem einen enthaltenen zweiten Zehnten$fn68früher entrichtet hat als den ersten Zehnten des anderen. Dies ist zu beweisen. – Demnach ist es R. Jose b. R. Ḥanina, welcher sagt, er sei nicht zu geißeln, somit befindet sich ja R. Jose b. R. Ḥanina in einem Widerspruche mit sich selbst!? – Nein, R. Jose b. R. Ḥanina bezieht sich auf den Fall, wegen dessen man frei ist,"
Temurah 4b:1,"und zwar wie folgt: Wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, ist nicht zu geißeln; im Namen des R. Jose b. R. Ḥanina sagten sie, auch wenn man die Hebe vor den Erstlingen entrichtet. – Wegen des Umtauschens ist wohl deshalb zu geißeln, weil man durch das Sprechen eine Tätigkeit ausübt$fn51, somit sollte gegeißelt werden, auch wenn man die Hebe vor den Erstlingen entrichtet, wobei man ebenfalls durch das Sprechen eine Tätigkeit ausübt!? R. Abin erwiderte: Anders ist es da, weil es ein Verbot ist, das durch ein Gebot aufgehoben wird, denn es heißt:$fn69<i>von all euren Zehnten sollt ihr abheben</i>$fn70."
Temurah 4b:2,"R. Dimi saß und trug diese Lehre vor. Da sprach Abajje zu ihm: Ist denn wegen eines Verbotes, das durch ein Gebot aufgehoben wird, niemals zu geißeln, auch das Umtauschen ist ja ein Verbot, das durch ein Gebot aufgehoben wird$fn71, und dieserhalb wird gegeißelt!? Wir haben nämlich gelernt: Nicht etwa, daß man umtauschen darf, sondern daß, wenn jemand umgetauscht hat, der Umtausch gültig ist, und er erhält die vierzig Geißelhiebe. – Hierbei sind es zwei Verbote$fn72und ein Gebot, und ein Gebot kann nicht zwei Verbote aufheben. – Beim Notzüchter ist es ja ein Verbot und ein Gebot, und das Gebot hebt das Verbot nicht auf!? Es wird nämlich gelehrt: Wenn ein Notzüchter$fn73sich [von seiner Frau] scheiden ließ, so nehme er, wenn er Jisraélit ist, sie wieder, und er ist nicht zu geißeln, und wenn er Priester ist, so ist er zu geißeln, und er kann sie nicht wiedernehmen$fn74. – Du sprichst von Priestern; bei Priestern erfolgt dies aus einem anderen Grunde, weil nämlich der Allbarmherzige ihnen eine größere Heiligkeit beigelegt hat."
Temurah 4b:3,"Hierüber [streiten] Tannaim.$fn75<i>Ihr</i> <i>sollt davon nicht bis zum nächsten Morgen zurücklassen</i>, die Schrift läßt auf das Verbot ein Gebot$fn76folgen, um zu sagen, daß dieserhalb nicht zu geißeln ist – so R. Jehuda. R. Ja͑qob sagt, nicht aus diesem Grunde, sondern weil es ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, nicht zu geißeln ist. Demnach ist R. Jehuda der Ansicht, er sei dieserhalb zu geißeln. – Wofür verwendet R. Ja͑qob den Vers:$fn75<i>was davon bis zum Morgen zurückbleibt, sollt ihr im Feuer verbrennen</i>!? – Dieser ist wegen der folgenden Lehre nötig. Die Knochen, die Sehnen und das Zurückgebliebene$fn77sind am sechzehnten$fn78zu verbrennen; fällt der sechzehnte auf einen Šabbath, so sind sie am siebzehnten zu verbrennen, weil dies nicht den Šabbath und nicht den Feiertag verdrängt. Hierzu sagte Ḥizqija, und ebenso lehrten sie in der Schule Ḥizqijas: Die Schrift sagt deshalb: <i>was davon bis zum nächsten Morgen zurückbleibt, sollt ihr im Feuer verbrennen</i>, weil die Schrift einen zweiten Morgen für die Verbrennung hinzufügen will."
Temurah 4b:4,"Abajje sagte: Alles, wovon der Allbarmherzige gesagt hat, man dürfe es nicht tun, ist, wenn man es getan hat, gültig, denn wieso wäre dieserhalb zu geißeln, wenn man sagen wollte, es sei nicht gültig!? Raba aber sagte, es sei nicht gültig, und zu geißeln ist dieserhalb deshalb, weil man"
