Index Title,Yoma
Yoma 19a:2,"S<small>IE SPRACHEN ZU IHM</small>: H<small>ERR</small> H<small>OCHPRIESTER &C</small>. Dies<sup>315</sup><i class=""footnote"">fn311,Die Ansprache: Du bist unser Vertreter &c.</i>wäre eine Widerlegung R. Honas, des Sohnes R. Jehošua͑s. R. Hona, Sohn des R. Jehošua͑, sagte nämlich: Die Priester sind Vertreter des Allbarmherzigen, denn wieso können, wenn man sagen wollte, sie seien unsere Vertreter, unsere"
Yoma 19b:1,"Vertreter etwas ausrichten, was wir selbst nicht ausrichten können!? — Sie sprachen zu ihm wie folgt: Wir beschwören dich in unserem Namen und im Namen des Gerichtshofes<sup>316</sup><i class=""footnote"">fn312,Die Vertretung bezieht sich auf den Eid u. nicht auf die Dienstverrichtung.</i>."
Yoma 19b:2,"D<small>ARAUF WANDTE ER SICH AB UHD WEINTE, AUCH SIE WANDTEN SICH AB UND WEINTEN</small>. Er wandte sich ab und weinte, weil sie ihn verdächtigten, er sei Saduzäer, sie wandten sich ab und weinten, denn R. Jehošua͑ b.Levi sagte, wer Unschuldige verdächtigt, werde an seinem Körper geschlagen. — Wozu dies alles? — Damit er nicht [das Räucherwerk] außerhalb her richte und innerhalb [des Allerheiligsten] hineinbringe, wie es die Sadu zäer zu tun pflegen."
Yoma 19b:3,"Die Rabbanan lehrten: Einst bereitete ein Saduzäer [das Räucherwerk] außerhalb und brachte es innerhalb [des Allerheiligsten] hinein, und als er herauskam, freute er sich sehr. Da begegnete ihm sein Vater und sprach zu ihm: Mein Sohn, sind wir auch Saduzäer, so haben wir dennoch die Pharisäer zu fürchten. Jener erwiderte: Mein ganzes Theben grämte ich mich über den Schriftvers:<sup>317</sup><i class=""footnote"">fn313,Lev. 16,2.</i><i>denn in der Wolke erscheine ich über der Deckplatte</i>; ich sagte nämlich: hätte ich nur die Gelegenheit, dies auszuführen, und nun, wo ich die Gelegenheit hatte, sollte ich es unterlassen!? Man erzählt, kaum waren einige Tage verstrichen, da starb er; er lag auf dem Misthaufen und Würmer krochen ihm aus der Nase. Manche erzählen, er sei bei seinem Herauskommen hingerafft worden. R. Ḥija lehrte nämlich, man habe im Tempelhofe wie ein Geräusch vernommen, denn ein Engel kam und schlug ihm ins Gesicht, und als seine Brüder die Priester, eintraten, fanden sie [die Spuren] eines Kalbsfußes zwischen seinen Schultern, denn es heißt [von den Engeln]:<sup>318</sup><i class=""footnote"">fn314,Ez. 1,7.</i><i>ihre Beine waren gerade, ihre Fußsohlen wie die eines Kalbes</i>."
Yoma 19b:4,"R. Z<small>EKHARJA B</small>.Q<small>EBUṬAL ERZÄHLTE &C</small>. R. Ḥanan lehrte Ḥija b. Rabh vor Rabh: R. Zekharja b.Qepuṭal erzählte. Da zeigte ihm Rabh mit der Hand, [er heiße] Qebuṭal. — Sollte er es ihm doch gesagt haben!? — Er las gerade das Šema͑. — Ist es denn auf diese Weise erlaubt, R. Jiçḥaq, Sohn des Šemuél b.Marlha, sagte ja, daß, wenn jemand das Šema͑ liest, er weder mit den Augen zwinkern, noch mit den Lippen bäffen, noch mit den Fingern zeigen dürfe!? Ferner wird gelehrt: R. Elea͑zar Ḥosma sagte: Wer das Šema͑ liest und mit den Augen zwinkert, mit den Lippen bäfft oder mit den Fingern zeigt, über den spricht die Schrift: <sup>319</sup><i class=""footnote"">fn315,Jes. 43,22.</i><i>aber nicht mich hast du angerufen, Ja͑qob</i>. — Das ist kein Einwand; eines gilt vom ersten Abschnitte<sup>320</sup><i class=""footnote"">fn316,Bei diesem ist mehr Aufmerksamkeit erforderlich.</i>und eines gilt vom zweiten Abschnitte."
Yoma 19b:5,"Die Rabbanan lehrten:<sup>321</sup><i class=""footnote"">fn317,Dt. 6,7.</i><i>Du sollst davon reden</i>, davon<sup>322</sup><i class=""footnote"">fn318,Dh. das Šema͑ spreche man laut, jedoch nicht das Gebet,</i>, nicht aber beim Gebete; <i>du sollst davon reden</i>, du darfst nur davon reden, nicht aber von anderen Dingen. R. Aḥa sagte: <i>Du sollst davon reden</i>, mache es zum Festgesetzten, nicht aber zum Vorübergehenden."
Yoma 19b:6,"Raba sagte: Wer unnütze Gespräche führt, übertritt ein Gebot, denn es heißt: <i>du sollst davon reden</i>; davon, nicht aber von anderen Dingen. R. Aḥa b.Ja͑qob sagte: Er übertritt auch ein Verbot, denn es heißt: <sup>323</sup><i class=""footnote"">fn319,Ecc. 1,8.</i><i>alle Dinge voll Mühe, daß es niemand ausreden kann</i>."
Yoma 19b:7,"<sup>vii</sup> <b>W</b><small>ILL ER EINSCHLUMMERN, SO SCHNALZEN DIE JUNGEN</small> P<small>RIESTER MIT DEM</small> M<small>ITTELFINGER UND SPRECHEN</small> zu <small>IHM</small>: H<small>ERR</small> H<small>OCHPRIESTER, STEHE AUF UND ERMUNTERE DICH EIN WENIG AUF DEM</small> P<small>FLASTER</small>. M<small>AN UNTERHÄLT IHN, BIS DIE</small> Z<small>EIT DES</small> S<small>CHLACHTENS HERANREICHT</small>."
Yoma 19b:8,"GEMARA. Was bedeutet Çerada [Mittelfinger]? R. Jehuda erwiderte: Çaratha deda [der Neben[finger] von diesem], das ist der Zeigefinger. R. Hona zeigte es, und der Schall ging durch das ganze Lehrhaus."
Yoma 19b:9,"U<small>ND SPRACHEN ZU IHM</small>: H<small>ERR</small> H<small>OCHPRIESTER, ERMUNTERE DICH EIN WENIG AUF DEM</small> P<small>FLASTER</small>. R. Jiçḥaq sagte: Was neues. — Was ist dies? — Sie sprachen zu ihm: Zeige uns das Bücken<sup>324</sup><i class=""footnote"">fn320,Eine sehr schwierige Produktion, wobei der Priester die Daumen gegen den Boden stemmend diesen küssen, u. ohne die Füße zu bewegen, sich wieder aufrichten mußte; cf. Suc. Fol. 53a.</i>. M<small>AN UNTERHIELT IHN, BIS DIE</small> Z<small>EIT DES</small> S<small>CHLACHTENS HERANREICHTE</small>. Es wird gelehrt: Sie unterhielten ihn nicht mit einer Harfe oder einer Zither, vielmehr [sangen sie] mit dem Munde. — Was sangen sie? — <sup>325</sup><i class=""footnote"">fn321,Ps. 127,1.</i><i>Wenn der Herr das Haus nicht baut, so haben seine Erbauer sich umsonst mit ihm abgemüht</i>. Manche von den Vornehmen Jerušalems schliefen die ganze Nacht nicht, damit der Hochpriester ein Geräusch vernehme und nicht einschlafe. Es wird gelehrt: Abba Šaúl sagte: Zur Erinnerung an den Tempel taten sie dies auch in der Provinz, nur sündigten<sup>326</sup><i class=""footnote"">fn322,Männer und Frauen trieben während der Zeit allerhand Kurzweil, auch Ausgelassenheit.</i>sie dabei. Abajje, nach anderen R. Naḥman b.Jiçḥaq, sagte: Dies ist auf Nehardea͑ zu beziehen. So sprach Elijahu zu R. Jehuda, dem Bruder R. Sala des Frommen: Ihr beklagt euch, weshalb denn der Messias nicht komme; heute ist ja Versöhnungstag, und wie viele Jungfrauen wurden in Nehardea͑ beschlafen! Dieser sprach: Was sagt der Heilige, gepriesen sei er, dazu? Jener erwiderte:<sup>327</sup><i class=""footnote"">fn323,Gen. 4,7.</i><i>Die Sünde lauert vor der Tür</i>. —"
Yoma 20a:1,"Was sagt der Satan? Jener erwiderte: Am Versöhnungstage hat der Satan keine Freiheit anzuklagen. — Woher dies? Rami, b.Ḥama erwiderte: [Die Buchstabenzahl des Wortes] ‘ha-Satan’ beträgt dreihundertvierundsechzig; an den dreihundertvierundsechzig Tagen [des Jahres] hat er die Freiheit anzuklagen, am Versöhnungstage aber hat er keine Freiheit anzuklagen."
Yoma 20a:2,"<sup>viii</sup> <b>A</b><small>N JEDEM ANDEREN</small> T<small>AGE HEBT MAN</small> [<small>DIE</small> A<small>SCHE</small>] <small>VOM</small> A<small>LTAR BEIM</small> E<small>AHNENRUF AB, ODER NAHE DIESEM, OB VORHER ODER NACHHER, AM</small> V<small>ERSÖHNUNGSTAGE ABER VON</small> M<small>ITTERNACHT AN UND AN DEN</small> F<small>ESTEN VON DER ERSTEN</small> N<small>ACHTWACHE AN</small>. N<small>OCH VERNAHM MAN DEN</small> H<small>AHNENRUF NICHT, ALS SCHON DER</small> T<small>EMPELHOF VON</small> J<small>ISRAÉLITEN VOLL WAR</small>."
Yoma 20a:3,"GEMARA. Dort haben wir gelernt: Wenn Opferteile vom Altar vor Mitternacht herabfallen, so lege man sie zurück hinauf, auch begeht man an diesen eine Veruntreuung, wenn nach Mitternacht, so braucht man sie nicht zurück hinaufzulegen, auch begeht man an diesen keine Veruntreuung. — Woher dies? Rabh erwiderte: Ein Schriftvers lautet:<sup>328</sup><i class=""footnote"">fn324,Lev. 6, 2, 3, 5.</i><i>die ganze Nacht, und er soll aufräuchern</i>, und ein Schriftvers lautet, <i>die ganze Nacht, und er soll [die Asche] abheben</i>, wie ist dies [in Übereinstimmung zu bringen]? Man teile sie: eine Hälfte für die Aufräucherung und eine Hälfte für die Abhebung. R. Kahana wandte ein: An jedem anderen Tage hebt man [die Asche] vom Altar beim Hahnenruf ab, oder nahe diesem, ob vorher oder nachher, am Versöhnungstage aber von Mitternacht an und an den Festen von der"
Yoma 20b:1,"ersten Nachtwache an. Wieso vorher oder nachher, wenn du sagst, nach der Tora um Mitternacht!? Vielmehr, erklärte R. Joḥanan, schon aus den Worten: <i>die ganze Nacht</i>, weiß ich ja, daß es bis zum Morgen Zeit hat, wenn es aber außerdem heißt: <i>bis zum Morgen</i>, so füge man noch einen Morgen zum Morgen der Nacht hinzu, daher hebe man [die Asche] vom Altar an jedem anderen Tage beim Hahnenruf ab, oder nahe diesem, ob vorher oder nachher, am Versöhnungstage aber, an dem die Schwäche des Hochpriesters zu berücksichtigen ist, beginne man schon um Mitternacht, und an den Festen, an denen die Jisraéliten zahlreich und der Opfer viele sind, beginne man bei der ersten Nachtwache, wie auch tatsächlich der Grund gelehrt wird: noch vernahm man nicht den Hahnenruf, als schon der Tempelhof von Jisraéliten voll war. — Was bedeutet ‘Hahnenruf’<sup>329</sup><i class=""footnote"">fn325,Im Texte גבר, das im T. sowohl Mann als auch Hahn bedeutet.</i>? — Rabh erklärte: Der Ruf des Beamten. R. Šila erklärte: Das Krähen des Hahnes."
Yoma 20b:2,"Einst traf Rabh in der Ortschaft R. Šilas ein, und dieser hatte gerade keinen Dolmetsch<sup>330</sup><i class=""footnote"">fn326,Der den vom Gelehrten hebräisch gehaltenen Vortrag dem Publikum zu verdolmetschen hatte.</i>; da stellte sich neben ihn Rabh [als Dolmetsch] und erklärte ‘Hahnenruf’ mit Ruf des Beamten. Da sprach R. Šila zu ihm: Sollte es doch der Meister mit Krähen des Hahnes erklären!? — Jener erwiderte: Die Flöte ist Musik für Fürsten, den Webern aber gefällt sie nicht. Als ich vor R. Ḥija stand, erklärte ich ‘Hahnenruf’ mit Ruf des Beamten, und er wandte dagegen nichts ein, du aber sagst, ich sollte Krähen des Hahnes erklären. Darauf sprach dieser: Der Meister ist also Rabh! Möge der Meister sich doch niedersetzen. Jener erwiderte: Hast du dich einem vermietet, so zupfe seine Wolle. Manche sagen, er habe ihm wie folgt erwidert: Beim Heiligen erhöht und erniedrigt nicht<sup>331</sup><i class=""footnote"">fn327,Wenn ein bedeutender Mann den Vortrag zu verdolmetschen begonnen hat, darf kein unbedeutender dies beenden.<br>332. Cf. Seq. V, 1.</i>."
Yoma 20b:3,"Es gibt eine Lehre übereinstimmend mit Rabh und es gibt eine Lehre übereinstimmend mit R. Šila. Es gibt eine Lehre übereinstimmend mit Rabh: Was pflegte Gebinaj der Ausrufer<sup>322</sup><i class=""footnote"">fn318,Dh. das Šema͑ spreche man laut, jedoch nicht das Gebet,</i>zu sprechen? Begebt euch Priester zu eurem Dienste, Leviten auf eure Estrade und Jisraéliten zu eurem Beistande. Drei Parasangen weit hörte man seine Stimme. Einst befand sich der König Agrippa auf dem Wege und hörte seine Stimme in einer Entfernung von drei Parasangen; als er nach Hause kam, übersandte er ihm Geschenke. Und dennoch war [die Stimme] des Hochpriesters bedeutender, denn der Meister sagte, daß, als er ‘Ach, Herr’ sagte, seine Stimme in Jeriḥo zu hören war, und Rabba b.Bar Ḥana sagte im Namen R. Joḥanans, Jerušalem und Jeriḥo seien zehn Parasangen von einander entfernt; außerdem war dieser schwach<sup>333</sup><i class=""footnote"">fn328,Vom Fasten.</i> und jener nicht, und ferner erfolgte es bei diesem am Tage und hei jenem nachts. R. Levi sagte nämlich: Weshalb hört man die Stimme eines Menschen am Tage nicht so gut wie bei Nacht? Weil [das Reiben] des Sonnenkreises am Firmamente rasselt, wie wenn ein Zimmerer Zedern [sägt]. Davon kommt die Sonnenstaubsäule, die ‘la’ heißt. Das ist es, was Nebukhadneçar sagte:<sup>335</sup><i class=""footnote"">fn329,Dan. 4,2.</i><i>alle Bewohner der Erde sind wie nichts[la]</i>."
Yoma 20b:4,"Die Rabbanan lehrten: Wenn nicht [das Gerassel] des Sonnenkreises, würde man das Geräusch Roms gehört haben, und wenn nicht das Geräusch Roms, würde man das Gerassel des Sonnenkreises gehört haben."
Yoma 20b:5,"Die Rabbanan lehrten: Drei Geräusche sind von einem Ende der Welt bis zum anderen Ende zu hören, und zwar: das Gerassel des Sonnenkreises, das Geräusch Roms und die Stimme der Seele, wenn sie aus dem Körper scheidet. Manche sagen, auch die der Geburt<sup>336</sup><i class=""footnote"">fn330,Dieser in manchen Codices fehlende Satz ist nicht ganz klar; nach anderen ist hier קול nicht mit Stimme, Geräusch, zu übersetzen, sondern Ruf, dh. diese Dinge sind weltbekannt.</i>. Manche sagen, auch die des Rid ja<sup>337</sup><i class=""footnote"">fn331,Genius des Regens; cf. Tan. Fol. 25b.</i>. Die Rabbanan aber flehten um"
Yoma 21a:1,"Erbarmen hinsichtlich der Seele, wenn sie aus dem Körper scheidet, und wandten es ab."
Yoma 21a:2,"Es gibt eine Lehre übereinstimmend mit R. Šila: Wer sich vor dem Hahnenrufe auf den Weg begibt, des Blut kommt über sein eignes Haupt. R. Jošija sagte: Erst nach dem zweiten. Manche sagen: Erst nach dem dritten. Von welchem Hahne sprechen sie? — Von einem gewöhnlichen<sup>338</sup><i class=""footnote"">fn332,Der nicht zu früh und nicht zu spät kräht.</i>Hahne."
Yoma 21a:3,"R. Jehuda sagte im Namen Rabhs: Wenn die Jisraéliten zur Wallfahrt versammelt waren, standen sie gedrängt, beim Sichniederwerfen aber<sup>339</sup><i class=""footnote"">fn333,Beim Sichniederwerfen nahm jeder einen Raum von 4 Ellen ein.</i>geräumig; sie dehnten sich elf Ellen über die Gnadenkammer aus. — Wie meint er es? — Er meint es wie folgt: obgleich sie sich elf Ellen über die Gnadenkammer ausdehnten und trotzdem zusammengedrängt standen, war es dennoch bei ihrem Sichniederwerfen geräumig. Dies war eines von den zehn Wundern, die sich im Tempel ereignet hatten. Wir haben nämlich gelernt: Zehn Wunder ereigneten sich im Tempel: nie hat eine Frau durch den Geruch des heiligen Fleisches<sup>340</sup><i class=""footnote"">fn334,Der den Appetit reizt; sie durften jedoch davon nicht essen.</i>abortiert, nie wurde das heilige Fleisch übelriechend, nie wurde eine Fliege im Schlachthaus bemerkt, nie hatte der Hochpriester am Versöhnungslage Samenerguß, nie kam es zu einer Untauglichkeit bei der Schwingegarbe, den zwei Broten<sup>341</sup><i class=""footnote"">fn335,Des Wochenfestes; cf. Lev. 23,17 ff.</i>und den Schaubroten, sie standen gedrängt und sie warfen sich geräumig nieder, nie hat eine Schlange oder ein; Skorpion jemand in Jerušalem zu Schaden gebracht, und nie klagte jemand seinem Nächsten, Jerušalem sei ihm zu überfüllt, um da zu übernachten. — Er beginnt mit dem Tempel und schließt mit Jerušalem!? — Auch im Tempel selbst gab es noch zwei andere [Wunder], denn es wird gelehrt, daß der Regen nie das Feuer des Holzstosses<sup>342</sup><i class=""footnote"">fn336,Auf dem Altar.</i>zum Erlöschen brachte, und daß der Rauch des Holzstosses, auch wenn alle Winde der Welt kamen und an ihm bliesen, sich nicht von seiner Stelle rührte. — Gibt es denn weiter keine mehr, R. Šema͑ja lehrte ja in Qalnebo<sup>343</sup><i class=""footnote"">fn337,So wohl nach Syn. Fol. 63b zu transkribieren.</i>, daß die Bruchstücke der Tongefäße an Ort und Stelle zu verschwinden pflegten, und ferner sagte Abajje, daß Kröpf und Unrat [des Geflügelopfers], die Asche des inneren Altars und der Ruß der Leuchte an Ort und Stelle Su verschwinden pflegten!? — Die drei von der Untauglichkeit<sup>344</sup><i class=""footnote"">fn338,Der Schwingegarbe, der 2 Brote u. der Schaubrote.</i>gelten als eines, somit sind zwei auszuscheiden und zwei kommen hinzu. — Demnach sollten ja auch die zwei vom Verschwinden als eines gelten, somit fehlt ja [eines]!? — Es gibt noch ein anderes, denn R. Jehošua͑ b.Levi sagte, ein großes Wunder geschah beim Schaubrote: beim Fortnehmen war es ebenso [frisch] wie beim Anrichten, denn es heißt: <sup>345</sup><i class=""footnote"">fn339,iSam. 21,7.</i><i>frisches Brot aufzulegen, am Tage, da es fortgenommen wird</i>. — Gibt es denn weiter keine mehr, R. Levi sagte ja, es sei uns von unseren Vorfahren überliefert, daß die Bundeslade keinen Raum<sup>346</sup><i class=""footnote"">fn340,Cf. Meg. Fol. 10b.</i>einnahm, und ferner sagte Rabanaj im Namen Šemuéls, daß die Kerubim<sup>347</sup><i class=""footnote"">fn341,An den Seiten der Bundeslade; ihre Flügel hatten nach iReg. 6,24 ohne Rumpf 20 Ellen, trotzdem fanden sie Platz in einem Räume von 20 Ellen.</i>durch ein Wunder standen!? — Er zählt nur die Wunder außerhalb [des Tempels] auf, nicht aber die Wunder innerhalb. — Auch das Wunder bei den Schaubroten war ja innerhalb!? — Bei den Schaubroten geschah es außerhalb, denn Reš Laqiš sagte: Es heißt:<sup>348</sup><i class=""footnote"">fn342,Lev. 24,6.</i><i>auf dem reinen Tische</i>,"
Yoma 21b:1,"wonach er verunreinigungsfähig war; aber er war ja ein ruhendes<sup>349</sup><i class=""footnote"">fn343,Er stand unbeweglich auf der Erde.</i> Holzgerät, und das ruhende Holzgerät ist ja nicht verunreinigungsfähig, auch begrenzt es<sup>350</sup><i class=""footnote"">fn344,Die Unreinheit dringt nicht durch dieses.</i>die Unreinheit!? Dies lehrt vielmehr, daß man ihn vor den Wallfahrern hochzuheben und zu ihnen zu sprechen pflegte: Schauet eure Beliebtheit bei Gott: beim Fortnehmen ist es ebenso [frisch] wie beim Anrichten! So heißt es auch: <i>frisches Brot aufzulegen am Tage, da es fortgenommen wird</i>. – Gibt es denn weiter keine mehr, R. Ošaja sagte ja, daß, als Šelomo den Tempel erbaut hatte, er allerlei goldene Köstlichkeiten pflanzte, die zur heranreichenden Zeit Früchte hervorbrachten, die beim Wehen des Windes abfielen, wie es heißt:<sup>351</sup><i class=""footnote"">fn345,Ps. 72,16.</i><i>seine Frucht wird wie der Lebanon rauschen</i>, und die, als die NichtJuden in den Tempel drangen, verdorrten, wie es heißt:<sup>352</sup><i class=""footnote"">fn346,Nah. 1,4.</i><i>die Blüte des Lebanon verwelkt</i>, die aber der Heilige, gepriesen sei er, dereinst zurückkehren lassen wird, wie es heißt:<sup>353</sup><i class=""footnote"">fn347,Jes. 35,2.</i><i>üppig soll sie aufspriessen und jubeln, ja jubeln und jauchzen; die Herrlichkeit des Lebanon wird ihr gesohenkt</i>!? – Andauernde Wunder zählt er nicht mit. Jetzt nun, wo du darauf gekommen bist: auch bei der Bundeslade und den Kerubim waren es andauernde Wunder."
Yoma 21b:2,"Der Meister sagte: Und der Rauch des Holzstosses. War denn am Holzstoße überhaupt ein Rauch vorhanden, es wird ja gelehrt: Fünferlei wird vom Feuer des Holzstosses berichtet: es lagerte wie ein Löwe, es war klar wie die Sonne, es war greifbar, es verzehrte Feuchtes wie Trockenes, und es rauchte nicht!? – Wir sprachen vom profanen Feuer. Es wird nämlich gelehrt:<sup>354</sup><i class=""footnote"">fn348,Lev. 1,7.</i><i>Die Söhne Ahrons, des Priesters, sollen Feuer auf den Altar tun</i>; obgleich ein Feuer vom Himmel herabstieg, so ist es dennoch Gebot, auch profanes zu holen. – «Es lagerte wie ein Löwe.» Es wird ja aber gelehrt, R. Ḥanina, der Priesterpräses erzählte, er habe es gesehen, und es habe wie ein Hund gelagert!? – Das ist kein Einwand; eines im ersten Tempel und eines im zweiten Tempel. – War es denn im zweiten Tempel überhaupt vorhanden, R. Šemuél b.Inja sagte ja: Es heißt:<sup>355</sup><i class=""footnote"">fn349,Hag. 1,8.</i><i>daß ich Wohlgefallen daran habe, veekabed [und geehrt werde]</i>, gelesen wird aber <i>veekabdah</i>; weshalb felht das <i>He</i>! Dies deutet auf die fünf<sup>356</sup><i class=""footnote"">fn350,Der Buchstabe <span dir=""rtl"">ה</span> hat den Zahlenwert 5.</i>Dinge, durch welche der zweite Tempel sich vom ersten unterschieden<sup>357</sup><i class=""footnote"">fn351,Sie waren nur im 1. Tempel vorhanden.</i>hatte, und zwar: die Bundeslade mit der Deckplatte und den Kerubim, das [Altar]feuer, die Göttlichkeit, der heilige Geist<sup>358</sup><i class=""footnote"">fn352,Die Prophetie</i>und das Orakelschild!? – Ich will dir sagen, sie waren vorhanden, jedoch ohne Wirkung."
Yoma 21b:3,"Die Rabbanan lehrten: Es gibt sechserlei Feuer, manches verzehrt und trinkt nicht, manches trinkt und verzehrt nicht, manches verzehrt und trinkt, manches verzehrt Feuchtes wie Trockenes, manches Feuer drängt das andere zurück und manches Feuer verzehrt das andere. Manches Feuer verzehrt und trinkt nicht: das unsrige<sup>359</sup><i class=""footnote"">fn353,Es erlischt durch das Wasser.</i>. Trinkt und verzehrt nicht: Nicht: das der Kranken<sup>360</sup><i class=""footnote"">fn354,Das des Fiebers.</i>. Manches verzehrt und trinkt: das des Elijahu, wie es heißt:<sup>361</sup><i class=""footnote"">fn355,iReg. 18,38.</i><i>auch das Wasser, das im Graben war, leckte es auf</i>. Manches verzehrt Feuchtes wie Trocknes: das des Altars. Manches Feuer drängt das andere zurück: das des Gabriél<sup>362</sup><i class=""footnote"">fn356,Er kühlte den glühenden Schmelzofen; cf. Pes. Fol. 118a.</i>. Manches Feuer verzehrt das andere: das der Göttlichkeit, denn der Meister sagte, er habe seinen Finger zwischen sie<sup>363</sup><i class=""footnote"">fn357,Die Engel, die den Menschen angeklagt hatten; cf. Syn. Fol. 38b.</i>gesteckt und sie verbrannt."
Yoma 21b:4,"«Daß der Rauch des Holzstoßes, auch wenn alle Winde der Welt kamen und an ihm bliesen, sich nicht von seiner Stelle rührte.» Aber R. Jiçḥaq b.Evdämi sagte ja, daß am Ausgange des letzten Tages des [Hütten]festes jeder auf den Rauch des Altars schaute; neigte er sich nach Norden, so waren die Armen froh und die Besitzenden traurig, weil dies ein regnerisches Jahr bedeutete, sodaß die Früchte<sup>364</sup><i class=""footnote"">fn358,Sie mußten schnell verkauft werden.</i>faulen; neigte er sich nach Süden, so waren die Armen traurig und die Besitzenden froh, weil dies ein regenarmes Jahr bedeutete, sodaß die Früchte sich verwahren lassen; neigte es sich nach Osten<sup>365</sup><i class=""footnote"">fn359,Dies bedeutete mäßigen Regen u. gute Ernte.</i>, so waren alle froh; wenn nach Westen<sup>366</sup><i class=""footnote"">fn360,Der Ostwind hält den Regen zurück, was Dürre und Teuerung zur Folge hat.</i>, so waren alle traurig!? – Er bewegte sich wie eine Palme, ohne sich zu lösen."
Yoma 21b:5,"Der Meister sagte: Nach Osten, so waren alle froh; wenn nach Westen, so waren alle traurig. Ich will auf einen Widerspruch hinweisen: Der östliche [Wind] ist immer gut; der westliche ist immer schlecht; der nördliche Wind ist dem bis zu einem Drittel herangewachsenen Weizen zuträglich und den in der Blüte befindlichen Oliven schädlich; der südliche Wind ist dem bis zu einem Drittel herangewachsenen Weizen schädlich und den in der Blüte befindlichen Oliven zuträglich. Hierzu sagte auch R. Joseph, nach anderen Mar Zuṭra, als Merkzeichen diene dir: der Tisch<sup>367</sup><i class=""footnote"">fn361,Sc. befand sich im Tempel; auf dem Tisch lag das Schaubrot.</i>nördlich und die Leuchte südlich; die eine [Seite] macht das ihrige gedeihen<sup>368</sup><i class=""footnote"">fn362,Die Nordseite das Getreide u. die Südseite das Öl.</i>und die andere das ihrige!? – Das ist kein Einwand; das eine für uns und das eine für sie<sup>369</sup><i class=""footnote"">fn363,Der Ostwind ist für das tiefer liegende wasserreiche Babylonien zuträglich u. für das gebirgige, trockne Palästina schädlich.</i>."
Yoma 21b:6,"<b>A</b>NFANGS <small>DURFTE JEDER</small><sup>1</sup><i class=""footnote"">fn364,Priester aus der betreffenden Priesterwache.</i> <small>DER</small> [<small>DIE</small> A<small>SCHE</small>] <small>VOM</small> A<small>LTAR ABHEBEN</small>"
Yoma 22a:1,"<small>WOLLTE, SIE ABHEBEIN</small>. <sup>i</sup> W<small>AREN ES MEHRERE, SO LIEFEN SIE DIE</small> A<small>LTARRAMPE HINAUF, UND WER FRÜHER ALS DIE ANDEREN DIE</small> [<small>LETZTEN</small>] <small>VIER</small> E<small>LLEN ERREICHTE, HATTE GESIEGT</small>. W<small>AREN ZWEI GLEICH</small> [<small>WEIT</small>], <small>SO SPRACH DER</small> B<small>EAMTE ZU IHNEN</small>: D<small>IE</small> F<small>INGER HOCH</small><sup>2</sup><i class=""footnote"">fn365,Die Erklärung folgt weiter S. 56.</i>! W<small>IEVIEL STRECKTEN SIE VOR</small>? E<small>INEN ODER ZWEI: DEN</small> D<small>AUMEN ABER STRECKTE MAN IM</small> T<small>EMPEL NICHT VOR</small>. <sup>ii</sup> E<small>INST LIEFEN ZWEI</small> [P<small>RIESTER</small>] <small>DIE</small> A<small>LTARRAMPE HINAUF UND WAREN GLEICH</small> [<small>WEIT</small>]; <small>DA STIESS EINER SEINEN</small> G<small>ENOSSEN, UND DIESER FIEL HINUNTER UND BRACH EIN</small> B<small>EIN</small>. A<small>LS NUN DER</small> G<small>ERICHTSHOF SAH, DASS MAN DADURCH IN</small> G<small>EFAHR GERÄT, ORDNETE ER AN, DASS MAN</small> [<small>DIE</small> A<small>SCHE</small>] <small>VOM</small> A<small>LTAR NUR DURCH DAS</small> L<small>OS ABHEBE</small>. V<small>IERMAL</small> [<small>TÄGLICH</small>] <small>ERFOLGTE DA DIE</small> A<small>USLOSUNG, UND DIES WAR DIE ERSTE</small> A<small>USLOSUNG</small>."
