Index Title,Chagigah
Chagigah 3a:2,"R. Tanḥum sagte: Wer auf einem Ohre taub ist, ist vom Erscheinen frei, denn es heißt:$fn11<i>vor ihren Ohren.</i> – Aber [die Worte]: <i>vor ihren Ohren</i> deuten ja darauf, daß es vor den Ohren von ganz Jisraél erfolgen muß!? – Dies ist aus [den Worten] :$fn12<i>in Gegenwart ganz Jisraéls,</i> zu entnehmen. – Aber wenn es nur hieße: <i>in Gegenwart ganz Jisraéls,</i> könnte man ja glauben, auch wenn sie es nicht hören, daher muß der Allbarmherzige auch schreiben: <i>vor ihren Ohren</i>!? – Dies geht hervor aus [den Worten] <i>damit sie hören.</i>"
Chagigah 3a:3,"R. Tanḥum sagte: Wer auf einem Fuße lahm ist, ist vom Erscheinen frei, denn es heißt: <i>[drei]mal</i>$fn3. – Dies ist ja dazu nötig, den Stelzbeinigen auszuschließen!? – Dies ist aus [dem Worte]$fn15<i>Pea͑mim [Male]</i> zu entnehmen. Es wird nämlich gelehrt: <i>Pea͑mim,</i> unter <i>pea͑mim</i> sind die Füße zu verstehen, denn es heißt :$fn16<i>es zertritt sie der Fuß, Füße der Armen, die Tritte [paa͑me] der Geringen.</i> Ferner heißt <i>es</i>:$fn17<i>wie schön sind deine Füße [pea͑majikh] in den Schuhen, du Tochter des Edlen.</i>"
Chagigah 3a:4,"Raba trug vor: Es heißt: <i>Wie schön sind deine Füße in den Schuhen, du Tochter des Edlen;</i> wie schön sind die Füße Jisraéls, wenn sie zur Wallfahrt ziehen. <i>Du Tochter des Edlen,</i> du Tochter unseres Vaters Abraham, der Edler genannt wird. Es heißt nämlich:$fn18<i>die Edlen der Völker haben sich versammelt, ein Volk des Gottes Abrahams;</i> des Gottes Abrahams und nicht des Gottes Jiçḥaqs und Ja͑qobs !? Vielmehr, des Gottes Abrahams, der der erste der Proselyten$fn19war."
Chagigah 3a:5,"R. Kahana sagte: R.Nathan b. Minjomi trug im Namen R. Tanḥums vor: Es heißt:$fn20<i>die Grube aber war leer, kein Wasser war darin;</i> wenn es heißt, daß sie leer war, so weiß ich ja, daß kein Wasser darin war!? Vielmehr, kein Wasser war darin, wohl aber Schlangen und Eidechsen."
Chagigah 3a:6,"Die Rabbanan lehrten : Einst gingen R. Joḥanan b. Beroqa und R. Elea͑zar Ḥisma R. Jehošua͑ in Peqii͑n ihre Aufwartung machen. Da fragte er sie: Was Neues gab es heute im Lehrhause? Sie erwiderten: Wir sind ja deine Schüler und trinken dein Wasser! Dieser entgegnete: Dennoch; es ist ja nicht möglich, daß es im Lehrhause nichts Neues geben sollte. Wessen Šabbath war es$fn21? – Der Šabbath des R. Elea͑zar b. A͑zarja. – Worüber hielt er den Vortrag? Sie erwiderten: Über den Abschnitt von der Versammlung. – Was trug er vor? – <i>Versammle das Volk, Männer, Frauen und Kinder;</i> die Männer kommen lernen, die Frauen kommen hören, wozu aber die Kinder? Um denen, die sie mitbringen, eine Belohnung zukommen zu lassen. Darauf sprach er zu ihnen: Ihr hattet eine kostbare Perle in der Hand, und die wolltet ihr mir verloren gehen lassen. – Ferner trug er vor:$fn22<i>Du hast heute den Herrn verherrlicht,</i> $fn23<i>und der Herr hat dich heute verherrlicht.</i> Der Heilige, gepriesen sei er, sprach zu Jisraél : Ihr habt mich zu einer Verherrlichung auf der Welt gemacht, auch ich will euch zu einer Verherrlichung auf der Welt machen. Ihr habt mich zu einer Verherrlichung auf der Welt gemacht, denn es heißt :$fn24<i>höre Jisraél, der Herr ist unser Gott, der Herr ist einzig;</i> auch ich will euch zu einer Verherrlichung auf der Welt"
Chagigah 3b:1,"machen; denn es heißt:$fn25<i>wer ist wie dein Volk Jisraél ein einziges Volk auf Erden.</i> Hierauf begann auch er und trug vor:$fn26<i>Die Worte der Weisen sind wie Stacheln, und wie eingepflanzte Nägel die Gesammelten; sie sind von einem Hirten gegeben.</i> Weshalb werden die Worte der Tora mit einem Stachel verglichen? Wie der Stachel das Rind nach den Furchen lenkt, um Leben in die Welt zu bringen, ebenso lenken die Worte der Tora die sie Studierenden aus den Wegen des Todes in die Wege des Lebens. [Man könnte glauben,] wie der Stachel beweglich$fn27ist, ebenso seien auch die Worte der Tora beweglich, so heißt es: <i>wie Nägel</i>. [Man könnte glauben,] wie der Nagel mindert$fn28und nicht mehrt, ebenso mindern auch die Worte der Tora und mehren nicht, so heißt es: <i>eingepflanzt,</i> wie die Pflanze sich verbreitet und vermehrt, ebenso verbreiten und vermehren sich die Worte der Tora. <i>Die Gesammelten</i>, das sind die Schriftgelehrten, die in Versammlungen sitzen und sich mit der Tora befassen; die einen erklären als unrein und die anderen erklären als rein, die einen verbieten und die anderen erlauben, die einen erklären als unbrauchbar und die anderen erklären als brauchbar. Vielleicht sagt jemand: wie kann ich demnach das Gesetz studieren, so heißt es: <i>sie sind von einem Hirten gegeben;</i> ein Gott gab sie, ein Walter sagte sie, aus dem Munde des Herrn der ganzen Schöpfung, gepriesen sei er, denn es heißt:$fn29<i>und Gott sprach all diese Worte.</i> Und auch du mache dein Ohr wie einen Trichter und verschaffe dir ein verständiges Herz, um die Worte der als unrein Erklärenden und die Worte der als rein Erklärenden, die Worte der Verbietenden und die Worte der Erlaubenden, die Worte der als unbrauchbar Erklärenden und die Worte der als brauchbar Erklärenden zu verstehen. Er sprach dann zu ihnen folgende Worte: Nicht verwaist ist das Zeitalter, in dem R. Elea͑zar b. A͑zarja lebt. – Sollten sie es ihm gleich gesagt haben!? – Wegen jenes Ereignisses. Es wird gelehrt: Einst ging R. Jose b. Durmaskith R. Elie͑zer in Lud seine Aufwartung machen. Da fragte ihn dieser: Was Neues gab es heute im Lehrhause? Jener erwiderte: Man hat abgestimmt und beschlossen, daß in A͑mmon und Moáb$fn30im Siebentjahre der Armenzehnt zu entrichten sei. Darauf sprach dieser: Jose, breite deine Hände aus, und deine Augen$fn31mögen sich verdunkeln. Da breitete er seine Hände aus und seine Augen verdunkelten sich. Alsdann weinte R. Elie͑zer, indem er sprach:$fn32<i>Das Geheimnis des Herrn kennen die, die ihn fürchten, und seine Ordnungen tut er ihnen kund.</i> Darauf sprach er zu ihnen: Seid über eure Abstimmung beruhigt; es ist mir von meinem Lehrer R. Joḥanan b. Zakkaj überliefert, und er hörte es von seinem Lehrer, und sein Lehrer von seinem Lehrer, es sei eine Moše am Sinaj überlieferte Halakha, daß in A͑mmon und Moáb im Siebentjähre der Armenzehnt zu entrichten sei. – Aus welchem Grunde? – Viele Städte wurden von den Auszüglern aus Miçrajim erobert, nicht jedoch von den Auszüglern aus Babylonien, und da die erste Heiligkeit$fn33nur für die damalige Zeit galt und nicht für später, ließ man es dabei, damit die Armen sich im Siebentjahre darauf stützen$fn34. Es wird gelehrt: Nachdem er sich beruhigt hatte, sprach er: Mögen die Augen Joses wieder so werden, wie sie waren. Und sie wurden wie früher."
Chagigah 3b:2,"Die Rabbanan lehrten: Wer heißt blöd? Der nachts allein ausgeht, der auf einem Begräbnisplatze übernachtet und der sein Gewand zerreißt. Es wurde gelehrt : R. Hona sagte, nur wenn er alles zusammen tut; R. Joḥanan sagte, auch wenn nur eines davon. – In welchem Falle: tut er es in blödsinniger Weise, so genügt ja auch eines, und tut er es nicht in blödsinniger Weise, so [beweist es ja] nichts, auch wenn er alles tut!? – Tatsächlich, wenn er es in blödsinniger Weise tut, nur kann er auf dem Begräbnisplatze übernachtet haben, damit ein unreiner Geist auf ihm ruhe, nachts allein ausgegangen sein, weil er von der Melancholie befallen wurde, und sein Gewand zerrissen haben, weil er in Gedanken war; wenn er aber alles zusammen tut, so verhält es sich beiihm"
Chagigah 4a:1,"ebenso, wie bei einem [Ochsen], der einen Ochsen, einen Esel und ein Kamel gestoßen hat, der allen Tieren gegenüber als stößig$fn35gilt. R. Papa sprach : Wenn R. Hona von der Lehre gehört hätte, daß, wer alles verliert, was man ihm gibt, blöd sei, würde er davon$fn36abgekommen sein. Sie fragten: Würde er nur hinsichtlich des Zerreißens seines Gewandes davon abgekommen sein, weil dies [dem Verlieren] gleicht oder auch hinsichtlich der übrigen? – Dies bleibt unentschieden."
Chagigah 4a:2,"E<small>IN</small> G<small>ESCHLECHTSLOSER, EIN</small> Z<small>WITTER</small> &amp;<small>C</small>. – Die Rabbanan lehrten: $fn37<i>Mannschaft,</i> dies schließt Frauen aus; <i>deine Mannschaft,</i> dies schließt Geschlechtslosen und Zwitter aus ; <i>deine ganze Mannschaft,</i> dies schließt Minderjährige ein."
Chagigah 4a:3,"Der Meister sagte: <i>Mannschaft,</i> dies schließt Frauen aus. Wozu ist hierfür ein Schriftvers nötig, es ist ja ein von einer bestimmten Zeit abhängiges Gebot, und Frauen sind ja von jedem von einer bestimmten Zeit abhängigen Gebote frei!? – Er ist nötig; man könnte glauben, es sei durch [das Wort] <i>erscheinen</i>$fn38von der Versammlung zu folgern, wie Frauen da verpflichtet waren, ebenso seien Frauen auch hierbei verpflichtet, so lehrt er uns."
Chagigah 4a:4,"Der Meister sagte: <i>Deine Mannschaft,</i> dies schließt Geschlechtslosen und Zwitter aus. Allerdings ist dies vom Zwitter nötig; man könnte glauben, er sei wegen der ihm anhaftenden männlichen Seite verpflichtet, so lehrt er uns, daß er ein Geschöpf für sich sei, hinsichtlich der Geschlechtslosen aber besteht ja ein Zweifel; ist denn ein Schriftvers nötig, das Zweifelhafte auszuschließen!? Abajje erwiderte: Auch wenn er die Hoden außen hat$fn39."
Chagigah 4a:5,"Der Meister sagte: <i>Deine ganze Mannschaft,</i> dies schließt Minderjährige ein. Wir haben ja aber gelernt, Taube, Blöde und Minderjährige seien ausgeschlossen!? Abajje erwiderte: Das ist kein Einwand; eines gilt von einem Minderjährigen, der zur Einübung herangewachsen ist, und eines gilt von einem Minderjährigen, der zur Einübung noch nicht herangewachsen ist. – Der zur Einübung herangewachsene Minderjährige ist ja nur rabbanitisch [verpflichtet]!? – Dem ist auch so, und der Schriftvers ist nur eine Anlehnung. – Wozu ist der Schriftvers nötig !? – Wegen der Anderen. Es wird nämlich gelehrt : Andere sagen, der Kotsammler, der Kupfererzgräber und der Gerber seien vom Erscheinen frei, denn es heißt: <i>deine ganze Mannschaft,</i> der mit deiner ganzen Mannschaft gehen kann, ausgenommen diese, die nicht mit deiner ganzen Mannschaft gehen können."
Chagigah 4a:6,"F<small>RAUEN, UNBEFREITE</small> S<small>KLAVEN</small> &amp;<small>C</small>. Allerdings Frauen, wie wir bereits gesagt haben, woher dies von den Sklaven !? R. Hona erwiderte : Die Schrift sagt:$fn37<i>vor Gott, dem Herrn,</i> nur der einen Herrn hat, ausgenommen dieser, der noch einen anderen Herrn hat. – Wozu ist hierfür ein Schriftvers nötig, durch [das Wort] <i>ihr</i>$fn40wird ja von der Frau gefolgert, daß zu allen Geboten, zu denen eine Frau verpflichtet ist, auch der Sklave verpflichtet ist, und zu allen Geboten, zu denen eine Frau nicht verpflichtet ist, auch ein Sklave nicht verpflichtet ist!? Rabina erwiderte: Er ist nur wegen des Halbsklaven nötig. Dies ist auch zu beweisen. Er lehrt: Frauen und unbefreite Sklaven; was heißt ‘unbefreit’: wollte man sagen, ganz unbefreit, so sollte er doch schlechthin ‘Sklaven’ lehren!? Wahrscheinlich also, nicht vollständig befreit, das sind nämlich Halbsklaven. Schließe hieraus."
Chagigah 4a:7,"E<small>IN</small> L<small>AHMER, EIN</small> B<small>LINDER, EIN</small> K<small>RANKER UND EIN</small> G<small>REIS</small>. Die Rabbanan lehrten: <i>[Drei]mal</i>$fn3, ausgenommen Stelzbeinige. Eine andere Auslegung: ausgenommen Lahme, Kranke, Blinde, Greise und wer zu Fuß nicht hinaufziehen kann. – Was schließt dies ein? Raba erwiderte: Dies"
Chagigah 4b:1,"schließt Verweichlichte$fn41ein, denn es heißt :$fn42<i>wenn ihr kommt, um vor mir zu erscheinen, wer hat es von euch verlangt, meinen Vorhof zu zertreten.</i> Es wird gelehrt: Der Unbeschnittene und der Unreine sind vom Erscheinen frei. – Allerdings der Unreine, denn es heißt :$fn43<i>du sollst da kommen und darbringen,</i> wer da kommen kann, bringe dar, und wer da nicht kommen kann, bringe nicht dar, woher dies aber von Unbeschnittenen? – Dies nach R. A͑qiba, der den Unbeschnittenen einschließt, daß er dem Unreinen gleiche. Es wird nämlich gelehrt: R. A͑qiba sagte :$fn44<i>Jeder Mann,</i> dies schließt den Unbeschnittenen ein."
Chagigah 4b:2,"Die Rabbanan lehrten: Der Unreine ist vom Erscheinen frei, denn es heißt: <i>du sollst da kommen und darbringen;</i> wer da kommen kann, bringe dar, wer da nicht kommen kann, bringe auch nicht dar. R. Joḥanan b. Dahabaj sagte im Namen R. Jehudas : Wer auf einem Auge blind ist, ist vom Erscheinen frei, denn es heißt ‘sehen’ und ‘gesehen$fn6 werden’, wie das Sehen, so das Erdscheinen: wie sehen mit beiden Augen, so auch erscheinen mit beiden Augen."
Chagigah 4b:3,"Wenn R. Hona an den Schriftvers vom Erscheinen herankam, weinte er, indem er sprach: Der Sklave, den zu sehen sein Herr sich sehnt, soll nun von ihm entfernt werden, denn es heißt: <i>wenn ihr kommt, um vor mir zu erscheinen, wer hat es von euch verlangt, meinen Vorhof zu zertreten.</i>"
Chagigah 4b:4,"R. Hona weinte, wenn er herankam an den Schriftvers :$fn45<i>Du sollst Heilsopfer schlachten und da essen.</i> Der Sklave, an dessen Tisch zu speisen sein Herr sich sehnt, soll nun von ihm entfernt werden, denn es heißt: $fn46<i>was soll mir die Menge eurer Schlachtopfer? spricht der Herr.</i>"
Chagigah 4b:5,"R. Elea͑zar weinte, wenn er herankam an den Schriftvers:$fn47<i>Und seine Brüder konnten ihm nicht antworten, denn sie waren bestürzt ihm gegenüber</i>. Wenn es bei der Zurechtweisung eines [Menschen aus] Fleisch und Rlut so ist, um wieviel mehr bei der Zurechtweisung des Heiligen, gepriesen sei er!"
Chagigah 4b:6,"R. Elea͑zar weinte, wenn er herankam an den Schriftvers :$fn48<i>Da sprach Šemuél zu Šaúl: Warum beunruhigst du mich, mich erscheinen zu lassen?</i> Wenn der fromme Šemuél vor dem Gerichte fürchtete, um wieviel mehr müssen wir es!? – Welches Bewenden hat es mit Šemuél? – Es heißt :$fn49<i>da sprach die Frau zu Šaúl: Ich sah aufsteigende Geister.</i> Aufsteigende, also zwei ; einer war Šemuél, wer war der andere? Šemuél ging nämlich und brachte Moše mit, indent er zu ihm sprach: Ich werde vielleicht, behüte und bewahre, vor Gericht geladen; komm mit mir [und bezeuge], daß sich nichts in der Tora befindet, die du geschrieben hast, was ich nicht erfüllt hätte."
Chagigah 4b:7,"R. Ami weinte, wenn er herankam an den Schriftvers :$fn50<i>Er berühre mit seinem Munde den Staub, vielleicht ist noch Hoffnung.</i> Er sprach: All dies, und vielleicht!"
Chagigah 4b:8,"R. Ami weinte, wenn er herankam an den Schriftvers :$fn51<i>Befleißigt euch der Gerechtigkeit, befleißigt euch der Demut, vielleicht werdet ihr am Tage des Zorns des Herrn geborgen.</i> Er sprach: All dies, und vielleicht!"
Chagigah 4b:9,"R. Asi weinte, wenn er herankam an den Schriftvers :$fn52<i>Hasset das Böse und liebet das Gute; erhaltet das Recht im Tore aufrecht; vielleicht wird der Herr, der Gott der Heerscharen, sich erbarmen</i>. [Er sprach :] All dies, und vielleicht!"
Chagigah 4b:10,"R. Joseph weinte, wenn er herankam an den Schriftvers :$fn53<i>Und mancher wird unschuldig hinweggerafft.</i> (Er sprach:) Gibt es denn jemand, der vor der Zeit dahingeht? – Allerdings. So hörte R. Bebaj b. Abajje, bei dem der Todesengel zu verkehren pflegte$fn54, ihn einst zu seinem Boten sprechen: Geh, hole mir Mirjam die Frauenhaarflechterin. Dieser ging und holte ihm Mirjam die Kindererzieherin$fn55. Da sprach jener: Ich habe ja nach Mirjam der Frauenhaarflechterin verlangt. Dieser erwiderte: So will ich sie zurückbringen. Jener entgegnete: Da du sie geholt hast, so mag sie nun bleiben; wie hast du dich aber ihrer$fn56bemächtigt? – Sie hielt ein Schürholz und heizte den Ofen, und als sie"
Chagigah 5a:1,"es darauf aufs Knie legte, verbrannte sie sich; da wankte ihr Geschick, und ich holte sie. R. Bebaj b. Abajje fragte ihn : Ist es euch gestattet, dies zu tun? Jener erwiderte: Heißt es etwa nicht: <i>und mancher wird unschuldig hinweggerafft!?</i> Dieser entgegnete: Es heißt ja aber:$fn57<i>eine Generation geht, und eine Generation kommt</i>!? Jener erwiderte: Ich behalte sie bei mir, bis die Generation voll ist, und erst dann übergebe ich sie Duma. Dieser fragte: Was machst du aber mit den ihr zustetienden Lebensjahren? Jener erwiderte: Ist ein Schriftgelehrter da, der Unbill übersieht, so gebe ich sie ihm."
Chagigah 5a:2,"R. Joḥanan weinte, wenn er herankam an den Schriftvers :$fn58<i>Du hast mich verleitet, ihn grundlos zu verderben.</i> Gibt es ein Mittel für einen Sklaven, dessen Herrn man verleitet und er sich verleiten läßt!?"
Chagigah 5a:3,"R. Joḥanan weinte, wenn er herankam an den Schriftvers :$fn59<i>Er traut ja seinen Heiligen nicht</i>. Wem mag er trauen, wenn er seinen Heiligen nicht traut!? Eines Tages ging er auf dem Wege und sah, wie ein Mann, der Feigen sammelte, die reifen zurückließ und die unreifen auflas. Da sprach er zu ihm: Sind denn jene nicht besser? Dieser erwiderte: Ich brauche sie für die Reise; diese halten sich, jene aber nicht. Darauf sprach er: Das ist es, was geschrieben steht: <i>er traut ja seinen Heiligen nicht</i>$fn60. – Dem ist ja aber nicht so!? Als einst ein Jünger, der in der Nachbarschaft R. Alexandrie wohnte, in seiner Jugend starb, sprach dieser : Wenn dieser Jünger wollte$fn61, würde er gelebt haben. Wenn dem nun so$fn62wäre, so könnte dieser ja zu denen gehört haben, von denen es heißt: <i>er traut ja seinen Heiligen nicht</i>!? – Dieser hatte sich gegen seine Lehrer aufgelehnt."
Chagigah 5a:4,"R. Joḥanan weinte, wenn er herankam an den Schriftvers :$fn63<i>Ich werde an euch herantreten, um Gericht zu halten, und ein schneller Zeuge sein gegen die Zauberer, die Ehebrecher und die Meineidigen, gegen die, die den Lohn des Tagelöhners rauben.</i> Gibt es denn ein Mittel für den Sklaven, den sein Herr vor das Gericht bringt und ein schneller Zeuge gegen ihn ist!? R. Joḥanan b. Zakkaj sagte: Wehe uns, daß die Schrift uns Leichtes wie Schweres anrechnet. Reš Laqiš sagte: Wenn jemand das Recht des Fremdlings beugt, so ist es ebenso, als würde er das Recht des Höchsten beugen, denn es heißt :$fn63<i>die [das Recht] des Fremdlings beugen,</i> und die Schreibweise ist: <i>die mich</i>$fn64<i>beugen</i>, R. Ḥanina b. Papa sagte: Wenn jemand etwas begeht, und es bereut, so vergibt man ihm sofort, denn es heißt:$fn63<i>ohne vor mir zu fürchten;</i> wenn sie aber fürchten, vergibt man es ihnen sofort."
Chagigah 5a:5,"R. Joḥanan weinte, wenn er herankam an den Schriftvers :$fn65<i>Denn alles Tun wird Gott ins Gericht bringen, über alles Verborgene.</i> Gibt es ein Mittel für den Sklaven, dem sein Herr Versehentliches wie Vorsätzliches anrechnet!? – Was heißt ‘alles Verborgene’? – Rabh erklärte: Wenn jemand eine Laus in Gegenwart eines anderen tötet, und dieser sich verekelt. Šemuél erklärte: Wenn jemand in Gegenwart eines anderen ausspuckt, und dieser sich verekelt. – Was heißt :$fn65<i>ob Gutes</i>$fn66<i>oder Böses</i>? – In der Schule R. Jannajs erklärten sie: Wenn jemand einem Armen Almosen öffentlich gibt. So sah einst R. Jannaj, wie jemand einem Armen einen Zuz öffentlich gab; da sprach er zu ihm: Lieber solltest du ihm nichts geben, als ihm geben und ihn beschämen. In der Schule R. Šilas erklärten sie: Wenn jemand einer Frau heimlich Almosen gibt, wodurch er sie in Verdacht bringt. Raba erklärte: Wenn jemand seiner Frau am Vorabend des Šabbaths unzerschnittenes$fn67Fleisch schickt. – Aber Raba selbst schickte ja solches!? – Anders war es bei der Tochter R. Ḥisdas$fn68, deren Genauigkeit er kannte."
