Index Title,Nedarim
Nedarim 4a:1,"Ja͑qob erwiderte: Wenn er [das Nazirat] auf einem Begräbnisplatze$fn43gelobt hat. – Allerdings nach demjenigen, welcher sagt, er werde dann vom Nazirat nicht sofort erfaßt, wieso aber kann das Verbot des Versäumens nach demjenigen vorkommen, welcher sagt, er werde sofort$fn44erfaßt!? Und ferner sagte ja Mar b. R. Aši, das Nazirat erfasse ihn sofort, und ihr Streit bestehe nur über die Geißelung$fn45!? – Er begeht dennoch das Verbot des Versäumens, denn er versäumt das Nazirat in Reinheit. R. Aši sagte: Da dem so ist, so übertritt ein Nazir, der sich vorsätzlich verunreinigt, das Verbot des Versäumens inbetreff des in Reinheit zu haltenden Nazirates. R. Aḥa, Sohn des R. Iqa, erwiderte: Das Verbot des Versäumens kommt beim Haarscheren$fn46vor. Selbstverständlich nach demjenigen, welcher sagt, das Haarscheren sei$fn47unerläßlich, aber dies gilt auch nach demjenigen, welcher sagt, das Haarscheren sei nicht unerläßlich, denn immerhin unterläßt er das Gebot des Haarscherens. Mar Zuṭra, Sohn des R. Mari, erwiderte: Das Verbot des Versäumens kommt bei der Darbringung seines Opfers vor. – Ist dies denn hieraus zu entnehmen, dies geht ja hervor aus folgendem:$fn48<i>denn fordern wird er es</i>, das sind die Sündopfer und die Schuldopfer!? – Man könnte glauben, beim Nazir sei es anders, da die Tora bei diesem ein Novum geschaffen$fn49 hat. – Wieso ein Novum: wollte man sagen, weil das Nazir-Sündopfer von einem Gelübde nicht erfaßt$fn50wird, so wird ja auch das Sündopfer wegen Talg[genusses]$fn51von einem Gelübde nicht erfaßt, dennoch gilt bei diesem das Verbot des Versäumens? – Vielmehr, das Novum besteht darin, daß man Nazir in jeder Hinsicht ist, auch wenn man nur ein Nazirat inbezug auf [das Essen von] Traubenkernen$fn52gelobt hat. Man könnte glauben, hierbei gelte nicht das Verbot des Versäumens, so lehrt er uns. – Allerdings nach demjenigen, welcher sagt, ein Nazir inbezug auf Traubenkerne sei Nazir in jeder Hinsicht, wie ist es aber nach R. Šimo͑n zu erklären, welcher sagt, er sei nur dann Nazir, wenn er sich durch das Nazirgelübde alles$fn53entzogen hat!? Und ferner ist ja dieses Novum erschwerend$fn54!? – Vielmehr, das Novum besteht darin,"
Nedarim 4b:1,"daß er sich seiner Pflicht entledigt, auch wenn er sich bei einem der drei [Opfer]$fn55das Haar$fn46schert. Man könnte glauben, hierbei gelte nicht das Verbot des Versäumens, so lehrt er uns. Wenn du aber willst, sage ich, das Novum bestehe darin, daß [das Opfer] von einem Gelübde nicht erfaßt$fn50wird. Wenn du aber vom Sündopfer wegen Talg[genusses]$fn56einwendest, so [ist zu erwidern:] das Sündopfer wegen Talg[genusses] wird als Sühne$fn57dargebracht, wozu aber wird das Sündopfer des Nazirs dargebracht$fn58!? – Das Sündopfer der Wöchnerin wird ja nicht zur Sühne dargebracht, dennoch besteht bei diesem das Verbot des Versäumens!? – Dieses berechtigt sie, Heiliges zu essen."
Nedarim 4b:2,"Der Meister sagte: Und wie ferner beim Gelübde der Vater das Gelübde seiner Tochter und der Ehemann das Gelübde seiner Frau aufheben kann, ebenso kann beim Nazirat der Vater das Nazirat seiner Tochter und der Ehemann das Nazirat seiner Frau aufheben. Wozu ist die Vergleichung nötig, dies ist ja durch Ausdehnung des Gesetzes vom Gelübde$fn59zu folgern!? – Vielleicht kann er nur das Gelübde aufheben, wofür keine Dauer festgesetzt ist, nicht aber das Nazirat, wofür eine Dauer festgesetzt ist, denn es wird gelehrt, das unbefristete Nazirat währe dreißig Tage; daher lehrt er uns$fn60."
Nedarim 4b:3,"S<small>PRICHT JEMAND ZU SEINEM</small> N<small>ÄCHSTEN</small>: <small>ICH SEI DIR ABGELOBT</small> &amp;<small>C</small>. Šemuél sagte: In all [diesen Fällen] nur dann, wenn er sagt: das$fn61ich deines esse, das ich deines koste. Man wandte ein: [Sagte er:] ich sei dir abgelobt, ich sei dir abgesondert, ich sei dir entfernt, so ist es$fn62ihm verboten; [sagte er:] das ich deines esse, das ich deines koste, so ist es ihm verboten!? – Er meint es wie folgt: dies nur dann, wenn er [auch] sagt: das ich deines esse, das ich deines koste. – Es wird ja aber [auch] umgekehrt$fn63gelehrt: [sagte er:] das ich deines esse, das ich deines koste, so ist es ihm verboten; [sagte er:] ich sei dir abgelobt, ich sei dir abgesondert, ich sei dir entfernt, so ist es ihm verboten!? – Lies wie folgt: falls er vorher gesagt hat: ich sei dir abgelobt. – Demnach ist dies ja mit dem vorangehenden identisch!? Und wozu heißt es$fn64zweimal ‘verboten’!? Vielmehr, sagte Šemuél, nur dann ist es ihm verboten, jenem aber erlaubt, falls er gesagt hat: das ich deines esse, das ich deines koste, wenn er aber nur gesagt hat: ich sei dir abgelobt,"
Nedarim 5a:1,"so ist es beiden verboten. So sagte auch R. Jose b. R. Ḥanina: [Sagte jemand:] ich sei dir abgelobt, so ist es beiden verboten. – Wir haben gelernt: [Sagte er:] ich sei dir Banngut$fn65, so ist es dem vom Gelübde betroffenen verboten; dem Gelobenden aber nicht$fn66!? – Wenn er ausdrücklich sagte: nicht aber du mir. – [Sagte er:] Sei du mir Banngut, so ist es dem Gelobenden verboten; dem vom Gelübde betroffenen aber nicht!? – Wenn er ausdrücklich sagte: nicht aber ich dir. – Demnach ist es, wenn er nichts ergänzt hat, beiden verboten, und im Schlußsatze lehrt er, daß, [wenn er] ‘ich dir und du mir’ gesagt hat, es beiden verboten sei, wonach es nur dann beiden verboten ist, wenn er aber nicht ergänzt, dem einen verboten und dem anderen erlaubt!? – Vielmehr, die Lehre des R. Jose b. R. Ḥanina lautet wie folgt: [Sagte er:] ich sei dir mit einem Gelübde$fn67behaftet, so ist es beiden verboten, wenn aber: ich sei dir abgelobt, so ist es ihm verboten, jenem aber erlaubt. – In unserer Mišna heißt es ja ‘dir abgelobt’, und wir erklärten sie nach Šemuél, in [all diesen Fällen] sei es nur dann ihm verboten und jenem erlaubt, wenn er gesagt hat: das ich deines koste, das ich deines esse, wenn aber nur: ich sei dir abgelobt, sei es beiden verboten!? – Vielmehr, die Lehre Šemuéls lautet (ursprünglich) wie folgt: nur wenn er sagt: das ich deines esse, das ich deines koste, ist ihm das Essen allein verboten, wenn aber: ich sei dir abgelobt, so ist ihm jeder Genuß verboten. – Demnach sollte es Šemuél wie folgt gelehrt haben: sagt er nur: das ich deines esse, das ich deines koste, so ist ihm das Essen allein verboten!? – Vielmehr, die Lehre lautet wie folgt: nur wenn er sagt: das ich deines esse, das ich deines koste, ist ihm dies verboten, wenn er aber sagt: ich sei dir abgelobt, so ist nicht erwiesen, daß er sich davon enthalten will, denn ‘ich sei dir abgelobt’ heißt: ich will mit dir nicht sprechen, ‘ich sei dir abgesondert’ heißt: ich will mit dir keine Geschäfte haben, ‘ich sei dir entfernt’ heißt: ich will in deinen"
Nedarim 5b:1,"vier Ellen nicht stehen. – Demnach wäre Šemuél der Ansicht, Ansätze, die nichts$fn68beweisen, gelten nicht als Ansätze? – Freilich, Šemuél erklärt unsere Mišna nach R. Jehuda, welcher sagt, Ansätze, die nichts beweisen, gelten nicht als Ansätze. Wir haben nämlich gelernt: Der Text des Scheidebriefes lautet: du bist nun jedem Menschen erlaubt. R. Jehuda sagt, [man schreibe auch:] dies diene dir von mir als Scheidungsschrift und Entlassungsbrief$fn69. – Was veranlaßte Šemuél unsere Mišna nach R. Jehuda zu erklären, sollte er sie doch nach den Rabbanan$fn70erklären, auch wenn es$fn71aus dem Ansatz nicht erwiesen ist!? Raba erwiderte: Ihm war unsere Mišna schwierig; weshalb heißt es: das ich deines esse, das ich deines koste, sollte es doch heißen: das ich esse, das ich koste!? Hieraus ist somit zu entnehmen, daß die Ansätze beweisend sein müssen."
Nedarim 5b:2,"Es wurde gelehrt: Ansätze, die nichts beweisen, gelten, wie Abajje sagt, als Ansätze, und wie Raba sagt, nicht als Ansätze. Raba sagte: R. Idi erklärte es mir; die Schrift sagt:$fn28<i>ein Nazirgelübde, dem Herrn gesondert zu sein</i>, womit sie die Ansätze des Nazirgelübdes$fn72mit dem Nazirgelübde vergleicht: wie das Nazirgelübde deutlich ausgesprochen$fn73 sein muß, ebenso muß der Ansatz des Nazirgelübdes deutlich ausgesprochen sein. Es wäre anzunehmen, daß sie denselben Streit wie R. Jehuda und die Rabbanan führen, denn wir haben gelernt: Der Text des Scheidebriefes lautet: du bist nun jedem Menschen erlaubt. R. Jehuda sagt, [man schreibe auch:] dies diene dir von mir als Scheidungsschrift, Befreiungsurkunde und Entlassungsbrief. Abajje ist der Ansicht der Rabbanan und Raba der Ansicht R. Jehudas. – Abajje kann dir erwidern: meine Ansicht gilt auch nach R. Jehuda, denn R. Jehuda benötigt deutlicher Ansätze nur beim Scheidebriefe, wobei eine vollständige Trennung erforderlich ist, die sonst fehlt, aber sagt er dies etwa auch anderweitig? Und Raba kann erwidern: meine Ansicht gilt auch nach den Rabbanan, denn nur beim Scheidebriefe benötigen die"
Nedarim 6a:1,"Rabbanan keiner deutlichen Ansätze, weil niemand sich von der Frau eines anderen scheiden$fn74läßt, aber sagen sie dies etwa auch anderweitig!? Man wandte ein: [Sagt jemand:] es$fn75sei für mich, dieses sei für mich, so ist es ihm verboten, weil dies der Ansatz eines Opfergelübdes$fn76 ist. Es ist ihm nur dann verboten, wenn er ‘für mich’ sagt, nicht aber, wenn er nicht ‘für mich’ sagt. Dies ist eine Widerlegung Abajjes!? – Abajje kann dir erwidern: wenn er ‘für mich’ sagt, ist es ihm verboten, wenn er aber nur ‘es sei’ und nicht ‘für mich’ sagt, so kann dies heißen: es sei Freigut, es sei Armengut. – Es heißt ja aber: weil dies der Ansatz eines Opfergelübdes ist!? – Sage vielmehr wie folgt: wenn er ‘für mich’ sagt, ist es ihm verboten und für seinen Nächsten erlaubt, wenn er aber nur ‘es sei’ sagt, ist es beiden verboten, weil dies heißen kann: es sei Geheiligtes. Man wandte ein: [Sagt jemand:] dies sei ein Sündopfer, dies sei ein Schuldopfer, so hat er, selbst wenn er ein Sünd- oder Schuldopfer schuldig ist, nichts gesagt; [sagt er:] dies sei mein Sündopfer, dies sei mein Schuldopfer, so sind, wenn er ein solches schuldig ist, seine Worte gültig. Dies ist eine Widerlegung Abajjes!? – Abajje kann dir erwidern: hier ist die Ansicht R. Jehudas vertreten. – Abajje sagte ja aber, seine Ansicht gelte auch nach R. Jehuda!? – Er ist davon abgekommen. – Demnach wäre Raba der Ansicht R. Jehudas$fn77? – Raba kann dir erwidern: meine Ansicht gilt auch nach den Rabbanan, denn nur beim Scheidebriefe benötigen die Rabbanan keiner deutlichen Ansätze, weil niemand sich von der Frau eines anderen scheiden läßt, anderweitig aber müssen die Ansätze beweisend sein."
Nedarim 6a:2,R. Papa fragte: Gilt der Ansatz bei der Antrauungsformel$fn78oder nicht.
Nedarim 6b:1,"– In welchem Falle: wollte man sagen, wenn jemand zu einer Frau sagt: sei mir angetraut, und zu einer anderen sagt: und du auch, so ist es ja selbstverständlich, denn dies ist die eigentliche Antrauungsformel$fn79!? – Vielmehr, wenn jemand zu einer Frau sagt: sei mir angetraut, und zu einer anderen sagt: und du. Sagen wir, er meinte zur anderen: und auch du, somit bezieht sich die Antrauung auch auf die andere, oder aber meinte er bei der anderen: und du siehst es, und die Antrauung bezieht sich nicht auf die andere? – Wieso ist dies R. Papa fraglich, R. Papa sprach ja zu Abajje: ist Šemuél denn der Ansicht, Ansätze$fn80, die nichts beweisen, gelten als Ansätze!? Demnach ist R. Papa der Ansicht, bei der Antrauungsformel gelte der Ansatz$fn81. – Er richtete an Abajje eine von [zwei Fragen] über die Ansicht Šemuéls$fn82."
Nedarim 6b:2,"R. Papa fragte: Gilt der Ansatz beim Eckenlasse$fn83oder nicht. – In welchem Falle: wollte man sagen, wenn jemand sagt: dieses Beet sei Eckenlaß, und$fn84dieses auch, so ist es ja richtig Eckenlaß!? – Er fragt hinsichtlich des Falles, wenn jemand sagt: und dieses, nicht aber: auch. Wie ist es nun? – Demnach ist, wenn jemand ein ganzes Feld als Eckenlaß bestimmt, dieses Eckenlaß!? – Freilich, denn es wird gelehrt: Woher, daß man, wenn man es will, sein ganzes Feld als Eckenlaß bestimmen kann? Es heißt:$fn85<i>dein Eckfeld</i>$fn86. Sagen wir, da der Eckenlaß mit den Opfern verglichen wird, so ist, wie bei diesen der Ansatz gültig$fn89ist, auch beim Eckenlaß der Ansatz gültig, oder werden sie nur hinsichtlich des Verbotes des Versäumens miteinander verglichen? –"
Nedarim 7a:1,"Wo werden sie miteinander verglichen? – Es wird gelehrt:$fn90<i>Von dir</i>, das sind Nachlese, Vergessenes$fn91und Eckenlaß$fn92."
Nedarim 7a:2,"Gilt der Ansatz beim Almosen oder nicht$fn93. – In welchem Falle: wollte man sagen, wenn jemand sagt: dieser Zuz sei Almosen und dieser auch, so ist er ja bestimmt Almosen!? – Vielmehr, wenn er sagt: und dieser, nicht aber: auch. Wie ist es nun; meinte er: auch dieser sei Almosen, oder meinte er: und dieser zu anderweitiger Verwendung, nur hat er den Satz nicht beendet? Sagen wir, da es mit den Opfern verglichen wird, denn es heißt:$fn94<i>mit deinem Munde</i>, das ist das Almosen, so ist, wie bei den Opfern der Ansatz gültig ist, auch beim Almosen der Ansatz gültig, oder werden sie nur hinsichtlich des Verbotes des Versäumens miteinander verglichen?"
Nedarim 7a:3,"Gilt der Ansatz beim Freigut$fn95oder nicht? – Das ist ja dasselbe, wie Almosen$fn95!? – Es ist eine Unterfrage: wenn du entscheidest, beim Almosen gelte der Ansatz, da es keine Vergleichung zur Hälfte$fn96gibt, [so ist es fraglich hinsichtlich des] Freigutes; sagen wir, es sei dasselbe, was Almosen$fn97, oder ist es beim Almosen anders, da dieses nur für Arme bestimmt ist, das Freigut aber für Arme und für Reiche?"
Nedarim 7a:4,"Rabina fragte: Gilt der Ansatz bei einem Aborte$fn98oder nicht. – In welchem Falle: wollte man sagen, wenn jemand sagt: dieses Haus sei ein Abort, und auch dieses, so ist es ja das andere ebenfalls!? – Vielmehr, wenn jemand sagt: und dieses, nicht aber: auch. Wie ist es nun; meinte er: auch dieses ein Abort, oder aber meinte er: und dieses zu anderweitiger Benutzung? – Demnach ist es Rabina entschieden, bei einem Aborte gelte die$fn99Bestimmung; aber Rabina fragte ja, wie es denn sei, wenn man [einen Raum] als Abort oder als Badehaus bestimmt hat, ob die Bestimmung wirksam oder nicht wirksam sei? – Rabina fragte eines und als Unterfrage ein anderes: ist die Bestimmung wirksam oder ist die Bestimmung nicht wirksam, und gilt, wenn du entscheidest, die Bestimmung sei wirksam, hierbei der Ansatz oder nicht. – Dies bleibt unentschieden."
Nedarim 7a:5,"I<small>CH WILL FÜR DICH AUSGESTOSSEN SEIN</small> &amp;<small>C</small>. Abajje sagte: R. A͑qiba pflichtet hinsichtlich der Geißelung bei, daß er$fn100dieserhalb nicht zu geißeln sei, denn sonst sollte er gelehrt haben: R. A͑qiba entscheidet erschwerend."
Nedarim 7a:6,"R. Papa sagte: [Sagte jemand:] ich sei$fn101für dich ausgestoßen, so ist es ihm nach aller Ansicht verboten, [sagte er:] ich will dir ausgeschlossen$fn102sein, so ist es ihm nach aller Ansicht erlaubt, sie streiten nur über [die Formel]: ich will für dich ausgestoßen sein: R. A͑qiba ist der Ansicht,"
Nedarim 7b:1,"dies sei ein Ausdruck des Bannes, und die Rabbanan sind der Ansicht, dies sei ein Ausdruck der Ausschließung$fn102. Er streitet gegen R. Ḥisda. Einst sagte nämlich jemand: ich will ausgeschlossen sein inbetreff der Güter des Sohnes des R. Jirmeja b. Abba, und als er hierauf vor R. Ḥisda kam, sprach dieser: Niemand beachtet, was R. A͑qiba [hierzu gesagt hat]. Er ist somit der Ansicht, sie streiten über [die Formel]: ich will ausgeschlossen sein."
Nedarim 7b:2,"R. Ila sagte im Namen Rabhs: Hat er ihn in seiner Gegenwart in den Bann getan, so kann er ihn nur in seiner Gegenwart befreien, hat er ihn in seiner Abwesenheit in den Bann getan, so kann er ihn sowohl in seiner Gegenwart als auch in seiner Abwesenheit befreien."
Nedarim 7b:3,"R. Ḥanin sagte im Namen Rabhs: Wer von einem die Nennung des Gottesnamens hört, muß ihn in den Bann tun; tut er ihn nicht in den Bann, so ist er selber im Banne. Wo nämlich die Nennung des Gottesnamens häufig ist, ist die Armut häufig, und die Armut gleicht dem Tode, denn es heißt:$fn103<i>denn tot</i>$fn104<i>sind die Leute</i>. Ferner wird gelehrt: Alles, worauf die Weisen ihre Augen$fn105richten, [verfällt] dem Tode oder der Armut."
Nedarim 7b:4,"R. Abba erzählte: Einst stand ich vor R. Hona, und er hörte eine Frau die Nennung des Gottesnamens unnötig hervorbringen; da tat er sie in den Bann und befreite sie sofort in ihrer Gegenwart. Hieraus ist dreierlei zu entnehmen; es ist zu entnehmen, daß, wenn jemand die Nennung des Gottesnamens aus dem Munde seines Nächsten hört, er ihn in den Bann tun müsse; es ist zu entnehmen, daß, wenn er ihn in seiner Gegenwart in den Bann getan hat, er ihn nur in seiner Gegenwart befreien könne; und es ist zu entnehmen, daß zwischen dem [Aussprechen des] Bannes und der Aufhebung keine [Zwischenzeit zu verstreichen] braucht."
Nedarim 7b:5,"R. Gidel sagte im Namen Rabhs: Ein Schriftgelehrter kann über sich selber den Bann aussprechen und ihn selber auflösen. – Selbstverständlich!? – Man könnte glauben, kein Gefangener befreit sich selber aus dem Gefängnisse, so lehrt er uns. – In welchem Falle? – Wie es Mar Zuṭra der Fromme tat; wenn ein Jünger den Bann verdiente, tat er sich zuerst selber in den Bann, sodann tat er den Jünger in den Bann, und als er nach Hause ging, befreite er sich selber, sodann befreite er jenen."
Nedarim 7b:6,"R. Gidel sagte [ferner] im Namen Rabhs: Woher, daß man schwören"
