Index Title,Zevachim
Zevachim 3a:3,"Ferner wies er auf folgenden Widerspruch hin : Kann denn R. Jehuda im Namen Rabhs gesagt haben, ein Sündopfer, das man auf den Namen eines Brandopfers geschlachtet hat, sei untauglich, und das man als Profanes geschlachtet hat, sei tauglich, wonach nur das untauglich macht, was zur selben Klasse gehört, nicht aber das, was nicht zur selben Klasse gehört, es wird ja gelehrt:$fn39<i>In seinem Innern</i>$fn40, nicht aber im Innern seines Innern$fn41, und sogar ein Abspülgefäß$fn42schützt$fn43!? Er erklärte es auch: sie stellten das Profane bei Opfern der Scheidewand bei einem Ofen$fn44gleich; wie die Scheidewand bei einem Ofen keine Wirkung hat, ebenso hat auch [die Nennung] des Profanen bei Opfern keine Wirkung$fn45. Es wird nämlich gelehrt : Wenn ein Ofen durch Bretter oder durch Gehänge geteilt ist und ein Kriechtier an einer Stelle gefunden wird, so ist alles unrein$fn46. Wenn ein durchbrochener, mit Stroh verstopfter Bienenkorb, in dem ein Kriechtier sich befindet, über dem Luftraum eines Ofens hängt, so ist der Ofen unrein; befindet sich das Kriechtier im Ofen, so sind die in jenem sich befindlichen Speisen und Getränke unrein, nach R. Elie͑zer aber rein. R. Elie͑zer sprach: Es ist [ein Schluß] vom Schwereren auf das Leichtere zu folgern : wenn dies$fn47bei der schwereren [Unreinheit] einer Leiche$fn48Schutz$fn49gewährt, wieso sollte es nicht bei der leichteren eines Tongefäßes Schutz gewähren!? Jene erwiderten ihm: Nein, sollte denn, wenn dies als Schutz"
Zevachim 3b:1,"bei der schwereren [Unreinheit] einer Leiche gilt, wobei die Teilung von Zelten$fn50üblich ist, dies auch bei der leichteren eines Tongefäßes gelten, wobei die Teilung von Zelten nicht üblich ist$fn51!? – Richtig ist es$fn52allerdings nach den Rabbanan, wie ist es aber nach R. Elie͑zer zu erklären!? – R. Elie͑zer folgert dies [durch einen Schluß] vom Schwereren auf das Leichtere$fn53. – Demnach sollte man es auch dort [durch einen Schluß] vom Leichteren auf das Schwerere folgern : wenn Heiliges durch Heiliges entweiht$fn54wird, um wieviel mehr durch Profanes!? – Vielmehr, der Grund Rabhs ist nach R. Elea͑ zu erklären, denn R. Elea͑ sagte : Folgendes ist der Grund Rabhs :$fn55<i>Sie sollen die heiligen Gaben der Kinder Jisraéls nicht entweihen, was sie für den Herrn abheben;</i> Heiliges kann Heiliges entweihen, Profanes aber kann Heiliges nicht entweihen. – Demnach hebt der Schriftvers [den Schluß] vom Leichteren auf das Schwerere auf, somit sollte auch hierbei [das Wort] <i>Innern</i>$fn56[den Schluß] vom Schwereren auf das Leichtere aufheben!? – [Das Wort] <i>Innern</i> ist wegen des Falles nötig, wenn man Speisen mit Lehm überklebt und sie in den Luftraum des Ofens gebracht hat, denn man könnte glauben, da sie durch Berührung nicht unrein werden$fn57, werden sie auch durch den Luftraum nicht unrein$fn58. – Und die Rabbanan$fn59!? – Dieserhalb ist kein Schriftvers nötig$fn60."
Zevachim 3b:2,"R. Joseph b. Ami wies auf einen zwischen der Verwechselung des Opfers und der Verwechselung des Eigentümers bestehenden Widerspruch hin und erklärte es auch. Kann Rabh denn gesagt haben, ein Sündopfer, das man auf den Namen eines Sündopfers$fn61geschlachtet hat, sei tauglich, und wenn auf den Namen eines Brandopfers, sei es untauglich, wonach es durch eine andere Art untauglich und durch dieselbe Art nicht untauglich wird, Rabh sagte ja, wenn man ein Sündopfer auf den Namen eines [anderen], der ein Sündopfer darzubringen hat, geschlachtet hat, sei es untauglich, und wenn auf einen, der ein Brandopfer darzubringen hat, sei es tauglich, wonach es durch dieselbe Art untauglich und durch eine andere Art nicht untauglich wird!? Er erklärte es auch: von jenem Fall sagt der Allbarmherzige :$fn62<i>er soll es als Sündopfer schlachten,</i> und das Sündopfer ist ja auf den Namen eines Sündopfers$fn63geschlachtet worden, von diesem aber heißt es:$fn64<i>er soll ihm Sühne schaffen,</i> ihm, nicht aber seinem Nächsten, wenn der Nächste ihm gleicht, wenn er derselben Sühne wie er bedarf$fn65."
Zevachim 3b:3,"R. Ḥabiba wies auf einen zwischen der Verwechselung des Eigentümers und [dem Gesetz] vom Innern des Innern$fn66besteilenden Widerspruch hin und erklärte es auch. Kann Rabh denn gesagt haben, ein Sündopfer, das man auf den Namen eines [anderen, der ein Sündopfer darzubringen hat, geschlachtet hat, sei untauglich, und wenn auf einen,] der ein Brandopfer darzubringen hat, sei es untauglich, wonach es nur durch dieselbe Art untauglich wird, durch eine andere Art aber nicht untauglich wird, dem widersprechend wird ja gelehrt: <i>In seinem Innern,</i> nicht aber im Innern seines Innern, und sogar ein Abspülgefäß schütze$fn67!? Er erklärte es auch: [das Wort] <i>Innern</i> wird viermal genannt: <i>Innern, seinem</i>$fn68<i>Innern,Innern, seinem Innern ;</i> einmal ist es an sich nötig, einmal wegen der Wortanalogie$fn69, einmal, daß dies nur von seinem$fn70Innern gilt, nicht aber vom Innern eines anderen$fn71, und einmal, daß dies nur von seinem Innern gilt, nicht aber vom Innern seines Innern$fn72, und daß sogar ein Abspülgefäß schütze."
Zevachim 3b:4,"Woher, daß das Schlachten auf den Namen$fn73erfolgen müsse? – Die"
Zevachim 4a:1,"Schrift sagt:$fn74<i>wenn seine Schlachtung ein Heilsopfer ist,</i> das Schlachten muß auf den richtigen Namen erfolgen. – Vielleicht ist dies nur der Name$fn75!? – Es heißt:$fn76<i>der das Blut des Heilsopfers darbringt,</i> und:$fn77<i>der das Blut des Heilsopfers sprengt,</i> und es heißt nicht Schlachtung, hierbei aber heißt es Schlachtung, somit ist hieraus zu entnehmen, daß das Schlachten auf den Namen des Heilsopfers erfolgen muß. – Wir wissen dies vom Schlachten, woher dies von den übrigen Verrichtungen$fn78? Wollte man sagen, man entnehme es vom Schlachten, so gilt dies vielleicht nur vom Schlachten, weil auch das Pesaḥopfer untauglich ist, wenn dies auf den Namen solcher, die davon nicht essen$fn79, erfolgt$fn80!? – Vielmehr, die Schrift sagt: <i>der das Blut des Heilsopfers darbringt</i>, die [Blut]aufnahme$fn81muß auf den Namen des Heilsopfers erfolgen. – Sollte es doch der Allbarmherzige nur von der [Blut]aufnahme geschrieben haben, und man würde es hiervon auch hinsichtlich des Schlachtens gefolgert haben!? – Man könnte entgegnen: wohl gilt dies von der [Blut]aufnahme, weil es durch einen Gemeinen oder durch ein Weib ungültig ist$fn82. – Wir wissen dies also vom Schlachten und von der [Blut]aufnahme, woher dies vom Sprengen$fn83? Wollte man sagen, man entnehme es von jenen, so gilt dies vielleicht nur von jenen, weil sie in der Nordseite$fn84erfolgen müssen und bei den inneren Sündopfern$fn85stattfinden!? – Vielmehr, die Schrift sagt: <i>der das Blut des Heilsopfers sprengt,</i> das Sprengen muß auf den Namen des Heilsopfers erfolgen. – Sollte es der Allbarmherzige nur vom Sprengen geschrieben haben, und man würde es hiervon auch hinsichtlich jener gefolgert haben!? – Man könnte entgegnen: wohl gilt dies vom Sprengen, weil dieserhalb ein Gemeiner sich des Todes schuldig macht$fn86. – Wir wissen dies von diesen allen, woher dies vom Hinbringen$fn87? Wollte man sagen, man entnehme es von diesen, so gilt dies vielleicht nur von diesen, weil es Verrichtungen sind, die nicht umgangen werden können, während das Hinbringen umgangen werden kann$fn88!? – Vielmehr, die Schrift sagt:$fn89<i>der Priester soll alles auf den Altar bringen und auf räuchern,</i> und der Meister sagte, darunter sei das Hinbringen der Opferstücke zur Altarrampe zu verstehen. Ferner wird gelehrt :$fn90<i>Sie sollen darbringen,</i> das ist die Blutaufnahme, und der Allbarmherzige gebraucht hierbei deshalb den Ausdruck bringen, um zu sagen, daß das Hinbringen nicht von der [Blut]aufnahme auszuschließen sei. – Wir wissen dies von der Verwechselung des Opfers, woher dies von der Verwechselung des Eigentümers$fn91!? R. Pinḥas, Sohn des R. Ami, erwiderte: Die Schrift sagt:$fn92<i>und das Fleisch der Schlachtung des Heils-Dankopfers,</i> das Schlachten muß auf den Namen des Dankopfers erfolgen, und da dies auf die Verwechselung des Opfers nicht zu beziehen ist, denn dies wird bereits aus jenem$fn93gefolgert, so beziehe man es auf die Verwechselung des Eigentümers. – Ist dies$fn94denn hierfür zu verwenden, dies ist ja für folgende Lehre nötig: <i>Und das Fleisch der Schlachtung des Heils-Dank-opfers ;</i> Abba-Ḥanin sagte im Namen R. Elie͑zers : Dies lehrt, daß, wenn man ein Dankopfer auf den Namen eines Heilsopfers geschlachtet hat, es tauglich, und wenn man ein Heilsopfer auf den Namen eines Dankopfers geschlachtet hat, es untauglich$fn95sei. Welchen Unterschied gibt es zwischen beiden? Das Dankopfer heißt auch Heilsopfer, das Heilsopfer aber heißt nicht Dankopfer!? – Wir entnehmen dies aus [dem Wort] <i>Schlachtung</i>$fn96. – Aber auch dieses ist ja für folgende Lehre nötig: Woher dies$fn97vom Sünd- und vom Schuldopfer? – es heißt: <i>Schlachtung</i>$fn98!? – Der Schriftvers könnte ja gelautet haben: das Fleisch des Heils-Dankopfers$fn99, wenn es aber der Schlachtung$fn100heißt, so ist beides zu entnehmen. – Wir wissen dies also$fn101hinsichtlich des Schlachtens, woher dies hinsichtlich der übrigen Verrichtungen? Wollte man sagen, man entnehme diese vom Schlachten, so gilt dies vielleicht nur vom Schlachten, weil auch das Pesaḥopfer untauglich ist, wenn dies auf den Namen solcher erfolgt, die davon nicht essen!? – Bei der Verwechselung des Opfers heißt es <i>Schlachtung</i> und bei der Verwechselung des Eigentümers heißt es <i>Schlachtung,</i> wie nun bei der Verwechselung des Opfers zwischen dem Schlachten und den übrigen Verrichtungen nicht unterschieden wird, ebenso ist auch bei der Verwechselung des Eigentümers zwischen dem Schlachten und den übrigen Verrichtungen nicht zu unterscheiden. – Dies ist ja zu widerlegen : wohl gilt dies von der Verwechselung des Opfers, denn die Untati glichkeit haftet an diesem$fn102selbst, ferner erstreckt es sich auf alle vier$fn103Verrichtungen, ferner bleibt es auch nach dem Tod$fn104[des Eigentümers] bestehen, und ferner gilt dies bei einer Gemeinde wie bei einem"
Zevachim 4b:1,"einzelnen$fn105!? Und obgleich zwei [der Widerlegungen] nicht stichhaltig sind, so sind zwei wohl stichhaltig. Bei der Verwechselung des Eigentümers haftet die Untauglichkeit wohl deshalb nicht am Opfer, weil sie nur durch das Denken$fn106erfolgt, ebenso erfolgt auch die Verwechselung des Opfers nur durch das Denken; in diesem Fall wird es also durch das Denken untauglich, und ebenso wird es in jenem Fall durch das Denken untauglich. Ferner sagte R. Pinḥas, Sohn des R. Marí, daß die Verwechselung auch nach dem Tod des Eigentümers erfolge$fn107. Zwei der Widerlegungen sind also stichhaltig. Vielmehr, erklärte R. Aši, die Schrift sagt: $fn108<i>es wird ihn wohlgefällig machen, ihm Sühne zu schaffen;</i> ihm, nicht aber seinem Nächsten. – Deutet dies denn darauf, dies ist ja für folgende Lehre nötig: <i>Es wird ihn wohlgefällig machen, ihm Sühne zu schaffen.</i> R. Šimo͑n sagte, für das, was ihm obliegt, sei er haftbar, und für das, was ihm nicht obliegt, sei er nicht$fn109haftbar. R. Jiçḥaq b. Evdämi begründete es: Sobald er ‘auf$fn110mich’ gesagt hat, ist es ebenso, als würde er es auf seine Schulter genommen$fn111haben. – R. Aši entnimmt es aus: <i>es wird ihn</i>$fn112<i>wohlgefällig machen. –</i> Wir wissen dies also vom Schlachten und vom Sprengen, woher dies von der [Blut]aufnahme? Wollte man sagen, man entnehme es vom Schlachten und vom Sprengen, so gilt dies vielleicht nur vom Schlachten und vom Sprengen, weil es Verrichtungen sind, derentwegen man strafbar ist, wenn man sie außerhalb$fn113verrichtet!? Vielmehr, erklärte R. Aši, dies ist vom Widder des Nazirs zu entnehmen; es heißt :$fn114<i>den Widder richte er her als Schlachtung eines Heilsopfers,</i> die ganze Herrichtung muß auf den Namen des Heilsopfers erfolgen, und da dies nicht auf die Verwechselung des Opfers zu beziehen ist, denn dies wird bereits aus jenem$fn93gefolgert, so beziehe man es auf die Verwechselung des Eigentümers."
Zevachim 4b:2,"R. Aḥa b. Abba sprach zu Raba: Vielleicht [erkläre man]: <i>richte er her,</i> generell, <i>Schlachtung,</i> speziell, und wenn auf eine Gener alisier ung eine Spezialisierung folgt, so umfaßt die Generalisierung nur das, was die Spezialisierung nennt: nur das Schlachten, anderes aber nicht$fn117!? – Hieße es: richte er her als Heilsopfer, Schlachtung, so wäre dem auch so$fn118, da es aber heißt: richte er her als Schlachtung eines Heilsopfers, so ist dies eine unvollständige$fn119Generalisierung, und bei einer unvollständigen Generalisierung ist die Regel von der Generalisierung und Spezialisierung nicht anwendbar. Rabina erklärte : Tatsächlich ist sie wohl anwendbar, nur gelten [die Worte] <i>für den Herrn</i>$fn120wiederum als Generalisierung$fn121. R. Aḥa aus Diphte sprach zu Rabina: Die erste Generalisierung gleicht ja nicht der zweiten Generalisierung: die erste Generalisierung$fn122umfaßt nur die [vier] Verrichtungen$fn123und nichts weiter, während die zweite Generalisierung alles, was für Gott geschieht, umfaßt, auch das Fortschütten der Überreste$fn124und die Aufräucherung der Opferteile$fn125!? – In der Schule R. Jišma͑éls wenden sie [die Regel] von der Generalisierung und Spezialisierung wie folgt an: wenn auf eine Generalisierung eine Spezialisierung und dann wieder eine Generalisierung folgt, so richte man sich nur nach der Spezialisierung; wie das Speziellgenannte eine Dienstverrichtung$fn126ist und auf den Namen erfolgen muß, ebenso muß auch jede andere Dienstverrichtung auf den Namen erfolgen. – Vielleicht aber: wie das Speziell genannte eine Dienstverrichtung ist und man strafbar ist, wenn man sie außerhalb$fn113verrichtet, ebenso auch jede andere Dienstverrichtung, derentwegen man strafbar ist, wenn man sie außerhalb verrichtet, also nur das Schlachten und das Sprengen, nicht aber die [Blut]aufnahme und das Hinbringen!? Oder auch: wie das Speziellgenannte eine Verrichtung ist, die in der Nordseite erfolgen muß und auch bei den inneren Sünd-opfern$fn85vorkommt, ebenso auch jede andere, die in der Nordseite erfolgen muß und auch bei den inneren Sündopfern vorkommt, also nur das Schlachten und die [Blut]aufnahme, nicht aber das Sprengen und das Hinbringen!? – Man kann so auslegen und man kann so auslegen, somit ist beides zulässig$fn127. Eine andere Lesart: und jedes ist zulässig. Wenn du aber willst, sage ich: hinsichtlich des Sprengens ist dies aus der Lehre R. Ašis$fn128zu entnehmen."
Zevachim 4b:3,"Wir wissen dies vom Widder des Nazirs, woher dies von anderen Heilsopfern$fn129? Wolltest du sagen, man entnehme es vom Widder des Nazirs, so gilt dies vielleicht nur vom Widder des Nazirs, weil bei diesem noch anderes Blut hinzukommt$fn130!? – Demnach sollte es doch heißen: sein Heilsopfer, wenn es aber Heilsopfer$fn131heißt, so schließt dies alle Heilsopfer ein. – Wir wissen dies nun vom Heilsopfer, woher dies von anderen Opfern? Wolltest du sagen, man entnehme es vom Heilsopfer, so gilt dies vielleicht nur von diesem, weil bei diesem Stützen$fn132, Libation und Schwingen von Brust und Schenkel$fn133erforderlich sind$fn134. – Vielmehr, die Schrift sagt:$fn135<i>das ist das Gesetz für das Brandopfer, das Speisopfer, das Sündopfer, das Schuldopfer, das Einsetzungsopfer und die Schlachtung des Heilsopfers;</i> die Schrift hat sie alle mit dem Heilsopfer verglichen: wie das Heilsopfer sowohl inbetreff des Opfers als auch inbetreff des Eigentümers auf den Namen hergerichtet werden muß, ebenso müssen auch alle anderen sowohl inbetreff des Opfers als auch inbetreff des Eigentümers auf den Namen hergerichtet werden. – Vielleicht werden sie untauglich, wenn man sie auf einen anderen Namen geschlachtet$fn136hat !? – Die Schrift sagt:$fn137<i>den Ausspruch deiner Lippen sollst du halten und entsprechend handeln, wie du gelobt hast &amp;c.</i> Wieso eine freiwillige$fn138Gabe, es ist ja Gelobtes? Vielmehr, bist du so verfahren, wie du gelobt hast, so ist es Gelobtes, wenn aber nicht, so ist es eine freiwillige Gabe. Und sowohl [der Schriftvers] <i>den Ausspruch deiner Lippen</i>$fn139als auch [der Schriftvers] <i>das ist das Gesetz</i> ist nötig. Würde der Allbarmherzige nur"
Zevachim 5a:1,"geschrieben haben: <i>den Ausspruch,</i> so würde man nicht gewußt haben, worauf$fn140dies sich beziehe, daher schrieb der Allbarmherzige: <i>das ist das Gesetz;</i> und würde der Allbarmherzige nur geschrieben haben: <i>das ist das Gesetz,</i> so könnte man glauben, sie seien$fn141untauglich, daher schrieb der Allbarmherzige: <i>den Ausspruch deiner Lippen.</i>"
