Index Title,Makkot
Makkot 2b:5,"«Sie werden nicht als hebräische Sklaven verkauft.» R. Hamnuna wollte sagen, dies gelte nur von dem Falle, wenn [der Beschuldigte Vermögen] besitzt$fn26, denn da dieser nicht verkauft worden sein würde, so werden sie ebenfalls nicht verkauft, wenn er aber keines besitzt, so werden sie wohl verkauft, obgleich sie [Vermögen] besitzen. (Da sprach Raba zu ihm:) Sie können ja zu ihm sagen: wenn du welches hättest, würde man dich ja nicht verkaufen, ebenso können auch wir nicht verkauft werden. Vielmehr: R. Hamnuna wollte sagen, dies gelte nur von dem Falle, wenn entweder er oder sie [Vermögen] besitzen, wenn aber weder er noch sie [Vermögen] besitzen, so werden sie wohl verkauft. Da sprach Raba zu ihm: Der Allbarmherzige sagt ja:$fn27<i>so soll er für seinen Diebstahl verkauft werden</i>; für seinen Diebstahl, nicht aber für die Überführung als Falschzeuge."
Makkot 2b:6,"«Im Namen R. A͑qibas sagten sie &amp;c.» Was ist der Grund R. A͑qibas? – Er ist der Ansicht, dies$fn28sei eine Geldbuße, und im Falle eines Geständnisses wird keine Geldbuße gezahlt. Rabba sagte: Dies ist auch zu beweisen: sie zahlen, obgleich sie keine Tätigkeit ausgeübt haben. R. Naḥman sagte: Dies ist zu beweisen: sie zahlen, obgleich das Geld sich im"
Makkot 3a:1,"Besitze des Eigentümers befindet$fn29. – Das heißt also: obgleich sie keine Tätigkeit ausgeübt haben, somit ist dies ja identisch mit der Erklärung Rabbas!? – Lies: ebenso sagte auch R. Naḥman."
Makkot 3a:2,"R. Jehuda sagte im Namen Rabhs: Der überführte Falschzeuge muß für seinen Teil zahlen. – Was heißt: er muß für seinen Teil zahlen, wollte man sagen, der eine [Zeuge] zahle die eine Hälfte und der andere zahle die andere Hälfte, so haben wir ja bereits gelernt, man teile die Geldstrafe, nicht aber die Geißelung$fn30; wollte man sagen, daß, wenn nur einer von ihnen als Falschzeuge überführt worden ist, er seine Hälfte bezahle, so wird ja gelehrt, ein Falschzeuge müsse nur dann eine Geldstrafe zahlen, wenn beide als Falschzeugen überführt worden sind!? Raba erwiderte: Wenn er sagt, er habe ein falsches Zeugnis abgelegt. – Ist dies denn zulässig, sobald er einmal ausgesagt hat, kann er ja nicht mehr zurücktreten und anders aussagen!? – Vielmehr, wenn er sagt: Wir haben bei jenem Gerichte Zeugnis abgelegt und sind als Falschzeugen überführt worden. – Also nicht nach R. A͑qiba, denn R. A͑qiba sagt ja, [der Falschzeuge] zahle auf Grund seines eigenen Geständnisses keine Geldbuße$fn31!? – Vielmehr, wenn er sagt: Wir haben bei jenem Gerichte Zeugnis abgelegt und sind als Falschzeugen überführt und zu einer Geldstrafe verurteilt worden. Man könnte glauben, da er die Verurteilung seines Genossen nicht herbeiführen kann, könne auch er selbst nicht verurteilt werden, so lehrt er uns."
Makkot 3a:3,"<b>S</b><small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS JENER SIGH VON SEINER</small> F<small>RAU SCHEIDEN LIESS UND IHR IHRE</small> M<small>ORGENGABE NICHT AUSGEZAHLT HAT</small>, – <small>HEUTE ODER MORGEN MUSS ER IHR SIE JA AUSZAHLEN</small>$fn32, – <small>SO SCHÄTZE MAN, WIEVIEL JEMAND GEBEN WÜRDE FÜR IHRE</small> M<small>ORGENGABE</small>, [<small>DIE ER NUR DANN ERHÄLT</small>,] <small>WENN SIE VERWITWET ODER GESCHIEDEN WIRD, WÄHREND, WENN SIE STIRBT, IHR</small> E<small>HEMANN SIE BEERBT</small>. <sup> i,2</sup>"
Makkot 3a:4,"GEMARA. Wie schätzt man hierbei? R. Ḥisda sagte, [die Exspektation] des Ehemannes$fn33; R. Nathan b. Osa͑ja sagte, [den Anspruch] der Frau; R. Papa sagte, [den Anspruch] der Frau auf ihre Morgengabe$fn34."
Makkot 3a:5,"<b>S</b><small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS DIESER JENEM TAUSEND</small> Z<small>UZ SCHULDET, MIT DER</small> V<small>EREINBARUNG, SIE INNERHALB DREISSIG</small> T<small>AGEN ZU BEZAHLEN, WÄHREND</small> [<small>DER</small> B<small>EKLAGTE</small>] <small>SAGT: INNERHALB ZEHN</small> J<small>AHREN, SO SCHÄTZE MAN DIE</small> Z<small>INSDIFFERENZ ZWISCHEN EINEM</small> D<small>ARLEHEN VON TAUSEND</small> Z<small>UZ AUF DREISSIG</small> T<small>AGE UND EINEM SOLCHEN AUF ZEHN</small> J<small>AHRE</small>$fn35."
Makkot 3a:6,"GEMARA. R. Jehuda sagte im Namen Šemuéls: Wenn jemand seinem Nächsten [Geld] auf zehn Jahre borgt, so verfällt es im Siebentjahre$fn36, denn obgleich dann$fn37der Schriftvers:$fn38<i>er soll nicht mahnen</i>, nicht anwendbar$fn39ist,"
Makkot 3b:1,"so würde er ihn später mahnen. R. Kahana wandte ein: So schätze man die Zinsdifferenz zwischen einem Darlehen von tausend Zuz auf dreißig Tage und einem solchen auf zehn Jahre. Wenn man nun sagen wollte, [die Schuld] verfalle im Siebentjahre, so sollten sie ihm alles bezahlen!? Raba erwiderte: Hier handelt es sich um ein Darlehen auf ein Pfand, oder in dem Falle, wenn, er den Schuldschein bei Gericht deponiert hat. Wir haben nämlich gelernt: Wenn jemand [Geld] auf ein Pfand verliehen, oder den Schuldschein bei Gericht deponiert hat, so verfällt es nicht im Siebentjahre. Manche lesen: R. Jehuda sagte im Namen Šemuéls: Wenn jemand seinem Nächsten [Geld] auf zehn Jahre borgt, so verfällt es nicht im Siebentjahre, denn obgleich er ihn später mahnen wird, so ist dann$fn37der Schriftvers: <i>er soll nicht mahnen</i>, nicht anwendbar. R. Kahana sagte: Auch wir haben demgemäß gelernt: So schätze man die Zinsdifferenz zwischen einem Darlehen von tausend Zuz auf dreißig Tage und einem solchen auf zehn Jahre. Wenn man nun sagen wollte, [die Schuld] verfalle im Siebentjahre, so sollten sie ihm alles bezahlen. Raba entgegnete: Hier handelt es sich um ein Darlehen auf ein Pfand, oder in dem Falle, wenn er den Schuldschein bei Gericht deponiert hat. Wir haben nämlich gelernt: Wenn jemand [Geld] auf ein Pfand verliehen, oder den Schuldschein bei Gericht deponiert hat, so verfällt es nicht im Siebentjahre."
Makkot 3b:2,"Ferner sagte R. Jehuda im Namen Šemuéls: Wenn jemand mit seinem Nächsten vereinbart: mit der Bedingung, daß [die Schuld] im Siebentjahre nicht verfalle, so verfällt sie dennoch im Siebentjahre. Šemuél wäre also der Ansicht, dies sei eine Vereinbarung gegen eine Bestimmung der Tora, und jede Vereinbarung gegen eine Bestimmung der Tora ist ungültig. Es wird ja aber gelehrt: Wenn jemand$fn40zu seinem Nächsten sagt: mit der Bedingung, daß du an mich keine Übervorteilungsansprüche haben sollst, so hat er an ihn, wie Raba sagt, Übervorteilungsansprüche, und wie Šemuél sagt, keine Übervorteilungsansprüche!? – Hierzu wurde ja gelehrt, R. A͑nan sagte, ihm sei dies von Šemuél erklärt worden: [sagte er:] mit der Bedingung, daß du gegen mich keine Übervorteilungsansprüche hast, so hat er gegen ihn keine Übervorteilungsansprüche; wenn aber: mit der Bedingung, daß hierbei keine Übervorteilungsansprüche zu erheben sind, so gibt es ja hierbei eine Übervorteilung. Ebenso auch hierbei: mit der Bedingung, daß du mir [die Schuld] im Siebentjahre nicht verfallen machst, so verfällt sie nicht im Siebentjahre; wenn aber: mit der Bedingung, daß sie im Siebentjahr nicht verfalle, so verfällt sie im Siebentjahre wohl$fn41."
Makkot 3b:3,"Es wird gelehrt: Wenn jemand seinem Nächsten [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht mahnen. Rabba b. Bar Ḥana wollte vor Rabh sagen, dies gelte nur von einem Darlehen auf einen Schuldschein, da niemand sich die Mühe macht, einen Schuldschein auf weniger als dreißig Tage zu schreiben, nicht aber von einem mündlichen Darlehen. Da sprach Rabh zu ihm: So sagte mein Oheim: einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen. Ebenso wird auch gelehrt: Wenn jemand seinem Nächsten [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht malmen, einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen."
Makkot 3b:4,"Šemuél sprach zu R. Mathna: Du setzest dich nicht$fn42nieder, bevor du mir folgende Lehre erklärt hast. Woher ist die Lehre der Rabbanan zu entnehmen, daß nämlich, wenn jemand seinem Nächsten [Geld] ohne Vereinbarung borgt, er ihn nicht vor dreißig Tagen mahnen dürfe, einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen? Dieser erwiderte: Es heißt :$fn43<i>das Siebentjahr, das Jahr des Erlasses, ist herangenaht;</i> schon aus der Bezeichnung Siebentjahr weiß ich ja, daß es das Jahr des Erlasses ist, wozu heißt es noch das Jahr des Erlasses? Dies besagt, daß es eine diesem gleichende Erlassung gebe, und zwar: wenn jemand seinem Genossen [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht mahnen. Der Meister sagte nämlich: dreißig Tage im Jahre gelten als Jahr."
Makkot 3b:5,"R. Jehuda sagte im Namen Rabhs: Wenn jemand am Šabbath [an einem Hemde] die Halsöffnung lostrennt, so ist er ein Sündopfer schuldig. R. Kahana wandte gegen ihn ein: Welchen Unterschied gibt es denn zwischen diesem Falle und dem Entspunden$fn44eines Fasses!? Dieser erwiderte: In dem einem Falle ist es angeschlossen, in dem anderen Falle ist es nicht angeschlossen$fn45."
Makkot 3b:6,"Ferner sagte R. Jehuda im Namen Rabhs: Wenn in drei Log Wasser ein Qurṭub Wein gekommen ist, und es wie Wein aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses nicht untauglich. R. Kahana wandte gegen ihn ein: Wodurch unterscheidet sich dieses denn von farbigem Wasser, denn es wird gelehrt: R. Jose sagt, drei Log farbiges Wasser macht das Quellbad untauglich!? Raba erwiderte ihm: Dieses heißt farbiges Wasser, jenes heißt verdünnter Wein$fn46. – R. Ḥija lehrte ja aber, daß solches das Quellbad sinken$fn47mache!? Raba erwiderte: Das ist kein Einwand; eines nach R. Joḥanan b. Nuri und eines nach den Rabbanan. Es wird nämlich gelehrt: Wenn in drei Log Wasser weniger eines Qurṭub ein Qurṭub Wein gekommen ist und"
Makkot 4a:1,"es wie Wein aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses nicht untauglich; wenn in drei Log Wasser weniger eines Qurṭub ein Qurṭub Milch gekommen ist und es wie Wasser aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses ebenfalls nicht untauglich. R. Joḥanan b. Nuri sagt, man richte sich stets nach dem Aussehen$fn48. – Aber dies war ja R. Papa fraglich, denn R. Papa fragte: Liest Rabh im Anfangssatze ‘weniger eines Qurṭub’, während drei volle Log [das Quellbad] nach dem ersten Autor untauglich machen, und hierzu sagt R. Joḥanan, daß man sich stets nach dem Aussehen richte, somit wäre Rabh der Ansicht des R. Joḥanan b. Nuri, oder liest Rabh im Anfangssatze nicht ‘weniger eines Qurṭub’, demnach streitet R. Joḥanan nur gegen den Schlußsatz und Rabh ist der Ansicht beider!? – R. Papa war es fraglich, Raba war es entschieden."
Makkot 4a:2,"R. Joseph sagte: Ich habe diese Lehre nicht gehört. Abajje sprach zu ihm: Du selbst sagtest$fn49sie uns, und zwar sagtest du, Rabh lese im Anfangssatze nicht ‘weniger eines Qurṭub’, wonach R. Joḥanan nur gegen den Schlußsatz streitet und Rabh der Ansicht beider ist."
Makkot 4a:3,"Ferner sagte R. Jehuda im Namen Rabhs: Wenn ein Faß voll Wasser ins große Meer gefallen ist, so wird, wenn jemand da untergetaucht ist, ihm das Untertauchen nicht angerechnet, weil zu berücksichtigen ist, es könnten sich drei Log [geschöpftes Wasser] an einer Stelle befunden haben. Dies gilt jedoch nur vom großen Meere, das unbeweglich ist, nicht aber von irgend einem Strome. Ebenso wird auch gelehrt: Wenn ein Faß voll Wasser in das große Meer gefallen ist, so wird, wenn jemand da untergetaucht ist, ihm das Untertauchen nicht angerechnet, weil es nicht gut möglich ist, daß sich nicht drei Log$fn50an einer Stelle befunden haben. Ebenso ist, wenn da ein Laib aus Hebe hineingefallen ist, dieser unrein$fn51. – Was soll das ‘ebenso’!? – Man könnte glauben, man lasse sowohl die Person als auch den Laib bei seinem bisherigen Zustande, so lehrt er uns."
Makkot 4a:4,"<sup>ii</sup><b>W</b><small>ENN SIE GESAGT HABEN</small> :] W<small>IR BEKUNDEN, DASS JENER SEINEM</small> N<small>ÄCHSTEN ZWEIHUNDERT</small> Z<small>UZ SCHULDE, UND ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT WURDEN, SO WERDEN SIE GEGEISSELT UND MÜSSEN BEZAHLEN, DENN NICHT DIE</small> V<small>ORSCHRIFT, DIE SIE ZUR</small> G<small>EISSELUNG BRINGT, BRINGT SIE ZUR</small> Z<small>AHLUNG</small> – <small>SO</small> R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, WER ZAHLEN MUSS, IST NICHT ZU GEISSELN</small>. [W<small>ENN SIE GESAGT HABEN</small> :] W<small>IR BEKUNDEN, DASS JENER DER VIERZIG</small> S<small>TREICHE SCHULDIG IST, UND ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT WURDEN, SO ERHALTEN SIE ACHTZIG</small> S<small>TREICHE, WEGEN</small> :$fn52<i>du sollst nicht wider deinen Nächsten als falscher Zeuge aussagen</i>, <small>UND WEGEN</small> :$fn53<i><small>SO</small> sollt ihr an ihm das tun, was er gedacht hat</i> – so R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, SIE ERHALTEN NUR VIERZIG</small> S<small>TREICHE</small>. <sup>iii,1</sup>"
Makkot 4a:5,"GEMARA. Einleuchtend ist die Ansicht der Rabbanan, denn es heißt:"
Makkot 4b:1,"$fn54<i>entsprechend seinem Frevel</i>, du kannst ihn nur wegen eines Frevels verurteilen, nicht aber kannst du ihn wegen zweier Frevel verurteilen, was ist aber der Grund R. Meírs? U͑la erwiderte: Er folgert dies von der falschen Beschuldigung$fn55; wie man wegen der falschen Beschuldigung gegeißelt wird und [eine Geldbuße] zahlen muß, ebenso auch in allen anderen Fällen: Geißelung und Zahlung. – Wohl wegen der falschen Beschuldigung, weil da [die Zahlung] eine Buße istl? – Er ist der Ansicht R. A͑qibas, welcher sagt, auch [die Zahlung] der Falschzeugen sei eine Buße. Manche beziehen die Erklärung U͑las auf das folgende:$fn56<i>Ihr sollt davon nichts bis zum Morgen zurücklassen, und was bis zum Morgen zurückbleibt &amp;c.;</i> die Schrift läßt dem Verbote ein Gebot folgen, um zu sagen, daß dieserhalb nicht zu geißeln ist – so R. Jehuda. R. A͑qiba sagte: Nicht dies ist der Grund, sondern weil es ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und wegen eines solchen ist nicht zu geißeln. Demnach ist R. Jehuda der Ansicht, daß man wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, wohl zu geißeln ist; woher entnimmt er dies? U͑la erwiderte: Er folgert dies von der falschen Beschuldigung: wie die falsche Beschuldigung ein Verbot ist, wobei keine Tätigkeit ausgeübt wird, und er wird gegeißelt, ebenso ist zu geißeln auch wegen jedes anderen Verbotes, wobei keine Tätigkeit ausgeübt wird. – Wohl wegen der falschen Beschuldigung, weil darauf Geißelung und Zahlung [einer Geldbuße] gesetzt ist!? Vielmehr, erklärte Reš Laqiš, ist dies von den überführten Falschzeugen zu folgern; wie die überführten Falschzeugen wegen eines Verbotes, wobei keine Tätigkeit ausgeübt wird, zu geißeln sind, ebenso ist zu geißeln auch wegen jedes anderen Verbotes, wobei keine Tätigkeit ausgeübt wird. – Wohl die überführten Falschzeugen, weil bei diesen auch keine Warnung$fn57erforderlich ist!? – Die falsche Anschuldigung beweist [das Entgegengesetzte]. Die Replikation wiederholt sich: die Eigenheit des einen gleicht nicht der Eigenheit des anderen und die Eigenheit des anderen gleicht nicht der Eigenheit des einen; das Gemeinsame bei ihnen ist, daß beide Verbote sind, wobei keine Tätigkeit ausgeübt wird, und dieserhalb ist zu geißeln, ebenso ist zu geißeln auch wegen jedes anderen Verbotes, wobei keine Tätigkeit ausgeübt wird.– Aber das Gemeinsame bei ihnen ist ja auch, daß bei beiden eine Geldbuße zu zahlen ist!? – Das ist kein Einwand; R. Jehuda ist nicht der Ansicht R. A͑qibas$fn58. – Vielmehr, das Gemeinsame bei ihnen ist, daß sie eine erschwerende Seite haben, und nach R. Jehuda ist die erschwerende Seite kein Umstand des Einwandes$fn59. – Was folgern die Rabbanan aus [dem Verbote]: <i>du sollst nicht wider deinen Nächsten als falscher Zeuge aussagen</i>!? – Hieraus entnehmen sie die Verwarnung$fn60für die überführten Falschzeugen. – Woher entnimmt R. Meír die Verwarnung für die Falschzeugen!? R. Jirmeja erwiderte: Er entnimmt dies aus [den Worten] :$fn61<i>und die übrigen sollen es vernehmen und sich fürchten und nicht wieder verüben &amp;c</i>. – Und die Rabbanan!?"
Makkot 5a:1,– Dies ist für die öffentliche Bekanntmachung$fn62nötig. – Und R. Meír!? – Die öffentliche Bekanntmachung ist zu entnehmen aus [den Worten]: <i>sollen es vernehmen und sich fürchten</i>.
Makkot 5a:2,"<sup>iii,2</sup><b>M</b><small>AN TEILT DIE</small> G<small>ELDSTRAFE, NICHT ABER DIE</small> G<small>EISSELUNG, UND ZWAR: HABEN SIE GEGEN JEMAND BEKUNDET, ER SCHULDE SEINEM</small> N<small>ÄCHSTEN ZWEIHUNDERT</small> Z<small>UZ, UND WURDEN ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT, SO WIRD</small> [<small>DIESE</small> S<small>UMME</small>] <small>UNTER IHNEN GETEILT; WENN SIE ABER GEGEN EINEN BEKUNDET HABEN, ER HABE SICH DER VIERZIG</small> S<small>TREICHE SCHULDIG GEMACHT, UND ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT WURDEN, SO ERHÄLT JEDER DIE VIERZIG</small> S<small>TREICHE</small>."
Makkot 5a:3,"GEMARA. Woher dies? Abajje erwiderte: Es heißt <i>Schuldiger</i> bei der Geißelung$fn63und es heißt <i>Schuldiger</i> bei der Todesstrafe$fn63, wie es keine geteilte Todesstrafe gibt, ebenso gibt es keine geteilte Geißelung. Raba͑ erklärte: Es heißt: <i>was er gedacht hat, mit seinem Bruder zu tun</i>, was dann nicht der Fall wäre. – Dies gilt ja auch von der Geldstrafe!? – Ein Geldbetrag wird vereinigt$fn64, die Geißelung aber wird nicht vereinigt."
Makkot 5a:4,"<sup>iv</sup><b>D</b><small>IE</small> Z<small>EUGEN WERDEN NUR DANN ALS</small> F<small>ALSCHZEUGEN ERKLÄRT, WENN SIE DURCH IHRE EIGENE</small> P<small>ERSON ÜBERFÜHRT</small>$fn65<small>WERDEN; UND ZWAR: WENN SIE GESAGT HABEN</small>: W<small>IR BEKUNDEN, DASS DIESER EINEN</small> M<small>ENSCHEN GETÖTET HAT, UND</small> [<small>ANDERE</small> Z<small>EUGEN</small>] <small>IHNEN ENTGEGNEN</small>: W<small>IESO KÖNNT IHR DIES BEKUNDEN, AN JENEM</small> T<small>AGE WAR JA DER</small> [<small>ANGEBLICH</small>] E<small>RMORDETE, BEZIEHUNGSWEISE</small> M<small>ÖRDER MIT UNS ZUSAMMEN AN JENEM</small> O<small>RTE, SO GELTEN SIE NICHT ALS ÜBERFÜHRTE</small> F<small>ALSCHZEUGEN</small>$fn66. W<small>ENN SIE IHNEN ABER ENTGEGNEN:</small> W<small>IESO KÖNNT IHR DIES BEKUNDEN, AN JENEM</small> T<small>AGE WART IHR JA MIT UNS ZUSAMMEN AN JENEM</small> O<small>RTE, SO GELTEN SIE ALS ÜBERFÜHRTE</small> F<small>ALSCHZEUGEN UND WERDEN AUF</small> G<small>RÜND DIESER</small> A<small>USSAGE HINGERICHTET</small>. K<small>OMMEN DARAUF ANDERE</small> [Z<small>EUGEN</small>] <small>UND SIE ÜBERFÜHREN AUCH DIESE, ANDERE UND SIE</small>$fn67<small>ÜBERFÜHREN AUCH DIESE, SELBST WENN ES HUNDERT SIND, SO WERDEN SIE ALLE HINGERICHTET</small>. R. J<small>EHUDA SAGT, DIES SEI EINE</small> V<small>ERABREDUNG</small>$fn68; <small>VIELMEHR WIRD NUR DIE ERSTE</small> Z<small>EUGENPARTIE HINGERICHTET</small>."
