Index Title,Numbers
Numbers 2:2,"""Każdy przy chorągwi swojej, przy znakach domów swych rodowych, niechaj staną obozem synowie Israela; opodal, naokoło przybytku zboru niechaj staną obozem. "
Numbers 2:3,"A rozłoży się obozem: na przedzie ku wschodowi chorągiew obozu Jehudy, podług zastępów swych: wodzem zaś synów Jehudy - Nachszon, syn Amminadaba. "
Numbers 2:4,A zastęp jego i spisowych w nim - siedmdziesiąt cztery tysiące sześćset. 
Numbers 2:5,"A rozłoży się obozem przy nim pokolenie Isachara; wodzem zaś synów Isachara - Nethaneel, syn Cuara. "
Numbers 2:6,A zastęp jego i spisowych w nim pięćdziesiąt cztery tysiące czterysta. 
Numbers 2:7,"Następnie pokolenie Zebuluna; wodzem zaś synów Zebuluna - Eliab, syn Chelona. "
Numbers 2:8,A zastęp jego i spisowych w nim - pięćdziesiąt siedm tysięcy czterysta. 
Numbers 2:9,Wszystkich spisowych z obozu Jehudy: sto ośmdziesiąt sześć tysięcy czterysta według zastępów ich; - ci pierwsi wyruszą. 
Numbers 2:10,"Chorągiew obozu Reubena - ku południowi, według zastępów swych, wodzem zaś synów Reubena - Elicur, syn Szedeura. "
Numbers 2:11,A zastęp jego i spisowych w nim: czterdzieści sześć tysięcy pięćset. 
Numbers 2:12,"A rozłoży się obozem przy nim pokolenie Szymeona; wodzem zaś synów Szymeona - Szelumiel, syn Curyszaddaja. "
Numbers 2:13,A zastęp jego i spisowych w nim pięćdziesiąt dziewięć tysięcy trzysta. 
Numbers 2:14,"A następnie pokolenie Gada; wodzem zaś synów Gada - Eljasaf, syn Reuela. "
Numbers 2:15,A zastęp jego i spisowych w nim: czterdzieści pięć tysięcy sześćset pięćdziesiąt. 
Numbers 2:16,Wszystkich spisowych z obozu Reubena: sto pięćdziesiąt jeden tysięcy czterysta pięćdziesiąt według zastępów ich; - a ci w rzędzie wtórym wyruszą. 
Numbers 2:17,"Następnie wyruszy z przybytkiem zboru obóz Lewitów w pośrodku tych obozów; jakim porządkiem spoczywać będą, takim i wyruszą, każdy w szyku swoim, przy chorągwiach swoich. "
Numbers 2:18,"Chorągiew obozu Efraima według zastępów swych - ku zachodowi; wodzem zaś synów Efraima - Eliszama, syn Amihuda. "
Numbers 2:19,A zastęp jego i spisowych w nim: czterdzieści tysięcy pięćset. 
Numbers 2:20,"A przy nim pokolenie Menaszy; wodzem zaś synów Menaszy - Gamliel, syn Pedacura. "
Numbers 2:21,A zastęp jego i spisowych w nim: trzydzieści dwa tysiące dwieście. 
Numbers 2:22,"A następnie pokolenie Binjamina; wodzem zaś synów Binjamina - Abidan, syn Gideoni. "
Numbers 2:23,A zastęp jego i spisowych w nim: trzydzieści pięć tysięcy czterysta. 
Numbers 2:24,"Wszystkich spisowych z obozu Efraima: sto ośm tysięcy sto, według zastępów ich; - a ci w trzecim rzędzie wyruszą. "
Numbers 2:25,"Chorągiew obozu Dana - ku północy, według zastępów swych; wodzem zaś synów Dana - Achiezer, syn Ammiszadaja. "
Numbers 2:26,A zastęp jego i spisowych w nim: sześćdziesiąt dwa tysiące siedmset. 
Numbers 2:27,"A rozłoży się obozem przy nim pokolenie Aszera; wodzem zaś synów Aszera - Pagiel, syn Ochrana. "
Numbers 2:28,A zastęp jego i spisowych w nim: czterdzieści jeden tysięcy pięćset. 
Numbers 2:29,"A następnie pokolenie Naftali; wodzem zaś synów Naftali - Achira, syn Enana. "
Numbers 2:30,A zastęp jego i spisowych w nim: pięćdziesiąt trzy tysiące czterysta. 
Numbers 2:31,"Wszystkich spisowych z obozu Dana: sto pięćdziesiąt siedm tysięcy sześćset; - a ci na ostatku wyruszą, przy chorągwiach swoich"". "
Numbers 2:32,Oto spisowi synów Israela według domów ich rodowych: wszystkich spisowych w obozach według zastępów ich - sześćkroć trzy tysiące pięćset pięćdziesiąt. 
Numbers 2:33,"Lewici zaś nie stawili się do przeglądu między synami Israela, jako rozkazał Wiekuisty Mojżeszowi. "
Numbers 2:34,"I uczynili tak synowie Israela; jako rozkazał Wiekuisty Mojżeszowi, tak rozłożyli się obozem przy chorągwiach swoich, i tak téż wyruszali, każdy według rodzin swoich, przy domu swym rodowym. "
Numbers 3:1,"A oto rodowód Ahrona i Mojżesza, czasu którego przemawiał Wiekuisty do Mojżesza u góry Synai. "
Numbers 3:2,"Oto synowie Ahrona: pierworodny - Nadab, następnie Abihu, Elazar i Ithamar. "
Numbers 3:3,"Oto imiona synów Ahrona, kapłanów namaszczonych, których upełnomocnił dłoń do piastowania kapłaństwa. "
Numbers 3:4,"Umarli wszakże Nadab i Abihu przed Wiekuistym, gdy przynieśli ogień nieuświęcony przed oblicze Wiekuistego - na pustyni Synai; potomstwa zaś nie mieli; a tak piastowali kapłaństwo Elazar i Ithamar przy Ahronie, ojcu swoim. "
Numbers 3:5,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 3:6,"""Przywiedź pokolenie Lewiego, a ustanów je przed obliczem Ahrona, kapłana, aby usługiwali mu; "
Numbers 3:7,"I aby pełnili straż jego i straż całego zboru przed przybytkiem zboru, sprawując służbę przybytku; "
Numbers 3:8,"I aby strzegli wszystkich przyborów przybytku i straż synów Israela, sprawując służbę przybytku. "
Numbers 3:9,I przydasz Lewitów Ahronowi i synom jego; jako dar przydani mu będą z pośród synów Israela; 
Numbers 3:10,"Ahrona zaś i synów jego ustanowisz, aby strzegli urzędu swego kapłańskiego; postronny zaś, któryby przystąpił, śmierć poniesie"". "
Numbers 3:11,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 3:12,"""Ja oto wziąłem Lewitów z pośród synów Israela miasto wszelkiego pierworodnego, rozwierającego łono z synów Israela; niechaj przeto będą Lewici Moimi. "
Numbers 3:13,"Gdyż Mojém wszelkie pierworodne; od dnia, któregom poraził wszystkich pierworodnych w ziemi Micraim, poświęciłem sobie każde pierworodne w Israelu, tak człowieka jak i bydlę; Moimi niechaj będą"". "
Numbers 3:14,"I oświadczył Wiekuisty Mojżeszowi na pustyni Synai, i rzekł: "
Numbers 3:15,"""Policz synów Lewiego według domów ich rodowych, według rodzin ich; wszystkich płci męzkiej od miesiąca i wyżej policz ich"". "
Numbers 3:16,"I policzył ich Mojżesz według słowa Wiekuistego, jak rozkazano. "
Numbers 3:17,"A byli oto synowie Lewiego podług imion ich: Gerszon, Kehath i Merary. "
Numbers 3:18,A oto imiona synów Gerszona według rodzin ich: Libni i Szymei. 
Numbers 3:19,"A synowie Kehatha według rodzin ich: Amram i Ic'har, Chebron i Uzyel. "
Numbers 3:20,A synowie Merarego podług rodzin ich: Machli i Muszy. Oto rodziny Lewiego według domów swych rodowych. 
Numbers 3:21,Od Gerszona rodzina Libni i rodzina Szymei: te są rodziny Gerszonidów. 
Numbers 3:22,Spisowych ich według liczby wszystkich płci męzkiej od miesiąca i wyżej - spisowych ich siedm tysięcy pięćset. 
Numbers 3:23,"Rodziny Gerszonidów za przybytkiem obozować będą, ku zachodowi. "
Numbers 3:24,"Naczelnikiem zaś domu rodowego Gerszonidów - Eljasaf, syn Laela. "
Numbers 3:25,A pod strażą synów Gerszona w przybytku zboru będzie przybytek i namiot; pokrowiec jego i kotara u wnijścia do przybytku zboru; 
Numbers 3:26,"I zapony dworca i kotara u wnijścia do dworca, otaczającego przybytek i ołtarz wokoło, i powrozy ze wszystkiém urządzeniem ich. "
Numbers 3:27,A od Kehatha - rodzina Amrama i rodzina Ic'hara i rodzina Chebrona i rodzina Uzyela: oto rodziny Kehatydów. 
Numbers 3:28,Podług wykazu wszystkich płci męzkiej od miesiąca i wyżej - ośm tysięcy sześćset pełniących straż przy świątyni. 
Numbers 3:29,"Rodziny synów Kehatha stawać będą obozem po stronie przybytku, ku południowi; "
Numbers 3:30,"Naczelnikiem zaś rodowego domu rodzin Kehatha - Elicafan, syn Uzyela. "
Numbers 3:31,"A pod strażą ich - arka i stół i świecznik i ołtarze i naczynia święte, któremi służbę pełnić będą, i zasłona i całe urządzenie jej. "
Numbers 3:32,"Naczelnikiem zaś nad naczelnikami Lewitów - Elazar, syn Ahrona, kapłana, ma on nadzór nad pełniącymi straż przy świątyni. "
Numbers 3:33,Od Merarego - rodzina Machlidów i rodzina Muszydów: oto rodziny Merarego. 
Numbers 3:34,A spisowych ich według liczby wszystkich płci męzkiej od miesiąca i wyżej - sześć tysięcy dwieście. 
Numbers 3:35,"Naczelnikiem zaś rodowego domu rodzin Merarego - Curiel, syn Abichaila; u boku przybytku stawać będą obozem, ku północy. "
Numbers 3:36,"A pod nadzorem i strażą synów Merarego: bale przybytku i wrzeciądze, i słupy, i podsłupia i wszystkie przybory jego, i całe urządzenie jego; "
Numbers 3:37,"I słupy dworca wokoło, i podsłupia ich, i kołki i powrozy ich. "
Numbers 3:38,"Obozującymi zaś z przedniej strony przybytku, przed przybytkiem zboru, ku wschodowi, będą Mojżesz i Ahron i synowie jego; trzymać im straż przy świątyni dla ochraniania synów Israela, albowiem postronny, któryby przystąpił, śmierć poniesie. "
Numbers 3:39,"Wszystkich spisowych Lewitów, których zliczył Mojżesz i Ahron z rozkazu Wiekuistego według rodzin ich, wszystkich płci męzkiej od miesiąca i wyżej - dwadzieścia dwa tysiące. "
Numbers 3:40,"I rzekł Wiekuisty do Mojżesza: ""Oblicz wszystkich pierworodnych płci męzkiej z synów Israela od miesiąca i wyżej i sporządź wykaz imion ich. "
Numbers 3:41,"I przyjmiesz Lewitów dla Mnie, Wiekuistego, miasto wszystkich pierworodnych z synów Israela; bydło zaś Lewitów miasto wszelkiego pierworodnego w bydle synów Israela. "
Numbers 3:42,I obliczył Mojżesz jako mu rozkazał Wiekuisty wszystkich pierworodnych między synami Israela. 
Numbers 3:43,"A było wszystkich pierworodnych płci męzkiej, według wykazu imiennego, od miesiąca i wyżej, spisowych ich: dwadzieścia dwa tysiące dwieście siedmdziesiąt i trzy. "
Numbers 3:44,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 3:45,"""Przyjm Lewitów miasto wszystkich pierworodnych z synów Israela, a bydło Lewitów - miasto bydła ich, - a niechaj będą Moimi Lewici, - Jam Wiekuisty. "
Numbers 3:46,"A jako okup owych dwustu siedmdziesięciu trzech, zbywających nad liczbę Lewitów, z pierworodnych synów Israela, -  "
Numbers 3:47,"Weźmiesz po pięć szekli za głowę, wedle szekla uświęconego weźmiesz, po dwadzieścia ger w szeklu, "
Numbers 3:48,"I oddasz te pieniądze Ahronowi i synom jego, jako okup zbywających nad liczbę ich."" "
Numbers 3:49,I tak wziął Mojżesz pieniądze okupu od zbywających nad liczbę okupionych przez Lewitów; 
Numbers 3:50,"Od pierworodnych synów Israela wziął pieniędzy tych: tysiąc trzysta sześćdziesiąt i pięć szekli, według szekla uświęconego. "
Numbers 3:51,"I oddał Mojżesz te pieniądze okupu Ahronowi i synom jego, na wyrzeczenie Wiekuistego, jako rozkazał Wiekuisty Mojżeszowi. "
Numbers 4:1,"I oświadczył Wiekuisty Mojżeszowi i Ahronowi, i rzekł: "
Numbers 4:2,"""Zebrać poczet synów Kehatha z pomiędzy synów Lewiego według rodzin ich, według domów ich rodowych. "
Numbers 4:3,"Od trzydziestu lat i wyżej do pięćdziesięciu lat, wszystkich zdolnych wstąpić do służby, aby pełnili posługę w przybytku zboru. "
Numbers 4:4,Oto przedmiot służby synów Kehatha w przybytku zboru: świętość świętości. 
Numbers 4:5,"I wejdzie Ahron i synowie jego, gdy będzie miał ruszyć obóz i zdejmą zaponę zasłaniającą i okryją nią arkę świadectwa; "
Numbers 4:6,I włożą na nią pokrowiec ze skóry borsuczej i rozciągną oponę całą z błękitu z wierzchu i założą drążki jej. 
Numbers 4:7,"A téż na stół wystawny rozłożą oponę z błękitu i położą na nim misy i kadzielnice i dzbany i czasze do nalewania, a chléb jego ustawiczny powinien być na nim. "
Numbers 4:8,I rozciągną nad tém oponę karmazynową a przykryją ją pokrowcem ze skóry borsuczej i założą drążki jego; 
Numbers 4:9,"Wezmą téż oponę błękitną i nakryją świecznik dla oświetlania i lampy jego, i szczypczyki i popielniczki i wszystkie téż naczynia jego do oleju, których używają przy nim; "
Numbers 4:10,I włożą go i wszystkie przybory jego w pokrowiec ze skóry borsuczej i położą na nosze. 
Numbers 4:11,"Na ołtarz téż złoty rozciągną oponę z błękitu i nakryją go pokrowcem ze skóry borsuczej, i założą drążki jego; "
Numbers 4:12,"I wezmą wszystkie przybory służbowe, któremi posługują się w świątyni i włożą w oponę z błękitu i nakryją je pokrowcem ze skóry borsuczej i położą na nosze; "
Numbers 4:13,I oczyszczą ofiarnicę z popiołu i rozciągną na niej oponę purpurową; 
Numbers 4:14,"I włożą na nią wszystkie przybory jej, któremi posługują się przy niej, - węglarki i widełki i łopatki i kropielnice, - wszystkie przybory ofiarnicy i rozciągną na niej pokrowiec ze skóry borsuczej i założą drążki jej; "
Numbers 4:15,"A gdy dopełni Ahron i synowie jego okrycia świątyni i wszystkich przyborów świątyni przy wyruszeniu obozu, wtedy przystąpią synowie Kehatha, aby nieść; lecz nie będą dotykali się świątyni, aby nie pomarli. Oto brzemię synów Kehatha przy przybytku zboru. "
Numbers 4:16,"A pod nadzorem Elazara, syna Ahrona, kapłana - olej do oświetlania i kadzidło wonne i śniedna ofiara ustawiczna, i olej namaszczenia: nadzór całego przybytku i wszystkiego co w nim, świątyni i przyborów jej."" "
Numbers 4:17,"I oświadczył Wiekuisty Mojżeszowi i Ahronowi, i rzekł: "
Numbers 4:18,"""Nie podcinajcie szczepu rodzin Kehatha z pośród Lewitów; "
Numbers 4:19,"A oto co uczynić wam dla nich, aby żyli a nie wymierali, gdy przystępować będą do przenajświętszego: Ahron i synowie jego niechaj przyjdą i ustanowią ich, - każdego przy służbie swojej i przy brzemieniu swojém; "
Numbers 4:20,"Ale niechaj nie przyjdą, by przypatrywać się rozbiórce świątyni, aby nie pomarli."" "
Numbers 4:21,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 4:22,"""Zebrać téż i poczet synów Gerszona według domów ich rodowych, według rodzin ich. "
Numbers 4:23,"Od wieku lat trzydziestu i wyżej do pięćdziesięciu lat, policzysz ich, wszystkich wstępujących w szeregi dla pełnienia posług w przybytku zboru. "
Numbers 4:24,Oto służba rodzin Gerszonidów przy robocie i przy noszeniu: 
Numbers 4:25,"Nosić im opony przybytku i przybytek zboru, pokrowiec jego i pokrowiec borsuczy, będący na nim na wierzchu i kotarę wnijścia do przybytku zboru. "
Numbers 4:26,"I zapony dworca i kotarę wnijścia do bramy dworca, otaczającego przybytek i ołtarz w około, i powrozy ich i wszystkie przybory ich służbowe; a wszystko, co należy przy nich zrobić, niechaj oni czynią. "
Numbers 4:27,"Według rozkazu Ahrona i synów jego odbywać się będzie wszelka służba synów Gerszona, zarówno każde brzemię jak i każda robota ich; a ustanowicie nad nimi straż przy wszystkich ich brzemionach. "
Numbers 4:28,"Oto służba rodzin synów Gerszona przy przybytku zboru; nadzór zaś nad nimi - w ręku Ithamara, syna Ahrona, kapłana. "
Numbers 4:29,"Synów téż Merarego, według rodzin ich, według domów ich rodowych policzysz, -  "
Numbers 4:30,"Od wieku lat trzydziestu i wyżej, do pięćdziesięciu lat policzysz ich, wszystkich wstępujących w szeregi dla pełnienia posług w przybytku zboru. "
Numbers 4:31,"A oto wydział brzemion ich przy całej służbie ich przy przybytku zboru: bale przybytku, wrzeciądze jego, i słupy, i podsłupia jego. "
Numbers 4:32,"I słupy dworca w około, i podsłupia ich, i kołki, i powrozy, i wszystkie przybory ich, ze wszystkiém co do służby należy; imiennie zaś policzycie przybory wydziału brzemion ich. "
Numbers 4:33,"Oto powinność rodzin synów Merarego w całej służbie ich przy przybytku zboru, - pod nadzorem Ithamara, syna Ahrona, kapłana."" "
Numbers 4:34,"Policzyli tedy Mojżesz i Ahron i naczelnicy zboru synów Kehatha według rodzin ich, według domów ich rodowych. "
Numbers 4:35,"Od wieku lat trzydziestu i wyżej, do pięćdziesięciu lat, wszystkich wstępujących w szeregi dla pełnienia posług w przybytku zboru. "
Numbers 4:36,"A było spisowych ich, według rodzin ich: dwa tysiące siedmset pięćdziesiąt. "
Numbers 4:37,"Oto spisowi rodów Kehatha, - wszyscy pełniący służbę przy przybytku zboru, których obliczył Mojżesz i Ahron z rozkazu Wiekuistego przez Mojżesza. "
Numbers 4:38,"A spisowi synów Gerszona, według rodzin ich i według domów ich rodowych, -  "
Numbers 4:39,"Od wieku lat trzydziestu i wyżej, do pięćdziesięciu lat, wszyscy wstępujący w szeregi, dla pełnienia posług w przybytku zboru; "
Numbers 4:40,"A było spisowych tych, według rodzin ich, według domów ich rodowych; dwa tysiące sześćset trzydzieści. "
Numbers 4:41,"Oto spisowi rodzin synów Gerszona, wszyscy pełniący służbę przy przybytku zboru, których policzył Mojżesz i Ahron z rozkazu Wiekuistego. "
Numbers 4:42,"A spisowi synów Merarego, według rodzin ich, według domów ich rodowych, -  "
Numbers 4:43,"Od wieku lat trzydziestu i wyżej, do pięćdziesięciu lat, wszyscy wstępujący w szeregi, dla pełnienia posług w przybytku zboru, -  "
Numbers 4:44,"A było spisowych tych, według rodzin ich trzy tysiące dwieście. "
Numbers 4:45,"Oto spisowi rodzin synów Merarego, których policzył Mojżesz i Ahron, z rozkazu Wiekuistego przez Mojżesza. "
Numbers 4:46,"Wszystkich spisowych, których policzył Mojżesz i Ahron i naczelnicy Israela z Lewitów, według rodzin ich, i według domów ich rodowych, -  "
Numbers 4:47,"Od wieku lat trzydziestu i wyżej, do pięćdziesięciu lat, wszystkich zdolnych przystąpić do wykonywania robót i podejmowania brzemion przy przybytku zboru, -  "
Numbers 4:48,Spisowych tych było ośm tysięcy pięćset ośmdziesiąt. 
Numbers 4:49,"Według rozkazu Wiekuistego przez Mojżesza ustanowił on ich - każdego przy służbie swojej i przy brzemieniu swojém, a przeznaczenia dla nich, - jak rozkazał Wiekuisty Mojżeszowi. "
Numbers 5:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 5:2,"""Rozkażesz synom Israela, aby usunęli z obozu wszystkich trędowatych, i wszystkich cierpiących na upławy, i wszystkich, którzy się zanieczyścili przy umarłym. "
Numbers 5:3,"Zarówno mężczyzn jak i niewiasty usuniecie, po za obóz usuniecie ich, aby nie zanieczyszczali obozów swoich, w pośród których Ja przebywam"". "
Numbers 5:4,"I uczynili tak synowie Israela i usunęli ich po za obóz; jako powiedział Wiekuisty Mojżeszowi, tak uczynili synowie Israela. "
Numbers 5:5,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 5:6,"""Powiedz synom Israela: jeżeliby mężczyzna albo niewiasta popełnili jakikolwiek grzech przeciw człowiekowi, dopuściwszy się tém występku przeciw Wiekuistemu, - a winną by była dusza ona, -  "
Numbers 5:7,"Niechaj tedy wyspowiadają się z grzechu swojego, którego się dopuścili, i zwrócą krzywdę w całości, a piątą część dołożą nadto i oddadzą temu, przeciw któremu zawinili. "
Numbers 5:8,"Gdyby zaś nie miał ów człowiek bliższego krewnego, któremuby krzywdę wynagrodzić było można; wtedy krzywda wynagrodzona należy do Wiekuistego, - do kapłana, - oprócz barana odpuszczenia, przez który mu odpuszczoném będzie. "
Numbers 5:9,"Wszelka téż danina, ze wszystkich świętych darów synów Israela, które składają przez kapłana, do niego należy. "
Numbers 5:10,"A co przez kogokolwiek poświęcone zostało, do niego należy; któremu kapłanowi je daje, do tego należy."" "
Numbers 5:11,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 5:12,"""Powiedz synom Israela a objaśnij im: ""jeżeliby czyjakolwiek żona wykroczyła i dopuściła się wiarołomstwa względem niego, -  "
Numbers 5:13,"A złączyłby się z nią mężczyzna, obcując z nią, a byłoby to utajone przed oczyma męża jej, - ponieważ ukrywała się, gdy się zbezcześciła, - a świadka by nie było przeciw niej, a nie została schwytana; "
Numbers 5:14,"A przypadłby nań duch zazdrości i podejrzywałby żonę swoję, któraby zbezczeszczoną była; albo przypadłby nań duch zazdrości i podejrzywałby żonę swoję, któraby zbezczeszczoną nie była: "
Numbers 5:15,"Zaprowadzi wtedy mąż ów żonę swą do kapłana i przyniesie zarazem w ofierze za nią dziesiątą część efy mąki jęczmiennej, - nie wylewając wszakże oliwy na nią, ani położywszy na nią kadzidła, albowiem śniedna ofiara to zazdrości, śniedna ofiara pamięci, przypominająca winę. -  "
Numbers 5:16,Przywiedzie ją zaś kapłan i postawi przed oblicze Wiekuistego. 
