Index Title,Lamentations
Lamentations 2:15,"Załamywali nad tobą ręce wszyscy przeciągający drogą, sykali i potrząsali głową nad córą Jerozolimy; izali to ono miasto skończonej piękności, rozkosz całej ziemi? "
Lamentations 2:16,"Rozwierali na cię usta wszyscy wrogowie twoi, sykali i zgrzytali zębami, wołając: zniszczyliśmy! Tak, oto dzień któregośmy wyglądali; dożyliśmy, ujrzeliśmy go! "
Lamentations 2:17,"Dokonał Wiekuisty co był umyślił, spełnił słowo Swoje, postanowione od dni starodawnych, burzył a nie zmiłował się, i ucieszył tobą wroga, wywyższył róg ciemięzców twoich. "
Lamentations 2:18,"Wołało serce ich do Pana. O murze córy cyońskiej! wylewaj potokiem łzy dniem i nocą, nie użyczaj wytchnienia sobie, niechaj się nie ucisza źrenica oka twojego! "
Lamentations 2:19,"Wstań, wykrzykuj głośno w nocy, na początku straży; wylewaj jako wodę serce twoje przed obliczem Pana, podnieś ku Niemu ręce twoje za życie dziatek twoich, które pomdlały z głodu na wszystkich rogach ulic. "
Lamentations 2:20,"Wejrzyj Wiekuisty a zobacz, komuś tak uczynił! Czyż nie musiały niewiasty zjadać płód swój, dzieci swe wypiastowane? Czyż nie byli mordowani w świątyni Pańskiej kapłan i prorok? "
Lamentations 2:21,"Leżeli na ziemi po ulicach chłopię i starzec. Dziewice i młodzieńcy moi polegli od miecza; zabijałeś w dzień gniewu Twojego, zarzynałeś bez litości. "
Lamentations 2:22,"Przyzwałeś, jakby na dzień uroczysty, trwogi które mnie osaczają, a nie było w dzień gniewu Wiekuistego ktoby uszedł i się ocalił: com wypiastował i wyhodował wróg mój je zgładził. "
Lamentations 3:1,"Jam ten mąż, którym nędzę widział, pod biczem zagniewania Jego. "
Lamentations 3:2,Mnie On poprowadził i zawiódł w mrok bez światła. 
Lamentations 3:3,"Przeciw mnie to się odwrócił, i zwraca rękę Swoję ustawicznie. "
Lamentations 3:4,"Starł ciało i skórę moję, pogruchotał kości moje. "
Lamentations 3:5,Obudował mnie i ogarnął jadem i strapieniem. 
Lamentations 3:6,"W ciemnościach mnie osadził, jak od wieku zmarłych. "
Lamentations 3:7,"Zagrodził mnie bez wyjścia, obciążył kajdany moje. "
Lamentations 3:8,"Choć krzyczę i wołam, tamuje on modlitwę moję. "
Lamentations 3:9,"Zagrodził drogi moje ciosem, ścieżki moje wywrócił. "
Lamentations 3:10,"Niedźwiedziem czatującym stał się dla mnie, lwem przyczajonym w ostępie. "
Lamentations 3:11,"Drogi moje pokrzywił i poszarpał mnie, w strętwienie mnie wprawił. "
Lamentations 3:12,Napiął łuk Swój i postawił mnie jako cel dla strzały. 
Lamentations 3:13,Wbił w nerki moje dzieci kołczana Swojego. 
Lamentations 3:14,"Pośmiewiskiem się stałem ludom wszystkim, przedmiotem pieśni ich ustawicznie. "
Lamentations 3:15,"Nasycił mnie goryczami, napoił piołunem. "
Lamentations 3:16,"Wykruszył krzemieniem zęby moje, podeptał mnie w prochu. "
Lamentations 3:17,"Oddaliłeś od pokoju duszę moję, zapomniałem o szczęściu. "
Lamentations 3:18,"I rzekłem: znikła żywotna siła moja, i nadzieja moja od Wiekuistego. "
Lamentations 3:19,"Wspomnij na nędzę i tułactwo moje, na piołun i truciznę. "
Lamentations 3:20,"Pamięta, o, pamięta, a pognębiona we mnie dusza moja. "
Lamentations 3:21,"To wezmę do serca mojego, i dla tego ufać będę: "
Lamentations 3:22,"Łaski to Wiekuistego, żeśmy nie zginęli jeszcze, bo nie wyczerpnęło się miłosierdzie Jego! "
Lamentations 3:23,"Wznawiają się z każdym porankiem, wielką niezawodność Twoja! "
Lamentations 3:24,"Udziałem moim Wiekuisty, rzecze dusza moja, przeto ufam Mu. "
Lamentations 3:25,"Dobrotliwy Wiekuisty dla polegających na Nim, dla duszy, która Go szuka. "
Lamentations 3:26,Dobrze w milczeniu czekać na pomoc Wiekuistego. 
Lamentations 3:27,Dobrze człowiekowi dźwigać jarzmo w młodości swojej. 
Lamentations 3:28,"Niechaj siedzi samotnie i milczy, gdy go obarczył. "
Lamentations 3:29,"Niechaj położy na prochu usta swoje, może jest jeszcze nadzieja. "
Lamentations 3:30,"Niechaj nadstawi lice uderzającemu go, niechaj nasyca się hańbą. "
Lamentations 3:31,Albowiem nie na wieki odtrąca Pan. 
Lamentations 3:32,"Bo jeśli zasmucił, zmiłuje się znowu wedle pełni łaski Swojej. "
Lamentations 3:33,Albowiem nie z serca Swego trapi i zasmuca synów ludzkich. 
Lamentations 3:34,"Gdy się gnębi pod stopami wszystkich więźniów ziemi, "
Lamentations 3:35,Gdy się uchyla prawo człowieka przed obliczem Najwyższego. 
Lamentations 3:36,Gdy się wykrzywia spór czyjkolwiek - czyżby nie widział tego Wiekuisty? 
Lamentations 3:37,"Któż to wyrzekł, a spełniło się, jeśli tego Pan nie rozkazał? "
Lamentations 3:38,Izali nie wychodzi z ust Najwyższego zarówno złe jak dobre? 
Lamentations 3:39,"Czemu utyskuje człowiek dopóki żyje, mąż cierpiący za grzechy swoje? "
Lamentations 3:40,"Rozważmy drogi nasze a zbadajmy je, a nawróćmy się do Wiekuistego! "
Lamentations 3:41,"Podnieśmy serce, nie ręce nasze do Boga na niebie! "
Lamentations 3:42,"Myśmy wykroczyli i byli przekorni, Tyś nie wybaczył. "
Lamentations 3:43,"Okryłeś się gniewem, a ścigałeś nas, zabijałeś bez litości. "
Lamentations 3:44,"Przesłoniłeś się chmurą, że nie przenikła modlitwa. "
Lamentations 3:45,Pomiotem i przedmiotem wstrętu uczyniłeś nas wpośród ludów. 
Lamentations 3:46,Rozwierali na nas usta wszyscy wrogowie nasi. 
Lamentations 3:47,"Trwoga i grób były udziałem naszym, spustoszenie i zniszczenie. "
Lamentations 3:48,Potoki wód wylewa oko moje nad pogromem córy ludu mojego. 
Lamentations 3:49,"Oko moje wycieka a nie ustawa, bo nie znajduje wytchnienia. "
Lamentations 3:50,"Póki nie spojrzy, a wejrzy Wiekuisty z nieba. "
Lamentations 3:51,Oka mojego łza dręczy duszę moję z powodu wszystkich cór ludu mojego. 
Lamentations 3:52,"Ścigali, ścigali mnie niby ptaka wrogowie moi bez przyczyny. "
Lamentations 3:53,"Zadławili w grobie życie moje, i zatoczyli kamień na mnie. "
Lamentations 3:54,"Wezbrały wody nad głową moją, mniemałem, żem zginął. "
Lamentations 3:55,Wzywałem imienia Twego Wiekuisty z grobu najgłębszego. 
Lamentations 3:56,"Usłyszałeś głos mój, nie ukrywaj ucha Twojego od westchnień i krzyku mojego. "
Lamentations 3:57,"Dnia, któregom cię wołał byłeś blizkim, rzekłeś: nie obawiaj się! "
Lamentations 3:58,"Wiodłeś, panie, sprawę duszy mojej, wybawiłeś życie moje. "
Lamentations 3:59,"Wejrzałeś Wiekuisty na krzywdę moję, uczyń mi sprawiedliwość. "
Lamentations 3:60,"Widziałeś całą ich zawziętość, wszystkie ich zamysły przeciw mnie. "
Lamentations 3:61,"Słyszałeś obelgi ich Wiekuisty, wszystkie ich plany przeciw mnie. "
Lamentations 3:62,"Mowy przeciwników moich, i ustawiczne knowania ich przeciw mnie. "
Lamentations 3:63,"Gdy siadają i gdy wstawają, patrz, jam przedmiotem ich pieśni! "
Lamentations 3:64,"Oddasz im zapłatę, Wiekuisty, wedle dzieła rąk ich. "
Lamentations 3:65,Dasz im zamroczenie serca - przekleństwo Twoje na nich! 
Lamentations 3:66,"Będziesz ich ścigał w gniewie i wytępisz ich z pod nieba, o Wiekuisty! "
Lamentations 4:1,"O jakże zczerniało złoto, zmienił się kruszec kosztowny, rozrzucone zostały kamienie święte po rogach wszystkich ulic. "
Lamentations 4:2,"Dzieci Cyonu drogie, narówni z szczerem złotem cenione, jakże poczytane zostały za dzbany gliniane, za dzieło rąk garncarza. "
Lamentations 4:3,"Szakale nawet odsłaniają pierś, karmią młode swoje; córa ludu mojego srogą się stała jak strusie na puszczy. "
Lamentations 4:4,"Przywarł z pragnienia język niemowlęcia do podniebienia jego; dzieci prosiły chleba, ale nie było, ktoby im go ułamał. "
Lamentations 4:5,"Ci, którzy łakocie jadali mdleli po ulicach, których wypiastowano na szkarłatach, obejmowali śmietniska. "
Lamentations 4:6,"Albowiem wina ludu mojego była większa niż grzech Sodomy, która w jednej chwili zburzona została, choć nie spadły na nią ręce ludzkie. "
Lamentations 4:7,"Czystsi od śniegu byli książęta jej, bielsi od mleka; cera ich czerwieńsza od korali, jako szafir postać ich. "
Lamentations 4:8,"Czarniejszą od sadzy stała się twarz ich, nie poznać ich na ulicach, skóra ich przylgnęła do kości ich, zaschła niby drewno. "
Lamentations 4:9,"Szczęśliwsi byli ci, co padli od miecza, niż ci, co zginęli od głodu, albowiem zanikali powoli, strawieni, dla braku plonów na polu. "
Lamentations 4:10,"Ręce kobiet tkliwych warzyły same swe dzieci; służyły im na strawę, w chwili pogromu córy ludu mojego. "
Lamentations 4:11,"Wyczerpnął Wiekuisty zapalczywość Swoję, wylał płonący gniew Swój, i rozniecił ogień w Cyonie, który posady jego pochłonął. "
Lamentations 4:12,"Nie uwierzyliby królowie ziemi, wszyscy mieszkańcy świata, że wtargnie ciemięzca i wróg do bram Jerozolimy! "
Lamentations 4:13,"Dla grzechów proroków ich, dla win kapłanów ich, którzy przelewali w niej krew sprawiedliwych. "
Lamentations 4:14,"Błądzili jako niewidomi po ulicach, zbrukani krwią, tak że nie można było szat ich się dotknąć. "
Lamentations 4:15,"""Usuńcie się! nieczysty!"" wołano przed nimi, ""usuńcie się, usuńcie, nie dotykajcie się go!"" Gdy się rozproszyli i rozpierzchli, mówiono między narodami: nie zamieszkać im już tam dłużej. "
Lamentations 4:16,"Gniew Wiekuistego rozmiótł ich, nie spogląda na nich więcej. Osoby też kapłanów nie uwzględniano, nad starcami nie zmiłowano się. "
Lamentations 4:17,"Jeszcze wyglądały oczy nasze napróżno pomocy! Na strażnicy naszej czekaliśmy na naród, który nie dopomógł. "
Lamentations 4:18,"Śledzili kroki nasze, abyśmy nie chodzili po ulicach naszych; koniec nasz się zbliżał, upłynęły dni nasze, tak, nadszedł kres nasz! "
Lamentations 4:19,Chyżsi byli prześladowcy nasi niż orły pod niebem; ścigali nas po górach; na puszczy czyhali na nas. 
Lamentations 4:20,"Tchnienie ust naszych, pomazaniec Wiekuistego, schwytany został w jamach ich - on, o którymśmy mniemali: w cieniu jego żyć będziemy między narodami. "
Lamentations 4:21,"Ciesz się a wesel, córo Edomu, osiadła na ziemi Uc: i do ciebie przyjdzie czara; upijesz się i ogołocisz! "
Lamentations 4:22,"Spełniła się wina twoja, córo Cyonu, już cię nie skaże więcej na wygnanie; nawiedzi On winę twoję, córo Edomu, odsłoni grzechy twoje! "
Lamentations 5:1,Wspomnij Wiekuisty co się stało nam; spójrz a zobacz poniżenie nasze! 
Lamentations 5:2,"Dziedzictwo nasze przypadło obcym, domy nasze cudzoziemcom. "
Lamentations 5:3,"Sierotami staliśmy się bez ojca, matki nasze jako wdowy. "
Lamentations 5:4,"Wodę naszą za pieniądze pijamy, drzewo nasze za opłatą się nam dostaje. "
Lamentations 5:5,"Po szyję ścigani jesteśmy, pomdleliśmy, ale nie dają nam wytchnienia. "
Lamentations 5:6,"Ku Egiptowi wyciągaliśmy dłoń, ku Aszurowi, aby nasycić się chleba. "
Lamentations 5:7,"Ojcowie nasi zgrzeszyli a niemasz ich, a my winy ich dźwigamy. "
Lamentations 5:8,"Niewolnicy panują nad nami, niemasz ktoby wybawił z ich mocy. "
Lamentations 5:9,Życiem naszem zdobywamy chleb nasz wobec miecza na pustyni. 
Lamentations 5:10,"Skóra nasza jako piec zczerniała, od żarów głodu. "
Lamentations 5:11,"Kobiety w Cyonie shańbione, dziewice w miastach Judei. "
Lamentations 5:12,"Książęta byli ręką ich wieszane, osoby starców nie były oszczędzane. "
Lamentations 5:13,"Młodzieńców do żaren wlokli, a chłopięta pod drwami upadały. "
Lamentations 5:14,"Starszyzna odstąpiła od bram, młodzież od igrzysk swoich. "
Lamentations 5:15,"Ucichło wesele serca naszego, obróciły się w żałobę pląsy nasze. "
Lamentations 5:16,"Spadła korona nasza, biada nam, bośmy zgrzeszyli. "
Lamentations 5:17,"Nad tem boleje serce nasze, dla tego zaćmiły się oczy nasze. "
Lamentations 5:18,"Nad górą Cyonu, która opustoszała, szakale krążą po niej. "
Lamentations 5:19,"Ty Wiekuisty na wieki zasiadasz, stolica Twoja od pokolenia do pokolenia. "
Lamentations 5:20,"Czemu byś miał na zawsze zapomnieć o nas, opuścić nas na tak długie czasy? "
Lamentations 5:21,"Nawróć nas do Siebie, Wiekuisty! a wrócim, odnów dni nasze jak za dawna! "
Lamentations 5:22,"Ale Tyś zupełnie nas porzucił, rozgniewałeś się na nas bez miary. "
