Index Title,Leviticus
Leviticus 3:13,"I położy rękę swą na głowę jej, i zarzną ją przed przybytkiem zboru, i pokropią synowie Ahrona krwią jej ofiarnicę, w około. "
Leviticus 3:14,"I przyniesie z niej ofiarę swą, jako ofiarę ogniową Wiekuistemu: - łój pokrywający trzewa, i wszystek łój, który nad trzewami. "
Leviticus 3:15,"Obie téż nerki z łojem, który na nich, który nad połędwicami, i przeponę, która na wątrobie, wraz z nerkami ją oddzieli. "
Leviticus 3:16,"I puści je z dymem kapłan na ofiarnicy: pokarm to, ogniowa ofiara, woń przyjemna: wszystek łój Wiekuistemu. "
Leviticus 3:17,"Ustawa to wieczna w pokoleniach waszych, we wszystkich siedzibach waszych: żadnego łoju i żadnej krwi jeść nie będziecie!"" "
Leviticus 4:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 4:2,"""Powiedz synom Israela tak: gdyby kto zgrzeszył niebacznie przeciw któremu ze wszystkich przykazań Wiekuistego, wzbraniających cokolwiek czynić, a przekroczyłby przeciw jednemu z nich; -  "
Leviticus 4:3,"Jeżeliby kapłan namaszczony zgrzeszył, dla wprowadzenia ludu w winę: niech wtedy przyniesie za grzech swój, którego się dopuścił, cielca młodego, zdrowego, Wiekuistemu na ofiarę zagrzeszną. "
Leviticus 4:4,"I przywiedzie cielca onego do wejścia przybytku zboru, przed oblicze Wiekuistego, a położy rękę swą na głowę cielca, i zarzną cielca przed Wiekuistym. "
Leviticus 4:5,I weźmie kapłan namaszczony nieco krwi cielca i wniesie ją do przybytku zboru. 
Leviticus 4:6,"I zamoczy kapłan palec swój we krwi, a pokropi krwią ową siedmkroć przed obliczem Wiekuistego, przed zasłoną świątyni. "
Leviticus 4:7,"I pomaże kapłan krwią narożniki ołtarza do kadzidła wonnego, który w przybytku zboru przed Wiekuistym; wszystką zaś pozostałą krew cielca wyleje u podstawy ofiarnicy całopaleń, która u wejścia przybytku zboru. "
Leviticus 4:8,"I wszystek łój cielca ofiary zagrzesznej zdejmie zeń, - łój pokrywający trzewa, i wszystek łój, który nad trzewami; "
Leviticus 4:9,"Obie téż nerki z łojem, który na nich, który nad połędwicami, i przeponę, która na wątrobie, wraz z nerkami ją oddzieli, -  "
Leviticus 4:10,Jako odjętym zostaje z wołu ofiary opłatnej; i puści je z dymem kapłan na ofiarnicy całopaleń. 
Leviticus 4:11,"A skórkę cielca, i całe mięso jego z głową i goleniami, i trzewa jego, i nieczystość jego, -  "
Leviticus 4:12,"Całego cielca wyniesie po za obóz na miejsce czyste, na skład popiołu i spali go na drwach ogniem; przy składzie popiołu spalonym będzie. "
Leviticus 4:13,"A jeżeliby cały zbór Israelski niebacznie zgrzeszył, a zakryta była rzecz od oczu zgromadzenia, a tak przekroczyłby przeciw jednemu z przykazań Wiekuistego, wzbraniających cokolwiek czynić, i popadłby w winę; "
Leviticus 4:14,"I poznanym by został grzech, którym zgrzeszyli: przyniesie wtedy zgromadzenie młodego cielca na ofiarę zagrzeszną, a sprowadzą go przed przybytek zboru. "
Leviticus 4:15,"I położą starsi zboru rękę swą na głowę cielca, przed Wiekuistym, i zarzną cielca przed obliczem Wiekuistego. "
Leviticus 4:16,I wniesie kapłan namaszczony nieco krwi cielca do przybytku zboru; 
Leviticus 4:17,"I zamoczy kapłan palec swój we krwi, a pokropi krwią ową siedmkroć przed obliczem Wiekuistego, przed zasłoną. "
Leviticus 4:18,"A częścią krwi pomaże narożniki ołtarza, który przed obliczem Wiekuistego w samym przybytku zboru, wszystką zaś pozostałą krew wyleje u podstawy ofiarnicy całopaleń, która u wejścia przybytku zboru. "
Leviticus 4:19,I wszystek łój jego zdejmie zeń i puści z dymem na ofiarnicy. 
Leviticus 4:20,"I postąpi z tym cielcem jak postąpił z cielcem zagrzesznym; tak samo postąpi z nim, - i tém rozgrzeszy ich kapłan, i odpuszczoném im będzie. "
Leviticus 4:21,I każe wynieść cielca po za obóz i spali go jako spalił cielca pierwszego: ofiara to zagrzeszna zgromadzenia. 
Leviticus 4:22,"A jeżeliby zgrzeszył książę, a wykroczyłby przeciw jednemu z przykazań Wiekuistego, Boga swojego, wzbraniających cokolwiek czynić, a to niebacznie, a przewiniłby; "
Leviticus 4:23,"Jeżeli mu tedy ujawni się grzech jego, którym zgrzeszył, to przywiedzie na ofiarę swą kozła, samca zdrowego. "
Leviticus 4:24,"I położy rękę swą na głowę kozła, i zarzną go na miejscu, gdzie zarzynają całopalenia przed Wiekuistym: ofiara to zagrzeszna. "
Leviticus 4:25,"I weźmie kapłan nieco krwi ofiary zagrzesznej na palec swój, a pomaże narożniki ofiarnicy całopaleń, pozostałą zaś krew jego wyleje u podstawy ofiarnicy całopaleń. "
Leviticus 4:26,"A wszystek łój jego puści z dymem na ofiarnicy, podobnie jak łój ofiary opłatnej; i tak rozgrzeszy go kapłan z grzechu jego, i odpuszczoném mu będzie. "
Leviticus 4:27,"A jeżeliby kto zgrzeszył niebacznie z ludu pospolitego wykroczywszy przeciw jednemu z przykazań Wiekuistego, wzbraniających cokolwiek czynić, a przewiniłby; "
Leviticus 4:28,"Jeżeli mu tedy ujawni się grzech jego, którym zgrzeszył, to przywiedzie na ofiarę swą kozę, zdrową samicę za grzech, którego się dopuścił. "
Leviticus 4:29,"I położy rękę swą na głowę ""zagrzesznej"" - i zarzną tę ofiarę zagrzeszną na miejscu ofiar całopalnych. "
Leviticus 4:30,"I weźmie kapłan nieco krwi jej na palec swój, a pomaże narożniki ofiarnicy całopaleń, pozostałą zaś krew jej wyleje u podstawy ofiarnicy. "
Leviticus 4:31,"Wszystek téż łój jej zdejmie, jak zdejmuje się łój z ofiary opłatnej, i puści go z dymem kapłan na ofiarnicy, na woń przyjemną Wiekuistemu; i tak rozgrzeszy go kapłan, i odpuszczoném mu będzie. "
Leviticus 4:32,"A jeżeli z owiec przynosi na ofiarę swą zagrzeszną, samicę zdrową niechaj przyniesie. "
Leviticus 4:33,"I położy rękę swą na głowę ""zagrzesznej"", i zarzną ją jako ofiarę zagrzeszną na miejscu, gdzie zarzynają całopalenia. "
Leviticus 4:34,"I weźmie kapłan nieco krwi ofiary zagrzesznej na palec swój, a pomaże narożniki ofiarnicy całopaleń, pozostałą zaś krew jej wyleje u podstawy ofiarnicy całopaleń. "
Leviticus 4:35,"A wszystek łój jej zdejmie, jak się zdejmuje łój baranka z ofiary opłatnej, i puści to z dymem kapłan na ofiarnicy przy ofiarach ogniowych Wiekuistemu; i tak rozgrzeszy go kapłan z grzechu, którego się dopuścił, - i odpuszczoném mu będzie. "
Leviticus 5:1,"Jeżeliby téż kto zgrzeszył, że słysząc słowo zaklęcia, a będąc świadkiem widzącym albo wiedzącym, a nie oznajmił, i tak uniósłby na sobie winę swą: "
Leviticus 5:2,"Albo - jeżeliby się kto dotknął jakiejkolwiek rzeczy nieczystej, bądź padliny zwierza nieczystego, bądź padliny bydlęcia nieczystego, bądź padliny gadu nieczystego, a byłoby to tajne przed nim, tak że nieczystym będzie i winnym; "
Leviticus 5:3,"Albo - jeżeliby się kto dotknął nieczystości człowieczej, jakakolwiek by to była nieczystość, przez którą się zanieczyszcza, a byłoby to tajne przed nim, on zaś dowiedziałby się, i byłby winien; "
Leviticus 5:4,"Albo jeżeliby kto przysiągł, a wymknęło mu się z ust, aby wyrządził sobie co złego, albo dobrego, we wszystkiém, co wymyka się człowiekowi w przysiędze, a uszłoby z świadomości jego, - on zaś dowiedziałby się, i byłby winien w jakiejkolwiek z tych rzeczy; "
Leviticus 5:5,"Kto tedy zawini w jakiejkolwiek z tych rzeczy, niechaj wyspowiada się, w czém zgrzeszył; "
Leviticus 5:6,"I niech przyniesie pokutę Wiekuistemu za grzech swój, którego się dopuścił, samicę z trzody; owcę albo kozę - jako ofiarę zagrzeszną, a rozgrzeszy go kapłan z grzechu jego. "
Leviticus 5:7,"A gdyby go nie stało na owcę, to przyniesie jako pokutę za grzech, którego się dopuścił, parę turkawek albo parę młodych gołąbków Wiekuistemu, - jednego na ""zagrzeszną"", a drugiego na ""całopalną."" "
Leviticus 5:8,"I przyniesie je do kapłana, który złoży najprzód tego, co za grzech, i naderwie głowę jego nad karkiem, ale jej nie oderwie. "
Leviticus 5:9,"I pokropi krwią tej ""zagrzesznej"" ścianę ofiarnicy, a pozostałą krew wyciśnie u podstawy ofiarnicy: ofiara to zagrzeszna. "
Leviticus 5:10,"Drugiego zaś zużyje na całopalenie, wedle przepisu, i tak rozgrzeszy go kapłan z grzechu jego, którego się dopuścił, a odpuszczoném mu będzie. "
Leviticus 5:11,"A gdyby go nie stało na dwie turkawki, albo na dwa młode gołąbki, niechaj przyniesie za grzech, którego się dopuścił, dziesiątą część efy przedniej mąki, jako ofiarę zagrzeszną; nie naleje na nią oliwy, ani włoży na nią kadzidła, bo ofiara to zagrzeszna. "
Leviticus 5:12,"I przyniesie ją do kapłana; i nabierze z niej kapłan pełną garść swoję, w ""znak przypomnienia"", i puści z dymem na ofiarnicy przy ofiarach ogniowych Wiekuistemu: ofiara to zagrzeszna. "
Leviticus 5:13,"I tak rozgrzeszy go kapłan z grzechu jego, którego się dopuścił w którejkolwiek z tych rzeczy, a odpuszczoném mu będzie; pozostałość zaś będzie dla kapłana, jak przy ofierze śniednej."" "
Leviticus 5:14,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 5:15,"""Jeżeliby kto dopuścił się przeniewierstwa, a zgrzeszył niebacznie przeciw świętościom Wiekuistego, przywiedzie wtedy na pokutę Wiekuistemu barana zdrowego z trzody, według oszacowania twojego na srebrne szekle, wedle szekla świętego, - jako ofiarę pokutną. "
Leviticus 5:16,"A co zgrzeszył przeciw świętości wróci, i piątą część nadto dołoży, i odda kapłanowi; kapłan zaś rozgrzeszy go baranem pokutnym, a odpuszczoném mu będzie. "
Leviticus 5:17,"A jeżeliby kto zgrzeszył, a wykroczył przeciw któremu ze wszystkich przykazań Wiekuistego, wzbraniających cokolwiek czynić, a nie wiedział, i stał się winnym, i tak uniósł na sobie winę swą: "
Leviticus 5:18,"Niechaj tedy przyprowadzi barana zdrowego z trzody, według oszacowania twojego, na ofiarę pokutną, do kapłana, i rozgrzeszy go kapłan z uchybienia, którego niebacznie się dopuścił, sam nie wiedząc, a odpuszczoném mu będzie. "
Leviticus 5:19,"Ofiara to pokutna, - zawinić zawinił Wiekuistemu."" "
Leviticus 6:1,I oświadczył Wiekuisty Mojżeszowi i rzekł: 
Leviticus 6:2,"""Jeżeliby kto zgrzeszył, a dopuścił się przeniewierstwa przed Wiekuistym, tém, że zaparł się wobec bliźniego swego co do rzeczy sobie powierzonej, albo wręczonej, albo mu wydartej, albo by ograbił bliźniego swego, "
Leviticus 6:3,"Albo by znalazł zgubę, a zaparł się jej, albo téż przysiągł fałszywie o cokolwiek ze wszystkich rzeczy, których dopuszczając się człowiek, grzeszy przez nie; "
Leviticus 6:4,"Gdyby tedy zgrzeszył, a stał się winnym, niechaj zwróci zdzierstwo, które wydarł, albo grabież, którą zagrabił, albo rzecz powierzoną, która powierzoną mu została, albo zgubę, którą znalazł, -  "
Leviticus 6:5,"Albo téż to, o cokolwiek fałszywie przysiągł: zwróci to w pełnej wartości, a piątą część dołoży do tego; odda je zaś temu, czyje jest, w dzień pokuty swojej. "
Leviticus 6:6,"A pokutę swoję przywiedzie Wiekuistemu, barana zdrowego z trzody, według oszacowania twego, jako ofiarę pokutną, do kapłana. "
Leviticus 6:7,"I rozgrzeszy go kapłan przed Wiekuistym, a odpuszczoném mu będzie w każdej z tych wszystkich rzeczy, którą popełnił, zawiniwszy przez nią."" "
Leviticus 6:8,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 6:9,"""Rozkażesz Ahronowi i synom jego i powiesz: Oto przepis o całopaleniu: ono to całopalenie pozostaje na ognisku, na ofiarnicy, przez całą noc do rana, a ogień ofiarnicy ma być rozżarzany niém. "
Leviticus 6:10,"I przywdziawszy kapłan ubiór swój lniany, i spodnie szaty lniane włożywszy na ciało swoje, zbierze popiół, na który spalił ogień całopalenie na ofiarnicy, a wysypie go podle ofiarnicy. "
Leviticus 6:11,"Poczém zdejmie szaty swe i oblecze się w szaty inne, a wyniesie popiół po za obóz na miejsce czyste. "
Leviticus 6:12,"Ogień zaś na ofiarnicy rozżarzany będzie niém, aby nie wygasł, a rozniecać będzie na niej kapłan drwa każdego rana, i ułoży na niej całopalenie i puści na niej z dymem łoje ofiar opłatnych. "
Leviticus 6:13,"Ogień ustawiczny rozżarzany będzie na ofiarnicy, nie wygaśnie. "
Leviticus 6:14,A oto przepis o ofierze śniednej: przynosić ją będą synowie Ahrona przed oblicze Wiekuistego na przednią stronę ofiarnicy. 
Leviticus 6:15,"I zbierze z niej garścią swoją z przedniej mąki ofiary śniednej, i z oliwy jej, i wszystko kadzidło, które na ofierze śniednej, i puści z dymem na ołtarzu jako woń przyjemną, ten ""znak przypomnienia,"" przed Wiekuistym. "
Leviticus 6:16,A pozostałe z niej jadać będą Ahron i synowie jego. Jako przaśniki jedzoném będzie na miejscu świętém; w dworcu przybytku zboru spożywać to będą. 
Leviticus 6:17,"Nie należy piec tego kiszoném; jako udział ich dałem im to z ogniowych ofiar Moich; świętem świętości to, jak ""zagrzeszna"" i ""pokutna."" "
Leviticus 6:18,"Każdy mężczyzna z potomków Ahrona jeść to może, jako udział na wieki, w pokoleniach waszych, z ofiar ogniowych Wiekuistego: każdy, który się ich dotyka, wyświęconym być musi."" "
Leviticus 6:19,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 6:20,"""Oto ofiara Ahrona i synów jego, którą przyniosą Wiekuistemu, w dzień namaszczenia swego: dziesiąta część efy mąki przedniej na ofiarę śniedną ustawicznie; połowa tego rano, a połowa tego wieczorem. "
Leviticus 6:21,"Na panwi, w oliwie, będzie przyrządzona; wysmażoną przyniesiesz ją; dobrze wypieczoną, jako śniedną ofiarę rozdrobioną, przyniesiesz ją na woń przyjemną Wiekuistemu. "
Leviticus 6:22,"I kapłan téż namaszczony na jego miejsce, z synów jego, spełni to: ustawa to wieczysta Wiekuistemu; cała z dymem puszczoną będzie. "
Leviticus 6:23,"I każda śniedna ofiara kapłańska cała z dymem puszczaną będzie, nie będzie jadana."" "
Leviticus 6:24,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 6:25,"""Powiesz Ahronowi i synom jego tak: oto przepis o ofierze zagrzesznej: Na miejscu, gdzie zarzynają całopalenia, będzie zarzynana ""zagrzeszna"" przed obliczem Wiekuistego; świętością świętości ona. "
Leviticus 6:26,"Kapłan, spełniający obrządek rozgrzeszania, niech spożyje ją; na miejscu świętém spożywaną być powinna, w dworcu przybytku zboru. "
Leviticus 6:27,"Każdy, który się dotyka mięsa jej, wyświęconym być musi; a jeżeliby krwią jej obryzgał szatę, to zbryzganą wypierzesz na miejscu świętém. "
Leviticus 6:28,"Naczynie téż gliniane, w którém się gotowała, stłuczone być ma; jeżeliby zaś w naczyniu miedzianém gotowaną była, - to należy wyczyścić je i wypłukać wodą. "
Leviticus 6:29,Każdy mężczyzna z pośród kapłanów jeść ją może; świętością to świętości. 
Leviticus 6:30,"Ale żadna ofiara zagrzeszna, której krew wnosi się do przybytku zboru, dla rozgrzeszenia w świątyni, nie będzie jadana: na ogniu spaloną będzie. "
Leviticus 7:1,A oto przepis o ofierze pokutnej: świętością świętości ona. 
Leviticus 7:2,"Na miejscu, gdzie zarzynają całopalenia, zarzynać będą ""pokutną,"" a krwią jej pokropią ofiarnicę w około. "
Leviticus 7:3,"A wszystek łój jej należy przynieść z niej, ogon i łój pokrywający trzewa, "
Leviticus 7:4,"I obie nerki z łojem, który na nich, który nad połędwicami, i przeponę na wątrobie, - wraz z nerkami ją oddzieli. "
Leviticus 7:5,"I puści to z dymem kapłan na ofiarnicy, jako ofiarę ogniową Wiekuistemu. Ofiara to pokutna. "
Leviticus 7:6,Każdy mężczyzna z pośród kapłanów jeść ją może; na miejscu świętém spożywaną będzie: świętością świętości ona. 
Leviticus 7:7,"Jako ""zagrzeszna"", tak i ""pokutna"", - jednaki przepis mają; do kapłana, który rozgrzesza nią, należeć będzie. "
Leviticus 7:8,"A kapłan, który przynosi całopalenie czyjekolwiek: skóra całopalenia do niego, do kapłana, ma należeć. "
Leviticus 7:9,"Każda téż ofiara śniedna, w piecu upieczona, i wszystko, co przyrządzoném zostało w rądlu, albo na panwi, do niego, do kapłana, który ją przynosi, należeć będzie. "
Leviticus 7:10,"Ale wszelka ofiara śniedna zaczyniona oliwą, albo sucha, do wszystkich synów Ahrona należeć będzie, - tak do jednego, jak i do drugiego. "
Leviticus 7:11,"A oto przepis o ofierze opłatnej, którą się przynosi Wiekuistemu: "
Leviticus 7:12,"Jeżeli ją kto na dziękczynienie przynosi, wtedy przyniesie przy tej ofierze dziękczynnej kołacze przaśne, zaczynione oliwą, i ołatki przaśne, posmarowane oliwą, i mąkę przednią, wysmażoną na kołacze zaczynione oliwą. "
Leviticus 7:13,"Wraz z kołaczami kiszonego chleba powinien przynosić ofiarę swoję, przy ofierze dziękczynno-opłatnej swojej. "
Leviticus 7:14,"I niechaj przynosi z tego, jeden z każdej ofiary, jako dań Wiekuistemu; do kapłana, kropiącego krwią ofiar opłatnych, do niego należeć to będzie. "
Leviticus 7:15,Mięso zaś ofiary dziękczynno-opłatnej w dzień ofiarowania jej spożytém będzie; nie należy zostawiać z tego do jutra. 
Leviticus 7:16,"A jeżeli ślubem, albo dobrowolnym darem ofiara jego, to w dzień złożenia ofiary jego spożytą będzie; i nazajutrz téż, coby z niej pozostało, spożytém być może; "
Leviticus 7:17,"Coby zaś zostało z mięsa tej ofiary do trzeciego dnia, na ogniu spaloném będzie. "
Leviticus 7:18,"A jeżeliby jednak jedzoném było mięso tej ofiary opłatnej dnia trzeciego, to nie będzie upodobaną. Kto ją przyniósł, temu się ona nie policzy: obrzydliwością będzie; a ktoby jadł z niej, winę swą poniesie. "
Leviticus 7:19,"Mięso to, któreby się dotknęło czego nieczystego, jadaném nie będzie; na ogniu należy je spalić; mięso to - każdy czysty może jeść to mięso. "
Leviticus 7:20,"Ale ktokolwiekby jadł mięso z ofiary opłatnej, ofiarowanej Wiekuistemu, mając nieczystość na sobie: wytracona będzie dusza ta z ludu swojego. "
Leviticus 7:21,"A jeżeli kto, dotknąwszy się czego nieczystego, bądź nieczystości człowieczej, bądź nieczystego zwierzęcia, bądź jakiegokolwiek potworu nieczystego, będzie jadł mięso ofiary opłatnej poświęconej Wiekuistemu, - wytracona będzie dusza ta z ludu swojego."" "
Leviticus 7:22,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 7:23,"""Powiedz synom Israela tak: żadnego łoju z wołu, ani z owcy, ani z kozy jeść nie będziecie. "
Leviticus 7:24,"A łój padliny i łój rozszarpanego, użytym być może do wszelakiej potrzeby; jeść jednak, jadać go nie będziecie. "
Leviticus 7:25,"Bo ktobykolwiek jadł łój z bydląt, z których przynosi się ofiara ogniowa Wiekuistemu, dusza, któraby to jadła, wytracona będzie z ludu swojego. "
Leviticus 7:26,"Żadnej téż krwi jadać nie będziecie we wszystkich siedzibach waszych, ani z ptactwa, ani z bydląt: "
Leviticus 7:27,"Każdy, który jeść będzie jakąkolwiek krew, - dusza któraby ją jadła, wytraconą będzie z ludu swojego"". "
Leviticus 7:28,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 7:29,"""Powiedz synom Israela tak: ktoby przyniósł ofiarę opłatną swoję Wiekuistemu, niechaj sam przyniesie ofiarę swoję Wiekuistemu, z ofiary swej opłatnej; "
Leviticus 7:30,"Jego ręce niech przyniosą ogniowe ofiary Wiekuistego; łój wraz z mostkiem niech przyniesie: mostek, aby stawić go jako przedstawienie przed obliczem Wiekuistego; "
Leviticus 7:31,I puści z dymem kapłan łój na ofiarnicy; a będzie mostek dla Ahrona i synów jego. 
Leviticus 7:32,Łopatkę téż prawą oddacie jako podniesienie kapłanowi z ofiar waszych opłatnych. 
Leviticus 7:33,"Kto z synów Ahrona przynosi krew z ofiar opłatnych i łój, temu dostanie się i łopatka prawa w udziale. "
Leviticus 7:34,"Albowiem mostek przedstawienia i łopatkę podniesienia wziąłem od synów Israela z ofiar ich opłatnych, i oddałem je Ahronowi, kapłanowi, i synom jego, jako część wyznaczoną na wieki, od synów Israela."" "
Leviticus 7:35,"Oto udział uświęcony Ahrona i udział uświęcony synów jego, z ogniowych ofiar Wiekuistego, od dnia, w którym dano im przystąpić do piastowania kapłaństwa Wiekuistemu, "
