Index Title,Habakkuk
Habakkuk 3:10,"Na widok twój dygocą góry, wylew wód wzbiera, toń wydaje szum swój, ku wysokości podnosi ręce swoje! "
Habakkuk 3:11,"Słońce i księżyc stanęły w swym okręgu - przy świetle strzał Twoich postępują, przy blasku łyskającej się włóczni twojej! "
Habakkuk 3:12,"W gniewie kroczysz po ziemi, w zapalczywości depcesz narody. "
Habakkuk 3:13,"Występujesz na pomoc Twemu ludowi, na pomoc pomazańcowi Twojemu, strącasz szczyt z domu niegodziwca, obnażasz grunt aż po szyję - Sela. "
Habakkuk 3:14,"Przebijasz w pośród pokoleń jego, głowę ich wodzów, co to wichrem pędzą, aby mnie rozproszyć; sam okrzyk ich jakby pochłonąć ma biednego w kryjówce. "
Habakkuk 3:15,"Kroczyłeś po morzu rumakami Twoimi, po wzburzonych wodach wielkich. "
Habakkuk 3:16,"Usłyszałem i zadrżał żywot mój, na samą wieść zadrgały wargi moje. Jakby rdza przenikła kości moje, a na miejscu swojem zatrząsłem się - który czekać mam na dzień niedoli, aż nadciągnie przeciw ludowi ten, który go zgnębi. "
Habakkuk 3:17,"Bo figowiec nie zakwitnie, a plonu nie będzie na winogradach, pochybi pęd oliwnika, a łany nie dostarczą pożywienia, znikną z hurt owce, a nie będzie rogacizny w oborach. "
Habakkuk 3:18,"A jednak cieszyć się będę w Wiekuistym, radować Bogiem zbawienia mojego. "
Habakkuk 3:19,"Wiekuisty, Pan, siłą moją! Uczyni On nogi moje jakby jeleni, a po wyżynach moich mnie powiedzie! - Przewodnikowi chóru przy towarzyszeniu instrumentów smyczkowych. "
