Index Title,II Kings
II Kings 2:17,"Gdy nań jednak aż do uprzykrzenia naglili, rzekł: Wyszlijcie tedy! I wysłali pięćdziesięciu ludzi; ci szukali przez trzy dni, ale nie znaleźli. "
II Kings 2:18,"Wrócili tedy do niego, gdy jeszcze w Jerycho bawił, i rzekł do nich: Alboż nie powiedziałem wam, żebyście nie poszli? "
II Kings 2:19,"I rzekli mieszkańcy miasta do Eliszy: Oto położenie miasta jest dobre, jak to pan nas widzi; ale woda jest zła, a tak przyczynia się do wyludniania okolicy. "
II Kings 2:20,"Rzekł tedy: Przynieście mi czaszę nową, a włóżcie w nią soli. A gdy mu to przynieśli, "
II Kings 2:21,"Wyszedł do źródła wody, a wrzuciwszy tam soli, rzekł: Tak rzecze Wiekuisty: Uzdrowiłem te wody; odtąd nie przyczyni więcej ani śmierci ani wyludnienia. "
II Kings 2:22,"Tak stała się wodą zdrową, aż po dzień dzisiejszy, wedle słowa, które wyrzekł Elisza. "
II Kings 2:23,"I wstąpił ztamtąd do Bethel. A gdy właśnie wstępował drogą, wyszli mali chłopcy z miasta i urągali mu, wołając: Idźże łysy, idźże łysy! "
II Kings 2:24,"A gdy odwrócił się za siebie i spostrzegł ich, złorzeczył im w imieniu Wiekuistego. Wyszły tedy dwie niedźwiedzice z lasu i rozszarpały czterdzieści dwoje z tych dzieci. "
II Kings 2:25,"Stamtąd udał się do góry Karmel, skąd wrócił do Samaryi. "
II Kings 3:1,"Joram zaś, syn Ahaba, objął rządy nad Izraelem w Samaryi ośmnastego roku Jozafata, króla judzkiego, i panował dwanaście lat. "
II Kings 3:2,"I czynił co niegodziwem było w oczach Wiekuistego, wszakże nie tak jak ojciec i matka jego. Usunął bowiem posąg Baala, który sporządził ojciec jego. "
II Kings 3:3,"Do grzechów jednak Jerobeama, syna Nebata, do których uwiódł Izraela, lgnął silnie a nie zaniechał tego. "
II Kings 3:4,"Mesza zaś, król Moabu, był hodowcą trzód, i składał królowi izraelskiemu w dani po sto tysięcy jagniąt, i ze stu tysięcy baranów wełnę. "
II Kings 3:5,"Gdy tedy umarł Ahab, zbuntował się król Moabu przeciw królowi izraelskiemu. "
II Kings 3:6,I wyruszył król Joram onego czasu z Samaryi i zlustrował całego Izraela. 
II Kings 3:7,"I posłał do Jozafata, króla judzkiego, i kazał powiedzieć: Król Moabu zbuntował się przeciw mnie; czy wyruszysz ze mną do Moabu na wojnę? I odpowiedział: Wyruszę, rozporządzaj mną jak samym sobą, ludem moim jak ludem twoim, końmi moimi jak końmi twoimi. "
II Kings 3:8,I zapytał się: Którąż drogą wyruszysz? I odpowiedział: Drogą przez puszczę edomicką! 
II Kings 3:9,"I tak wyruszył król izraelski i król judzki i król Edomu. Gdy jednak krążyli przez siedm dni drogi, zbrakło wody wojsku i bydłu, które ciągnęło za nimi. "
II Kings 3:10,"I zawołał król izraelski: Biada! Wiekuisty wezwał tu trzech tych królów, aby wydać ich w moc Moabitów. "
II Kings 3:11,"Jozafat jednak rzekł: Czy niema tu proroka Wiekuistego, abyśmy radzili się przezeń Wiekuistego? Odezwał się tedy jeden ze sług króla izraelskiego, i rzekł: Jest tu Elisza, syn Szafata, który wylewał wodę na ręce Eljasza. "
II Kings 3:12,I rzekł Jozafat: Jest przy nim słowo Wiekuistego! Zstąpili tedy do niego król izraelski i Jozafat i król Edomu. 
II Kings 3:13,"I rzekł Elisza do króla izraelskiego: Cóż mi wspólnego z tobą? Idź do proroków twego ojca i do proroków twej matki. Król jednak izraelski rzekł do niego: Nie! bo wezwał Wiekuisty trzech tych królów, aby ich wydać w moc Moabitów. "
II Kings 3:14,"Rzekł tedy Elisza: Żyw Wiekuisty zastępów, Bóg Izraela, w którego służbie stoję, że gdybym nie uwzględniał oblicza Jozafata, króla judzkiego, nie spojrzałbym na cię, ani baczył na ciebie! "
II Kings 3:15,Teraz jednak sprowadźcie mi grajka! Za każdym razem gdy grajek zagrał tknęła go moc Wiekuistego. 
II Kings 3:16,I rzekł: Tak rzecze Wiekuisty: Poczyńcie w tej dolinie rów przy rowie! 
II Kings 3:17,"Albowiem tak rzekł Wiekuisty: Nie zobaczycie ani wiatru ani deszczu, a jednak napełni się ta dolina wodą, tak że będziecie pili, wy i stada i bydło wasze. "
II Kings 3:18,A to zbyt błahem jeszcze dla Wiekuistego; wyda On i Moabitów w moc waszą. 
II Kings 3:19,"I zburzycie wszystkie miasta warowne i wszystkie miasta główne, i wytniecie wszystkie drzewa owocowe, i zatamujecie wszystkie źródła wód, a wszystkie pola przedniejsze zawalicie kamieniami. "
II Kings 3:20,"I stało się zrana, w porze składania ofiary śniednej, a oto przypłynęła nagle woda ze strony Edomu, a kraj napełnił się wodą. "
II Kings 3:21,"Usłyszawszy jednak wszyscy Moabici, że nadciągnęli królowie, aby uderzyć na nich, zwołali wszystko, co tylko pasem się mogło przepasać, i stanęli nad granicą. "
II Kings 3:22,"Wstawszy jednak zrana nazajutrz, gdy słońce nad wodą zabłysło, ukazała się Moabitom woda zdaleka, czerwona niby krew. "
II Kings 3:23,"I zawołali: To krew! Zapewne wyniszczyli się wzajemnie królowie i porazili jeden drugiego. A teraz do łupów, Moabici! "
II Kings 3:24,"Gdy jednak dotarli do obozu izraelskiego, wyruszyli Izraelici i pobili Moabitów, tak że pierzchnęli przed nimi; poczem wtargnęli do kraju, rażąc wciąż Moabitów. "
II Kings 3:25,"I zburzyli miasta; każde też pole przedniejsze zarzucili każdy kamieniem swoim, tak że je nimi zapełnili, i zatamowali wszystkie źródła wód, i popodcinali wszystkie drzewa owocowe, tak że zostawili tylko kamienie Kir-Chareszetu, które otoczyli procarze, aby je porazić. "
II Kings 3:26,"Widząc zaś król Moabu, że uledz musi w walce, zabrał ze sobą siedmset ludzi dobywających miecza, aby przebić się do króla Edomu; ale nie powiodło się im. "
II Kings 3:27,"Wziął tedy pierworodnego syna swojego, który miał panować po nim, i złożył go jako całopalenie na murze, tak że opadła Izraelitów zgroza wielka. I odstąpili od niego i cofnęli się do kraju. "
II Kings 4:1,"Kobieta zaś niejaka z żon wychowańców prorockich uskarżała się przed Eliszą i rzekła: Sługa twój, mąż mój, umarł, a wiadomo ci, jak sługa twój obawiał się Wiekuistego, a oto przyjść ma wierzyciel, aby sobie zabrać dwoje dzieci moich za niewolników. "
II Kings 4:2,"I rzekł do niej Elisza: Cóż mogę czynić dla ciebie? Powiedz mi jednak, co masz w domu? I rzekła: Nie ma służebnica twoja nic w domu, prócz bańki oliwy. "
II Kings 4:3,"I rzekł: Idź, pożycz sobie naczyń z ulicy, od wszystkich sąsiadów twoich - naczyń próżnych, wszakże nie bierz za mało. "
II Kings 4:4,"A wróciwszy do domu zamknij drzwi za sobą i za synami twoimi, a nalej we wszystkie naczynia - które zaś pełne będzie, każ odstawić. "
II Kings 4:5,"I tak odeszła od niego, i zamknęła drzwi za sobą i za synami swoimi: ci podawali jej, a ona nalewała. "
II Kings 4:6,"A gdy już pełne były naczynia, rzekła do syna swego: Podaj mi jeszcze naczynie, ale on jej odpowiedział: Niema więcej naczynia. I zatrzymała się oliwa. "
II Kings 4:7,"Poszła tedy i powiedziała to mężowi Bożemu, on zaś rzekł: Idź, sprzedaj tę oliwę, a zapłać dług swój, ty zaś i synowie twoi żywcie się tem, co pozostało. "
II Kings 4:8,"I zdarzyło się pewnego dnia, że przechodził Elisza, przez Szunem, a mieszkała tam niewiasta znamienita która go znagliła, aby posilił się chlebem; i bywało ile razy tamtędy przechodził, wstępował do niej, aby posilić się chlebem. "
II Kings 4:9,"Rzekła tedy do męża swego: Oto przekonałam się, że ten mąż Boży świętym jest, który tędy często przechodzi. "
II Kings 4:10,"Sporządźmy mu, proszę, poddasze murowane, małe, a postawmy tam łóżko i stół i krzesło i świecznik, aby ile razy do nas zawita, tam zajść mógł. "
II Kings 4:11,"I stało się pewnego dnia, gdy tam znowu zaszedł, a wstąpił na owo poddasze i spoczął tam, "
II Kings 4:12,"Że rzekł do Giechazego, sługi swego: Zawołaj mi tej Sunamitki. I zawołał ją, i stanęła przed nim. "
II Kings 4:13,A rzekł był doń: Powiedz że jej: Oto nabawiłaś się dla nas całego tego niepokoju; coby uczynić dla ciebie? Czyby przemówić za tobą u króla albo u hetmana? Ona wszakże odparła: Wpośród współplemieńców moich spokojnie przebywam. 
II Kings 4:14,"I rzekł: Cóż tedy czynić dla niej? I odpowiedział Giechazy: Przecież syna nie ma, a mąż jej stary. "
II Kings 4:15,"I rzekł: Zawołaj jej! I zawołał jej, i stanęła znowu we drzwiach. "
II Kings 4:16,"I rzekł: O porze tej, około czasu bieżącego, będziesz piastowała syna. I odpowiedziała: Nie, panie mój, mężu Boży! nie czyń płonnych nadziei służebnicy twojej! "
II Kings 4:17,"Ale poczęła ona niewiasta i urodziła syna o tej samej porze, około czasu bieżącego, jak był zapowiedział jej Elisza. "
II Kings 4:18,"I podrosło dziecię. I stało się pewnego dnia, że wyszło do ojca swego do żniwiarzy. "
II Kings 4:19,"Nagle zawołało do ojca swego: Głowa moja, głowa moja! Rzekł tedy do sługi: Zanieś je do matki jego. "
II Kings 4:20,"A ten wziął je i zaniósł do matki jego; i pozostawało na kolanach jej aż do południa, i zmarło. "
II Kings 4:21,"Poszła tedy na górę i położyła je na łożu męża Bożego, a zamknąwszy za niem wyszła. "
II Kings 4:22,"Poczem przyzwała męża swego, i rzekła: Przyślij mi którego ze sług i jedną oślicę, podążę do męża Bożego i zaraz wrócę. "
II Kings 4:23,"I rzekł: Pocóż chcesz iść dzisiaj do niego, gdy ani nów ani sabbat? I rzekła: Bądź zdrów! "
II Kings 4:24,"I tak osiodławszy oślicę, rzekła do sługi swego: Prowadź, a idź naprzód, a nie powstrzymuj mnie w jeździe, chyba że ci to rozkażę. "
II Kings 4:25,"I tak wyruszyła i przybyła do męża Bożego u góry Karmel. Zaledwie spostrzegł ją mąż Boży zdaleka, rzekł do Giechazego, sługi swego: Otóż Sunamitka owa! "
II Kings 4:26,"Przeto pobiegnijże jej naprzeciw, a zapytaj jej: A zdrowaś ty? A zdrów li twój mąż? A zdrowe że dziecię twoje? I odpowiedziała: Zdrowi. "
II Kings 4:27,"A gdy przyszła do męża Bożego na górę, objęła nogi jego, i przystąpił Giechazy, aby ją odepchnąć. Ale mąż Boży rzekł: Zostaw ją, albowiem dusza jej w goryczy jest, a Wiekuisty zataił przedemną przyczynę, i nie oznajmił mi. "
II Kings 4:28,I rzekła: Albo żądałam syna od pana mojego? Czyżem raczej nie mówiła: Nie zwódź mnie! 
II Kings 4:29,"Rzekł tedy do Giechazego: Przepasz biodra twoje, a weź laskę moją w rękę twą, a idź; kogokolwiek byś nie spotkał, nie pozdrawiaj go, a gdyby cię kto pozdrowił, nie odpowiadaj mu, a połóż laskę moją na oblicze chłopca. "
II Kings 4:30,"Ale matka chłopca rzekła: Jako żyw Wiekuisty i jako żywa dusza twoja, że cię nie puszczę! I tak powstał i poszedł za nią. "
II Kings 4:31,"Giechazy zaś był ich wyprzedził i położył laskę na obliczu chłopca, lecz nie było ani głosu ani znaku czucia. Tedy wrócił się mu naprzeciw i oznajmił mu, i rzekł: Nie ocuciło się chłopię. "
II Kings 4:32,"A gdy wszedł Elisza do domu, a oto chłopię martwe leżało na łożu jego. "
II Kings 4:33,"I wszedł i zamknął drzwi przed obojgiem, i modlił się Wiekuistemu. "
II Kings 4:34,"I wstąpił na łoże i położył się na dziecięciu i przyłożył usta swoje do ust jego, a oczy swoje do oczu jego, i pochylił się nad niem tak, że rozgrzało się ciało dziecięcia. "
II Kings 4:35,"A odwróciwszy się od niego, przechadzał się po domu tam i napowrót, poczem wstąpił i pochylił się znowu nad niem; wtedy kichnęło chłopię aż do siódmego razu, i otworzyło nareszcie chłopię oczy swoje. "
II Kings 4:36,"Wezwał wtedy Giechazego, i rzekł: Zawołaj tej Sunamitki! I zawołał jej, a gdy przyszła do niego, rzekł: Zabierz syna twego! "
II Kings 4:37,"I weszła i upadła do nóg jego, i pokłoniła się aż ku ziemi, i zabrała syna swego i wyszła. "
II Kings 4:38,"Elisza zaś powrócił znowu do Gilgalu, podczas gdy głód w kraju panował. Gdy tedy wychowańcy proroccy przed nim siedzieli, rzekł do sługi swojego: Przystaw garnek największy, a uwarz potrawę dla wychowańców prorockich. "
II Kings 4:39,"Wyszedł tedy jeden na pole, by zbierać zioła, i znalazł łozę dziką, i nabrał ztąd ogórków dzikich pełną swa szatę, i wrócił i wkroił je do garnka przeznaczonego dla strawy, bo nie znali ich. "
II Kings 4:40,"Poczem rozlano to dla onych mężów, aby jedli. Zaledwie jednak skosztowali potrawy, krzyknęli i zawołali: Śmierć w tym garnku, o mężu Boży! A nie mogli jeść. "
II Kings 4:41,"On wszakże rzekł: Przynieście tylko mąki! A gdy wsypał ją do garnka, rzekł: Rozlej to dla tych ludzi, aby jedli! A nie było już nic szkodliwego w garnku. "
II Kings 4:42,"I przyszedł człowiek z Baal-Szalisza i przyniósł mężowi Bożemu chleb z pierwocin, dwadzieścia chlebów jęczmiennych i świeże ziarna w torbie swojej. I rzekł: Podaj to tym ludziom, aby się posilili. "
II Kings 4:43,"I odpowiedział sługa jego: Jakże mi położyć to przed stu ludzi? On wszakże rzekł: Daj tylko tym ludziom, aby się posilili, gdyż tak powiedział Wiekuisty: Będą jedli, a jeszcze zostawią. "
II Kings 4:44,I położył przed nich i posilili się i zostawili wedle słowa Wiekuistego. 
II Kings 5:1,"Naaman zaś, hetman wojsk króla aramejskiego, był to mąż znakomity u pana swego i wysoce poważany, gdyż przez niego dał Wiekuisty zwycięstwo Aramowi, a był ten mąż - ów bohater dzielny - trędowatym. "
II Kings 5:2,"A z Aramu wyciągnęły były oddziały najezdnicze i uprowadziły z ziemi izraelskiej dziewczynkę małą, która zostawała na służbie u żony Naamana, "
II Kings 5:3,"I rzekła ona do pani swej: O, gdyby się też dostał pan mój do proroka w Samaryi, tedy by go uwolnił od trądu jego! "
II Kings 5:4,"Poszedł tedy i opowiedział to panu swemu, mówiąc: Tak a tak mówiła dziewczynka pochodząca z ziemi izraelskiej. "
II Kings 5:5,"I rzekł król Aramu: Idź, zajdź tam, a poszlę pismo do króla izraelskiego. I poszedł i wziął ze sobą dziesięć talentów srebra, i sześć tysięcy sztuk złota, i dziesięć szat przemiennych. "
II Kings 5:6,"I przyniósł pismo do króla izraelskiego tej treści... A teraz skoro cię dojdzie to pismo, oto posłałem do ciebie Naamana, sługę mojego, abyś go uwolnił od trądu. "
II Kings 5:7,"I stało się gdy przeczytał król izraelski pismo, że rozdarł szaty swoje i zawołał: Alboż ja Bóg, który uśmierca i ożywia iż ten posyła po mnie, abym uwolnił człowieka od trądu jego? Ale chciejcie rozważyć a pojmiecie, że ten przyczepić się chce do mnie. "
II Kings 5:8,"Gdy tedy usłyszał Elisza, mąż Boży, iż rozdarł król izraelski szaty swoje, posłał do króla, mówiąc: Czemu rozdarłeś szaty twoje? Niechaj przyjdzie do mnie, a dowie się, że jest prorok w Izraelu. "
II Kings 5:9,I tak przybył Naaman z końmi i wozami swymi i stanął u wejścia domu Eliszy. 
II Kings 5:10,"I wysłał doń Elisza posłańca, mówiąc: Idź a wykąp się siedmkroć w Jordanie, a uzdrowi się ciało twoje, a będziesz czysty. "
II Kings 5:11,"Oburzył się tedy Naaman i poszedł, mówiąc: Oto mniemałem iż do mnie wyjdzie, że stanie i wezwie imienia Wiekuistego, Boga swojego, że powiedzie ręką swą nad miejscem zakażonem i tak trędowatego uleczy. "
II Kings 5:12,"Alboż nie lepsze Amana i Parpar, rzeki Damaszku, niż wszystkie wody izraelskie? Czyżbym nie mógł się w nich kąpać, aby się oczyścić? I zwrócił się i poszedł, pałając gniewem. "
II Kings 5:13,"Ale przystąpili doń słudzy jego, i przemawiali do niego i rzekli: Ojcze! gdyby co wielkiego prorok ci zalecił - czyżbyś tego nie spełnił? O ileż bardziej gdy ci powiedział: Wykąp się, a będziesz czysty. "
II Kings 5:14,Zeszedł tedy i zanurzył się w Jordanie siedmkroć podług słowa męża Bożego; i uzdrowiło się ciało jego niby ciało młodego chłopca i został czystym. 
II Kings 5:15,"Powrócił wtedy do męża Bożego, on i cały orszak jego, i wszedł i stanął przed nim, i rzekł: Oto teraz poznaję, że niemasz Boga na całej ziemi tylko w Izraelu, a teraz proszę, przyjm upominek od sługi twojego. "
II Kings 5:16,"Ten wszakże odparł: Żyw Wiekuisty, przed którym stoję, że nic nie przyjmę; i nalegał nań, aby przyjął, lecz ten się wzbraniał. "
II Kings 5:17,"I rzekł Naaman: Jeżeli tedy nie, niechże użyczonem będzie słudze twemu brzemię na zaprzęg dwóch mułów ziemi, albowiem nie będzie składał więcej sługa twój całopaleń i rzeźnych ofiar bogom cudzym, a jedynie Wiekuistemu. "
II Kings 5:18,"Wszakże w tej mierze niech odpuści Wiekuisty słudze twemu: Gdy wchodzi pan mój do domu Rymona, by się tam korzyć, przyczem wspiera się na ramieniu mojem, muszę się i ja ukorzyć w domu Rymona; jeżeli się tedy ukorzę w domu Rymona, niechaj raczy Wiekuisty wybaczyć słudze Swemu w tej mierze. "
II Kings 5:19,"I rzekł do niego: Idź w pokoju! A gdy oddalił się od niego na pewną przestrzeń kraju, "
II Kings 5:20,"Pomyślał sobie Giechazy, sługa Eliszy, męża Bożego: Oto oszczędził pan mój tego Aramejczyka, Naamana, a nie przyjął od niego co przyniósł. Żyw Wiekuisty, muszę pobiedz za nim i dostać coś od niego. "
II Kings 5:21,"I tak pobiegł Giechazy za Naamanem. A gdy spostrzegł Naaman, że ktoś za nim pędzi, zeskoczył z wozu mu naprzeciw, i rzekł: Czy wszystko dobrze? "
II Kings 5:22,"I odpowiedział: Dobrze. Pan mój posyła mnie i każe ci powiedzieć: Oto przybyli właśnie dwaj młodzieńcy z gór efraimskich, należący do wychowańców prorockich; chciej też dać dla nich talent srebra i dwie szaty przemienne. "
II Kings 5:23,"I odpowiedział Naaman: Bierz śmiało dwa talenty! I nalegał nań, i zawiązał dwa talenty srebra w dwóch kiesach i dwie szaty przemienne, i oddał to dwóm swym sługom, którzy nieśli to przed nim. "
II Kings 5:24,"Gdy jednak doszedł do wzgórza, odebrał to z rąk ich i schował w domu, i odprawił ludzi i poszli. "
II Kings 5:25,"Poczem wszedł i stanął przed panem swoim. Elisza jednak zapytał go: Skąd to, Giechazy? I odpowiedział: Nie był sługa twój nigdzie. "
II Kings 5:26,"On wszakże rzekł do niego: Czyżem nie towarzyszył ci w duchu moim, gdy się ktoś z wozu swego ku tobie zwrócił? Czyż to czas brać srebro, aby nabyć szaty i oliwniki i winnice, trzody, rogaciznę, niewolników i niewolnice? "
II Kings 5:27,Niechaj przylgnie tedy trąd Naamana do ciebie i do rodu twego na zawsze! I wyszedł od niego biały jak śnieg z trądu. 
II Kings 6:1,"I rzekli wychowańcy proroccy do Eliszy: Oto jest teraz miejsce, w którem siedzimy przed tobą, zbyt szczupłe dla nas. "
II Kings 6:2,"Pozwól nam pójść nad Jordan i zabrać stamtąd każdy po bierwionie jednem, abyśmy urządzili sobie tam siedzibę, gdziebyśmy osiąść mogli. I rzekł: Idźcie. "
II Kings 6:3,Jeden z nich zaś prosił: Chciejże łaskawie pójść ze sługami twoimi. I odpowiedział: Pójdę i ja. 
II Kings 6:4,"I tak poszedł z nimi. Gdy tedy przybyli nad Jordan, ścinali drzewa. "
II Kings 6:5,"Gdy tedy jeden obalał bierwiono, wpadło żelezco do wody. Krzyknął tedy i zawołał: O, panie mój, jest ono nadto pożyczone! "
II Kings 6:6,"Mąż Boży jednak rzekł: Gdzież spadło? Gdy mu tedy miejsce wskazał, ściął kij i wrzucił go tam, i sprawił że ono żelezco wypłynęło. "
II Kings 6:7,Poczem rzekł: Podnieś je sobie! I wyciągnął rękę swą i zabrał je. 
II Kings 6:8,"Gdy tedy toczył król aramejski wojnę z Izraelem, naradzał się ze sługami swoimi, i rzekł: Na tem a na tem miejscu stanie obóz mój. "
II Kings 6:9,"Posłał tedy mąż Boży do króla izraelskiego, by mu powiedzieć: Strzeż się, abyś nie przechodził mimo miejsca tego, gdyż tam rozłożeni Aramejczycy. "
II Kings 6:10,"Poczem posyłał król izraelski do tego miejsca, które mu mąż Boży oznaczył. I tak ostrzegał go wciąż, a miał się na ostrożności na tem miejscu, a działo się to nie raz tylko i nie dwa razy. "
II Kings 6:11,"I wzburzyło się serce króla aramejskiego z powodu tego, i zwołał sługi swoje, i rzekł do nich: Czy nie możecie mi powiedzieć, kto z naszych z królem izraelskim trzyma? "
