Index Title,Ecclesiastes
Ecclesiastes 3:5,"Czas rozrzucania kamieni, i czas zbierania kamieni, czas pieszczoty i czas oddalania się od pieszczot. "
Ecclesiastes 3:6,Czas szukania i czas tracenia; czas chowania i czas odrzucania. 
Ecclesiastes 3:7,Czas rozdzierania i czas zszywania; czas milczenia i czas mówienia. 
Ecclesiastes 3:8,Czas miłowania i czas nienawidzenia; czas wojny i czas pokoju. 
Ecclesiastes 3:9,Jakąż tedy korzyść odnosi pracujący z całej pracy swojej? 
Ecclesiastes 3:10,"Widziałem popęd, który złożył Bóg w synach ludzkich, aby się nim trapili. "
Ecclesiastes 3:11,"Wszystko urządził pięknie w swoim czasie, i wieczność też złożył w sercu ich; tylko że nie zdolny człowiek dzieła tego, które Bóg urządził, od początku do końca dojść. "
Ecclesiastes 3:12,"Przekonałem się stąd, że nie mają nic lepszego dla siebie jak tylko, aby się każdy cieszył i sobie dogadzał w życiu swojem. "
Ecclesiastes 3:13,"Ale również, że aby kto jadł i pił i sobie dogadzał przy całej pracy swojej, tylko darem jest Bożym. "
Ecclesiastes 3:14,"Przekonałem się, że cokolwiek Bóg uczynił na wieki trwa; że nie można do tego nic dodać, ani z tego nic ująć: - Bóg to tak urządził, aby się Go obawiano. "
Ecclesiastes 3:15,"To co się odbywa, już dawno jest, a co być ma już dawno istniało; a Bóg odszukuje co wypartem zostało. "
Ecclesiastes 3:16,"Nadtom widział jeszcze pod słońcem: na miejscu prawa było bezprawie, a na miejscu sprawiedliwości niegodziwość. "
Ecclesiastes 3:17,"I rzekłem sam do siebie: sprawiedliwego i niegodziwego osądzi Bóg, bo czas dla każdego przedsięwzięcia i dla każdej czynności tam. "
Ecclesiastes 3:18,"Rzekłem sam do siebie: Gwoli synom ludzkim to bywa, aby ich Bóg doświadczył i aby poznali, że tylko do bydła są podobni. "
Ecclesiastes 3:19,"Bo przeznaczenie ludzi i przeznaczenie bydła - jednakowe przeznaczenie ich: bo jaka śmierć jednego, taka śmierć drugiego a jedno tchnienie mają wszyscy, a wyższości człowieka nad bydlęciem niema, bo wszystko marność. "
Ecclesiastes 3:20,Wszystko idzie na jedno miejsce: wszystko powstaje z prochu i wszystko znów w proch się obraca. 
Ecclesiastes 3:21,"Któż to wie, czy duch synów ludzkich w górę się wznosi, i czy duch bydlęcia nadół ku ziemi zstępuje? "
Ecclesiastes 3:22,"Widziałem tedy, że niemasz nic lepszego dla człowieka nad to, aby się cieszył sprawami swojemi, bo to udział jego; któż bowiem go poprowadzi, aby ujrzał co będzie po nim? "
Ecclesiastes 4:1,"Poczem znów ujrzałem wszystkie ciemięztwa, które się dzieją pod słońcem: a oto łzy ciemiężonych, ale niemasz ktoby ich pocieszył, a z ręki ciemięzców swoich doznawają krzywdy, ale niemasz ktoby ich pocieszył. "
Ecclesiastes 4:2,"I mieniłem szczęśliwszymi zmarłych, którzy dawno pomarli, nad tych, którzy dotąd jeszcze przy życiu zostali. "
Ecclesiastes 4:3,"A szczęśliwszym nad obu, tego, który jeszcze wcale nie istniał, który nie widział tych spraw niecnych, które się dzieją pod słońcem. "
Ecclesiastes 4:4,"Widziałem też cały trud i całą sprawność w każdej czynności, że to tylko współzawodnictwo jednego wobec drugiego. I to marność i pogoń za wiatrem. "
Ecclesiastes 4:5,Bezmyślny składa swe ręce i pożera własne swe ciało: 
Ecclesiastes 4:6,"Lepsza pełna dłoń ze spokojem, niżeli obie pełne garści z trudem i pogonią za wiatrem. "
Ecclesiastes 4:7,I znowu widziałem marność pod słońcem; 
Ecclesiastes 4:8,"Stoi jeden samotnie, niemając nikogo - niema ani syna ani brata, a jednak niemasz końca wszelakiej pracy jego, oko też jego nie może się nasycić bogactwem. Ale dla kogoż ja pracuję a pozbawiam się dobrego? I to marność i czczy popęd. "
Ecclesiastes 4:9,"Lepiej we dwóch być niż samemu, mają bowiem pożytek dobry z pracy swojej. "
Ecclesiastes 4:10,"Bo jeśli jeden z nich upadnie, podźwignie drugi towarzysza swego. Ale biada samotnemu gdyby upadł, bo niema drugiego któryby go podźwignął. "
Ecclesiastes 4:11,Tak też gdy dwóch społem leży - jest im ciepło - jakże jednak mógłby się jeden rozgrzać? 
Ecclesiastes 4:12,A jeżeli kto jednego napadnie to się we dwóch mu stawią - a sznur potrójny nie tak łatwo się zerwie. 
Ecclesiastes 4:13,"Lepszy młodzieniec ubogi a mądry, niżeli król stary a głupi, który niezdolny już przestrogi przyjmować. "
Ecclesiastes 4:14,"Bo ów z więzienia wyszedł, a królem został, jakkolwiek w państwie tegoż ubogim się urodził. "
Ecclesiastes 4:15,"Widziałem wszystkich żywych, postępujących pod słońcem, po stronie młodzieńca, onego drugiego, który miał nastąpić po nim. "
Ecclesiastes 4:16,"Nie było końca wszystkiemu ludowi, wszystkich tych, na których czele stanął. A jednak nie cieszą się potomkowie nim - bo i to marność i pogoń za wiatrem! "
Ecclesiastes 5:1,"Strzeż nogi twojej gdy idziesz do domu Bożego, a zbliżyć się aby słuchać jest lepszem niż składać ofiary głupich; albowiem nie rozumieją a przeto spełniają zło... "
Ecclesiastes 5:2,"Nie śpiesz się ustami twojemi, a serce twoje niechaj zbyt skorem nie będzie na wyrzeczenie słowa przed obliczem Bożem; albowiem Bóg na niebie, a ty na ziemi: niechaj przeto słowa twoje będą nieliczne. "
Ecclesiastes 5:3,Bo sen przychodzi z mnóstwa trosk a bredzenie głupiego z mnóstwa słów. 
Ecclesiastes 5:4,"Gdy uczynisz ślub Bogu, nie omieszkuj go spełnić, bo nie znajduje On upodobania w głupcach; czegokolwiek byś nie ślubował, spełniaj. "
Ecclesiastes 5:5,"Lepiej abyś nie ślubował, niż abyś ślubował a nie spełnił. "
Ecclesiastes 5:6,"Nie pozwalaj ustom twoim, aby przywiodły do grzechu ciało twoje, a nie powiadaj przed posłańcem Bożym, że to pomyłka. Czemu miałby się Bóg gniewać na odezwanie się twoje, a sprawę rąk twoich niweczyć? "
Ecclesiastes 5:7,"Bo gdzie wiele snów, tam i marności i słów wiele. Ty zaś obawiaj się raczej Boga! "
Ecclesiastes 5:8,"Jeżeli zgnębienie ubogiego i pogwałcenie prawa i sprawiedliwości ujrzysz w jakiej krainie, niechaj cię ta rzecz nie dziwi; bo jest wyższy nad wysokim, który czyha, a inni wysocy nad nimi. "
Ecclesiastes 5:9,Ale zaletą dla kraju pod każdym względem jest król roli oddany. 
Ecclesiastes 5:10,"Kto miłuje pieniądze, nie nasyci się pieniędzy, a kto miłuje bogactwo nie znajdzie w niem pożytku. I to marność. "
Ecclesiastes 5:11,"Gdzie dobra wiele, tam i zjadających je wielu, a jakaż korzyść właścicielowi - chyba widok swych oczu. "
Ecclesiastes 5:12,"Słodkim jest sen robotnika, czyby mało czy więcej pożywał dostatek jednak bogatego nie pozwala mu usnąć. "
Ecclesiastes 5:13,"Jest bieda ciężka, którąm widział pod słońcem: bogactwo strzeżone przez właściciela swego, ku własnemu jego nieszczęściu. "
Ecclesiastes 5:14,"Gdy bogactwo to za złą sprawą zginie, tedy syn, którego spłodził, nie będzie miał nic w ręku. "
Ecclesiastes 5:15,"Jako wyszedł z żywota matki swojej, tak i nagi znów odejdzie, zupełnie jako był przyszedł - a nie uniesie nic z pracy swojej, coby mógł zabrać ręką swoją. "
Ecclesiastes 5:16,"Ale nie to tylko jest biedą ciężką, że zupełnie jako był przyszedł i odejść musi, bo jakaż mu korzyść, że się na wiatr trudził? "
Ecclesiastes 5:17,"Lecz że i po wszystkie dni swoje jadał w ciemności, a zgryzot miał wiele, a nadto choroba jego i rozdrażnienie! "
Ecclesiastes 5:18,"Oto com tedy za dobre i piękne uznał: jeść i pić i używać dobrego ze wszystkiego trudu swego, którym się kto trudzi pod słońcem, przez nieliczne dni żywota swojego, których mu Bóg użyczył; gdyż to udział jego. "
Ecclesiastes 5:19,"Któregokolwiek też człowieka obdarzył Bóg bogactwem i skarbami a dał mu i tę moc, aby ich używał, i zabierał dział swój, a cieszył się z trudu swojego, dar to również Boży. "
Ecclesiastes 5:20,"Bo nie pomni taki wiele na krótkie dni żywota swojego, bo użycza mu Bóg radości serca jego. "
Ecclesiastes 6:1,"Jest zło, którem widział pod słońcem, a przemożnem ono dla człowieka. "
Ecclesiastes 6:2,"Niejednego obdarza Bóg bogactwem i włościami i sławą, tak że nie zbywa duszy jego na niczem z wszystkiego czegoby zapragnął; ale nie użyczył mu Bóg tej mocy, żeby z tego używał, lecz używa tego obcy - jest to marność i bieda ciężka. "
Ecclesiastes 6:3,"Choćby taki stu synów spłodził, i wiele lat przeżył, ale przy największej liczbie lat jednak dusza jego dobrem się nie nasyciła, a nawet przyzwoity grób użyczony mu nie został - tedy powiadam: szczęśliwszem od niego poroniątko. "
Ecclesiastes 6:4,To wprawdzie w marności przyszło i do ciemności odchodzi a ciemnością pokryte imię jego; 
Ecclesiastes 6:5,Słońca też nie widziało ani poznało: a jednak lepiej mu niż onemu. 
Ecclesiastes 6:6,"A choćby tysiąc lat dwukrotnie przeżył, a dobrego nie użył - alboż nie idzie wszystko do jednego miejsca? "
Ecclesiastes 6:7,Cała praca człowieka podejmowana dla ust jego; a jednak nie może żądza się nasycić. 
Ecclesiastes 6:8,"Bo jakąż wyższość ma mądry nad głupcem? Tę, którą ma ubogi, umiejący sobie poczynać wobec życia. "
Ecclesiastes 6:9,"Lepszem to, co oczy widzą, aniżeli to, za czem żądza się unosi; ale i to marność i pogoń za wiatrem. "
Ecclesiastes 6:10,"To, co się dzieje, temu dawno już imię nadane; przeznaczono też czem człowiek być ma, a nie może on się prawować z tem, co mocniejsze od niego. "
Ecclesiastes 6:11,"A choć wiele jest słów, które marność mnożą - jakaż ztąd korzyść człowiekowi? "
Ecclesiastes 6:12,"Komuż bowiem wiadomo co dobrem dla człowieka w życiu, w nielicznych dniach znikomego jego żywota, które niby cień spędza? Bo któż powiadomi człowieka co będzie po nim pod słońcem? "
Ecclesiastes 7:1,"Lepsze imię dobre, niż olejek cenny, a dzień śmierci, niż dzień narodzenia. "
Ecclesiastes 7:2,"Lepiej pójść do domu żałoby, aniżeli pójść do domu uczty, bo tam koniec wszystkich ludzi, a żywy bierze to do serca. "
Ecclesiastes 7:3,"Lepsza zgryzota niż śmiech, bo przy posępnem obliczu dobrze sercu. "
Ecclesiastes 7:4,"Serce mądrych w domu żałoby, a serce głupich w domu wesela. "
Ecclesiastes 7:5,"Lepiej słuchać przygany mędrca, niż się przysłuchiwać śpiewowi głupców. "
Ecclesiastes 7:6,Bo jako trzeszczenie cierni pod saganem tak śmiech głupca: i to marność. 
Ecclesiastes 7:7,"Bo zdzierstwo ogłupia mądrego, a psuje serce przekupstwo. "
Ecclesiastes 7:8,"Lepszy koniec rzeczy, niż jej początek; lepszy cierpliwy, niż wyniosły. "
Ecclesiastes 7:9,"Nie porywaj się w duchu swoim do gniewu, bo gniew spoczywa w łonie głupców. "
Ecclesiastes 7:10,"Nie powiadaj: Co się to stało, że dni dawniejsze były lepsze niż obecne? gdyż nie z mądrości pytasz się o to. "
Ecclesiastes 7:11,"Równie dobrą mądrość jak dziedzictwo, a zaletą ona dla tych, którzy słońce widzą. "
Ecclesiastes 7:12,"Bo cienia użycza mądrość, cienia pieniądz, ale zaletą poznania jest: mądrość zachowuje życie temu, który ją posiada. "
Ecclesiastes 7:13,Przypatruj się dziełu Boskiemu; bo któż zdoła sprostować co on skrzywił. 
Ecclesiastes 7:14,"W dzień szczęśliwy zażywaj szczęścia, a w dzień niedoli uważaj, że i ten stworzył Bóg w przeciwstawieniu do drugiego, a to, aby nie badał człowiek nic, co po nim będzie. "
Ecclesiastes 7:15,"Wszystkom widział za dni znikomości mojej: niejeden sprawiedliwy ginie w sprawiedliwości swojej, a niejeden niegodziwiec żyje długo w niecności swojej. "
Ecclesiastes 7:16,"Nie bądź zbyt pobożnym, a nie mędrkuj zanadto: czemu byś się miał zmarnować? "
Ecclesiastes 7:17,"Nie bądź zbyt niezbożnym, ani zbyt głupim; czemu masz umrzeć przed czasem swoim? "
Ecclesiastes 7:18,"Dobrze jest, abyś się tego trzymał, a i od drugiego nie puszczał ręki twojej; bo kto Boga się obawia, unika tego wszystkiego. "
Ecclesiastes 7:19,"Mądrość daje mądremu więcej obrony, aniżeli dziesięciu mocarzy, którzy są w mieście. "
Ecclesiastes 7:20,"Zaiste, niema człowieka sprawiedliwego na ziemi, któryby wciąż czynił dobrze, a nie zgrzeszył. "
Ecclesiastes 7:21,"Nie na wszystkie też słowa, które ludzie powtarzają zwracaj uwagę twoją, abyś nie słyszał, gdy ci sługa twój złorzeczy. "
Ecclesiastes 7:22,Bo niejednokrotnie się zdarzało - wiadomo to sercu twojemu - żeś i ty innym złorzeczył. 
Ecclesiastes 7:23,"Wszystko to doświadczyłem mądrością; powiedziałem sobie: chcę mądrość osiągnąć, ale pozostała daleką odemnie. "
Ecclesiastes 7:24,"Dalekiem jest, co dalekiem było, i głębokiem, tak, głębokiem: któż to zbada? "
Ecclesiastes 7:25,"Zwróciłem się sercem mojem, by poznać i zbadać, poszukać mądrości i obrachunku wszystkiego; ale tylko aby poznać, że niegodziwość głupotą, a głupota szałem. "
Ecclesiastes 7:26,"Znalazłem też bardziej gorzką niż śmierć kobietę; bo podobna ona do potrzasku, a serce jej do sieci, ręce jej do kajdan. Kogo Bóg sobie upodobał ocala się od niej, ale grzesznik pojmany bywa przez nią. "
Ecclesiastes 7:27,"Oto com znalazł, rzecze Kohelet, jedno z drugiem łącząc, aby do obrachunku dojść. "
Ecclesiastes 7:28,"Czegom wciąż szukał, ale nie znalazł jest to? Człowieka jednego z pośród tysiąca znalazłem, ale kobiety między tymi wszystkimi nie znalazłem. "
Ecclesiastes 7:29,"Do tego jedynie, zważ, doszedłem że Bóg stworzył człowieka prostym, oni wszakże szukają obliczeń przeróżnych. "
Ecclesiastes 8:1,"Któż jak mędrzec? A któż pojmuje znaczenie rzeczy? Mądrość człowieka rozjaśnia oblicze jego, a surowość jego twarzy się łagodzi. "
Ecclesiastes 8:2,"Ja powiadam: Rozkazu królewskiego przestrzegaj, już ze względu na przysięgę wobec Boga. "
Ecclesiastes 8:3,Nie kwap się odstąpić od niego; nie wdawaj się w sprawy zgubne. Bo wszystko czego chce czyni. 
Ecclesiastes 8:4,"Ponieważ słowo królewskie wszechwładne, a któż mu powie: Co czynisz? "
Ecclesiastes 8:5,"Kto rozkazu przestrzega nie dozna nic złego, a czas i sąd zna serce mędrca. "
Ecclesiastes 8:6,"Bo dla każdej rzeczy jest czas i sąd, bo niecność człowieka ciąży na nim. "
Ecclesiastes 8:7,"Nie wie on wszak co będzie, a jak się stanie, któżby mu to powiedział? "
Ecclesiastes 8:8,"Żaden człowiek nie włada wiatrem, aby mógł wiatr powstrzymać, a nikt nie ma władzy nad dniem śmierci, niema też uwolnienia na wojnie; a nie ocala niegodziwość tego, który ją spełnił. "
Ecclesiastes 8:9,"Tom wszystko widział zwracając uwagę moją na wszelakie sprawy, które się dzieją pod słońcem, w czasie gdy jeden człowiek nad drugim panuje ku nieszczęściu jego. "
Ecclesiastes 8:10,"I następnie widziałem niegodziwych, których pochowano i którzy w pokoju odeszli; ale z miejsca świętego musieli wyjść i w tem samem mieście w zapomnienie pójść ci, którzy sprawiedliwie postępowali. I to marność. "
Ecclesiastes 8:11,"Ponieważ wyrok na postępki niecne nie rychło wykonanym zostaje, przeto wzbiera w nich odwaga synów ludzkich, aby niecności spełniali. "
Ecclesiastes 8:12,"Dla tego, że grzesznik stokrotnie niecności się dopuszcza a przytem się starzeje, jakkolwiek wiem, że dobrze będzie bogobojnym, którzy się obawiają oblicza Jego. "
Ecclesiastes 8:13,"Ale nie dobrze się powiedzie niegodziwemu, a jako cień niedługo przetrwają dni jego, przeto że się Boga nie obawia. "
Ecclesiastes 8:14,"Jest też marność, która się spełnia na ziemi, że bywają sprawiedliwi, którym się dzieje wedle postępowania niegodziwych, a bywają niegodziwi, którym się dzieje wedle postępowania sprawiedliwych. Rzekłem tedy: i to marność. "
Ecclesiastes 8:15,"I tak wysławiałem radość; bo niema nic lepszego dla człowieka pod słońcem a jedno, aby jadł i pił i się weselił; a to niechaj towarzyszy mu przy jego pracy póki dni życia jego, których mu użyczył Bóg pod słońcem. "
Ecclesiastes 8:16,"Gdy zwróciłem serce moje, abym poznał mądrość, i rozejrzał się w sprawach, które się dzieją na ziemi, a dla których ani dniem ani nocą nie widzi się snu w oczach. "
Ecclesiastes 8:17,"Przekonałem się w każdem dziele Bożem, że człowiek nie wstanie doścignąć tego dzieła, które się spełnia pod słońcem; bo jakkolwiek by się nie trudził człowiek, aby doszedł, nie znajdzie; a nawet mędrzec, który mniema, że je poznał, to jednak zbadać nie wstanie. "
Ecclesiastes 9:1,"Bom wszystko to rozważył w sercu swojem, starając się, abym sobie wszystko to rozjaśnił: że sprawiedliwi i mędrcy i dzieła ich są w ręku Bożym, że ani o miłości, ani o nienawiści nie wie człowiek naprzód - jest im wszystko zakreślone. "
Ecclesiastes 9:2,"Wszystko może wszystkich spotkać: Jednakowy przypadek spotyka sprawiedliwego i niegodziwego, dobrego, czystego i nieczystego, ofiarującego jak i tego, który nie ofiaruje; jakim dobry, takim i grzesznik, przysięgający i obawiający się przysięgi. "
Ecclesiastes 9:3,"To zaś najgorsze ze wszystkiego co się dzieje pod słońcem, że jednakowy przypadek wszystkich spotyka; dla tego też przepełnione serce synów ludzkich niecnością, a trzyma się szał serca ich póki żyją; następnie zaś - idzie się do zmarłych. "
Ecclesiastes 9:4,A któżby chciał być połączony z nimi? Dla wszystkich żyjących jest jeszcze nadzieja; a nawet pies żywy lepszy niż lew zdechły. 
Ecclesiastes 9:5,"Zaprawdę, żywym wiadomo, że umrą, zmarli zaś nie wiedzą o niczem i nie zyskują już nic, bo i pamięć ich idzie w zapomnienie. "
Ecclesiastes 9:6,"Zarówno ich miłość jak ich nienawiść i zawiść już dawno znikły, a nie mają już nigdy udziału w niczem co się dzieje pod słońcem. "
Ecclesiastes 9:7,"Idź tedy, pożywaj wesoło chleb twój, a pij z pogodną myślą wino twoje; bo dawno już zgodził się Bóg na te sprawy twoje. "
Ecclesiastes 9:8,"Każdego czasu niechaj będą szaty twoje białe, a niechaj nie zbraknie olejku na głowie twojej. "
Ecclesiastes 9:9,"Zażywaj życia z kobietą, którąś pokochał po wszystkie znikome dni żywota twojego, z tą, którą ci dał pod słońcem, po wszystkie znikome dni twoje; bo to udział twój w życiu za trud, którym się trudzisz pod słońcem. "
Ecclesiastes 9:10,"Wszystko co zdolna ręka twoja uczynić siłą twą, czyń; bo ani działalności, ani obliczenia, ani wiedzy, ani mądrości niemasz w grobie, do którego idziesz. "
Ecclesiastes 9:11,"I znów widziałem pod słońcem, że nie rozporządzają szybcy biegiem, ani bohaterzy walką, ani mędrcy chlebem, ani roztropni bogactwem, ani rozumni upodobaniem, lecz, że czas i przypadek spotyka wszystkich. "
Ecclesiastes 9:12,"Nie zna wszak człowiek i czasu swojego: jako ryby łowione w sieci złowrogiej, i jako ptaki uwikłane w sidle - tak pojmani bywają i synowie ludzcy w czasie niedoli, gdy przypada na nich nagle. "
Ecclesiastes 9:13,"I to widziałem jako mądrość pod słońcem, a ukazała mi się wielką: "
Ecclesiastes 9:14,"Miasto małe, a nieliczni mężowie w niem; i nadciągnął przeciw niemu król wielki i otoczył je, i zbudował przeciw niemu baszty potężne. "
Ecclesiastes 9:15,"Ale napotkał w niem męża ubogiego, mędrca, a ten wybawił ono miasto mądrością swoją; nikt jednak nie wspomniał na owego męża ubogiego. "
Ecclesiastes 9:16,"Pomyślałem tedy: lepsza mądrość aniżeli moc, jakkolwiek mądrość ubogiego wzgardzona bywa, a słowa jego posłuchu nie znajdują. "
Ecclesiastes 9:17,"Słowa mędrców spokojne wysłuchane być winny prędzej, niż krzyk przewodniczącego wśród głupców. "
Ecclesiastes 9:18,Lepsza mądrość niż rynsztunki wojenne; ale jeden grzesznik niweczy dużo dobrego. 
Ecclesiastes 10:1,Muchy jadowite czynią cuchnącym i zakisłym olejek przyrządzającego pachnidła; tak waży ciężej niż mądrość i sława odrobina głupoty. 
Ecclesiastes 10:2,"Serce mądrego zmierza ku prawicy jego, ale serce głupiego ku stronie jego lewej. "
Ecclesiastes 10:3,"Po jakiejkolwiek też drodze postępuje głupi, nie staje mu rozumu, a rozpowiada wszystkim, że głupim jest. "
