Index Title,Amos
Amos 4:2,"Zaprzysiągł Pan, Wiekuisty na świętość swoję: Zaprawdę, nadejdą dni na was, gdy wyciągną was na hakach, a potomstwo wasze na wędach rybackich. "
Amos 4:3,"Ujdziecie wtedy przez wyłomy, każda wprost przed siebie, ale rzucone będziecie do haremów, rzecze Wiekuisty. "
Amos 4:4,"Idźcie tylko do Bethel a sprzeniewierzajcie się! W Gilgal mnóżcie występki, a składajcie z każdym porankiem rzeźne ofiary wasze, co trzeciego dnia dziesięciny wasze! "
Amos 4:5,"Palcie z zakisu dziękczynienie, a obwieszczajcie głośno ofiary dobrowolne, obwołajcie! Bo takeście sobie upodobali, synowie Israela, rzecze Wiekuisty. "
Amos 4:6,"A jakkolwiek i Ja wam dałem czystość zębów we wszystkich miastach waszych i niedostatek chleba we wszystkich siedzibach waszych, nie nawróciliście się jednak do Mnie, rzecze Wiekuisty. "
Amos 4:7,"A jakkolwiek powstrzymałem od was deszcz na trzy miesiące przed żniwem, a spuszczając ustawicznie deszcz na jedno miasto, nie spuszczałem go na miasto drugie; - bywało, że jeden łan zroszony został, gdy łan drugi, nie zroszony, usechł. "
Amos 4:8,"I jakkolwiek wleczono się z dwóch i trzech miast do miasta jednego, aby wody się napić, nie mogąc pragnienia ugasić; wyście jednak nie nawrócili się do Mnie, rzecze Wiekuisty. "
Amos 4:9,"Uderzyłem was śniecią i rdzą; pełnię ogrodów i winnic, i fig, i oliwników waszych pochłonął chrząszcz. A jednak nie nawróciliście się do Mnie, rzecze Wiekuisty. "
Amos 4:10,"Posłałem na was mór, jak niegdyś na Micrejczyków; pobiłem mieczem młodzieńców waszych, nie licząc pojmania rumaków waszych, i wniosłem zagar obozów waszych prosto w nozdrza wasze. A jednak nie nawróciliście się do Mnie, rzecze Wiekuisty. "
Amos 4:11,"Burzyłem w pośród was, jako burzył niegdyś Bóg Sodomę i Gomorę, że staliście się jako głownia wydobyta z pożaru. A jednak nie nawróciliście się do Mnie, rzecze Wiekuisty. "
Amos 4:12,"Przeto uczynię ci tak Israelu - a iż ci tak uczynić chcę, szykuj się przeciw Bogu swojemu Israelu! "
Amos 4:13,"Bo zaiste jest to Ten, który góry ukształtował a wichry stworzył, który oznajmia człowiekowi jaka myśl jego, który zorzę ranną w mrok przeistacza, a po wyżynach ziemi kroczy - Wiekuisty, Bóg zastępów imię Jego! "
Amos 5:1,"Słuchajcie słowa tego, które wygłaszam przeciw wam jako pieśń żałobną, wy z domu Israela! "
Amos 5:2,"Padła, nie może się więcej podnieść dziewica israelska, legła na ziemi swojej, nikt, nie podźwignie jej! "
Amos 5:3,"Albowiem tak rzecze Pan, Wiekuisty: Miasto, które wystawia tysiąc, zachowa stu, a które wystawia stu, zachowa dziesięciu w domu Israela. "
Amos 5:4,"Albowiem tak rzecze Wiekuisty do domu Israela: Podążajcie do Mnie, abyście zachowali życie! "
Amos 5:5,"A nie podążajcie do Bethel, a Gilgal nie zwiedzajcie, a do Beer-Szeby nie pielgrzymujcie. Bo Gilgal w niewolę pójdzie, a Bethel w niwecz się obróci. "
Amos 5:6,"Podążajcie do Boga, abyście zachowali życie! Inaczej przeniknie jako ogień do domu Józefa, a będzie on pożerał, a nikt nie ugasi Bethela. "
Amos 5:7,"Którzy obracacie w piołun prawo, a sprawiedliwość na ziemię rzucacie (zwróćcie się ku Temu). "
Amos 5:8,"Który uczynił plejady i Oriona a odmienia w poranek mrok śmiertelny, a dzień na noc ściemnia; który wzywa wody morza, a rozlewa je na oblicze ziemi, Wiekuisty imię Jego! "
Amos 5:9,"Który błyska zagubą na mocarzy, tak że zaguba na twierdze przypada. "
Amos 5:10,"Nienawidzą tego, który karci w bramie, a tym, który szczerze przemawia brzydzą się. "
Amos 5:11,"Przeto jednak, że depczecie biednego, a dary w zbożu bierzecie od niego: to zbudujecie wprawdzie domy z ciosu, ale nie będziecie w nich mieszkać, zasadzicie winnice rozkoszne, ale nie pić wam wina z nich. "
Amos 5:12,"Bo wiem to: mnogie są występki wasze, liczne grzechy wasze! wy ciemięzcy sprawiedliwego, którzy okup bierzecie, a sprawę ubogich w bramie skrzywiacie. "
Amos 5:13,"Przeto milczy roztropny czasu tego, bo czas to zły. "
Amos 5:14,"Podążajcie za dobrem, a nie za złem, abyście życie zachowali! Wtedy dopiero będzie Wiekuisty, Bóg zastępów, z wami, jakoście mówili. "
Amos 5:15,"Miejcie w nienawiści zło, a miłujcie dobro; ustanówcie w bramie prawo! Może zmiłuje się wtedy Wiekuisty, Bóg zastępów nad szczątkiem Józefa! "
Amos 5:16,"Przeto rzecze tak Wiekuisty zastępów, Pan: Po wszystkich placach będzie narzekanie, a po wszystkich ulicach wołać będą: biada, biada! I wzywać będą rataja do płaczu, a do narzekania biegłych w pieśniach żałobnych. "
Amos 5:17,"I we wszystkich winnicach też będzie narzekanie, gdyż w pośrodku twoim przeciągnę, rzecze Wiekuisty. "
Amos 5:18,"Biada tym, którzy łakną dnia Wiekuistego! Cóż wam po tym dniu Wiekuistego? Jest on wszak ciemnością a nie światłem! "
Amos 5:19,"Tak jak gdyby kto uciekał przed lwem, a spotkał go niedźwiedź: a gdy w końcu do domu wszedł, a oparł się ręką o ścianę, ukąsił go wąż. "
Amos 5:20,"Zaprawdę! Ciemnością jest dzień Wiekuistego, a nie światłem, mrocznym on i bez jasności! "
Amos 5:21,"Nienawidzę, gardzę uroczystościami waszemi, a wstrętne Mi świąteczne zgromadzenia wasze. "
Amos 5:22,"Gdy Mi składacie całopalenia i ofiary wasze śniedne - nie przyjmuję ich, a na opłatne ofiary sprawione z karmnych cieląt nie spoglądam. "
Amos 5:23,Usuń odemnie wrzawę pieśni twoich; dźwięku lutni twoich słuchać nie chcę! 
Amos 5:24,"Niechaj raczej potoczy się jako woda prawo, a sprawiedliwość jako potok bystry! "
Amos 5:25,"Izaliście Mi ofiary rzeźne i śniedne składali na puszczy przez czterdzieści lat, wy z domu Israela? "
Amos 5:26,"I tak unieść wam Sikkuta, króla waszego, i Kijuna z rzeźbami waszemi, gwiazdę bóstwa waszego, któreście poczynili sobie. "
Amos 5:27,"I uprowadzę was po za Damesek, rzecze Wiekuisty, Bóg zastępów imię Jego! "
Amos 6:1,"Biada bezpiecznym na Cyonie, i dufnym na górze Szomronu, owym znakomitym najprzedniejszego z ludów, do których schodzi się dom Israela! "
Amos 6:2,"Zajdźcie do Kalneh rozejrzcie się, a przejdźcie ztamtąd do Chamath Wielkiego, a zstąpcie do Gath w Filistei: Czy lepsze one niż te królestwa, czyż większa dziedzina ich od dziedziny waszej? "
Amos 6:3,"Którzy spłoszyć chcą dzień niedoli, a zbliżają siedziby zdzierstwa. "
Amos 6:4,"Którzy rozciągają się na łożach z kości słoniowej, a rozpierają na dywanach, zajadają tuczne barany z trzody, a młode cielce z obory. "
Amos 6:5,"Którzy pobrzękują na strunach lutni, jako Dawid wymyślili sobie narzędzia muzyczne. "
Amos 6:6,"Którzy zapijają z roztruchanów wino, a najprzedniejszym olejkiem się namaszczają, ale nie boleją nad pogromem Józefa! "
Amos 6:7,"Przeto pójdą teraz na wygnanie na czele brańców, a skończy się zgiełk rozpierających się. "
Amos 6:8,"Zaprzysiągł Pan Wiekuisty na życie swe, rzecze Wiekuisty, Bóg zastępów: Brzydzę się przepychem Jakóba, a zamków jego nienawidzę, i wydam miasto i pełnię jego. "
Amos 6:9,"A jeżeli zostanie dziesięć osób w jednym domu, i te pomrą. "
Amos 6:10,"A gdy wyniesie którego krewny, albo który go palić ma, uprzątając zwłoki z domu, a zapyta jednego w zakątkach domu: Jestże kto jeszcze przy tobie? Wtedy ten odpowie: skończyło się! i doda: Cicho! aby tylko nie wspomniano o tem - w imię Wiekuistego! "
Amos 6:11,"Bo oto Wiekuisty rozkaże a roztrąca dom większy w rumowiska, a dom mniejszy w zwaliska. "
Amos 6:12,"Czyż zdołają rumaki po skale biegać, albo czyż można tam orać wołami? Boście obrócili w truciznę prawo, a owoc sprawiedliwości w piołun. "
Amos 6:13,"Którzy cieszycie się nicestwem, którzy powiadacie: Izaliśmy mocą naszą nie zdobyli sobie sławy? "
Amos 6:14,"Ale oto Ja wzbudzę przeciwko wam, domu Israela, rzecze Wiekuisty, Bóg zastępów, naród, który was ściśnie od okolicy Chamath aż do potoku stepowego. "
Amos 7:1,"Tak ukazał mi Pan Wiekuisty, a oto tworzył On roje szarańczy, gdy począł odrastać potraw - bo oto potraw bywa po pokosach królewskich. "
Amos 7:2,"I stało się, gdy zupełnie pożarły trawę ziemi, zawołałem: Panie Wiekuisty, racz przebaczyć! Jakże ostać się Jakóbowi, wszak drobnym on. "
Amos 7:3,"I użalił się Wiekuisty nad tem; nie będzie już tego, rzekł Wiekuisty. "
Amos 7:4,"Poczem ukazał mi Pan Wiekuisty, a oto obwieścił poprowadzić sprawę swą ogniem Pan Wiekuisty, i pochłonął on toń wielką i strawił już zagony. "
Amos 7:5,"I rzekłem: Panie Wiekuisty, racz zaprzestać! Jakże ostać się Jakóbowi, wszak drobnym on. "
Amos 7:6,"I użalił się Wiekuisty nad tem; nie będzie już i tego, rzekł Pan, Wiekuisty. "
Amos 7:7,"Tak ukazał mi jeszcze, a oto Pan stał na murze prostopadłym a w ręce Jego pion. "
Amos 7:8,I rzekł Wiekuisty do mnie: Co widzisz Amosie? I rzekłem: pion. Tedy rzekł Pan: Oto spuszczę ten pion w pośrodek ludu Mojego izraelskiego; nie przepuszczę mu więcej. 
Amos 7:9,"I opustoszeją wyżyny Ishaka, a świątynie Israela zburzone będą, i powstanę przeciw domowi Jerobeama z mieczem. "
Amos 7:10,"Wtedy posłał Amacja, kapłan bethelski do Jerobeama, króla israelskiego, oznajmiając: sprzysiągł się przeciwko tobie Amos w pośrodku domu israelskiego, tak że nie może ziemia znieść wszystkich słów jego. "
Amos 7:11,"Gdyż tak mówi Amos: Jerobeam od miecza zginie, a Israel uprowadzony będzie z ziemi swojej. "
Amos 7:12,"Poczem rzekł Amacja do Amosa: Wieszczu! uchodź, a schroń się do ziemi judzkiej, i pożywaj tam chleba swego, a prorokuj tam. "
Amos 7:13,Ale w Bethel nie prorokuj więcej; bo to świątynia królewska i dom królewski. 
Amos 7:14,"Tedy odpowiedział Amos Amacji: nie prorok ja, ani syn proroka, lecz pasterzem jestem i hodowcą morw. "
Amos 7:15,"Ale wziął mnie Wiekuisty z poza trzód, i rzekł do mnie Wiekuisty: Idź a prorokuj ludowi Mojemu israelskiemu. "
Amos 7:16,"Teraz przeto słuchaj słowa Wiekuistego: Powiadasz: nie prorokuj w Israelu, a nie przemawiaj w domu Ishaka. "
Amos 7:17,"Przeto rzecze tak Wiekuisty: Żona twoja w mieście nierządowi się odda, a synowie i córki twoje od miecza legną, a ziemia twoja sznurem będzie podzielona, ty sam zaś na ziemi nieczystej umrzesz, a Israel uprowadzony będzie z ziemi swojej. "
Amos 8:1,"Tak ukazał mi jeszcze Pan, Wiekuisty, a oto kosz pełen letniego owocu. "
Amos 8:2,I rzekł: Co widzisz Amosie? I odpowiedziałem: kosz pełen letniego owocu. Tedy rzekł Wiekuisty do mnie: Nadszedł kres dla ludu Mojego israelskiego; nie przepuszczę mu więcej. 
Amos 8:3,"I obrócą się w biadania pieśni w pałacach w on dzień, rzecze Pan, Wiekuisty; bo liczne będą trupy, na każdem miejscu rzucane będą w ciszy. "
Amos 8:4,"Słuchajcie tego, którzy usiłujecie pochłonąć ubogiego, a zagubić biednych ziemi. "
Amos 8:5,"Mówiąc: Kiedyż przeminie nów, abyśmy kupczyli zbożem, a sobota, abyśmy otworzyli śpichlerze, abyśmy umniejszyli efę, a powiększyli szekel, a fałszowali oszukańcze szalki. "
Amos 8:6,"Abyśmy kupowali za pieniądze ubogich, a biednych za parę sandałów, a poślad sprzedawali za zboże. "
Amos 8:7,"Przysiągł Wiekuisty na dumę Jakóba: zaprawdę, nie zapomnę na wieki o wszystkich sprawach ich. "
Amos 8:8,"Alboż nie musi wobec tego ziemia się wzdrygnąć, a struchleć każdy zamieszkały na niej? Tak, wzbierze wszystka jego rzeka i wzburzy się i opadnie jako strumień micrejski. "
Amos 8:9,"I stanie się w on dzień, rzecze Pan, Wiekuisty, że każę słońcu zajść o południu, a przywiodę ciemność na ziemię w dzień jasny. "
Amos 8:10,"I obrócę święta wasze w smutek, a wszystkie śpiewy wasze w pieśń żałobną, i sprowadzę na wszystkie biodra wór, a na każdą głowę pleszywość; i pogrążę ją jakby w żałobie po jedynaku, a koniec jej będzie jako dzień goryczy. "
Amos 8:11,"Oto dni nadchodzą, rzecze Pan Wiekuisty, że zeszlę głód na ziemię, nie głód chleba, ani pragnienie wody, lecz słuchania słów Wiekuistego. "
Amos 8:12,"I tułać się będą od morza do morza, i od północy aż na wschód; krążyć będą szukając słowa Wiekuistego, wszakże nie znajdą. "
Amos 8:13,Dnia onego pomdleją dziewice nadobne i młodzieńcy od pragnienia onego. 
Amos 8:14,"Którzy przysięgają na zbrodnię Szomronu, a mówią: Żyw Bóg twój Danie! i ""na pomyślność drogi do Beerszeba"". I upadną, a nie powstaną więcej. "
Amos 9:1,"Ujrzałem Pana stojącego nad ofiarnicą, który rzekł: Uderz w kapitel, aby zadrżały nadproża i roztrzaskaj je o głowę wszystkich! Szczątki też ich mieczem porażę; żaden uciekający nie ujdzie z nich, a nie ocali się z nich żaden niedobitek. "
Amos 9:2,"Choćby się zaryli w przepaść, ztamtąd by ich wydobyła ręka Moja, a choćby wstąpili do nieba, ztamtąd bym ich strącił. "
Amos 9:3,"A choćby się skryli na wierzchu Karmelu poszukam i pochwycę ich ztamtąd, a choćby się pochowali przed oczyma Mojemi na dnie morskiem, przykażę wężowi, aby ich i ztamtąd wykąsał. "
Amos 9:4,"A gdy pójdą w niewolę przed obliczem wrogów swoich, i tam przykażę mieczowi, aby ich wymordował, i zwrócę oko Moje na nich ku złemu, a nie ku dobremu. "
Amos 9:5,"Bo Pan, Wiekuisty zastępów, gdy dotyka się ziemi, rozpływa się, a rozpaczają wszyscy mieszkańcy jej, i wzbiera wszystka jako rzeka, i opada jako strumień micrejski. "
Amos 9:6,"Który zbudował na niebie górne sklepienia Swoje a stropy Swe nad ziemią utwierdził, który wzywa wody morza i rozlewa je na oblicze ziemi, Wiekuisty imię Jego. "
Amos 9:7,"Czyście nie podobni u Mnie do synów kuszyckich, synowie Israela? rzecze Wiekuisty; czyżem nie wywiódł Israelitów z ziemi Micraim, jak Pelisztów z Kaftoru, a Aramejczyków z Kir? "
Amos 9:8,"Oto oczy Pana Wiekuistego zwrócone przeciw państwu twemu grzesznemu, abym je zgładził z oblicza ziemi; wszakże nie zgładzę doszczętnie domu Jakóba, rzecze Wiekuisty. "
Amos 9:9,"Gdyż oto rozkażę i rozmiotę między wszystkie narody dom Israela, tak jako się miota na przetaku, a nie spada szczypta na ziemię. "
Amos 9:10,"Od miecza wyginą wszyscy grzesznicy ludu Mego, którzy powiadają: nie przypadnie i nie zachwyci nas niedola. "
Amos 9:11,"Dnia onego dźwignę namiot Dawida i zagrodzę wyłomy jego, a ruiny jego podniosę, i odbuduję go jak za dni dawnych. "
Amos 9:12,"Aby zawładnęli szczątkami Edomu i wszystkich ludów nad którymi mianowane imię Moje, rzecze Wiekuisty, który to spełni. "
Amos 9:13,"Oto nadejdą dni, rzecze Wiekuisty, a spotka się oracz z żeńcem, a tłoczący winogrona z rozsiewającym ziarno, i będą rosiły góry moszczem, a wszystkie pagórki się rozpłyną. "
Amos 9:14,"I wrócę brańców ludu Mojego Israela i pobudują miasta opustoszone, i zaludnią je, i zasadzą winnice i będą pili wino z nich, i założą ogrody i będą pożywali owocu ich. "
Amos 9:15,"I zaszczepię ich w ziemi swojej, aby nie byli rugowani więcej z ziemi swojej, którą oddałem im, rzecze Wiekuisty, Bóg twój. "
