Index Title,Jeremiah
Jeremiah 2:25,"Uchroń nogę twoją od obnażenia, a gardło twe od spragnienia! Ty wszakże powiadasz w zwątpieniu: Nie! bom się rozmiłowała w cudzych, a za nimi pójdę. "
Jeremiah 2:26,"Jak się zawstydza złodziej, gdy zdybanym zostaje, tak zawstydzony dom Israela, oni, królowie, książęta, kapłani, i prorocy ich. "
Jeremiah 2:27,"Mówią do drewna: Tyś ojciec mój, a do kamienia: Tyś mnie spłodził! Bo obrócili się do Mnie karkiem, a nie twarzą; ale w czasie niedoli swej wołają: Wstań, a wybaw nas! "
Jeremiah 2:28,"Gdzież jednak są bogi twoje, któreś sobie uczynił? Niechaj wstaną, jeżeli cię wybawić mogą w czasie niedoli twojej - a są wszak wedle liczby miast twoich bogowie twoi, Judo! "
Jeremiah 2:29,"Czemu utyskujecie na Mnie? Wszyscy wszak odstąpiliście odemnie, rzecze Wiekuisty. "
Jeremiah 2:30,"Daremnie raziłem synów waszych, przestrogi nie przyjęli; pożerał miecz wasz proroków waszych, niby lew morderczy. "
Jeremiah 2:31,"O rodzie obecny, rozważcie słowo Wiekuistego! Czyżem pustynią był dla Israela, albo ziemią pomroki strasznej? Czemu powiada lud Mój: Zboczyliśmy, nie trafim już do Ciebie! "
Jeremiah 2:32,"Alboż zapomina dziewica stroju swojego, oblubienica przepaski swojej? Ale lud Mój zapomniał o Mnie już od dni niezliczonych. "
Jeremiah 2:33,"Jakże pięknie urządzasz drogę twoją, aby miłostek szukać. W tym celu przyzwyczaiłaś też do zdrożności postępki twoje. "
Jeremiah 2:34,"Wszak i na wylotach twoich znajduje się krew istot ubogich, niewinnych. Nie w podkopie zdybałaś ich, lecz mimo to wszystko... "
Jeremiah 2:35,"A jednak powiadasz: Jam od winy wolna, wszak odwrócił się gniew Jego odemnie. Otóż rozprawię się z tobą dla mowy twojej: Jam nie zgrzeszyła! "
Jeremiah 2:36,"Jakże to sobie lekceważysz wielce zmienić drogę swoję! I ze względu na Micraim pohańbioną będziesz, jakeś pohańbioną była ze względu na Aszur. "
Jeremiah 2:37,"I ztamtąd wyjdziesz, ręce nad swą głową, gdyż odtrącił Wiekuisty tych, na których polegasz, a nie powiedzie ci się z nimi. "
Jeremiah 3:1,"Temi słowy: Oto jeżeliby wydalił mąż żonę swoją i odeszłaby od niego i wyszła za męża innego, czyżby mógł wrócić do niej jeszcze? Czyżby nie skażoną była ziemia ona? A tyś oddała się rozpuście z zalotnikami licznymi, a miałabyś wrócić do Mnie? rzecze Wiekuisty. "
Jeremiah 3:2,"Podnieś oczy twe ku wierzchołkom nagim i spójrz gdzieś zhańbioną nie została? Po drogach czyhałaś na nich, jako Arab na pustyni, i kaziłaś ziemię rozpustą twoją i zgorszeniem twojém. "
Jeremiah 3:3,"A choć powstrzymane zostały dżdże obfite, a deszczu późnego nie bywało, przecież czoło kobiety rozpustnej zachowałaś, wyrzekłaś się wstydu. "
Jeremiah 3:4,Wszakże i obecnie wołasz do Mnie: Ojcze mój! przyjacielem młodości mojej Ty! 
Jeremiah 3:5,"Czyżby na wieki pomstował, albo pamiętał na zawsze? Oto tak mówisz, ale dopuszczasz się zgorszenia ile możesz! "
Jeremiah 3:6,I rzekł Wiekuisty do mnie za dni Jozjasza króla: Czy widziałeś co uczyniła odstępczyni israelska? Chodziła ona na każdą górę wysoką i pod każde drzewo rozłożyste i kaziła się tam. 
Jeremiah 3:7,"I pomyślałem: Gdy już spełni to wszystko, powróci do Mnie, ale nie wróciła... Spoglądała zaś na to wiarołomna siostra jej judzka. "
Jeremiah 3:8,"I widziałem, że jakkolwiek z powodu każenia się odstępczyni israelskiej ją wydaliłem, dając jej list jej rozwodny, jednak nie ulękła się wiarołomna siostra jej judzka i poszła i oddała się też rozpuście sama. "
Jeremiah 3:9,"I stało się, że przez lekkomyślną swą rozpustę skaziła ziemię, bo prowadziła nierząd z kamieniem i z drewnem. "
Jeremiah 3:10,"Ale mimo to wszystko nie nawróciła się do Mnie wiarołomna siostra jej judzka całém sercem swojém, lecz tylko obłudnie, rzecze Wiekuisty. "
Jeremiah 3:11,I rzekł Wiekuisty do mnie: Usprawiedliwiła się odstępczyni israelska przez wiarołomną judzką! 
Jeremiah 3:12,"Idź i wołaj temi słowy ku północy, a powiedz: Nawróć się odstępczyni israelska, rzecze Wiekuisty, nie zwrócę już gniewnego oblicza na was, bo miłościwy Ja, rzecze Wiekuisty, nie pomstuję na wieki. "
Jeremiah 3:13,"Tylko uznaj winę twoję, żeś od Wiekuistego, Boga twego, odstąpiła, a byłaś hojna drogami twemi do cudzych pod każde drzewo rozłożyste - aleście głosu Mojego nie słuchali, rzecze Wiekuisty. "
Jeremiah 3:14,"Nawróćcie się synowie przekorni! - rzecze Wiekuisty - Ja wszak tylko władam wami, i tak przyjmę was, (choćby) jednego z miasta a dwóch z rodziny, i zaprowadzę was do Cyonu. "
Jeremiah 3:15,I dam wam pasterzy według serca Mojego i będą was paść rozumnie i roztropnie. 
Jeremiah 3:16,"I będzie, gdy się rozmnożycie i rozrodzicie na tej ziemi w one dni, rzecze Wiekuisty, że nie powiedzą już: Arka przymierza Wiekuistego! I nie przyjdzie ona na myśl, i nie wspomną o niej, i nie będzie poszukiwaną, i nie sporządzą jej więcej. "
Jeremiah 3:17,"Onego czasu nazywać będą Jerozolimę stolicą Wiekuistego, i zgromadzą się do niej wszystkie narody z powodu imienia Wiekuistego, do Jerozolimy, i nie będą postępowali nadal za żądzami serca swego zepsutego. "
Jeremiah 3:18,"W one dni pójdzie dom judzki do domu israelskiego, i przyjdą pospołu z ziemi północnej do ziemi, którą oddałem w dziedzictwo ojcom waszym. "
Jeremiah 3:19,"A jam rzekł: O, jakże cię wyposażę dziećmi, a dam ci ziemię rozkoszną, dziedzictwo najwspanialsze między narodami, a myślałem: ojcem nazywać Mnie będziesz, a odemnie nie odstąpisz. "
Jeremiah 3:20,"Ale jako się przeniewierza żona towarzyszowi swojemu, takeście się sprzeniewierzyli Mnie, domu Israela, rzecze Wiekuisty. "
Jeremiah 3:21,"Głos po wierzchołkach gór się rozlega, płacz błagalny synów Israela, przeto że skrzywili drogę swoję, zapomnieli o Wiekuistym, Bogu swoim. "
Jeremiah 3:22,"Nawróćcie się, synowie przekorni, ukoję (skutki) przekory waszej. - Oto jesteśmy, przychodzimy do Ciebie boś Ty Wiekuisty, Ojciec nasz. "
Jeremiah 3:23,"Zaprawdę, zawodną pomoc z pagórków, ze zgiełku na górach; zaprawdę, tylko w Wiekuistym, Bogu naszym, zbawienie Israela! "
Jeremiah 3:24,"Ale to bożyszcze haniebne pochłonęło pracę ojców naszych od młodości naszej, ich trzody i stada, ich synów i córki. "
Jeremiah 3:25,"I takeśmy pogrążeni w hańbie naszej, a okrywa nas wstyd nasz, bośmy przeciw Wiekuistemu, Bogu naszemu zgrzeszyli, my i ojcowie nasi, od młodości naszej aż po dzień dzisiejszy, a nie słuchaliśmy głosu Wiekuistego, Boga naszego. "
Jeremiah 4:1,"Jeżeli się nawrócisz Israelu, rzecze Wiekuisty, wrócić możesz do Mnie, a jeżeli wydalisz obmierzłości twoje z przed oblicza Mojego, a nie będziesz się tułał, "
Jeremiah 4:2,"A gdy poprzysięgniesz: żyw Wiekuisty! w prawdzie, w słuszności i sprawiedliwości, wtedy ""pobłogosławią się nim narody i chlubić się nim będą"". "
Jeremiah 4:3,"Gdyż tak rzecze Wiekuisty do mężów Judy i Jerozolimy: Wykarczcie sobie nowinę, a nie siejcie na cierniu! "
Jeremiah 4:4,"Obrzeżcie się Wiekuistemu i usuńcie wybujałości serca waszego mężowie Judy i mieszkańcy Jerozolimy, aby nie wybuchło jako ogień oburzenie Moje, a nie płonęło tak, że go nikt nie zagasi z powodu niegodziwości postępków waszych! "
Jeremiah 4:5,"Opowiadajcie w Judzie i w Jerozolimie, obwieszczajcie i głoście, uderzcie w surmy na tej ziemi, wołajcie pełnym głosem i powiedźcie: zgromadźcie się a wnijdźmy do miast warownych! "
Jeremiah 4:6,"Podnieście chorągiew ku Cyonowi, schrońcie się, nie zatrzymujcie, gdyż klęskę Ja sprowadzam od północy i pogrom wielki. "
Jeremiah 4:7,"Wyszedł lew z gąszczy swojej, a tępiciel narodów wyciągnął, wyruszył z miejsca swojego, aby obrócić ziemię twą w pustkowie; miasta twoje zamienią się w zgliszcza bez mieszkańca. "
Jeremiah 4:8,"Przeto przepaszcie się worami, zawodźcie i biadajcie gdyż nie odwrócił się płonący gniew Wiekuistego od nas. "
Jeremiah 4:9,"I stanie się dnia onego - rzecze Wiekuisty, że zniknie odwaga króla i odwaga książąt, i strętwieją kapłani, a prorocy będą przerażeni. "
Jeremiah 4:10,"I rzekłem: O Panie Wiekuisty! Zaprawdę, ciężko zawiodłeś ten lud i Jerozolimę gdy powiadano: pokój będzie wam, gdy wszak sięgnął miecz do życia. "
Jeremiah 4:11,"Tegoż czasu powiedzą o narodzie tym i o Jerozolimie: Wicher znojny z nagich wierzchołków pustyni idzie do córy ludu Mojego, nie żeby przewiewał, ani żeby oczyszczał. "
Jeremiah 4:12,"Wicher gwałtowny ze stron tych nadciąga ku Mnie, teraz rozprawię się i Ja z nimi. "
Jeremiah 4:13,"Oto jako chmury nadciąga, a jako burza zaprzęgi jego, szybsze niż orły rumaki jego; biada nam bośmy zniweczeni! "
Jeremiah 4:14,"Spłucz od złego serce twoje Jerozolimo, abyś ocaloną być mogła. Dopóki przechowasz we wnętrzu twojém zamysły twe nieszczęsne. "
Jeremiah 4:15,"Bo oto głos zwiastuna z Dan, i obwieszczającego nieszczęście z góry Efraim. "
Jeremiah 4:16,"Oznajmcie plemionom: Oto jest! Ogłoście o tém w Jerozolimie: Oblegający nadciągają z ziemi dalekiej, i podnoszą przeciw miastom Judy okrzyk swój. "
Jeremiah 4:17,"Jako stróże polni opasują ją dokoła, gdyż Mnie jątrzyła, rzecze Wiekuisty. "
Jeremiah 4:18,"Droga twoja i postępki twoje sprowadziły to na ciebie, to twoje nieszczęście, które tak gorzkie, które przenika do serca twojego. "
Jeremiah 4:19,"Wnętrza, wnętrza moje! Drżę.. O, ściany piersi mojej! - Wre we mnie serce moje, nie mogę zmilczeć! Bo odgłos trąb słyszysz duszo moja, wrzawę wojenną! "
Jeremiah 4:20,"Pogrom za pogromem następuje, tak, spustoszony kraj cały; nagle spustoszone są namioty moje, w okamgnieniu opony moje! "
Jeremiah 4:21,"Dopókiż widzieć mi chorągwie, słyszeć odgłosy trąb? "
Jeremiah 4:22,"Bo bezrozumnym naród Mój, Mnie nie poznał. Dzieci nierozważne to i nieroztropne. Mądre są by źle czynić, ale co dobrego, spełnić nie potrafią. "
Jeremiah 4:23,"Spoglądam na ziemię, a oto zamęt i bezład, a ku niebiosom, a znikło światło ich! "
Jeremiah 4:24,"Spoglądam na góry, a oto drżą, a wszystkie pagórki się chwieją. "
Jeremiah 4:25,"Spoglądam, a oto niema ludzi, a wszystko ptactwo nieba odleciało. "
Jeremiah 4:26,"Spoglądam, a oto niwa żyzna pustynią, a wszystkie miasta jej zburzone, wobec oblicza Wiekuistego, wobec płonącego gniewu Jego! "
Jeremiah 4:27,Gdyż tak rzekł Wiekuisty: pustynią będzie ta ziemia cała - jakkolwiek do szczętu nie zgładzę. 
Jeremiah 4:28,"Dlatego smuci się ziemia i zaćmiewa się niebo u góry, bom wyjawił co postanowiłem, a nie rozmyślę się, a nie cofnę od tego! "
Jeremiah 4:29,"Przed wrzawą konnicy i łuczników, ucieka każde miasto, kryją się w gęstwinach i na skały wstępują; wszystkie miasta opuszczone, a nikt w nich nie przebywa. "
Jeremiah 4:30,"A ty, spustoszeniu oddana, cóż poczniesz? Choćbyś się ubrała w szkarłat, choćbyś się zdobiła klejnotem złotym, choćbyś rozszerzała oczy czernidłem, daremnie się stroisz; gardzą tobą zalotnicy, na życie twe czyhają. "
Jeremiah 4:31,"Bo głos niby pochwyconej bólem słyszę, jęk rodzącej po raz pierwszy, głos córy Cyonu, która dyszy, rozpościera ręce swoje: Biada mi, bo ulega dusza moja mordercom! "
Jeremiah 5:1,"Krążcie po ulicach Jerozolimy i rozejrzcie się i wywiadujcie się, i szukajcie na rynkach jej, czy też znajdziecie człowieka, czy jest choć jeden, któryby pełnił prawo, poszukiwał prawdy, a przebaczę jej. "
Jeremiah 5:2,Ale choć mówią: żyw Wiekuisty! wszak i wtedy krzywo przysięgają. 
Jeremiah 5:3,"Wiekuisty! Alboż oczy Twoje nie ku prawdzie? Raziłeś ich, ale nie czuli, tępiłeś ich, ale wzbraniali się przestrogę przyjąć; twardszém nad skałę uczynili oblicze swoje, nie chcieli się nawrócić. "
Jeremiah 5:4,"Ja wszakże myślałem: tylko ubodzy są takimi; omamieni są, bo nie znają drogi Wiekuistego, prawa Boga swojego. "
Jeremiah 5:5,"Zwrócę się do wielkich i pomówię z nimi, ci wszak znają drogę Wiekuistego, prawo Boga swojego. - Ale i ci wespół skruszyli jarzmo, potargali więzy. "
Jeremiah 5:6,"Przeto gromi ich ten z lasu, wilk stepów pustoszy ich, pantera czyha u ich miast, ktokolwiek wychodzi z nich poszarpanym zostaje; bo mnogie są winy ich, liczne przekory ich. "
Jeremiah 5:7,"Czemu to miałbym ci wybaczyć? Synowie twoi opuścili Mnie, i przysięgają na bożyszcza; gdym ich nakarmił oddali się rozpuście i do domu wszetecznicy hurmem się zwalili. "
Jeremiah 5:8,"Jako źrebce wytuczone pożądliwi są, każdy do żony bliźniego swego rży. "
Jeremiah 5:9,"Czyżbym takim nie popamiętał, rzecze Wiekuisty, czyżby nad narodem podobnym nie wywarła pomsty dusza Moja? "
Jeremiah 5:10,"Przestąpcie ogrodzenie jej i niszczcie - wszakże do szczętu nie wytrzebiajcie. Pościnajcie wyrośle jej, gdyż do Wiekuistego nie należą! "
Jeremiah 5:11,"Albowiem sprzeniewierzył Mi się wielce dom Israela i dom Judy, rzecze Wiekuisty. "
Jeremiah 5:12,"Zaparli się Wiekuistego, głosząc: nie On to jest! a nie przypadnie na nas niedola, a miecza i głodu nie zaznamy. "
Jeremiah 5:13,"A ci prorocy przeminą z wiatrem, gdyż ów ""Mówiący"" nie jest w nich; ale tak niechaj się stanie im samym! "
Jeremiah 5:14,"Przeto rzecze tak Wiekuisty, Bóg zastępów: ponieważ głosicie mowę taką, przeto przemienię słowa Moje w ustach twoich w ogień, a naród ten w drwa, że pochłonie je. "
Jeremiah 5:15,"Oto przywiodę na was naród z daleka, wy z domu Israela, rzecze Wiekuisty, naród to potężny, naród odwieczny, naród, którego mowy nie znasz a nie rozumiesz co mówi. "
Jeremiah 5:16,Kołczan jego niby grób roztwarty; wszyscy oni mężni. 
Jeremiah 5:17,"I pochłonie użątek twój i chléb twój, pochłonie synów twoich i córki twoje, pochłonie trzody twe i rogaciznę twoją, pochłonie winograd twój i figowe drzewo twoje; opustoszy miasta twe obronne w których dufasz - mieczem. "
Jeremiah 5:18,"Wszakże i w one dni, rzecze Wiekuisty, nie zgładzę was doszczętnie. "
Jeremiah 5:19,"I będzie, gdy się zapytacie: Za co uczynił nam Wiekuisty, Bóg nasz, to wszystko? tedy odpowiesz im: Jakoście opuścili Mnie, a służyli bogom cudzym na ziemi własnej, tak służyć wam obcym na ziemi, która do was nie należy. "
Jeremiah 5:20,"Oznajmcie to w domu Jakóba, a ogłoście w Judzie temi słowy: "
Jeremiah 5:21,"Posłuchajcie tego ludu nierozumny i bez rozwagi, którzy oczy mają a nie widzą, uszy a nie słyszą! "
Jeremiah 5:22,"Czyżbyście się nie mieli Mnie obawiać, rzecze Wiekuisty, albo przed obliczem Mojém nie drżeć, którym ustanowił piasek granicą morza, jako kres odwieczny, którego nie przekroczy. I wzburzą się, ale nie przemogą, i zaszumią fale jego, ale nie przestąpią go. "
Jeremiah 5:23,"Ale ludowi temu dostało się serce wyuzdane i krnąbrne, odstąpili i odeszli. "
Jeremiah 5:24,"I nie pomyśleli w sercu swojém: Obawiajmy się też Wiekuistego, Boga naszego, który spuszcza deszcz wczesny w porze swojej, który tygodnie wyznaczone żniwa nam przechowuje. "
Jeremiah 5:25,"Tylko winy wasze odwróciły je, tylko grzechy wasze odsunęły dobro od was! "
Jeremiah 5:26,"Bo znajdują się w narodzie Moim niegodziwi: czyhają, jak ptasznicy się przyczajają, zastawiają sidła, by ludzi złowić. "
Jeremiah 5:27,Niby klatka pełna ptactwa tak i domy ich pełne łupu chytrości; w ten sposób wzmogli się i zbogacili. 
Jeremiah 5:28,"Roztuczyli się, zalśnili, i wezbrali też zamysłami niegodziwymi; sprawy nie sądzą, sprawy sierot, aby ją przeprowadzili, a prawa ubogich nie dochodzą. "
Jeremiah 5:29,"Czyżbym takim nie popamiętał, rzecze Wiekuisty, czyżby nad narodem podobnym nie wywarła pomsty dusza Moja? "
Jeremiah 5:30,"Okropności, zgrozy dzieją się w tym kraju! "
Jeremiah 5:31,"Prorocy prorokują kłamliwie, a kapłani ciemiężą podług wskazań ich, a naród Mój lubuje się w tém! Ale co poczniecie u kresu tego wszystkiego? "
Jeremiah 6:1,"Uchodźcie synowie Binjamina z Jerozolimy, a w Tekoa uderzcie w surmę i nad Beth-Hakerem wznieście sygnały, bo klęska wyziera z północy i pogrom wielki. "
Jeremiah 6:2,"Ty, nadobna i rozkoszna, giniesz, córo Cyońska! "
Jeremiah 6:3,"Do niej przyciągną pasterze i trzody ich, rozbiją przeciw niej namioty wokoło, strawią każdy dziedzinę swoję. "
Jeremiah 6:4,"Uszykujcie się przeciw niej do boju! Naprzód, abyśmy wtargnęli jeszcze w południe! Biada nam, bo już przemija dzień, już rozciągają się cienie wieczorne! "
Jeremiah 6:5,"Naprzód, abyśmy wtargnęli w nocy i zburzyli zamki jej! "
Jeremiah 6:6,Albowiem tak rzecze Wiekuisty zastępów: Wyrąbcie drzewa jej a usypcie przeciw Jerozolimie szańce! Oto miasto nawiedzić się mające! Przepełnione ono krzywdą nawskroś! 
Jeremiah 6:7,"Jako wylewa źródło swe wody, tak wylewa i ono niecność swoję; bezprawie i grabież rozlega się w niém, przedemną ustawicznie boleść i udręczenia. "
Jeremiah 6:8,"Przyjm przestrogę Jerozolimo, by się nie oderwała dusza Moja od ciebie, bym cię nie obrócił w pustynię, w ziemię niezamieszkaną. "
Jeremiah 6:9,"Tak rzecze Wiekuisty zastępów: Wyzbierać wyzbiorą jako winograd szczątek Israela. Powiedź raz jeszcze ręką swą, niby winiarz nad latoroślami! "
Jeremiah 6:10,"Kogóż jednak mam napominać i przestrzegać, aby posłuchali? Oto przytępione ucho ich, że nie mogą słyszeć! Oto słowo Wiekuistego stało się im urągowiskiem a nie mają w niém upodobania. "
Jeremiah 6:11,"Alem zapalczywością Wiekuistego przesycony, nie mogę jej powstrzymać. Niechaj tedy wyleje się na niemowlę na ulicy i na grono młodzieńców pospołu; bo tak mąż jako niewiasta pojmani będą, starzec wraz z sytym lat. "
Jeremiah 6:12,"I przejdą domy ich na innych, pola i żony ich razem, bo wyciągnę rękę Moję nad mieszkańcami tej ziemi, rzecze Wiekuisty. "
Jeremiah 6:13,"Gdyż od najmłodszego do najstarszego z nich ubiega się każdy za wyzyskiem, a od proroka do kapłana uprawia każdy kłamstwo. "
Jeremiah 6:14,"A chcą uzdrowić ranę ludu Mojego zlekka, powtarzając: pokój! pokój! gdy pokoju niema. "
Jeremiah 6:15,"Wstydzić się będą musieli, że ohydy spełniają; ale niema już dla nich wstydu ani rumienić się nie umieją. Przeto legną między poległymi, czasu, którego ich nawiedzę runą, rzecze Wiekuisty. "
Jeremiah 6:16,"Tak rzekł Wiekuisty: stańcie po drogach i rozejrzcie się i pytajcie się o ścieżki odwieczne, która to droga do szczęścia, abyście postępowali nią, i spoczynek znaleźli dla duszy waszej! Oni wszakże powiedzieli: Nie chcemy iść po niej. "
Jeremiah 6:17,I ustanowiłem nad wami stróżów: Słuchajcie głosu surmy! Oni wszakże powiedzieli: Nie chcemy słuchać! 
Jeremiah 6:18,"Przeto posłuchajcie narody i poznaj zborze, co się stanie między nimi. "
Jeremiah 6:19,"Posłuchaj ziemio! Oto sprowadzę klęskę na naród ten, plon zamysłów ich; albowiem na słowa Moje nie zważali, a naukę Moją - wzgardzili nią. "
Jeremiah 6:20,"Nacóż mi kadzidło, które z Szeby przychodzi, a trzcina kosztowna z ziemi odległej? Całopalenia wasze nie wzbudzają upodobania, a rzeźne ofiary wasze nie są mi przyjemne. "
