Index Title,Zechariah
Zechariah 3:9,"Oto ten kamień, który położyłem przed Jehoszuą, - na ten jeden kamień zwróci się siedm oczu - oto Ja sam wyryję napis jego, rzecze Wiekuisty zastępów: ""Usunę winę ziemi tej dnia jednego"". "
Zechariah 3:10,"Od tego dnia, rzecze Wiekuisty zastępów, wezwiecie znowu każdy bliźniego swego pod winograd i pod figowe drzewo. "
Zechariah 4:1,"Poczem zwrócił się anioł, który dotąd mówił ze mną i obudził mnie jako człowieka, którego budzą ze snu swego. "
Zechariah 4:2,"I zapytał się mnie: Co ty widzisz? I odpowiedziałem: Widzę, oto świecznik cały ze złota, a czasza na wierzchu jego, i siedm lamp na nim, po siedm też cewek do onych lamp, które na wierzchu jego. "
Zechariah 4:3,"Dwa też oliwniki przy nim, jeden po prawej stronie czaszy, a drugi po lewej jej stronie. "
Zechariah 4:4,"I odezwałem się i rzekłem do anioła, który mówił ze mną w te słowa: Co to znaczy, panie mój? "
Zechariah 4:5,"I odezwał się anioł, który mówił ze mną, i rzekł do mnie: Alboż nie rozumiesz co te znaczą? I odpowiedziałem: Nie, panie mój! "
Zechariah 4:6,"Tedy odezwał się i rzekł do mnie w te słowa: Oto słowo Wiekuistego do Zerubabela wyrzeczone: Nie potęgą, ani siłą, lecz duchem Moim, rzecze Wiekuisty zastępów. "
Zechariah 4:7,"Czembyś nie była, góro wielka, przed Zerubabelem będziesz równiną. A dźwignie on kamień zworniczy przy okrzykach: wspaniały, wspaniały on! "
Zechariah 4:8,I doszło mnie słowo Wiekuistego głosząc: 
Zechariah 4:9,"Ręce Zerubabela założyły dom ten, ręce też jego wykończą go, a wtedy poznasz, że Wiekuisty zastępów posłał mnie do was. "
Zechariah 4:10,"Bo któżby śmiał gardzić dniem drobnych początków! Z radością wszak spoglądają na ołowiankę w ręku Zerubabela owe siedm; oczy Wiekuistego to są, rozpatrujące całą ziemię. "
Zechariah 4:11,I odezwałem się i rzekłem do niego: Cóż znaczą te dwa oliwniki po prawej i po lewej stronie świecznika? 
Zechariah 4:12,"I odezwałem się po raz wtóry, i rzekłem do niego: Cóż znaczą te dwie gałązki oliwne u dwóch rurek złotych, które złotawą (oliwę) z siebie wylewają? "
Zechariah 4:13,"Tedy odpowiedział mi, i rzekł: Alboż rzeczywiście nie wiesz co one znaczą? I odpowiedziałem: Nie, Panie! "
Zechariah 4:14,"I rzekł: Są to dwaj pomazańcy, zostawający na służbie przy Panu całej ziemi. "
Zechariah 5:1,"I znowu podniosłem oczy swoje i spojrzałem, a oto rodał unoszący się. "
Zechariah 5:2,"I rzekł do mnie: Co widzisz? I odpowiedziałem: Widzę rodał unoszący się, na dwadzieścia łokci długi i na dziesięć łokci szeroki. "
Zechariah 5:3,"Tedy rzekł do mnie: Oto przekleństwo, które występuje na powierzchnię całej tej ziemi; bo każdy, który kradnie będzie zarówno jak on sam zmieciony ztąd, a każdy, który krzywoprzysięga będzie zarówno jak on sam zmieciony ztąd. "
Zechariah 5:4,"Wywiodłem je, rzecze Wiekuisty zastępów, aby wkroczyło do domu złodzieja, i do domu przysięgającego fałszywie na imię Moje, aby usadowiło się w pośrodku domu jego, i pochłonęło go wraz z belkami i kamieniami jego. "
Zechariah 5:5,"Poczem wystąpił anioł mówiący ze mną, i rzekł do mnie: Podnieśże oczy swe i zobacz co się tu ukazuje! "
Zechariah 5:6,"I rzekłem: Co to jest? I odpowiedział: Oto efa, która się ukazuje; i dodał: oto przewinienie ich na całej tej ziemi. "
Zechariah 5:7,"A oto krąg ołowiany podniósł się, a ukazała się tam kobieta jakaś siedząca wpośrodku efy. "
Zechariah 5:8,"I rzekł: oto niegodziwość! I wrzucił ją napowrót do wnętrza efy, i rzucił krąg ołowiany na jej otwór. "
Zechariah 5:9,"Gdym następnie podniósł oczy swoje ujrzałem nagle dwie kobiety występujące, a wiatr poruszał ich skrzydła - miały bowiem skrzydła na wzór skrzydeł bociana - i uniosły oną efę między ziemię a między niebo. "
Zechariah 5:10,I zapytałem anioła mówiącego ze mną: Dokądże niosą tę efę? 
Zechariah 5:11,"I odpowiedział mi: Aby zbudować jej dom w ziemi Szynear, a gdy urządzony będzie, tedy wstawią ją tam na miejscu swojem. "
Zechariah 6:1,"Znowu podniosłem oczy swoje i spojrzałem, a oto cztery zaprzęgi wojenne ukazały się z pomiędzy dwóch wzgórz; wzgórza zaś one były to wzgórza z kruszcu. "
Zechariah 6:2,"U pierwszego zaprzęgu były konie ryże, a u drugiego zaprzęgu konie wrone. "
Zechariah 6:3,"U zaprzęgu trzeciego konie białe, a u zaprzęgu czwartego konie pstrokate, rude. "
Zechariah 6:4,"I odezwałem się i zapytałem anioła, mówiącego ze mną: Cóż te oznaczają, panie? "
Zechariah 6:5,"I odezwał się anioł, i rzekł do mnie: Są to cztery wiatry nieba; wyruszają właśnie z miejsca gdzie stały przed Panem całej ziemi. "
Zechariah 6:6,"Zaprzęg z końmi wronymi ruszył do kraju na północy, a białe ruszyły w ślad za nimi; pstrokate zaś ruszyły do kraju na południu. "
Zechariah 6:7,"Wyruszyły również i ryże, a miały wyjść, by krążyć po ziemi. I rozkazał: Wyruszcie, krążcie po ziemi! I tak krążyły po ziemi. "
Zechariah 6:8,"Poczem zawołał mnie głośno i rzekł do mnie co następuje: Patrz! Te, które wyruszyły do kraju na północy ukoiły ducha Mego w ziemi północnej. "
Zechariah 6:9,"I doszło mnie słowo Wiekuistego, jak następuje: "
Zechariah 6:10,"Przyjmiesz od wygnańców przez Cheldaja, przez Tobję, i przez Jedaję (złożone dary), poczem udasz się osobiście tegoż samego dnia do domu Joszyi, syna Cefanji, do którego wrócili z Babelu. "
Zechariah 6:11,"I nabierzesz tam srebra i złota a sporządziwszy z tego korony włożysz (jedną) na głowę Jehoszui, syna Jehocadaka, kapłana najwyższego. "
Zechariah 6:12,"I oświadczysz mu, jak następuje: Tak rzecze Wiekuisty zastępów, głosząc: Oto mąż - latorośl imię jego - pod nim rosnąć będzie, a on zbuduje przybytek Wiekuistego. "
Zechariah 6:13,"Tak, on zbuduje przybytek Wiekuistego, i otoczy się blaskiem, i będzie zasiadał i panował na stolicy swojej, a będzie kapłan przy stolicy jego, a jednomyślna zgoda między obydwoma. "
Zechariah 6:14,A pozostaną te korony dla Chelema i Tobji i Jedaji i dla uprzejmości syna Cefanji pamiątką w przybytku Wiekuistego. 
Zechariah 6:15,"A dalecy przyjdą, aby budować około przybytku Wiekuistego, a wtedy poznacie, że Wiekuisty zastępów posłał mnie do was. Spełni się zaś to, gdy ściśle słuchać będziecie głosu Wiekuistego, Boga waszego. "
Zechariah 7:1,"I stało się roku czwartego Darjawesza, króla, że doszło słowo Wiekuistego Zacharjasza, czwartego dnia miesiąca dziewiątego czyli miesiąca Kislew. "
Zechariah 7:2,"Gdy posłano z Bethel Szarecera i Regemmelecha i ludzi jego, by ubłagali oblicze Wiekuistego. "
Zechariah 7:3,"I aby zapytali się kapłanów, którzy przy domu Wiekuistego zastępów i proroków, w tych słowach: Izali mi jeszcze płakać miesiąca piątego, oddając się wstrzemięźliwości, jakom czynił już od tak wielu lat? "
Zechariah 7:4,Doszło mnie wtedy słowo Wiekuistego zastępów jak następuje: 
Zechariah 7:5,"Oświadcz całemu ludowi kraju i kapłanom tak: Gdyście pościli i płakali piątego i siódmego miesiąca w ciągu tych siedmdziesięciu lat, czyście obchodzili post ten dla Mnie? "
Zechariah 7:6,"A gdy się posilacie albo pijecie, czyż nie wy to jesteście, którzy się posilacie albo pijecie? "
Zechariah 7:7,"Izali nie te są słowa, które ogłosił Wiekuisty przez proroków poprzednich, gdy była jeszcze Jerozolima zaludniona a spokoju używała wraz z miastami jej dokoła, a południe i nizina jeszcze zamieszkane były? "
Zechariah 7:8,"I doszło słowo Wiekuistego Zacharjasza, głosząc: "
Zechariah 7:9,"Oto co rzekł był Wiekuisty zastępów mówiąc: wedle istotnego prawa rozsądzajcie, a miłość i miłosierdzie świadczcie jeden drugiemu. "
Zechariah 7:10,"Wdowy i sieroty, cudzoziemca i biednego nie uciskajcie, a nie knujcie nic złego jeden przeciw drugiemu! "
Zechariah 7:11,"Ale nie chcieli zważać, i stawiali kark krnąbrny, uszy swe przytępili, aby nie mogli słuchać. "
Zechariah 7:12,"I uczynili serce swe twardem jak dyament, aby nie słuchali nauki i słów, które zwracał do nich Wiekuisty zastępów duchem Swoim przez proroków poprzednich; i tak nadeszło oburzenie wielkie od Wiekuistego zastępów. "
Zechariah 7:13,"I stało się, że jak On wołał a nie słuchali, tak wołali i oni a Jam nie wysłuchał, rzecze Wiekuisty zastępów. "
Zechariah 7:14,"I uniosłem ich wichrem między wszystkie narody, których nie znali, a ziemia opustoszała za nimi, że nie było ktoby przechodził i wracał; i tak obrócili kraj uroczy w pustkowie. "
Zechariah 8:1,"Poczem doszło (mnie) słowo Wiekuistego zastępów, głosząc: "
Zechariah 8:2,"Tak rzecze Wiekuisty zastępów: Zazdrosny jestem o Cyon zazdrością wielką, a wspłonąłem dlań rzewniwością silną. "
Zechariah 8:3,"Tak rzecze Wiekuisty: Wracam do Cyonu a zamieszkam w Jerozolimie; Jerozolima miastem wiernem nazwaną będzie, a góra Wiekuistego zastępów górą świętą. "
Zechariah 8:4,"Tak rzecze Wiekuisty zastępów: Jeszcze zasiądą starce i staruszki na ulicach Jerozolimy, każdy z laską w ręku dla podeszłego wieku. "
Zechariah 8:5,"I pełne będą ulice chłopców i dziewcząt, bawiących się po ulicach jej. "
Zechariah 8:6,"Tak rzecze Wiekuisty zastępów: Choćby wydawało się to za owych dni szczątkom ludu tego dziwnem, czyżby i Mnie to dziwnem wydawać się miało, rzecze Wiekuisty zastępów. "
Zechariah 8:7,Tak rzecze Wiekuisty zastępów: Oto wybawię lud Mój z ziemi wschodu i z ziemi zachodu słońca. 
Zechariah 8:8,"I sprowadzę ich, aby zamieszkali wpośród Jerozolimy, a byli Mi ludem, a Ja im był Bogiem w prawdzie i w sprawiedliwości. "
Zechariah 8:9,"Tak rzecze Wiekuisty zastępów: Pokrzepiajcie ręce wasze, wy, którzyście usłyszeli w dniach obecnych słowa te z ust proroków, teraz gdy założony został dom Wiekuistego a ma być przybytek odbudowanym. "
Zechariah 8:10,"Albowiem przed owym czasem nie było wynagrodzenia dla (pracy) człowieka ani plonu dla bydła; kto wychodził albo wchodził nie był bezpiecznym z powodu wroga, a napędzałem wszystkich ludzi, jednego przeciw drugiemu. "
Zechariah 8:11,"Obecnie wszakże - nie jak za dni poprzednich stanąłem wobec szczątku ludu tego, rzecze Wiekuisty zastępów. "
Zechariah 8:12,"Albowiem wysiew jest pewnym. Winograd przynosi owoc, a ziemia wydaje plon swój; niebo darzy swoją rosą, a pozwalam szczątkowi ludu tego wszystko to posiąść. "
Zechariah 8:13,"I jako byliście przekleństwem między narodami, wy z domu Judy i z domu Israela, tak wspomogę was, abyście się stali błogosławieństwem. Nie obawiajcie się, niechaj się krzepią ręce wasze! "
Zechariah 8:14,"Gdyż tak rzecze Wiekuisty zastępów: Jakom postanowił źle wam uczynić, gdy rozjątrzyli Mnie ojcowie wasi, rzecze Wiekuisty zastępów, a nie rozmyśliłem się, "
Zechariah 8:15,Tak postanowiłem znowu w dniach obecnych dobrze świadczyć Jerozolimie i domowi Judy. Nie obawiajcie się! 
Zechariah 8:16,"Oto rzeczy, które spełniać macie: Mówcie wprawdzie jeden z drugim! Prawdziwym a uczciwym sądem rozsądzajcie w bramach waszych! "
Zechariah 8:17,"Nie knujcie nic złego przeciw bliźnim w sercu waszem, a w krzywoprzysięztwie nie miejcie upodobania! Bo wszystkiego tego nienawidzę, rzecze Wiekuisty. "
Zechariah 8:18,"I doszło mnie słowo Wiekuistego, głosząc: "
Zechariah 8:19,Tak rzecze Wiekuisty zastępów: Post czwartego i post piątego i post siódmego i post dziesiątego miesiąca obróci się dla domu Judy w rozkosz i wesele i w święta radosne; ale prawdę i pokój miłujcie! 
Zechariah 8:20,"Tak rzecze Wiekuisty zastępów: Jeszcze przybędą ludy i mieszkańcy miast licznych, "
Zechariah 8:21,"A zwrócą się mieszkańcy jednego do drugiego i powiedzą: Wyruszmy a idźmy, by ubłagać Wiekuistego i by szukać Wiekuistego zastępów. I ja pójść pragnę! "
Zechariah 8:22,"I tak przyjdą narody liczne i ludy potężne, by szukać Wiekuistego zastępów w Jerozolimie, i by ubłagać oblicze Wiekuistego. "
Zechariah 8:23,"Tak rzecze Wiekuisty zastępów: W one dni to będzie, że uchwyci się dziesięciu mężów z każdego języka narodów, - tak, uchwycą się kraju sukni jednego Judejczyka i powiedzą: pójdziem z wami, bośmy słyszeli, że jest Bóg u was! "
Zechariah 9:1,"Wyrocznia. Słowo Wiekuistego przeciw ziemi Chadrach, a w Damaszku spadnie ono - albowiem oko Wiekuistego spogląda na ludzi i na wszystkie pokolenia Israela! "
Zechariah 9:2,"I przeciw Chamath, które graniczy z nim, i przeciw Corowi i Cydonowi; były wszak tak nadmiernie mądre! "
Zechariah 9:3,"Zbudował sobie Cor wał wokoło, nagromadził srebra niby prochu a złota niby błota po ulicach. "
Zechariah 9:4,"Oto Pan go wydziedziczy i strąci w morze potęgę jego, on sam zaś w ogniu spłonie. "
Zechariah 9:5,"Zobaczy to Aszkalon i zatrwoży się, Aza - a zadrży silnie, i Ekron - bo zawiodła nadzieja jego. Zniknie król z Azy a Aszkalon nie będzie zaludnione. "
Zechariah 9:6,"I zamieszkają mieszańce w Aszdodzie, i złamią dumę Pelisztów. "
Zechariah 9:7,"I wydrę im krew ich z ust, a obmierzłości z pośród zębów ich. A wtedy pozostaną i oni dla Boga naszego, a będą jako książęta w Judzie, a mieszkańcy Ekronu jako Jebusyci. "
Zechariah 9:8,"I położę się przy domu Moim jako straż przeciw każdemu, który przychodzi i odchodzi. Nie napadnie już nań ciemięzca, bo patrzą teraz oczy Moje. "
Zechariah 9:9,"Raduj się głośno, córo Cyonu! Wykrzykuj, córo Jerozolimy! Oto król twój przyjdzie do ciebie - sprawiedliwy a zwycięzki on; skromny, na oślęciu przyjedzie, na młodym źrebcu oślim. "
Zechariah 9:10,"Wtedy wytracę wozy z Efraima i rumaki z Jerozolimy, a skruszony będzie łuk wojenny; ogłosi on pokój narodom. Władza jego sięgnie od morza do morza, i od rzeki aż do kończyn ziemi. "
Zechariah 9:11,"A co do ciebie - dla krwi przymierza twojego wyzwolę więźniów twoich z jamy, w której niemasz wody. "
Zechariah 9:12,Wróćcie do twierdzy więźniowie nadziei! Już dzień dzisiejszy zwiastuje: podwójną nagrodę spłacę tobie. 
Zechariah 9:13,"Bo napiąłem Sobie Judę jako łuk, napełniłem (strzałami) Efraima, i rozbudzę synów twoich Cyonie przeciw synom twoim Jawanie! i przeistoczę cię w miecz bohatera. "
Zechariah 9:14,"Wiekuisty nad nimi się ukaże, a jako błyskawica wyleci strzała Jego; Pan Wiekuisty w trąbę uderzy i kroczyć będzie z wichrami południa. "
Zechariah 9:15,"Wiekuisty zastępów osłoni ich, że pochłoną i pokonają kamienie procowe, i będą pili szumiąc jakby od wina, i napełnią się jako czasze ofiarne, jako węgły ofiarnicy. "
Zechariah 9:16,"I wspomoże im Wiekuisty, Bóg ich, dnia onego jako trzodzie swego ludu: bo kamienie w koronie to są, błyszczące na ziemi Jego. "
Zechariah 9:17,"Bo jakże wspaniałym i jak pięknym będzie! Zboże wyhoduje młodzieńców, a moszcz dziewice. "
Zechariah 10:1,"Uproście dżdże u Wiekuistego w porze deszczu późnego. Wiekuisty to jest, który błyskawice tworzy, a który ulewy im użyczy, każdemu ziołu na polu. "
Zechariah 10:2,"Bo terafy wypowiadają orzeczenia płonne, a wróżbici miewają widzenia kłamliwe, a sny fałszywe tylko głoszą, próżną pociecha ich. Bo zmuszeni będą wyruszyć jako trzoda, muszą cierpieć, bo niema pasterza. "
Zechariah 10:3,"Na pasterzy wspłonął gniew Mój, a na przodujących baranach to nawiedzę. Bo wspomni Wiekuisty zastępów na trzodę Swoję, na dom Judy, i uczyni go wspaniałym rumakiem Swym na wojnie. "
Zechariah 10:4,"Z niego wyjdzie filar, z niego gwóźdź, z niego łuk wojenny, z niego wódz wszelki. "
Zechariah 10:5,"I będą jako bohaterowie, tratujący błoto uliczne w boju, a będą walczyli, gdyż Wiekuisty z nimi, tak że zhańbieni będą, którzy na rumakach jeżdżą. "
Zechariah 10:6,"I natchnę bohaterstwem dom Judy, a dom Józefa wspomogę, i sprowadzę ich napowrót; gdyż zmiłuję się nad nimi, a będą jakobym ich nigdy nie porzucił. Albowiem Ja Wiekuisty, Bóg ich, a wysłucham ich. "
Zechariah 10:7,"A będą jako bohaterowie ci z Efraimu i rozweseli się serce ich jakby od wina, a dzieci ich to zobaczą i ucieszą się, rozraduje się serce ich w Wiekuistym. "
Zechariah 10:8,"Zaświsnę na nich i zgromadzę ich, gdyż wyzwolę ich; i znowu liczni będą jak niegdyś byli. "
Zechariah 10:9,"Rozsieję ich między ludami, ale w najodleglejszych krajach wspomną o Mnie, a zostaną przy życiu wraz z dziećmi swojemi i powrócą. "
Zechariah 10:10,"I sprowadzę ich z Micraimu, i z Aszuru zgromadzę ich, i zawiodę ich do ziemi Gilead i na Liban, a nie starczy im miejsca. "
Zechariah 10:11,"I przejdzie po morzu znękanie, i uderzy w morzu fale, że wyschną wszystkie głębie rzeki, i strącona będzie duma Aszuru, a berło Micraimu ustąpi. "
Zechariah 10:12,"I pokrzepię ich w Wiekuistym, a w imieniu Jego postępować będą, rzecze Wiekuisty. "
Zechariah 11:1,"Otwórz Libanie bramy twoje, a niechaj chłonie ogień wpośród cedrów twoich! "
Zechariah 11:2,"Biadaj, cyprysie, że padł cedr, że spustoszone (drzewa) wspaniałe! Biadajcie dęby Baszanu, że runął las niedostępny! "
Zechariah 11:3,"Odgłos narzekania pasterzy, że spustoszona wspaniałość ich; odgłos poryku lwiąt, że spustoszona gęstwina Jardenu. "
Zechariah 11:4,"Tak rzekł Wiekuisty, Bóg mój: paś trzodę na rzeź przeznaczoną. "
Zechariah 11:5,"Której nabywcy ją zarzynają, nie pokutując za to, a której sprzedawcy powiadają: błogosławiony Wiekuisty, żem się zbogacił! której właśni pasterze nie oszczędzają. "
Zechariah 11:6,"Albowiem nie oszczędzę więcej mieszkańców tej ziemi, rzecze Wiekuisty; bo oto wydam tych ludzi, każdego w moc bliźniego, i w moc króla jego, a ci zmiażdżą kraj, a nie wyzwolę z ręki ich. "
Zechariah 11:7,"I tak pasłem trzodę na rzeź przeznaczoną, zaprawdę najnędzniejszą z trzód i wziąłem sobie dwa kosztury; jeden nazwałem ""urok"", a drugi ""skojarzenie"", i tak pasłem owe owce. "
Zechariah 11:8,"I zgładziłem trzech pasterzy w jednym miesiącu; ale naprzykrzyła ich sobie dusza moja, a i one powzięły niechęć do mnie. "
Zechariah 11:9,"I rzekłem: nie będę wam dłużej pasterzył - niechaj padnie, które upaść chce, a która zaginęła niechaj zaginie, a które jeszcze pozostały, niechaj jedna ciało drugiej poźre. "
Zechariah 11:10,"Poczem wziąłem kosztur mój ""urok"" i połamałem go, aby złamać umowę, którąm był zawarł z wszystkimi ludami. "
Zechariah 11:11,"Gdy tedy złamaną została, tegoż samego dnia poznały najnędzniejsze z owiec, które zważały na mnie, że było to słowo Wiekuistego. "
Zechariah 11:12,"Poczem rzekłem do nich: Jeżeli to dobrem w oczach waszych dajcie mi wysługę moję, a jeżeli nie, zaniechajcie! Wtedy odważyli mi wysługę moję, trzydzieści srebrników. "
Zechariah 11:13,"Wiekuisty wszakże rzekł do mnie: Rzuć ją do skarbca, tę wspaniałą cenę, którą przez nich oceniony zostałem! I tak wziąłem one trzydzieści srebrników i rzuciłem je do domu Wiekuistego, do skarbca. "
Zechariah 11:14,"Poczem złamałem i drugi mój kosztur ""skojarzenie"", aby zerwać przyjaźń między Judą a Israelem. "
Zechariah 11:15,I rzekł do mnie Wiekuisty: Weź sobie raz jeszcze przybory pasterza kiepskiego. 
Zechariah 11:16,"Bo oto ustanowię Ja pasterza na tej ziemi, który o zaginionych nie wspomni, rześkiej nie poszuka, zranionej nie wyleczy, zdrowej nie zaopatrzy, ale mięso tłustej poźre a racice jej rozszarpie. "
Zechariah 11:17,"Biada pasterzowi niegodnemu, który trzodę opuszcza! Miecz na jego ramię i na oko jego prawe! Ramię jego niechaj poschnie, a prawe oko jego niechaj przygaśnie! "
Zechariah 12:1,"Wyrocznia. Słowo Wiekuistego o Israelu, wyrzeczenie Wiekuistego, który rozpostarł niebo i ugruntował ziemię, a ducha człowieka w jego wnętrzu ukształtował. "
