Index Title,Exodus
Exodus 3:6,"I rzekł: ""Jam Bóg ojca twojego, Bóg Abrahama, Bóg Ic'haka i Bóg Jakóba."" I zakrył Mojżesz oblicze swoje, obawiał się bowiem spojrzeć ku Bogu. "
Exodus 3:7,"I rzekł Wiekuisty: ""Widziałem, widziałem Ja nędzę ludu Mojego, co w Micraim, a wołanie ich słyszałem przed ciemięzcami jego, gdyż poznałem cierpienia jego; "
Exodus 3:8,"I idę ocalić go z ręki Micrejczyków, i wyprowadzić go z ziemi tej, do ziemi pięknej i przestronnej, do ziemi opływającej mlekiem i miodem, do siedziby Kanaanejczyków, i Chittejczyków, i Emorejczyków, i Peryzejczyków, i Chiwitów i Jebusytów. "
Exodus 3:9,"A teraz, - oto wołanie synów Israela doszło do Mnie, i widziałem téż ucisk, którym Micrejczycy uciskają ich. "
Exodus 3:10,"I tak pójdź, - Ja poszlę cię do Faraona - a wyprowadź lud Mój, synów Israela, z Micraim."" "
Exodus 3:11,"I rzekł Mojżesz do Boga: ""Któż ja jestem, abym poszedł do Faraona, a wywiódł synów Israela z Micraimu?"" "
Exodus 3:12,"I rzekł: ""Wszak będę z tobą: a to ci znakiem, żem Ja cię posłał!... Gdy zaś wywiedziesz lud z Micraim, będziecie służyli Bogu przy górze tej."" "
Exodus 3:13,"I rzekł Mojżesz do Boga: ""Oto przyjdę do synów Israela i powiem im: Bóg ojców waszych posłał mnie do was; a gdy powiedzą mi: Jakie imię Jego? Cóż odpowiem im?"" "
Exodus 3:14,"I rzekł Bóg do Mojżesza: ""Będę, który będę."" I rzekł: ""Tak powiesz synom Israela: ""Wieczny posyła mnie do was!"" "
Exodus 3:15,"I rzekł dalej Bóg do Mojżesza: ""Tak powiesz synom Israela: Wiekuisty Bóg ojców waszych, Bóg Abrahama, Bóg Ic'haka, i Bóg Jakóba, posłał mnie do was. Oto imię Moje na wieki i oto wspomnienie o Mnie od pokolenia do pokolenia! "
Exodus 3:16,"Idź, a zgromadź starszych Israela i powiedz im: Wiekuisty, Bóg ojców waszych, objawił mi się, Bóg Abrahama, Ic'haka i Jakóba, i rzekł: Wejrzałem na was i na to co uczyniono wam w Micraim. "
Exodus 3:17,"I rzekłem: Wywiodę was z nędzy Micraimu - do ziemi Kanaanejczyków, i Chiwitów i Jebusytów, do ziemi opływającej mlekiem i miodem. "
Exodus 3:18,"I usłuchają głosu twojego; a przyjdziesz ty i starsi Israela do króla Micraimu, i powiecie mu: Wiekuisty, Bóg Ibrejczyków, objawił się nam; a przeto chcielibyśmy pójść drogą trzech dni do pustyni, by ofiarować Wiekuistemu, Bogu naszemu. "
Exodus 3:19,"Ale Ja wiem, iż nie pozwoli wam król Micraimu odejść, nawet mimo ręki przemożnej... "
Exodus 3:20,"A tak wyciągnę rękę Moję i porażę Micraim wszystkiemi cudami Mojemi, których dokonam w pośród niego; a potém wypuści was. "
Exodus 3:21,"I dam łaskę ludowi temu w oczach Micrejczyków i będzie, że gdy pójdziecie, nie pójdziecie z niczém. "
Exodus 3:22,"Lecz wyprosi każda niewiasta u sąsiadki swojej i u mieszkanki domu swego - naczyń srebrnych i naczyń złotych i szat, i włożycie to na synów waszych i na córki wasze, i wypróżnicie Micrejczyków.» "
Exodus 4:1,"I odpowiedział Mojżesz i rzekł: ""Jeżeli nie uwierzą mi, i nie usłuchają głosu mojego; jeżeli powiedzą: nie ukazał ci się Wiekuisty...?"" "
Exodus 4:2,"I rzekł doń Wiekuisty: ""Co to w ręku twoim?"" I odpowiedział: ""Laska."" "
Exodus 4:3,"I rzekł: ""Rzuć ją na ziemię!"" I rzucił ją na ziemię, a zamieniła się w węża; i uciekł Mojżesz przed nim. "
Exodus 4:4,"I rzekł Wiekuisty do Mojżesza: ""Wyciągnij rękę twoję, a pochwyć go za ogon!"" I wyciągnął rękę swoję i pochwycił go, i zamienił się w laskę w dłoni jego. "
Exodus 4:5,"""Aby uwierzyli, iż objawił ci się Wiekuisty, Bóg ojców ich, Bóg Abrahama, Bóg Ic'haka i Bóg Jakóba."" "
Exodus 4:6,"I rzekł Wiekuisty dalej do niego: ""Włóżże rękę twoję w zanadrze twe."" I włożył rękę swoję w zanadrze swe, a wyjąwszy ją, - a oto ręka jego trędowata, jako śnieg. "
Exodus 4:7,"I rzekł: ""Włóż napowrót rękę twoję w zanadrze swe,"" a wyjąwszy ją z zanadrza swojego - a oto stała się znowu jako ciało jego. "
Exodus 4:8,"""I będzie - jeżeli nie uwierzą ci, i nie usłuchają głosu znaku pierwszego, to uwierzą głosowi znaku ostatniego. "
Exodus 4:9,"A jeżeli nie uwierzą i dwom tym znakom, i nie usłuchają głosu twojego, to weźmiesz wody z rzeki i wylejesz na ląd; a wtedy przemieni się woda, którą weźmiesz z rzeki, i obróci się w krew na lądzie."" "
Exodus 4:10,"I rzekł Mojżesz do Wiekuistego: ""Wybacz Panie, nie jestem ja człowiekiem wymowy, i nie byłem takim ni wczoraj, ni onegdaj, ni odkąd począłeś mówić ze sługą Twoim, gdyż ociężałych ust i ociężałego języka jestem."" "
Exodus 4:11,"I rzekł Wiekuisty do niego: ""Kto dał usta człowiekowi, albo kto czyni niemym, albo głuchym, albo widzącym, albo ślepym? Czyż nie Ja, Wiekuisty? "
Exodus 4:12,"I tak idź, a Ja będę z usty twojemi i nauczę cię, co mówić masz."" "
Exodus 4:13,"I rzekł: ""Wybacz Panie! poszlij kogo bądź posłać chcesz."" "
Exodus 4:14,"I zapłonął gniew Wiekuistego na Mojżesza, i rzekł: ""Oto Ahron, brat twój, Lewita; wiem, że on dobrze mówi, a oto téż wyjdzie na spotkanie twoje, i zobaczy cię, i ucieszy się w sercu swojém; "
Exodus 4:15,"I tak będziesz mówił z nim, i wkładał słowa w usta jego, a Ja będę z usty twojemi i z usty jego, i nauczę was, co wam uczynić. "
Exodus 4:16,"I będzie przemawiał za ciebie do ludu; i tak posłuży on ci za usta, a ty mu będziesz miasto Boga. "
Exodus 4:17,"A laskę tę weźmiesz w rękę twoję; nią owe znaki wykonasz."" "
Exodus 4:18,"I poszedł Mojżesz, i wrócił do Jthry, teścia swojego, i powiedział mu: ""Chciałbym téż pójść, i powrócić do braci moich, co w Micraim, i zobaczyć, czy jeszcze żywi."" I rzekł Jthro do Mojżesza: ""Idź w pokoju!"" "
Exodus 4:19,"I rzekł Wiekuisty do Mojżesza w Midjan: ""Idź, wróć do Micraim, gdyż pomarli wszyscy ludzie, czyhający na życie twoje."" "
Exodus 4:20,"I wziął Mojżesz żonę swoję i synów swoich, i wsadził ich na osła, i wrócił do ziemi Micraim. I wziął Mojżesz laskę Bożą w rękę swoję. "
Exodus 4:21,"I rzekł Wiekuisty do Mojżesza: ""Skoro pójdziesz, by wrócić do Micraim, uważaj: wszystkie cuda, które podałem w rękę twoję, spełnij je, w obliczu Faraona. A ja ukrnąbrnię serce jego i nie uwolni ludu. "
Exodus 4:22,"I powiesz Faraonowi: tak rzecze Wiekuisty: Syn Mój, pierworodny Mój, jest Israel. "
Exodus 4:23,"A powiadam tobie: uwolnij syna Mojego, aby Mi służył; a jeżeli nie zechcesz go uwolnić, to oto zabiję Ja syna twojego, pierworodnego twojego."" "
Exodus 4:24,"I stało się w drodze, na gospodzie, że spotkał go Wiekuisty i zamierzył go zabić. "
Exodus 4:25,"I wzięła Cyppora krzemień ostry, i obrzezała napletek syna swego, i dotknęła nóg jego, i rzekła: ""Tak, oblubieńcem krwi jesteś mi!"" "
Exodus 4:26,"I odstąpił od niego. Wtedy rzekła: ""Oblubieniec krwi przez obrzezanie!"" "
Exodus 4:27,"I rzekł Wiekuisty do Ahrona: ""Wyjdź naprzeciw Mojżesza do pustyni."" I poszedł i spotkał go przy górze Bożej, i ucałował go. "
Exodus 4:28,"I opowiedział Mojżesz Ahronowi wszystkie słowa Wiekuistego, który go posłał, i wszystkie znaki, które mu polecił. "
Exodus 4:29,"I poszli Mojżesz i Ahron, i zgromadzili wszystkich starszych synów Israela. "
Exodus 4:30,"I opowiedział Ahron wszystkie słowa, które wyrzekł Wiekuisty do Mojżesza, i wykonał znaki owe, w oczach ludu. "
Exodus 4:31,"I uwierzył lud; a słysząc, że wejrzał Wiekuisty na synów Israela, i że zobaczył nędzę ich, ukorzyli się i pokłonili. "
Exodus 5:1,"A następnie przyszli Mojżesz i Ahron, i rzekli do Faraona: ""Tak rzecze Wiekuisty, Bóg Israela: uwolnij lud Mój, aby Mi obchodzili święto na puszczy."" "
Exodus 5:2,"I rzekł Faraon: ""Któż jest Wiekuisty, żebym słuchał głosu Jego, by uwolnić Israela? Nie znam Wiekuistego, a Israela téż nie uwolnię."" "
Exodus 5:3,"I rzekli: ""Bóg Ibrejczyków objawił się nam. Chcielibyśmy pójść drogą trzech dni, do pustyni, i ofiarować Wiekuistemu Bogu naszemu, - aby nie nawiedził nas morem lub mieczem."" "
Exodus 5:4,"I rzekł do nich król Micraimu: ""Czemu to, Mojżeszu i Ahronie, odwodzicie lud od zatrudnień jego? - Idźcie do robót waszych!"" "
Exodus 5:5,"I rzekł Faraon: ""Wszak licznym już lud ziemi, a wy chcecie ich oderwać od robót ich?"" "
Exodus 5:6,"I rozkazał Faraon tegoż dnia naganiaczom ludu i nadzorcom jego, mówiąc: "
Exodus 5:7,"""Nie dawajcie nadal słomy ludowi do wyrabiania cegieł, jak wczoraj i onegdaj; sami niech idą i zbierają sobie słomę. "
Exodus 5:8,"A wyznaczoną ilość cegieł, którą wyrabiali wczoraj i onegdaj, nałożycie na nich, nie ujmiecie z niej; bo leniwi są, a przeto wołają, mówiąc: pójdziemy, będziemy ofiarowali Bogu naszemu! "
Exodus 5:9,"Niechaj zacięży robota na tych ludziach, i niech się zajmą nią, a nie będą się oglądali na mowy puste!"" "
Exodus 5:10,"I wyszli naganiacze ludu i dozorcy jego i rzekli do ludu, mówiąc: ""Tak rzecze Faraon: nie daję wam słomy. "
Exodus 5:11,"Sami idźcie, bierzcie sobie słomę, gdzie znajdziecie, choć z roboty waszej nic się nie ujmie!"" "
Exodus 5:12,"I rozproszył się lud po całej ziemi Micraim, aby zbierać ścierń miasto słomy. "
Exodus 5:13,"A naganiacze przynaglali mówiąc: ""Spełniajcie roboty wasze, robotę każdodzienną, dnia swojego, jako wówczas, gdy była słoma."" "
Exodus 5:14,"I bici byli nadzorcy synów Israela, których ustanowili nad nimi naganiacze Faraona, mówiąc: ""Czemu nie spełniliście powinności waszej w wyrabianiu cegieł jak onegdaj, i wczoraj i dzisiaj?"" "
Exodus 5:15,"I przyszli nadzorcy synów Israela i wołali do Faraona, mówiąc: ""Czemu czynisz tak sługom twoim? "
Exodus 5:16,"Słomy nie daje się sługom twoim, a cegły, powiadają nam, wyrabiajcie, a oto słudzy twoi bici są, a czémże zgrzeszył lud twój?"" "
Exodus 5:17,"I rzekł: ""Leniwcy jesteście, leniwcy; przeto powiadacie: pójdziemy, będziemy ofiarowali Wiekuistemu! "
Exodus 5:18,"I tak idźcie, róbcie, a słomy nie da się wam; ale naznaczonej ilości cegieł dostarczajcie!"" "
Exodus 5:19,"I ujrzeli się dozorcy synów Israela w biedzie, gdy im mówiono: nie ujmujcie z cegieł waszych, z roboty każdodziennej, dnia swojego. "
Exodus 5:20,"I spotkali Mojżesza i Ahrona, stojących na drodze, gdy wychodzili od Faraona, "
Exodus 5:21,"I rzekli do nich: ""Niechaj wejrzy Wiekuisty na was, a rozsądzi, żeście obmierzili nas w oczach Faraona i w oczach sług jego, podawszy miecz w rękę ich, by zabili nas!"" "
Exodus 5:22,"I zwrócił się Mojżesz do Wiekuistego i rzekł: ""Panie! czemuś to zło wyrządził ludowi temu, czemu posłałeś mnie? "
Exodus 5:23,"Wszak od chwili, gdym przyszedł do Faraona, by przemawiać w imieniu Twojém, gorzej się obchodzi z ludem tym; a ocalić - nie ocaliłeś ludu Twojego!"" "
Exodus 6:1,"I rzekł Wiekuisty do Mojżesza: ""Teraz zobaczysz, co uczynię Faraonowi! Gdyż dla ręki przemożnej uwolni ich i dla ręki przemożnej wypędzi ich z ziemi swojej!"" "
Exodus 6:2,"I rzekł Bóg do Mojżesza, i powiedział doń: ""Jam Wiekuisty! "
Exodus 6:3,"I objawiłem się Abrahamowi, Ic'hakowi i Jakóbowi, jako Bóg wszechmogący, ale imieniem Mojém - Wiekuisty, nie dałem się poznać im. "
Exodus 6:4,"I ustanowiłem téż przymierze Moje z nimi, abym im oddał ziemię Kanaan, ziemię pobytu ich, w której przebywali. "
Exodus 6:5,"Jam téż usłyszał jęk synów Israela, których Micrejczycy ujarzmiają - i wspomniałem na przymierze Moje. "
Exodus 6:6,"Przeto powiedz synom Israela: Jam Wiekuisty, a wywiodę was z pod brzemienia Micraimu, i wybawię was od służby ich, i wyswobodzę was ramieniem wyciągniętém i sądami wielkimi. "
Exodus 6:7,"I przyjmę was Sobie za lud, i będę wam Bogiem, a poznacie, żem Ja Wiekuisty, Bóg wasz, który wyprowadza was z pod brzemienia Micraimu. "
Exodus 6:8,"A wyprowadzę was do owej ziemi, co podniosłem rękę Moję, abym ją dał Abrahamowi, Ic'hakowi i Jakóbowi, a oddam ją wam w dziedzictwo: Ja Wiekuisty!"" "
Exodus 6:9,I mówił tak Mojżesz do synów Israela: ale nie słuchali Mojżesza dla niemocy ducha i dla pracy ciężkiej. 
Exodus 6:10,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Exodus 6:11,"""Idź, powiedz Faraonowi, królowi Micraimu, aby uwolnił synów Israela z ziemi swojej."" "
Exodus 6:12,"I rzekł Mojżesz przed Wiekuistym, mówiąc: ""Oto synowie Israela nie słuchają mnie, a jakże usłucha mnie Faraon? A jam zająkliwych ust!"" "
Exodus 6:13,"I rzekł Wiekuisty do Mojżesza i do Ahrona, i dał im zlecenie do synów Israela i do Faraona króla Micraimu, aby wyprowadzić synów Israela z ziemi Micraim. "
Exodus 6:14,"A oto głowy rodów ich: Synowie Reubena, pierworodnego Israela: Chanoch i Fallu, Checron i Charmi. Oto rodziny Reubena. "
Exodus 6:15,"A synowie Szymeona: Jemuel, i Jamin, i Ohad, i Jachin, i Cochar i Szaul, syn Kanaanejki. Oto rodziny Szymeona. "
Exodus 6:16,"A oto imiona synów Lewiego, podług rodowodów ich: Gerszon, i Kehat i Merari. A lata życia Lewiego: sto trzydzieści i siedm lat. "
Exodus 6:17,"A synowie Gerszona: Libny i Szymei, podług rodzin ich. "
Exodus 6:18,"A synowie Kehatha: Amram, i Ic'har, i Chebron, i Uzyel. A lata życia Kehatha: sto trzydzieści i trzy lata. "
Exodus 6:19,A synowie Merary: Machli i Muszy. Oto rodziny Lewiego wedle rodowodów ich. 
Exodus 6:20,"I pojął Amram Jochebedę, ciotkę swoję, sobie za żonę; i urodziła mu Ahrona i Mojżesza. A lata życia Ahrona: sto trzydzieści i siedm lat. "
Exodus 6:21,"A synowie Ic'hara: Korach, i Nefeg i Zychry. "
Exodus 6:22,"A synowie Uzyela: Miszael, i Elcafan i Sythry. "
Exodus 6:23,"I pojął Ahron Eliszebę, córkę Aminadaba, siostrę Nachszona sobie za żonę, i urodziła mu Nadaba, i Abihu, Elazara i Ithamara. "
Exodus 6:24,"A synowie Koracha: Assyr, i Elkana i Abiasaf. Oto rodziny Korachidów. "
Exodus 6:25,"A Elazar, syn Ahrona, pojął sobie jednę z córek Putiela za żonę, i urodziła mu Pinchasa. Oto głowy rodów Lewickich, podług rodzin ich. "
Exodus 6:26,"Oto Ahron i Mojżesz, do których rzekł Wiekuisty: ""Wyprowadźcie synów Israela z ziemi Micraim zastępami ich!"" "
Exodus 6:27,"Oni to przemawiali do Faraona, króla Micraimu, względem wyprowadzenia synów Israela z Micraim; oto - Mojżesz i Ahron! "
Exodus 6:28,"I tak stało się w dniu, w którym mówił Wiekuisty do Mojżesza w ziemi Micraim; "
Exodus 6:29,"Gdy mianowicie rzekł Wiekuisty do Mojżesza mówiąc: ""Jam Wiekuisty! Powtórz Faraonowi, królowi Micraimu, wszystko co mówię do ciebie,"" -  "
Exodus 6:30,"Że rzekł Mojżesz przed Wiekuistym: ""Otom ja zająkliwych ust, a jakże usłucha mnie Faraon?"" "
Exodus 7:1,"I rzekł Wiekuisty do Mojżesza: ""Patrz, ustanawiam cię Panem nad Faraonem; a Ahron, brat twój, będzie prorokiem twoim. "
Exodus 7:2,"Ty będziesz mówił wszystko, co ci przykażę, a Ahron brat twój będzie przemawiał do Faraona, żeby uwolnił synów Israela z ziemi swojej. "
Exodus 7:3,"Ja zaś ukrnąbrnię serce Faraona, i rozmnożę znaki Moje i cuda Moje w ziemi Micraim. "
Exodus 7:4,"I nie usłucha was Faraon; i położę rękę Moję na Micraim, i wywiodę zastępy Moje, lud Mój, synów Israela, z ziemi Micraim sądami wielkimi. "
Exodus 7:5,"I poznają Micrejczycy, żem Ja Wiekuisty, gdy wyciągnę rękę Moję na Micraim, i wywiodę synów Israela z pośród nich!"" "
Exodus 7:6,I uczynił tak Mojżesz i Ahron; jako przykazał im Wiekuisty tak uczynili. 
Exodus 7:7,"A Mojżesz miał ośmdziesiąt lat a Ahron ośmdziesiąt i trzy lata, gdy poczęli mówić do Faraona... "
Exodus 7:8,I rzekł Wiekuisty do Mojżesza i do Ahrona tak: 
Exodus 7:9,"""Jeżeli powié wam Faraon, mówiąc: dajcie jaki znak o sobie; tedy powiesz do Ahrona: weź laskę twoję, a rzuć przed Faraonem; obróci się ona w węża."" "
Exodus 7:10,"I przyszli Mojżesz i Ahron do Faraona, i uczynili tak, jako rozkazał Wiekuisty. I rzucił Ahron laskę swoję przed Faraonem i przed sługami jego i obróciła się w węża. "
Exodus 7:11,"Ale wezwał téż i Faraon mędrców i czarowników i uczynili i oni, wróżbici Micraimu, czarami swoimi to samo. "
Exodus 7:12,"I rzucili każdy laskę swą, a zamieniły się w węże; ale połknęła laska Ahrona laski ich. "
Exodus 7:13,"Ale skrnąbrniało serce Faraona i nie usłuchał ich, jako powiedział Wiekuisty. "
Exodus 7:14,"I rzekł Wiekuisty do Mojżesza: ""Uporném serce Faraona, wzbrania się on uwolnić lud! "
Exodus 7:15,"Idź do Faraona z rana; oto wychodzi on nad wodę: stań tedy na drodze jego, nad brzegiem rzeki, a laskę, która obróciła się była w węża, weźmiesz w rękę twoję. "
Exodus 7:16,"I powiedz mu: Wiekuisty, Bóg Ibrejczyków posłał mnie do ciebie, mówiąc: uwolnij lud Mój, aby mi odprawili służbę na pustyni; a oto nie usłuchałeś dotąd. "
Exodus 7:17,"Tak tedy rzecze Wiekuisty: przez to poznasz, żem Ja Wiekuisty: oto uderzę ja laską, która w ręku moim, na wody co w rzece, a obrócą się w krew; "
Exodus 7:18,"A ryby, co w rzece, pomrą, i zatęchnie rzeka, i brzydzić się będą Micrejczycy pić wodę z rzeki."" "
Exodus 7:19,"I rzekł Wiekuisty do Mojżesza: ""Powiedz Ahronowi: weź laskę twoję, a wyciągnij rękę twoję na wody Micraimu, na strumienie ich, na kanały ich, i na jeziora ich, i na wszystkie zbiorniki wód ich, a obrócą się w krew i będzie krew w całej ziemi Micraim, nawet w naczyniach drewnianych i kamiennych. "
Exodus 7:20,"I uczynili tak Mojżesz i Ahron, jak przykazał Wiekuisty. I podniósł laskę i uderzył wodę, co w rzece, w oczach Faraona i w oczach sług jego, - i obróciła się wszystka woda, co w rzece, w krew; "
Exodus 7:21,"A ryby, które były w rzece, posnęły, i zatęchła rzeka, i nie mogli Micrejczycy pić wody z rzeki; i była krew ta w całej ziemi Micraim. "
Exodus 7:22,"I uczynili to samo i wróżbici Micraimu czarami swoimi. I skrnąbrniało serce Faraona, i nie usłuchał ich, jako powiedział Wiekuisty. "
Exodus 7:23,"I odwrócił się Faraon, i poszedł do domu swego; i nie zwrócił uwagi i na to. "
Exodus 7:24,"I poczęli kopać wszyscy Micrejczycy w okolicach rzeki, by dostać wodę do picia; gdyż nie mogli pić wody z rzeki. "
Exodus 7:25,I spełniło się siedm dni po porażeniu rzeki przez Wiekuistego. 
Exodus 8:1,"I rzekł Wiekuisty do Mojżesza: ""Idź do Faraona i powiedz mu: tak rzekł Wiekuisty: uwolnij lud Mój, aby Mi służył. "
Exodus 8:2,"A jeżeli wzbraniasz się uwolnić, oto Ja porażę całe państwo twoje żabami. "
Exodus 8:3,"I zaroi się rzeka żabami, i wylezą i wnijdą do domu twojego i do pokoju sypialnego twego, i na łoże twoje, i do domu sług twoich, i między lud twój, i do pieców twoich i do dzież twoich; "
