Index Title,Malachi
Malachi 3:7,"Choć od dni ojców waszych odstępowaliście od ustaw Moich, a nie strzegliście ich, ale nawróćcie się tylko do Mnie, a powrócę i Ja do was, rzecze Wiekuisty zastępów. A pytacie się: Pod jakim względem mamy wrócić? "
Malachi 3:8,Alboż powinien oszukiwać człowiek Boga jak wy oszukujecie Mnie? a pytacie się zapewne: Na czem oszukaliśmy Cię? Na dziesięcinach i ofiarach. 
Malachi 3:9,"Klątwą jesteście przeklęci, a jednak oszukujecie Mnie, ty narodzie cały! "
Malachi 3:10,"Znieście wszystką dziesięcinę do szpichlerza, aby był zapas w domu Moim, a chciejcie Mnie doświadczyć w tem, rzecze Wiekuisty zastępów, jeśli nie otworzę wam szluz niebieskich a nie wyleję na was błogosławieństwa bez miary. "
Malachi 3:11,"I wystraszę przed wami pożeracza, aby wam nie niszczył plonu ziemi, ani pochybił wam winograd na polu, rzecze Wiekuisty zastępów. "
Malachi 3:12,"I nazywać was będą szczęśliwymi wszystkie ludy, gdyż będziecie w ziemi pożądanej, rzecze Wiekuisty zastępów. "
Malachi 3:13,"Ciężkie były mowy wasze przeciw Mnie, rzecze Wiekuisty, a powiadacie: W czemżeśmy się zmawiali przeciw Tobie? "
Malachi 3:14,"Mówiliście: Daremna to służyć Bogu, i jakaż korzyść, żeśmy przestrzegali przepisów Jego, i żeśmy chodzili w smutku przed obliczem Wiekuistego zastępów? "
Malachi 3:15,"Raczej mieńmy szczęśliwymi zuchwałych, ponieważ utwierdzili się złoczyńcy, a nawet ci, którzy doświadczyli Boga ocaleni zostali. "
Malachi 3:16,"Ale zmawiali się też i obawiający się Wiekuistego jeden z drugim, i zauważył to Wiekuisty i usłyszał, i zapisanem to zostało w księdze wspomnień przed Nim dla obawiających się Wiekuistego i dla czczących imię Jego. "
Malachi 3:17,"I będą Mi, rzecze Wiekuisty zastępów, w dzień który sprowadzę, własnością drogą, i oszczędzę ich jako oszczędza człowiek syna swego, który go czci. "
Malachi 3:18,"Wtedy zobaczycie znowu różnicę między sprawiedliwym a niegodziwym, między sługą Bożym, a tym który Mu nie służy. "
