Index Title,Hosea
Hosea 4:7,"Im silniejsi się stali, tem więcej grzeszyli przeciw Mnie powagę ich w hańbę zamienię. "
Hosea 4:8,"""Zagrzesznem"" ludu Mojego się żywią i dlatego łaknie winy jego dusza ich! "
Hosea 4:9,"Ale równie jak kapłanom powiedzie się i ludowi; i nawiedzę na nim drogę jego, a postępki jego odpłacę mu. "
Hosea 4:10,Gdy jeść będą nie nasycą się; gdy chuć swą zadowolą nie rozmnożą się; bo przestali na Wiekuistego zważać. 
Hosea 4:11,Nierząd i wino i moszcz odbierają rozum: 
Hosea 4:12,"Lud Mój dopytuje się u drewna swojego, a kij jego wieszczy mu! Bo duch wszeteczny otumanił go, a oddali się wszeteczeństwu zamiast Bogu swojemu. "
Hosea 4:13,"Na wierzchołkach gór zarzynają, a na pagórkach kadzą, pod dębem i topolą białą i sosną - wszak tak przyjemny ich cień! Dla tego to oddały się rozpuście córki wasze, a młode kobiety wasze wiarołomstwu! "
Hosea 4:14,"Nie nawiedzę tego na córkach waszych, że się rozpuście, ani na młodych kobietach waszych, że się wiarołomstwu oddały. Albowiem oni sami oddzielają się na ustroniu z nierządnicami i składają razem z poświęconemi rozpustnicami ofiary rzeźne, tak że lud nieświadomy ginie. "
Hosea 4:15,"Jeżeli ty, Israelu, wszetecznej służbie się oddałeś, niechaj nie ulegnie winie Juda. Nie chodźcie do Gilgal, nie wstępujcie do Beth-Awen a nie przysięgajcie przytem: Żyw Wiekuisty! "
Hosea 4:16,"Jeżeli jako jałowica krnąbrna skrnąbrniał Israel, oto teraz paść ich będzie Wiekuisty jako baranka na niwie przestronnej. "
Hosea 4:17,Towarzyszem bałwanów stał się Efraim - zaniechaj go! 
Hosea 4:18,"Zwyrodniało ich opilstwo, w nierządzie się pogrążyli, polubili hańbę obrońcy ich. "
Hosea 4:19,"Zachwyci ich zawierucha wirami swoimi, a wtedy powstydzą się uczt swych ofiarnych! "
Hosea 5:1,"Słuchajcie tego kapłani, baczcie domu Israela, a wy z domu króla skłońcie ucho, bo wszak do was należy sąd! Gdyż zasadzką byliście dla Micpy, a siecią rozpostartą nad Taborem. "
Hosea 5:2,A zagubę ci odstępcy pogłębiali; ale Ja będę kaźnią dla nich wszystkich! 
Hosea 5:3,"Znam wszak Efraima, a Israel nie może się ukryć przedemną; bo teraz właśnie kazisz się Efraimie, plugawisz się Israelu. "
Hosea 5:4,"Nie pozwalają im ich postępki nawrócić się do Boga swojego; bo duch rozpusty przebywa w nich, a Wiekuistego nie znają. "
Hosea 5:5,"Ale świadczyć będzie pycha Israela przeciw niemu, że Israel i Efraim upadną wskutek winy swojej; upadnie też i Juda wraz z nimi. "
Hosea 5:6,"Gdy tedy z trzodami i stadami swemi wyruszą, by szukać Wiekuistego, nie znajdą Go: wyrzekł się ich. "
Hosea 5:7,"Wiekuistemu się sprzeniewierzyli, bo płodzili Mu synów nieprawych; przeto pochłonie ich jeden nów wraz z ich posiadłościami. "
Hosea 5:8,"Uderzcie w surmę w Gibea, w trąbę w Rama! Podnieście okrzyk w Beth-Awen! Za tobą Binjaminie! "
Hosea 5:9,Efraim w pustkowie się obróci w dzień kaźni; rzecz niezawodną zapowiadam o pokoleniach israelskich. 
Hosea 5:10,"Podobni książęta Judy do najezdników granicznych, wyleję na nich niby wodę oburzenie Moje. "
Hosea 5:11,"Uciemiężony Efraim, krzywdzony w prawie swojem, ponieważ począł postępować za samowolnym rozkazem. "
Hosea 5:12,"I tak stałem się jako mol Efraimowi, a niby zgnilizna tocząca domowi Judy. "
Hosea 5:13,"A gdy ujrzał Efraim niemoc swoją, a Juda swą ranę, uciekł się Efraim do Aszuru, i posłał do króla wojownika, ale ten nie zdoła was uzdrowić, ani zagoi wam rany. "
Hosea 5:14,"Albowiem stanę Ja jako szakal przeciw Efraimowi i jako lew przeciw domowi Judy. Ja, Ja sam rozszarpię ich, i pójdę, uniosę, a nikt nie wybawi. "
Hosea 5:15,"Pójdę i wrócę na miejsce Moje, aż odpokutują i poszukają, oblicza Mego; w niedoli swojej zatęsknią do Mnie. "
Hosea 6:1,"Zabierzcie się, a wróćmy do Wiekuistego; albowiem On rozszarpał, a On też nas uleczy, On zranił i On przewiąże. "
Hosea 6:2,"Po dwóch dniach nas wskrzesi, dnia trzeciego dźwignie nas, abyśmy żyli przed obliczem Jego. "
Hosea 6:3,"Poznajmy, dążmy usilnie poznać Wiekuistego - jako zorza poranna tak pewnem przyjście Jego, aby przyszedł niby deszcz do nas, niby deszcz późny, który zrasza ziemię. "
Hosea 6:4,"Cóż Mi ci uczynić Efraimie? cóż uczynić tobie Judo, gdy wasza miłość jako obłok poranny, jako rosa, która wcześnie przemija. "
Hosea 6:5,"Przeto musiałem uderzyć przez proroków, powalić ich wyrokami ust Moich, a musi sąd Mój jako światło wzejść. "
Hosea 6:6,"Gdyż miłości żądam a nie ofiar rzeźnych, poznania Bożego bardziej niż całopaleń! "
Hosea 6:7,Oni wszakże jako Adam przekroczyli przymierze; tam sprzeniewierzyli się Mnie. 
Hosea 6:8,"Gilead jest jako gród złoczyńców, znaczony krwią. "
Hosea 6:9,"A podobną do czatujących na człowieka rozbójników była banda kapłanów; na drodze do Szechem mordowali. Tak, sromotne występki spełnili! "
Hosea 6:10,"W domu Israela widziałem rzeczy wstrząsające: tam oddał się Efraim rozpuście, skaził się Israel. "
Hosea 6:11,"I tobie Judo - żniwo ci przygotowane, zanim przywrócę brańców ludu Mego. "
Hosea 7:1,"Ile razy leczyłem Israela okazały się dopiero winy Efraima i niecności Szomronu, bo kłamstwo krzewią a jako złodzieje się włamują a jako bandy rozbójnicze na dworze krążą. "
Hosea 7:2,"A nie pomyślą w sercu swojem, że o całej niecności ich pamiętam. Oto teraz otoczyły ich postępki ich: stanęły przed obliczem Mojem. "
Hosea 7:3,"Niecnością swoją uweselają króla, a obłudą swą panów. "
Hosea 7:4,"Wszystko to lubieżnicy, podobni do pieca rozżarzonego przez piekarza - przestaje on tylko niecić, póki zaczynione ciasto nie skisło. "
Hosea 7:5,W dzień króla naszego szaleją ci panowie od żaru wina; on zaś wyciąga rękę do szyderców. 
Hosea 7:6,"Bo upodobnili do pieca serce swe w swej chytrości, przez całą noc śpi jeszcze ich piekarz, zrana gore niby ogień płonący. "
Hosea 7:7,"Wszyscy oni rozgrzani jako piec, a pożerają sędziów swoich. Wszyscy królowie ich padli, a nie odezwał się żaden z nich do Mnie. "
Hosea 7:8,"Efraim, między ludami będzie on zaczyniony; Efraim stał się jako podpłomyk nieprzewracany. "
Hosea 7:9,"Pożerali cudzoziemcy siłę jego, a on nie zmiarkował; już siwizna go posiała, a on nie zmiarkował. "
Hosea 7:10,"A chociaż świadczyła hardość Israela przeciw niemu, to jednak nie nawrócili się do Wiekuistego, Boga swego, i nie szukali Go. "
Hosea 7:11,"A zachowywał się Efraim jako gołębica zwiedziona, bezrozumna: Micraim przyzywali, do Aszuru szli. "
Hosea 7:12,"Ponieważ chodzą tam, rozłożę sieć Moją nad nimi, jak ptactwo nieba ich potargnę, skarcę ich, jak to zapowiedziano zborowi ich. "
Hosea 7:13,"Biada im, że się rozpierzchli odemnie! Pogrom na nich, że odstąpili odemnie! Nawet gdy wyzwolić ich chciałem głosili o Mnie kłamstwa. "
Hosea 7:14,"A nie wołali z serca swego do Mnie, lecz wyli na łożnicach swoich; dla pszenicy i moszczu kaleczyli się, odstępowali odemnie. "
Hosea 7:15,"A jednak Jam ćwiczył, krzepił ich ramiona; ale złe zamysły knuli przeciw Mnie. "
Hosea 7:16,"Zwracają się, ale nie ku górze; są jako łuk zawodny! Legną od miecza książęta ich dla zażartych swych mów. To pośmiewisko z nich na ziemi Micraim! "
Hosea 8:1,"Przyłóż surmę do ust twoich! Oto jako orzeł (spuszcza się) na przybytek Wiekuistego! Albowiem przestąpili przymierze Moje, a przeciw nauce Mojej wykroczyli. "
Hosea 8:2,"A wołają do Mnie: Boże mój! Znamy Cię wszak, my Israelici! "
Hosea 8:3,Wzgardził Israel dobrem - przeto wróg ścigać go będzie! 
Hosea 8:4,"Ustanawiali królów, ale nie wychodziło to odemnie; wybierali panów, alem Ja o tem nie wiedział. Ze srebra i złota swego poczynili sobie posągi, na zagubę swoją. "
Hosea 8:5,"Cuchnie cielec twój Szomronie, wspłonął gniew Mój na nich; dopókiż nie zdołają zachować czystości? "
Hosea 8:6,"Bo wszak z Israela pochodzi, tak, rzemieślnik sporządził go, ale Bogiem on nie jest, gdyż w kawały się rozpryśnie cielec Szomronu. "
Hosea 8:7,"Albowiem wiatr sieją, a burzę zbiorą. Kłosów tu nie będzie; urodzaj nie wyda mąki, a choćby wydał, cudzoziemcy ją pochłoną. "
Hosea 8:8,Pochłonięty będzie Israel. Już stoją między narodami jako sprzęt bez wartości. 
Hosea 8:9,"Ponieważ do Aszuru się uciekają, jako osioł dziki, który się samotnie chowa, a umawiają się Efraimici o zaloty. "
Hosea 8:10,"Ale choćby umowy zawierali między narodami, zgromadzę je teraz - a zaczęli już słabnąć pod brzemieniem króla książąt. "
Hosea 8:11,"Tak, mnożył sobie Efraim ofiarnice rozgrzeszenia, ale obróciły mu się one w ofiarnice grzechu. "
Hosea 8:12,"Choć mu spisałem przepisów mnóstwo, jako coś obcego były poczytane. "
Hosea 8:13,"Ofiary Mi składane zarzynali jako mięso i jedli - ale Wiekuisty niema w nich upodobania; teraz popamięta im winę ich, i nawiedzi grzechy ich - do Micraimu im wrócić. "
Hosea 8:14,"Ponieważ zapomniał Israel o Stwórcy swoim a wystawiał pałace, Juda zaś mnożył sobie miasta warowne, puszczę ogień na miasta jego, aby pochłonął zamki ich. "
Hosea 9:1,"Nie wesel się, Israelu, głośną radością na wzór ludów! Albowiem wszetecznie odstąpiłeś od Boga twojego, polubiłeś myto na wszystkich tokach zboża. "
Hosea 9:2,"Ale tok i tłocznia ich nie pożywi, a moszcz ich zawiedzie. "
Hosea 9:3,"Nie pozostaną na ziemi Wiekuistego, ale wróci Efraim do Micraimu, a w Aszurze będą nieczystem się żywili. "
Hosea 9:4,"Nie będą zalewali Wiekuistemu wina, ani przyjemne Mu będą rzeźne ich ofiary, jako chleb żałobny będzie (chleb) ich, wszyscy, którzy go pożywać będą zanieczyszczą się. Albowiem chleb ich tylko głód ich zaspokoi, nie przyjdzie do przybytku Wiekuistego. "
Hosea 9:5,Cóż poczniecie wobec dnia uroczystego i dnia święta Wiekuistego? 
Hosea 9:6,"Bo oto wyjdą z spustoszenia, zbierze ich Micraim, Mof pogrzebie ich. Skarbce ich srebra pokrzywy je zajmą, łopian porośnie w ich namiotach. "
Hosea 9:7,"Nadejdą dni obrachunku, nadejdą dni odpłaty, pozna to Israel, (który wołał); głupcem prorok, opętańcem mąż ducha! (Nadejdą) wskutek mnogości twej winy, i przeto, że tak wielkiem prześladowanie. "
Hosea 9:8,"Czatuje Israel na Boga mojego; prorok - sidła ptasznika na wszystkich jego drogach, połapki w domu Boga jego! "
Hosea 9:9,"Pogrążyli się w zepsuciu jako za dni Gibei - popamięta im winę ich, nawiedzi ich grzechy! "
Hosea 9:10,Jako winogrona na stepie znalazłem niegdyś Israela: jako owoc wczesny na młodym figowcu ujrzałem przodków waszych. Gdy jednak do Baal Peoru przybyli oddali się sromotnemu bałwanowi i stali się ohydni jak ulubieniec ich. 
Hosea 9:11,"Efraim - jako ptactwo rozpierzchnie się ich mnóstwo, skończy się z urodzinami, brzemiennością i poczęciem. "
Hosea 9:12,"A choćby odchowali synów swoich, osierocę ich, tak że zbraknie ludzi. Tak, biada też im samym, gdy odstąpię ich. "
Hosea 9:13,"Efraim, tak jak nań spoglądam aż ku Tyrowi, zasadzony na niwie, wszakże Efraim wywiedzie do morderców syny swoje. "
Hosea 9:14,Daj im Wiekuisty co im dać zamierzasz! Daj im łono niepłodne a piersi wyschłe! 
Hosea 9:15,"Cała niecność ich spełniła się w Gilgal. Tak, tam znienawidziłem ich. Dla niecności postępków ich wypędzę ich z domu Mojego, nie okażę im już miłosierdzia: naczelnicy jego odstępcami. "
Hosea 9:16,"Porażony Efraim, korzeń ich zasycha, nie przyniesie już owoców! Choćby płodzili, wydam na śmierć ulubieńców ich łona. "
Hosea 9:17,"Porzuci ich Bóg mój, bo nie byli Mu posłuszni; tułać się im między narodami! "
Hosea 10:1,"Winogradem bujnym był Israel, który odpowiednie owoce rozwijał. Im liczniejsze były owoce jego, tem liczniejsze mnożył sobie ofiarnice; im piękniejszym się stał kraj jego, tem piękniejsze posągi sobie stawiał. "
Hosea 10:2,"Nieszczere serce ich, przeto odpokutować im teraz; pokruszy On ich ofiarnice, zburzy ich posągi. "
Hosea 10:3,"Tak, wtedy powiedzą: Nie mamy już króla; albowiem nie obawialiśmy się Wiekuistego, a ten król - cóż on zdziała dla nas? "
Hosea 10:4,"Toczą rozprawy, przysięgają fałszywie, zawierają przymierza, a rozplenia się jak piołun sąd na zagonach pól. "
Hosea 10:5,"O cielca z Beth-Awen troszczyć się będą mieszkańcy Szomronu; tak, smucić się będą nad nim zwolennicy jego, a kapłani jego drzeć z powodu sławy jego, że opuści go. "
Hosea 10:6,"Nawet jego samego do Aszuru wywloką - jako dar dla króla wojownika; sromotę nabędzie sobie Efraim, a zarumieni się Israel z powodu zamysłu swego. "
Hosea 10:7,Szomron zginie; król jego jako szczapa na powierzchni wody. 
Hosea 10:8,"I zburzone będą wyżyny nieszczęsne, grzech Israela, tak że osty i ciernie porosną na ofiarnicach ich. Wtedy to zawołają do gór, przykryjcie nas, a do pagórków, spadnijcie na nas! "
Hosea 10:9,Od czasów Gibei grzeszyłeś Israelu! Tam stoją - czyżby nie dosięgła ich w Gibea walka przeciw synom występnym. 
Hosea 10:10,"Podług upodobania Mojego skarcę ich, a zgromadzą się przeciw nim ludy, gdy zaprzęgnięci będą do podwójnych swych przewinień. "
Hosea 10:11,"Był wszak Efraim podobny do jałowicy wyćwiczonej, która chętnie młóci. Oszczędzałem kark jej nadobny - teraz jednak zaprzęgnę Efraima; orać ma Juda, bronować Jakób. "
Hosea 10:12,"Siejcie sobie ku sprawiedliwości, a żąć będziecie wedle miłosierdzia (Bożego). Oczyśćcie sobie nowinę ponieważ pora szukać Wiekuistego, aby przyszedł i spuścił nam jako deszcz zbawienie. "
Hosea 10:13,"Gdyście zaorali niegodziwość, zżęliście łotrostwo, a musieliście pożywać owoców szelmostwa! Polegałeś wszak na postępkach swoich, na moc rycerzy twoich! "
Hosea 10:14,"I tak powstanie wrzawa wojenna przeciw tłumom twoim, a wszystkie warownie twoje zburzone będą, tak jako zburzył Szalman Beth-Arbel w dzień bitwy: matki wraz z dziećmi roztrącone zostały. "
Hosea 10:15,"Tak zupełnie uczynią wam (mieszkańcy) Babelu, przeto żeście nawskroś niegodziwi: na świtaniu zniknie król Israela! "
Hosea 11:1,"Gdy młodzieńcem był Israel umiłowałem go, a z Micraim powołałem syna Mojego. "
Hosea 11:2,"Zaledwie jednak wezwali ich, odeszli z przed ich oblicza; Baalom składali ofiary, posagom palili kadzidła. "
Hosea 11:3,"A Ja przecież uczyłem chodzić Efraima, brałem ich na ramiona Swoje, a nie miarkowali, żem Ja ich leczył. "
Hosea 11:4,"Więzami ludzkiemi pociągałem ich, węzłami miłości, a postępowałem z nimi jako usuwający jarzmo ze szczęk, by podać im pokarm. "
Hosea 11:5,"Nie miał on powrócić do Micraim - ale Aszur oto król jego, ponieważ nawrócić się nie chcieli. "
Hosea 11:6,"I będzie krążył miecz w miastach jego i zniweczy zawory jego, i będzie chłonął z powodu knowań ich. "
Hosea 11:7,Ale wciąż jeszcze skłania się naród Mój do odstępstwa odemnie - a choć ku wyższemu go wzywają podnieść się nie może. 
Hosea 11:8,"Jakże Mi cię wydać Efraimie, zaprzedać Israelu! Jakże Mi cię wydać jako Admę uczynić jako Ceboim! Wzdryga się na to serce Moje, wszystka litość Moja płonie. "
Hosea 11:9,"Niechciałbym spełnić zapalczywego gniewu Mojego, niechciałbym znowu zniszczyć Efraima; gdyż Bóg Ja, a nie człowiek, Święty w pośród ciebie, a nie przyjdę jako wróg. "
Hosea 11:10,"Za Wiekuistym pójdą, gdy jako lew zahuczy; bo gdy zahuczy porwą się synowie od morza. "
Hosea 11:11,"Porwą się jako wróble z Micraim i jako gołębie z ziemi Aszur, a osiedlę ich znowu w domach ich, rzecze Wiekuisty. "
Hosea 11:12,"Otoczył Mnie wiarołomstwem Efraim, a zdradą dom Israela, lecz jeszcze Juda ulegał Bogu, a poświęconym Jego wiernym pozostał. "
Hosea 12:1,"Efraim ugania się za wiatrem, a pędzi za wichrem; z dniem każdym mnoży kłamstwo i ucisk, przymierze zawierają z Aszurem, a oliwę się wyprawia do Micraim. "
Hosea 12:2,"Ale ma spór Wiekuisty z Judą, a nawiedzić chce Jakóba wedle dróg jego, wedle spraw jego mu odpłacić. "
Hosea 12:3,"Jeszcze w żywocie, brata swego za piętę trzymał, a następnie w sile swej z bóstwem walczył. "
Hosea 12:4,"Tak, pasował się z aniołem a przemógł go, płakał on i błagał go - w Bethel znalazł on nas, a tam z nami pomówił. "
Hosea 12:5,"A Wiekuisty, Bóg zastępów - Wiekuisty imię Jego. "
Hosea 12:6,"Ty przeto do Boga twojego się nawróć, miłosierdzia i sprawiedliwości przestrzegaj, a ufaj tylko Bogu twojemu zawsze. "
Hosea 12:7,"Kupiec, w ręku jego szale oszustwa, krzywdzić pragnie. "
Hosea 12:8,"A rzecze Efraim: Zaiste, zbogaciłem się, zdobyłem dostatek sobie; ale we wszystkich dorobkach moich nie znajdą przy mnie winy grzesznej. "
Hosea 12:9,"Ale Ja Wiekuisty, Bóg twój, już od ziemi Micraim, a mogę cię znowu osiedlić w namiotach jako za dni uroczyste. "
Hosea 12:10,"A mówiłem przez proroków, a mnożyłem widzenia a za pośrednictwem wieszczów przemawiałem w obrazach! "
Hosea 12:11,"Jeżeli pomimo to w Gilead bóstwa marne, to też, i zmarnieją - jeżeli w Gilgal cielce ofiarują, to też będą jako rumowiska na zagonach pola. "
Hosea 12:12,I schronił się Jakób na pola aramejskie i musiał służyć Israel o kobietę i dla kobiety pasterzyć. 
Hosea 12:13,Przez proroka jednak wywiódł Wiekuisty Israela z Micraim i przez proroków był strzeżony. 
Hosea 12:14,"I tak jątrzył Efraim do rozgoryczenia, przeto rzuci nań krwawą winę jego, a bluźnierstwo jego odpłaci mu Pan jego. "
Hosea 13:1,"Gdy przemawiał Efraim zapanowało drżenie, gdyż w poważaniu był w Israelu, ale zgrzeszył on przez Baala i zginął. "
Hosea 13:2,"A wciąż jeszcze trwają w grzechu, i czynią sobie odlewy ze srebra wedle pomysłowości swojej - bałwany roboty mistrzowskiej, skończonej, że mówi się o nich: ludzi zarzynają, a cielcom hołdują. "
Hosea 13:3,"Przeto będą jak mgła poranna, i jako rosa, która rychło znika, jako plewa rozwiana z bojewiska, i jako dym z dymnika. "
Hosea 13:4,"A Jam Wiekuisty, Bóg twój, od ziemi Micraim, a Boga prócz Mnie nie powinieneś był poznać, bo niemasz zbawcy oprócz Mnie. "
Hosea 13:5,"Zajmowałem się tobą na pustyni, na ziemi spiekłej. "
Hosea 13:6,"Gdy się jednak podpaśli i nasycili, przesycili się, i uniosło się serce ich, a przeto zapomnieli o Mnie. "
Hosea 13:7,"To też stanę się jako lew dla nich, jako lampart przy drodze czyhać będę. "
Hosea 13:8,"Napadnę ich jako niedźwiedzica osierocona, i rozerwę oponę ich serca - tak, pożrę ich tam jako lwica, zwierz dziki rozszarpie ich. "
Hosea 13:9,"Oto zaguba twoja Israelu, żeś przekornym był Mnie, pomocy twojej! "
Hosea 13:10,"Gdzież teraz król twój, aby ci pomógł we wszystkich miastach twoich, gdzież sędziowie twoi? - gdy wszak mówiłeś: daj mi króla i zwierzchników. "
Hosea 13:11,"Dałem ci tedy króla w gniewie Moim, ale go zabiorę w zapalczywości Mojej. "
Hosea 13:12,"Zebrane są winy Efraima, przechowane grzechy jego! "
Hosea 13:13,Bole rodzącej już ogarniają go; o dziecię niemądre! czas nadszedł ale nie staje do porodu. 
Hosea 13:14,"Czyż mam z mocy grobu ich wykupić, od śmierci wybawić? (Nie!) Gdzież zarazy twoje o śmierci! gdzie dżumy twoje otchłani? Litość skryje się z przed oczu Moich! "
Hosea 13:15,"Choćby w pośród niw bujnych się rozkwitał, nadejdzie wiatr wschodni, wicher Wiekuistego od puszczy się zrywający, że wsiąknie źródło jego, i wyschnie zdrój jego, i tak wydrze mu skarbiec wszystkich rzeczy cennych. "
