Index Title,Song of Songs
Song of Songs 4:10,"O, jak słodkie są pieszczoty twoje, siostro moja, narzeczono! O, jak daleko rozkoszniejsze pieszczoty twoje niż wino, a woń pachnideł twoich niż wszystkie aromaty! "
Song of Songs 4:11,"Patoką sączą się usta twoje, narzeczono! miód i mleko pod językiem twoim, a wonność szat twoich jako wonność Libanu. "
Song of Songs 4:12,"Ogrójcem zamkniętym jesteś, siostro moja, narzeczono! zdrojem zamkniętym, źródłem opieczętowanem. "
Song of Songs 4:13,Latorośle twoje są gajem granatów i owoców rozkosznych z kwiatami cyprów i nard. 
Song of Songs 4:14,"Narda tam i szafran, wonna trzcina i cynamon wraz z wszelakiego rodzaju krzewami kadzidła; myrra i aloes i wszystkie najprzedniejsze aromaty. "
Song of Songs 4:15,"O źródło ogrodów, krynico wód żywych, które spływają z Libanu! "
Song of Songs 4:16,"Zerwij się wietrze północny, a przyjdź południowy, wioń po ogrójcu moim, aby popłynęły aromaty jego! Niechaj wnijdzie oblubieniec mój do ogrójca swego i niechaj pożywa rozkoszne owoce swoje. "
Song of Songs 5:1,"Wszedłem do ogrójca mego, siostro moja, narzeczono: zebrałem myrrę moję wraz z balsamem moim, spożyłem plastr mój wraz z miodem moim, wypiłem wino wraz z mlekiem mojem: Jedzcie towarzysze! pijcie i upijcie się przyjaciele! "
Song of Songs 5:2,"Ja śpię, ale serce moje czuwa. Głos oblubieńca mego, który kołace! Otwórz mi, siostro moja, gołąbko moja, czysta moja! albowiem głowa moja pełna rosy, sploty moje kropli nocnych. "
Song of Songs 5:3,"Złożyłam suknię moję, jakżebym ją znowu miała włożyć? Umyłam nogi moje, jakżebym je znowu miała zbrudzić? "
Song of Songs 5:4,"Luby mój ściągnął rękę swą luką, a wnętrze moje zawrzało przy nim. "
Song of Songs 5:5,"Wstałam, aby otworzyć lubemu mojemu, podczas gdy ręce moje kapały myrrą, a palce moje myrrą samościekłą na rękojeść zawory. "
Song of Songs 5:6,"Otworzyłam lubemu mojemu, ale luby mój już był odszedł i znikł. Dech mój się zaparł gdy mówił, szukałam go, alem nie znalazła; wołałam go, ale nie dał mi odpowiedzi. "
Song of Songs 5:7,"Napotkali mnie stróże, krążący po mieście: bili mnie, zranili; zabrali mi i szal mój stróże murów. "
Song of Songs 5:8,"Zaklinam was, córy jerozolimskie: Jeślibyście znalazły lubego mojego, cóż powiecie mu? - żem chora z miłości! "
Song of Songs 5:9,"Czem się wyróżnia luby twój od oblubieńców innych, o najpiękniejsza z kobiet? Czem się wyróżnia luby twój od oblubieńców innych, że nas tak zaklinasz? "
Song of Songs 5:10,"Luby mój lśniąco biały a rumiany, zacniejszy nad miryad. "
Song of Songs 5:11,"Głowa jego jako bryła szczerozłota, włosy jego kędzierzawe, czarne jako kruk. "
Song of Songs 5:12,"Oczy jego jako gołębie nad potokami wód, wykąpane w mleku, w oprawę osadzone. "
Song of Songs 5:13,"Lica jego jako zagony balsamu albo grządki korzeni wonnych, usta jego jako lilie sączące się myrrą wolno ciekącą. "
Song of Songs 5:14,"Ręce jego jako walce złote, osadzone chryzolitem, żywot jego jako dzieło misterne z kości słoniowej, pokryte szafirami. "
Song of Songs 5:15,"Uda jego jako słupy marmurowe, postawione na cokułach szczerozłotych, postać jego jako Liban, smukły jako cedry. "
Song of Songs 5:16,"Podniebienie jego słodyczą, a on cały rozkoszą: Taki to luby mój, taki mój przyjaciel, o córy jerozolimskie! "
Song of Songs 6:1,"Dokąd poszedł luby twój, o najpiękniejsza z kobiet? Dokąd zwrócił się luby twój, abyśmy go szukały z tobą? "
Song of Songs 6:2,"Luby mój zaszedł do ogrodu swego, między grządki balsamu, aby pasł w ogrodach, a zrywał lilje. "
Song of Songs 6:3,"Jam jest lubego mego, a luby jest mój, on, który pasie między liljami. "
Song of Songs 6:4,"Pięknaś ty, przyjaciółko moja, jak Thyrca, urocza jak Jerozolima, groźna jak pułki pod chorągwiami. "
Song of Songs 6:5,"Odwróć oczy twe odemnie, bo mnie trwogą przejmują. Sploty twoje jako stado kóz, ześlizgujących się z Gileadu. "
Song of Songs 6:6,"Zęby twoje jako stado owiec, które wyszły z pławiska, z których każda bliźnięta rzuca, a żadna nie roni. "
Song of Songs 6:7,Jako płatek granatu skroń twoja z po za zasłony twojej. 
Song of Songs 6:8,"Sześćdziesiąt jest żon królewskich, a ośmdziesiąt nałożnic, a panien bez liczby. "
Song of Songs 6:9,"Jedna tylko jest gołąbka moja, moja czysta, ona jedynaczka u swojej matki, wybranka swej rodzicielki. Widziały ją dziewice i szczęsną nazwały, królowe i nałożnice a sławiły ją. "
Song of Songs 6:10,"Któraż to jest, która spogląda jako zorza poranna, piękna jak księżyc, czysta jak słońce, groźna jako pułki pod chorągwiami? "
Song of Songs 6:11,"Do ogrodu orzechowego zstąpiłam, by napawać się świeżymi pędami doliny, aby zobaczyć, czy rozwinął się winograd, czy rozkwitły granaty. "
Song of Songs 6:12,"Nie zmiarkowałam, że mnie pożądliwość moja uczyniła jako zaprzęgi Aminadaba. "
Song of Songs 6:13,"Zwróć się, zwróć Sulamito, zwróć się, zwróć, abyśmy się napatrzyli na ciebie! Cóż chcecie zobaczyć na Sulamicie? To, co niby korowodem jest wojennym. "
Song of Songs 7:1,"O, jakie urocze są stopy twoje w sandałach, ty córo książęca! zagięcia bioder twoich są jako kolje, wyrobione ręką mistrza. "
Song of Songs 7:2,"Łono twoje jako czasza okrągła, pełna napoju wonnego; żywot twój jako bróg pszenicy ogrodzony liljami. "
Song of Songs 7:3,"Obie piersi twoje jako jelonki młode, jako dwoje bliźniąt sarnich. "
Song of Songs 7:4,"Szyja twoja jako wieża z kości słoniowej, oczy twoje jako sadzawki Cheszbonu u bramy Bathrabim, nos twój jako wieża na Libanie, zwrócona ku Damaszkowi. "
Song of Songs 7:5,"Głowa twoja na tobie jako Karmel porosły, a kosy głowy twej jako purpura. Król uwięziony w twych kędziorach spływających. "
Song of Songs 7:6,"O, jakżeś piękna, jakożeś urocza, miłości moja przerozkoszna! "
Song of Songs 7:7,"Ta postawa twoja podobna do palmy, a piersi twoje podobne do gron. "
Song of Songs 7:8,"Pomyślałem: na tę palmę chciałbym wstąpić, a pochwycić gałązki jej, a będą mi piersi twoje jako grona winne, a woń nozdrzy twoich jako jabłek wonnych. "
Song of Songs 7:9,"A podniebienie twoje jako wino wyborowe, które lubemu memu łagodnie spływa, a pobudza do szeptu usta śpiących. "
Song of Songs 7:10,"Jam jest oblubieńca mego, a ku mnie pożądliwość jego. "
Song of Songs 7:11,"Pójdź, luby mój, wyjdźmy na pole, zanocujmy w siołach. "
Song of Songs 7:12,"Rano wstaniemy do winnic, zobaczym czy rozwinął się winograd, czy otworzyły się pączki, czy zakwitły granaty: wtedy obdarzę cię miłością moją. "
Song of Songs 7:13,"Pokrzyki rozniosły woń swoję, a przededrzwiami naszemi są wszelakie owoce rozkoszne; świeże i stare, luby mój, które zachowałam tobie! "
Song of Songs 8:1,"O, gdybyś ty mi bratem był, który ssał pierś matki mojej! Spotkawszy cię na ulicy wycałowałabym ciebie, a niktby mną nie wzgardził. "
Song of Songs 8:2,"Powiodłabym cię, i wprowadziła do domu matki mojej, gdziebyś mnie uczył; a dałabym ci napić się wina przyprawnego, moszczu z granatów moich. "
Song of Songs 8:3,"Lewica jego by spoczywała pod głową moją, a prawica jego by mnie pieściła. "
Song of Songs 8:4,"Zaklinam was, o córy jerozolimskie, abyście nie budziły, nie rozbudzały miłości, póki nie zapragnie! "
Song of Songs 8:5,"Któż to jest, co tam występuje z puszczy, wsparta na lubym swoim? Pod jabłonią obudziłam cię, tam gdzie cię powiła matka twoja, tam w bólach, rodzicielka twoja. "
Song of Songs 8:6,"Przyłóż mnie jako sygnet na serce swoje, jako sygnet do ramienia swego. Albowiem silna jak śmierć jest miłość, mocna jak grób namiętność, zarzewia jej jako zarzewia ogniste, jako płomienie Boskie. "
Song of Songs 8:7,"Wody wielkie nie mogą zagasić miłości, ani zalać jej rzeki. Choćby kto całe mienie domu swego oddał za miłość, toby nim jednak wzgardzono! "
Song of Songs 8:8,"Mamy siostrzyczkę małą, która jeszcze piersi nie ma. Cóż uczynić nam z siostrą naszą w dzień, gdy o niej mowa będzie? "
Song of Songs 8:9,"Jeśli murem jest, tedy wzniesiem na niej zamek srebrny, a jeśli bramą jest, wtedy zamkniemy ją tarcicą cedrową. "
Song of Songs 8:10,"Jam jest mur, a piersi moje jako wieżyce, a tak znalazłam szczęście wobec oczu jego. "
Song of Songs 8:11,"Winnicę miał Salomon w Baal Hamon, wynajął on winnicę tę dozorującym: tysiąc srebrników miał złożyć każdy za część owocu jej. "
Song of Songs 8:12,"Winnica moja własna zostaje dla mnie. Tysiąc miej sobie Salomonie, a dwieście dozorującym owoc jej. "
Song of Songs 8:13,Która zamieszkujesz w ogrodach! towarzysze wytężają ucho na głos twój: pozwól mi go usłyszeć! 
Song of Songs 8:14,"Uchodź, luby mój, a bądź podobny do jelenia, albo do sarny młodej na górach balsamicznych. "
