Index Title,Zephaniah
Zephaniah 3:10,Z drugiej strony rzek kuszyckich tłumy Moje rozproszone dary Mi sprowadzą. 
Zephaniah 3:11,"Dnia onego nie powstydzisz się już wszystkich postępków twoich, którymi wykroczyłaś przeciw Mnie. Bo wtedy usunę z pośród ciebie zachwyconych sławą swoją, a nie będziesz się pyszniła więcej na górze Mej świętej. "
Zephaniah 3:12,"I zachowam wpośród ciebie lud uniżony i skromny, a znajdą oni ochronę w imieniu Wiekuistego. "
Zephaniah 3:13,"Szczątki Israela nie dopuszczą się krzywdy i nie będą prawiły kłamstwa a nie znajdzie się w ustach ich język podstępny. I tak paść będą i wylegiwać się, a nikt nie wystraszy. "
Zephaniah 3:14,"Wesel się córo Cyońska, wykrzykuj Israelu! Ciesz się i raduj całem sercem córo Jerozolimy! "
Zephaniah 3:15,"Usunął Wiekuisty sądy nad tobą, uprzątnął wroga twojego! Królem Israela Wiekuisty w pośród ciebie: nie ujrzeć ci więcej niedoli. "
Zephaniah 3:16,"Dnia onego powiedzą do Jerozolimy: Nie bój się! Cyonie, niechaj nie opadają ręce twoje! "
Zephaniah 3:17,"Wiekuisty Bóg twój wpośród ciebie, który wspomódz może; cieszy się On tobą szczerze, milczy w miłości Swojej, weseli się tobą w głośnem uniesieniu. "
Zephaniah 3:18,"Znękanych, bawiących z dala od uroczystych zgromadzeń zbiorę, twoimi wszak są ci, na których hańba ciąży. "
Zephaniah 3:19,"Oto zgniotę wszystkich ciemięzców twoich czasu onego, i ocalę na bok usuniętych, a rozproszonych zgromadzę i uczynię ich chlubą i chwałą na każdej ziemi, na której hańbę ponosili. "
Zephaniah 3:20,"Onego to czasu sprowadzię was, i onego czasu was zgromadzę: bo uczynię was chwałą i chlubą między wszystkimi ludami ziemi, gdy sprowadzę brańców waszych przed oczyma waszemi, rzecze Wiekuisty. "
