Index Title,Deuteronomy
Deuteronomy 1:43,"I mówiłem wam, aleście nie słuchali, i sprzeciwiliście się słowu Wiekuistego, i zawrzeliście, i weszliście na górę. "
Deuteronomy 1:44,"Ale wystąpił Emorejczyk, osiadły na górze onej przeciw wam, i ścigali was, tak jako czynią pszczoły, i porazili was w Seirze aż do szczętu; "
Deuteronomy 1:45,"Tedyście wrócili, i płakali przed Wiekuistym; ale nie wysłuchał Wiekuisty głosu waszego, a nie skłonił uszu Swoich do was; "
Deuteronomy 1:46,"I przebyliście w Kadesz długie czasy: jakiemi były czasy, któreście przebyli tam! "
Deuteronomy 2:1,"Tedyście się zwrócili i wyruszyli ku pustyni, drogą ku morzu Sitowemu, jako powiedział Wiekuisty do mnie; i okrążaliśmy górę Seir długie czasy. "
Deuteronomy 2:2,"I oświadczył mi Wiekuisty, i rzekł: "
Deuteronomy 2:3,"""Dość wam okrążać górę tę, zwróćcie się ku północy! "
Deuteronomy 2:4,"Ludowi zaś rozkażesz i powiesz: Przejdziecie mimo granicy braci waszych, synów Esawa, osiadłych na Seirze; - a choć ulękną się was, jednak strzeżcie się bardzo. "
Deuteronomy 2:5,"Nie wszczynajcie z nimi walki; gdyż nie oddam wam z ziemi ich ani na stopę nogi, bom w dziedzictwo oddał, Esawowi górę Seir; "
Deuteronomy 2:6,"Żywność kupujcie u nich za pieniądze, abyście jedli; a także wody nabywajcie u nich za pieniądze, abyście pili. "
Deuteronomy 2:7,"Albowiem Wiekuisty, Bóg twój, błogosławił ci we wszelkiej sprawie rąk twoich, opiekując się pochodem twoim przez tę pustynię wielką; oto, czterdzieści lat Wiekuisty, Bóg twój, z tobą; nie zbywało ci na niczem!"" "
Deuteronomy 2:8,"I tak odstąpiliśmy od braci naszych, synów Esawa, osiadłych na Seirze, od drogi Araby, od Elath i Ecjon-Geber. Zwróciwszy się, poszliśmy drogą ku puszczy Moabskiej; "
Deuteronomy 2:9,"I rzekł Wiekuisty do mnie: ""Nie nacieraj na Moab, ani wszczynaj z nimi walki; gdyż nie oddam ci nic z ziemi jego w dziedzictwo; bo synom Lota oddałem Ar w dziedzictwo! "
Deuteronomy 2:10,"Emici przedtém zamieszkiwali ją, lud wielki i liczny i rosły jak Enakowie. "
Deuteronomy 2:11,"Za olbrzymów poczytywano i ich, jako Enakitów; Moabici zaś nazywają ich Emitami. "
Deuteronomy 2:12,"A na Seirze osiedli Chorejczycy przedtém; ale synowie Esawa wypędzili i wytępili ich z przed oblicza swojego, a osiedli na ich miejscu, jako uczynił Israel z ziemią dziedzictwa swego, którą dał im Wiekuisty. "
Deuteronomy 2:13,"Teraz wstańcie a przeprawcie się przez potok Zered!"" I przeprawiliśmy się przez potok Zered. "
Deuteronomy 2:14,"Czasu zaś, przez któryśmy szli od Kadesz-Barnea aż przeprawiliśmy się przez potok Zered, było trzydzieści i ośm lat, - aż wyginęło całe pokolenie wojowników z obozu, jako im był przysiągł Wiekuisty; "
Deuteronomy 2:15,"Także i ręka Wiekuistego była na nich, aby ich wyplenić z pośród obozu, póki nie wyginęli; "
Deuteronomy 2:16,"A gdy wyginęli wszyscy wojownicy, i wymarli z pośród ludu, -  "
Deuteronomy 2:17,"Oświadczył mi wtedy Wiekuisty, i rzekł: "
Deuteronomy 2:18,"""Przechodzisz teraz mimo granicy Moabu, mimo Ar; "
Deuteronomy 2:19,"A przybliżasz się ku synom Ammonu: nie nacieraj na nich, ani wszczynaj z nimi walki; gdyż nie oddam ci nic z ziemi synów Ammonu w dziedzictwo; bo synom Lota oddałem ją w dziedzictwo. "
Deuteronomy 2:20,"Za ziemię olbrzymów poczytują i ją; olbrzymi zamieszkiwali ją przedtém; Ammonici wszakże nazywają ich Zamzummami, -  "
Deuteronomy 2:21,"Lud wielki i liczny i rosły jak Enakowie; wytępił ich zaś Wiekuisty przed obliczem ich, i wypędzili ich, a osiedli na ich miejscu. "
Deuteronomy 2:22,"Jako uczynił dla synów Esawa, osiadłych na Seirze, wytępiwszy Chorejczyków z przed oblicza ich, i wypędzili ich, i osiedli na ich miejscu, aż po dziś dzień. "
Deuteronomy 2:23,"Awwitów zaś, osiadłych po wsiach aż do Azzy, Kaftorowie, co wyszli z Kaftoru, wytępili, a osiedli na ich miejscu. "
Deuteronomy 2:24,"Wstańcie, wyruszcie, a przeprawcie się przez potok Arnon! Patrz, oddaję w rękę twoję Sychona, króla Cheszbonu, Emorejczyka, i ziemię jego; pocznijże zdobywać, a wszczynaj z nim walkę! "
Deuteronomy 2:25,"Od dnia dzisiejszego zacznę szerzyć strach i bojaźń przed tobą na ludy pod całém niebem, tak że usłyszawszy sławę twoję, zadrżą i zatrwożą się przed tobą!"" "
Deuteronomy 2:26,"Wysłałem tedy posłów z puszczy Kedemoth do Sychona, króla Cheszbonu, ze słowami pokoju, mówiąc: "
Deuteronomy 2:27,"Chciałbym przejść przez ziemię twoję; tylko po drodze pójdę; nie zboczę ani na prawo, ani na lewo; "
Deuteronomy 2:28,"Żywności za pieniądze sprzedasz mi, abym jadł, wody téż za pieniądze dasz mi, abym pił; - tylko z ludźmi moimi przejdę, -  "
Deuteronomy 2:29,"Jako uczynili mi synowie Esawa, osiadli na Seirze, i Moabici, zamieszkali w Ar, - póki nie przeprawię się za Jarden, do ziemi, którą Wiekuisty, Bóg nasz, daje nam! "
Deuteronomy 2:30,"Ale nie chciał Sychon, król Cheszbonu, przepuścić nas przez swoje; gdyż ukrnąbrnił Wiekuisty, Bóg twój ducha jego, i utwierdził serce jego, aby go podał w rękę twoję, jak to dziś. "
Deuteronomy 2:31,"Tedy rzekł Wiekuisty do mnie: ""Patrz! Zaczynam poddawać tobie Sychona, i ziemię jego; pocznijże zdobywać, zdobywać ziemię jego!"" "
Deuteronomy 2:32,"I wystąpił Sychon przeciw nam, - on i wszystek lud jego, do walki pod Jahac; "
Deuteronomy 2:33,"I podał go Wiekuisty, Bóg nasz, w moc naszę, i poraziliśmy go, i synów jego, i wszystek lud jego; "
Deuteronomy 2:34,"I zdobyliśmy wszystkie miasta jego podówczas, i położyliśmy zaklęcie na całą ludność męzką miast, na kobiety i dzieci; nie zostawiliśmy szczątku. "
Deuteronomy 2:35,"Tylkośmy bydło zagrabili sobie, i łupy miast, któreśmy zdobyli. "
Deuteronomy 2:36,"Od Aroer, które nad brzegiem potoku Arnon, i od miasta, które wpośród potoku, aż do Gilead; nie było grodu, któryby nieprzystępnym był dla nas; wszystko poddał nam Wiekuisty, Bóg nasz; "
Deuteronomy 2:37,"Tylko do ziemi synów Ammonu nie zbliżyłeś się, do całego przybrzeża potoku Jabbok, ani do miast górskich, ani do niczego, czego wzbronił Wiekuisty, Bóg nasz. "
Deuteronomy 3:1,"I zwróciliśmy się, i pociągnęliśmy drogą ku Baszanowi; i wystąpił Og, król Baszanu, naprzeciw nam, - on i wszystek lud jego, do walki pod Edrei. "
Deuteronomy 3:2,"I rzekł Wiekuisty do mnie: ""Nie obawiaj się go; gdyż w rękę twoję oddaję go, i wszystek lud jego, i ziemię jego; i uczynisz mu, jakoś uczynił Sychonowi, królowi Emorei, który zasiadał w Cheszbonie."" "
Deuteronomy 3:3,"I podał Wiekuisty, Bóg nasz, w ręce nasze i Oga, króla Baszanu, i wszystek lud jego, - i poraziliśmy go, że nie zostało po nim szczątku. "
Deuteronomy 3:4,"I zdobyliśmy wszystkie miasta jego podówczas; nie było grodu, któregobyśmy nie zabrali im: sześćdziesiąt miast, cały obwód Argob, królestwo Oga Baszańskiego; "
Deuteronomy 3:5,"Wszystko to - miasta, obwarowane murami wysokiemi, bramami i zaworami, - oprócz miast otwartych licznych bardzo. "
Deuteronomy 3:6,"I położyliśmy zaklęcie na nie, jakośmy uczynili Sychonowi, królowi Cheszbonu, kładąc zaklęcie na całą ludność męzką miasta, na kobiety i dzieci. "
Deuteronomy 3:7,Wszelkie zaś bydło i łupy miast zagrabiliśmy sobie. 
Deuteronomy 3:8,"I tak zabraliśmy wówczas ziemię z ręki dwu królów Emorei, które po tej stronie Jardenu, - od potoku Arnon, aż do góry Chermon. "
Deuteronomy 3:9,"Cydończycy nazywają Chermon Syrjonem, Emorejczycy zaś nazywają go Snir. -  "
Deuteronomy 3:10,"Wszystkie miasta na równinie, i cały Gilead, i cały Baszan aż do Salchy i Edrei, miast stołecznych Oga Baszańskiego. "
Deuteronomy 3:11,"Gdyż tylko Og, król Baszanu, pozostał z ostatka olbrzymów; oto łoże jego, - łoże żelazne, - wszak znajduje się w Rabba u synów Ammonu: dziewięć łokci długość jego, a cztery łokcie szerokość jego, na łokieć męzki. "
Deuteronomy 3:12,"Tę oto ziemię zdobyliśmy podówczas; od Aroeru, co nad potokiem Arnon, i połowę góry Gilead wraz z miastami jej, oddałem Reubenidom i Gadydom. "
Deuteronomy 3:13,"Pozostałą zaś część Gileadu, i cały Baszan, królestwo Oga, oddałem połowie pokolenia Menaszy, - cały obwód Argob; cały ten Baszan nazywają ziemią olbrzymów. "
Deuteronomy 3:14,"Jair, syn Menaszy zabrał cały obwód Argob, aż do granic Geszuryty i Maachyty, i nazwał go, oprócz Baszanu, od imienia swego siołami Jaira, aż po dziś dzień. "
Deuteronomy 3:15,Machyrowi zaś oddałem Gilead; 
Deuteronomy 3:16,"A Reubenidom i Gadydom oddałem - od Gileadu aż do potoku Arnon, środek potoku, i Gewul aż do potoku Jabbok, granicy synów Ammonu; "
Deuteronomy 3:17,"I do Araby, Jardenu, Gewulu, od Kinnereth aż do morza Araby, morza Słonego, u stoków Pisgi, ku wschodowi. "
Deuteronomy 3:18,"I rozkazałem wam podówczas, i rzekłem: Wiekuisty, Bóg nasz, oddaje wam ziemię tę w posiadanie; a tak zbrojno pójdziecie przed bracią waszą, synami Israela, wszyscy mężowie wojenni, -  "
Deuteronomy 3:19,"Tylko żony wasze, i dzieci wasze, i stada wasze, - gdyż wiem, że stada liczne macie, - zostaną w miastach waszych, które dałem wam; "
Deuteronomy 3:20,"Dopóki nie da pokoju Wiekuisty braciom waszym jako i wam, a zdobędą i oni ziemię, którą Wiekuisty, Bóg wasz, odda im za Jardenem; - a wtedy wrócicie każdy do posiadłości swojej, którą oddałem wam. "
Deuteronomy 3:21,"Jehoszuemu téż zapowiedziałem wówczas, mówiąc: Oczy twoje widzą wszystko, co uczynił Wiekuisty, Bóg wasz, dwóm królom tym; tak samo uczyni Wiekuisty wszystkim królestwom, do których idziesz; "
Deuteronomy 3:22,"Nie obawiajcie się ich, gdyż Wiekuisty, Bóg wasz, Sam walczy za was! "
Deuteronomy 3:23,"I błagałem Wiekuistego podówczas, mówiąc: "
Deuteronomy 3:24,"Panie Wszechmocny! Tyś począł okazywać słudze Twojemu wielkość Twoję, i rękę Twą potężną; bo gdzież Bóg na niebie, albo na ziemi, któryby spełnić mógł coś podobnego do dzieł Twoich, i do czynów Twoich? "
Deuteronomy 3:25,"Niechże téż przejdę i zobaczę ową ziemię piękną, która za Jardenem, górę ową piękną, i Liban! "
Deuteronomy 3:26,"Ale uniósł się Wiekuisty na mnie z przyczyny waszej, i nie wysłuchał mnie; i rzekł Wiekuisty do mnie: ""Dosyć tobie; nie mów więcej do Mnie w sprawie tej; "
Deuteronomy 3:27,"Wstąp na szczyt Pisgi, a podnieś oczy twe ku zachodowi, i ku północy, i ku południowi, i ku wschodowi, a popatrz oczyma swemi; ponieważ nie przejdziesz za Jarden ten! "
Deuteronomy 3:28,"Ale porucz to Jehoszuemu, i pokrzep go, i utwierdź go, albowiem on pójdzie przed ludem tym, a on poda im w dziedzictwo ziemię, którą zobaczysz!"" "
Deuteronomy 3:29,"I tak pozostaliśmy w nizinie, naprzeciw Beth-Peor. "
Deuteronomy 4:1,"Teraz tedy, Israelu, słuchaj ustaw i praw, których was nauczam, abyście je spełniali, abyście żyli, i poszli, i posiedli ziemię, którą Wiekuisty, Bóg ojców waszych, daje wam; "
Deuteronomy 4:2,"Nie dodawajcie do słowa, które ja wam poruczam, ani odejmujcie od niego, przestrzegając przykazań Wiekuistego, Boga waszego, które ja wam nakazuję. "
Deuteronomy 4:3,"Oczy wasze widziały, co uczynił Wiekuisty za Baal-Peora; gdyż każdego, który szedł za Baal-Peorem, - wytępił go Wiekuisty, Bóg twój, z pośród ciebie; "
Deuteronomy 4:4,"Wy zaś, którzyście lgnęli do Wiekuistego, Boga waszego, żywiście wszyscy po dziś dzień! "
Deuteronomy 4:5,"Patrzcie! nauczałem was ustaw i praw, jako rozkazał mi Wiekuisty, Bóg mój, abyście postępowali podług tego na ziemi, do której wchodzicie, aby zawładnąć nią. "
Deuteronomy 4:6,"Przestrzegajcież ich tedy, a spełniajcie je; gdyż to mądrość wasza, i rozum wasz w oczach ludów, które usłyszawszy o wszystkich ustawach tych powiedzieć muszą: ""zaprawdę, ludem mądrym i rozumnym jest naród ten wielki!"" "
Deuteronomy 4:7,"I gdzież jeszcze naród wielki, któremuby Bóstwo było tak bliskiém jak Wiekuisty, Bóg nasz, - ilekroć go wzywamy? "
Deuteronomy 4:8,"Albo gdzież naród wielki, któryby miał ustawy i prawa tak sprawiedliwe, jak cały zakon ten, który ja przedstawiam wam dzisiaj? "
Deuteronomy 4:9,"Wszakże miej się na baczności, a strzeż duszy twej usilnie, byś nie zapominał rzeczy, które widziały oczy twoje, i aby nie odstępowały od serca twojego, po wszystkie dni żywota twego; a opowiadaj o nich synom twoim, i synom synów twoich; "
Deuteronomy 4:10,"O tym dniu, kiedyś stawał przed Wiekuistym, Bogiem twoim, przy Chorebie, gdy mówił Wiekuisty do mnie: ""Zgromadź Mi lud, abym im obwieścił słowa Moje, z których się nauczą obawiać się Mnie po wszystkie dni, które żyć będą na ziemi, i których téż synów swoich nauczać mają!"" "
Deuteronomy 4:11,"Tedyście przystąpili i stanęli u stóp góry, a góra ona płonęła ogniem do wyżyn niebios, przy ciemności, chmurach i mgle. "
Deuteronomy 4:12,"I przemawiał Wiekuisty do was z pośród ognia; głos słów słyszeliście, aleście postaci żadnej nie widzieli, a jedynie głos! "
Deuteronomy 4:13,"I objawił On wam przymierze Swoje, które rozkazał wam spełniać, - dziesięć wyrzeczeń, i napisał je na dwu tablicach kamiennych; "
Deuteronomy 4:14,"Mnie zaś rozkazał Wiekuisty podówczas nauczać was ustaw i praw, abyście spełniali je na ziemi, do której idziecie, aby ją posiąść; "
Deuteronomy 4:15,"A tak strzeżcie się usilnie, gwoli duszom waszym! - Gdyż nie widzieliście żadnej postaci dnia, którego przemawiał Wiekuisty do was na Chorebie z pośród ognia! "
Deuteronomy 4:16,"Abyście się nie skazili, i nie czynili sobie rzeźby, obrazu jakiejkolwiek podobizny, w postaci mężczyzny albo niewiasty, -  "
Deuteronomy 4:17,"W postaci jakiegokolwiek zwierzęcia, które na ziemi, w postaci jakiegokolwiek ptaka skrzydlatego, który lata pod niebem, "
Deuteronomy 4:18,"W postaci czegokolwiek pełzającego po ziemi, w postaci jakiejkolwiek ryby, która w wodach poniżej ziemi! "
Deuteronomy 4:19,"Albo żebyś podniósłszy oczy swe ku niebu, i widząc słońce i księżyc i gwiazdy, cały zastęp nieba, - dał się uwieść, abyś się im korzył i służył im, które to udzielił Wiekuisty, Bóg twój, wszystkim ludom pod całém niebem. "
Deuteronomy 4:20,"Ale was wziął Wiekuisty, i wywiódł was z topielni żelaza, z Micraim, abyście byli ludem Mu oddanym, jako dziś jesteście. "
Deuteronomy 4:21,"A Wiekuisty rozgniewał się na mnie dla spraw waszych, a przysiągł, że nie przejdę za Jarden, ani wnijdę do owej ziemi pięknej, którą Wiekuisty, Bóg twój, oddaje ci w posiadanie; "
Deuteronomy 4:22,Gdyż ja umrę na ziemi tej; nie przejdę za Jarden; wy zaś przejdziecie i zawładniecie ową ziemią piękną. 
Deuteronomy 4:23,"Strzeżcie się, abyście nie zapomnieli przymierza Wiekuistego, Boga waszego, które zawarł z wami, a nie czynili sobie rzeźby, podobizny czegokolwiek, - jako zakazał ci Wiekuisty, Bóg twój! "
Deuteronomy 4:24,"Albowiem Wiekuisty, Bóg twój, - ogień trawiący, Bóg żarliwy! "
Deuteronomy 4:25,"Gdy rozrodzisz synów i wnuków, a usadowicie się na ziemi tej, ale skazicie się, i uczynicie sobie rzeźby, podobizny czegokolwiek, i uczynicie zło w oczach Wiekuistego, Boga waszego, aby Go rozjątrzyć, -  "
Deuteronomy 4:26,"To świadczę się wam dzisiaj niebem i ziemią, że wyginiecie rychło z ziemi, do której idziecie przez Jarden, aby ją posiąść; nie pożyjecie długo na niej, lecz wytępieni będziecie; "
Deuteronomy 4:27,"I rozproszy was Wiekuisty między ludy, a zostanie was garstka nieliczna między narodami, do których zaprowadzi was Wiekuisty; "
Deuteronomy 4:28,"A będziecie tam służyli bóstwom, dziełu rąk ludzkich, drewnu i kamieniowi, które nie widzą, ani słyszą, ani jedzą, ani powonienia nie mają; "
Deuteronomy 4:29,"I poszukasz ztamtąd Wiekuistego, Boga twojego, i znajdziesz, gdy Go szukać będziesz całém sercem twojém, i całą duszą twoją; "
Deuteronomy 4:30,"W niedoli twojej, a gdy cię spotka to wszystko w następstwie czasów, - tedy zwrócisz się do Wiekuistego, Boga twojego, a usłuchasz głosu Jego. "
Deuteronomy 4:31,"Gdyż Bogiem miłosiernym, Wiekuisty, Bóg twój; nie opuści cię, ani cię zagubi, i nie zapomni przymierza ojców twoich, które im zaprzysiągł; "
Deuteronomy 4:32,"Bo chciej się zapytać u dni przeszłych, które były przed tobą, od dnia, którego stworzył Bóg człowieka na ziemi, i od krańca nieba do krańca nieba, - czy bywała kiedy rzecz tak wielka, albo czy słyszano o czémś podobném? "
Deuteronomy 4:33,"Czy słyszał który lud głos Boga, przemawiającego z pośród ognia, jakoś ty słyszał, - a żywym pozostał? "
Deuteronomy 4:34,"Albo pokusiłże się który bóg przyjść, a wziąć sobie naród z pośród narodu próbami, znamionami, i cudami, i wojną, i ręką przemożną, i ramieniem wyciągniętém, i postrachami wielkimi, jak uczynił dla was Wiekuisty, Bóg wasz, w Micraim przed oczyma twemi? "
Deuteronomy 4:35,"Tobie to pokazano, abyś poznał, że Wiekuisty jest Bóg, a nikt prócz Niego! "
Deuteronomy 4:36,"Z nieba dał ci słyszeć głos Swój, aby cię napominać, a na ziemi ukazał ci ogień Swój wielki, a słowa Jego słyszałeś z pośród ognia; "
Deuteronomy 4:37,"A ponieważ umiłował ojców twoich, wybrał téż i potomstwo ich po nich, i wywiódł cię obliczem Swojém, mocą Swą wielką z Micraim, -  "
Deuteronomy 4:38,"Aby wypędzić narody większe i silniejsze od ciebie przed obliczem twojém; aby cię zaprowadzić i oddać ci ziemię ich w posiadanie, jako dziś widzisz. "
Deuteronomy 4:39,"Poznajże teraz, a weź to do serca twego, że Wiekuisty jest Bogiem, - na niebie, wysoko, i na ziemi, nisko, - niema innego! "
Deuteronomy 4:40,"A przestrzegaj ustaw Jego i przykazań Jego, które nakazuję ci dzisiaj, aby ci dobrze było, i synom twoim po tobie, abyś długo żył na ziemi, którą Wiekuisty, Bóg twój, oddaje ci na zawsze!"" "
Deuteronomy 4:41,"Wtedy oddzielił Mojżesz trzy miasta po tej stronie Jardenu, ku wschodowi słońca, -  "
Deuteronomy 4:42,"Aby uciekał tam zabójca, któryby zabił bliźniego swego nierozmyślnie, nie będąc nieprzyjacielem jego przedtém, aby schroniwszy się do jednego z tych miast życie zachował: "
Deuteronomy 4:43,"Becer na puszczy, na równinie, od Reubenidów, i Ramoth w Gilead od Gadydów, i Golan w Baszan od Menaszydów. "
Deuteronomy 4:44,"A oto zakon, który przedłożył Mojżesz synom Israela; "
Deuteronomy 4:45,"Te są świadectwa, ustawy i prawa, które wygłosił Mojżesz synom Israela, po wyjściu ich z Micraim, -  "
Deuteronomy 4:46,"Z tej strony Jardenu, w nizinie, naprzeciw Beth-Peora, w ziemi Sychona, króla Emorei, który zasiadał w Cheszbonie, a którego poraził Mojżesz i synowie Israela, po wyjściu ich z Micraim, -  "
Deuteronomy 4:47,"I zdobyli ziemię jego, i ziemię Oga, króla Baszanu, - dwu królów Emorejskich, która po tej stronie Jardenu, ku wschodowi słońca; "
Deuteronomy 4:48,"Od Aroer, co nad brzegiem potoku Arnon, aż do góry Syon, czyli Chermon; "
Deuteronomy 4:49,"I całą Arabę, z tej strony Jardenu, ku wschodowi, aż do morza Araby u stoków Pisgi. "
Deuteronomy 5:1,"I zwołał Mojżesz cały Israel, i rzekł do nich: ""Słuchaj Israelu ustaw i praw, które wypowiadam w uszy wasze dzisiaj, a nauczcie się ich, a starajcie się je spełniać! "
