Index Title,Proverbs
Proverbs 3:15,"Cenniejszą ona nad korale, a wszystkie twe klejnoty nie zrównają jej. "
Proverbs 3:16,"Długie życie po prawicy jej, w lewicy jej bogactwo i chwała. "
Proverbs 3:17,"Drogi jej drogi urocze, a wszystkie jej ścieżki pomyślnością. "
Proverbs 3:18,"Drzewem życia ona dla tych, którzy się jej trzymają, a ktokolwiek ją dzierży uszczęśliwiony. "
Proverbs 3:19,"Wiekuisty mądrością ugruntował ziemię, utrwalił niebiosa rozwagą. "
Proverbs 3:20,"Wiedzą Jego rozstąpiły się tonie, a kropią górne przestwory rosą. "
Proverbs 3:21,Synu mój! niechaj nie ustąpią z przed oczu twoich - strzeż umiejętności i roztropności. 
Proverbs 3:22,"A będą życiem dla duszy twojej, a ozdobą wdzięczną dla szyi twojej. "
Proverbs 3:23,"Wtedy postępować będziesz bezpiecznie po drodze twojej, a nogą twoją się nie potkniesz. "
Proverbs 3:24,Gdy się położysz nie zaznasz trwogi; a gdy spoczniesz słodkim będzie sen twój. 
Proverbs 3:25,"Nie masz się obawiać strachu nagłego, ani grozy, gdy na niegodziwych przypadnie. "
Proverbs 3:26,"Albowiem Wiekuisty będzie ufnością twoją, a uchroni On nogę twą od zasadzki. "
Proverbs 3:27,"Nie wzbraniaj się świadczyć dobrze potrzebującemu, jeśli to w mocy twojej uczynić. "
Proverbs 3:28,"Nie mów bliźniemu twemu: Idź, a wróć znowu, a dam ci jutro! gdy to już masz przy sobie. "
Proverbs 3:29,"Nie knuj złego przeciw bliźniemu twemu, gdy ufnie przy tobie przebywa. "
Proverbs 3:30,"Nie prawuj się z nikim bez powodu, gdy ci nic złego nie wyrządził. "
Proverbs 3:31,"Nie zajrzyj krzywdzicielowi, a nie upodobaj sobie żadnej z dróg jego. "
Proverbs 3:32,"Albowiem ohydą Wiekuistemu jest przewrotny, a przy prawych życzliwość Jego. "
Proverbs 3:33,"Przekleństwo Wiekuistego w domu niegodziwca, ale siedzibie sprawiedliwych błogosławi. "
Proverbs 3:34,"Jeśli o naśmiewców idzie, naśmiewa się, ale pokornym użycza łaski. "
Proverbs 3:35,"Cześć będzie udziałem mędrców, ale błaznów uniesie hańba. "
Proverbs 4:1,"Słuchajcie, synowie, napomnień ojca, a baczcie byście przyswoili sobie roztropność. "
Proverbs 4:2,"Albowiem naukę dobrą daję wam, nie zaniedbujcie wskazówki mojej! "
Proverbs 4:3,"Bo gdym synem był ojcu mojemu, pieszczonym i jedynakiem pod opieką matki mojej, "
Proverbs 4:4,"Uczył mnie tedy, i rzekł do mnie: ""Niechaj zachowa serce twe słowa moje; przestrzegaj przykazań moich, a będziesz żył"". "
Proverbs 4:5,"""Nabieraj mądrości, nabieraj roztropności; Nie zapominaj a nie odstępuj od wyrzeczeń ust moich; "
Proverbs 4:6,"""Nie zaniechaj jej, a strzedz cię będzie; umiłuj ją, a ochroni cię. "
Proverbs 4:7,"""Pierwszą rzeczą jest mądrość: Nabieraj mądrości, a całym nabytkiem twoim nabieraj roztropności. "
Proverbs 4:8,"""Szanuj ją, a wyniesie cię; obdarzy cię czcią, jeśli ją obejmiesz. "
Proverbs 4:9,"""Wieńcem uroczym otoczy głowę twoję, koroną wspaniałą cię obdarzy"". "
Proverbs 4:10,"Słuchaj, synu mój, a przyjm mowy moje, a przymnożą ci się lata życia. "
Proverbs 4:11,"O drodze mądrości nauczam cię, prowadzę cię po kolejach prawości. "
Proverbs 4:12,"Gdy będziesz chodził, nie ścieśni się krok twój, a gdy biedz będziesz nie potkniesz się. "
Proverbs 4:13,"Trzymaj się karności, nie puszczaj! pielęgnuj ją, bo ona życiem twojem. "
Proverbs 4:14,"Nie wstępuj na ścieżkę niegodziwych, a po drodze niecnych się nie przechadzaj. "
Proverbs 4:15,"Zaniechaj go, nie chodź mimo niego; odwróć się odeń a przejdź. "
Proverbs 4:16,"Albowiem nie mogą usnąć, jeżeli złego nie spełnili; a odjęty im sen ich, jeżeli do upadku nie przywiedli. "
Proverbs 4:17,"Bo żywią się chlebem niegodziwości, a wino krzywdy zapijają. "
Proverbs 4:18,"Ale ścieżka sprawiedliwych jako światło jutrzni, które przybiera jasności aż do pełni dnia. "
Proverbs 4:19,Droga niegodziwych jako mrok nocny; nie wiedzą o co się potkną. 
Proverbs 4:20,"Synu mój, zważ na słowa moje, nakłoń ucho twe ku mowom moim! "
Proverbs 4:21,Niechaj nie ustąpią z przed oczu twoich; zachowaj je we wnętrzu twego serca. 
Proverbs 4:22,"Albowiem życiem są dla tych, którzy je znaleźli, a dla całego ciała ich zdrowiem. "
Proverbs 4:23,"Ponad wszystko pilnuj serca twego, gdyż od niego wytryskują źródła życia. "
Proverbs 4:24,"Usuń od siebie matactwo ust, a przewrotność warg oddal od siebie. "
Proverbs 4:25,"Niechaj oczy twoje patrzą przed siebie, a niechaj rzęsy twoje prosto spoglądają. "
Proverbs 4:26,"Urównaj tor nogi twojej, a wszystkie drogi twoje niechaj ustalone będą. "
Proverbs 4:27,"Nie zbaczaj ani na prawo, ani na lewo; usuwaj nogę twą od złego. "
Proverbs 5:1,"Synu mój, bacz na mądrość moją, ku roztropności mojej skłoń ucho twe. "
Proverbs 5:2,"Abyś zachował rozwagę, a strzegły poznania usta twoje. "
Proverbs 5:3,"Albowiem patoką kapią usta cudzej, a gładszem niż oliwa podniebienie jej. "
Proverbs 5:4,"Ale koniec jej gorzki jak piołun, ostry jak miecz obosieczny. "
Proverbs 5:5,"Nogi jej zstępują ku śmierci, przepaści trzymają się kroki jej. "
Proverbs 5:6,"Abyś drogi życia sobie nie urównał, chwieją się manowce jej, nie zdołasz jej poznać. "
Proverbs 5:7,"Teraz tedy, synowie, posłuchajcie mnie, a nie odstępujcie od orzeczeń ust moich. "
Proverbs 5:8,"Oddalaj od niej drogę twoję, a nie zbliżaj się ku drzwiom domu jej. "
Proverbs 5:9,"Abyś nie oddawał cudzym wdzięku twojego, a lat twoich okrutnemu. "
Proverbs 5:10,"Aby nie nasycali się obcy mieniem twojem, a nie przeszły mozoły twoje w dom cudzy. "
Proverbs 5:11,"Abyś nie jęczał w końcu, gdy zanikną mięśnie i ciało twoje, "
Proverbs 5:12,"A powiedział: jakżem nienawidził napomnienia, a gardziło przestrogą serce moje! "
Proverbs 5:13,"A nie słuchałem głosu przewodników moich, a ku nauczycielom moim nie skłaniałem ucha mojego. "
Proverbs 5:14,"Ledwie żem nie popadł w nieszczęście wszelakie, wpośród zboru i rzeszy. "
Proverbs 5:15,"Pij wodę z własnej krynicy, i to co tryska z dna własnej twej studni. "
Proverbs 5:16,"Czyż mają źródła twoje przelewać się na zewnątrz, na place publiczne strumienie wód twoich? "
Proverbs 5:17,"Do ciebie samego niechaj należą, a nie do obcych przy tobie. "
Proverbs 5:18,"Niechaj krynica twoja błogosławiona będzie, abyś się cieszył kobietą młodości twojej. "
Proverbs 5:19,"Łania rozkoszna, sarna urocza - jej piersi niechaj cię napawają każdego czasu, miłością jej wciąż odurzać się możesz. "
Proverbs 5:20,"Czemuż jednak, synu mój, miałbyś obcą się odurzać a łono cudzej pieścić? "
Proverbs 5:21,"Bo przed oczyma Wiekuistego są drogi każdego otwarte, a toruje on wszystkie jego koleje. "
Proverbs 5:22,"Winy jego własne oplątują niegodziwca, a więzami występków swoich uwikłanym zostaje. "
Proverbs 5:23,"Zginie on dla braku karności, a w pełni głupoty swojej zabłąka się. "
Proverbs 6:1,"Synu mój, jeśliś poręczył za bliźniego swego, jeśliś dla innego podał rękę twoję, "
Proverbs 6:2,"Jeśliś się uwikłał słowami ust swoich, zaplątał mowami ust swoich: "
Proverbs 6:3,"Uczyń to jedno, synu mój, abyś się ocalił - boś popadł w moc bliźniego twego - idź, rzuć się przed nim, i nalegaj usilnie na bliźniego twego. "
Proverbs 6:4,"Nie użyczaj snu oczom twoim, ani drzemki powiekom twym. "
Proverbs 6:5,Ocal się niby sarna z mocy myśliwca i niby ptak z mocy ptasznika. 
Proverbs 6:6,"Idź do mrówki, leniwcze; przypatruj się drogom jej, abyś mądrości nabrał. "
Proverbs 6:7,"Jakkolwiek przywódcy nie ma, ani dozorcy, ani władcy, "
Proverbs 6:8,"Przygotowuje jednak w lecie pokarm swój, gromadzi podczas żniwa żywność swoję. "
Proverbs 6:9,"Dopókiż, leniwcze, wylegiwać się będziesz? Kiedyż dźwigniesz się ze snu twojego? "
Proverbs 6:10,"Jeszcze cokolwiek się przespać, cokolwiek podrzemać, cokolwiek składać ręce dla wypoczynku: "
Proverbs 6:11,"Aż nadchodzi jako włóczęga ubóstwo twoje, a niedostatek twój jako tarczą zbrojny. "
Proverbs 6:12,"Człowiekiem nikczemnym, człowiekiem niecnym ten, który w matactwie ust postępuje, "
Proverbs 6:13,"Który oczyma swemi mruga, nogami szurgoce, palcami swymi znaki daje, "
Proverbs 6:14,"W którego sercu przewrotność jest, który ustawicznie zło knuje, swary rozsiewa. "
Proverbs 6:15,"Przeto przypadnie nań klęska niespodzianie; nagle skruszony zostanie, a nie będzie leku. "
Proverbs 6:16,"Sześciu tych rzeczy nienawidzi Wiekuisty, a jest siedm będące ohydą duszy Jego: "
Proverbs 6:17,"Oczy wyniosłe, język kłamliwy, i ręce wylewające krew niewinną. "
Proverbs 6:18,"Serce, knujące zamysły zgubne; nogi rącze, by zdążać do złego. "
Proverbs 6:19,"Kto kłamstwa wygłasza jako świadek fałszywy, i kto między braćmi swary rozsiewa. "
Proverbs 6:20,"Zachowaj, synu mój, przykazanie ojca twego, a nie zaniechaj wskazówki matki twojej. "
Proverbs 6:21,"Przywiąż je ustawicznie do serca twego, obwiń około szyi twojej. "
Proverbs 6:22,"Gdy będziesz chodził niechaj ci przewodniczy; gdy się położysz niechaj czuwa nad tobą, a gdy się obudzisz niechaj przemówi do ciebie. "
Proverbs 6:23,"Albowiem pochodnią przykazanie, a nauka światłem, a drogą do życia przestrogi pouczające. "
Proverbs 6:24,"Aby cię uchować od kobiety niecnej, od gładkiego języka cudzej. "
Proverbs 6:25,"Nie pożądaj piękności jej w sercu twojem, a niechaj cię nie ujmie rzęsami swojemi. "
Proverbs 6:26,"Albowiem przez kobietę nierządną schodzi się aż do bochenka chleba, a kobieta wiarołomna i cenne życie sobie usidla. "
Proverbs 6:27,"Czyż nabierze kto ognia do łona swego, a nie popalą się szaty jego? "
Proverbs 6:28,"Albo czyż będzie kto stąpał po zarzewiach, a nie oparzą się nogi jego? "
Proverbs 6:29,"Tak bywa z każdym, który do żony bliźniego się zbliża; nie wychodzi bezkarnie ktokolwiek się jej dotyka. "
Proverbs 6:30,"Nie pogardza się złodziejem jeśli kradnie, aby się nasycić, gdy głodnym jest. "
Proverbs 6:31,"A gdy zdybanym zostaje, może siedmiokrotnie zapłacić, całą chudobę domu swego może oddać. "
Proverbs 6:32,Ale kto z kobietą wiarę łamie jest błaznem; tylko kto się sam chce gubić czyni to. 
Proverbs 6:33,"Razy i hańbę pozyska, a sromota jego zatartą nie będzie. "
Proverbs 6:34,"Zazdrość bowiem, zaciekłość to męzka, a nie oszczędza w dzień pomsty. "
Proverbs 6:35,"Nie uwzględni żadnego okupu, a nie ukoi się choćbyś liczne składał dary. "
Proverbs 7:1,"Synu mój, zachowaj mowy moje, a przykazania moje ukrywaj u siebie. "
Proverbs 7:2,"Zachowaj przykazania moje, a naukę moję niby źrenicę oczu twoich. "
Proverbs 7:3,"Nawiąż je na palcach twoich, zapisz je na tablicy serca twego. "
Proverbs 7:4,Mów do mądrości: Tyś siostra moja! a rozwagę powiernicą nazywaj. 
Proverbs 7:5,"Aby cię ustrzegły od żony cudzej, od obcej, która łagodnie przemawia. "
Proverbs 7:6,"Oknem mianowicie domu mojego, przez kraty moje wyglądałem. "
Proverbs 7:7,"Spostrzegłem tedy między niedoświadczonymi, zauważyłem między młodziankami, młodzika bezmyślnego. "
Proverbs 7:8,"Przechodził on ulicą mimo zakrętu, i skierował kroki swe ku domowi takiej. "
Proverbs 7:9,"O zmierzchu, pod wieczór dnia, gdy noc nastaje czarna i ciemna. "
Proverbs 7:10,"A oto kobieta naprzeciw niego, w stroju wszetecznicy, przebiegłego serca. "
Proverbs 7:11,Burzliwa ona i niesforna: nie mogą się nogi jej utrzymać w domu. 
Proverbs 7:12,"Już to na ulicy, już na rynkach, a na każdym zakręcie czyha. "
Proverbs 7:13,Otóż uchwyciła i ucałowała go; z bezwstydnem obliczem rzekła doń: 
Proverbs 7:14,"Ofiary opłatne mam złożyć, dzisiaj spełniłam śluby moje. "
Proverbs 7:15,"Przetom wyszła naprzeciw tobie, aby cię pilnie poszukać - i znalazłam cię. "
Proverbs 7:16,"Makatami nakryłam łoże moje, wzorzystymi kobiercami z przędzy egipskiej. "
Proverbs 7:17,"Pokropiłam posłanie moje myrrą, aloesem i cynamonem. "
Proverbs 7:18,"Pójdźże, napoim się miłością aż do rana, rozkoszujmy się pieszczotami. "
Proverbs 7:19,Albowiem męża niemasz w domu; wyruszył w podróż daleką. 
Proverbs 7:20,Trzos z pieniędzmi zabrał z sobą; dopiero na dzień pełni wróci do domu. 
Proverbs 7:21,Usilną swą namową uwiodła go; gładkością ust swoich zniewoliła go. 
Proverbs 7:22,"Idzie z nią wnet jak idzie wół do rzeźni, i jako do pęt swych przywiązany przestępca. "
Proverbs 7:23,"Póki nie przebiła mu strzała wątroby; kwapił się jako ptak do sideł, nie wiedząc, że idzie o duszę jego. "
Proverbs 7:24,"Teraz tedy synowie, słuchajcie mnie, a baczcie na słowa ust moich. "
Proverbs 7:25,"Niechaj nie zboczy ku drogom jej serce twoje, nie tułaj się po ścieżkach jej. "
Proverbs 7:26,"Albowiem dużo trupów położyła, a moc tych wszystkich, których wymordowała. "
Proverbs 7:27,"Pełen dróg ku otchłani dom jej, wiodących do komnat śmierci. "
Proverbs 8:1,"Zaprawdę, mądrość woła, a roztropność podnosi głos swój. "
Proverbs 8:2,"Na wierzchołkach wyżyn, przy drodze, na rozstaju ścieżek stoi. "
Proverbs 8:3,"Przy bramach, u wejścia do miast, przy wstępie do wrót rozlegają się wołania jej; "
Proverbs 8:4,Do was męże się odzywam; a głos mój do synów ludzkich! 
Proverbs 8:5,"Zastanówcie się lekkomyślni nad przezornością, a wy ograniczeni wyrozumiejcie co rozsądne! "
Proverbs 8:6,"Słuchajcie, bo poważne rzeczy wygłaszam, a otwierają się usta moje ku temu co proste. "
Proverbs 8:7,"Bo prawdę wypowiada podniebienie moje, a ohydą dla warg moich niegodziwość. "
Proverbs 8:8,"Sprawiedliwe wszystkie mowy ust moich, niemasz w nich ani obłudy ani matactwa. "
Proverbs 8:9,"Wszystkie one dostępne dla rozumnego, a proste dla tych, którzy wiedzę pozyskali. "
Proverbs 8:10,"Zabierzcie raczej napomnienie moje niż srebro, a poznanie niż złoto wyborowe. "
Proverbs 8:11,"Lepsza bowiem mądrość nad korale, a żadne klejnoty nie dorównywają jej. "
Proverbs 8:12,"Ja mądrość przy przezorności przebywam, a rozwagą opatrzną rozporządzam. "
Proverbs 8:13,"Bojaźń przed Wiekuistym, jest to nienawiść ku złemu; dumy, pychy, niecnego postępowania i ust przewrotnych nienawidzę. "
Proverbs 8:14,"Moją jest rada i sprawność; jam jest przenikliwość, moją dzielność. "
Proverbs 8:15,"Mną królowie królują a ustanawiają rządzący, co sprawiedliwem jest. "
Proverbs 8:16,Mną władają władcy i książęta i wszyscy sędziowie uczciwi. 
Proverbs 8:17,"Miłuję tych, którzy mnie miłują, a ci co mnie usilnie szukają znajdą mnie. "
Proverbs 8:18,"Bogactwo i chwała przy mnie, dobra trwałe i szczęście. "
Proverbs 8:19,"Plon mój lepszy niż kruszec szlachetny i złoto szczere, a nabytek mój cenniejszy niż srebro wyborowe. "
Proverbs 8:20,"Po ścieżce sprawiedliwości postępuję, wpośród drożyn prawa. "
Proverbs 8:21,"Abym darzyła miłujących mnie mieniem, i abym napełniała skarbce ich. "
Proverbs 8:22,"Stworzył mnie Wiekuisty jako początek dróg swoich, jako pierwsze z dzieł swych od dawna. "
Proverbs 8:23,"Od wieczności jam ustanowiona, od początku, od prastarych zaczątków ziemi. "
Proverbs 8:24,"Gdy jeszcze tonie nie istniały urodziłam się, gdy jeszcze źródeł nie było, obfitujących w wody. "
Proverbs 8:25,"Zanim góry utwierdzone zostały, przed pagórkami się urodziłam. "
Proverbs 8:26,Zanim jeszcze lądy utworzył i obszary i pierwiastkowe pyłki świata. 
Proverbs 8:27,"Gdy urządzał niebiosa byłam obecna, gdy zakreślał łuk nad powierzchnią otchłani. "
Proverbs 8:28,"Gdy utwierdzał obłoki u góry, gdy wzbierały silnie źródła toni. "
Proverbs 8:29,"Gdy wytknął morzu kres jego, aby nie przekroczyły wody jego wybrzeża - gdy ugruntował posady ziemi. "
Proverbs 8:30,"Byłam wtedy przy Nim mistrzynią; byłam wtedy zachwytem Jego dzień po dniu, igrając przed Nim każdego czasu, "
Proverbs 8:31,"Igrając na kręgu Jego ziemskim, a dzieląc uniesienia moje z synami ludzkimi. "
Proverbs 8:32,"Teraz tedy synowie, słuchajcie mnie! Szczęśni bowiem ci, którzy dróg moich przestrzegają. "
Proverbs 8:33,"Słuchajcie napomnienia, abyście nabrali mądrości, a nie popadli w rozwiązłość. "
Proverbs 8:34,"Szczęsny człowiek, który słucha mnie, tak że dzień w dzień u drzwi moich czuwa, pilnując podwojów bram moich. "
Proverbs 8:35,"Kto bowiem mnie pozyskał, pozyskał życie, a dostąpił łaski u Wiekuistego. "
Proverbs 8:36,"Ale kto mnie omija, krzywdzi sam siebie; ktokolwiek mnie nienawidzi umiłował śmierć. "
Proverbs 9:1,"Mądrość najwyższa zbudowała sobie dom, wyciosała sobie filarów swych siedm. "
Proverbs 9:2,"Przyrządziła swe mięsiwo, zmieszała swe wino; zastawiła też i stół swój. "
Proverbs 9:3,"Wyprawiła służebnice swoje i wzywa, stojąc na wierzchołku wyżyn miasta. "
Proverbs 9:4,Kto bezrozumny? niechaj wstąpi tu! A kto bezmyślny do tego powiada: 
Proverbs 9:5,"Chodźcie, zakosztujcie chleba mojego, a napijcie się z wina, którem zmieszała. "
Proverbs 9:6,"Porzućcie nierozważni niedorzeczność, a będziecie żyli, a postępujcie prosto po drodze roztropności. "
Proverbs 9:7,"Kto szydercę karci, przyczynia sobie sam wstydu, a kto niegodziwca napomina, ściąga sam zmazę na siebie. "
Proverbs 9:8,"Nie przyganiaj szydercy, by cię nie znienawidził; przyganiaj mądremu, a miłować cię będzie. "
Proverbs 9:9,"Dodaj mądremu, a będzie jeszcze mędrszym; naucz sprawiedliwego a przybierze jeszcze wiedzy. "
Proverbs 9:10,"Początkiem mądrości jest bojaźń Wiekuistego, a poznawanie Świętego rozwagą. "
Proverbs 9:11,"Przezemnie bowiem pomnożą się dni twoje, a przybędą ci lata życia. "
Proverbs 9:12,"Jeśliś mądry, mądryś dla siebie; jeśliś zaś szydercą, poniesiesz to sam. "
Proverbs 9:13,"Ona, pani głupota, namiętna jest, błaźnica, i bez wiedzy wszelkiej. "
Proverbs 9:14,"Zasiada ona u wejścia domu swojego, na tronie, na wyżynach miasta. "
Proverbs 9:15,"Aby przyzywać przechodzących drogą, którzy prosto po ścieżkach swoich postępują: "
Proverbs 9:16,Kto bezrozumny? niechaj wstąpi tu! A kto bezmyślny do tego powiada: 
Proverbs 9:17,"Skradzione wody są słodkie, a chleb tajemny smakuje. "
Proverbs 9:18,"A nie miarkuje on, że tam cienie śmiertelne, i że w głębiach otchłani goście jej. "
Proverbs 10:1,Przypowieści Salomona. Syn mądry sprawia radość ojcu; ale syn głupi jest zgryzotą matki. 
Proverbs 10:2,Nie przynoszą pożytku skarby niegodziwością zdobyte; sprawiedliwość jednak wybawia od śmierci. 
Proverbs 10:3,"Nie pozwala Wiekuisty łaknąć duszy sprawiedliwego, ale żądzę niegodziwych odtrąca. "
Proverbs 10:4,"Dłoń opieszała czyni ubogim, ale ręka skrzętnych wzbogaca. "
Proverbs 10:5,Zbiera w lecie dziecię roztropne; śpi w czasie żniwa dziecię gnuśne. 
Proverbs 10:6,"Błogosławieństwa spływają na głowę sprawiedliwego, ale usta niegodziwych pokrywa krzywda. "
Proverbs 10:7,"Pamięć sprawiedliwego błogosławiona będzie, ale sława niegodziwych zbutwieje. "
Proverbs 10:8,Rozumny sercem przyjmuje przykazania; kto jednak głupich jest ust upada. 
Proverbs 10:9,"Kto w niewinności postępuje, idzie bezpiecznie; kto jednak drogi swe skrzywia skarcony będzie. "
