Index Title,Isaiah
Isaiah 2:21,"By wnijść w rozpadliny skał i w szczeliny głazów w trwodze przed Wiekuistym i blaskiem majestatu Jego, gdy powstanie, by wstrząsnąć ziemią. "
Isaiah 2:22,"Odstąpcie tedy człowieka, którego tchnienie w nozdrzach jego - bo za cóż on poczytany? "
Isaiah 3:1,"Bo oto Pan, Wiekuisty zastępów, odejmie od Jeruszalaimu i Jehudy oporę i podporę; wszelką podporę chleba, i wszelką podporę wody. "
Isaiah 3:2,"Bohatera i wojownika, sędziego i proroka, wróżbiarza i starszego, "
Isaiah 3:3,"Pięćdziesiętnika i dostojnika i radcę, i przemyślnego rzemieślnika i biegłego zamawiacza. "
Isaiah 3:4,"I naznaczę dzieci na naczelników ich, a niedorostki panować im będą. "
Isaiah 3:5,"I gnębić się będzie naród, - mąż męża, i bliźni bliźniego, - porwie się pacholę na starca, a nikczemny na dostojnego. "
Isaiah 3:6,"Gdy zaczepi kto brata w domu ojca swego: Masz szatę? Przywódzcą bądź naszym, a rozprzężenie to pod ręką twoją; "
Isaiah 3:7,"Pocznie wówczas, i powié: Nie będę lekarzem - i w domu moim niema ani chleba ani sukni. Nie ustanawiajcie mnie przywódzcą narodu. "
Isaiah 3:8,"Bo upadnie Jeruszalaim, a Jehuda runie, bo mowa i sprawy ich są przeciw Wiekuistemu, by przekornym być oczom majestatu Jego. "
Isaiah 3:9,"Piętno oblicza ich świadczy przeciw nim, a grzech swój jak Sedom rozgłaszają, nie tają go. Biada duszy ich, bo sami wypielęgnowali sobie niedolę. "
Isaiah 3:10,"Oświadczcie sprawiedliwym, że im dobrze będzie, że owocu uczynków swoich spożywać będą. "
Isaiah 3:11,"Biada niegodziwemu, źle mu się powiedzie, bo odpłata rąk jego oddana mu będzie! "
Isaiah 3:12,"Naród mój - ciemięzcy jego niedorostki, a kobiety zapanowały nad nim. Narodzie mój! przywódzcy twoi prowadzą na bezdroża, a kierunek ścieżek twoich pokrzywili. "
Isaiah 3:13,"Powstanie do rozprawy Wiekuisty, a stanie by sądzić narody. "
Isaiah 3:14,"Wiekuisty na sąd przyjdzie przeciw starszym narodu Swego i jego książętom: Wyście wszak spaśli winnicę, krzywda biednego w domach waszych! "
Isaiah 3:15,"Czemu wam gnębić naród Mój, a oblicze biednych miąć, rzecze Pan, Bóg zastępów. "
Isaiah 3:16,"I rzecze Wiekuisty: Ponieważ zdumniały córy Cyonu, a chodzą z zadartym karkiem, i z ukosa spoglądając, krokiem drobnym stąpają i nogami podzwaniają. "
Isaiah 3:17,"Przeto obłysi Pan ciemię córek Cyonu, a Wiekuisty srom ich obnaży. "
Isaiah 3:18,"Dnia onego zabierze Pan ozdobę sprzączek, i siatki i półksiężyce, "
Isaiah 3:19,I perły i naszyjniki i kwefy. 
Isaiah 3:20,I wieńce i łańcuszki i przepaski i wonianki i amulety. 
Isaiah 3:21,"I pierścienie i obrączki nosowe, "
Isaiah 3:22,"Stroje godowe i płaszcze i chusteczki i torebki, "
Isaiah 3:23,I gaze i zarzutki i bindy i szale. 
Isaiah 3:24,"A wtedy miasto woni będzie zgnilizna, a miasto przepaski - powróz, a miasto sztucznego utrefienia, - pleszywość, a miasto zarzutki - opasanie worem, piętno wypalone miasto piękności. "
Isaiah 3:25,"Mężowie twoi od miecza legną, a potęga twoja w boju. "
Isaiah 3:26,"I zawodzić i utyskiwać będą bramy jej, a ogołocona na ziemi zasiądzie. "
Isaiah 4:1,"I uchwyci się siedm kobiet męża jednego w on dzień, wołając: Chléb nasz jeść będziemy, a suknią naszą się przyodziewać, tylko mianowane niech będzie imię twoje nad nami. Połóż koniec hańbie naszej. "
Isaiah 4:2,"W dniu owym będzie plon Wiekuistego krasą i chwałą, a owoc ziemi dumą i chlubą ocalonych Israela. "
Isaiah 4:3,"I będzie, ktokolwiek pozostał w Cyonie i się ostał w Jeruszalaim, - świętym nazywać go będą - każdego co zapisany na żywot w Jeruszalaim. "
Isaiah 4:4,"Gdy zmyje Pan brud cór Cyonu, a krew Jeruszalaimu opłucze z pośród niego tchnieniem sprawiedliwości i tchnieniem zniszczenia, "
Isaiah 4:5,"Utworzy Wiekuisty nad całą przestrzenią góry Cyonu i nad zborami jej obłok we dnie, a dym i blask ognistych płomieni w nocy, - bo nad wszelką wspaniałością będzie osłona. "
Isaiah 4:6,"I namiotem ona będzie, aby dać cień we dnie od upału, a schronieniem i przytułkiem przed nawałnicą i deszczem. "
Isaiah 5:1,"Chciałbym téż zaśpiewać o druhu moim, - pieśń druha mojego o winnicy swojej. Winnicę miał druh mój na pagórku urodzajnym. "
Isaiah 5:2,"I zorał ją, i obrał ją z kamienia, i zasadził w niej latorośl wyborową, i zbudował wieżę wpośród niej, i tłocznię również w niej wyciosał, i spodziewał się, że zbierze grona, a obrodziła - jagody ulęgłe. "
Isaiah 5:3,"A teraz mieszkańcy Jeruszalaimu i mężowie Jehudy, chciejcie rozsądzić między mną a winnicą moją! "
Isaiah 5:4,"Co zostawało czynić jeszcze winnicy mojej, czegobym nie uczynił jej? Czemuż, gdym się spodziewał zbierać grona, obrodziła jagody ulęgłe? "
Isaiah 5:5,"Otóż teraz oznajmię wam, co uczynię winnicy mojej: Rozbiorę żywopłot jej, a będzie wytrzebiona, rozwalę ogrodzenie jej, a będzie podeptana. "
Isaiah 5:6,"I uczynię ją pustkowiem; nie będzie przycinana ani okopywana, a porośnie ostem i cierniem; i chmurom téż wzbronię oraszać ją deszczem. "
Isaiah 5:7,"Zaiste, winnicą Wiekuistego zastępów jest dom Israela, a mężowie Jehudy sadem Jego rozkoszy: I czekał na sąd, a oto trąd, na sprawiedliwość, a oto skarga na niegodziwość. "
Isaiah 5:8,"Biada tym, którzy przyłączają dom do domu, a pole do pola zbliżają, że nie stawa już miejsca, i jakby wam samym jednym mieszkać przeznaczono na tej ziemi. "
Isaiah 5:9,"W uszy moje rzekł Wiekuisty zastępów: Zaprawdę, domów wiele spustoszeje, wielkie i okazałe zostaną bez mieszkańca. "
Isaiah 5:10,"Bo dziesięć morgów winnicy wydadzą bath jeden, a wysiewu chomer wyda jedną efę. "
Isaiah 5:11,"Biada tym, którzy zrywają się ze świtem, aby za napojem gonić, którzy do późnego wieczora winem rozpaleni. "
Isaiah 5:12,"I jest cytra i lutnia i bęben i flet, i jest wino na biesiadach ich, - ale na dzieło Wiekuistego nie baczą, a sprawy rąk Jego nie widzą. "
Isaiah 5:13,"Przeto pójdzie w niewolę naród mój niebacznie, a dostojnicy jego mrzeć będą głodem, a możni jego schnąć z pragnienia. "
Isaiah 5:14,"Przeto roztworzy przepaść wnętrze swoje, i rozewrze paszczę swą bez granic, i stoczy się jej przepych i jej wielmożność i jej zgiełk i każdy rozochocony w niej. "
Isaiah 5:15,"I upokorzonym będzie człowiek i poniżonym mąż, a oczy wyniosłych zniżone. "
Isaiah 5:16,"I wzniesie się Wiekuisty zastępów w sądzie, a Bóg święty uświęconym będzie w sprawiedliwości. "
Isaiah 5:17,"I paść się będą baranki jak na własnym wygonie, a w pustkowiach po opasłych tułacze żywić się będą. "
Isaiah 5:18,"Biada tym, którzy ściągają winę węzłami fałszu a gdyby powrozem wozowym kaźń! "
Isaiah 5:19,"Którzy mówią: Niech przyśpieszy, niech przynagli dzieło Swoje, abyśmy zobaczyli: niech nadejdzie i niech się spełni zamysł Świętego w Israelu, abyśmy się przekonali. "
Isaiah 5:20,"Biada tym, którzy mienią zło dobrém, a dobre złém: czynią ciemność światłem, a światło ciemnością; czynią gorycz słodyczą, a słodycz goryczą. "
Isaiah 5:21,"Biada mądrym we własnych oczach, a we własném rozumieniu roztropnym! "
Isaiah 5:22,"Biada bohaterom w łykaniu wina, rycerzom w mieszaniu napojów! "
Isaiah 5:23,"Którzy uniewinniają niegodziwca dla datku, a prawo sprawiedliwych uchylają od nich. "
Isaiah 5:24,"Przeto jak pożera ścierń język ognia, a perz w płomieniu zanika, tak korzeń ich w próchno się obróci, a kwiat ich pyłem uleci. Albowiem wzgardzili nauką Wiekuistego zastępów, a słowem Świętego w Israelu pomiatali. "
Isaiah 5:25,"To téż rozpali się gniew Wiekuistego na naród Jego i obróci rękę Swą na niego i uderzy go, że zadrżą góry, a legną trupy ich jak pomiot po ulicach. Ale tém wszystkiem nie ukoi się gniew Jego, i wciąż będzie dłoń Jego zawieszona. "
Isaiah 5:26,"I podniesie znak ludom zdaleka, i zaświśnie na jeden z kończyn ziemi, a oto chyżo i rączo nadbiegnie. "
Isaiah 5:27,"Nikt nie strudzony, nikt nie osłabiony w nim, ani drzemie ani śpi; nie rozwolnił się pas jego bioder, ani pękł rzemyk jego sandałów. "
Isaiah 5:28,"Którego strzały wyostrzone, a wszystkie łuki napięte; kopyta koni jego do krzemienia podobne, a koła jego jako wicher. "
Isaiah 5:29,"Ryk jego gdyby lwicy, ryczy jak lwięta; i zahuczy i porwie zdobycz i uniesie, a nikt nie ocali. "
Isaiah 5:30,I zahuczy nad nim w on dzień jako huk morza! a spojrzeć na ziemię a tu - ciemność; księżyc i słońce zaćmione w chmurach jej. 
Isaiah 6:1,"Roku śmierci króla Uzyi ujrzałem Pana, zasiadającego na tronie wysokim i wyniosłym, a kraje (kobierca) jego napełniały świątynię. "
Isaiah 6:2,"Serafini stali wysoko nad nim, o sześciu skrzydłach każdy; dwoma zasłaniał oblicze swoje, dwoma zasłaniał nogi swoje, a dwoma się unosił. "
Isaiah 6:3,"I odzywał się jeden do drugiego, i wołał: Święty, święty, święty Wiekuisty zastępów, pełną wsza ziemia chwały Jego! "
Isaiah 6:4,"I zatrzęsły się posady podwojów na głos wołających, a gmach napełnił się dymem. "
Isaiah 6:5,"I rzekłem: Biada mi, bom zginął, bom człowiek nieczystych ust, i śród narodu nieczystych ust przebywam, bo króla, Wiekuistego zastępów, widziały oczy moje. "
Isaiah 6:6,"Ale nadleciał do mnie jeden z Serafinów, a w ręku jego zarzewie; kleszczami wziął je z ołtarza. "
Isaiah 6:7,"I dotknął ust moich, i rzekł: Otóż dotyka to ust twoich, a znikła wina twoja, a grzech twój będzie odpuszczony. "
Isaiah 6:8,"Wtedy usłyszałem głos Pana, mówiącego: Kogoż mam posłać, i któż Nam pójdzie? I rzekłem: Oto jestem, poszlij mnie. "
Isaiah 6:9,"A na to rzekł: Pójdziesz i powiesz narodowi temu: Słyszeć słyszycie, ale nie chcecie rozumieć, patrzyć patrzycie, ale nie chcecie poznawać. "
Isaiah 6:10,"Znieczul serce narodu tego, a uszy jego obciąż, a oczy jego odwróć, aby nie widział oczyma swemi, i uszyma nie słyszał, i sercem nie zrozumiał, a nie nawrócił się, by był uzdrowion. "
Isaiah 6:11,"I rzekłem: Dopókiż Panie? I rzekł: Dopóki nie opustoszeją miasta dla braku mieszkańców, a domy dla braku ludzi, a ziemia spustoszeje jako step, "
Isaiah 6:12,"A wydali Wiekuisty człowieka, a wielką będzie opustoszałość wpośród ziemi. "
Isaiah 6:13,"A jeżeli jeszcze zostanie w niej część dziesiąta, ta również zniszczona będzie. Ale jak sosna lub dąb, u których po zrzuceniu liści pień zostaje, tak i zagajem świętym pozostanie pień jej. "
Isaiah 7:1,"I stało się za czasów Achaza, syna Jothama, syna Uzyi, króla Jehudy, wyruszył Recyn, król Aramu, i Pekach syn Remalji, król Israela do Jeruszalaim, aby walczyć przeciw niemu, ale nie mógł go zwalczyć. "
Isaiah 7:2,"A gdy oznajmiono domowi Dawida: Stanął obozem Aram wraz z Efraimem, wtedy zadrżało jego serce i serce narodu jego, jak drżą drzewa leśne od wiatru. "
Isaiah 7:3,"I rzekł Wiekuisty do Jeszaji: Wyjdziesz przeciw Achazowi, ty i Szeor Jaszub, syn twój, do przejścia wodociągu stawu górnego, na drogę ku polu foluszników. "
Isaiah 7:4,"I powiesz mu: Miej się na baczności, a zachowuj się spokojnie; nie obawiaj się, i niech się serce twe nie lęka dwu tych niedopałków dymiących się głowien - wobec zapalczywego gniewu Recyna i Aramu, i syna Remalji. "
Isaiah 7:5,"Przeto, że umyślił Aram zagubę twoję, Efraim i syn Remalji, mówiąc: "
Isaiah 7:6,"Wtargniem do Jehudy i zatrwożym ją, i otworzym ją sobie i ogłosim królem w niej syna Tobala. "
Isaiah 7:7,"Tak wyrzekł Pan, Bóg: To się nie stanie i nie będzie. "
Isaiah 7:8,"Bo głową Aramu Damesek, a głową Damesku Recyn; a w sześćdziesiąt pięć lat rozpadnie się Efraim - przestanie być ludem. "
Isaiah 7:9,"A głową Efraima Szomron, a głową Szomronu syn Remalji. Jeśli nie uwierzycie, to się nie ostoicie. "
Isaiah 7:10,"I rzekł Wiekuisty dalej do Achaza, mówiąc: "
Isaiah 7:11,"Zażądaj sobie znaku od Wiekuistego, Boga twojego, - spuszczając się głęboko, albo wznosząc wysoko. "
Isaiah 7:12,I rzekł Achaz: Nie będę żądał ani doświadczał Wiekuistego. 
Isaiah 7:13,"Wtedy rzekł: Słuchajże domu Dawida! Małoż wam nużyć ludzi, że nużyć chcecie i Boga mojego? "
Isaiah 7:14,"Przeto da wam Pan Sam znak: Oto ta niewiasta młoda poczęła i porodzi syna, i nazwie imię jego Immanuel. "
Isaiah 7:15,"Śmietanką i miodem żywić się będzie, gdy potrafi gardzić złém, a wybierać dobre. "
Isaiah 7:16,"Ale zanim potrafi to chłopię gardzić złém, a wybierać dobre, opuszczoną będzie ziemia, której dwu królów się lękasz. "
Isaiah 7:17,"Wszakże przywiedzie Wiekuisty na ciebie i na naród twój, i na dom ojca twojego dni, jakich nie było od dnia odstąpienia Efraima od Jehudy - króla Aszuru. "
Isaiah 7:18,"I będzie dnia onego zaświśnie Wiekuisty na szerszenie, co na krańcach strumieni Micraimu i na osy, które w ziemi Aszur. "
Isaiah 7:19,"I nadciągną i rozsiędą się wszystkie po dolinach opustoszałych i po rozstępach skał, i po wszystkich cierniskach i po wszystkich pastwiskach. "
Isaiah 7:20,"Dnia onego zgoli Pan brzytwą najętą na brzegach rzeki, królem Aszuru, głowę i włosy nóg; a niemniej i brodę zdejmie ona. "
Isaiah 7:21,"I będzie dnia onego, że chować będzie człowiek krówkę i parę owiec. "
Isaiah 7:22,"Ale z nadmiernego nadoju mleka pożywać będzie śmietankę, bo śmietanką i miodem żywić się będzie każdy, co pozostanie w kraju. "
Isaiah 7:23,"I będzie w dzień ów każdy obszar, na którym tysiąc winorośli za tysiąc szekli srebrnych, pastwą tarni i cierni. "
Isaiah 7:24,"Ze strzałami i łukiem przychodzić tam będą, bo tarniem i cierniem będzie cała ziemia. "
Isaiah 7:25,"I wszystkie téż góry, które radłem się rozkopują, - nie zajdzie tam obawa przed tarniem i cierniem; i posłużą na pastwisko dla wołu, albo koczowisko dla owcy. "
Isaiah 8:1,"I rzekł Wiekuisty do mnie: Weźmiesz sobie tablicę wielką i nakreślisz na niej pismem zwyczajném: ""Szybkiemu łupowi, chyżej zdobyczy"". "
Isaiah 8:2,"I stwierdziłem to sobie przez świadków wiarogodnych, przez Uryję kapłana i Zacharję syna Jeberechji. "
Isaiah 8:3,"I przybliżyłem się do prorokini i poczęła i urodziła syna. I rzekł Wiekuisty do mnie: Nadaj mu imię: Szybkim łup, chyżą zdobycz. "
Isaiah 8:4,"Bo zanim nauczy się to dziecię wołać: Ojcze mój, i matko moja, poniosą skarby Damesku i łup Szomronu przed królem Aszur. "
Isaiah 8:5,"I począł Wiekuisty dalej przemawiać do mnie, i rzekł: "
Isaiah 8:6,"Ponieważ porzucił naród ten wody Szyloach, toczące się cicho, a cieszy się wraz z Recynem i synem Remalji. "
Isaiah 8:7,"Więc oto Pan sprowadzi na nich wody strumienia, potężne i wielkie, - króla Aszur i wszystek jego poczet; i wystąpi ze wszystkich łożysk swoich, i zaleje wszystkie swe brzegi. "
Isaiah 8:8,"I przeniknie do Jehudy i rozleje się i wzbierze, aż po szyję dojdzie; a rozpędy skrzydeł jego ogarną obszar kraju twojego, Immanuelu! "
Isaiah 8:9,"Srożcie się narody i drżyjcie, nadstawcie ucha wszystkie obszary ziemi! zbrójcie się i drżyjcie, zbrójcie się i drżyjcie! "
Isaiah 8:10,"Uradźcie radę, ale zniweczoną będzie, uknujcie zmowę, ale nie ostoi się, bo z nami Bóg! "
Isaiah 8:11,"Albowiem tak mówił Wiekuisty do mnie w porywie natchnienia i napominając mnie, abym nie szedł drogą ludu tego, i rzekł: "
Isaiah 8:12,"Nie wołajcie: sprzysiężenie! na wszystko, co naród ten nazywa sprzysiężeniem, a przedmiotu obawy jego nie obawiajcie się, i nie trwożcie się. "
Isaiah 8:13,"Wiekuistego zastępów, Jego tylko święćcie: On niech będzie obawą waszą, On waszą trwogą. "
Isaiah 8:14,"Inaczej stanie się to powodem zwady i kamieniem obrazy i szkopułem potknienia obu domom Israela, sidłem i siecią dla mieszkańców Jeruszalaim. "
Isaiah 8:15,"I potknie się o nie wielu i upadną, i będą rozbici i opętani i pojmani. "
Isaiah 8:16,"Zawiń to świadectwo, zapieczętuj naukę między uczniami moimi! "
Isaiah 8:17,"I ufać będę Wiekuistemu, który skrył oblicze Swe od domu Jakóba i pokładać w Nim nadzieje moje. "
Isaiah 8:18,"Oto ja i dzieci, które dał mi Wiekuisty, myśmy wskazówki i zwiastuny w Israelu od Wiekuistego zastępów, zasiadającego na górze Cyon. "
Isaiah 8:19,"Ale gdy powiedzą wam: poradźcie się wieszczbiarzy i wróżbitów, co to szepcą i mruczą, - alboż to nie każdy naród bóstw swoich się radzi - o żywych u martwych? "
Isaiah 8:20,"Na naukę i świadectwo! jeżeli nie prawią wam rzeczy takiej, w której niema jasności. "
Isaiah 8:21,"To téż tułać się będzie po niej każdy, uciemiężony i łaknący; a łaknąc rozgniewa się, złorzecząc królowi i bóstwu swojemu, i zwróci się ku niebu, "
Isaiah 8:22,"I spojrzy ku ziemi, a tu niedola i pomroka, tumany gęste i ciemność zwarta! "
Isaiah 9:1,"Wszakże nie przetrwa ciemność dla tej, która w ucisku jest. Czasu poprzedniego sprowadził poniżenie do ziemi Zebulun i do ziemi Naftali - ale w następstwie ustanowi cześć po drodze do morza, po za Jordanem, w okręgu plemion. "
Isaiah 9:2,"Lud, który postępuje w ciemności, ujrzy światło wielkie, którzy przebywają w krainie pomroki śmiertelnej światło zabłyśnie nad nimi. "
Isaiah 9:3,"Rozmnożysz ten naród, uczynisz wielką radość jego: rozradują się przed Tobą, jak się radują podczas żniwa, jak się cieszą przy rozdziale zdobyczy. "
Isaiah 9:4,"Bo jarzmo ciążące na nim, i kij na jego ramieniu, i bicz ciemięzcy jego skruszysz jak w dzień Midjanu. "
Isaiah 9:5,"Bo każda zbroja zbrojącego się śród wrzawy, i szata zbroczona krwią pójdzie w płomienie na pastwę ognia. "
Isaiah 9:6,"Bo dziecię narodziło się nam, chłopię daném nam zostało, a złożoną jest władza na ramieniu jego, i nazwą imię jego: Znamienitym radcą, boskim bohaterem, patryarchą wiecznym, księciem pokoju. "
Isaiah 9:7,"Ku rozmnożeniu władzy i pokoju bez końca na tronie Dawida i w państwie jego, aby je utrwalić i utwierdzić przez prawo i sprawiedliwość odtąd i na wieki. Rzewniwość Wiekuistego zastępów dokona tego. "
Isaiah 9:8,"Słowo rzucił Pan przeciw Jakóbowi, aby spadło w Israelu, "
Isaiah 9:9,"A dowié się o niém lud cały, Efraim i mieszkańcy Szomronu, którzy w dumie i wyniosłości serca mówią: "
Isaiah 9:10,"Cegły zapadły, więc ciosem murować będziemy, morwy są ścięte, a więc cedrami je zastąpim. "
Isaiah 9:11,"I dźwignie Wiekuisty ciemięzców Recyna na niego, i wrogów jego poduszczy. "
Isaiah 9:12,"Aram od wschodu i Pelisztow z zachodu, i pochłoną Israela całą paszczą. Z tém wszystkiém nie odwróci się gniew Jego i będzie wciąż dłoń Jego zawieszona. "
Isaiah 9:13,"Ale naród nie nawróci się do karciciela swojego, a Wiekuistego zastępów wzywać nie będą. "
Isaiah 9:14,"Przeto zetnie Wiekuisty z Israela głowę i kończynę, palmową gałąź i sitowie dnia jednego. "
Isaiah 9:15,"Starszy i dostojnik oto głowa, a wieszcz nauczający fałszu oto kończyna. "
Isaiah 9:16,"A są przewodnicy narodu tego zwodnicy, a prowadzeni jego zgubieni. "
Isaiah 9:17,"Przeto młodzieńcami jego nie ucieszy się Pan, a nad sierotami i wdowami jego nie zmiłuje się; bo wszystko to obłudném i złośliwém, a każde usta prawią bezecność. Z tém wszystkiém nie odwróci się gniew Jego, i będzie wciąż dłoń Jego zawieszona. "
