Index Title,Joshua
Joshua 2:22,"I poszli i przybyli w góry i pozostali tam przez trzy dni, póki nie wrócili ścigający, szukali zaś ci ścigający po całej drodze, ale nie znaleźli. "
Joshua 2:23,"Wrócili tedy dwaj mężowie i zeszli z góry i przeprawili się, a gdy przybyli do Jozuego, syna Nuna, opowiedzieli mu wszystko, co ich spotkało. "
Joshua 2:24,"I rzekli do Jozuego: Tak, wydał Wiekuisty w ręce nasze całą tę ziemię; bo potruchleli już wszyscy mieszkańcy ziemi tej przed nami. "
Joshua 3:1,"Jozue zaś wstał wczesnym rankiem; a wtedy wyruszyli z Szyttim i przybyli nad Jordan, on wraz z wszystkimi synami Israela i zanocowali tam zanim się przeprawili. "
Joshua 3:2,"Po upływie zaś trzech dni przeszli przełożeni przez środek obozu, "
Joshua 3:3,"I nakazali ludowi w tych słowach: Skoro ujrzycie arkę przymierza Wiekuistego, Boga waszego, i niosących ją kapłanów-lewitów, wyruszycie i wy ze stanowiska waszego i pociągniecie za nią. "
Joshua 3:4,"Wszakże przestrzeń zostawcie między sobą a nią na dwa tysiące łokci miary zwyczajnej - Nie przystępujcie blizko do niej! - abyście zdaleka poznali drogę, którą pójść wam należy; albowiem nie chodziliście jeszcze drogą tą nigdy przedtem. "
Joshua 3:5,"Poczem rzekł Jozue do ludu: poświęćcie się, albowiem jutro sprawi Wiekuisty cuda wpośród was. "
Joshua 3:6,"Kapłanom zaś oświadczył Jozue, i rzekł: Zabierzcie arkę przymierza a przejdźcie na czoło ludu. Zabrali tedy arkę przymierza i szli na czele ludu. "
Joshua 3:7,"I oświadczył Wiekuisty Jozuemu: dzisiaj pocznę wsławiać cię w oczach całego Israela, aby poznali, że jakom był z Mojżeszem tak będę i z tobą! "
Joshua 3:8,"Ty zaś rozkażesz kapłanom, niosącym arkę przymierza, a powiesz im: Skoro dojdziecie do brzegu wód Jordanu, stańcie w Jordanie. "
Joshua 3:9,"Rzekł tedy Jozue do synów Israela: Przystąpcie tu a słuchajcie słów Wiekuistego, Boga waszego! "
Joshua 3:10,"I rzekł Jozue: Po tem poznacie, że przebywa Bóg żywy wpośród was, i że doszczętnie wypędzi przed wami Kanaanejczyka i Chittejczyka i Chiwitę i Peryzejczyka i Girgaszytę i Emorejczyka i Jebusytę. "
Joshua 3:11,"Oto arka przymierza, Pana wszej ziemi, pociągnie przed wami w Jordanie. "
Joshua 3:12,"Teraz przeto wybierzcie sobie dwunastu mężów z pokoleń israelskich, po jednym mężu z każdego pokolenia. "
Joshua 3:13,"Gdy tedy staną stopy nóg kapłanów, niosących arkę Wiekuistego, Pana wszej ziemi, w Jordanie, rozstąpią się wody Jordanu - wody mianowicie przypływające z góry - i staną jako jeden wał. "
Joshua 3:14,"Gdy tedy wyruszył lud z namiotów swoich, by przeprawić się przez Jordan, a kapłani, niosący arkę przymierza, szli na czele ludu; "
Joshua 3:15,"A skoro tylko niosący arkę do Jordanu dotarli, a nogi kapłanów, niosących arkę właśnie nad brzegiem wody się zanurzyły - wzbierał zaś Jordan przez cały czas żniwa po wszystkie brzegi swoje -  "
Joshua 3:16,"Stanęły tedy przypływające z góry wody i uniosły się jakby jeden wał w znacznej odległości od Adamy, miasta położonego po stronie Cartanu; te też, które spływały ku morzu stepowemu, ku morzu solnemu, zanikły, rozdzieliły się; lud zaś przeprawił się w kierunku ku Jerycho. "
Joshua 3:17,"I tak stali kapłani, niosący arkę przymierza Wiekuistego, na suszy w łożysku Jordanu silnie, podczas gdy cały Israel przeciągał po suszy, aż wszystek lud ostatecznie przez Jordan się przeprawił. "
Joshua 4:1,"Gdy tedy wszystek lud ostatecznie przez Jordan się przeprawił, oświadczył Wiekuisty Jozuemu, i rzekł: "
Joshua 4:2,"Wybierzcie sobie z pośród ludu dwunastu mężów, po jednym mężu z każdego pokolenia. "
Joshua 4:3,"I rozkażcie im jak następuje: Zabierzcie sobie ztamtąd, z łożyska Jordanu, z miejsca, na którem nogi kapłanów silnie stanęły, dwanaście kamieni, a przeniósłszy je ze sobą, złóżcie je w miejscu nocnego postoju, na którem dzisiaj zanocujecie. "
Joshua 4:4,"Zawezwał tedy Jozue dwunastu mężów, których był ustanowił z pośród synów Israela, po jednym mężu z każdego pokolenia. "
Joshua 4:5,"I rzekł Jozue do nich: Przejdźcie przed arkę Wiekuistego, Boga waszego, do łożyska Jordanu, a zabierzcie każdy po kamieniu na ramieniu swojem, odpowiednio do liczby pokoleń synów Israela. "
Joshua 4:6,Aby było to znakiem wpośród was. A skoro się synowie wasi w przyszłości zapytają i powiedzą: Cóż znaczą kamienie te dla was? 
Joshua 4:7,"Powiecie im wtedy, że rozstąpiły się wody Jordanu przed arką przymierza Wiekuistego, gdy szła przez Jordan; rozstąpiły się wtedy wody Jordanu, a mają te kamienie być pamiątką dla synów Israela na wieki. "
Joshua 4:8,"I uczynili synowie Israela tak, jako rozkazał im Jozue, a zabrawszy dwanaście kamieni z łożyska Jordanu, jako rzekł był Wiekuisty do Jozuego, podług liczby pokoleń synów Israela, sprowadzili je ze sobą na miejsce nocnego postoju i pokładli je tam. "
Joshua 4:9,"Inne zaś dwanaście kamieni położył Jozue w łożysku Jordanu, na miejscu, na którem stały nogi kapłanów, niosących arkę przymierza. A zostały tam aż po dzień dzisiejszy. "
Joshua 4:10,"Kapłani zaś, niosący arkę, stali wpośród Jordanu póki nie było dokonanem wszystko co rozkazał Wiekuisty Jozuemu oświadczyć ludowi, stosownie do wszystkiego co poruczył był Mojżesz Jozuemu; poczem przeszedł lud pośpiesznie. "
Joshua 4:11,"Gdy tedy cały lud ostatecznie się przeprawił, przeszła i arka przymierza z kapłanami, i stanęła na czele ludu. "
Joshua 4:12,"Reubenidzi też i Gadydzi i połowa pokolenia Manaszy przeszli zbrojni przed obliczem synów Israela, jako był rozkazał im Mojżesz. "
Joshua 4:13,W sile około czterdziestu tysięcy zbrojnych wojowników pociągnęli przed obliczem Wiekuistego na wojnę ku równinom jerychońskim. 
Joshua 4:14,"Onego dnia wywyższył Wiekuisty Jozuego w oczach całego Israela i obawiali się go, jak się byli obawiali Mojżesza po wszystkie dni jego żywota. "
Joshua 4:15,I oświadczył Wiekuisty Jozuemu i rzekł: 
Joshua 4:16,"Rozkaż kapłanom, niosącym arkę świadectwa, aby wystąpili z Jordanu. "
Joshua 4:17,"I rozkazał Jozue kapłanom, i rzekł: wystąpcie z Jordanu! "
Joshua 4:18,"Ale zaledwie wyszli kapłani, niosący arkę przymierza Wiekuistego z łożyska Jordanu, a postawili kapłani stopy nóg swoich na suszę, wróciły wody Jordanu na miejsce swoje, występując jak przedtem wszędzie po wszystkie brzegi swoje. "
Joshua 4:19,"Lud zaś wyruszył z nad Jordanu dziesiątego dnia miesiąca pierwszego i rozłożył się obozem w Gilgal, na wschodnim krańcu dziedziny Jerycha. "
Joshua 4:20,"Owe zaś dwanaście kamieni, które zabrali byli z Jordanu postawił Jozue w Gilgal. "
Joshua 4:21,"I oświadczył synom Israela, i rzekł: Gdy synowie wasi, w przyszłości, ojców swych zapytają, mówiąc: Cóż znaczą te kamienie? "
Joshua 4:22,"Wtedy oznajmicie synom waszym, w tych słowach: po suszy przeszedł Israel przez Jordan ten, "
Joshua 4:23,"Gdyż osuszył Wiekuisty, Bóg wasz, wody Jordanu przed obliczem waszem, pókiście nie przeszli, jako uczynił był Wiekuisty, Bóg wasz, z morzem sitowem, które osuszył przed obliczem waszem, pókiśmy nie przeszli. "
Joshua 4:24,"Aby poznały wszystkie ludy ziemi moc Wiekuistego, że potężna jest, abyście się obawiali Wiekuistego, Boga waszego, po wszystkie dni. "
Joshua 5:1,"Gdy tedy usłyszeli wszyscy królowie emorejscy, osiadli po drugiej stronie Jordanu, ku zachodowi, i wszyscy królowie kanaanejscy, zamieszkali nad morzem, że osuszył Wiekuisty wody Jordanu przed synami Israela, póki się nie przeprawili, struchlało serce ich, i upadli zupełnie na duchu przed synami Israela. "
Joshua 5:2,"Onego czasu rzekł Wiekuisty do Jozuego: Przygotuj sobie noże krzemienne, a obrzeż synów Israela ponownie - po raz wtóry. "
Joshua 5:3,"I tak przygotował sobie Jozue noże krzemienne, i obrzezał synów Israela u wyżyny napletków. "
Joshua 5:4,"A oto przyczyna dla której Jozue obrzezanie podjął: Wszystek on lud, który był wyszedł z Egiptu, płci męzkiej, wszyscy mężowie wojenni, wymarli na pustyni, w drodze po wyjściu ich z Egiptu. "
Joshua 5:5,"Bo obrzezani byli z ludu ci wszyscy, którzy sami wyszli; gdy ci z ludu, którzy urodzili się na pustyni, w drodze po wyjściu ich z Egiptu, obrzezani nie byli. "
Joshua 5:6,"Czterdzieści lat bowiem pielgrzymowali synowie Israela po pustyni, póki nie wymarł wszystek on naród mężów wojennych, którzy byli wyszli z Egiptu, ponieważ nie słuchali głosu Wiekuistego. Albowiem zaprzysiągł im Wiekuisty, że nie ukaże im ziemi, którą zaprzysiągł ojcom ich, że ją odda nam - ziemię płynącą mlekiem i miodem. "
Joshua 5:7,"Synów tedy ich, których wystawił na ich miejsce, tych obrzezał Jozue, ponieważ nieobrzezani byli, albowiem nie obrzezano ich w drodze. "
Joshua 5:8,"Gdy tedy wszystek lud do ostatniego obrzezany został, pozostali na miejscu swem w obozie, póki nie wyzdrowieli. "
Joshua 5:9,Wiekuisty zaś rzekł do Jozuego: Dzisiaj zrzuciłem z was sromotę Egipcjan! Przeto nazwano imię miejsca tego Gilgal aż po dzień dzisiejszy. 
Joshua 5:10,"Gdy tedy obozowali synowie Israela w Gilgat, złożyli ofiarę paschalną czternastego dnia miesiąca, wieczorem, na równinach jerychońskich, "
Joshua 5:11,"I pożywali z plonu onej ziemi, począwszy od dnia następującego po paschie, chleby przaśne i kłosy prażone onegoż dnia. "
Joshua 5:12,"Od następnego dnia zaś zaprzestała manna, gdy poczęli jeść z plonu onej ziemi, tak, że nie mieli już synowie Israela manny. I jadali z plonów ziemi Kanaan onegoż roku. "
Joshua 5:13,"Gdy tedy bawił Jozue w Jerycho, podniósł oczy swoje i spojrzał, a oto stał mąż przed nim, dzierżący miecz swój dobyty w ręce swej. I przystąpił doń Jozue, i rzekł: Czyżeś z naszych, czy też z wrogów naszych? "
Joshua 5:14,"I rzekł: Nie; alem ja wódz zastępów Wiekuistego. Właśnie przybyłem. Tedy padł Jozue obliczem swem na ziemię i pokłonił się, i rzekł do niego: Cóż ma pan mój powiedzieć słudze swojemu? "
Joshua 5:15,"I rzekł wódz zastępów Wiekuistego do Jozuego: Zzuj sandały twe z nogi twojej, albowiem miejsce, na którem stoisz, święte jest! I uczynił tak Jozue. "
Joshua 6:1,Jerycho zaś zamknęło się i było zamknięte przed synami Israela. Nikt nie wychodził ani wchodził. 
Joshua 6:2,I rzekł Wiekuisty do Jozuego: Oto podam w rękę twą Jerycho wraz z jego królem i rycerzami dzielnymi. 
Joshua 6:3,A tak będziecie okrążali miasto - wszyscy mężowie wojenni - obchodząc wokoło miasta raz jeden; tak uczynisz przez sześć dni. 
Joshua 6:4,"Siedmiu zaś kapłanów poniesie siedm trąb z rogów baranich przed arką; dnia siódmego zaś okrążycie miasto siedmiokrotnie, podczas gdy kapłani uderzą w trąby. "
Joshua 6:5,"Gdy tedy róg barani przeciągle uderzy, skoro usłyszycie głos trąby, zagrzmi cały lud gromkim okrzykiem wojennym; a wtedy runie mur miasta na miejscu swojem, a lud wkroczy, każdy wprost przed siebie. "
Joshua 6:6,"I tak wezwał Jozue, syn Nuna, kapłanów, i rzekł do nich: Zabierzcie arkę przymierza, siedmiu zaś kapłanów niechaj poniesie siedm trąb z rogów baranich przed arką Wiekuistego. "
Joshua 6:7,"Poczem rozkazał ludowi: Wyruszcie a okrążcie miasto, straż przednia zaś niechaj pociągnie przed arką Wiekuistego! "
Joshua 6:8,"Gdy tedy rozkazał tak Jozue ludowi, wyruszyło siedmiu kapłanów, niosących siedm trąb z rogów baranich przed Wiekuistym, uderzając w trąby, arka zaś przymierza Wiekuistego szła za nimi. "
Joshua 6:9,"A Straż przednia postępowała przed kapłanami uderzającymi w trąby, gdy odwód postępował za arką, idąc i uderzając wciąż w trąby. "
Joshua 6:10,"I nakazał Jozue ludowi, i rzekł: Nie podnoście okrzyku wojennego, a nie czyńcie wrzawy, a niechaj nie wyjdzie żadne słowo z ust waszych, aż do czasu gdy wam powiem, abyście podnieśli okrzyk wojenny; a wtedy możecie okrzyki wydawać. "
Joshua 6:11,"I tak dał obejść arce Wiekuistego miasto, okrążając je wokoło raz jeden; poczem wrócili do obozu i zanocowali w obozie. "
Joshua 6:12,Jozue zaś wstał wczesnym rankiem; a wtedy zabrali kapłani arkę Wiekuistego. 
Joshua 6:13,"Siedmiu zaś kapłanów, niosących siedm trąb z rogów baranich przed arką Wiekuistego, szło, idąc i uderzając wciąż w trąby, gdy straż przednia postępowała na czele ich; odwód zaś postępował za arką Wiekuistego, idąc i uderzając wciąż w trąby. "
Joshua 6:14,I tak okrążyli miasto i dnia wtórego raz jeden; poczem wrócili do obozu. Tak czynili przez sześć dni. 
Joshua 6:15,Ale dnia siódmego wyruszyli rano z wzejściem zorzy porannej i okrążyli miasto zwykłym porządkiem siedmiokrotnie; tylko dnia tego okrążyli miasto siedmiokrotnie. 
Joshua 6:16,"Za siódmym tedy razem, gdy uderzyli kapłani w trąby, rzekł Jozue do ludu: podnieście okrzyk wojenny, albowiem podał wam Wiekuisty miasto! "
Joshua 6:17,"Miasto zaś wraz z wszystkiem co w niem jest będzie zaklęte Wiekuistemu; tylko Rachab, nierządnica, przy życiu zostanie, ona wraz z wszystkimi, którzy przy niej w domu, ponieważ ukryła wysłańców, którychśmy wysłali. "
Joshua 6:18,"Wy wszakże wystrzegajcie się dobra zaklętego, abyście nie zaklęli, a jednak brali z dobra zaklętego, a tak podali sam obóz israelski pod zaklęcie, wtrącając go w biedę. "
Joshua 6:19,Musi raczej wszystko srebro i złoto i sprzęty miedziane i żelazne poświęcone być Wiekuistemu i do skarbca Wiekuistego pójść. 
Joshua 6:20,"I tak podniósł lud okrzyk wojenny gdy uderzono w trąby. Skoro bowiem usłyszał lud odgłos trąb, podniósł lud gromki okrzyk wojenny. A wtedy runął mur na miejscu swojem, lud zaś wkroczył do miasta, każdy wprost przed siebie; i tak zdobyli miasto. "
Joshua 6:21,"I spełnili zaklęcie na wszystkiem co w mieście, na mężczyznach i niewiastach, na młodzieńcach i starcach jak i na wołach, owcach i osłach, ostrzem miecza. "
Joshua 6:22,"Dwóm zaś mężom, którzy wypatrzyli byli ziemię, rozkazał Jozue: Wnijdźcie do domu onej kobiety, nierządnicy, a wywiedźcie ztamtąd tę kobietę wraz z wszystkimi, którzy do niej należą, tak jakoście jej zaprzysięgli. "
Joshua 6:23,"Weszli tedy owi młodzi mężowie, którzy wywiadowcami byli i wywiedli Rachabę i ojca i matkę i braci jej wraz z wszystkimi innymi, którzy do niej należeli, również i wszystkich powinowatych jej wywiedli i umieścili ich poza obozem israelskim. "
Joshua 6:24,Miasto zaś wraz z wszystkiem co w niem było spalili ogniem; tylko srebro i złoto jak i sprzęty miedziane i żelazne złożyli do skarbca domu Wiekuistego. 
Joshua 6:25,"Rachabę nierządnicę zaś i rodzeństwo ojca jej i wszystkich, którzy do niej należeli, zachował Jozue przy życiu i tak osiadła w pośród Israela aż po dzień dzisiejszy, ponieważ ukryła wysłańców, których wysłał był Jozue, by wypatrzyli Jerycho. "
Joshua 6:26,"Onego czasu wypowiedział Jozue klątwę, i rzekł: Przeklęty przed obliczem Wiekuistego każdy, któryby powstał i odbudował miasto to, Jerycho. Pierworodnym swoim niechaj je założy, a najmłodszym swym niechaj postawi bramy jego! "
Joshua 6:27,"Wiekuisty zaś był z Jozuą, i rozeszła się sława jego po całym kraju. "
Joshua 7:1,"Synowie Israela jednak dopuścili się przeniewierstwa na zaklętem dobru; albowiem przywłaszczył sobie Achan, syn Karmiego, syna Zabdiego, syna Zeracha z pokolenia Judy coś z zaklętego dobra. Wspłonął wtedy gniew Wiekuistego przeciw synom Israela. "
Joshua 7:2,"Poczem wysłał Jozue ludzi z Jerycha do Aj, która obok Beth-Awen po wschodniej stronie Betela, i rzekł do nich, mówiąc: Wnijdźcie a wypatrzcie tę okolicę! I tak poszli oni mężowie i wypatrzyli Aj. "
Joshua 7:3,"A wróciwszy do Jozuego donieśli mu: Nie potrzeba, aby tam wszystek lud wyruszył; około dwóch tysięcy, albo około trzech tysięcy ludzi niechaj wyruszy, a porażą Aj; nie trudź tam wszystkiego ludu, bo ich tam mała liczba! "
Joshua 7:4,"I tak wyruszyło tam około trzech tysięcy mężów z ludu, wszakże pierzchnęli przed mężami z Aj. "
Joshua 7:5,"A porazili z nich mężowie z Aj około trzydziestu sześciu ludzi, ścigając ich od bramy aż do Szebarim, i porazili ich u stoku góry; struchlało wtedy serce ludu i zamieniło się jakoby w wodę. "
Joshua 7:6,"Jozue zaś rozdarł szaty swoje i padł obliczem swem na ziemię przed arką Wiekuistego, leżąc aż do wieczora, on i starsi Israela, i miotali proch na głowę swą. "
Joshua 7:7,"I rzekł Jozue: O, Panie, Wiekuisty! Czyżbyś przeprowadził lud ten przez Jordan, żeby wydać nas w moc Emorejczyków, aby nas wytępili? O gdybyśmy też postanowili raczej pozostać za Jordanem! "
Joshua 7:8,"Ale błagam Panie! cóż mi powiedzieć, gdy podał Israel grzbiet wrogom swoim? "
Joshua 7:9,"Gdy usłyszą o tem Kanaanejczycy i wszyscy mieszkańcy tej ziemi, opadną nas zewsząd i zgładzą imię nasze z ziemi. A cóż tedy uczynisz dla imienia Twego wielkiego? "
Joshua 7:10,I rzekł Wiekuisty do Jozuego: wstań! czemuż to leżysz na obliczu swojem? 
Joshua 7:11,"Zgrzeszyli Israelici; przekroczyli wszak przymierze Moje, które poruczyłem im, a przywłaszczyli sobie coś z zaklętego dobra. Nietylko kradli ale i utaili i schowali to między sprzęty swoje! "
Joshua 7:12,"A przeto nie mogą synowie Israela się ostać przed obliczem wrogów swoich, a muszą grzbiet podać wrogom swoim, bo sami zaklęciu popadli; przeto nie będę nadal z wami, póki nie wyplenicie zaklętego dobra z pośród was. "
Joshua 7:13,"Zabierz się, poświęć lud, i oświadcz: poświęćcie się na jutro; gdyż tak rzecze Wiekuisty, Bóg Israela: zaklęte dobro w pośród ciebie Israelu! przeto nie możesz się ostać przed obliczem wrogów twoich, póki nie usuniecie zaklętego dobra z pośród was. "
Joshua 7:14,"Wystąpcie tedy jutro zrana podług pokoleń waszych, i będzie, że to pokolenie, które wyśledzi Wiekuisty, wystąpi wedle rodów, ród zaś, który wyśledzi Wiekuisty, wystąpi wedle domów, dom zaś, które wyśledzi Wiekuisty, wystąpi wedle pojedyńczych mężów. "
Joshua 7:15,"Ten zaś, który przy zaklętem dobru wyśledzony zostanie będzie spalony ogniem, on i wszystko co doń należy; albowiem przekroczył przymierze Wiekuistego a spełnił haniebny czyn w Israelu! "
Joshua 7:16,Wstał tedy Jozue wczesnym rankiem i kazał wystąpić Israelitom wedle pokoleń ich; i wyśledzone zostało pokolenie Judy. 
Joshua 7:17,I kazał wystąpić rodom Judy i wyśledził ród Zerachidów. Poczem kazał wystąpić rodowi Zerachidów wedle domów i wyśledzony został dom Zabdiego. 
Joshua 7:18,"Poczem kazał wystąpić domowi tegoż wedle pojedyńczych mężów, a wtedy wyśledzony został Achan, syn Karmiego, syn Zabdiego, syna Zeracha z pokolenia Judy. "
Joshua 7:19,"I rzekł Jozue do Achana: Synu mój! złóżże cześć Wiekuistemu Bogu Israela, i uczyń przed Nim wyznanie. Powiedzże mi coś uczynił; nie ukrywaj przedemną! "
Joshua 7:20,"Odpowiedział tedy Achan Jozuemu, i rzekł: Rzeczywiście, zgrzeszyłem ja Wiekuistemu, Bogu Izraela: tak a tak uczyniłem. "
Joshua 7:21,"Spostrzegłem między łupem płaszcz piękny z Szynearu, dwieście szekli srebra, i język złoty pięćdziesięciu szekli wagi. I zapragnąłem tych rzeczy, i zabrałem je; leżą oto zakopane w ziemi, w namiocie moim, a pieniądze pod tem. "
Joshua 7:22,"Wyprawił tedy Jozue posłańców, którzy pobiegli do namiotu a oto zakopane były rzeczy w namiocie jego, a pieniądze pod niemi. "
Joshua 7:23,"Zabrawszy je zatem z namiotu, przynieśli je do Jozuego i do wszystkich synów Israela i złożyli je przed Wiekuistym. "
