Mishnah Location	Last Used Talmud Location	Mishnah Text
Berakhot 4:5	Berakhot 28b:15	הָיָה רוֹכֵב עַל הַחֲמוֹר, יֵרֵד. וְאִם אֵינוֹ יָכוֹל לֵירֵד, יַחֲזִיר אֶת פָּנָיו, וְאִם אֵינוֹ יָכוֹל לְהַחֲזִיר אֶת פָּנָיו, יְכַוֵּן אֶת לִבּוֹ כְּנֶגֶד בֵּית קֹדֶשׁ הַקָּדָשִׁים:  
Berakhot 4:6	Berakhot 28b:15	הָיָה יוֹשֵׁב בִּסְפִינָה אוֹ בְקָרוֹן אוֹ בְאַסְדָּה, יְכַוֵּן אֶת לִבּוֹ כְּנֶגֶד בֵּית קֹדֶש הַקָּדָשִׁים:  
Berakhot 5:3	Berakhot 34a:2	הָאוֹמֵר עַל קַן צִפּוֹר יַגִּיעוּ רַחֲמֶיךָ, וְעַל טוֹב יִזָּכֵר שְׁמֶךָ, מוֹדִים מוֹדִים, מְשַׁתְּקִין אוֹתוֹ. הָעוֹבֵר לִפְנֵי הַתֵּיבָה וְטָעָה, יַעֲבֹר אַחֵר תַּחְתָּיו, וְלֹא יְהֵא סָרְבָן בְּאוֹתָהּ שָׁעָה. מִנַּיִן הוּא מַתְחִיל, מִתְּחִלַּת הַבְּרָכָה שֶׁטָּעָה בָהּ: 

Berakhot 6:1	Berakhot 35a:1	כֵּיצַד מְבָרְכִין עַל הַפֵּרוֹת. עַל פֵּרוֹת הָאִילָן אוֹמֵר, בּוֹרֵא פְּרִי הָעֵץ, חוּץ מִן הַיַּיִן, שֶׁעַל הַיַּיִן אוֹמֵר בּוֹרֵא פְּרִי הַגָּפֶן. וְעַל פֵּרוֹת הָאָרֶץ אוֹמֵר בּוֹרֵא פְּרִי הָאֲדָמָה, חוּץ מִן הַפַּת, שֶׁעַל הַפַּת הוּא אוֹמֵר הַמּוֹצִיא לֶחֶם מִן הָאָרֶץ. וְעַל הַיְרָקוֹת אוֹמֵר בּוֹרֵא פְּרִי הָאֲדָמָה. רַבִּי יְהוּדָה אוֹמֵר, בּוֹרֵא מִינֵי דְשָׁאִים: 

Berakhot 7:1	Berakhot 45a:5	שְׁלשָׁה שֶׁאָכְלוּ כְאֶחָד, חַיָּבִין לְזַמֵּן. אָכַל דְּמַאי, וּמַעֲשֵׂר רִאשׁוֹן שֶׁנִּטְּלָה תְרוּמָתוֹ, וּמַעֲשֵׂר שֵׁנִי וְהֶקְדֵּשׁ שֶׁנִּפְדּוּ, וְהַשַּׁמָּשׁ שֶׁאָכַל כַּזַּיִת, וְהַכּוּתִי, מְזַמְּנִין עֲלֵיהֶם. אֲבָל אָכַל טֶבֶל, וּמַעֲשֵׂר רִאשׁוֹן שֶׁלֹּא נִטְּלָה תְרוּמָתוֹ, וּמַעֲשֵׂר שֵׁנִי וְהֶקְדֵּשׁ שֶׁלֹּא נִפְדּוּ, וְהַשַּׁמָּשׁ שֶׁאָכַל פָּחוֹת מִכַּזַּיִת, וְהַנָּכְרִי, אֵין מְזַמְּנִין עֲלֵיהֶם: 

Berakhot 7:2	Berakhot 49b:12	נָשִׁים וַעֲבָדִים וּקְטַנִּים, אֵין מְזַמְּנִין עֲלֵיהֶם. עַד כַּמָּה מְזַמְּנִין, עַד כַּזָּיִת. רַבִּי יְהוּדָה אוֹמֵר, עַד כַּבֵּיצָה: 

Berakhot 9:2	Berakhot 54a:2	עַל הַזִּיקִין, וְעַל הַזְּוָעוֹת, וְעַל הַבְּרָקִים, וְעַל הָרְעָמִים, וְעַל הָרוּחוֹת, אוֹמֵר בָּרוּךְ שֶׁכֹּחוֹ וּגְבוּרָתוֹ מָלֵא עוֹלָם. עַל הֶהָרִים, וְעַל הַגְּבָעוֹת, וְעַל הַיַּמִּים, וְעַל הַנְּהָרוֹת, וְעַל הַמִּדְבָּרוֹת, אוֹמֵר בָּרוּךְ עוֹשֵׂה מַעֲשֵׂה בְרֵאשִׁית. רַבִּי יְהוּדָה אוֹמֵר, הָרוֹאֶה אֶת הַיָּם הַגָּדוֹל אוֹמֵר בָּרוּךְ שֶׁעָשָׂה אֶת הַיָּם הַגָּדוֹל, בִּזְמַן שֶׁרוֹאֶה אוֹתוֹ לִפְרָקִים. עַל הַגְּשָׁמִים וְעַל הַבְּשׂוֹרוֹת הַטּוֹבוֹת אוֹמֵר בָּרוּךְ הַטּוֹב וְהַמֵּטִיב, וְעַל שְׁמוּעוֹת רָעוֹת אוֹמֵר בָּרוּךְ דַּיַּן הָאֱמֶת: 

Berakhot 9:3	Berakhot 54a:3	בָּנָה בַיִת חָדָשׁ, וְקָנָה כֵלִים חֲדָשִׁים, אוֹמֵר בָּרוּךְ שֶׁהֶחֱיָנוּ. מְבָרֵךְ עַל הָרָעָה מֵעֵין הַטּוֹבָה, וְעַל הַטּוֹבָה מֵעֵין הָרָעָה. הַצּוֹעֵק לְשֶׁעָבַר, הֲרֵי זוֹ תְּפִלַּת שָׁוְא. כֵּיצַד. הָיְתָה אִשְׁתּוֹ מְעֻבֶּרֶת, וְאָמַר, יְהִי רָצוֹן שֶׁתֵּלֵד אִשְׁתִּי זָכָר, הֲרֵי זוֹ תְּפִלַּת שָׁוְא. הָיָה בָא בַדֶּרֶךְ וְשָׁמַע קוֹל צְוָחָה בָּעִיר, וְאָמַר יְהִי רָצוֹן שֶׁלֹּא יִהְיוּ אֵלּוּ בְּנֵי בֵיתִי, הֲרֵי זוֹ תְּפִלַּת שָׁוְא: 

Berakhot 9:4	Berakhot 54a:4	הַנִּכְנָס לִכְרַךְ מִתְפַּלֵּל שְׁתַּיִם, אַחַת בִּכְנִיסָתוֹ וְאַחַת בִּיצִיאָתוֹ. בֶּן עַזַּאי אוֹמֵר, אַרְבַּע, שְׁתַּיִם בִּכְנִיסָתוֹ וּשְׁתַּיִם בִּיצִיאָתוֹ, וְנוֹתֵן הוֹדָאָה לְשֶׁעָבַר, וְצוֹעֵק לֶעָתִיד לָבֹא: 

Shabbat 1:5	Shabbat 13b:2	בֵּית שַׁמַּאי אוֹמְרִים, אֵין שׁוֹרִין דְּיוֹ וְסַמְמָנִים וְכַרְשִׁינִים, אֶלָּא כְּדֵי שֶׁיִּשּׁוֹרוּ מִבְּעוֹד יוֹם. וּבֵית הִלֵּל מַתִּירִין: 

Shabbat 1:7	Shabbat 17b:6	בֵּית שַׁמַּאי אוֹמְרִים, אֵין מוֹכְרִין לַנָּכְרִי וְאֵין טוֹעֲנִין עִמּוֹ וְאֵין מַגְבִּיהִין עָלָיו, אֶלָּא כְּדֵי שֶׁיַּגִּיעַ לְמָקוֹם קָרוֹב. וּבֵית הִלֵּל מַתִּירִין: 

Shabbat 1:8	Shabbat 17b:6	בֵּית שַׁמַּאי אוֹמְרִים, אֵין נוֹתְנִין עוֹרוֹת לְעַבְּדָן וְלֹא כֵלִים לְכוֹבֵס נָכְרִי, אֶלָּא כְּדֵי שֶׁיֵּעָשׂוּ מִבְּעוֹד יוֹם. וּבְכֻלָּן בֵּית הִלֵּל מַתִּירִין עִם הַשָּׁמֶשׁ: 

Shabbat 1:9	Shabbat 17b:6	אָמַר רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל, נוֹהֲגִין הָיוּ בֵּית אַבָּא שֶׁהָיוּ נוֹתְנִין כְּלֵי לָבָן לְכוֹבֵס נָכְרִי שְׁלשָׁה יָמִים קֹדֶם לַשַּׁבָּת. וְשָׁוִין אֵלּוּ וָאֵלּוּ, שֶׁטּוֹעֲנִין קוֹרוֹת בֵּית הַבַּד וְעִגּוּלֵי הַגָּת: 

Shabbat 1:10	Shabbat 17b:7	אֵין צוֹלִין בָּשָׂר, בָּצָל, וּבֵיצָה, אֶלָּא כְּדֵי שֶׁיִּצּוֹלוּ מִבְּעוֹד יוֹם. אֵין נוֹתְנִין פַּת לַתַּנּוּר עִם חֲשֵׁכָה, וְלֹא חֲרָרָה עַל גַּבֵּי גֶחָלִים, אֶלָּא כְּדֵי שֶׁיִּקְרְמוּ פָנֶיהָ מִבְּעוֹד יוֹם. רַבִּי אֱלִיעֶזֶר אוֹמֵר, כְּדֵי שֶׁיִּקְרֹם הַתַּחְתּוֹן שֶׁלָּהּ: 

Shabbat 6:6	Shabbat 65a:12	יוֹצְאָה בְסֶלַע שֶׁעַל הַצִּינִית. הַבָּנוֹת קְטַנּוֹת יוֹצְאוֹת בְּחוּטִין וַאֲפִלּוּ בְקִסְמִין שֶׁבְּאָזְנֵיהֶם. עַרְבִיּוֹת יוֹצְאוֹת רְעוּלוֹת, וּמָדִיּוֹת פְּרוּפוֹת, וְכָל אָדָם, אֶלָּא שֶׁדִּבְּרוּ חֲכָמִים בַּהֹוֶה: 

Shabbat 8:2	Shabbat 78a:9	הַמּוֹצִיא חֶבֶל, כְּדֵי לַעֲשׂוֹת אֹזֶן לְקֻפָּה. גֶּמִי, כְּדֵי לַעֲשׂוֹת תְּלַאי לְנָפָה וְלִכְבָרָה. רַבִּי יְהוּדָה אוֹמֵר, כְּדֵי לִטֹּל מִמֶּנּוּ מִדַּת מִנְעָל לְקָטָן. נְיָר, כְּדֵי לִכְתֹּב עָלָיו קֶשֶׁר מוֹכְסִין. וְהַמּוֹצִיא קֶשֶׁר מוֹכְסִין, חַיָּב. נְיָר מָחוּק, כְּדֵי לִכְרֹךְ עַל פִּי צְלוֹחִית קְטַנָּה שֶׁל פַּלְיָטוֹן: 

Shabbat 8:3	Shabbat 78b:1	עוֹר, כְּדֵי לַעֲשׂוֹת קָמֵעַ. קְלָף, כְּדֵי לִכְתֹּב עָלָיו פָּרָשָׁה קְטַנָּה שֶׁבַּתְּפִלִּין, שֶׁהִיא שְׁמַע יִשְׂרָאֵל. דְּיוֹ, כְּדֵי לִכְתֹּב שְׁתֵּי אוֹתִיּוֹת. כְּחֹל, כְּדֵי לִכְחֹל עַיִן אֶחָת: 

Shabbat 8:4	Shabbat 78b:2	דֶּבֶק, כְּדֵי לִתֵּן בְּרֹאשׁ הַשַּׁבְשֶׁבֶת. זֶפֶת וְגָפְרִית, כְּדֵי לַעֲשׂוֹת נֶקֶב. שַׁעֲוָה, כְּדֵי לִתֵּן עַל פִּי נֶקֶב קָטָן. חַרְסִית, כְּדֵי לַעֲשׂוֹת פִּי כוּר שֶׁל צוֹרְפֵי זָהָב. רַבִּי יְהוּדָה אוֹמֵר, כְּדֵי לַעֲשׂוֹת פִּטְפּוּט. סֻבִּין, כְּדֵי לִתֵּן עַל פִּי כוּר שֶׁל צוֹרְפֵי זָהָב. סִיד, כְּדֵי לָסוּד קְטַנָּה שֶׁבַּבָּנוֹת. רַבִּי יְהוּדָה אוֹמֵר, כְּדֵי לַעֲשׂוֹת כִּלְכּוּל. רַבִּי נְחֶמְיָה אוֹמֵר, כְּדֵי לַעֲשׂוֹת אַנְדִּיפֵי: 

Shabbat 9:2	Shabbat 84b:4	מִנַּיִן לִסְפִינָה שֶׁהִיא טְהוֹרָה, שֶׁנֶּאֱמַר (משלי ל) דֶּרֶךְ אֳנִיָּה בְלֶב יָם. מִנַּיִן לַעֲרוּגָה שֶׁהִיא שִׁשָּׁה עַל שִׁשָּׁה טְפָחִים שֶׁזּוֹרְעִין בְּתוֹכָהּ חֲמִשָּׁה זֵרְעוֹנִין, אַרְבָּעָה בְאַרְבַּע רוּחוֹת הָעֲרוּגָה וְאֶחָד בָּאֶמְצַע, שֶׁנֶּאֱמַר (ישעיה סא) כִּי כָאָרֶץ תּוֹצִיא צִמְחָהּ וּכְגַנָּה זֵרוּעֶיהָ תַצְמִיחַ, זַרְעָהּ לֹא נֶאֱמַר, אֶלָּא זֵרוּעֶיהָ: 

Shabbat 9:3	Shabbat 86a:2	מִנַּיִן לְפוֹלֶטֶת שִׁכְבַת זֶרַע בַּיּוֹם הַשְּׁלִישִׁי שֶׁהִיא טְמֵאָה, שֶׁנֶּאֱמַר (שמות יט) הֱיוּ נְכוֹנִים לִשְׁלשֶׁת יָמִים. מִנַּיִן שֶׁמַּרְחִיצִין אֶת הַמִּילָה בַיּוֹם הַשְּׁלִישִׁי שֶׁחָל לִהְיוֹת בְּשַׁבָּת, שֶׁנֶּאֱמַר (בראשית לד) וַיְהִי בַיּוֹם הַשְּׁלִישִׁי בִּהְיוֹתָם כֹּאֲבִים. מִנַּיִן שֶׁקּוֹשְׁרִין לָשׁוֹן שֶׁל זְהוֹרִית בְּרֹאשׁ שָׂעִיר הַמִּשְׁתַּלֵּחַ, שֶׁנֶּאֱמַר (ישעיה א) אִם יִהְיוּ חֲטָאֵיכֶם כַּשָּׁנִים כַּשֶּׁלֶג יַלְבִּינוּ: 

Shabbat 9:4	Shabbat 86a:2	מִנַּיִן לְסִיכָה שֶׁהִיא כַשְּׁתִיָּה בְיוֹם הַכִּפּוּרִים, אַף עַל פִּי שֶׁאֵין רְאָיָה לַדָּבָר, זֵכֶר לַדָּבָר, שֶׁנֶּאֱמַר (תהלים קט) וַתָּבֹא כַמַּיִם בְּקִרְבּוֹ וְכַשֶּׁמֶן בְּעַצְמוֹתָיו: 

Shabbat 13:1	Shabbat 105a:9	רַבִּי אֱלִיעֶזֶר אוֹמֵר, הָאוֹרֵג שְׁלשָׁה חוּטִין בַּתְּחִלָּה וְאַחַת עַל הָאָרִיג, חַיָּב. וַחֲכָמִים אוֹמְרִים, בֵּין בַּתְּחִלָּה בֵּין בַּסּוֹף, שִׁעוּרוֹ שְׁנֵי חוּטִין: 

Shabbat 13:2	Shabbat 105b:2	הָעוֹשֶׂה שְׁנֵי בָתֵּי נִירִין בַּנִּירִין, בַּקֵּרוֹס, בַּנָּפָה, בַּכְּבָרָה וּבַסַּל, חַיָּב. וְהַתּוֹפֵר שְׁתֵּי תְפִירוֹת, וְהַקּוֹרֵעַ עַל מְנָת לִתְפֹּר שְׁתֵּי תְפִירוֹת: 

Shabbat 13:4	Shabbat 106b:1	שִׁעוּר הַמְלַבֵּן וְהַמְנַפֵּץ וְהַצּוֹבֵעַ וְהַטּוֹוֶה, כִּמְלֹא רֹחַב הַסִּיט כָּפוּל. וְהָאוֹרֵג שְׁנֵי חוּטִין, שִׁעוּרוֹ כִּמְלֹא הַסִּיט: 

Shabbat 13:5	Shabbat 106b:10	רַבִּי יְהוּדָה אוֹמֵר, הַצָּד צִפּוֹר לַמִּגְדָּל וּצְבִי לַבַּיִת, חַיָּב. וַחֲכָמִים אוֹמְרִים, צִפּוֹר לַמִּגְדָּל, וּצְבִי לַבַּיִת וְלֶחָצֵר וְלַבֵּיבָרִין. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר, לֹא כָל הַבֵּיבָרִין שָׁוִין. זֶה הַכְּלָל, מְחֻסַּר צִידָה, פָּטוּר, וְשֶׁאֵינוֹ מְחֻסַּר צִידָה, חַיָּב: 

Shabbat 13:6	Shabbat 106b:10	צְבִי שֶׁנִּכְנַס לַבַּיִת וְנָעַל אֶחָד בְּפָנָיו, חַיָּב. נָעֲלוּ שְׁנַיִם, פְּטוּרִין. לֹא יָכֹל אֶחָד לִנְעֹל וְנָעֲלוּ שְׁנַיִם, חַיָּבִין. וְרַבִּי שִׁמְעוֹן פּוֹטֵר: 

Shabbat 16:3	Shabbat 120a:2	מַצִּילִין סַל מָלֵא כִכָּרוֹת, וְאַף עַל פִּי שֶׁיֶּשׁ בּוֹ מֵאָה סְעֻדּוֹת, וְעִגּוּל שֶׁל דְּבֵלָה, וְחָבִית שֶׁל יַיִן. וְאוֹמֵר לַאֲחֵרִים, בֹּאוּ וְהַצִּילוּ לָכֶם. וְאִם הָיוּ פִקְחִין, עוֹשִׂין עִמּוֹ חֶשְׁבּוֹן אַחַר הַשַּׁבָּת. לְהֵיכָן מַצִּילִין אוֹתָן, לְחָצֵר הַמְעֹרֶבֶת. בֶּן בְּתֵירָא אוֹמֵר, אַף לְשֶׁאֵינָהּ מְעֹרָבֶת: 

Shabbat 16:4	Shabbat 120a:3	וּלְשָׁם מוֹצִיא כָל כְּלֵי תַשְׁמִישׁוֹ, וְלוֹבֵשׁ כָּל מַה שֶּׁיָּכוֹל לִלְבּשׁ, וְעוֹטֵף כָּל מַה שֶּׁיָּכוֹל לַעֲטֹף. רַבִּי יוֹסֵי אוֹמֵר, שְׁמֹנָה עָשָׂר כֵּלִים. וְחוֹזֵר וְלוֹבֵשׁ וּמוֹצִיא, וְאוֹמֵר לַאֲחֵרִים, בֹּאוּ וְהַצִּילוּ עִמִּי: 

Eruvin 1:4	Eruvin 13b:16	רְחָבָה, כְּדֵי לְקַבֵּל אָרִיחַ, וּבְרִיאָה, כְּדֵי לְקַבֵּל אָרִיחַ. רַבִּי יְהוּדָה אוֹמֵר, רְחָבָה אַף עַל פִּי שֶׁאֵין בְּרִיאָה: 

Eruvin 1:7	Eruvin 15b:10	בַּכֹּל עוֹשִׂין לְחָיַיִן, אֲפִלּוּ בְדָבָר שֶׁיֶּשׁ בּוֹ רוּחַ חַיִּים. וְרַבִּי יוֹסֵי אוֹסֵר. וּמְטַמֵּא מִשּׁוּם גּוֹלֵל, וְרַבִּי מֵאִיר מְטַהֵר. וְכוֹתְבִין עָלָיו גִּטֵּי נָשִׁים, וְרַבִּי יוֹסֵי הַגְּלִילִי פוֹסֵל: 

Eruvin 1:9	Eruvin 16b:11	מַקִּיפִין שְׁלֹשָׁה חֲבָלִים, זֶה לְמַעְלָה מִזֶּה וְזֶה לְמַעְלָה מִזֶּה, וּבִלְבַד שֶׁלֹּא יְהֵא בֵּין חֶבֶל לַחֲבֵרוֹ שְׁלֹשָׁה טְפָחִים. שִׁעוּר חֲבָלִים וְעָבְיָן, יָתֵר עַל טֶפַח, כְּדֵי שֶׁיְּהֵא הַכֹּל עֲשָׂרָה טְפָחִים: 

Eruvin 2:2	Eruvin 18a:1	מֻתָּר לְהַקְרִיב לַבְּאֵר, וּבִלְבַד שֶׁתְּהֵא פָרָה רֹאשָׁהּ וְרֻבָּהּ בִּפְנִים וְשׁוֹתָה. מֻתָּר לְהַרְחִיק כָּל שֶׁהוּא, וּבִלְבַד שֶׁיַּרְבֶּה בְּפַסִּין: 

Eruvin 2:3	Eruvin 18a:2	רַבִּי יְהוּדָה אוֹמֵר, עַד בֵּית סָאתָיִם. אָמְרוּ לוֹ, לֹא אָמְרוּ בֵית סָאתַיִם אֶלָּא לְגִנָּה וּלְקַרְפֵּף, אֲבָל אִם הָיָה דִּיר אוֹ סַחַר, אוֹ מֻקְצֶה אוֹ חָצֵר, אֲפִלּוּ בֵית חֲמֵשֶׁת כּוֹרִין, אֲפִלּוּ בֵית עֲשָׂרָה כּוֹרִין, מֻתָּר. וּמֻתָּר לְהַרְחִיק כָּל שֶׁהוּא, וּבִלְבַד שֶׁיַּרְבֶּה בְּפַסִּין: 

Eruvin 5:8	Eruvin 61a:20	אַנְשֵׁי עִיר גְּדוֹלָה מְהַלְּכִין אֶת כָּל עִיר קְטַנָּה, וְאֵין אַנְשֵׁי עִיר קְטַנָּה מְהַלְּכִין אֶת כָּל עִיר גְּדוֹלָה. כֵּיצַד. מִי שֶׁהָיָה בְעִיר גְּדוֹלָה וְנָתַן אֶת עֵרוּבוֹ בְעִיר קְטַנָּה, בְּעִיר קְטַנָּה וְנָתַן אֶת עֵרוּבוֹ בְעִיר גְּדוֹלָה, מְהַלֵּךְ אֶת כֻּלָּהּ וְחוּצָה לָהּ אַלְפַּיִם אַמָּה. וְרַבִּי עֲקִיבָא אוֹמֵר, אֵין לוֹ אֶלָּא מִמְּקוֹם עֵרוּבוֹ אַלְפַּיִם אַמָּה: 

Eruvin 8:10	Eruvin 88a:18	רַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב אוֹמֵר, בִּיב שֶׁהוּא קָמוּר אַרְבַּע אַמּוֹת בִּרְשׁוּת הָרַבִּים, שׁוֹפְכִין לְתוֹכוֹ מַיִם בְּשַׁבָּת. וַחֲכָמִים אוֹמְרִים, אֲפִלּוּ גַג אוֹ חָצֵר מֵאָה אַמָּה, לֹא יִשְׁפֹּךְ עַל פִּי הַבִּיב, אֲבָל שׁוֹפֵךְ מִגַּג לְגַג, וְהַמַּיִם יוֹרְדִין לַבִּיב. הֶחָצֵר וְהָאַכְסַדְרָה מִצְטָרְפִין לְאַרְבַּע אַמּוֹת: 

Pesachim 5:9	Pesachim 64b:1	כֵּיצַד תּוֹלִין וּמַפְשִׁיטִין, אֻנְקְלָיוֹת שֶׁל בַּרְזֶל הָיוּ קְבוּעִים בַּכְּתָלִים וּבָעַמּוּדִים, שֶׁבָּהֶן תּוֹלִין וּמַפְשִׁיטִין. וְכָל מִי שֶׁאֵין לוֹ מָקוֹם לִתְלוֹת וּלְהַפְשִׁיט, מַקְלוֹת דַּקִּים חֲלָקִים הָיוּ שָׁם, וּמֵנִיחַ עַל כְּתֵפוֹ וְעַל כֶּתֶף חֲבֵרוֹ, וְתוֹלֶה וּמַפְשִׁיט. רַבִּי אֱלִיעֶזֶר אוֹמֵר, אַרְבָּעָה עָשָׂר שֶׁחָל לִהְיוֹת בְּשַׁבָּת, מֵנִיחַ יָדוֹ עַל כֶּתֶף חֲבֵרוֹ, וְיַד חֲבֵרוֹ עַל כְּתֵפוֹ, וְתוֹלֶה וּמַפְשִׁיט: 

Pesachim 7:1	Pesachim 74a:1	כֵּיצַד צוֹלִין אֶת הַפֶּסַח, מְבִיאִין שַׁפּוּד שֶׁל רִמּוֹן, תּוֹחֲבוֹ מִתּוֹךְ פִּיו עַד בֵּית נְקוּבָתוֹ, וְנוֹתֵן אֶת כְּרָעָיו וְאֶת בְּנֵי מֵעָיו לְתוֹכוֹ, דִּבְרֵי רַבִּי יוֹסֵי הַגְּלִילִי. רַבִּי עֲקִיבָא אוֹמֵר, כְּמִין בִּשּׁוּל הוּא זֶה, אֶלָּא תוֹלִין חוּצָה לוֹ: 

Pesachim 7:2	Pesachim 75b:11	אֵין צוֹלִין אֶת הַפֶּסַח לֹא עַל הַשַּׁפּוּד וְלֹא עַל הָאַסְכְּלָא. אָמַר רַבִּי צָדוֹק, מַעֲשֶׂה בְּרַבָּן גַּמְלִיאֵל שֶׁאָמַר לְטָבִי עַבְדּוֹ, צֵא וּצְלֵה לָנוּ אֶת הַפֶּסַח עַל הָאַסְכְּלָא. נָגַע בְּחַרְסוֹ שֶׁל תַּנּוּר, יִקְלֹף אֶת מְקוֹמוֹ. נָטַף מֵרָטְבּוֹ עַל הַחֶרֶס וְחָזַר עָלָיו, יִטֹּל אֶת מְקוֹמוֹ. נָטַף מֵרָטְבּוֹ עַל הַסֹּלֶת, יִקְמֹץ אֶת מְקוֹמוֹ: 

Pesachim 7:3	Pesachim 76b:11	סָכוֹ בְשֶׁמֶן תְּרוּמָה, אִם חֲבוּרַת כֹּהֲנִים, יֹאכֵלוּ. אִם יִשְׂרָאֵל, אִם חַי הוּא, יְדִיחֶנּוּ. וְאִם צָלִי הוּא, יִקְלֹף אֶת הַחִיצוֹן. סָכוֹ בְשֶׁמֶן שֶׁל מַעֲשֵׂר שֵׁנִי, לֹא יַעֲשֶׂנּוּ דָמִים עַל בְּנֵי חֲבוּרָה, שֶׁאֵין פּוֹדִין מַעֲשֵׂר שֵׁנִי בִירוּשָׁלָיִם: 

Pesachim 7:5	Pesachim 79a:13	נִטְמָא הַבָּשָׂר וְהַחֵלֶב קַיָּם, אֵינוֹ זוֹרֵק אֶת הַדָּם. נִטְמָא הַחֵלֶב וְהַבָּשָׂר קַיָּם, זוֹרֵק אֶת הַדָּם. וּבַמֻּקְדָּשִׁין אֵינוֹ כֵן, אֶלָּא אַף עַל פִּי שֶׁנִּטְמָא הַבָּשָׂר וְהַחֵלֶב קַיָּם, זוֹרֵק אֶת הַדָּם: 

Pesachim 7:6	Pesachim 80b:4	נִטְמָא קָהָל אוֹ רֻבּוֹ, אוֹ שֶׁהָיוּ הַכֹּהֲנִים טְמֵאִים וְהַקָּהָל טְהוֹרִים, יֵעָשֶׂה בְטֻמְאָה. נִטְמָא מִעוּט הַקָּהָל, הַטְּהוֹרִין עוֹשִׂין אֶת הָרִאשׁוֹן, וְהַטְּמֵאִין עוֹשִׂין אֶת הַשֵּׁנִי: 

Pesachim 7:10	Pesachim 84a:12	הָעֲצָמוֹת, וְהַגִּידִין, וְהַנּוֹתָר, יִשָּׂרְפוּ בְשִׁשָּׁה עָשָׂר. חָל שִׁשָּׁה עָשָׂר לִהְיוֹת בְּשַׁבָּת, יִשָּׂרְפוּ בְּשִׁבְעָה עָשָׂר, לְפִי שֶׁאֵינָן דּוֹחִין לֹא אֶת הַשַּׁבָּת וְלֹא אֶת יוֹם טוֹב: 

