Rereading the Rabbis; A Woman's Voice.1,Abbreviations and Acronyms
"Rereading the Rabbis; A Woman's Voice, Introduction.8","It seems to me that the rabbis who told this story, who reported her words, were ambivalent in their attitudes toward women, viewing them on the one hand as lowly creatures, to be controlled, cared for, and used for men’s own purposes and pleasure, and on the other as essentially as human as men, not physically and mentally immature like children and not chattel like slaves.<sup>5</sup><i class=""footnote"">Cf. Daniel Boyarin, <i>Carnal Israel: Reading Sex in Talmudic Culture</i> (Berkeley: University of California Press, 1993), 108: “This ironic double stance of both genuine empathy for women and rigid hierarchical domination is endemic in the Talmudic discourse.”</i> This point is supported by the fact that the parallel versions of the story place the provocative question in a woman’s mouth and the clever answer in a man’s.<sup>6</sup><i class=""footnote"">See note 3.</i> By reversing these roles, the Babylonian Talmud displays its attitude toward women: smart but subordinate."
"Rereading the Rabbis; A Woman's Voice, Introduction.9","What I have just demonstrated is how to read a text from a woman’s perspective. The salient feature of this approach is looking below the surface message, in this case theological, in order to dig out information about how men and women viewed each other and themselves and the nature of their relationship during the Talmudic period. When texts that have been looked at by so many for so long are examined from new angles, it should not surprise us that they yield new information."
"Rereading the Rabbis; A Woman's Voice, Introduction.10","We can easily deduce that Talmudic law and the biblical law upon which it is based mandate a patriarchal social order. The following representative examples will suffice to prove the point: Men may have more than one wife, but women may have only one husband; men take women in marriage and may divorce them at will, but women neither take men in marriage nor may they dismiss them; women inherit from neither a father nor a husband, but men inherit from both a mother and a wife (as well as from a father); women’s religious vows may be canceled by either a husband or a father, but men’s vows may not be canceled by either a wife or a mother. The male bias of these rules is evident."
"Rereading the Rabbis; A Woman's Voice, Introduction.11","It is all too easy, as sensitive human beings, to grow angry each time we come across yet another example of a blatantly patriarchal law. But that, to my mind, is not the only or even the most reasonable response. It is entirely predictable that when judging rabbinic law from the perspective of our own recently developed egalitarian stance, we will find the treatment of women unacceptable and even morally offensive. Today, we can no longer justify assigning second-class status and fewer rights to an entire category of human beings for no reason other than their gender."
"Rereading the Rabbis; A Woman's Voice, Introduction.12","Were the Talmud simply an arcane body of ancient texts, we would not find ourselves troubled upon reaching such a conclusion. But there is much more at stake here: The rabbis’ literary and legal legacy rests at the foundation of Judaism as it is practiced today. We therefore have a problem: How can we continue to adhere to Jewish observance today in the face of a conflict between it and our modern sense of social justice?"
"Rereading the Rabbis; A Woman's Voice, Introduction.13","One solution is simply to recognize that the rabbis were products of their times. Since the ancient world (and even much of the modern world until recently) subscribed to a patriarchal worldview, they did too. Although such a relativist perspective in no way diminishes the religious authority of the rabbis, neither does that perspective properly recognize their real accomplishments, even in their own time and place."
"Rereading the Rabbis; A Woman's Voice, Introduction.14","I am, therefore, suggesting that we devise a different standard by which to evaluate what the rabbis achieved. One possibility is to investigate how the rabbis’ legal thinking compares to that of their Greco-Roman counterparts. Since the rabbis were familiar with the Roman law of their day and incorporated some of its principles and even specific institutions into their own legislation, such as a gift in contemplation of death, how does the rabbis’ treatment of women compare to that of the Roman legislators?<sup>7</sup><i class=""footnote"">The gift in contemplation of death is treated in Chapter 8. On the subject of rabbinic knowledge of Hellenistic law, see Saul Lieberman, “How Much Greek in Jewish Palestine,” in <i>Texts and Studies</i> (New York: Ktav, 1974), 216–234, in particular, 225–228. For an analysis of broader cultural influences, see Lieberman, <i>Greek and Hellenism in Jewish Palestine</i> (Jerusalem: Bialik, 1962).</i> As interesting as it would be to draw these kinds of comparisons, and I will do so from time to time, this is not the best question to ask. A religious legal system, much more than a secular one, is bound by a commitment to maintain continuity with the practices of the past and accept the authority of the texts of the past. It ascribes a divine origin to these practices and texts."
"Rereading the Rabbis; A Woman's Voice, Introduction.15","I therefore propose that we evaluate the rabbinic system from a dynamic rather than a static perspective. Since the rabbis make it clear that the Torah undergirds their legislation, the questions that merit investigation are the following: In comparison to the Torah, which the rabbis accepted as holy, God-given, and hence immutable, how does their own legislation treat women? Without violating the letter of the law, were they seeking to accord them more rights and a higher status than that accorded them by the Torah? Or were they introducing new stringencies that would make women’s lives more difficult? In general, in what direction was their legislation concerning women headed? Furthermore, do the legislators openly reveal their own sense that women are discriminated against in key areas of Jewish law? Is there any evidence that they are uncomfortable with their patriarchal privilege? Do they allow women, whose voices they occasionally include in the text, to express dissatisfaction, even opposition, to the way things were?"
"Rereading the Rabbis; A Woman's Voice, Introduction.16","My answer, stated succinctly, is that the rabbis upheld patriarchy as the preordained mode of social organization, as dictated by the Torah. They thus perpetuated women’s second-class, subordinate status. They neither achieved equality for women nor even sought it. But of critical importance, they began to introduce numerous, significant, and occasionally bold corrective measures to ameliorate the lot of women. In some cases, they eliminated abusive behaviors that had developed over time. In others, they broke new ground, granting women benefits that they never had before, even at men’s expense. From their own perspective, the rabbis were seeking to close the gap that had developed over time between more enlightened social thinking and women’s more subordinate status as defined by the received texts, biblical and rabbinic, without openly opposing such texts. In almost every key area of law affecting women, the rabbis introduced significant changes for the better. We cannot be sure that the rabbis themselves conceived of the notion or initiated the trend of improving women’s lives—such ideas could have come from the surrounding culture or from previous generations—but we can find clear evidence that the rabbis endorsed this position of their own free will.<sup>8</sup><i class=""footnote"">See Judith Plaskow, <i>Standing Again at Sinai</i> (San Francisco: Harper and Row, 1990), who recognizes that the rabbis were disturbed by women’s implied absence from Sinai and therefore “read women’s presence into the text” (27). But she goes on to say that they do this “despite the fact that in their own work they continually reenact that absence.” I understand the rabbinic texts somewhat differently.</i>"
"Rereading the Rabbis; A Woman's Voice, Introduction.17","This conclusion should not surprise us. Law tends to develop over time in the direction of more humane treatment of the underprivileged. In the past several centuries, the move in many parts of the world from hierarchy to democracy is paralleled in the ancient rabbinic world by a move toward a modified, benevolent patriarchy and even a modified hierarchy. And this expansion of “rights” for women applied, albeit on a lesser scale, to other groups, such as non-Jewish slaves. Thus, the rabbis’ growing sympathy for women is not out of line with broad legal developments in other areas of Jewish law."
"Rereading the Rabbis; A Woman's Voice, Introduction.18","But did the rabbis go far enough? Could we have expected more from them? I tend to think they accomplished what they could. Although they reacted with leniency to the excessive stringencies of the Dead Sea sects that preceded them, for instance in the realm of ritual purity, and though they did not embrace the rampant misogynism of Philo, the first-century Hellenistic Jewish philosopher, neither did they adopt some of the more advanced provisions of Roman law. They cannot, therefore, be called feminists. More accurately, we can regard them as helpful to women."
"Rereading the Rabbis; A Woman's Voice, Introduction.19","I am troubled by the contemporary assumption that the presence of patriarchy necessarily precludes the possibility of those within it acting on women’s behalf. When scholars find evidence of proto-feminist action, they consider it an aberration, the expression of a dissident voice. I am not so sure. It is also possible to conclude that absolute patriarchy is only a theoretical projection, a construct, not a reality. Careful examination of rabbinic texts has led me to believe that rabbinic sympathy for women is not an expression of dissidence but rather reflects a more nuanced patriarchy than is generally assumed. Recent research in the Bible<sup>9</sup><i class=""footnote"">See Athalya Brenner, ed., <i>A Feminist Companion to Wisdom Literature</i> (Sheffield: Sheffield Academic Press, 1995). Brenner’s comments (in “Some Observations on the Figurations of Woman in Wisdom Literature,” 85–97) on the unnamed queen who shames her husband and is the only intelligent and calm person around, as well as Valler’s comments (in “Who Is <i>Eshet Hayil</i> in Rabbinic Literature?” 65) on the rabbinic concept of “a woman of valor” reveal that the women of the Bible and Talmud are not the docile, submissive helpmates that patriarchy implies and that a patriarchal text would be expected to portray.</i> and my own evaluation of the Talmud suggest that rabbinic society is more accurately characterized as a “benevolent patriarchy.” Even though it placed men in charge of women, it also permitted men to make changes that benefited women and that showed concern for women in general and even respect for individual women of accomplishment (as measured in male terms)."
"Rereading the Rabbis; A Woman's Voice, Introduction.20","A number of books have already appeared that deal with women in rabbinic texts. They fall into two broad categories: those that analyze what these legal texts have to say about men, women, society, and culture; and those that try to reconstruct women’s history in the Talmudic period, based on passages found in the rabbinic corpus and elsewhere. I will briefly mention some of the more important ones. Jacob Neusner and Judith Wegner, in their systematic, detailed studies of the Mishnah, find extensive evidence of women’s second-class status. According to both authors, the rabbis view women as morally lax temptresses from whom men must protect themselves.<sup>10</sup><i class=""footnote"">Jacob Neusner was the first to engage in a systematic reading of rabbinic texts from a feminist perspective. He develops a theory in a wide variety of publications, and in particular in <i>Method and Meaning in Ancient Judaism</i>, Brown Judaica Series, no. 10 (Missoula, Mont.: Scholars Press, 1979), 79–100, about how the rabbis defined the essential nature and character of women and men. Because of women’s unruly sexual potential, lying just below the surface, it has been necessary for men to exercise control over women. Surveying all the volumes of Mishnah that treat women, he shows that the rabbis are especially interested in the moments when women are transferred from one man to another because those times pose the greatest dangers.<br>Judith Wegner, in <i>Chattel or Person? The Status of Women in the Mishnah</i> (New York: Oxford University Press, 1988), examines, from the perspective of today’s jurisprudential standards, the vast body of mishnaic law dealing with women. She finds that in some areas, such as those relating to a woman’s sexuality and reproductive capacity, the woman is treated as chattel; in all others, she is treated as person.</i> Daniel Boyarin and Shulamit Valler, in their close readings of legal and aggadic materials, identify multiple rabbinic outlooks on women, ranging from the more indifferent to the more empathetic.<sup>11</sup><i class=""footnote"">Boyarin, in <i>Carnal Israel</i>, identifies two phenomena relevant to the focus of this book: the rabbis’ empathetic thinking about women, and the existence of women on the margins who engaged in actions that the culture highly valued, such as the study of Torah. He concludes that although such empathetic thinking did not overturn the male-dominated hierarchy, the texts in which men oppose the dominant ideology imply the participation of a dissident, proto-feminist voice.<br>Shulamit Valler, in <i>Women and Womanhood in the Stories of the Babylonian Talmud</i> (Tel Aviv: Hakibbutz Hameuchad, 1993), analyzes in detail five clusters of halakhic anecdotes relating to women. She finds that the rabbis abandoned the stringencies that they themselves had developed and decided cases that came before them in a more lenient manner, one that displayed sensitivity toward women.</i> Tal Ilan, in her historical work on women’s status in the early rabbinic period, notes the vast differences between rabbinic pronouncements and real women’s lives.<sup>12</sup><i class=""footnote"">Tal Ilan, in <i>Jewish Women in Greco-Roman Palestine: An Inquiry into Image and Status</i>, a historical work, asks what was the exact social status of women in the period beginning 332 <small>B.C.E.</small>, the time of Alexander’s conquest of Palestine, and ending 200 <small>C.E.</small>, close to the time of the Mishnah’s publication. She concludes that only a small segment of the Jewish population, in particular the upper classes, lived according to tannaitic prescriptions.</i> Miriam Peskowitz, upon reading rabbinic texts in the context of Greco-Roman legal and literary texts, gender theory, and material evidence, demonstrates that the tannaitic statements about women’s work constitute a theory of masculinity and femininity.<sup>13</sup><i class=""footnote"">Miriam Peskowitz, <i>Spinning Fantasies</i> (University of California Press, forthcoming). In “Engendering Jewish Religious History,” in <i>Judaism Since Gender</i>, Peskowitz puts forward the theory that the study of “women in rabbinic Judaism” or “women and rabbinic Judaism” is no longer appropriate because it implies that women are separate from and marginal to Judaism. In the same volume, Judith Baskin responds that there still is a need to conduct these kinds of studies. In exploring images of women, she claims, we find evidence of multivocality, of minority views that are sometimes more enlightened than those of the dominant view of women’s essential difference from and inferiority to man. We can thus learn “important things about how Jewish knowledges are engendered” (“Rabbinic Judaism and the Creation of Woman,” 125–130).</i>"
"Rereading the Rabbis; A Woman's Voice, Introduction.21","Those six books have all made significant contributions to our understanding of how the Talmud addresses the topic of women. Although this book will also read texts closely and arrive at some shared conclusions with the above authors, the question that drives this research is different, as is the methodology."
"Rereading the Rabbis; A Woman's Voice, Introduction.22","What I am <i>not</i> trying to do in this book is to present the basics of Jewish law, from the Bible until today, as it affects women, as does Rachel Biale.<sup>14</sup><i class=""footnote"">Rachel Biale, <i>Women and Jewish Law: An Exploration of Women’s Issues in Halakhic Sources</i> (New York: Schocken, 1984).</i> Rather, I have selected for consideration those matters that best illustrate that the law, in general, was in the process of change. There are many issues that I do not deal with at all, such as levirate marriage, and others that I do not deal with in full, like testimony. I build my case by analyzing only ten topics in detail, although not exhaustively."
"Rereading the Rabbis; A Woman's Voice, Introduction.23","What I am also <i>not</i> trying to do in this book is to write social history. Historians often find themselves using law to write history, and Talmudists, using history to understand law. Both of these approaches are faulty. Historians cannot assume that all or even most people followed the law. Similarly, Talmudists cannot assume that sociohistorical realities are accurately reflected in the law. As hard as it will be to restrain myself from seeing the law as a representation of social reality, I will try to do so. What I am interested in is a history of the law, not a history of people. Although it is likely that what jurists see around them dictates their choice of cases to deal with and focus on, we cannot know that for sure. Since all cases could be hypothetical constructs, we cannot deduce social realities from legal preoccupation with certain issues."
"Rereading the Rabbis; A Woman's Voice, Introduction.24","The question is, how does one read an ancient text to arrive at the truth, at the author’s intended meaning? Plucking statements from different works, written in different time periods by different authors, weaving them together into a unified whole, and then claiming that they represent the rabbinic view on a particular topic is deceptive. Each text must be examined on its own; the interplay of voices over time and between texts should not be muted."
"Rereading the Rabbis; A Woman's Voice, Introduction.25","To write a credible book on the subject of Talmud and women requires that we read the texts as objectively as possible, not arriving at interpretations dictated by preconceived conclusions. In order to avoid this pitfall, I have developed the following method for reading texts: First, for each topic under consideration, I go to the loci classici, the places in the Torah and the Talmud where that topic is discussed initially and/or fully and extract the main ideas. For the Torah, that usually involves several verses. For the Talmud, that can be an entire volume, a chapter, or just one passage. Note that by so doing I am not making any choices as to which material to examine but am merely analyzing the rabbis’ principal statements on a subject. I then compare the biblical and rabbinic statements in order to see if the rabbis have made any significant changes."
"Rereading the Rabbis; A Woman's Voice, Introduction.26","Second, because I assume, as noted above, that literary and legal contexts influence meaning, I then read each paragraph of the relevant Mishnah, also called a <i>mishnah</i>, in the light of the surrounding cluster of <i>mishnah</i>s. Third, I read the mishnaic passages in the context of related rabbinic texts, from both the same time period and later. By thus seeing the full range of views on a subject, we can understand more accurately and precisely the meaning of each view articulated. Also, by noting the field of choices open to each rabbinic speaker, we can assess the relative stringency or leniency of the view he chose to adopt."
"Rereading the Rabbis; A Woman's Voice, Introduction.27","To illustrate by way of example: The Mishnah sharply reduced the number of cases in which a rapist had to pay the biblically prescribed fine to a young victim’s father—he was obligated only if he raped her when she was between twelve and twelve and one-half years old. This ruling might lead us to conclude that the early rabbis make light of the crime of rape. But by means of a contextual reading, we learn that the Mishnah replaced the fixed fine <i>(kenas)</i> with a variable one <i>(pegam)</i>, to be paid in all cases without exception and able to exceed the fifty silver shekels stipulated by the Torah. From this fine we realize that the rabbis were taking rape <i>more</i> seriously rather than less. In this way, we see how a richer contextual reading yields a more nuanced interpretation."
"Rereading the Rabbis; A Woman's Voice, Introduction.28",<b>The Rabbinic Texts</b>
"Rereading the Rabbis; A Woman's Voice, Introduction.29","The key rabbinic text, the touchstone of all subsequent rabbinic commentary, is the Mishnah (M), the first canonical and reasonably comprehensive compilation of Jewish law to follow the Bible. It is written in Hebrew and arranged topically into six major divisions, called orders, which are each subdivided into tractates (volumes), named accordingly. One of the six divisions is called Nashim, meaning women or, more likely, married women.<sup>15</sup><i class=""footnote"">I prefer this translation because women are dealt with in virtually every volume of the Mishnah. Married women and a variety of marital institutions are dealt with primarily in the tractates of Nashim.</i> Most texts we will examine in this book derive from that order."
"Rereading the Rabbis; A Woman's Voice, Introduction.30","Much of the material in the Mishnah is anonymous, but about one third to one half is attributed to specific individuals, called Tannaim. Although some material precedes the common era, such as that attributed to Hillel and Shammai, the vast majority dates from the first two centuries of the common era. It is easy to see that the Mishnah developed in layers over time, each generation of rabbis adding its thoughts to those of the previous ones. Rabbi Judah the Prince, usually referred to merely as Rebbe, is credited with the final redaction of the Mishnah in about the year 200. Whoever the redactor was, it is clear that an editorial hand imprinted the entire work with a consistency of style, syntax, and even legislative outlook.<sup>16</sup><i class=""footnote"">Jacob Neusner, ed., <i>The Study of Ancient Judaism</i>, pt. 1 (New York: Ktav, 1981), 18ff.</i> It is therefore legitimate to ask, with respect to most topics, what the broad legislative goals of the redactor of the Mishnah were."
"Rereading the Rabbis; A Woman's Voice, Introduction.31","The Tosefta (T), also written in Hebrew and organized just like the Mishnah, with the same major divisions and subdivisions, is a companion volume to the Mishnah, dating from the same period of time and presenting the views of many of the same rabbis. It seems more a compilation and compendium than a thoroughly redacted work. It is intimately related to the Mishnah, even beyond its organization, in that paragraph by paragraph it supplements, disputes, and illustrates passages of the Mishnah. But what is the relationship of these two works to each other?"
"Rereading the Rabbis; A Woman's Voice, Introduction.32","It is standard scholarly opinion that the Tosefta postdates the Mishnah and is a commentary on it, in fact, the very first commentary. But this statement does not give the complete picture. For although the Tosefta contains much material posterior to the Mishnah, it contains anterior material as well. Careful comparison of passages in the Mishnah and Tosefta shows that many mishnaic rules are based on and constitute a reworking, often very subtle, of the parallel Tosefta passage. It is likely that the redactor of the Mishnah changed the earlier formulation of the rule in order to have it conform to his view on a particular subject. By examining the roads not taken by him, by seeing which of the many options he selected and which he rejected, we can better understand his legislative approach and goals, as well as those of his contemporaries. Comparison of two similar but slightly different formulations of the same rule makes it possible, again, to see in what direction the law was headed and what were the legal concerns of the day. The striking fact that the views of the Tosefta are often more lenient, and hence beneficial to women, than those of the Mishnah, suggests that the redactor of the Mishnah had a more conservative bent than some of his colleagues.<sup>17</sup><i class=""footnote"">Judith Hauptman, “Pesiqah L’humra B’mishnat Gittin,” <i>Proceedings of the Tenth World Congress of Jewish Studies</i>, August 1990; “Women’s Voluntary Performance of Commandments from Which They Are Exempt” (in Hebrew), <i>Proceedings of the Eleventh World Congress of Jewish Studies</i>, Jerusalem, 1994; Shamma Friedman, “Tosefta Atikta … ” <i>Tarbiz</i> 62, no. 3 (5753/1992–93).</i>"
"Rereading the Rabbis; A Woman's Voice, Introduction.33","The Babylonian Talmud, known as the Bavli, is the great commentary on the Mishnah, produced in Babylonia from about 200 until 750 <small>C.E.</small>, and written in both Hebrew and Aramaic. In today’s printed texts of the Talmud, each passage from the Mishnah is followed by the associated Gemara, that is, the analysis of the <i>mishnah</i> drafted by the Tannaim and Amoraim, the latter being the collective name of rabbis of the post-mishnaic period. The earliest form of the Gemara on a given <i>mishnah</i> consisted of a string of tannaitic and amoraic statements, the tannaitic ones commenting directly on the <i>mishnah</i> and the amoraic ones both on the <i>mishnah</i> itself and on the related tannaitic comments. These tannaitic materials, called <i>baraitot</i>, external teachings—because they remained outside of the Mishnah—are often the same passages that appear in a parallel place in the Tosefta. They prove extremely useful when one is deciphering the meaning of cryptically worded <i>mishnah</i>s.<sup>18</sup><i class=""footnote"">It is especially common for the Amoraim of the two Talmuds to interpret a <i>mishnah</i> in the light of the parallel paragraph in the Tosefta. In so doing they often read back into the <i>mishnah</i> a line of thought that the redactor of the Mishnah had decided to reject. In this way the Amoraim are able to reclaim discarded points of view, ones that they may find more to their liking than that of the redactor of the Mishnah. See my book <i>Development of the Talmudic Sugya: Relationship Between Tannaitic and Amoraic Sources</i> (Lanham, Md.: University Press of America, 1988), chap. 3.</i>"
