Index,Daf,Siman,Siman Ref,Wiki Snippet
16,Sanhedrin 2a,ע,Sanhedrin 2a:8,והקרקעות תשעה וכהן <ע> ואדם כיוצא בהן
17,Sanhedrin 2a,פ,Sanhedrin 2a:9,ואדם כיוצא בהן <פ> דיני נפשות בעשרים ושלשה
18,Sanhedrin 2a,צ,Sanhedrin 2a:9,דיני נפשות בעשרים ושלשה <צ> הרובע והנרבע בעשרים ושלשה שנאמר
19,Sanhedrin 2a,ק,Sanhedrin 2a:10,והרגת את האשה ואת הבהמה ואומר ואת הבהמה תהרוגו <ק> שור הנסקל בעשרים ושלשה שנאמר
20,Sanhedrin 2a,ר,Sanhedrin 2a:10,השור יסקל וגם בעליו יומת כמיתת בעלים כך מיתת השור <ר> הזאב והארי הדוב והנמר והברדלס
21,Sanhedrin 2a,ש,Sanhedrin 2a:11,והנחש מיתתן בעשרים ושלשה רבי אליעזר אומר כל הקודם להורגן זכה רבי עקיבא אומר מיתתן בעשרים ושלשה: אין <ש> דנין לא את השבט ולא
22,Sanhedrin 2a,ת,Sanhedrin 2a:12,בית דין של שבעים ואחד <ת> אין עושין עיר הנדחת בספר
23,Sanhedrin 2a,א*,Sanhedrin 2a:13,ולא שלש אבל עושין אחת או שתים <א*> סנהדרין גדולה היתה של שבעים
24,Sanhedrin 2a,ב*,Sanhedrin 2a:14,גביהן ר' יהודה אומר שבעים <ב*> ומנין לקטנה שהיא של עשרים
25,Sanhedrin 2a,ג*,Sanhedrin 2a:16,עמהם לטובה אם כן למה נאמר אחרי רבים להטות לא כהטייתך לטובה הטייתך לרעה הטייתך לטובה על פי אחד <ג*> הטייתך לרעה על פי שנים
26,Sanhedrin 2b,א,Sanhedrin 2b:2,ואין בית דין שקול מוסיפין עליהם עוד אחד הרי כאן עשרים ושלשה וכמה יהא בעיר ותהא ראויה לסנהדרין <א> מאה ועשרים רבי נחמיה אומר
27,Sanhedrin 2b,ב,Sanhedrin 2b:6,רבי אבהו <ב> שנים שדנו דיני ממונות לדברי
28,Sanhedrin 2b,ג,Sanhedrin 2b:7,הכל אין דיניהם דין אלא <ג> דלא בעינן מומחין מאי קסבר
29,Sanhedrin 2b,ד,Sanhedrin 2b:9,דבר תורה <ד> אחד דיני ממונות ואחד דיני
30,Sanhedrin 3a,א,Sanhedrin 3a:10,בעי למיתנא חצי נזק תני נמי נזק שלם חצי נזק נמי היינו חבלות תנא ממונא וקתני קנסא הניחא למאן דאמר <א> פלגא ניזקא קנסא אלא למאן
31,Sanhedrin 4a,א,Sanhedrin 4a:7,"קרינן ויש אם למקרא ב""ש דתנן ב""ש אומרים <א> כל הניתנין על מזבח החיצון"
32,Sanhedrin 4a,ב,Sanhedrin 4a:7,שנתנן במתנה אחת כיפר (שנאמר ודם זבחיך ישפך) ובחטאת שתי מתנות ובית הלל אומרים <ב> אף בחטאת שנתנן במתנה אחת
33,Sanhedrin 4a,ג,Sanhedrin 4a:11,"קרנת קרנת הרי כאן ארבע ג' למצוה ואחת לעכב ואימא כולהו למצוה כפרה בכדי לא אשכחן ר""ש דתניא <ג> שתים כהלכתן ושלישית אפילו טפח"
34,Sanhedrin 4a,ד,Sanhedrin 4a:14,מת לא יבא שתי נפשות ושיעור א' ורבנן <ד> נפשת כתיב מתקיף לה רב
35,Sanhedrin 4b,א,Sanhedrin 4b:12,אם למקרא והתניא לטטפת לטטפת לטוטפות <א> הרי כאן ארבע דברי ר'
36,Sanhedrin 4b,ב,Sanhedrin 4b:15,יוחנן בן דהבאי אומר משום רבי יהודה בן תימא <ב> הסומא בא' מעיניו פטור מן
37,Sanhedrin 5a,א,Sanhedrin 5a:1, <א> ואם היה מומחה לרבים דן
38,Sanhedrin 5a,ב,Sanhedrin 5a:3,"נקיט רשותא דיניה דינא ת""ש דמר זוטרא בריה דר""נ דן דינא וטעה אתא לקמיה דרב יוסף א""ל <ב> אם קיבלוך עלייהו לא תשלם"
39,Sanhedrin 5a,ג,Sanhedrin 5a:3,"ואי לא זיל שלים ש""מ <ג> כי לא נקיט רשותא דיניה"
40,Sanhedrin 5a,ד,Sanhedrin 5a:4,"דינא ש""מ אמר רב <ד> האי מאן דבעי למידן דינא"
41,Sanhedrin 5a,ה,Sanhedrin 5a:5,ואי טעה מיבעי למיפטרא לישקול רשותא מבי ריש גלותא וכן אמר שמואל לשקול רשותא מבי ריש גלותא <ה> פשיטא מהכא להכא ומהתם להתם
42,Sanhedrin 5a,ו,Sanhedrin 5a:6,(מהני) ומהכא להתם (נמי) מהני דהכא שבט והתם מחוקק כדתניא לא יסור שבט מיהודה <ו> אלו ראשי גליות שבבבל שרודין
43,Sanhedrin 5a,ז,Sanhedrin 5a:7,"בר חנה רשותא הוה נקיט ש""מ <ז> מהתם להכא לא מהני ש""מ"
44,Sanhedrin 5a,ח,Sanhedrin 5a:9,מהני רבה בר חנה רשותא דנקט למה לי <ח> לעיירות העומדים על הגבולין מאי
45,Sanhedrin 5a,ט,Sanhedrin 5a:10,רשותא כי הוה נחית רבה בר חנה לבבל אמר ליה רבי חייא לרבי בן אחי יורד לבבל <ט> יורה יורה ידין ידין יתיר
46,Sanhedrin 5b,א,Sanhedrin 5b:4,קבוע ואיזה מום עובר אלא לחלק לו כבוד לרבה בר חנה ואיבעית אימא <א> משום הא גופיה דרב בקיע
47,Sanhedrin 5b,ב,Sanhedrin 5b:6,מכשירין והוא <ב> מי ביצים דרש להו ואינהו
48,Sanhedrin 5b,ג,Sanhedrin 5b:7,סבור מי בצעים קאמר וטעו נמי בהא <ג> מי קרמיון ומי פיגה פסולין
49,Sanhedrin 5b,ד,Sanhedrin 5b:7,מפני שהן מי (בצעים) ואינהו סבור מדלגבי חטאת פסילי אכשורי נמי לא מכשרי ולא היא התם לענין חטאת <ד> בעינן מים חיים הכא אכשורי
50,Sanhedrin 5b,ה,Sanhedrin 5b:8,כל דהו מכשרי תנא באותה שעה גזרו <ה> תלמיד אל יורה אלא אם
51,Sanhedrin 5b,ו,Sanhedrin 5b:9,מני דמן צור איכא הכא ותניא <ו> תלמיד אל יורה הלכה במקום
52,Sanhedrin 5b,(ו),Sanhedrin 5b:11,עינים הוה נתן עיניו בגרושה וחיללו <(ו)> פשיטא לפלגא הא קאמר דמהני
53,Sanhedrin 5b,ז,Sanhedrin 5b:14,הדין ששנים שדנו בעלי דינין יכולין לחזור בהן <ז> ושנים שעשו פשרה אין בעלי
54,Sanhedrin 6a,א,Sanhedrin 6a:2,"גופא א""ר אבהו שנים שדנו דיני ממונות לדברי הכל אין דיניהם דין איתיביה רבי אבא לרבי אבהו <א> דן את הדין וזיכה את"
55,Sanhedrin 6a,ב,Sanhedrin 6a:4,"בדבר משנה והאמר רב ששת א""ר (אמי) <ב> טעה בדבר משנה חוזר אלא"
56,Sanhedrin 6a,ג,Sanhedrin 6a:5,דטעה בשיקול הדעת היכי דמי בשיקול הדעת אמר רב פפא <ג> כגון תרי תנאי ותרי אמוראי
57,Sanhedrin 6a,ד,Sanhedrin 6a:6,"הדעת לימא כתנאי ביצוע בשלשה דברי ר""מ וחכ""א <ד> פשרה ביחיד סברוה לכ""ע מקשינן"
58,Sanhedrin 6a,ה,Sanhedrin 6a:9,"דעתך צריכה קנין למ""ד צריכה תלתא ל""ל תסגי בתרי וליקני מיניה והלכתא <ה> פשרה צריכה קנין תנו רבנן"
59,Sanhedrin 6b,א,Sanhedrin 6b:1, <א> נגמר הדין אי אתה רשאי
60,Sanhedrin 6b,ב,Sanhedrin 6b:4,שגזל סאה של חטים וטחנה ואפאה והפריש ממנה חלה כיצד מברך <ב> אין זה מברך אלא מנאץ
61,Sanhedrin 6b,ג,Sanhedrin 6b:6,ה' רבי יהושע בן קרחה אומר <ג> מצוה לבצוע שנאמר אמת ומשפט
62,Sanhedrin 6b,ד,Sanhedrin 6b:12,שנתגלע הריב אתה יכול לנטשו משנתגלע הריב אי אתה יכול יכול לנטשו (וריש לקיש) אמר <ד> שנים שבאו לדין אחד רך
63,Sanhedrin 6b,ה,Sanhedrin 6b:13,להן איני נזקק לכם שנא' לא תגורו מפני איש ר' יהושע בן קרחה אומר <ה> מניין לתלמיד שיושב לפני רבו
64,Sanhedrin 6b,ו,Sanhedrin 6b:14,אשר להם הריב לפני ה' <ו> ויהו הדיינין יודעין את מי
65,Sanhedrin 6b,ז,Sanhedrin 6b:14,"ת""ל עמכם בדבר משפט <ז> אין לו לדיין אלא מה"
66,Sanhedrin 6b,ח,Sanhedrin 6b:15,שעיניו רואות היכי דמי גמר דין אמר רב יהודה אמר רב <ח> איש פלוני אתה חייב איש
67,Sanhedrin 7a,א,Sanhedrin 7a:1, <א> מצוה למימרא להו אי דינא
68,Sanhedrin 7a,ב,Sanhedrin 7a:5,לעגל אפשר הויא להו תקנתא בתשובה והני תנאי פוטר מים ראשית מדון מאי דרשי ביה כדרב המנונא דאמר רב המנונא <ב> אין תחילת דינו של אדם
69,Sanhedrin 7a,ג,Sanhedrin 7a:9,"ההוא דהוה קאמר ואזיל אתרתי תלת גנבא לא מיקטל א""ל שמואל לרב יהודה <ג> קרא כתיב כה אמר ה'"
70,Sanhedrin 7a,ד,Sanhedrin 7a:17,סימן: אמר רבי שמואל בר נחמני אמר רבי יונתן <ד> כל דיין שדן דין אמת
71,Sanhedrin 7a,ה,Sanhedrin 7a:18,יונתן <ה> כל דיין שנוטל מזה ונותן
72,Sanhedrin 7a,ו,Sanhedrin 7a:19,כי ה' יריב ריבם וקבע את קובעיהם נפש ואמר רבי שמואל בר נחמני אמר רבי יונתן <ו> לעולם יראה דיין עצמו כאילו
73,Sanhedrin 7b,א,Sanhedrin 7b:2,ה' דינו לבקר משפט והצילו גזול מיד עושק וכי בבקר דנין וכל היום אין דנין אלא <א> אם ברור לך הדבר כבקר
74,Sanhedrin 7b,ב,Sanhedrin 7b:7,"תפוש זהב וכסף וכל רוח אין בקרבו <ב> ועתיד הקב""ה ליפרע ממעמידין שנאמר"
75,Sanhedrin 7b,ג,Sanhedrin 7b:8,וה' בהיכל קדשו הס מפניו כל הארץ אמר ריש לקיש כל <ג> המעמיד דיין (על הציבור) שאינו
76,Sanhedrin 7b,ד,Sanhedrin 7b:8,אשי <ד> ובמקום שיש תלמידי חכמים כאילו
77,Sanhedrin 7b,ה,Sanhedrin 7b:12,הא מילתא דאמרו רבנן <ה> הוו מתונין בדין דכתיב לא
78,Sanhedrin 7b,ו,Sanhedrin 7b:12,תעלה במעלות וסמיך ליה ואלה המשפטים אמר ר' אליעזר <ו> מניין לדיין שלא יפסע על
79,Sanhedrin 7b,ז,Sanhedrin 7b:14,ושפטתם אמר רבי חנינא <ז> אזהרה לבית דין שלא ישמע
80,Sanhedrin 7b,ח,Sanhedrin 7b:16,את הדין ואחר כך חתכהו בין איש ובין אחיו (ובין גרו) אמר רב יהודה <ח> אפילו בין בית לעלייה ובין
81,Sanhedrin 8a,א,Sanhedrin 8a:1, <א> פסילנא לך לדינא אמר ליה
82,Sanhedrin 8a,ב,Sanhedrin 8a:2,ביה ומיפסקיה פשיטא אלא <ב> לאקדומיה לא תגורו מפני איש
83,Sanhedrin 8a,ג,Sanhedrin 8a:6,אתכם בעת ההיא אמר רבי אלעזר אמר רבי שמלאי <ג> אזהרה לציבור שתהא אימת דיין
84,Sanhedrin 8a,ד,Sanhedrin 8a:6,עליהן <ד> ואזהרה לדיין שיסבול את הציבור
85,Sanhedrin 8a,ה,Sanhedrin 8a:8,דבר אחד לדור ואין שני דברין לדור תנא זימון בשלשה מאי זימון אילימא ברכת זימון והתניא זימון <ה> וברכת זימון בשלשה וכי תימא
86,Sanhedrin 8a,ו,Sanhedrin 8a:9,רבא <ו> הני בי תלתא דייני דיתבי
87,Sanhedrin 8a,ז,Sanhedrin 8a:9,ואזיל שליחא דבי דינא ואמר מפומא דחד לא אמר כלום עד דאמר משמיה דכולהו הני מילי בלא יומא דדינא <ז> אבל ביומא דדינא לית לן
88,Sanhedrin 8a,ח,Sanhedrin 8a:11,פסולין לדיני קנסות <ח> אלא מומחין וקאמר שלשה: וחכמים
89,Sanhedrin 8a,ט,Sanhedrin 8a:14,סבר אין חוששין ללעז ורבנן <ט> סברי חוששין ללעז רבא אמר
90,Sanhedrin 8b,א,Sanhedrin 8b:6,יהודה <א> ורבנן דתניא ר' יוסי בר
91,Sanhedrin 8b,ב,Sanhedrin 8b:6,"יהודה אומר חבר א""צ התראה <ב> לפי שלא ניתנה התראה אלא"
92,Sanhedrin 9a,א,Sanhedrin 9a:5,כעוברי עבירה על אחת כמה וכמה שישלם שכר את הניטפל לעושה מצוה כעושה מצוה <א> ומה שנים נמצא אחד מהן
93,Sanhedrin 9a,ב,Sanhedrin 9a:6,"א""ר יוסי בד""א בדיני נפשות אבל בדיני ממונות תתקיים עדות בשאר רבי אומר <ב> אחד דיני ממונות ואחד דיני"
94,Sanhedrin 9a,ג,Sanhedrin 9a:6,נפשות <ג> ואימתי בזמן שהתרו בהן אבל
95,Sanhedrin 9b,א,Sanhedrin 9b:5,בן זכאי בעוקצי תאנים אמר רב יוסף <א> הביא הבעל עדים שזינתה והביא
96,Sanhedrin 9b,ב,Sanhedrin 9b:7,נהרגין ומשלמין [ממון] ממון לזה ונפשות לזה ואמר רב יוסף <ב> פלוני רבעו לאונסו הוא ואחר
97,Sanhedrin 9b,ג,Sanhedrin 9b:8,מצטרפין להרגו לרצונו רשע הוא והתורה אמרה אל תשת רשע עד רבא אמר <ג> אדם קרוב אצל עצמו ואין
98,Sanhedrin 10a,א,Sanhedrin 10a:1, <א> פלוני בא על אשתי הוא
99,Sanhedrin 10a,ב,Sanhedrin 10a:3,אמרינן אצל אשתו לא אמרינן קא משמע לן ואמר רבא <ב> פלוני בא על נערה המאורסה
100,Sanhedrin 10a,ג,Sanhedrin 10a:4,והוזמו נהרגין ואין משלמין ממון בתו של פלוני והוזמו נהרגין ומשלמין ממון ממון לזה ונפשות לזה ואמר רבא <ג> פלוני רבע השור והוזמו נהרגין
101,Sanhedrin 10a,ד,Sanhedrin 10a:5,אצל ממונו או דילמא אמרינן אדם קרוב אצל ממונו בתר דבעיא הדר פשטה אדם קרוב אצל עצמו <ד> ואין אדם קרוב אצל ממונו:
102,Sanhedrin 10a,ה,Sanhedrin 10a:8,זוממין מן התורה מניין רמז לעדים זוממין והא כתיב כאשר זמם אלא רמז לעדים זוממין <ה> שלוקין מניין דכתיב והצדיקו את
103,Sanhedrin 10a,ו,Sanhedrin 10a:9,הצדיק והרשיעו את הרשע משום דהצדיקו את הצדיק והרשיעו את הרשע והיה אם בן הכות הרשע <ו> אלא עדים שהרשיעו את הצדיק
104,Sanhedrin 10a,ז,Sanhedrin 10a:10,דהוה ליה לאו שאין בו מעשה <ז> וכל לאו שאין בו מעשה
105,Sanhedrin 10a,ח,Sanhedrin 10a:13,"מאית לימות א""ל אמר קרא ונקלה אחיך לעיניך כי מחית אגבא דחיי מחית אלא הא דתניא <ח> אמדוהו לקבל עשרים אין מכין"
106,Sanhedrin 10b,א,Sanhedrin 10b:4,דתניא רבי אלעזר (בן) צדוק אומר <א> אם לא נראה בזמנו אין
107,Sanhedrin 10b,ב,Sanhedrin 10b:8,ואי אתה מקדש חדשים: רבן שמעון בן גמליאל אומר בשלשה כו': תניא <ב> כיצד אמר רבן שמעון בן
108,Sanhedrin 10b,ג,Sanhedrin 10b:9,לישב ואחד אומר שלא לישב מוסיפין עליהם עוד שנים ונושאין ונותנין בדבר <ג> שנים אומרים צריכה ושלשה אומרים
109,Sanhedrin 10b,ד,Sanhedrin 10b:12,"סימן: ת""ר <ד> אין מעברין את השנה אלא"
110,Sanhedrin 11a,א,Sanhedrin 11a:10,"שאין מספידין על הרוגי מלכות ת""ר <א> אין מעברין את השנה אלא"
111,Sanhedrin 11a,ב,Sanhedrin 11a:10,"מנת שירצה רבן גמליאל וכשבא ר""ג ואמר רוצה אני <ב> נמצאת שנה מעוברת תנו רבנן"
112,Sanhedrin 11a,ג,Sanhedrin 11a:11,נמצאת שנה מעוברת תנו רבנן <ג> אין מעברין את השנה אלא
113,Sanhedrin 11a,ד,Sanhedrin 11a:11,אם כן היתה צריכה מפני הדרכים ומפני הגשרים ומפני תנורי פסחים ומפני גליות ישראל שנעקרו ממקומן ועדיין לא הגיעו <ד> אבל לא מפני השלג ולא
114,Sanhedrin 11a,ה,Sanhedrin 11a:12,"מפני הצינה ולא מפני גליות ישראל שלא עקרו ממקומן ת""ר <ה> אין מעברין את השנה לא"
115,Sanhedrin 11a,ו,Sanhedrin 11a:12,מפני הגדיים ולא מפני הטלאים ולא מפני הגוזלות שלא פירחו אבל עושין אותן סעד לשנה <ו> כיצד רבי ינאי אומר משום
116,Sanhedrin 11a,ז,Sanhedrin 11a:13,שתא דא תלתין יומין מיתיבי כמה עיבור השנה שלשים יום רבן שמעון בן גמליאל אומר חדש אמר רב פפא <ז> רצו חדש רצו שלשים יום
117,Sanhedrin 11b,א,Sanhedrin 11b:5,מילתא באנפאי ובאנפי חביריי ואוסיפית על שתא דא יומין תלתין דילמא בתר דעברוהו: תנו רבנן <א> על שלשה דברים מעברין את
118,Sanhedrin 11b,ב,Sanhedrin 11b:7,"ת""ר <ב> על שלשה ארצות מעברין את"
119,Sanhedrin 11b,ג,Sanhedrin 11b:8,"שאין עומר בא אלא מיהודה ת""ר <ג> אין מעברין את השנים אלא"
120,Sanhedrin 11b,ד,Sanhedrin 11b:8,ביהודה <ד> ואם עיברוה בגליל מעוברת העיד
121,Sanhedrin 11b,ה,Sanhedrin 11b:9,"אמר קרא לשכנו תדרשו ובאת שמה כל דרישה שאתה דורש לא יהיו אלא בשכנו של מקום ת""ר <ה> אין מעברין את השנה אלא"
122,Sanhedrin 11b,ו,Sanhedrin 11b:9,ביום ואם עיברוה בלילה אינה מעוברת <ו> ואין מקדשין את החדש אלא
123,Sanhedrin 11b,ז,Sanhedrin 11b:10,"ביום ת""ר <ז> אין מעברין את השנה"
124,Sanhedrin 12a,א,Sanhedrin 12a:5,"אותה שנה שתתעבר ומפני מה לא עיברה אלישע ששנת בצורת היתה והיו הכל רצין לבית הגרנות ת""ר <א> אין מעברין את השנה לפני"
125,Sanhedrin 12a,ב,Sanhedrin 12a:5,ראש השנה ואם עיברוה אינה מעוברת <ב> אבל מפני הדחק מעברין אותה
126,Sanhedrin 12a,ג,Sanhedrin 12a:9,"ברבי עקיבא שהיה חבוש בבית האסורים ועיבר שלש שנים זו אחר זו אמרו לו משם ראיה <ג> ב""ד ישבו וקבעו אחת אחת"
127,Sanhedrin 12a,ד,Sanhedrin 12a:10,בזמנה תנו רבנן <ד> אין מעברין את השנה לא
128,Sanhedrin 12a,ה,Sanhedrin 12a:10,בשביעית ולא במוצאי שביעית אימתי רגילין לעבר <ה> ערב שביעית של בית רבן
129,Sanhedrin 12a,ו,Sanhedrin 12a:12,ירמיה חוששין לגושיהן איכא בינייהו תנו רבנן <ו> אין מעברין את השנה מפני
130,Sanhedrin 12a,ז,Sanhedrin 12a:13,הטומאה רבי יהודה אומר מעברין אמר רבי יהודה <ז> מעשה בחזקיה מלך יהודה שעיבר
131,Sanhedrin 12b,א,Sanhedrin 12b:2,הטומאה עיברוה מעוברת אלא מפני מה ביקש רחמים על עצמו שאין מעברין אלא אדר <א> והוא עיבר ניסן בניסן ר'
132,Sanhedrin 12b,ב,Sanhedrin 12b:3,אית ליה לרבי יהודה <ב> טומאה דחויה היא בציבור והא
133,Sanhedrin 12b,ג,Sanhedrin 12b:4,תניא ציץ בין שישנו על מצחו ובין שאינו על מצחו מרצה דברי רבי שמעון ר' יהודה אומר <ג> עודו על מצחו מרצה אין
134,Sanhedrin 12b,ד,Sanhedrin 12b:6,השנה מפני הטומאה <ד> ואם עיברוה מעוברת רבי יהודה
135,Sanhedrin 12b,ה,Sanhedrin 12b:8,מפני מה בקש רחמים על עצמו שאין מעברין אלא אדר והוא עיבר ניסן בניסן אמר מר <ה> שאין מעברין אלא אדר והוא
136,Sanhedrin 12b,ו,Sanhedrin 12b:8,עיבר ניסן בניסן ולית ליה לחזקיה החדש הזה לכם זה ניסן ואין אחר ניסן טעה בדשמואל דאמר שמואל <ו> אין מעברין את השנה ביום
137,Sanhedrin 12b,ז,Sanhedrin 12b:11,מעיקרא סבר <ז> נשים בראשון חובה דהוו מיעוטן
138,Sanhedrin 12b,ח,Sanhedrin 12b:12,"את החדש קידשו מאי אמר רבא בטל העיבור רב נחמן אמר <ח> מעובר ומקודש א""ל רבא לרב"
139,Sanhedrin 12b,ט,Sanhedrin 12b:13,נחמן מכדי מפוריא לפיסחא תלתין יומין הוו ומפוריא דרשינן בהלכות הפסח דתניא <ט> שואלין בהלכות הפסח קודם לפסח
140,Sanhedrin 12b,י,Sanhedrin 12b:15,"את השנה אלא א""כ היתה תקופה חסירה רובה של חודש וכמה רובה של חודש <י> ששה עשר יום דברי רבי"
141,Sanhedrin 13b,א,Sanhedrin 13b:2,שמור את חדש האביב <א> שמור אביב של תקופה שיהא
142,Sanhedrin 13b,ב,Sanhedrin 13b:9,"ראש מעולה ור""ש לא גמר ראש ראש מעולה תנא <ב> סמיכה וסמיכת זקנים בג' מאי"
143,Sanhedrin 13b,ג,Sanhedrin 13b:9,"סמיכה ומאי סמיכת זקנים א""ר יוחנן <ג> מיסמך סבי א""ל אביי לרב"
144,Sanhedrin 13b,ד,Sanhedrin 13b:11,אמר ליה <ד> סמכין ליה בשמא קרי ליה
145,Sanhedrin 14a,א,Sanhedrin 14a:5,בחוצה לארץ והא תנן <א> סנהדרין נוהגת בין בארץ ובין
146,Sanhedrin 14a,ב,Sanhedrin 14a:5,בחוצה לארץ אלא <ב> דלא סמכינן בחוצה לארץ פשיטא
147,Sanhedrin 14a,ג,Sanhedrin 14a:7,"לה רבי יונתן בן עכמאי וחד דעימיה ומנו ר""ש בן זירוד חד דהוה גבייהו סמכוהו וחד דלא הוה גבייהו <ג> לא סמכוהו ר' חנינא ורבי"
148,Sanhedrin 14a,ד,Sanhedrin 14a:13,"ושופטיך זקניך שנים שופטיך . שנים ואין ב""ד שקול מוסיפין עליהן עוד אחד <ד> הרי כאן חמשה דברי ר'"
149,Sanhedrin 14a,ה,Sanhedrin 14a:15,רחמנא זקניך ואי כתיב זקניך הוה אמינא סנהדרי קטנה כתב רחמנא ושופטיך <ה> ממיוחדין שבשופטיך ורבי יהודה גמר
150,Sanhedrin 14a,ו,Sanhedrin 14a:17,יהודה הרי תשעה לרבי שמעון שבעה ההוא מיבעי ליה לכדתניא ויצאו <ו> הן ולא שלוחן ומדדו
151,Sanhedrin 14a,ז,Sanhedrin 14a:17,הן ולא שלוחן ומדדו <ז> שאפילו נמצא
152,Sanhedrin 14b,א,Sanhedrin 14b:4,"פגי והמרה עליהן יכול תהא המראתו המראה ת""ל וקמת ועלית אל המקום <א> מלמד שהמקום גורם דנפוק כמה"
153,Sanhedrin 14b,ב,Sanhedrin 14b:5,אילימא מקצתן דילמא הנך דאיכא גואי קיימי כוותיה אלא פשיטא דנפוק כולהו למאי אילימא לדבר הרשות <ב> מי מצו נפקי והכתיב שררך
154,Sanhedrin 14b,ג,Sanhedrin 14b:8,שני שאין דמיו ידועין בשלשה: תנו רבנן <ג> איזהו מעשר שני שאין דמיו
155,Sanhedrin 14b,ד,Sanhedrin 14b:8,ידועין פירות שהרקיבו ויין שהקרים ומעות שהחלידו תנו רבנן <ד> מעשר שני שאין דמיו ידועין
156,Sanhedrin 14b,ה,Sanhedrin 14b:9,שלשה ומטילין לתוך כיס אחד מהו תא שמע <ה> איש ושתי נשיו פודין מעשר
157,Sanhedrin 15a,א,Sanhedrin 15a:3,האי ערכין המטלטלין מטלטלין של ערכין מיבעי ליה תני מטלטלין של ערכין רבי אבהו אמר <א> באומר ערכי עלי בא כהן
158,Sanhedrin 15a,ב,Sanhedrin 15a:8,ישראלים קשיא: ואדם כיוצא בהן: אדם מי קדוש אמר ר' אבהו <ב> באומר דמי עלי דתניא
159,Sanhedrin 15a,ג,Sanhedrin 15a:8,באומר דמי עלי דתניא <ג> האומר דמי עלי שמין אותו
160,Sanhedrin 15a,ד,Sanhedrin 15a:10,"ת""ש <ד> המקדיש את עבדו אין מועלין"
161,Sanhedrin 15a,ה,Sanhedrin 15a:10,"בו רשב""ג אומר מועלין בשערו וקיימא לן <ה> דבשערו העומד ליגזוז פליגי ש""מ"
162,Sanhedrin 15a,ו,Sanhedrin 15a:11,"גפנים טעונות מסרתי לך והלה אומר אינן אלא חמש ר' מאיר מחייב וחכ""א <ו> כל המחובר לקרקע הרי הוא"
163,Sanhedrin 15a,ז,Sanhedrin 15a:12,כקרקע ואמר רבי יוסי בר חנינא בענבים העומדות ליבצר עסקינן מר סבר <ז> כבצורות דמיין ומר סבר לאו
164,Sanhedrin 15a,ח,Sanhedrin 15a:12,כבצורות דמיין לא אפילו תימא ר' מאיר עד כאן לא קאמר רבי מאיר התם כל כמה דשבקה להו מיכחש כחשי <ח> אבל שערו כל כמה דשבקה
165,Sanhedrin 15a,ט,Sanhedrin 15a:13,"להו אשבוחי משבח: דיני נפשות כו': קא פסיק ותני <ט> ל""ש רובע זכר ול""ש רובע"
166,Sanhedrin 15a,י,Sanhedrin 15a:15,בעשרי' ושלשה אף נשכב הוא ובהמתו בעשרים ושלשה: <י> שור הנסקל בעשרים ושלשה: שנא'
167,Sanhedrin 15b,א,Sanhedrin 15b:7,"בר יחזקאל אם בהמה אם איש לא יחיה מה איש בכ""ג אף בהמה בכ""ג: הארי והזאב כו': אמר ר""ל <א> והוא שהמיתו אבל לא המיתו"
168,Sanhedrin 15b,ב,Sanhedrin 15b:7,לא אלמא קסבר <ב> יש להן תרבות ויש להן
