commentary ref,base ref,commentary text match,base text match
Ritva_on_Sukkah.4b.3,Sukkah.4b.4-5,ויש בו הכשר סוכה סבר אביי למימר גוד אסיק מחיצתא,ויש בו הכשר סוכה סבר אביי למימר גוד אסיק מחיצתא
Ritva_on_Sukkah.4b.4,Sukkah.4b.6-7,"א""ל רבא בעינן מחיצות הנכרות","א""ל רבא בעינן מחיצות הניכרות"
Ritva_on_Sukkah.4b.5,Sukkah.4b.8-11,"ת""ר נעץ ד' קונדסין וסכך על גבן ר""י מכשיר וחכמים פוסלי' אמר ר""ה מחלוקת על שפת הגג דר""י סבר גוד אסיק מחיצתא","ת""ר נעץ ארבעה קונדיסין וסיכך על גבן ר' יעקב מכשיר וחכמים פוסלין אמר רב הונא מחלוקת על שפת הגג"
Ritva_on_Sukkah.37a.1,Sukkah.37a.26-27,"רבא אמר לקיחה ע""י ד""א שמה לקיחה",ורבא אמר לקיחה על ידי דבר אחר שמה לקיחה
Ritva_on_Sukkah.30a.1,Sukkah.30a.4,אלא לאחר יאוש אמאי הא קנייה ביאוש,אלא לאחר יאוש הא קנייה ביאוש
Ritva_on_Sukkah.30a.2,Sukkah.30a.30 - 30b.2,"אמר להו רב הונא להנהו אוונכרי פי' ישראלים שלוקחים הדס מן העכו""ם ומוכרים לישראל כי זבינתו אסא מן העכו""ם ליגזזו אינהו וליתבו לכו מ""ט סתם עכו""ם גזלני ארעתא נינהו וקרקע אינה נגזלת פי' ואפי' של עכו""ם הלכך ליגזזו אינהו כי היכי דלהוי יאוש בידא דידהו ושינוי רשות בידא דידכו","אמר להו רב הונא להנהו אוונכרי כי זבניתו אסא מעכו""ם לא תגזזו אתון אלא לגזזוה אינהו ויהבו לכו מאי טעמא סתם עובדי כוכבים גזלני ארעתא נינהו וקרקע אינה נגזלת הלכך לגזזוה אינהו כי היכי דליהוו יאוש בעלים בידייהו דידהו ושינוי הרשות בידייכו"
Ritva_on_Sukkah.3a.1,Sukkah.3a.18-21,"איכא דאמרי אמר רבא דאמר לך מני ב""ש היא ולא תזוז מינה","איכא דאמרי אמר רבי אבא דאמר לך מני א""ל ב""ש היא ולא תזוז מינה"
Ritva_on_Sukkah.3a.2,Sukkah.3a.50 - 3b.4,"מאן תנא להא דת""ר בית שאין בו ד' אמות כו' עד אפי' רבנן עד כאן לא קאמרי רבנן אלא לגבי סוכה דדירת עראי הוא",מאן תנא להא דתנו רבנן בית שאין בו ארבע אמות על ארבע אמות פטור מן המזוזה ומן המעקה ואינו מטמא בנגעים ואינו נחלט בבתי ערי חומה ואין חוזרין עליו מעורכי המלחמה ואין מערבין בו ואין משתתפין בו ואין מניחין בו עירוב ואין עושין אותו עיבור בין שתי עיירות ואין האחין והשותפין חולקין בו לימא רבי היא ולא רבנן אפילו תימא רבנן עד כאן לא קאמרי רבנן התם אלא לענין סוכה דדירת עראי היא
Ritva_on_Sukkah.3a.3,Sukkah.3b.1,ואין עושין אותן עיבור בין שתי עיירות,ואין עושין אותו עיבור בין שתי עיירות
Chidushei_Agadot_on_Kiddushin.2b.1,Kiddushin.2b.17,ותורה איקרי לשון נקבה דכתיב תורת ה' וגו',תורה איקרי לשון נקבה דכתיב תורת ה' תמימה משיבת נפש
Chidushei_Agadot_on_Kiddushin.2b.2,Kiddushin.2b.20,ניתני דברים ונתני שלשה כו',ניתני דברים וניתני שלושה
Chidushei_Agadot_on_Kiddushin.2b.3,Kiddushin.2b.30,משל לאדם שאבדה לו אבידה מי חוזר כו',משל לאדם שאבדה לו אבידה מי חוזר על מי
Chidushei_Agadot_on_Kiddushin.20a.1,Kiddushin.20a.52-53,קשה אבקה של שביעית אדם נושא ונותן בפירות שביעית לסוף כו',בא וראה כמה קשה אבקה של שביעית אדם נושא ונותן בפירות שביעית לסוף מוכר את מטלטליו
Chidushei_Agadot_on_Kiddushin.20a.2,Kiddushin.20a.54,לא באת לידו עד שמוכר כו',לא הרגיש לסוף מוכר
Chidushei_Agadot_on_Kiddushin.20a.3,Kiddushin.20a.63-64,"לא באת לידו עד שמוכר את בתו כו' ואע""ג דבתו לא כתיב בהאי ענינא הא קמ""ל כו'","לא באת לידו עד שמוכר את בתו שנאמר (שמות כא, ז) וכי ימכור איש את בתו לאמה ואע""ג דבתו לא כתיבא בהאי ענינא הא קמ""ל"
Chidushei_Agadot_on_Kiddushin.37a.1,Kiddushin.37a.10,החוקים אלו מדרשות כו',החוקים אלו המדרשות
Chidushei_Agadot_on_Kiddushin.37a.2,Kiddushin.37a.10,והמשפטים אלו הדינין,והמשפטים אלו הדינים
Chidushei_Agadot_on_Kiddushin.38a.1,Kiddushin.38a.17,ממלא שנותיהן של צדיקים מיום ליום ומחודש כו',וממלא שנותיהם של צדיקים מיום ליום ומחדש לחדש
Chidushei_Agadot_on_Kiddushin.43a.1,Kiddushin.43a.36,"מה חרב בני עמון וכו' מ""ט מורד במלכות הוה וכו'",מה חרב בני עמון
Yad_Ramah_on_Sanhedrin.7b.1,Sanhedrin.7a.70 - 7b.1,לעולם יראה דיין עצמו כאלו חרב וגו' שנאמר ששים גבורים כלומר תלמידי חכמים שהיו יושבין עמו בדין שאם יטעה בדין יזכרוהו והיינו דכתיב איש חרבו על ירכו כלומר שרואין עצמן כאלו חרב מונחת להן בין ירכותיהן וכל כך למה מפני פחדה של גיהנם שדומה ללילה,"לעולם יראה דיין עצמו כאילו חרב מונחת לו בין ירכותיו וגיהנם פתוחה לו מתחתיו שנאמר (שיר השירים ג, ז) הנה מטתו שלשלמה ששים גבורים סביב לה מגבורי ישראל כולם אחוזי חרב מלומדי מלחמה איש חרבו על יריכו מפחד בלילות מפחדה של גיהנם שדומה ללילה"
Yad_Ramah_on_Sanhedrin.7b.2,Sanhedrin.7b.3-5,בית דוד דינו לבקר משפט אם ברור לך הדבר הדין שהוא אמת כבוקר,בית דוד כה אמר ה' דינו לבקר משפט והצילו גזול מיד עושק וכי בבקר דנין וכל היום אין דנין אלא אם ברור לך הדבר כבקר
Yad_Ramah_on_Sanhedrin.7b.3,Sanhedrin.7b.7-10,אמר רבי יהושע בן לוי עשרה שיושבין בדין קולר עונש הטיית דין תלוי בצואר כלן שאם הבין אחד מהן שטעו חביריו ושתק נענש ואמרינן פשיטא דכיון דשתיק כמאן דאודי להנך דמי ומפרקינן לא צריכא לתלמיד היושב לפני רבו,אמר ר' יהושע בן לוי עשרה שיושבין בדין קולר תלוי בצואר כולן פשיטא לא צריכא אלא לתלמיד היושב לפני רבו
Yad_Ramah_on_Sanhedrin.22a.1,Sanhedrin.22a.16-27,"ודייקינן לרשב""א דאמר כתב זה לא נשתנה כל עיקר מאי לא כהלין כתבא למיקרי בשלמא לרבי איכא למימר דבכתב אשורי הוה כתיבא וכיון דשכחוהו לא הוו ידעי ליה אלא לר' שמעון מאי איכא למימר אמר רב בגימטריא איכתוב להו כו' בא""ת ב""ש ג""ר ד""ק ה""ץ ו""פ ז""ע ח""ס ט""ן י""מ כ""ל היה לו לכתוב מ""ם כתב אות שבצידה והיינו יו""ד שסמוכה למ""ם וכן היה לו לכתוב נו""ן וכתב במקומה טי""ת שהיא סמוכה לנו""ן וכן אל""ף דמנא היה לו לכתבה הניחה וכתב במקומה תי""ו שסמוכה להאל""ף והיא תי""ו שביט""ת שהיא כנגד אל""ף שבמנא מנא וכן בכל אות ואות. ושמואל אמר ממתו""ס ננקפ""י אאלד""ן. נטל אות אחת מתחילת כל תיבה ותיבה וחברם ועשה מהן תיבה מנא קמא וחזר ונטל אות שניה שבכל תיבה ועשה מהן תיבה שניה מנא תניינא וכן מאות שלישית שבכל תיבה ותיבה והיינו תק""ל וחזר וצירף אות רביעית שבכל תיבה ותיבה כסדר הזה והן ו""ו ופ""א ורי""ש. ולפי שלא היה די באותיות הללו לעשותן תיבה א' בפ""ע כגון מנא מנא תקל שהרי אין צירופן לבדן ממציא ענין חזר וצירף אליהן אות חמישית שבכל תיבה ותיבה כסדר הראשון והן סמ""ך ויו""ד ונו""ן ועשה את ששת האותיות תיבה אחת והיינו ופרסין. ורבי יוחנן אמר אנם אנם כו' כלומר שנכתבו אותיות של כל תיבה ותיבה למפרע הראויה ליכתב אחרונה נכתבה ראשונה והראויה ליכתב סמוך לאחרונה לפניה נכתבה סמוך לראשונה לאחריה וכן כולן למפרע הראויה להיות אחרונה לחבירתה היא נכתבה ראשונה. רב אשי אמר נמא נמא קתל פורסין","לר""ש דאמר כתב זה לא נשתנה מאי לא כהלין כתבא למיקרא אמר רב בגימטריא איכתיב להון יטת יטת אידך פוגחמט מאי פריש להו (דניאל ה, כה) מנא מנא תקל ופרסין מנא מנא אלהא מלכותך (והשלמת לך) תקיל תקילתא במאזניא והשתכחת חסיר (פרסין) פריסת מלכותך ויהיבת למדי ופרס ושמואל אמר ממתוס ננקפי אאלרן ור' יוחנן אמר אנם אנם לקת ניסרפו רב אשי אמר נמא נמא קתל פורסין"
Yad_Ramah_on_Sanhedrin.22a.2,Sanhedrin.22a.28-46,"אין רוכבין על סוסו ואין משתמשין בשרביטו. והמלך דוד זקן וגו' עד וימצאו את אבישג ותהי למלך סוכנת בתר דשחינתיה שחממתו אמרה ליה נסבן מנסב אמר לה אסורת לי שהרי נשאתי שמונה עשרה ושוב איני יכול להוסיף עליהן אמרה ליה חסדיה לגנבא נפשיה בשלמאני נקט מי שגרם לגנב להקרא חסיד מתוך רשעתו עד שהגנב נחשב חסיד כנגדו האיך יחזיק עצמו כאנשי שלום להראות את עצמו שהוא מדקדק במצוה קלה כמצוה חמורה. ואית דגרסי ליה חסריה ברי""ש ומפרשי לה הכי כשהגנב חסר שאינו מוצא מקום לגנוב מחזיק עצמו בענוה כאיש שלום כלומר מפני שזקנת ותשש כחך אתה אומר שאני אסורה לך מיד כעס עליה ולא רצה לישן עמה ותבא בת שבע אל המלך החדרה וקנחה בשלש עשרה מפות יש אומרים קינוח על כל תשמיש ומסתברא דלא שמשה כלל אלא מחמת תאותה פלטה שכבת זרע והוצרכה לקנח עצמה י""ג פעמים וי""ג תיבות שבמקרא זה קא דרשינן. אמר ר' יוחנן בא וראה כמה קשה גירושין שהרי דוד התירו לו להתיחד עם הפנויה אע""פ שגזרו עליו קודם במעשה דתמר ולא התירו לו לגרש","אין רוכבין על סוסו ואין יושבין על כסאו ואין משתמשין בשרביטו ואין רואין אותו כשהוא מסתפר ולא כשהוא ערום ולא כשהוא בבית המרחץ שנאמר (דברים יז, טו) שום תשים עליך מלך שתהא אימתו עליך: גמ׳ אמר רב יעקב א""ר יוחנן אבישג מותרת לשלמה ואסורה לאדניה מותרת לשלמה דמלך היה ומלך משתמש בשרביטו של מלך ואסורה לאדניה דהדיוט הוא אבישג מאי היא דכתיב (מלכים א א, א) והמלך דוד זקן בא בימים וגו' ויאמרו לו עבדיו יבקשו וגו' וכתיב (מלכים א א, ג) ויבקשו נערה יפה וגו' וכתיב (מלכים א א, ד) והנערה יפה עד מאד ותהי למלך סוכנת ותשרתהו אמרה נינסבן אמר לה אסירת לי אמרה ליה חסריה לגנבא נפשיה לשלמא נקיט אמר להו קראו לי לבת שבע וכתיב (מלכים א א, טו) ותבא בת שבע אל המלך החדרה אמר רב יהודה אמר רב באותה שעה קינחה בת שבע בשלש עשרה מפות אמר רב שמן בר אבא בוא וראה כמה קשין גירושין שהרי דוד המלך התירו לו לייחד ולא התירו לו לגרש"
Yad_Ramah_on_Sanhedrin.43b.1,Sanhedrin.43b.6-7,היה רחוק מבית הסקילה כעשר אמות אומרים לו התודה,היה רחוק מבית הסקילה כעשר אמות אומרים לו התודה
Yad_Ramah_on_Sanhedrin.43b.2,Sanhedrin.43b.21,דולטור,דילטור
Yad_Ramah_on_Sanhedrin.43b.3,Sanhedrin.43b.40 - 44a.2,"מאי טעמא לא איענוש ישראל עליה עד השתא. א""ר יוחנן משום רבי אלעזר בר' שמעון שלא ענש את הצדיקים על הנסתרות של עוברי עבירה עד שעברו את הירדן ושמעו ברכות וקללות בהר גריזים ובהר עיבל וקיבלו עליהם ונעשו ערבים זה לזה כדאמרינן במסכת סוטה אפי' לא ידעו זה בזה בעבירות שביד חבירו. כתנאי הנסתרות לה' אלהינו והנגלות לנו ולבנינו עד עולם למה נקוד על לנו ועל בנינו ועל עין שבעד שלא ענש על הנסתרות עד שעברו ישראל את הירדן כלומר שזה שכתוב בנגלות לנו ולבנינו דמשמע דנסתרות אין קולר תלוי בצוארנו אין מדה זו נוהגת אלא עד כלומר עד שיעברו את הירדן והיה לו לנקוד על ה' אלהינו דכתיב גבי נסתרות גופייהו אלא שאין לנקוד על השם דברי ר' יהודה אמר לו ר' יוסי וכי אפשר לומר כן שענש על הנסתרות והלא כבר נאמר עד עולם ואי לאו אפיטורא קאי עד עולם למה לי פשיטא דעונש הנוהג עכשיו יהא נוהג לעולם דמהיכא תיפוק לי דליפסוק אלא לכך נקוד לומר לך כשם שלא ענש את אחרים על הנסתרות לעולם כך לא ענש את אחרים על עונשין שבגלוי עד שעברו את הירדן ונקודות אלו באו למעט כלומר שלא היתה מדה זו של נגלות נוהגת עד עכשיו. וכי תימא עכן מאי טעמא איענוש ישראל עילויה הא נסתרות הוו משום דהוו ידעי ביה אשתו ובניו","מאי טעמא לא איענוש א""ר יוחנן משום ר' אלעזר בר' שמעון לפי שלא ענש על הנסתרות עד שעברו ישראל את הירדן כתנאי (דברים כט, כח) הנסתרות לה' אלהינו והנגלות לנו ולבנינו עד עולם למה נקוד על לנו ולבנינו ועל עי""ן שבעד מלמד שלא ענש על הנסתרות עד שעברו ישראל את הירדן דברי ר' יהודה א""ל ר' נחמיה וכי ענש על הנסתרות לעולם והלא כבר נאמר עד עולם אלא כשם שלא ענש על הנסתרות כך לא ענש על עונשין שבגלוי עד שעברו ישראל את הירדן אלא עכן מאי טעמא איענוש משום דהוו ידעי ביה אשתו ובניו"
Yad_Ramah_on_Sanhedrin.80a.1,Sanhedrin.80a.3-6,"ואוקמ' רבא למתני' הכי שנים שהיו עומדין ויצא חץ מביניהן והרג ואין ידוע מי משניהם זרקו שניהם פטורים ואר""י אפילו אבא חלפתא ביניהם","אלא אמר רבא הכי קאמר שנים שהיו עומדין ויצא חץ מביניהם והרג שניהם פטורין וא""ר יוסי אפילו אבא חלפתא ביניהן"
Yad_Ramah_on_Sanhedrin.80a.2,Sanhedrin.80a.14 - 80b.3,"אמר מר אם עד שלא נגמר דינה ילדה ילדה מותר ומתמהינן ואע""ג דכי נגחה הוה מיעברא והאמר רבא ולד הנוגחת אסור לגבוה קאמר וכגון דנגחה או נרבעה על פי עד אחד או על פי הבעלים וה""ה נמי להדיוט היכא דאיכא [עדים] מאי טעמא היא וולדה נגחה דעובר ירך אמו הילכך אפילו ילדה קודם גמר דין נמי כי היכי דמיחייבינן למקטל' לדילה הכי מחייבינן למקטל' לולד דידה שהרי שניהם נגחו. ומפרקינן אימא אם עד שלא נגמר דינה עיברה וילדה ולדה מותר והוא דעיברה וילדה בין שעת נגיחה לשעת גמר דין דהאי ולד לא הוה בשעת נגיחה כי היכי דלימא איהו נמי נגח ולא בשעת גמר דין כי היכי דלימא חייל עליה איסור הנאה אגב אימיה ואם משנגמר דינה עיברה ולדה אסור. ודייקינן אבבא דסופא דאוקימנא אם משנגמר דינה עיברה ולדה אסור הניחא למ""ד במסכת תמורה זה וזה גורם אסור אלא למ""ד זה וזה גורם מותר הרי ולד זה מן ההיתר ומן האיסור בא שהרי אביו מותר היה ואמאי אסור. אלא אמר רבינא הכי קאמר אם עד שלא נגמר דינה עיברה וילדה ולדה מותר כדאמרן ואם עד שלא נגמר דינה עיברה כיון שהוכר עוברה קודם גמר דין ומשנגמר דינה ילדה ולדה אסור עובר ירך אמו הוא","אמר מר אם עד שלא נגמר דינה ילדה וולדה מותרת ואף על גב דכי נגחה הות מיעברה והאמר רבא ולד הנוגחת אסור היא וולדה נגחו ולד הנרבעת אסור היא וולדה נרבעו אימא אם עד שלא נגמר דינה עיברה וילדה וולדה מותר אם משנגמר דינה עיברה וילדה וולדה אסור הניחא למאן דאמר זה וזה גורם אסור אלא למ""ד זה וזה גורם מותר מאי איכא למימר אלא אמר רבינא אימא אם עד שלא נגמר דינה עיברה וילדה ולדה מותר ואם עד שלא נגמר דינה עיברה ומשנגמר דינה ילדה ולדה אסור עובר ירך אמו הוא"
Ritva_on_Niddah.2a.1,Niddah.2a.2,כל הנשים דיין שעתן,כל הנשים דיין שעתן
Ritva_on_Niddah.2a.2,Niddah.2a.13,"גמרא מ""ט דשמאי",גמ׳ מאי טעמיה דשמאי
Ritva_on_Niddah.15b.1,Niddah.15b.6,בעלה מחשב ימי וסתה,בעלה מחשב ימי וסתה
Ritva_on_Niddah.34a.1,Niddah.34a.3-4,"הא דתנן בדם הנכרית ב""ש מטהרין וב""ה אומרים כרוקה ומימי רגליה","דם עובדת כוכבים ודם טהרה של מצורעת ב""ש מטהרים ובית הלל אומרים כרוקה וכמימי רגליה"
Ritva_on_Niddah.34a.2,Niddah.34a.16,דם דלא שכיח,דמה דלא שכיחא
Ritva_on_Niddah.51a.1,Niddah.51a.10,נהי דהכשר שרץ לא בעי הכשר מים בעי,נהי דהכשר שרץ לא בעיא הכשר מים בעיא
Ritva_on_Niddah.68b.1,Niddah.68b.33-34,ומעיקרא מאי סבר הואיל והוחזק מעין פתוח,ומעיקרא מאי סבר הואיל והוחזק מעין פתוח
