rashei_tevot,expanded,context_before,context_after
עפ,על פי,ומן הצדדים אף,שיודע לכתב
עפ,על פי,כעין אותיות אף,שנקל לעכו"ם
עפ,על פי,כתקונו פסול אף,שהתינוק קורא
עפ,על פי,טפש מכירם שאף,שכתב לפניהם
עפ,על פי,להדיא פרידתן אף,שהתינוק קורא
עפ,על פה,הכתב לא יכתב,שמקרא אותו
והלממ,והלכה למשה מסיני,אלא בקלף כשר,שיכרך
ולרת,ולרבנו תם,בית החיצון לימינו,בבית הג'
אש,אם שמוע,בהם שמע והיה,לא יעשה
פי,פושעי ישראל,מניחם הוא בכלל,בגופן מצותן
קש,קריאת שמע,להיותם עליו בשעת,ותפלה קטן
קש,קריאת שמע,בגוף נקי בשעת,יניח תפלין
קש,קריאת שמע,היום זולת בשעת,ותפלה הגה
קש,קריאת שמע,לעשות מלאכתן בשעת,ותפלה אז
קש,קריאת שמע,היום זולת בשעת,ותפלה לא
ויא,ויש אומרים,שכתבם אפיקורוס ישרפו,יגנזו נמצאו
תשר,תפלין של ראש,על ראשו חולץ,עד
ובבהכ,ובבית הכסא,ואינו נפנה לגדולים,עראי מתר
לבהכ,לבית הכסא,אסור לכנס,קבוע להשתין
לבהכ,לבית הכסא,אדם הולך בשבילם,והפעם הזאת
לבהכ,לבית הכסא,אם רוצה לכנס,קבוע לעשות
לבהכ,לבית הכסא,לבוש בתפלין והצרך,בלילה או
ואחכ,ואחר כך,הסליחות מתפללין הסליחות,מברכין על
ואחכ,ואחר כך,כמה פסוקים ותחנונים,מברכין על
דת,דברי תורה,במצותיו וצונו על,והערב נא
ובהכ,ובית הכסא,הדין לשנה ומרחץ,דלא הוי
עפ,על פה,אתה רשאי לאמרם,כל דבר
קש,קריאת שמע,בפי הכל כגון,וברכת כהנים
בש,ברוך שאמר,אומרים,קדם פסוקי
בש,ברוך שאמר,ונהגו לעמד כשאומרים,ויברך דוד
ויוט,ויום טוב,מזמור לתודה בשבת,או בימי
פסדז,פסוקי דזמרה,ומצא צבור בסוף,אומר ברוך
קש,קריאת שמע,אפלו בדלוג יקרא,וברכותיה עם
וממ,ומכל מקום,של אחריהם הגה,יאמר כל
אאכ,אלא אם כן,אין לומר ישתבח,אמר
אאכ,אלא אם כן,מסלקין חזן מאמנותו,נמצא
בש,ברוך שאמר,אם כן אמר,וקצת פסוקי
השצ,השליח צבור,ג' הגה מיהו,אם לא
השצ,השליח צבור,בבית הכנסת ימתין,עם ישתבח
דממ,דמכל מקום,עשה במזיד לא,יצא עליו
שצ,שליח צבור,אומר,ישתבח מעמד
שצ,שליח צבור,ויאמר ישתבח וקדיש,צריך שיהיה
שצ,שליח צבור,בתשובה מתר להיות,אבל אם
שצ,שליח צבור,הצבור או מפי,הממנה אותו
שצ,שליח צבור,מי שיודע להיות,כי אם
שצ,שליח צבור,מוטב שיהא הוא,משיבטלו מלשמע
שצ,שליח צבור,לו י"ג שנה,שמאריך בתפלה
שצ,שליח צבור,לאמרם על פה,קבוע יורד
שצ,שליח צבור,לו מי שאינו,קבוע צריך
שצ,שליח צבור,כלל אם טעה,וצריכין להעמיד
שצ,שבגדי צבועין,לפני התבה מפני,או מפני
שצ,שליח צבור,מונעים גר מלהיות,ונדחו דבריהם
שצ,שליח צבור,יאמר אין להתמנות,על פי
שצ,שליח צבור,הצבור חפצים בו,בשכר עדיף
שצ,שליח צבור,אחר ברכותיו שכר,פורעים מקפת
שצ,שהשליח צבור,אף על פי,מוציא הדל
שצ,שליח צבור,קודם ואם לאו,קודם אין
שצ,של צדקה,לחזן בין לקפה,בין לשאר
שצ,שליח צבור,בתשובה מתר להיות,אבל אם
שצ,שליח צבור,מי שיודע להיות,כי אם
שצ,שליח צבור,מונעים גר מלהיות,ונדחו דבריהם
לשצ,לשליח צבור,ומי שהוא שונא,לא יעלה
שצ,שליח צבור,אחר ברכותיו שכר,פורעים מקפת
השצ,השליח צבור,כשחוזרין להתפלל יאמר,מקצת פסוקי
השצ,השליח צבור,יפסיק לאחר שאמר,ברכו קדם
פסדז,פסוקי דזמרה,השליח צבור מקצת,ויאמר קדיש
והה,והוא הדין,שהביאו ב' שערות,לקדשה וברכו
והה,והוא הדין,דבריהם לגדולי הפוסקים,דעבד ואשה
והה,והרי היא,נגררת אחר הגדולה,כאלו היא
לקש,לקריאת שמע,שלאחריו לא שיך,וברכותיה יש
עי,על ידי,מצטרפין הגה ואפלו,חמש שבידו
עי,עמהם יכול,אפלו מי שאינו,לענות ויש
שצ,שליח צבור,אין מצטרפין היה,בקטנה וצבור
שצ,שליח צבור,אבל אם היה,בגדולה וצבור
שצ,שליח צבור,בעזרה אינם מצטרפין,בתבה וט'
ויא,ויום אחד,שיהיה בן י"ג,ושנת העבור
ויא,ושנת י"ג אינה,שני באחד בו,מעברת
ויא,ויש אומרים,עמהם יכול לענות,שצריך שלא
יא,יכלו אבל,נאמר ועוזבי ה',אם נשארו
יא,ישן אפלו,עמהם או שהוא,הכי מצטרף
יא,י"ג אינה,באחד בו ושנת,מעברת אותו
יא,י' אבל,לכל דבר שצריך,מתר להתפלל
יא,י" א,במקומו ואם הם,ורוצים לצאת
שצ,שליח צבור,אומר,ברכו את
שצ,שליח צבור,לעולם ועד וחוזר,ואומר ברוך
קש,קריאת שמע,זמן,של שחרית
במע,במעריב ערבים,על פי שהפסיק,יש אומרים
השצ,השליח צבור,וערבית אומר עם,בנחת הגה
שצ,שליח צבור,ויענה אמן אחר,ומיהו אם
משצ,משליח צבור,אמרה רק שמעה,יצא דברכות
סא,ס"א אם,ועין לקמן סי',טעה בברכת
שצ,שליח צבור,של אדם מסים,ה' אלהיכם
אמנ,אל מלך נאמן,שמע ביחיד יאמר,שמע
אמנ,אל מלך נאמן,הצבור לא יאמר,רק
בפ,ב' פעמים,אסור לומר שמע,בין שכופל
בפ,בקריאת פסוק,ידיהם על פניהם,ראשון כדי
בפ,ב' פעמים,אסור לומר שמע,בין שכופל
בפ,ב' פעמים,פסוק ראשון הגה,האומרים באשמרת
בפ,ב' פעמים,כפור בתפלת נעילה,פסוק שמע
בפ,ב' פעמים,על שום ברכה,אמן אחר
בשכמלו,ברוך שם כבוד מלכותו לעולם ועד,ראשון צריך לומר,
ויא,ויש אומרים,מחמת אנס הגה,דאם היה
קש,קריאת שמע,סימן ק"ד קרא,ונכנס לבית
קש,קריאת שמע,קורא עמהם קרא,ונכנס לבית
קש,קריאת שמע,ומצא צבור שקורין,צריך לקרות
קש,קריאת שמע,ומצא צבור שקוראין,טוב שיקרא
וכש,וכל שכן,גדול ממנו בחכמה,מלך או
וכש,ויתפלל כדי שיסמך,ויציב ונכון כו',גאלה
המ,הני מילי,וכן עקר ולכל,פוסקים מכל שכן
ויא,ויש אומרים,ויברך עליהם הגה,שלא יברך
ויא,ויש אומרים,יתברך וישתבח וכו',דאמן שעונין
ויא,ויש אומרים,דהוי הפסק הגה,דעונין אמן
ויא,ויש אומרים,אחר תפלה הגה,שקדם גאל
השצ,השליח צבור,נוהגין לענות אחר,אמן אבל
בשח,בשירה חדשה,וכיצד עושה ממתין,כדי לענות
קש,קריאת שמע,ספק אם קרא,חוזר וקורא
כז,כל זמן,אסור להפסיק ולעסק,שהצבור אומר
מקש,מקריאת שמע,נשים ועבדים פטורים,מפני שהוא
מקש,מקריאת שמע,את הבתולה פטור,ג' ימים
לרת,לרבנו תם,ראשון קטנים פטורים,כשלא הגיעו
מקש,מקריאת שמע,נשים ועבדים פטורים,מפני שהוא
מקש,מקריאת שמע,את הבתולה פטור,ג' ימים
קש,קריאת שמע,אם שכור יקרא,היה עוסק
ואחכ,ואחר כך,בדין להרמב"ם גומר,קורא קריאת
קש,קריאת שמע,שס"ה אסור לקרות,תוך ד'
בבהק,בבית הקברות,של מת או,ואם קרא
בש,ב' שערות,לתינקת אם הביאו,אסור בלא
אעפ,אף על פי,כשהן לבושות החלוק,שאינם
אעפ,אף על פי,לכסותו ממתניו ולמטה,שממתניו
אחכ,אחר כך,להסתפק בצואה ומצאה,צריך לחזר
אצ,את צאתך,רחמנא דכתיב וכסית,והא מתכסיא
אצ,אם צואה,לא בטלה ספק,בבית מתר
אצ,אם צואה,בה צואה ספק,באשפה אסור
אצ,אין צריך,ראוי להסתפק בו,לחזר ולקרות
אצ,אין צריך,במקום שראוי להסתפק,לחזר ולקרות
אצ,את צאתך,רחמנא דכתיב וכסית,והא מתכסיא
אצ,אם צואה,לא בטלה ספק,בבית מתר
אצ,אם צואה,בה צואה ספק,באשפה אסור
אצ,אין צריך,ראוי להסתפק בו,לחזר ולקרות
אצ,אין צריך,במקום שראוי להסתפק,לחזר ולקרות
עג,על גבי,מתר ולא שנא,קרקע לא
בדת,בדברי תורה,יצא מחברו מתר,משום דאי
קש,קריאת שמע,השנה אבל לקרות,אסור עד
קש,קריאת שמע,מוטב שיעבר זמן,ותפלה ולא
קש,קריאת שמע,כל שכן לקרות,בני אדם
קש,קריאת שמע,עליו מתר לקרות,כנגדו כיון
שש,שאלת שלום,שם ערמים אפלו,אסור ואסור
בדת,בדברי תורה,ס"ה אפלו להרהר,אסור בבית
בדת,בדברי תורה,ובמקום שמתר להרהר,מתר לפסק
בבהכ,בבית הכסא,בדברי תורה אסור,ובבית המרחץ
ואחכ,ואחר כך,אצל נשותיהן כתרנגולין,בטלו אותה
עג,על גבי,לא יעמד לא,מטה ולא
עג,על גבי,גבי מטה ולא,כסא ולא
עג,על גבי,גבי כסא ולא,ספסל ואפלו
עג,על גבי,גבוהין ג' ולא,מקום גבוה
בה,בית הכנסת,תפלין או שיש,אחר בעיר
אעפכ,אף על פי כן,והוא מתפלל ביחיד,
דא,ד' אמות,ג' ויש בו,על ד'
דא,ד' אמות,ד' אמות על,הרי הוא
דא,דהא אינו,צריך לירד להתפלל,משעבד למלאכה
דא,ד' אבל,שגבהו י' ורחבו,דבר קטן
דא,ד' אמות,להקל אם הרחיק,מתר ועין
דא,ד' אמות,או יהלך לפניו,או לצדדיו
ביוד,ביורה דעה,אמות מתר ועין,סימן רמ"ב
בדת,בדברי תורה,לנקביו אסור אפלו,כל זמן
קש,קריאת שמע,יפסיק ואם בשעת,וברכותיה נתעורר
בלאה,בלאו הכי,בל תשקצו אבל,יותר טוב
בחל,בחוץ לארץ,אם היה עומד,יחזיר פניו
בחל,בחוץ לארץ;,ישראל אם הוא,ולירושלים אם
אי,ארץ ישראל,יחזיר פניו כנגד,ויכון גם
ואל,ואם לאו,יוכל לעמד עומד;,יושב במקומו
אא,אי אפשר,לו לרק; ואם,לו שלא
אא,אי אפשר,זורקו לאחוריו ואם,לזרקו לאחוריו
אא,אבל אם,למשמש בו ולהחזירו,נפל כלו
וכשכ,וכל שכן,אבל לא לימינו;,לפניו דאסור
עג,על גבי,ד' קבין מניחם,קרקע ומתפלל
קש,קריאת שמע,שוגג הגה ודין,כדין תפלה
רח,ראש חדש,של מועדות ושל,צריך להסדיר
עפ,על פה,אומרים דוקא כשמתפללים,אבל כשמתפללין
בלהק,בלשון הקדש;,לא יתפלל אלא,ויש אומרים
דא,ד' אמות,אסור לישב בתוך,של מתפלל;
דא,ד' אמות,כנגד המתפללים בתוך,ודוקא לפניהם
אא,אי אפשר,יפסיק בדבור ואם,לו יפסיק
מקש,מקריאת שמע,כל הפטורים,פטורים מתפלה
מקש,מקריאת שמע,על פי שפטורים,חיבים בתפלה
מע,מצות עשה,בתפלה מפני שהיא,שלא הזמן
לקש,לקריאת שמע,רשב"י וחבריו מפסיק,ולא לתפלה;
לקש,לקריאת שמע,אנו מפסיקים בין,בין לתפלה
ואצ,ואינו צריך,יתפלל אותה נדבה,חדוש אם
ואצ,ואינו צריך,אותה בתורת נדבה,לחדש בה
והה,והוא הדין,והשניה לתשלומין הגה,אם לא
והה,והוא הדין,לחדש בה דבר;,אם לא
רח,ראש חדש,חדש מתפלל של,שתים; ואם
רח,ראש חדש,ויבא במנחה של,הטועה ומזכיר
שצ,שליח צבור,ולגמר קדם שיגיע,לקדשה או
שצ,שליח צבור,ולגמר קדם שיגיע,למודים יתפלל
שצ,שליח צבור,ששוחים בהם כשיגיע,למודים יתפלל;
שצ,שליח צבור,ונזדמן לו שמגיע,למודים כשהוא
שצ,שליח צבור,מתחיל להתפלל עם,כשיגיע עם
שצ,שליח צבור,צבור כשיגיע עם,לנקדישך יאמר
שצ,שליח צבור,וגם יכון כשיגיע,למודים יגיע
והה,והוא הדין,או לקדיש יתפלל,אמן דהאל
והה,והוא הדין,לאו אל יתפלל;,אם יכול
והה,והאל הקדוש,אחר שאמר קדשה,אלא שאם
שצ,שליח צבור,ולגמר קדם שיגיע,לקדשה או
שצ,שליח צבור,ולגמר קדם שיגיע,למודים יתפלל
שצ,שליח צבור,ששוחים בהם כשיגיע,למודים יתפלל;
שצ,שליח צבור,ונזדמן לו שמגיע,למודים כשהוא
שצ,שליח צבור,מתחיל להתפלל עם,כשיגיע עם
שצ,שליח צבור,צבור כשיגיע עם,לנקדישך יאמר
שצ,שליח צבור,וגם יכון כשיגיע,למודים יגיע
אצ,אין צריך,מעמד; וכשיגיע לביתו,לחזר ולהתפלל
אצ,אין צריך,ואם היה רוכב,לירד אין
אצ,אין צריך,אין צריך לירד,לומר אותה
ירמ,יהי רצון מלפניך,היוצא לדרך יתפלל,ה'
ירמ,יהי רצון מלפניך,לבית המדרש יתפלל,ה'
קש,קריאת שמע,עד שלא קרא,מצא צבור
קש,קריאת שמע,עמהם אלא קורא,ואחר כך
אעפ,אף על פי,בו לא ישחה,שלבו
ויא,ויש אומרים,שיכריז שליח צבור,שקדם שמתחילין
ויא,ויזכיר אף,התחילו להתפלל יתפלל,על פי
ויא,וכו' יש אומרים,להושיע מכלכל חיים,ששליח
אעפ,אף על פי,שהכריז שליח צבור,שהוא
אעפ,אף על פי,להתפלל יתפלל ויזכיר,שהוא
ובאי,ובארץ ישראל,הוא בכלל הס',מתחילין לשאל
בשת,בשומע תפלה,בברכת השנים אלא,ואפלו עיר
בשת,בשומע תפלה,מחזירין אותו ושואל,ואם היה
בשת,בשומע תפלה,מחזירין אותו ושואל,ואם היה
אצ,אוהב צדקה,חותם בה מלך,ומשפט; ומראש
אצ,אוהב צדקה,אם אמר מלך,ומשפט אין
אצ,אין צריך,אוהב צדקה ומשפט,לחזר ולא
אצ,אוהב צדקה,השנה אומרים האל,ומשפט
בשת,בשומע תפלה,אלא יאמר עננו,כיחיד
אצ,אין צרך,התפלה בקול רם,לחזר לפסע
ואצ,ואינו צריך,בקול רם לצבור,לחזר ולהתפלל
אעפכ,אף על פי כן,וכלם בקיאים בתפלה,
בה,בלחש הגה,צריך לחזר ולהתפלל,וכן אם
בה,בבית הכנסת,אם היה מנין,אין להמתין
בה,ברוך הוא,בכל מקום אומר,וברוך שמו
ובש,וברוך שמו,אומר ברוך הוא,ויענו אמן
בה,בו הגה,עונו מנשוא וגוערים,וילמד בניו
בה,בניו הקטנים,בו הגה וילמד,שיענו אמן
בה,באמצע המלה,גם לא יפסיק,; ולא
בה,בעוד האדם,צבור מוציאו אם,מתפלל סים
אעפ,אף על פי,וכלם בקיאים בתפלה,כן
אעפ,אף על פי,וזה אינו שומעה,שיודע
אעפ,אף על פי,ששכח ולא הזכיר,שהוא
אצ,אין צריך,שמאריכין יותר מדאי,המברך להמתין
שצ,שליח צבור,חדש שאם שכח,ולא הזכיר
יעוי,יעלה ויבא,צבור ולא הזכיר,עד שהשלים
ברח,בראש חדש,טוב דינו כמו,והכי נהוג
שצ,שליח צבור,שם כהנים אומר,אלהינו ואלהי
בלאה,בלאו הכי,אלהינו כו' אבל,מתחילין שלום
אל,אמרו לו,כהנים או אם,לעלות או
אעפ,אף על פי,אינו עולה לדוכן,שבטל
אעפ,אם עלה פעם,או לטל ידיו,אחת
אעפ,אף על פי,להקל בקצת מקומות,שנטלו
אעפ,אף על פי,שראוי להתמלאות זקנו,שלא
אעפ,אף על פי,שתה יותר מרביעית,שהוא
אעפ,אף על פי,המונעים נשיאת כפים,שאינו
אעפ,אף על פי,במדינות אלו כהן,שהוא
אעפ,אף על פי,ונהגו שנושא כפיו,שאינו
שצ,שליח צבור,לנשיאת כפים כשמתחיל,רצה כל
שצ,שליח צבור,ואחר כך מתחיל,שים שלום
שצ,שליח צבור,פניהם עד שיתחיל,שים שלום;
שצ,שליח צבור,שם עד שיסים,רצה שפיר
שצ,שליח צבור,זו עד שיסים,שים שלום
שצ,שליח צבור,משם עד שיסים,שים שלום;
ואחכ,ואחוריהם כלפי,פניהם כלפי ההיכל,העם ואצבעותיהם
ואחכ,ואחר כך,בכל מדינות אלו,מקרא אותם
ואחכ,ואחר כך,כפים; ובקול רם,מתחיל שליח
ואחכ,ואחר כך,כהן שנשא כפיו,הלך לבית
אל,אמרו לו,ידיו אבל אם,צריך לעלות
עכ,עם כהנים,לשא כפיו אפלו,אחרים כל
עכ,עלה כשהכהנים,אפלו אמרו לו,אינם רוצים
עכ,על כל,והם עונים אחריו,מלה עד
עכ,עיניהם כלפי,דעתם אלא יהיו,מטה כמו
עכ,על כן,לא יסתכלו בידיהם;,נהגו לשלשל
עכ,עצמו כלל;,נושא כפיו בפני,אבל עם
עכ,עם כהנים,עצמו כלל; אבל,שהם גדולים
ויא,ולא יאמר אלהינו,צבור כהנים הגה,ואלהי
ויא,ויש אומרים,אלהינו ואלהי וכו';,שאומרים אותו
ויא,ויש אומרים,לומר יברכך הגה,שגם מלת
ויא,ויקרא אותם,אצלו ויקרא כהנים,והחזן עומד
ויא,ויש אומרים,עשה תשובה הגה,דאם עשה
ויא,ויש אומרים,ישא את כפיו;,שאם עשה
ויא,ויש אומרים,שקורא כהנים הגה,דכל זמן
ויא,ויש אומרים,את כפיו הגה,דאינו נושא
ויא,וישמרך; אליך;,לדרום ולצפון יברכך;,לך; שלום
ויא,ולא יאמר אלהינו,צבור כהנים הגה,ואלהי
ויא,ויש אומרים,אלהינו ואלהי וכו';,שאומרים אותו
ויא,ויש אומרים,לומר יברכך הגה,שגם מלת
ויא,ויקרא אותם,אצלו ויקרא כהנים,והחזן עומד
ויא,ויש אומרים,עשה תשובה הגה,דאם עשה
ויא,ויש אומרים,ישא את כפיו;,שאם עשה
ויא,ויש אומרים,שקורא כהנים הגה,דכל זמן
ויא,ויש אומרים,את כפיו הגה,דאינו נושא
ויא,וישמרך; אליך;,לדרום ולצפון יברכך;,לך; שלום
לדה,לדברי הכל,עקר; ואם נאנס,נושא כפיו
אעפ,אף על פי,אינו עולה לדוכן,שבטל
אעפ,אם עלה פעם,או לטל ידיו,אחת
אעפ,אף על פי,להקל בקצת מקומות,שנטלו
אעפ,אף על פי,שראוי להתמלאות זקנו,שלא
אעפ,אף על פי,שתה יותר מרביעית,שהוא
אעפ,אף על פי,המונעים נשיאת כפים,שאינו
אעפ,אף על פי,במדינות אלו כהן,שהוא
אעפ,אף על פי,ונהגו שנושא כפיו,שאינו
אעפ,אף על פי,אינו עולה לדוכן,שבטל
אעפ,אם עלה פעם,או לטל ידיו,אחת
אעפ,אף על פי,להקל בקצת מקומות,שנטלו
אעפ,אף על פי,שראוי להתמלאות זקנו,שלא
אעפ,אף על פי,שתה יותר מרביעית,שהוא
אעפ,אף על פי,המונעים נשיאת כפים,שאינו
אעפ,אף על פי,במדינות אלו כהן,שהוא
אעפ,אף על פי,ונהגו שנושא כפיו,שאינו
ביוט,ביום טוב,נושאים כפים אלא,משום שאז
יוט,יום טוב,שאז שרויים בשמחת,וטוב לב
כז,כל זה,עולין לדוכן יאמר,בשעה שהשליח
וסת,וספר תורה,במקום שיש ארון,בתוכו אבל
אעפ,אף על פי,המילה בבית הכנסת,שהיא
אעפ,אף על פי,התינוק אבל במנחה,שמתפללין
בנ,בן נון,בטוח שיענה כיהושע,הגה וכן
סת,ספר תורה,מראה פני כתיבת,לעם העומדים
השצ,השליח צבור,כשמוציאין אותו אומר,גדלו והקהל
ויוט,ויום טוב,בשבת,ויום הכפורים
תח,תלמידי חכמים,קורים אחר לוי,הממנין על
תח,תלמידי חכמים,על הצבור ואחריהם,הראוים למנותם
תח,תלמידי חכמים,ואחר כך בני,שאבותיהם ממנים
ואחכ,ואחר כך,פרנסים על הצבור,בני תלמידי
ואחכ,ואחר כך,ממנים על הצבור,ראשי כנסיות
סת,ספר תורה,הגר בתוכם וגלל,חוזר ופותח
ואחכ,ואחר כך,שצריך להתחיל בו,יברך; ולאחר
אעפ,אף על פי,הצבור את המברך,ששמעו
אבב,אשר בחר בנו,נפטר מלברך ברכת,דלא
בסת,בספר תורה,בתורה צריך לאחז,בשעת ברכה
בזהז,בזמן הזה,בתחלה הגה ואפלו,ששליח צבור
ויא,ויש אומרים,צריך לחזר ולברך,שצריך
אאכ,אלא אם כן,או לעמוד אסור,הוא
ושצ,ושליח צבור,אלא העולה קורא,שותק או
שצ,שליח צבור,צבור שותק או,קורא והעולה
שצ,שליח צבור,אומרה העולה אם,רוצה לברך
השצ,השליח צבור,הוא לקרות עם,כדי שלא
עי,על ידי,שכשם שנתנה תורה,סרסור כך
עי,על ידי,צריכים לנהג בה,סרסור אין
עי,על ידי,צריכים לנהג בה,סרסור אין
סת,ספרי תורה,לאדם אחד בשני,משום פגמו
בדת,בדברי תורה,אסור לספר אפלו,אפלו בין
אצ,אין צריך,כמו בספר תורה,לעמד מעמד
סת,ספר תורה,אסור לאחז,ערם בלא
סת,ספר תורה,שיך לחזנים הגולל,יעמידנו כנגד
סת,ספר תורה,יקרע התפר הגולל,גולל מבחוץ;
סת,ספר תורה,כשכורכו במטפחת הגולל,בתוך התיק
סת,ספר תורה,שיש בו ב',לא יפתחו
לסת,לספר תורה,ואין לעשות מפות,מדברים ישנים
דכז,דכל זה,תורה ; ונראה,מירי כשאחד
הסת,הספר תורה,עד שיגמרו לגלל,כדי שלא
השצ,השליח צבור,וישמעו כלם וכשמתפלל,פניו כלפי
ויא,ויש אומרים,ולשתות בהם מדחק,דבבית המדרש
ויא,ויש אוסרים,במקלו ובתרמילו ובאפונדתו,לכנס בו
ואחכ,ואחר כך,יאמר דבר שמועה,יקראנו כדי
ואחכ,ואחר כך,או ישהה מעט,יצא שהישיבה
ואחכ,ואחר כך,בונים אחר תחלה,סותרים הישן
אכ,אם כן,מבית הכנסת אלא,עושה על
סת,ספר תורה,או מטפחת או,ורצו לשנותן
סת,ספר תורה;,בית הכנסת או,ודוקא מהאתנן
סת,ספר תורה,דברים שבקדשה ואפלו,להספקת תלמידים
סת,ספר תורה,דיחיד בשלו אפלו,מתר למכרו
סת,ספר תורה,מתר להשאיל אפלו,לקרות בה
אאכ,אלא אם כן,משלהם אינו נמכר,תלו
אאכ,אלא אם כן,ויש מי שאוסר,ללמד
אאכ,אלא אם כן,הוא עומד וצווח,יש
אאכ,אסר אינו כלום,ולא מהספרים; ואם,מי
אאכ,אלא אם כן,אינו יכול לאסרה,יאסרנה
אאכ,אבל אם כשנתנוה,לאחר אבד זכותו;,לשני
והה,והוא הדין,שלא מדעת פרנסיהם,אם מכרו
והה,והוא הדין,שירצה בהסכמת הצבור;,לכל דברי
והה,והתקינו הכל,ואת הקורות ופסלום,לבנין מוכרים
והה,ונתנו הקהל המצוה,אנס או עני,לאחר
סת,ספר תורה,דיחיד בשלו אפלו,מתר למכרו
סת,ספר תורה,מתר להשאיל אפלו,לקרות בה
עי,על ידי,או להשאילן אפלו,ז' טובי
זטה,ז' טובי העיר,אפלו על ידי,שעדין
סת,ספר תורה,דיחיד בשלו אפלו,מתר למכרו
סת,ספר תורה,מתר להשאיל אפלו,לקרות בה
לדמ,לדבר מצוה,וקורות לא ימכרום,אלא לפדיון
סת,ספר תורה,או מטפחת או,ורצו לשנותן
סת,ספר תורה;,בית הכנסת או,ודוקא מהאתנן
סת,ספר תורה,וארגז שנותנין בו,או חמש
סת,ספר תורה,לכבס מטפחות של,במי רגלים
סת,ספר תורה,וארגז שנותנין בו,או חמש
סת,ספר תורה,וכסא שנותנין עליו,ווילון שתולין
סת,ספר תורה,לכבס מטפחות של,במי רגלים
סת,ספר תורה,מפני הכבוד מטפחות,שבלו יכולים
סת,ספר תורה,וזו היא גניזתן,שבלה מניחין
סת,ספר תורה,הכנסת ומעילים של,וכתבו הטעם
סת,ספר תורה,התנו דמי המתנדבים,ומניחים מטפחות
סת,ספר תורה,הנוהגים להניח עטרות,בראש הקורא
סת,ספר תורה,בני כרך שקנו,והתנו שאם
ואעג,ואף על גב,אדם לידי תקלה,דלא
בד,בית דין,עכשו משום לב,מתנה עליהם
אעפ,אף על פי,רחבה של עיר,שמתפללין
אעפ,אף על פי,בבית הכנסת הגה,שמתרים
בביהכנ,בבית הכנסת,מאוס אסור להדליקו,של
אפה,או פת הבאה,כגון לחמניות דקות,בכסנין
אפה,אפלו הכי,הירק או הפרי,יטל בלא
הז,הרי זה,הנוטל ידיו לפרות,מגסי הרוח
מנטי,מנטילת ידים,לו מים פטור,צריך לזהר
אחכ,אחר כך,אחר נגוב מברך,וינגבם היטב
עי,על ידו,שאין המים באים,מהכלי; אבל
עי,על ידי,מים; ומכל מקום,הדחק מתרים
עי,על ידי,משתמשין בו אלא,סמיכה חשוב
עי,על ידי,ומתחלה נעשה לקבל,כך לא
עי,על ידיו,והסירה וקבל המים,חשיב שפיר
עי,על ידו,בידו אחת ויתן,השנית לפי
עי,על ידי,ומתחלה נעשה לקבל,כך לא
