Phrase,Freq,,Alternate #1,Alternate #2,Alternate #3,Alternate #4,Alternate #5,Alternate #6,Alternate #7,Alternate #8,Alternate #9,Alternate #10,Alternate #11,Alternate #12,Alternate #13,Alternate #14,Alternate #15,Alternate #16,Alternate #17,Alternate #18,Alternate #19,Alternate #20,Alternate #21,Alternate #22,Alternate #23,,,,,,,,,,,,,,,,,,,,,,,,
"בש""נ",44,|,בשמות_נשים (285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אע""פ",73086,|,אף_על_פי (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לר""ב",41,|,לרב (234),לדברי_רבינו (520),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וז""ל",71859,|,וזה_לשונו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ועונ""ב",6,|,ועונה_בינונית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"י""ל",73758,|,יש_לומר (4),יש_לדון (9),יש_להסתפק (61),יש_לספק (65),יש_לפקפק (70),יש_ליישב (101),יש_לישב (140),יש_לפרש (285),יקשה_לכאורה (651),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כבכ""פ",136,|,כבולעו_כך_פולטו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פי',77743,|,פירוש (2),פירש (5),פירושו (8),פירשו (10),פירושה (28),פירשה (75),פירשתי (135),פירשנו (872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ולמע""ט",16,|,ולמעשים_טובים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דמע""י",21,|,דמקום_עיגון (373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אחרית',42,|,אחריתא (1),אחריתי (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ס""ל",67392,|,סבירא_להו (5),סבירא_ליה (8),סבר_ליה (112),סברי_להו (187),סבירא_לה (482),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובס""פ",141,|,ובסוף_פרק (7),ובסנהדרין_פרק (80),ובספרי_פרשת (540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מהנ',21,|,מהניכרין (604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כפ""ר",9,|,כפסיק_רישיה (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דס""ל",59921,|,דסבירא_ליה (4),דסבירא_להו (11),דסבירי_להו (33),דיש_סברא_לומר (164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מגורש',137,|,מגורשת (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבי""ת",43,|,דאית_ביה_תלת (131),דקורת_בית (168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הקב""ה",55601,|,הקדוש_ברוך_הוא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שנותני',130,|,שנותנים (0),שנותנין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מהשות',21,|,מהשותפים (1),מהשותפין (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מ""ש",58868,|,מה_שהשיב (2),מה_שנפסק (10),ממה_שמביא (19),מה_שמזכיר (22),מה_שנתעורר (25),מה_שהעירות (136),מה_שפלפלת (250),מצאתי_שאלה (395),מדגיש_שם (413),מה_שאמרת (444),ממה_שמובא (469),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בכ""כ",41,|,בסך_כך (7),בכדי_כל (742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תופס',13,|,תופס (458),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כרשב""י",134,|,כרבי_שמעון_בר_יוחאי (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואי""צ",42,|,ולכן_אין_צריך (8),ותו_אין_צריך (45),ושוב_אינה_צריכה (59),ובזה_אין_צריך (119),ואז_אין_צריך (122),וזה_אין_צריך (194),ואז_אינו_צריך (212),ודאי_אינה_צריכה (227),ואין_צריכים (279),והאשה_אינה_צריכה (667),וגם_אין_צורך (870),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אע""ג",51866,|,אף_על_גב (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מקורביי""ל",21,|,מקורבייל (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשמועי',132,|,אשמועינן (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוכח',41,|,מוכחא (0),מוכחי (158),מוכחו (232),מוכחת (257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואח""כ",48182,|,ואחר_כך (0),ואחר_כן (8),ואחרי_כן (18),ואם_אחר_כך (50),ורק_אחר_כך (493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"י""צו",21,|,ישמרם_צורם (200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"התו""י",137,|,התוספתא_וירושלמי (616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ר""ל",49637,|,רוצה_לומר (0),רצה_לומר (20),רבא_להדיא (454),רבי_לוי (501),רק_לזה (934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מבע""ל",137,|,מבעיא_ליה (2),מבעי_ליה (4),מבעיא_לן (84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לסוגי',42,|,לסוגיא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"משא""כ",49394,|,מה_שאין_כן (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ריב""ק",136,|,רבי_יהושע_בן_קרחה (196),רבינו_יהודה_בר_קלונימוס (725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"יסו""ד",43,|,יסוד_דאבא (364),יסוד_דנוקבא (487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לגירס',21,|,לגירסת (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בדמי',134,|,בדמים (0),בדמיה (1),בדמיהן (2),בדמיו (3),בדמיהם (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מצאת',28,|,מצאתיה (499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בסי',47040,|,בסימן (0),בסי (123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דהר',135,|,דהרב (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שכתוב',21,|,שכתובה (0),שכתובת (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בההי',130,|,בההיא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"של""פ",45,|,שלא_פליגי (9),שלא_פלוג (552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ובז',136,|,ובזכותו (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נקבי',41,|,נקבים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ע""ז",45974,|,עבור_זה (54),עצה_זו (131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ממיל',131,|,ממילא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבדר',21,|,דבדרשא (323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכמ""ש",46725,|,וכמו_שכתב (4),וכמו_שהאריך (22),וכמו_שביאר (33),וכמו_שפסק (40),וכמו_שכתבו (44),וכמו_שהקשה (49),וכמו_שפירש (81),וכמו_שדייק (109),וכמו_שכתבתי (122),וכמו_שהארכתי (133),וכמו_שכתבנו (138),וכמו_שהבאתי (141),וכמו_שסיים (149),וכמו_שהקשו (157),וכעין_מה_שכתב (162),וכמו_שהוכיח (166),וכמבואר_שם (194),וכמו_שחילק (220),וכמו_שנתבאר (233),וכמה_שכתב (241),וכמו_שהסביר (247),ודלא_כמו_שכתב (267),וכן_מצאתי_שכתב (297),וכמו_שיתבאר (307),וכמו_שהובא (308),וכמו_שמפורש (348),וכמו_שביארתי (474),וכמו_שהאריכו (516),ולא_כמו_שכתב (557),וכמו_שאבאר (564),ולא_כמו_שהבין (603),וכמו_שהארכנו (610),וכמו_שהבינו (613),וכמשמעות (859),וכמו_שאכתוב (867),וכן_משמעות (895),וכמו_שאפרש (934),ודלא_כמו_שפסק (991),ודלא_כמו_שפירש (998),,,,,,,,
נזהרי',42,|,נזהרים (0),נזהרין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ב""ד",44013,|,בית_דין (0),בעל_דין (10),בית_דינו (37),בעל_דבר (75),בעל_דינו (87),בתי_דין (561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכ""כ",49780,|,וכן_כתב (1),וכך_כתב (11),וכן_כתבו (30),וכבר_כתב (42),וכבר_כתב_כן (104),וכך_כתבו (339),וכבר_כתבו (371),וכן_כתבתי (418),וכן_כתבו_כל (723),וכמו_כן_כתבו (732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוסרי',132,|,אוסרין (0),אוסרים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתו""ע",43,|,בתורת_עדות (2),בתור_עד (837),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כנ""ל",54423,|,כך_נראה_לכאורה (636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ו""ק",41,|,ויצא_קנג (884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תוס',46267,|,תוספות (5),תוסי (415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כדרכ',21,|,כדרכה (0),כדרכנו (986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מכ""ל",10,|,מניה_כלהו (827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"א""ל",41978,|,אמר_ליה (0),אמר_לו (1),אמר_להן (3),אמר_להם (6),אמרו_לו (10),אמר_לה (14),אמר_לך (21),אמרה_לו (24),אמר_להו (25),אמרו_ליה (29),אמרי_ליה (33),אמרו_לפניו (116),אמר_לבן (151),אמר_לישראל (197),אמרו_לה (218),אמר_לאחד (380),אמרי_לך (473),אבל_לעולם (641),אמר_לכו (664),אמר_לוקח (775),אמרתי_לך (810),אלא_לאו (866),אמרינן_לה (971),,,,,,,,,,,,,,,,,,,,,,,,
"דא""ס",9,|,דאסתכלותא (18),דאיהו_סטר (605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מצ""ע",133,|,מצד_עצמו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכשהקב""ה",44,|,וכשהקדוש_ברוך_הוא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ס""ק",40419,|,סעיף_קטן (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לחי',135,|,לחיה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בשו""ת",42152,|,בשאלות_ותשובות (187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עיקר',23,|,עיקרה (185),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנו',13,|,חנות (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתרגמי',49,|,מתרגמינן (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אח""כ",38302,|,אחר_כך (0),אחר_כן (4),אחרי_כן (6),אחר_כתיבת (708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דמפ',135,|,דמפרש (0),דמפרשי (5),דמפרשים (14),דמפורש (266),דמפרשו (396),דמפירושו (753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ר""י",37830,|,רבינו_יצחק (17),רבי_יהודא (25),רבינו_יעקב (33),רבינו_יהודה (40),רבינו_יחיאל (44),רבינו_יונה (71),רבי_יודא (81),רבי_יהודה (154),רבינו_יהונתן (161),רבי_יצחק (197),רב_יהודא (217),רב_יוסף (237),רבי_יוסי (240),רב_יודא (274),רבי_יאשיה (325),רבנו_יצחק (328),רבי_יוחנן (359),רבינו_יודא (371),רבנו_יונה (375),רב_יהודה (537),רבי_ינאי (569),רבינו_יעבץ (620),רבינו_ירוחם (645),רבי_ירמיה (811),,,,,,,,,,,,,,,,,,,,,,,
"יעק""ל",9,|,יעקב_ליב (66),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובהכ""נ",43,|,ובית_הכנסת (3),וכן_בית_הכנסת (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דר',36841,|,דרבי (0),דרב (2),דרבן (91),דרבה (232),דרבא (356),דרבין (394),דרבינא (548),דרפרם (889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דה""ד",135,|,דהיינו_דוקא (0),דהיינו_דווקא (4),דהוא_דווקא (20),דהוא_דוקא (27),דהתם_דוקא (41),דשאני_התם_דמיירי (51),דההיא_דוקא (111),דהוא_הדין (136),דהא_דוקא (179),דהא_דבעינן (206),דהא_דמהני (238),דהא_דמחמירין (438),דתלוי_הדבר (444),דכן_הדין (466),דהא_דאמרו (495),דהיכא_דהוי (636),דהא_דמותר (688),דהא_דמתירין (893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"באמ""ה",44,|,באינו_מינו_הוא (867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ו',37936,|,ו (213),ואו (237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"להפר""ת",10,|,להפרי_תואר (224),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבדאו',41,|,דבדאורייתא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואע""ג",38523,|,ואף_על_גב (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכלה""כ",21,|,וכלאי_הכרם (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שה""א",43,|,שהאות (95),שהארון (238),שהשם_הנשנה_אינו (267),שהוא_האדם (520),שהאבנט (911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואפי',37290,|,ואפילו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להכני',21,|,להכניסה (258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"במה""פ",45,|,במראה_הפנים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בד""ה",46750,|,בדבור_המתחיל (32),בדיבור_המתחיל (43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
