Ref,Headword,Location Name (Hebrew)
שיר השירים רבה ז ב,באשקלון,אשקלון
קהלת רבה א טו,אשקלוה,אשקלון
סדר עולם רבה,אשדוד,אשדוד
בראשית רבה לז ד,עמ' 346,בבל
"יומא י ע""א",בבל,בבל
כריתות ה ב,בבל,בבל
ערכין יג א,מבבל,בבל
חולין צה ב,שבבבל,בבל
חולין צה ב,שבבבל,בבל
חולין צב א,שבבבל,בבל
חולין ז א,בבל,בבל
חולין סג ב,בבל,בבל
מנחות קי א,בבל,בבל
זבחים קיג ב,שלבבל,בבל
זבחים קיג ב,שלבבל,בבל
זבחים קיג ב,שלבבל,בבל
הוריות יא ב,שבבבל,בבל
הוריות יא ב,בבבל,בבל
עבודה זרה יא ב,בבבל,בבל
שבועות מז א,דבכל,בבל
שבועות מז א,שבבל,בבל
שבועות מז א,שבכל,בבל
שבועות יד ב,בכל,בבל
סנהדרין קט א,בבל,בבל
סנהדרין צו ב,בבל,בבל
סנהדרין צג א,בבל,בבל
סנהדרין לח ב,מבבל,בבל
סנהדרין לח א,שבבבל,בבל
סנהדרין לח א,בבבל,בבל
סנהדרין כד א,שבבבל,בבל
סנהדרין כד א,שלבבל,בבל
סנהדרין כד א,לבבל,בבל
סנהדרין כד א,שבבבל,בבל
סנהדרין יז ב,שבבבל,בבל
סנהדרין צב ב,לבבל,בבל
סנהדרין ה א,לבבל,בבל
סנהדרין צח ב,לבבל,בבל
סנהדרין ה א,לבבל,בבל
סנהדרין ה א,שבבבל,בבל
בבא בתרא קמה א,בכבל,בבל
בבא בתרא צא א,בבבל,בבל
בבא בתרא טו א,מבבל,בבל
בבא בתרא כו א,בבבל,בבל
בבא בתרא כו א,בבבל,בבל
בבא מציעא לד א,שבבל,בבל
בבא קמא קיז א,מבבל,בבל
בבא קמא צז ב,בבל,בבל
בבא קמא צז ב,בבל,בבל
בבא קמא צז ב,בבל,בבל
בבא קמא צז ב,בבל,בבל
בבא קמא פד ב,בבבל,בבל
בבא קמא צז ב,בבבל,בבל
בבא קמא פד ב,בבבל,בבל
בבא קמא צז ב,בבבל,בבל
בבא קמא פד ב,בבבל,בבל
בבא קמא פד ב,בבבל,בבל
בבא קמא פד א,בבבל,בבל
בבא קמא פד ב,בבבל,בבל
בבא קמא פד א,בבבל,בבל
בבא קמא פד א,בבבל,בבל
בבא קמא פג א,בבבל,בבל
בבא קמא צז ב,בבבל,בבל
בבא קמא פא ב,בבבל,בבל
בבא קמא פא ב,בבבל,בבל
בבא קמא פא א,בבבל,בבל
בבא קמא פא א,בבל,בבל
קידושין עה א,מבבל,בבל
קידושין עב א,שבבבל,בבל
קידושין עא ב,מבב',בבל
קידושין עב ב,בבל,בבל
קידושין עא ב,מבבל,בבל
קידושין עא ב,בבבל,בבל
קידושין עא א,לבבל,בבל
קידושין עא א,בבל,בבל
קידושין עא א,לבבל,בבל
קידושין עא א,בבל,בבל
קידושין סט ב,מבבל,בבל
קידושין עא א,לבבל,בבל
קידושין עא ב,מבבל,בבל
קידושין עב א,מבבל,בבל
קידושין סט ב,מבבל,בבל
קידושין סט ב,מבבל,בבל
קידושין עא א,בבל,בבל
גיטין נח ב,בבבל,בבל
גיטין נח ב,בבבל,בבל
גיטין מד ב,בבל,בבל
גיטין יז א,לבבל,בבל
גיטין ו א,בבל,בבל
גיטין ו א,בבבל,בבל
גיטין ו א,בבל,בבל
סוטה מט ב,בבבל,בבל
נדרים נג א,ובבל,בבל
כתובות קיא א,לבבל,בבל
כתובות קיא א,שבבבל,בבל
כתובות קיא א,מבבל,בבל
כתובות קי ב,מבבל,בבל
כתובות קי ב,בבל,בבל
כתובות קי ב,בבל,בבל
כתובות עח ב,בבבל,בבל
כתובות עח ב,בבבל,בבל
כתובות כה א,ובבל,בבל
כתובות קי ב,ובבל,בבל
כתובות קיא א,בבבל,בבל
כתובות כה א,בבבל,בבל
כתובות יז ב,בבבל,בבל
כתובות קיא א,בבבל,בבל
כתובות קי ב,בבבל,בבל
יבמות לז א,מבב',בבל
יבמות פה א,מבבל,בבל
יבמות יז א,בבל,בבל
חגיגה ד א,בבל,בבל
חגיגה יג ב,בבבל,בבל
מועד קטן כה ב,מבבל,בבל
מועד קטן כה א,שבבל,בבל
מגילה יט א,מבבל,בבל
מגילה כט א,לבבל,בבל
מגילה כט א,שבבבל,בבל
מגילה כח ב,שבבבל,בבל
מגילה יב א,לבבל,בבל
מגילה יא ב,בבל,בבל
תענית יג א,בבבל,בבל
תענית י ב,לבבל,בבל
ביצה יח ב,בבל,בבל
סוכה לט ב,בבל,בבל
ביצה ג ב,מבבל,בבל
סוכה לט ב,בבל,בבל
סוכה לב ב,בבל,בבל
סוכה טז ב,בבבל,בבל
יומא לד א,בביל,בבל
יומא לד א,בביל,בבל
יומא כ א,מבבל,בבל
יומא ה ב,בבבל,בבל
פסחים קט א,בבבל,בבל
פסחים פז ב,לבבל,בבל
פסחים פז ב,לבבל,בבל
פסחים פז ב,לבבל,בבל
פסחים סו א,מבבל,בבל
פסחים סו א,מבבל,בבל
פסחים נד ב,בבל,בבל
פסחים מט א,שלבבל,בבל
פסחים ח א,בבל,בבל
עירובין עח א,בבל,בבל
עירובין מה ב,בבל,בבל
עירובין מה א,בבל,בבל
עירובין כא א,בבבל,בבל
עירובין יט א,בבל,בבל
עירובין כא א,בבבל,בבל
עירובין כא א,בבבל,בבל
עירובין כא א,בבבל,בבל
עירובין כא א,בבבל,בבל
עירובין כא א,בבבל,בבל
עירובין עח א,בבל,בבל
עירובין יט א,בבל,בבל
שבת קמה ב,שבבבל,בבל
שבת קמה ב,בבבל,בבל
שבת קמה ב,שבבבל,בבל
שבת קמה ב,שבבבל,בבל
שבת קמה ב,שבבבל,בבל
שבת קמה ב,שבבבל,בבל
שבת קיט א,ושבבבל,בבל
שבת קיג ב,בבל,בבל
שבת קיג ב,בבל,בבל
שבת מא א,מבבל,בבל
שבת קמה ב,בבל,בבל
שבת כו א,בבל,בבל
שבת כ ב,בבל,בבל
ברכות נט ב,דבבל,בבל
ברכות נח א,בבבל,בבל
ברכות נח א,בבל,בבל
ברכות נז ב,בבל,בבל
ברכות נז ב,בבל,בבל
ברכות נז א,בבבל,בבל
ברכות כד ב,מבבל,בבל
תלמוד ירושלמי עבודה זרה ב א,בבבל,בבל
תלמוד ירושלמי עבודה זרה ב א,בבבל,בבל
תלמוד ירושלמי עבודה זרה א ג,בבבל,בבל
תלמוד ירושלמי עבודה זרה א ג,בבבל,בבל
תלמוד ירושלמי סנהדרין י א,בבבל,בבל
תלמוד ירושלמי סנהדרין א ב,מבבל,בבל
תלמוד ירושלמי קידושין ד א,בבל,בבל
תלמוד ירושלמי קידושין ד ג,מבבל,בבל
תלמוד ירושלמי קידושין ד א,בבל,בבל
תלמוד ירושלמי גיטין ד ג,לבבל,בבל
תלמוד ירושלמי גיטין א ב,מבבל,בבל
תלמוד ירושלמי גיטין א ב,מבבל,בבל
תלמוד ירושלמי סוטה ח א,בבל,בבל
תלמוד ירושלמי סוטה ז ה,בבל,בבל
תלמוד ירושלמי נדרים ו ט,מבבל,בבל
תלמוד ירושלמי נדרים ה ה,בבל,בבל
תלמוד ירושלמי כתובות יב ג,שבבבל,בבל
תלמוד ירושלמי כתובות ב ז,ובבל,בבל
תלמוד ירושלמי יבמות ט ו,בבל,בבל
תלמוד ירושלמי יבמות ט ו,בבל,בבל
תלמוד ירושלמי יבמות ח ב,מבבל,בבל
תלמוד ירושלמי יבמות ד ב,מבבל,בבל
תלמוד ירושלמי יבמות א ד,הכאבל,בבל
תלמוד ירושלמי תענית ד ו,בבבל,בבל
תלמוד ירושלמי תענית ד ו,לבבל,בבל
תלמוד ירושלמי תענית ד ו,לבבל,בבל
תלמוד ירושלמי תענית ד ו,בבל,בבל
תלמוד ירושלמי תענית ד ו,בבל,בבל
תלמוד ירושלמי תענית ב ד,מבבל,בבל
תלמוד ירושלמי תענית א א,לבבל,בבל
תלמוד ירושלמי ראש השנה א א,מבבל,בבל
תלמוד ירושלמי ראש השנה א א,מבבל,בבל
תלמוד ירושלמי סוכה ד ה,שלבבל,בבל
תלמוד ירושלמי שקלים ו ב,לבבל,בבל
בכורות נה א,ונמורי,בית נמר
תלמוד ירושלמי בבא בתרא ג ב,ונבירו,בית נמר
תלמוד ירושלמי כתובות ב ז,גנמרין,בית נמר
תלמוד ירושלמי שביעית ו א,ונמרין,בית נמר
תוספתא בכורות ז ג,נמרי,בית נמר
תוספתא יומא ד ג,נמרים,בית נמר
תוספתא שביעית ד יא,נמרים,בית נמר
איכה רבה א ו,מאיתנס,אתונה
סנהדרין יז ב,וביתתר,ביתר
בבא בתרא קכא ב,ביתר,ביתר
בבא בתרא קכא ב,ביתר,ביתר
גיטין נח א,ביתר,ביתר
גיטין נז ב,ביתר,ביתר
גיטין נז א,ביתר,ביתר
יבמות קכב א,ביתיר,ביתר
יבמות קכב א,ביתתיר,ביתר
תענית לא א,ביתר,ביתר
תענית לא א,ביתר,ביתר
ביצה יח ב,ביתר,ביתר
ברכות מח ב,ביתר,ביתר
תלמוד ירושלמי תענית ד ו,בביתתר,ביתר
תלמוד ירושלמי תענית ד ו,בביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי תענית ד ו,בביתתר,ביתר
תלמוד ירושלמי תענית ד ו,ביתתר,ביתר
תלמוד ירושלמי ברכות ז א,ביתר,ביתר
תלמוד ירושלמי ברכות א ד,ביתר,ביתר
משנה תענית ד ו,ביתר,ביתר
משנה תענית ד ו,ביתר,ביתר
משנה חלה ד י,ביתר,ביתר
תוספתא יבמות יד ח,ביתר,ביתר
שיר השירים רבה ב יז,בביתתר,ביתר
שיר השירים רבה ב יז,בביתתר,ביתר
שיר השירים רבה ב יז,בביתתר,ביתר
איכה רבה ד כא,ביתר,ביתר
איכה רבה ב ד,בביתר,ביתר
איכה רבה ב ד,בביתר,ביתר
איכה רבה ב ד,ביתתר,ביתר
איכה רבה ב ד,בבתיר,ביתר
איכה רבה ב ד,בביתר,ביתר
איכה רבה ב ד,ביתתר,ביתר
איכה רבה ב ד,ביתתר,ביתר
איכה רבה ב ד,ביתר,ביתר
איכה רבה ב ד,בביתר,ביתר
איכה רבה ג יז,ביתר,ביתר
בראשית רבה סה כא,בבתר,ביתר
משנה עבודה זרה ד יב,בית שאן,סקיתופוליס
משנה עבודה זרה ד יב,בית שאן,סקיתופוליס
משנה עבודה זרה א ד,בית שאן,סקיתופוליס
משנה עבודה זרה א ד,בית שאן,סקיתופוליס
סנהדרין קג א,דמשק,דמשק
עירובין יט א,דורמסקנין,דמשק
סדר עולם רבה,דמשק,דמשק
סדר עולם רבה,דמשק,דמשק
שיר השירים רבה ז ה,דמשק,דמשק
שיר השירים רבה ז ה,דמשק,דמשק
שיר השירים רבה ז ה,דמשק,דמשק
שיר השירים רבה ז ה,מדמשק,דמשק
שיר השירים רבה ד ח,דמשק,דמשק
שיר השירים רבה ד ח,דמשק,דמשק
שיר השירים רבה א ו,בדמש',דמשק
שיר השירים רבה ז ה,בדמש',דמשק
שיר השירים רבה א ו,בדמשק,דמשק
בראשית רבה פו ה,בדמשק,דמשק
בראשית רבה מד כג,דרמסקוס,דמשק
בראשית רבה מד ט,דמשק,דמשק
בראשית רבה מד ט,דמשק,דמשק
תוספתא סוטה יא יג,אפרת,אפרת
בראשית רבה צט א,באפרתה,אפרת
בראשית רבה צו ד,אפרתה,אפרת
בראשית רבה צט א,אפרתה,אפרת
בראשית רבה פב י,אפרתה,אפרת
בבא בתרא קכב א,גנוסר,גינוסר
בבא בתרא קכב א,גנוסר,גינוסר
מגילה ו א,גניסר,גינוסר
מגילה ו א,גניסר,גינוסר
פסחים ט ב,גניסר,גינוסר
ברכות מד א,גינוסר,גינוסר
ברכות מד א,גינוסר,גינוסר
תלמוד ירושלמי חגיגה ב א,גיניסר,גינוסר
תלמוד ירושלמי מגילה א א,גיניסריות,גינוסר
תלמוד ירושלמי מעשרות א ב,גיניסר,גינוסר
תלמוד ירושלמי שביעית ט ב,גיניסר,גינוסר
משנה מעשרות ג ז,גניסר,גינוסר
תוספתא טהרות ו ז,גניסר,גינוסר
תוספתא כלים בתרא ה ו,גניסר,גינוסר
תוספתא עירובין ז יג,גניסר,גינוסר
תוספתא שביעית ז יא,גניסר,גינוסר
בראשית רבה צח יז,גיניסר,גינוסר
בראשית רבה צח יז,גיניסרים,גינוסר
בראשית רבה צח יז,גניסר,גינוסר
ערכין לב ב,וגדור,גדור
ערכין לב ב,גדור,גדור
ערכין לב ב,גדור,גדור
ערכין לב א,וגדור,גדור
סנהדרין קח א,דגרר,גדור
מגילה ו א,גדר,גדור
ביצה כב א,שלגדר,גדור
ביצה כג ב,גדיר,גדור
עירובין סא א,גדר,גדור
עירובין סא א,לגדר,גדור
תלמוד ירושלמי מגילה א א,וגדור,גדור
תלמוד ירושלמי ראש השנה ב ד,וגדור,גדור
תלמוד ירושלמי ראש השנה א ו,גדר,גדור
תלמוד ירושלמי עירובין ה ח,גדר,גדור
תלמוד ירושלמי עירובין ה ח,לגדר,גדור
תלמוד ירושלמי עירובין ה ח,לגדר,גדור
תלמוד ירושלמי שבת יח ב,גדר,גדור
תלמוד ירושלמי שבת ד ב,גדר,גדור
תלמוד ירושלמי שבת ג א,גדר,גדור
תלמוד ירושלמי תרומות ב ג,גדר,גדור
תלמוד ירושלמי שביעית ט ב,וגדור,גדור
משנה ערכין ט ו,גדור,גדור
תוספתא ראש השנה א יז,גדור,גדור
תוספתא עירובין ד טז,גדר,גדור
תוספתא עירובין ד טז,גדר,גדור
תוספתא עירובין ד טז,גדר,גדור
תוספתא שביעית ז יא,גדור,גדור
סיפרא,גדור,גדור
ויקרא רבה א ג,גדור,גדור
מכות ט ב,גולן,גולן (בשן)
תלמוד ירושלמי מכות ב ד,גולן,גולן (בשן)
תוספתא מכות ג ב,גולן,גולן (בשן)
שיר השירים רבה ב יג,הגבלן,גולן (בשן)
עבודה זרה יא ב,עזה,עזה
עבודה זרה יא ב,עזה,עזה
סנהדרין עב א,עזה,עזה
סנהדרין כ ב,ועזה,עזה
סנהדרין כ ב,ועזה,עזה
סוטה ט ב,בעזה,עזה
סוטה י א,עזה,עזה
סוטה ט ב,בעזה,עזה
סוטה ט ב,בעזה,עזה
סוטה ט ב,בעזה,עזה
שבת קמה ב,עוה,עזה
תלמוד ירושלמי עבודה זרה א ד,עזה,עזה
תלמוד ירושלמי עבודה זרה א ד,עזה,עזה
תלמוד ירושלמי סוטה א ח,בעזה,עזה
תלמוד ירושלמי סוטה א ח,בעזה,עזה
תלמוד ירושלמי שביעית ו א,עזה,עזה
משנה נזיר א ב,עזה,עזה
תוספתא נגעים ו א,עזה,עזה
תוספתא סוטה ג טו,עזה,עזה
תוספתא סוטה ג טו,עזה,עזה
סדר עולם רבה,עזה,עזה
בראשית רבה מז י,עזה,עזה
זבחים קיט א,שבגלגל,גלגלה
זבחים קיח ב,שבגלגל,גלגלה
זבחים קיז א,שבגלגל,גלגלה
זבחים קיח א,שבגלגל,גלגלה
זבחים קיז א,שבגלגל,גלגלה
זבחים קיז א,שבגלגל,גלגלה
זבחים קיז א,שבגלגל,גלגלה
סוטה לה ב,בגלגל,גלגלה
סוטה לג ב,הגלגל,גלגלה
סוטה לג ב,הגלגל,גלגלה
מגילה לא א,גלגל,גלגלה
מגילה לא א,גלגל,גלגלה
מגילה י א,ושבגלגל,גלגלה
תענית יז א,בגלגל,גלגלה
תלמוד ירושלמי סוטה ז ה,גלגל,גלגלה
תלמוד ירושלמי מגילה א יא,בגלגל,גלגלה
תלמוד ירושלמי מגילה א יא,בגלגל,גלגלה
תלמוד ירושלמי מגילה א י,שבגלגל,גלגלה
תלמוד ירושלמי מגילה א י,שבגלגל,גלגלה
תלמוד ירושלמי מגילה א י,שבגלגל,גלגלה
תלמוד ירושלמי מגילה א י,בגלגל,גלגלה
תלמוד ירושלמי מגילה א י,שבגלגל,גלגלה
משנה זבחים יד ה,גלגל,גלגלה
משנה תענית ב ד,גלגל,גלגלה
תוספתא זבחים יג ח,גלגל,גלגלה
תוספתא זבחים יג י,גלגל,גלגלה
תוספתא זבחים יג טו,גלגל,גלגלה
תוספתא זבחים יג יד,גלגל,גלגלה
תוספתא זבחים יג יד,גלגל,גלגלה
תוספתא זבחים יג יג,גלגל,גלגלה
תוספתא זבחים יג ט,גלגל,גלגלה
תוספתא זבחים יג ט,גלגל,גלגלה
תוספתא זבחים יג י,גלגל,גלגלה
תוספתא זבחים יג ו,גלגל,גלגלה
תוספתא זבחים יג ד,גלגל,גלגלה
תוספתא סוטה יא ב,גלגל,גלגלה
תוספתא סוטה יא ב,גלגל,גלגלה
תוספתא סוטה ח ח,גלגל,גלגלה
תוספתא סוטה ח ח,גלגל,גלגלה
סדר עולם רבה,גלגל,גלגלה
סדר עולם רבה,גלגל,גלגלה
רות רבה,לגלגל,גלגלה
שיר השירים רבה ו ד,הגלגל,גלגלה
איכה רבה ב יז,וגלגל,גלגלה
בראשית רבה נד ד,וגלגל,גלגלה
מנחות פה א,לחפריים,חפםרים
משנה מנחות ח א,עפרים,חפםרים
תוספתא מנחות ט ב,עפרים,חפםרים
ויקרא רבה טז ח,מפרתים,חפםרים
בראשית רבה פו ה,בעפרו,חפםרים
מנחות ק א,בחברון,חברון
מנחות פז א,מחברון,חברון
מכות ט ב,ומחברון,חברון
מכות ט ב,כמחברון,חברון
מכות ט ב,לחברון,חברון
מכות ט ב,חברון,חברון
סוטה לד ב,מחברון,חברון
סוטה לד ב,מחברון,חברון
סוטה לד ב,מחברון,חברון
סוטה לד ב,חברון,חברון
סוטה יא א,בחברון,חברון
כתובות קיב א,כחברון,חברון
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,בחברון,חברון
ראש השנה כח ב,שבחברון,חברון
תלמוד ירושלמי מכות ב ד,כמחברון,חברון
תלמוד ירושלמי מכות ב ד,מחברון,חברון
תלמוד ירושלמי מכות ב ד,ומחברון,חברון
תלמוד ירושלמי מכות ב ד,חברון,חברון
תלמוד ירושלמי יומא ג א,בחברון,חברון
משנה יומא ג א,חברון,חברון
תוספתא מכות ג ג,חברון,חברון
תוספתא מכות ג ג,חברון,חברון
תוספתא מכות ג ג,חברון,חברון
תוספתא מכות ג ב,חברון,חברון
תוספתא יומא א טו,חברון,חברון
סדר עולם רבה,חברון,חברון
סדר עולם רבה,חברון,חברון
סדר עולם רבה,חברון,חברון
סדר עולם רבה,חברון,חברון
בראשית רבה פד יג,בחברון,חברון
בראשית רבה פד יג,חברון,חברון
בראשית רבה נח ד,וחברון,חברון
בראשית רבה נח ד,וחברון,חברון
בראשית רבה נד ו,בחברון,חברון
בראשית רבה נד ו,בחברון,חברון
בראשית רבה נח ד,בחברון,חברון
נידה מז ב,בלוד,לוד
חולין נז א,בלוד,לוד
סנהדרין עד א,בלוד,לוד
סנהדרין סח א,ללוד,לוד
סנהדרין סז א,בלוד,לוד
סנהדרין לב ב,ללוד,לוד
סנהדרין לב ב,ללוד,לוד
בבא בתרא י ב,לוד,לוד
בבא מציעא נ ב,בלוד,לוד
קידושין מא א,בלוד,לוד
גיטין מד ב,בלוד,לוד
גיטין ד א,ללוד,לוד
כתובות קיא ב,מלוד,לוד
יבמות כה ב,ללוד,לוד
יבמות כה ב,ללוד,לוד
חגיגה יח א,בלוד,לוד
חגיגה ד א,בלוד,לוד
מגילה כ א,בכלוד,לוד
מגילה ג ב,לוד,לוד
מגילה ד א,לוד,לוד
ביצה לא ב,לוד,לוד
ביצה יח ב,בלוד,לוד
סוכה ו א,לוד,לוד
סוכה ו א,לוד,לוד
יומא ב ב,בלוד,לוד
פסחים נ א,לוד,לוד
עירובין נג ב,ללוד,לוד
עירובין נג ב,ללוד,לוד
שבת ל א,בלוד,לוד
תלמוד ירושלמי מכות א ה,בלוד,לוד
תלמוד ירושלמי סנהדרין ז י,בלוד,לוד
תלמוד ירושלמי סנהדרין ג ג,בלוד,לוד
תלמוד ירושלמי סנהדרין א ב,בלוד,לוד
תלמוד ירושלמי גיטין ד ו,בלוד,לוד
תלמוד ירושלמי סוטה ג ד,ללוד,לוד
תלמוד ירושלמי נדרים ח א,בלוד,לוד
תלמוד ירושלמי כתובות ב ה,בלוד,לוד
תלמוד ירושלמי כתובות ב ה,בלוד,לוד
תלמוד ירושלמי יבמות טז ו,בלוד,לוד
תלמוד ירושלמי יבמות ב ט,ללוד,לוד
תלמוד ירושלמי חגיגה א ז,בלוד,לוד
תלמוד ירושלמי חגיגה א א,ללוד,לוד
תלמוד ירושלמי מגילה ב ו,בלוד,לוד
תלמוד ירושלמי מגילה ב ד,בלוד,לוד
תלמוד ירושלמי מגילה א א,לוד,לוד
תלמוד ירושלמי מגילה א ג,בלוד,לוד
תלמוד ירושלמי מגילה א א,לוד,לוד
תלמוד ירושלמי תענית ב ח,בלוד,לוד
תלמוד ירושלמי ראש השנה ב ט,בלוד,לוד
תלמוד ירושלמי ביצה ג ה,בלוד,לוד
תלמוד ירושלמי סוכה ב ד,בלוד,לוד
תלמוד ירושלמי סוכה א א,בלוד,לוד
תלמוד ירושלמי פסחים ג ז,בלוד,לוד
תלמוד ירושלמי פסחים ג ז,בלוד,לוד
תלמוד ירושלמי מעשר שני ה ב,לוד,לוד
תלמוד ירושלמי שביעית ט ב,מלוד,לוד
תלמוד ירושלמי שביעית ט ב,לוד,לוד
תלמוד ירושלמי שביעית ד ב,בלוד,לוד
תלמוד ירושלמי שביעית ד ב,בלוד,לוד
תלמוד ירושלמי ברכות א א,בלוד,לוד
משנה בבא מציעא ד ג,לד,לוד
משנה בבא מציעא ד ג,לד,לוד
משנה גיטין א א,לד,לוד
משנה תענית ג ט,לד,לוד
משנה ידיים ד ג,לד,לוד
משנה ראש השנה א ו,לד,לוד
משנה מעשר שני ה ב,לד,לוד
משנה שביעית ט ב,לד,לוד
תוספתא מקוואות ז יא,לד,לוד
תוספתא מקוואות ז יא,לד,לוד
תוספתא אהלות יח יח,לד,לוד
תוספתא אהלות ד ב,לד,לוד
תוספתא עבודה זרה ד ג,לד,לוד
תוספתא מקוואות ז י,לד,לוד
תוספתא סנהדרין י יא,לד,לוד
תוספתא יבמות ד ה,לד,לוד
תוספתא תענית ב ה,לד,לוד
תוספתא סוכה ב א,לד,לוד
תוספתא פסחים י יב,לד,לוד
תוספתא סוטה ז ט,לד,לוד
תוספתא פסחים ג יא,לד,לוד
תוספתא חגיגה ב יג,לד,לוד
תוספתא פסחים י י,לד,לוד
תוספתא מעשר שני ה טז,לד,לוד
תוספתא שבת ב ה,לד,לוד
תוספתא עירובין ו ב,לד,לוד
תוספתא מגילה ב ח,לד,לוד
תוספתא שביעית ז י,לד,לוד
סיפרא,לד,לוד
סיפרא,לד,לוד
שיר השירים רבה ב יד,בלוד,לוד
שיר השירים רבה ב ב,לוד,לוד
קהלת רבה ט י,לוד,לוד
איכה רבה ב יד,לוד,לוד
איכה רבה ג ג,לוד,לוד
איכה רבה א נב,לוד,לוד
איכה רבה א מז,לוד,לוד
ויקרא רבה לה יב,דלוד,לוד
ערכין יב א,נינוה,ננוה
יבמות צט א,נינוה,ננוה
יבמות צט א,לנינויה,ננוה
מגילה יא ב,נינוה,ננוה
תענית טז א,נינוה,ננוה
ראש השנה י א,נינוה,ננוה
ראש השנה י א,נינוה,ננוה
שבת קכא ב,שבנינוה,ננוה
תלמוד ירושלמי תענית ב א,נינוה,ננוה
תלמוד ירושלמי שבת יד א,שבנינוה,ננוה
משנה תענית ב א,נינוה,ננוה
סדר עולם רבה,נינוה,ננוה
קהלת רבה ה ו,נינוה,ננוה
ויקרא רבה יג ה,נינוה,ננוה
בראשית רבה מד יב,נינוה,ננוה
בראשית רבה מב ו,נינוה,ננוה
בראשית רבה לז ד,נינוה,ננוה
בראשית רבה לז ד,נינוה,ננוה
בראשית רבה טז ד,נינוה,ננוה
בכורות נו א,פמייס,פיניאס
בכורות נו א,פמייס,פיניאס
בכורות נו א,פמייס,פיניאס
בכורות נו א,פמייס,פיניאס
סנהדרין צח א,פמיאס,פיניאס
בבא בתרא עד ב,פמיאס,פיניאס
בבא בתרא עד ב,פמיאס,פיניאס
מגילה ו א,פמים,פיניאס
תלמוד ירושלמי דמאי ב א,בפנייס,פיניאס
משנה פרה ח יא,פניס,פיניאס
תוספתא בכורות ז ד,פניס,פיניאס
בראשית רבה צד ט,פנייס,פיניאס
בראשית רבה סג ח,דפנייס,פיניאס
בראשית רבה סג ח,פנייס,פיניאס
בראשית רבה לג ד,פמיס,פיניאס
זבחים קיח ב,שבנוב,נוב
זבחים קיט א,שלנוב,נוב
זבחים קיט א,בנוב,נוב
זבחים קיט א,נוב,נוב
זבחים קיט א,לנוב,נוב
זבחים קיט א,שבנוב,נוב
