Category	Desc - english	Desc - Hebrew
Midrash	Midrash is a form of rabbinic literature that strives to interpret the meaning of the Torah. Halakhic Midrash explains biblical law while Aggadic Midrash interprets biblical narrative.	"מדרש" הוא סוגה ספרותית רבנית השואפת לפרש את מילות התורה. מדרשי ההלכה מפרשים את ההלכה המקראית, בעוד מדרשי האגדה מפרשים את פסוקי התורה הנרטיביים.
Halakhah	Jewish Law. A myriad of volumes throughout the ages have been written to codify and interpret Jewish law.	הלכה היא החוק הדתי היהודי. היא כוללת מספר עצום של ספרים, שנכתבו לאורך הדורות על מנת לארגן ולפרש את ההלכה היהודית.
Kabbalah	Jewish mystical works.	יצירות יהודיות מסטיות.
Liturgy	A collection of daily, Shabbat, and holiday prayers. Variations for different groups, such as Ashkenazim and Sefaradim, are included in the collection.	אוסף תפילות ליומיום, לשבת ולחגים. ישנם וריאציות שונות של הליטורגיה עבור קבוצות שונות, כגון אשכנזים וספרדים.
Philosophy	A collection of Jewish philosophical works, from the Rambam to Yehudah haLevi to the Vilna Gaon, and more.	אוסף כתבים פילוסופיים יהודיים, מכתבי הרמב"ם דרך יהודה הלוי, הגאון מוילנא, ועוד.
Tanaitic	Writings of the Tanaim, the Rabbis of the Mishnaic period, approximately 10-220 CE.	יצירתם הספרותית של התנאים, רבני תקופת המשנה, 220-10 לספירה לערך.
Chasidut	Works from the Chassidic masters from Rabbi Levi of Berdichev to Rabbi Shneur Zalman of Liadi to Rabbi Nachman of Breslav and more.	יצירות של אדמו"רים חסידיים, מרבי לוי מברדיצ'ב, דרך רבי שניאור זלמן מלאדי, עד לרבי נחמן מברסלב, ועוד.
Musar	Jewish ethical literature from throughout the ages. Musar literature presents the reader with guidance for living a moral and spiritual life.	ספרות מוסר יהודית מתקופות שונות בהיסטוריה. ספרות המוסר מספקת הנחיות לחיים מוסריים ורוחניים.
Responsa	Collections of legal decisions and rulings made by Halakhic decisors in response to queries about Jewish law. Responsa literature covers a wide range of subjects.	ספרות השו"ת כוללת אוספים של הכרעות ופסיקות הלכתיות, פרי עטם של פוסקי הלכה, שנכתבו בתגובה לשאלות שונות שנשאלו בנושאי הלכה שונים. ספרות השו"ת מקיפה מגוון רחב של נושאים הלכתיים.
Apocrypha	Apocrypha is the term for Jewish books that, while having certain characteristics in common with Biblical books, were not included in the canonization of the Tanakh, the Hebrew Bible.	הכינוי "אפוקריפה", או "ספרים חיצוניים", מתייחס ליצירות ספרותיות יהודיות אשר, על אף מאפיינים מסוימים המשותפים עם ספרי התנ"ך, לא נכללו בו בעת הקאנוניזציה של התנ"ך.
Modern Works	Works written in the last century.	אוסף יצירות שנכתבו במאה האחרונה.
