Rashi Matches,Data
Rashi on Genesis 41:19:2,"3055@בראשית מא,יט@רקות בשר@בלושי""ש@bloses@מחוסרות@התואר blos ממוצא גרמני (bloss, ערום, גרוד, חסר) לא השאיר שרידים בצרפתית של היום. מעניין, שבגרמנית bloss הוא גם תואר הפועל במשמעות ""רק"".$"
Rashi on Genesis 41:40:1,"3056@בראשית מא,מ@ישק@גרנישו""ן@garnison@ציוד, צידה, אספקה@המשמעות של המלה בצרפתית של היום ""חיל-מצב"" היא התפתחות בכיוון אחר של ""ציוד, מצודה"".$"
Rashi on Genesis 43:16:2,"3057@בראשית מג,טז@צהרים@דישני""ר@disner@ארוחת-צהריים@בעקבות שינויים בהרגלי האכילה של תושבי צרפת, disner הוא היום (מאז המאה הי""ט, עם הבדלים בין איזור לאיזור) ארוחת-הערב.$"
Rashi on Genesis 44:2:1,"3058@בראשית מד,ב@(גביעי)[גביע]@מדירנ""א@maderne@כוס ארוכה עשויה עץ משויש (כוס הדורה)@ר' אה""ל מס' 1166.$"
Rashi on Genesis 45:2:1,"3059@בראשית מה,ב@בית@מיישניד""א@meisnede@בני הבית@כמובן לא הבית עצמו (maison, meison) שמע על התרגשות יוסף, אלא ""התכולה האנושית"" של הבית.$"
Rashi on Genesis 47:7:1,"3060@בראשית מז,ז@ויברך@שלודי""ר@saluder@לשאול בשלום@בניגוד לברכה של פסוק י' (מס' 3037), שהיא באמת ברכה.$"
Rashi on Genesis 48:7:3,"3061@בראשית מח,ז@כברת ארץ@קרואיד""א@charuede@מלוא מחרשה (מה שמחרשה מספיקה לחרוש במשך יום)@$"
Rashi on Genesis 49:6:6,"3062@בראשית מט,ו@עקרו@אישיריטי""ר@esjareter@לכרות את גידי השוק@$"
Rashi on Genesis 49:11:2,"3063@בראשית מט,יא@שרקה@קורייד""א@corjede@עריס (שורה של גפנים המודלות על גדר והן יוצרות מעין סוכה)@$"
Rashi on Genesis 49:13:1,"3064@בראשית מט,יג@חוף@מרק""א@marche@גבול, ספר@$"
Rashi on Genesis 49:19:3,"3065@בראשית מט,יט@עקב@טרצי""ש@traces@עקבות@גדודי גד יחזרו אחרי המלחמה על עקבותיהם, כי לא ימותו ולא יילכדו.$"
Rashi on Genesis 49:26:5,"3066@בראשית מט,כו@תאות@אשומיי""ל@asomeil@גבול@המלה, שמוצאה מהגזרון הלטיני summa (""שיא""), כפי הנראה מהמלה *assumaculum, מצויה רק במקורות יהודיים (ר' מילונו של לוי, מס' 121).$"
Rashi on Exodus 2:3:2,"3067@שמות ב,ג@גמא@יונ""ק@jonc@גומא@$"
Rashi on Exodus 2:3:4,"3068@שמות ב,ג@סוף@רושיל@rosel@סוף@דברי רש""י ""הוא לשון אגם"" קשים לפענוח, בעיקר לאור הלעז וגם לאור הפסוק של ישעיה, שהוא מביא, אבל יש גם במקרא ""אגם"" במשמעות צמח (ירמיה נ""א, ל""ב).$"
Rashi on Exodus 4:10:2,"3069@שמות ד,י@כבד פה@בלב""א@balbe@עילג, מגמגם@בהרבה כתבי-יד קוראים בלב""ו balbo (איטלקית?), אולי מפני שבצרפתית נעלמה המלה במשך ימי-הביניים הוחלפה ב – begue.$"
Rashi on Exodus 5:7:1,"3070@שמות ה,ז@תבן@אישטובל""א@estoble@קש (הנשאר בשדה אחרי הקציר)@בצרפתית של היום eteule, באנגלית stubble, בגרמנית Stoppel.$"
Rashi on Exodus 5:7:2,"3071@שמות ה,ז@לבנים@טיולי""ש@tiules@רעפים@$"
Rashi on Exodus 5:8:4,"3072@שמות ה,ח@נרפים@ריטריי""ט@retreit@הימנעות@היינו מצפים לצורת הבינוני של הפועל, אך בכתבי-היד נותנים retreit  או ריטריי""ש retreis ולא retreiz, וקשה לקבוע תרגום מתאים. לכן אני מציע לראות בלעז שם-עצם, המוסר את משמעות העניין.$"
Rashi on Exodus 7:1:2,"3073@שמות ז,א@(נביאך)[נביא]@פריידוי""ר@preideor@פרקליט@לפי ברנדין, המסתמך על רוב הגרסאות, preideor היא צורה חילופית של pleideor, ""הטוען לפני בית-הדין"". לפחות כתב-יד אחד כותב פרקייר""א [-פריקייר""א] prechire, ""מליץ ומטיף"" (ביחסת הנושא), וזה מתאים יותר לדברי הפירוש: ""המכריז ומשמיע לעם דברי תוכחה"". הגרסה ""פרידיג""ר"". שבחומשים (פרידגי""ר באחד מכתבי-היד) מושפעת מהגרמנית (Prediger).$"
Rashi on Exodus 7:19:4,"3074@שמות ז,יט@(אגמיהם)[אגם]@אישטנ""ק@estanc@אגם@$"
Rashi on Exodus 8:2:1,"3075@שמות ח,ב@כנם@פידולייר""א@pedoliere@קבוצת כינים@שייך להלן ח,יג ומובא כאן לדוגמה של שם קבוצתי ביחיד המצביע על מכלול חיות מסוימות.$"
Rashi on Exodus 8:2:1,"3076@שמות ח,ב@צפרדע@גרינוילייר""א@greinoiliere@קבוצת צפרדעים@בהרבה כתבי-יד יש דלי""ת במקום הרי""ש (אותיות המתחלפות תכופות בכתיבה) ולפי זה גרס דרמסטטר (או ברנדין) גרינויליד""א greinoilede, באותה משמעות. אך נראה יותר להתאים את שתי הדוגמאות, הלעז הזה והלעז הקודם. בכתבי-יד אחדים מביאים צורה נגזרת מהלטינית rana (""צפרדע"") ריינולייר""א reinoliere וכדומה.$"
Rashi on Exodus 8:5:1,"3077@שמות ח,ה@התפאר@ונטי""ר@wanter@להתפאר, להשתבח@ההבדל בין wanter ל -  porwanter הוא, כפי הנראה, שהראשון מצביע על התפארות בלי סיבה סבירה, והשני התפארות, שיש לה על מה לסמוך.$"
Rashi on Exodus 8:13:1,"3078@שמות ח,יג@כנם@פידולייר""א@pedoliere@קבוצת כינים@ר' לעיל מס' 3075. למרות שרוב הגרסאות ב – r, ברנדין קורא כאן, בניגוד לשם, פידויליד""א pedoilede כמו שכתב לעיל grenoilede גרינויליד""א.$"
Rashi on Exodus 8:17:1,"3079@שמות ח,יז@משליח@אינטיציי""ר@enticier@לדרבן, לשסות@$"
Rashi on Exodus 9:8:1,"3080@שמות ט,ח@(חפניכם)[חפנים]@יילוני""ש@jelones@גלונים (מידות היובש)@בין המון הגרסאות בולטות האותיות המכַוונות לפענוח הנ""ל (או למלה קרובה כגון יילונ""ש, גלונ""ש, galons, jelons [כמו השם העברי]). שונה לגמרי הוא הנוסח פויי""ל שבארבעה כתבי-יד; כפי הנראה רצו לקרב את הלעז לגזרון poing (""אגרוף""), אבל מלה כמו poiel אינה ידועה. ייתכן שרש""י הסתפק בהצבעה על מידה גדולה.$"
Rashi on Exodus 9:8:2,"3081@שמות ט,ח@פיח@אולבי""ש@olves@גחלים@שני הלעזים האחרונים אין להם עדויות ברורות וחד משמעיות, אך שניהם מופיעים במקום זה בגלוסר של פריז, שיצא לאור בעריכת מ' למבר ול' ברנדין.$"
Rashi on Exodus 9:17:1,"3082@שמות ט,יז@מסתולל@קלקיי""ר@chalchier@לכבוש@משמעות ראשונית של מלה: ""לדרוך, לרמוס"" ובהשאלה ""לדכא, לרדוף"".$"
Rashi on Exodus 10:15:1,"3083@שמות י,טו@ירק@וירדור""א@werdure@ירק (צמחייה ירוקה)@$"
Rashi on Exodus 10:22:1,"3084@שמות י,כב@שלשת@טירציינ""א@terceine@קבוצה של שלושה@$"
Rashi on Exodus 10:22:1,"3085@שמות י,כב@שבעת@שייטיינ""א@seiteine@קבוצה של שבעה@המלה העברית אינה מופיעה כאן במקרא (אלא ר' להלן מס' 3089); היא ניתנת לדוגמא מקבילה ל""שלשת"".$"
Rashi on Exodus 10:26:1,"3086@שמות י,כו@פרסה@פלנט""א@plante@כף רגל@$"
Rashi on Exodus 12:7:3,"3087@שמות יב,ז@משקוף@לינטיי""ר@lintier@משקוף@בצרפתית של היום linteau (החלפת הסיומת).$"
Rashi on Exodus 12:11:3,"3088@שמות יב,יא@פסח@פשק""א@paske@פסח@אפשר גם לקרוא פשק""א pasche, אך גברה בצרפתית הצורה paske, או בכתב המקובל pasque, בגלל השפעות צדדיות. רש""י רומז כפי הנראה לפועל הצרפתי passer (""לעבור"") או לשם passage (""מעבר""), שמשמעותם תואמת את הסברו האטימולוגי, כמו ""פסח"" ו""פסע"" בעברית.$"
Rashi on Exodus 12:15:1,"3089@שמות יב,טו@שבעת@שייטיינ""א@seiteine@קבוצה של שבעה@ר' לעיל מס' 3085.$"
Rashi on Exodus 14:3:3,"3090@שמות יד,ג@נבכים@שירי""ץ@serez@לחוצים, דחוסים@$"
Rashi on Exodus 14:11:1,"3091@שמות יד,יא@המבלי אין קברים@ש""י פו""ר פיילנצ""א ד""י נו""ן פןשי""ש@se por feilance de non foses@האם בגלל מחסור של לא קברים@לעז זה, הארוך מכל הלעזים שבפירוש רש""י על התורה, ואולי בכל פירושי רש""י, מיועד להסביר חריג תחבירי: השימוש בשתי שלילות, המחזקות, ולא מבטלות, זו את זו. כפי שבעברית יש לנו ""מבלי"" ו""אין"", היה אפשרי בצרפתית, כפי הנראה, לומר ""מחסור של לא"" במקום ""מחסור"" סתם.$"
Rashi on Exodus 14:24:4,"3092@שמות יד,כד@מהומה@אישטורדישו""ן@estordison@מבוכה, הלם@רש""י אינו מתרגם את הפועל שבפסוק (ויהם), אלא מתרגם את הסברו שלו: ""לשון מהומה"".$"
Rashi on Exodus 15:10:3,"3093@שמות טו,י@עופרת@פלו""ם@plom@עופרת@$"
Rashi on Exodus 15:24:1,"3094@שמות טו,כד@וילנו@decompleinst sei@דיקומפליינש""ט שי""י@התלונן (מלה במלה: קונן על עצמו)@צורת היחיד לפי הנושא: ""העם"". רש""י מסביר, שהנפעל משמעותו חוזרת, כלומר: הנושא מפעיל את עצמו. אינני יודע, מה מוסיפה הקידומת de-.$"
Rashi on Exodus 16:5:2,"3095@שמות טז,ה@ברכה@פוישו""ן@foison@שפע@רש""י מסביר ""לקטו לחם משנה"": ""בלקיטתו היה נמצא לחם משנה"", לא שלקטו יותר, אלא שהקב""ה השרה ""ברכה"" על מה שלקטו.$"
Rashi on Exodus 16:14:4,"3096@שמות טז,יד@כפר@ייליד""א@jelede@(שכבה)קפואה@$"
Rashi on Exodus 16:14:4,"3097@שמות טז,יד@דק@טינבי""ש@tenves@דק@אין מקום כאן לרבים, ואולי לפנינו יחסת-נושא.$"
Rashi on Exodus 16:21:2,"3098@שמות טז,כא@ונמס@destemprer@דישטימפרי""ר@למתן, להפשיר@$"
Rashi on Exodus 16:31:1,"3099@שמות טז,לא@גד@אליינדר""א@aliendre@כוסבר@$"
Rashi on Exodus 18:18:1,"3100@שמות יח,יח@תבל@פלישטרי""ר@fleistrir@לכמוש, לנבול@$"
Rashi on Exodus 20:5:1,"3101@שמות כ,ה@קנא@אינפרינמינ""ט@enprenment@חרון-אף@הלעז אינו מתרגם את קנא, אלא את מושג הקנאות: ""כל לשון קנא אינפרינמינ""ט בלע""ז"". ראה להלן מס' 3217.$"
Rashi on Exodus 20:23:1,"3102@שמות כ,כג@מעלת@אישקילונ""ש@eschelons@מדרגות@$"
Rashi on Exodus 21:25:2,"3103@שמות כא,כה@פצע@נברדור""א@navredure@פציעה@כתבנו בלי יו""ד לפני הדל""ת, כי כך הוא בכל הגרסאות. וייתכן, שלא היה מקום ל – e, כי ה – d בצרפתית הייתה אילמת בתקופה ההיא או כמעט אילמת.$"
Rashi on Exodus 21:25:3,"3104@שמות כא,כה@חבורה@טי""א@taje@כתם@$"
Rashi on Exodus 21:25:3,"3105@שמות כא,כה@חבטה@בטדור""א@batdure@מכה@ר' מה שנאמר לגבי navrdure באותו פסוק לעיל (מס' 3103). אבל כאן כתב-יד אחד נותן בטידור""א batedure. רש""י מסביר פעמיים את המלה ""חבורה"" אחת לפי העברית (""כתם"") ואחת לפי תרגום אונקלוס (""משקופי"").$"
Rashi on Exodus 22:5:2,"3106@שמות כב,ה@קצים@קרדונ""ש@chardons@פירות של קרדה (=קוץ).@ר' אה""ל מס' 110.$"
Rashi on Exodus 25:20:1,"3107@שמות כה,כ@תונה@קונטרליי""ר@contralier@לקנטר@ר' אה""ל מס' 671. בלעז שלפנינו חלה דיסימילציה (בידול) לעומת contrarier.$"
Rashi on Exodus 25:2:3,"3108@שמות כה,ב@ידבנו@פרישנ""ט@presant@מתנה@$"
Rashi on Exodus 25:10:1,"3109@שמות כה,י@ארגז@אישקרי""ן@escrin@קופסה@""יושב על שוליו"", כלומר בלי רגליים.$"
Rashi on Exodus 25:18:2,"3110@שמות כה,יח@מעשה צורפים@שולדי""ץ@soldez@מולחמים@רש""י מסביר קודם, כיצד לא נעשתה המלאכה: על-ידי הלחמה.$"
Rashi on Exodus 25:18:3,"3111@שמות כה,יח@מקשה@בטידי""ץ@batediz@עשוי בהכאה@כפי שנאמר לעיל, אפשר לכתוב גם batdiz (בטדי""ץ) כרוב כתבי-היד, משום אילמותה של ה – d.$"
Rashi on Exodus 25:31:1,"3112@שמות כה,לא@דרך הצורפים@שולדי""ר@solder@להלחים@ר' לעיל מס' 3110.$"
Rashi on Exodus 25:31:2,"3113@שמות כה,לא@מקשה@בטידי""ץ@batediz@עשוי בהכאה@ר' לעיל מס' 3111.$"
Rashi on Exodus 25:31:6,"3114@שמות כה,לא@(גביעיה)[גביעים]@מדרינ""ש@madrins@גביעים@בעצם כוסות ארוכות וצרות (ר' אה""ל מס' 1166). אפשר גם לקרוא מדירני""ש madernes.$"
Rashi on Exodus 25:31:7,"3115@שמות כה,לא@(כפתריה)[כפתורים]@פומיל""ש@pomels@כפתורים (כדורים לנוי מסביב לקנה)@רש""י מתאר את הכפתורים ""כמין תפוחים"" ומתרגם בהתאם, כי pomels מוצאו מהמלה pome(pomme) ""תפוח"".$"
Rashi on Exodus 25:33:1,"3116@שמות כה,לג@משקדים@ניילי""ר@neeler@לגפר (לבצע תצריב באמצעות גפרית)@$"
Rashi on Exodus 25:38:1,"3117@שמות כה,לח@(מלקחיה)[מלקחים]@טינליי""א@tenalie@צבת@יש גרסאות עם סימן ריבוי: טיניילי""ש tenalies.$"
Rashi on Exodus 25:38:2,"3118@שמות כה,לח@(מחתתיה)[מחתות]@פוישידויר""א@puisedoire@דלי, כלי שאיבה@מסתבר, שכך המשמעות המקורית של המלה, המציינת כאן ""מחתה"", כלומר כלי לחתות גחלים ולנקות את האפר. האל""ף מופיעה בכל הגרסאות.$"
Rashi on Exodus 26:1:3,"3119@שמות כו,א@חגורות של משי@פיישי""ש@feises@פסים, רצועות@רש""י מסביר את ""מעשה חושב"" של יריעות המשכן: ""אריגה בשני כותלים, פרצוף אחד מכאן ופרצוף אחד מכאן"" בהצבעה על חגורות של משי, שהיו מייצרים בזמנו בשיטה דומה.$"
Rashi on Exodus 26:4:1,"3120@שמות כו,ד@ללאת@לצול""ש@lacols@שרוכים, לולאות@$"
Rashi on Exodus 26:6:1,"3121@שמות כו,ו@קרסים@פירמייל""ץ@fermeilz@סגרים@ר' אה""ל מס' 1758.$"
Rashi on Exodus 26:15:2,"3122@שמות כו,טו@עמדים@אישטנטיבי""ש@estantives@עומדות, ערוכות בעמידה@צורת הנקבה, כפי הנראה, בהתאם לתרגום הצרפתי של ""קרשים"" planches.$"
Rashi on Exodus 26:26:1,"3123@שמות כו,כו@בריחם@אישבר""ש@esbars@מוטות@$"
Rashi on Exodus 27:3:2,"3124@שמות כז,ג@לדשנו@אישצינדרי""ר@escendrer@לפנות את האפר@לפי כמה גרסאות אפשר גם לקרוא דישצינדרי""ר descendrer באותה משמעות.$"
Rashi on Exodus 27:3:3,"3125@שמות כז,ג@(יעיו)[יעים]@ודי""ל@wadil@יעה, מגרפה@$"
Rashi on Exodus 27:3:5,"3126@שמות כז,ג@(מזלגתיו)[מזלגות]@קרוצינ""ש@crocins@ווים, אנקולים@$"
Rashi on Exodus 27:4:1,"3127@שמות כז,ד@מכבר@קריבל""א@crible@כברה@$"
Rashi on Exodus 27:10:2,"3128@שמות כז,י@קונדסין@פל""ש@pals@יתדות, כלונסאות@$"
Rashi on Exodus 27:10:2,"3129@שמות כז,י@אונקליות@גונ""ש@gons@צירים@$"
Rashi on Exodus 28:3:1,"3130@שמות כח,ג@כהונה@שיריינטריא""ה@serjentrie@שירות@$"
Rashi on Exodus 28:4:2,"3131@שמות כח,ד@סינר@פורציינ""ט@porceint@חגורה@$"
Rashi on Exodus 28:4:4,"3132@שמות כח,ד@תשבץ@קשטונ""ש@chastons@משבצות@$"
Rashi on Exodus 28:4:5,"3133@שמות כח,ד@מצנפת@קרויפ""א@coife@שביס עשוי רשת@$"
