French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"נתעטש/אישטירנודי""ר",Berakhot 24a,Rashi on Berakhot 24a:23:3,,"15 ברכות כד. <b>נתעטש</b><br>אישטירנודי""ר esternuder <b>להתעטש</b><br><small>$
</small>","(24a:23:3) ונתעטש – שטרנוד""ר בלע""ז ויש שדורשים גיהק נוטריקון גו הקים שטריליי""ר פיהק פיו הקים:"
"גיהק/אישטינדייליי""ר",Berakhot 24a,,"Rashi on Berakhot 24a:23:1,
Rashi on Berakhot 24a:23:3","16 ברכות כד. <b>גיהק</b><br>אישטינדייליי""ר estendeilier [estendeillier] <b>להתמתח</b><br><small>מצוי רק בדפוס סונצינו (מהדורה ב'. רעא בערך) בצורת אשטריליי""ר (צ""ל אישטריליי""ר estrelier), שהיא ודאי שיבוש.$
</small>","(24a:23:1) שגיהק – ריט""ייר בלע""ז פעמים שאדם מוציא מגופו לפיו נפיחה מתוך שובעו וריחה כריח המאכל שאכל:,
(24a:23:3) ונתעטש – שטרנוד""ר בלע""ז ויש שדורשים גיהק נוטריקון גו הקים שטריליי""ר פיהק פיו הקים:"
"(סנטרו) [סנטר]/מינטו""ן",Berakhot 24b,Rashi on Berakhot 24b:1:3,,"17 ברכות כד: <b>(סנטרו) [סנטר]</b><br>מינטו""ן menton <b>סנטר</b><br><small>$
</small>","(24b:1:3) על סנטרו – מנטו""ן בלע""ז שלא תראה פתיחת פיו:"
"ירקון/ילונציא""ה",Berakhot 25a,Rashi on Berakhot 25a:2:3,,"18 ברכות כה. <b>ירקון</b><br>ילונציא""ה jaloncia <b>צהבת</b><br><small>יש דמיון-צלילים רב בין המלה צהבת"" בצרפתית עתיקה (ילונציא""ה) ובין המלה, ממוצא שונה לגמרי, המציינת ""קנאות"" (jalosie ילושיא""ה); הנחה נועזת למדאי תהיה, שרש""י התכוון לרמוז על הקשר בין מחלת ""הירקון"" ובין הקנאה, הגורמת לאדם, שפניו ""מוריקות"". צורה שונה של הלעז גלניצ""א (=ילניצא""ה jalnice) מופיעה בדפוס סונצינו. חוץ מצורה זו אין בשום מקור (אף לא במס' 741 להלן) האות צד""י המתבקשת, ובמקומה, בכל כתבי-היד, האות סמ""ך, שרש""י נמנע שיטתית מלהשתמש בה! ר' מילונו של לוי (מס' 519).$
</small>","(25a:2:3) ירקון – חולי ששמו גלניצ""ה:"
"קרום/טייל""א",Berakhot 25a,Rashi on Berakhot 25a:18:3,,"19 ברכות כה. <b>קרום</b><br>טייל""א teile <b>אריג, קרום</b><br><small> ר' מילונו של לוי (מס' 756).$
</small>","(25a:18:3) קרמו – לשון קרום טיל""א כלומר גלד מעט:"
"עששית/לנטירנ""א",Berakhot 25b,Rashi on Berakhot 25b:9:1,,"20 ברכות כה: <b>עששית</b><br>לנטירנ""א lanterne <b>קופסה של זכוכית (המשמשת בדרך-כלל להגן על להבה של נר)</b><br><small>$
</small>","(25b:9:1) בעששית – לנטירנ""א בלע""ז כלומר מחיצת זכוכית או קלף דק מפסיק בנתיים והיא נראית:"
"נעניתי לך/שורפרלידי""ץ",Berakhot 28a,,Rashi on Berakhot 28a:10:1,"21 ברכות כח. <b>נעניתי לך</b><br>שורפרלידי""ץ sorparlediz <b>דיבור-יתר</b><br><small>חסר בדפוסי התלמוד שלנו. כפי הנראה רש""י מפרש ""נעניתי"" מלשון ""מענה"", ולא כפרשנים אחרים הרואים במלה לשון ""עינוי"". ר' מילונו של לוי (מס' 654).$
</small>",(28a:10:1) נעניתי לך – דברתי למולך יותר מן הראוי:
"פטיש/פי""ק",Berakhot 28b,Rashi on Berakhot 28b:8:2,,"22 ברכות כח: <b>פטיש</b><br>פי""ק pic <b>מעדר</b><br><small>$
</small>","(28b:8:2) פטיש – המפוצץ פי""ק בלע""ז:"
"אסדא/צי""ף",Berakhot 28b,Rashi on Berakhot 28b:15:3,,"23 ברכות כח: <b>אסדא</b><br>צי""ף cep <b>סד (שבו נעלו רגלי אסירים)</b><br><small>ר' מילונו של לוי (מס' 196) ור' להלן מס' 1794.$
</small>","(28b:15:3) באסדא – כמו ותשם בסד רגלי (איוב י״ג:כ״ז) בית הסהר שקורין ציפ""ש בלע""ז. לשון אחר עצים הקשורים זה עם זה הרבה יחד ובלשון מקרא קורא אותם רפסודות (ד""ה ב) ובלע""ז רדיי""ל ובלשון אשכנז ולו""ס ומשיטן בנהר להוליכן ממקום למקום ויכולין להלך עליהן כמו בספינה:"
"אסדא/רי""ד",Berakhot 28b,,Rashi on Berakhot 28b:15:3,"24 ברכות כח: <b>אסדא</b><br>רי""ד red <b>רפסודה</b><br><small>$
</small>","(28b:15:3) באסדא – כמו ותשם בסד רגלי (איוב י״ג:כ״ז) בית הסהר שקורין ציפ""ש בלע""ז. לשון אחר עצים הקשורים זה עם זה הרבה יחד ובלשון מקרא קורא אותם רפסודות (ד""ה ב) ובלע""ז רדיי""ל ובלשון אשכנז ולו""ס ומשיטן בנהר להוליכן ממקום למקום ויכולין להלך עליהן כמו בספינה:"
"אסדא/ולו""ס",Berakhot 28b,,Rashi on Berakhot 28b:15:3,"25 ברכות כח: <b>אסדא</b><br>ולו""ס vlos <b>רפסודה (בגרמנית)</b><br><small>אחרי שהביא רש""י את הלעז הצרפתי red, הוא מוסיף: ""ובלשון אשכנז ולו""ס"". הכתיב בגרמנית של היום: Floss.$
</small>","(28b:15:3) באסדא – כמו ותשם בסד רגלי (איוב י״ג:כ״ז) בית הסהר שקורין ציפ""ש בלע""ז. לשון אחר עצים הקשורים זה עם זה הרבה יחד ובלשון מקרא קורא אותם רפסודות (ד""ה ב) ובלע""ז רדיי""ל ובלשון אשכנז ולו""ס ומשיטן בנהר להוליכן ממקום למקום ויכולין להלך עליהן כמו בספינה:"
"צמר גפן/קוטו""ן",Berakhot 28b,Rashi on Berakhot 28b:23:1,,"26 ברכות כח: <b>צמר גפן</b><br>קוטו""ן coton <b>כותנה</b><br><small>יש להעיר, שפירושה המקורי של המלה הארמית ""כותנא"" הוא פשתן.$
</small>","(28b:23:1) הפקולי – מוכר פקולי צמר גפן שקורין קיטו""ן:"
"(צחור)[גיחור]/רו""ש",Berakhot 31b,Rashi on Berakhot 31b:18:2,,"27 ברכות לא: <b>(צחור)[גיחור]</b><br>רו""ש ros <b>אדמוני</b><br><small>$
</small>","(31b:18:2) צחור – רו""ש בלע""ז:"
"החלהו/אנויי""ר",Berakhot 32a,Rashi on Berakhot 32a:19:1,,"28 ברכות לב. <b>החלהו</b><br>אנויי""ר anuier <b>להטריד, ""לנדנד"" [enuier]</b><br><small>$
</small>","(32a:19:1) שהחלהו – הפציר בו אנויי""ר בלע""ז:"
"אשתא דגרמי/מלויי""ד",Berakhot 32a,Rashi on Berakhot 32a:23:2,,"29 ברכות לב. <b>אשתא דגרמי</b><br>מלויי""ד malweid [maleveid] <b>מיחושים (כלומר קדחת)</b><br><small>ר' מילונו של לוי (מס' 65)$
</small>","(32a:23:2) אשתא דגרמי – מוליי""ר בלע""ז:"
"זמית/שלמויר""א",Berakhot 36a,Rashi on Berakhot 36a:12:2,,"30 ברכות לו. <b>זמית</b><br>שלמויר""א salmuire <b>מי-מלח (של שימורים)</b><br><small>ר' מילונו של לוי (מס' 721).$
</small>","(36a:12:2) זמית – שלמיר""א:"
"המלתא/ליטוארי""א",Berakhot 36b,Rashi on Berakhot 36b:17:1,,"31 ברכות לו: <b>המלתא</b><br>ליטוארי""א letua%rie [letuarie] <b>דייסה לתרופה, העשויה  מעשבים ממותקים</b><br><small>בפירוש רש""י על ""חביץ קדירה"", מדובר במאכל העשוי מקמח, מדבש ומשמן ""וקרו ליה אברושד""י (נ""א: אברוש""ך)"". אין זה לעז צרפתי, אלא מלה פרסית – שאולי יש לה איזה קשר עם המלה היוונית ""אמברוסיה"" (מטָעם האלים). ר' ""דקדוקי סופרים"", אות ל'.$
</small>","(36b:17:1) המלתא – ליטואר""יו בלעז:"
"אורז/מי""ל",Berakhot 37a,Rashi on Berakhot 37a:1:2,,"32 ברכות לז. <b>אורז</b><br>מי""ל mil <b>דוחן</b><br><small>מה שאנו מכנים ""אורז"" לא היה ידוע בימי רש""י בצרפת, או בכל אופן לא היה בשימוש.
</small>","(37a:1:2) אורז – מי""ל:"
"דוחן/פני""ץ",Berakhot 37a,Rashi on Berakhot 37a:1:3,,"33 ברכות לז. <b>דוחן</b><br>פני""ץ paniz <b>פנג</b><br><small>$
</small>","(37a:1:3) דוחן – פנ""ץ:"
"חביצא/שלקי""ק",Berakhot 37b,Rashi on Berakhot 37b:5:1,,"34 ברכות לז: <b>חביצא</b><br>שלקי""ק תבשיל המתבשל בתוך סיר ובו פירורי לחם ועוד <b>salchich [	]</b><br><small>לא פוענח ע""י בלונדהיים. אולי: נקניק (salsice שלשיצ""א) או רוטב מלוח (salcis שלצי""ש). בניירות, שהשאיר בלונדהיים בעזבונו, הוא מביא את המלה salaie (=שלייא""ה saleie?), כמין מאפה מלוח. ור' גם להלן מס' 2018.$
</small>","(37b:5:1) חביצא – כעין שלניי""קוק שמפררין בתוך האלפס לחם:"
"דורמסקין/אדרילצי""ש",Berakhot 39a,Rashi on Berakhot 39a:4:1,,"35 ברכות לט. <b>דורמסקין</b><br>אדרילצי""ש adrelces <b>מלוח (שיח בר)</b><br><small>ר' בלונדהיים ב' (ע' 54-53)$
</small>","(39a:4:1) דורמסקין – אף הן שלקות מעשב שקורין אקדלשי""ט בלע""ז כך ראיתי בפירוש בבא קמא של רבינו יצחק ברבי יהודה אבל כאן פירש פרונ""ש וכן שמעתי אני כאן ובבבא קמא (פ""י דף קטז:) פרונ""ש ואי אפשר להעמידה דא""כ הרי ברכתו ב""פ העץ והאיך קדם וברך על הפרגיות שברכתן שהכל ואינם כדברים חשובים כדמפרש ואזיל:"
"דורמסקין/פרוני""ש",Berakhot 39a,Rashi on Berakhot 39a:4:1,,"37-36 ברכות לט. <b>דורמסקין</b><br>פרוני""ש prunes <b>שזיפים</b><br><small>$
</small>","(39a:4:1) דורמסקין – אף הן שלקות מעשב שקורין אקדלשי""ט בלע""ז כך ראיתי בפירוש בבא קמא של רבינו יצחק ברבי יהודה אבל כאן פירש פרונ""ש וכן שמעתי אני כאן ובבבא קמא (פ""י דף קטז:) פרונ""ש ואי אפשר להעמידה דא""כ הרי ברכתו ב""פ העץ והאיך קדם וברך על הפרגיות שברכתן שהכל ואינם כדברים חשובים כדמפרש ואזיל:"
"פרגיות/פירדרי""ץ",Berakhot 39a,Rashi on Berakhot 39a:4:2,,"38 ברכות לט. <b>פרגיות</b><br>פירדרי""ץ perdriz <b>חגלות</b><br><small>$
</small>","(39a:4:2) פרגיות – בשר עוף שקורין פרדרי""א:"
"פרמינהו/מינושיי""ר",Berakhot 39a,Rashi on Berakhot 39a:8:2,,"39 ברכות לט. <b>פרמינהו</b><br>מינושיי""ר menusier <b>לקצץ</b><br><small>$
</small>","(39a:8:2) פרמינהו – מנושיי""ר בלע""ז לשון קניבת ירק:"
"שיבתא/אניי""ד",Berakhot 39a,Rashi on Berakhot 39a:11:3,,"40 ברכות לט. <b>שיבתא</b><br>אניי""ד aneid <b>שֶבֶת (צמח ריחני)</b><br><small>ר' בלונדהיים ב' (עמ' 94-91), המצביע על ערבוב התחומים בין שני מיני צמחים קרובים זה לזה, בצרפתית של היום aneth ו-anis.$
</small>","(39a:11:3) דשיבתא – ירק שנותנין מעט בקדרה למתק בעלמא ולא לאכלו אני""ט בלע""ז:"
"אסכרה/בו""ן מלנ""ט",Berakhot 40a,Rashi on Berakhot 40a:4:1,,"41 ברכות מ. <b>אסכרה</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>ראה לעיל מס' 5.$
</small>","(40a:4:1) אסכרה – בו""ן מלאנ""ט:"
"קצח/נייל""א",Berakhot 40a,Rashi on Berakhot 40a:9:1,,"42 ברכות מ. <b>קצח</b><br>נייל""א niele [neele] <b>קצח (צמח)</b><br><small>$
</small>","(40a:9:1) קצח – רבותינו מפרשים נייל""א בלע""ז אבל אני שמעתי מין זרעים שזורעין אותו בארץ ישמעאל:"
"הקרים/בוטי""ר",Berakhot 40b,Rashi on Berakhot 40b:14:1,,"43 ברכות מ: <b>הקרים</b><br>בוטי""ר boter <b>להתעבות (יין המתקלקל)</b><br><small>$
</small>","(40b:14:1) גמ' שהקרים – בוטי""ר בלע""ז:"
"שיתין/פרונילי""ש",Berakhot 40b,,Rashi on Berakhot 40b:21:2,"44 ברכות מ: <b>שיתין</b><br>פרונילי""ש pruneles <b>פירות שזיף-הבר</b><br><small>לעז זה אינו נמצא בדפוסי התלמוד, אלא ב""עיקרי התלמוד"", כ""י של ר' אברהם זכות, המביאו בשם רש""
</small>","(40b:21:2) השיתין כו' – שאינן חשובים ואין ע""ה חש עליהם מלעשרן:"
"טולשי/קורמי""ש",Berakhot 40b,Rashi on Berakhot 40b:22:1,,"45 ברכות מ: <b>טולשי</b><br>קורמי""ש cormes <b>פירות העוזרר</b><br><small>ראה להלן מס' 166.$
</small>","(40b:22:1) טולשי – קולמש""י:"
"פת שנלושה עם תבלין/אובלידי""ש",Berakhot 41b,Rashi on Berakhot 41b:6:5,,"46 ברכות מא: <b>פת שנלושה עם תבלין</b><br>אובלידי""ש obledes <b>אפיפיות, ""וַפלים""</b><br><small>$
</small>","(41b:6:5) פת הבאה בכסנין – לאחר אכילה ובהמ""ז היו רגילים להביא כיסנין והן קליות לפי שיפין ללב כדאמרי' בעלמא (עירובין כט:) הני כיסני דמעלו לליבא ומביאין עמהן פת שנלושה עם תבלין כעין אובליאי""ש שלנו ויש שעושין אותן כמין צפורים ואילנות ואוכלין מהן דבר מועט ומתוך שנותנים בה תבלין הרבה ואגוזים ושקדים ומאכלה מועט לא הטעינוה ברכה מעין ג' מידי דהוה אפת אורז ודוחן דאמרינן בפרקין (דף לז:) בתחלה בורא מיני מזונות ולבסוף ולא כלום:"
"לחמניות/אובלידי""ש",Berakhot 42a,Rashi on Berakhot 42a:4:1,,"47 ברכות מב. <b>לחמניות</b><br>אובלידי""ש obledes <b>אפיפיות, ""וַפלים""</b><br><small>$
</small>","(42a:4:1) לחמניות – אובליא""ש בלע""ז:"
"ריסתנא/אמינישטרישו""ן",Berakhot 42a,Rashi on Berakhot 42a:6:1,,"48 ברכות מב. <b>ריסתנא</b><br>אמינישטרישו""ן מנה, משאת <b>amenstrsion [amenestraison]</b><br><small>ראה להלן מס' 62; כפי הנראה הגרסה הנכונה גם כאן היא ""דיסתנא"". ור' בלונדהיים ב' (עמ' 85), הגורס amenestraison; לנו נראה יותר, לפי הגרסאות שלפנינו, amenestrison  או  amenestreison (אמינישטריישו""ן).$
</small>","(42a:6:1) ריסתנא – אמנישטרשיו""ן:"
"מושק/מושג""א",Berakhot 43a,Rashi on Berakhot 43a:14:2,,"49 ברכות מג. <b>מושק</b><br>מושג""א musge [musgue] <b>מוּשְׁק</b><br><small>ר' להלן מס' 541.$
</small>","(43a:14:2) חוץ ממושק – מושג""א בלע""ז:"
"סמלק/יסמי""ן",Berakhot 43b,Rashi on Berakhot 43b:1:1,,"49א ברכות מג: <b>סמלק</b><br>יסמי""ן  <b>""בלשון ישמאעל"".</b><br><small>$
</small>","(43b:1:1) סמלק – יסמי""ן קורין לו בלשון ישמעאל והוא מין עשב שיש בו שלש שורות של עלין זו למעלה מזו ושלשה עלין לכל שורה:"
"חלפי דימא/אישפי""ג",Berakhot 43b,Rashi on Berakhot 43b:1:2,,"50 ברכות מג: <b>חלפי דימא</b><br>אישפי""ג espig <b>אזוביון</b><br><small>$
</small>","(43b:1:2) חלפי דימא – בושם שקורין אשפי""ג והוא שבולת נרד ועשוי כעין גבעולי פשתן דאשכחן גבעולין דאיקרי עץ:"
"סיגלי/ויולי""ש",Berakhot 43b,Rashi on Berakhot 43b:2:3,,"51 ברכות מג: <b>סיגלי</b><br>ויולי""ש wioles [violes] <b>סגלים, סיגליות</b><br><small>$
</small>","(43b:2:3) סיגלי – ויול""ש בלע""ז:"
"חבושין/קודוינ""ץ",Berakhot 43b,Rashi on Berakhot 43b:2:4,,"52 ברכות מג: <b>חבושין</b><br>קודוינ""ץ codoinz <b>חבושים (פירות)</b><br><small>$
</small>","(43b:2:4) חבושין – קודוניי""ש בלע""ז:"
"פנתא/אינפייני""א",Berakhot 43b,Rashi on Berakhot 43b:15:1,,"53 ברכות מג: <b>פנתא</b><br>אינפייני""א enpeinie [enpeigne] <b>פנת (העור העליון של הנעל)</b><br><small>$
</small>","(43b:15:1) בפנתא – אנפוני""א בלע""ז שעל גבי הרגל:"
"גילדא/שול""א",Berakhot 43b,Rashi on Berakhot 43b:15:2,,"54 ברכות מג: <b>גילדא</b><br>שול""א sole <b>סוליה</b><br><small>$
</small>","(43b:15:2) גילדא – עקב שקורין שול""א:"
"טרית/טונינ""א",Berakhot 44a,Rashi on Berakhot 44a:5:1,,"55 ברכות מד. <b>טרית</b><br>טונינ""א tonine <b>טוּנה</b><br><small>$
</small>","(44a:5:1) ספלי טרית – ספלים מלאים חתיכות דג חתוך שקורים טונינ""א:"
"בריכות/קובידי""ש",Berakhot 44a,Rashi on Berakhot 44a:6:1,,"56 ברכות מד. <b>בריכות</b><br>קובידי""ש covedes <b>דגירות</b><br><small>ר' מילונו של לוי (מס' 254).$
</small>","(44a:6:1) בריכות – קובייא""ש בלע""ז:"
"סיסין/פוליו""ל",Berakhot 44b,Rashi on Berakhot 44b:20:1,,"57 ברכות מד: <b>סיסין</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$
</small>","(44b:20:1) ומי סיסין – תבשיל של פוליאו""ל:"
"הרת/וידילור""א",Berakhot 44b,,Rashi on Berakhot 44b:20:2,"58 ברכות מד: <b>הרת</b><br>וידילור""א wedelure[  ] <b>רחם (של חיה)</b><br><small>לא פענחנו בלונדהיים. אני מביא, כהנחה בלבד, את האפשרות של מלה הנגזרת מהפועל wedeler ""ללדת (עגל)"", שתהיה משמעותה ""איברי הלידה"" של הפרה. לוי מביא במילונו (מס' 786) את ההשערה וידיליא""ה vedilie (חוט הטבור), אותה מלה כמו wedilie (קנוקנת), ר' להלן מס' 67 ועוד.$
</small>","(44b:20:2) והרת – ולדיר""א שהולד נוצר בו:"
"יותרת הכבד/איברי""ש",Berakhot 44b,Rashi on Berakhot 44b:20:3,,"59 ברכות מד: <b>יותרת הכבד</b><br>איברי""ש edres <b>סרעפת</b><br><small>(ר' להלן מס' 2084).$
</small>","(44b:20:3) יותרת הכבד – טרפשא דכבדא שקורין אייבר""ש:"
"אסימון/פלדו""ן",Berakhot 47b,Rashi on Berakhot 47b:10:1,,"60 ברכות מז: <b>אסימון</b><br>פלדו""ן fladon <b>עשת, גולם (חתיכת מתכת, לפני שהוטבעה בה צורת מטבע)</b><br><small>$
</small>","(47b:10:1) אסימון – כסף שלא נקבע בו צורה וקורין לו פלזו""ן בלע""ז:"
"קורייטי/פוישו""ן",Berakhot 50b,Rashi on Berakhot 50b:8:2,,"61 ברכות נ: <b>קורייטי</b><br>פוישו""ן poison <b>שיקוי, משקה לרפואה</b><br><small>בצרפתית של היום, לפי גזירה ישירה מהלטינית: potion. המלה הנגזרת לפי ההתפתחות הטבעית של הלשון, poison כדלעיל, נתייחדה למובן ""רעל"".$
</small>","(50b:8:2) לקורייטי – פיישו""ן בלע""ז ובלשון חכמים אנומלית ואלונתית:"
"דיסתנא/אמינישטרישו""ן",Berakhot 50b,Rashi on Berakhot 50b:10:2,,"62 ברכות נ: <b>דיסתנא</b><br>אמינישטרישו""ן מנה, משאת <b>amenestrison  [amenestraison]</b><br><small>ר' לעיל מס' 48.$
</small>","(50b:10:2) דסתנא – אמינישטרישו""ן בלע""ז מנה של בשר מבושל:"
"חי/פריש""ק",Berakhot 51a,Rashi on Berakhot 51a:17:1,,"63 ברכות נא. <b>חי</b><br>פריש""ק fresc <b>טרי, שרק עכשיו נמזג</b><br><small>$
</small>","(51a:17:1) חי – שמוזגו במים לאחר שנתנו בכוס חי אבל לברך עליו חי הא אמרן במתני' אין מברכין אי נמי חי בלע""ז פריש""ק להביאו מן החבית לשמו:"
"אוזן/אנש""א",Berakhot 52b,Rashi on Berakhot 52b:1:1,,"64 ברכות נב: <b>אוזן</b><br>אנש""א anse <b>אוזן, ידית (של כלי)</b><br><small>ר' בלונדהיים ב' (ע' 96).$
</small>","(52b:1:1) תוכו ואוגנו ואזנו וידיו טהורין – דכיון דטומאה זו דרבנן היא עבדו בה היכרא דלידעו דמדרבנן היא כי היכי דלא לשרוף עלה תרומה וקדשים והקילו בה וכן מפורש (בבכורות דף לח.) אוגנו שפתו הכפולה לצד חוץ הראוי לתשמיש אזנו כמו אזן החבית שקורין אנש""א בלע""ז וידיו כלי שיש לו יד כגון מחבת:"
"עששית/לנטירנ""א",Berakhot 53a,Rashi on Berakhot 53a:2:1,,"65 ברכות נג. <b>עששית</b><br>לנטירנ""א lanterne <b>מנורה (נר שבתוך קופסה של זכוכית)</b><br><small>ר' לעיל מס' 20.$ 
</small>","(53a:2:1) עששית – לנטירנ""א:"
"(קרסוליה) [קרסול]/קיביל""א",Berakhot 54b,Rashi on Berakhot 54b:6:3,,"66 ברכות נד: <b>(קרסוליה) [קרסול]</b><br>קיביל""א chevile (cheville) <b>קרסול</b><br><small>$
</small>","(54b:6:3) בקרסוליה – קבילי""א בלע""ז:"
