Rashi Matches,Data
Rashi on Berakhot 25a:18:3,"19 ברכות כה. <b>קרום</b><br>טייל""א teile <b>אריג, קרום</b><br><small> ר' מילונו של לוי (מס' 756).$</small>"
Rashi on Berakhot 25b:9:1,"20 ברכות כה: <b>עששית</b><br>לנטירנ""א lanterne <b>קופסה של זכוכית (המשמשת בדרך-כלל להגן על להבה של נר)</b><br><small>$</small>"
Rashi on Berakhot 28a:10:1,"21 ברכות כח. <b>נעניתי לך</b><br>שורפרלידי""ץ sorparlediz <b>דיבור-יתר</b><br><small>חסר בדפוסי התלמוד שלנו. כפי הנראה רש""י מפרש ""נעניתי"" מלשון ""מענה"", ולא כפרשנים אחרים הרואים במלה לשון ""עינוי"". ר' מילונו של לוי (מס' 654).$</small>"
Rashi on Berakhot 28b:8:2,"22 ברכות כח: <b>פטיש</b><br>פי""ק pic <b>מעדר</b><br><small>$</small>"
Rashi on Berakhot 28b:15:3,"23 ברכות כח: <b>אסדא</b><br>צי""ף cep <b>סד (שבו נעלו רגלי אסירים)</b><br><small>ר' מילונו של לוי (מס' 196) ור' להלן מס' 1794.$</small>"
Rashi on Berakhot 28b:15:3,"24 ברכות כח: <b>אסדא</b><br>רי""ד red <b>רפסודה</b><br><small>$</small>"
Rashi on Berakhot 28b:15:3,"25 ברכות כח: <b>אסדא</b><br>ולו""ס vlos <b>רפסודה (בגרמנית)</b><br><small>אחרי שהביא רש""י את הלעז הצרפתי red, הוא מוסיף: ""ובלשון אשכנז ולו""ס"". הכתיב בגרמנית של היום: Floss.$</small>"
Rashi on Berakhot 28b:23:1,"26 ברכות כח: <b>צמר גפן</b><br>קוטו""ן coton <b>כותנה</b><br><small>יש להעיר, שפירושה המקורי של המלה הארמית ""כותנא"" הוא פשתן.$</small>"
Rashi on Berakhot 31b:18:2,"27 ברכות לא: <b>(צחור)[גיחור]</b><br>רו""ש ros <b>אדמוני</b><br><small>$</small>"
Rashi on Berakhot 32a:19:1,"28 ברכות לב. <b>החלהו</b><br>אנויי""ר anuier <b>להטריד, ""לנדנד"" [enuier]</b><br><small>$</small>"
Rashi on Berakhot 32a:23:2,"29 ברכות לב. <b>אשתא דגרמי</b><br>מלויי""ד malweid [maleveid] <b>מיחושים (כלומר קדחת)</b><br><small>ר' מילונו של לוי (מס' 65)$</small>"
Rashi on Berakhot 36a:12:2,"30 ברכות לו. <b>זמית</b><br>שלמויר""א salmuire <b>מי-מלח (של שימורים)</b><br><small>ר' מילונו של לוי (מס' 721).$</small>"
Rashi on Berakhot 36b:17:1,"31 ברכות לו: <b>המלתא</b><br>ליטוארי""א letua%rie [letuarie] <b>דייסה לתרופה, העשויה  מעשבים ממותקים</b><br><small>בפירוש רש""י על ""חביץ קדירה"", מדובר במאכל העשוי מקמח, מדבש ומשמן ""וקרו ליה אברושד""י (נ""א: אברוש""ך)"". אין זה לעז צרפתי, אלא מלה פרסית – שאולי יש לה איזה קשר עם המלה היוונית ""אמברוסיה"" (מטָעם האלים). ר' ""דקדוקי סופרים"", אות ל'.$</small>"
Rashi on Berakhot 37a:1:2,"32 ברכות לז. <b>אורז</b><br>מי""ל mil <b>דוחן</b><br><small>מה שאנו מכנים ""אורז"" לא היה ידוע בימי רש""י בצרפת, או בכל אופן לא היה בשימוש.</small>"
Rashi on Berakhot 37a:1:3,"33 ברכות לז. <b>דוחן</b><br>פני""ץ paniz <b>פנג</b><br><small>$</small>"
Rashi on Berakhot 37b:5:1,"34 ברכות לז: <b>חביצא</b><br>שלקי""ק תבשיל המתבשל בתוך סיר ובו פירורי לחם ועוד <b>salchich [	]</b><br><small>לא פוענח ע""י בלונדהיים. אולי: נקניק (salsice שלשיצ""א) או רוטב מלוח (salcis שלצי""ש). בניירות, שהשאיר בלונדהיים בעזבונו, הוא מביא את המלה salaie (=שלייא""ה saleie?), כמין מאפה מלוח. ור' גם להלן מס' 2018.$</small>"
Rashi on Berakhot 39a:4:1,"35 ברכות לט. <b>דורמסקין</b><br>אדרילצי""ש adrelces <b>מלוח (שיח בר)</b><br><small>ר' בלונדהיים ב' (ע' 54-53)$</small>"
Rashi on Berakhot 39a:4:1,"37-36 ברכות לט. <b>דורמסקין</b><br>פרוני""ש prunes <b>שזיפים</b><br><small>$</small>"
Rashi on Berakhot 39a:4:2,"38 ברכות לט. <b>פרגיות</b><br>פירדרי""ץ perdriz <b>חגלות</b><br><small>$</small>"
Rashi on Berakhot 39a:8:2,"39 ברכות לט. <b>פרמינהו</b><br>מינושיי""ר menusier <b>לקצץ</b><br><small>$</small>"
Rashi on Berakhot 39a:11:3,"40 ברכות לט. <b>שיבתא</b><br>אניי""ד aneid <b>שֶבֶת (צמח ריחני)</b><br><small>ר' בלונדהיים ב' (עמ' 94-91), המצביע על ערבוב התחומים בין שני מיני צמחים קרובים זה לזה, בצרפתית של היום aneth ו-anis.$</small>"
Rashi on Berakhot 40a:4:1,"41 ברכות מ. <b>אסכרה</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>ראה לעיל מס' 5.$</small>"
Rashi on Berakhot 40a:9:1,"42 ברכות מ. <b>קצח</b><br>נייל""א niele [neele] <b>קצח (צמח)</b><br><small>$</small>"
Rashi on Berakhot 40b:14:1,"43 ברכות מ: <b>הקרים</b><br>בוטי""ר boter <b>להתעבות (יין המתקלקל)</b><br><small>$</small>"
Rashi on Berakhot 40b:21:2,"44 ברכות מ: <b>שיתין</b><br>פרונילי""ש pruneles <b>פירות שזיף-הבר</b><br><small>לעז זה אינו נמצא בדפוסי התלמוד, אלא ב""עיקרי התלמוד"", כ""י של ר' אברהם זכות, המביאו בשם רש""</small>"
Rashi on Berakhot 40b:22:1,"45 ברכות מ: <b>טולשי</b><br>קורמי""ש cormes <b>פירות העוזרר</b><br><small>ראה להלן מס' 166.$</small>"
Rashi on Berakhot 41b:6:5,"46 ברכות מא: <b>פת שנלושה עם תבלין</b><br>אובלידי""ש obledes <b>אפיפיות, ""וַפלים""</b><br><small>$</small>"
Rashi on Berakhot 42a:4:1,"47 ברכות מב. <b>לחמניות</b><br>אובלידי""ש obledes <b>אפיפיות, ""וַפלים""</b><br><small>$</small>"
Rashi on Berakhot 42a:6:1,"48 ברכות מב. <b>ריסתנא</b><br>אמינישטרישו""ן מנה, משאת <b>amenstrsion [amenestraison]</b><br><small>ראה להלן מס' 62; כפי הנראה הגרסה הנכונה גם כאן היא ""דיסתנא"". ור' בלונדהיים ב' (עמ' 85), הגורס amenestraison; לנו נראה יותר, לפי הגרסאות שלפנינו, amenestrison  או  amenestreison (אמינישטריישו""ן).$</small>"
Rashi on Berakhot 43a:14:2,"49 ברכות מג. <b>מושק</b><br>מושג""א musge [musgue] <b>מוּשְׁק</b><br><small>ר' להלן מס' 541.$</small>"
Rashi on Berakhot 43b:1:1,"49א ברכות מג: <b>סמלק</b><br>יסמי""ן  <b>""בלשון ישמאעל"".</b><br><small>$</small>"
Rashi on Berakhot 43b:1:2,"50 ברכות מג: <b>חלפי דימא</b><br>אישפי""ג espig <b>אזוביון</b><br><small>$</small>"
Rashi on Berakhot 43b:2:3,"51 ברכות מג: <b>סיגלי</b><br>ויולי""ש wioles [violes] <b>סגלים, סיגליות</b><br><small>$</small>"
Rashi on Berakhot 43b:2:4,"52 ברכות מג: <b>חבושין</b><br>קודוינ""ץ codoinz <b>חבושים (פירות)</b><br><small>$</small>"
Rashi on Berakhot 43b:15:1,"53 ברכות מג: <b>פנתא</b><br>אינפייני""א enpeinie [enpeigne] <b>פנת (העור העליון של הנעל)</b><br><small>$</small>"
Rashi on Berakhot 43b:15:2,"54 ברכות מג: <b>גילדא</b><br>שול""א sole <b>סוליה</b><br><small>$</small>"
Rashi on Berakhot 44a:5:1,"55 ברכות מד. <b>טרית</b><br>טונינ""א tonine <b>טוּנה</b><br><small>$</small>"
Rashi on Berakhot 44a:6:1,"56 ברכות מד. <b>בריכות</b><br>קובידי""ש covedes <b>דגירות</b><br><small>ר' מילונו של לוי (מס' 254).$</small>"
Rashi on Berakhot 44b:20:1,"57 ברכות מד: <b>סיסין</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$</small>"
Rashi on Berakhot 44b:20:2,"58 ברכות מד: <b>הרת</b><br>וידילור""א wedelure[  ] <b>רחם (של חיה)</b><br><small>לא פענחנו בלונדהיים. אני מביא, כהנחה בלבד, את האפשרות של מלה הנגזרת מהפועל wedeler ""ללדת (עגל)"", שתהיה משמעותה ""איברי הלידה"" של הפרה. לוי מביא במילונו (מס' 786) את ההשערה וידיליא""ה vedilie (חוט הטבור), אותה מלה כמו wedilie (קנוקנת), ר' להלן מס' 67 ועוד.$</small>"
Rashi on Berakhot 44b:20:3,"59 ברכות מד: <b>יותרת הכבד</b><br>איברי""ש edres <b>סרעפת</b><br><small>(ר' להלן מס' 2084).$</small>"
Rashi on Berakhot 47b:10:1,"60 ברכות מז: <b>אסימון</b><br>פלדו""ן fladon <b>עשת, גולם (חתיכת מתכת, לפני שהוטבעה בה צורת מטבע)</b><br><small>$</small>"
Rashi on Berakhot 50b:8:2,"61 ברכות נ: <b>קורייטי</b><br>פוישו""ן poison <b>שיקוי, משקה לרפואה</b><br><small>בצרפתית של היום, לפי גזירה ישירה מהלטינית: potion. המלה הנגזרת לפי ההתפתחות הטבעית של הלשון, poison כדלעיל, נתייחדה למובן ""רעל"".$</small>"
Rashi on Berakhot 50b:10:2,"62 ברכות נ: <b>דיסתנא</b><br>אמינישטרישו""ן מנה, משאת <b>amenestrison  [amenestraison]</b><br><small>ר' לעיל מס' 48.$</small>"
Rashi on Berakhot 51a:17:1,"63 ברכות נא. <b>חי</b><br>פריש""ק fresc <b>טרי, שרק עכשיו נמזג</b><br><small>$</small>"
Rashi on Berakhot 52b:1:1,"64 ברכות נב: <b>אוזן</b><br>אנש""א anse <b>אוזן, ידית (של כלי)</b><br><small>ר' בלונדהיים ב' (ע' 96).$</small>"
Rashi on Berakhot 53a:2:1,"65 ברכות נג. <b>עששית</b><br>לנטירנ""א lanterne <b>מנורה (נר שבתוך קופסה של זכוכית)</b><br><small>ר' לעיל מס' 20.$ </small>"
Rashi on Berakhot 54b:6:3,"66 ברכות נד: <b>(קרסוליה) [קרסול]</b><br>קיביל""א chevile (cheville) <b>קרסול</b><br><small>$</small>"
Rashi on Berakhot 55a:4:1,"67 ברכות נה. <b>לולבי גפנים</b><br>וידילי""ש wedilies [vedilles] <b>קנוקנות</b><br><small>ר' להלן מס' 627.$</small>"
Rashi on Berakhot 56a:15:3,"68 ברכות נו. <b>ככי</b><br>מישיליר""ש meseleres [maisseleres] <b>(שיניים) טוחנות </b><br><small>מסיבות שאינן מובנות לי, רשם כאן בלונדהיים צורה בלי r”"": maisseles בסימן שאלה. מאחר שברוב כתבי-היד (גם במ' 2319 ומס' 2322) יש רי""ש, איני רואה למה לא צירף את 673 אל 672 maisseleres. לגבי הכתיב בגרסת בלונדהיים, ראה במבוא.</small>"
Rashi on Berakhot 57b:7:1,"69 ברכות נז: <b>קפוד</b><br>מרטינ""א martrine <b>סמור, דָלָק</b><br><small>ר' להלן מס' 218. ברש""י על ישעיהו (י""ג, כ""א ול""ד, י""ד) מרטרינ""ש לועז את ""ציים"".</small>"
Rashi on Berakhot 57b:8:1,"70 ברכות נז: <b>מר</b><br>פושיו""ר fosoir [fossoir] <b>מכוש</b><br><small>ר' מילונו של לוי (מס' 474).</small>"
Rashi on Berakhot 57b:8:2,"71 ברכות נז: <b>פסל</b><br>דולידויר""א doledoire <b>מעצד (מעין גרזן)</b><br><small>$</small>"
Rashi on Berakhot 57b:8:7,"72 ברכות נז: <b>קריא</b><br>יבנ""ץ javanz <b>לילית</b><br><small>ר' מילונו של לוי (מס' 516).$</small>"
Rashi on Berakhot 57b:8:8,"73 ברכות נז: <b>קפופא</b><br>צואיט""א cuete <b>כוס (עוף לילי)</b><br><small>ר' להלן מס' 218.$</small>"
Rashi on Berakhot 57b:8:9,"74 ברכות נז: <b>קורפרא</b><br>טלפ""א talpe <b>חפרפרת</b><br><small>ר' מילונו של לוי (מס' 760).$</small>"
Rashi on Berakhot 57b:10:1,"75 ברכות נז: <b>גודגדניות</b><br>צירישי""ש cerises <b>דובדבנים</b><br><small>$</small>"
Rashi on Berakhot 57b:14:1,"76 ברכות נז: <b>עטוש</b><br>אישטירנודי""ר esternuder <b>להתעטש</b><br><small>$</small>"
Rashi on Berakhot 57b:15:1,"77 ברכות נז: <b>תרדין</b><br>בלי""ץ (bliz) blez <b>סלק</b><br><small>ר' בלונדהיים ב' (ע' 128-127).$</small>"
Rashi on Berakhot 57b:15:2,"78 ברכות נז: <b>סיסין</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$</small>"
Rashi on Berakhot 57b:15:3,"79 ברכות נז: <b>הרת</b><br>וידילור""א wedelure [   ] <b>רחם (של חיה)</b><br><small>ר' לעיל מס' 58.$</small>"
Rashi on Berakhot.57b.15.4,"80 ברכות נז: <b>יותרת הכבד</b><br>איברי""ש ebres <b>סרעפת</b><br><small>ר' להלן מס' 2084$</small>"
Rashi on Berakhot 58b:8:1,"81 ברכות נח: <b>בהקנים</b><br>לינטילו""ש lentilos [lentillos] <b>עדשנים, שעורם מנומש בכעין עדשים</b><br><small>$</small>"
Rashi on Berakhot 58b:8:3,"82 ברכות נח: <b>גיחור</b><br>רו""ש ros <b>אדמוני</b><br><small>$</small>"
Rashi on Berakhot 58b:8:6,"83 ברכות נח: <b>הדריקנוס</b><br>וירואו""ש  weruos[verruos] <b>מיובל, שעורו מכוסה יבלות</b><br><small>$</small>"
Rashi on Berakhot.58b.8.9,"84 ברכות נח: <b>(כ)נמטא</b><br>קרשפ""ו crespo <b>מקורזל</b><br><small>לעז זה נמצא רק בדפוס התלמוד, שיצא בספרד בסביבות רמ""ה, והיא מילה ספרדית, שבאה במקום המלה הצרפתית, או שהוכנסה בזמן מאוחר; גם הנוסח של המלה המתורגמת – כהמטא?, כומט? – מעורר ספקות.$</small>"
Rashi on Berakhot 58b:8:9,"85 ברכות נח: <b>פתויי ראש</b><br>פילטרי""ר feltrer <b>לרפד, לדבק (כפי שמדובקים נימי הלֵבֵד)</b><br><small>$</small>"
Rashi on Berakhot 58b:10:1,"86 ברכות נח: <b>קפוף</b><br>וולטו""ר woltur [voltur] <b>עזנייה</b><br><small>$</small>"
Rashi on Berakhot 59a:7:3,"87 ברכות נט. <b>גזיזי</b><br>גלצונ""ש glacons <b>חתיכות קרו.</b><br><small>$</small>"
Rashi on Berakhot 59a:8:1,"88 ברכות נט. <b>זעפא</b><br>טורביי""ל torbeil <b>נחשול (סופת-נחשול)</b><br><small>ר' מילונו של לוי (מס' 774).$</small>"
Rashi on Berakhot 59a:9:1,"89 ברכות נט. <b>ברקא</b><br>אישלויד""א esloide <b>ברק</b><br><small>ר' מילונו של לוי (מס' 56).$</small>"
Rashi on Berakhot 59b:5:1,"90 ברכות נט: <b>גיחור</b><br>רו""ש ros <b>אדמוני</b><br><small>$</small>"
Rashi on Berakhot 60a:8:1,"91 ברכות ס. <b>שרטון</b><br>לימו""ן limon <b>טיט, בוץ</b><br><small>$</small>"
Rashi on Berakhot 62a:3:4,"92 ברכות סב. <b>שריף</b><br>הומי""ר humer <b>לגמוא (לבלוע מתוך שאיפה)</b><br><small>ר' בלונדהיים פ' (ע' 87-86).$</small>"
Rashi on Berakhot 62b:1:2,"93 ברכות סב: <b>אסטמא</b><br>אציי""ר acier <b>פלדה</b><br><small>ר' בלונדהיים ב' (עמ' 49-47). מסתבר, שצריך להבין: כפי שהפיכת הברזל לפלדה מועילה לו… אם מעדיפים לא להשלים את המשפט בדברים, שאינם כתובים בפירוש, אולי אפשר להציע את הקריאה אאציי""ר aacier (פועל במשמעות ""להפוך לפלדה"").$</small>"
Rashi on Berakhot 62b:4:1,"94 ברכות סב: <b>נחר</b><br>טושי""ר  toser[tosser] <b>להשתעל</b><br><small>$</small>"
Rashi on Berakhot 62b:6:2,"95 ברכות סב: <b>(כרכשיה) [כרכשא]</b><br>טבחיא""ה tabahie <b>פי-הטבעת</b><br><small>אין זו מלה צרפתית. כי בצרפתית אין חי""ת, אלא מלה ממוצא ערבי, הקשורה אולי עם השורש ""טבח, מטבח"", שמשמעותה הראשונה הייתה ""מעי ממולא""; ייתכן, שלפנינו מלה, שהייתה בשימוש רק בקרב היהודים, ששאלו אותה מאחיהם בפרובנס ובספרד. ר' מילונו של לוי (מס' 754).$</small>"
Rashi on Berakhot 62b:18:4,"96 ברכות סב: <b>קפנדריא</b><br>טריי""א trieje [triege] <b>קיצור-דרך</b><br><small>$</small>"
Rashi on Berakhot 63a:14:1,"97 ברכות סג. <b>מחטא דתלמיותא</b><br>ברושדי""ר של גנביי""ש  ganbeis (de) brosder [ganbais (de) brosder] <b>רקמה של מקטורן מרופד</b><br><small>את ה – ganbeis היו לובשים מתחת לשריון כדי להגן על הגוף מכובד המתכת; לכן קשה למצוא באומנות של ימי-הביניים תמונות המתארות לבוש זה, שמהן היו יכולים ללמוד, מה טיב רקמה מיוחדת זו, אולי אפשר לשער, שלשם אוורור הבגד המרופד, היו רוקמים בו לולאות רחבות מעין תחרים – כפי שבתקופה מאוחרת יותר היו המקטורנים חלולים חלולים בחורים גאומטריים המכונים creves (מפוּצצים) – ומלאכת הרקמה, ככל שהיא מרחיבה – קלה יותר. או שהיו מעטרים בגד תחתון זה בשורות פשוטות וישרות.$</small>"
Rashi on Shabbat 3a:2:3,"98 שבת ג. <b>מורסא</b><br>קויטור""א cuiture <b>כוויה (פצע מזוהם)</b><br><small>$</small>"
Rashi on Shabbat 6a:12:1,"99 שבת ו. <b>בקעה</b><br>קנפני""א chanpanie  [chanpagne] <b>מישור, שדה פתוח, איזור של שדות</b><br><small>ר' מילונו של לוי (מס' 209).$</small>"
Rashi on Shabbat 7a:7:1,"100 שבת ז. <b>היזמי</b><br>רונצ""א ronce <b>קוץ</b><br><small>ר' מילונו של לוי (מס' 187)$</small>"
Rashi on Shabbat 7a:7:2,"101 שבת ז. <b>היגי</b><br>איגלינטיי""ר eglentier [auglentuer] <b>עץ ורד-הבר</b><br><small>ר' בלונדהיים ב' (ע' 63-62) ומילונו של לוי (מס' 179) והשווה להלן מס' 1825.$</small>"
Rashi on Shabbat 8b:6:2,"102 שבת ח: <b>רקק</b><br>גרביל""א gravele <b>חול, חצץ (שנתערבו בהם מים)</b><br><small>ר' מילונו של לוי (מס' 499)$</small>"
Rashi on Shabbat 9b:5:3,"103 שבת ט: <b>יתעלפה</b><br>פשמי""ר pasmer <b>להתעלף</b><br><small>ר' מילונו של לוי (מס' 784)$</small>"
Rashi on Shabbat 9b:6:4,"104 שבת ט: <b>יקשור בין כתפיו</b><br>ריברציי""ר rabracier <b>להפשיל את השרוולים</b><br><small>$</small>"
Rashi on Shabbat 10a:2:1,"105 שבת י. <b>פוזמקי</b><br>קלצונ""ש chalcons <b>העלי-בד</b><br><small>ר' מילונו של לוי (מס' 204)$</small>"
Rashi on Shabbat 10a:2:3,"106 שבת י. <b>פכר</b><br>טריציי""ר trecier <b>לשלב (מלה במלה:לקלוע)</b><br><small>$</small>"
Rashi on Shabbat 10a:7:1,"107 שבת י. <b>לודים</b><br>קיניליב""ש chenelevs [cheneleus] <b>כנענים</b><br><small>בלונדהיים קובע את התעתיק cheneleus; בכל אופן הכוונה ל-u חצי-עיצורית, ועד המאה הט""ז לא הבחינו בכתיבה בשפות אירופה בין u  לבין v.$</small>"
Rashi on Shabbat 11b:7:1,"108 שבת יא: <b>קיסם</b><br>ויר""א wire [vire] <b>סרגל</b><br><small>$</small>"
Rashi on Shabbat 11b:7:2,"109 שבת יא: <b>סורק</b><br>פולונ""ש folons <b>כובסים (הדורכים או הלוחצים או החובטים בבד כדי לאשפרו)</b><br><small>$</small>"
Rashi on Shabbat 11b:7:3,"110 שבת יא: <b>קוצים</b><br>קרדונ""ש chardons <b>פירות של קרדה</b><br><small>הקרדה היא אחד הקוצים השכיחים ביותר בצרפת, ולפעמים משתמשים בשמה כדי להצביע על קוצים סתם.$</small>"
Rashi on Shabbat 12a:9:3,"111 שבת יב. <b>אפיקטויזין</b><br>וומיט""א womite [vomite] <b>סם הקאה</b><br><small>ר' להלן מס' 831$</small>"
Rashi on Shabbat 13b:1:6,"112 שבת יג: <b>סינר</b><br>פורציינ""ט porceint <b>חגורה</b><br><small>ר' מילונו של לוי (מס' 659/660).$</small>"
Rashi on Shabbat 16b:2:3,"113 שבת טז: <b>ריתכן</b><br>שולדי""ר solder <b>לרתך</b><br><small>ר' מילונו של לוי (מס' 743).</small>"
Rashi on Shabbat 16b:7:5,"114 שבת טז: <b>אדמה</b><br>קרייד""א creide <b>גיר</b><br><small>הלעז חזר בדפוסי התלמוד שלנו, אחרי ""כלי אדמה"".$</small>"
Rashi on Shabbat 17b:6:2,"115 שבת יז: <b>כרשינין</b><br>ויצי""ש weces [veces] <b>בקיה (צמח ממשפחת הקטניות)</b><br><small>הלעז ברבים, על דרך פולים או עדשים. ר' בלונדהיים ב' (ע' 171-170).$</small>"
Rashi on Shabbat 17b:6:4,"116 שבת יז: <b>אונין</b><br>רישטי""ש ristes <b>אגודות פשתן</b><br><small>ר' בלונדהיים ב' (ע' 168).$</small>"
Rashi on Shabbat 18a:5:3,"117 שבת יח. <b>דה""מ גפרית</b><br>ניאילי""ר neeler <b>לגפר (לגלף את המתכת באמצעות גפרית)</b><br><small>$</small>"
Rashi on Shabbat 18a:5:4,"118 שבת יח. <b>קילור</b><br>לוזי""א luzie <b>משחה לעין חולה</b><br><small>אולי יש להטעים luzie. אולם, מאחר שאין כל עדות למלה הזאת חוץ מלעזי רש""י, וגם מקורה לא ברור כל צורכו, אין מקום להכריע.$</small>"
Rashi on Shabbat 18a:7:5,"119 שבת יח. <b>לחי</b><br>אי""ם aim <b>חכה</b><br><small>ליתר דיוק: הקרס שבקצה החכה. ר' בלונדהיים ב' (ע' 70-68) ומילונו של לוי (מס' 69).$</small>"
Rashi on Shabbat 18b:2:1,"120 שבת יח: <b>עססיות</b><br>טוברי""ש tuvres [ ] <b>כמהים</b><br><small>לא פענחנו בלונדהיים. נמצא רק בכתב-יד אחד ולא בדפוסי התלמוד שלנו. ודאי תוספת מאוחרת. עם זאת המלה מעניינת מאוד. 1)מבחינת צורתה, אם הנחתנו נכונה (הוספנו וי""ו לגרסה שבכתב-היד:טבר""ש),יש לפנינו השלב הקדום של המלה הצרפתית truffe, שהבלשנים קבעו מכבר שמוצאה מהלטינית tuber דרך הצורה tufre. 2)מבחינת תוכנה: אין הכרח, שיהיו אלה דווקא ""כמהים"" (""שמרקעים""), אלא יכול להיות גם ירק אחר עגלגל הטמון באדמה, שכן למשמעות המלה היו גלגולים רבים.$</small>"
