French Word (en),French Word (he),Tanakh Ref,Rashi Matches
decompleinst sei,"דיקומפליינש""ט שי""י",Exodus 15:24,['Rashi on Exodus 15:24:1']
foison,"פוישו""ן",Exodus 16:5,['Rashi on Exodus 16:5:2']
jelede,"ייליד""א",Exodus 16:14,['Rashi on Exodus 16:14:4']
tenves,"טינבי""ש",Exodus 16:14,['Rashi on Exodus 16:14:4']
destemprer,"דישטימפרי""ר",Exodus 16:21,['Rashi on Exodus 16:21:2']
aliendre,"אליינדר""א",Exodus 16:31,['Rashi on Exodus 16:31:1']
fleistrir,"פלישטרי""ר",Exodus 18:18,['Rashi on Exodus 18:18:1']
enprenment,"אינפרינמינ""ט",Exodus 20:5,['Rashi on Exodus 20:5:1']
eschelons,"אישקילונ""ש",Exodus 20:23,['Rashi on Exodus 20:23:1']
navredure,"נברדור""א",Exodus 21:25,['Rashi on Exodus 21:25:2']
taje,"טי""א",Exodus 21:25,['Rashi on Exodus 21:25:3']
batdure,"בטדור""א",Exodus 21:25,"['Rashi on Exodus 21:25:2', 'Rashi on Exodus 21:25:3']"
chardons,"קרדונ""ש",Exodus 22:5,['Rashi on Exodus 22:5:2']
contralier,"קונטרליי""ר",Exodus 25:20,[]
presant,"פרישנ""ט",Exodus 25:2,['Rashi on Exodus 25:2:3']
escrin,"אישקרי""ן",Exodus 25:10,['Rashi on Exodus 25:10:1']
soldez,"שולדי""ץ",Exodus 25:18,['Rashi on Exodus 25:18:2']
batediz,"בטידי""ץ",Exodus 25:18,['Rashi on Exodus 25:18:3']
solder,"שולדי""ר",Exodus 25:31,['Rashi on Exodus 25:31:1']
batediz,"בטידי""ץ",Exodus 25:31,['Rashi on Exodus 25:31:2']
madrins,"מדרינ""ש",Exodus 25:31,['Rashi on Exodus 25:31:6']
pomels,"פומיל""ש",Exodus 25:31,['Rashi on Exodus 25:31:7']
neeler,"ניילי""ר",Exodus 25:33,['Rashi on Exodus 25:33:1']
tenalie,"טינליי""א",Exodus 25:38,['Rashi on Exodus 25:38:1']
puisedoire,"פוישידויר""א",Exodus 25:38,['Rashi on Exodus 25:38:2']
feises,"פיישי""ש",Exodus 26:1,['Rashi on Exodus 26:1:3']
lacols,"לצול""ש",Exodus 26:4,['Rashi on Exodus 26:4:1']
fermeilz,"פירמייל""ץ",Exodus 26:6,['Rashi on Exodus 26:6:1']
estantives,"אישטנטיבי""ש",Exodus 26:15,['Rashi on Exodus 26:15:2']
esbars,"אישבר""ש",Exodus 26:26,['Rashi on Exodus 26:26:1']
escendrer,"אישצינדרי""ר",Exodus 27:3,['Rashi on Exodus 27:3:2']
wadil,"ודי""ל",Exodus 27:3,['Rashi on Exodus 27:3:3']
crocins,"קרוצינ""ש",Exodus 27:3,['Rashi on Exodus 27:3:5']
crible,"קריבל""א",Exodus 27:4,['Rashi on Exodus 27:4:1']
pals,"פל""ש",Exodus 27:10,['Rashi on Exodus 27:10:2']
gons,"גונ""ש",Exodus 27:10,['Rashi on Exodus 27:10:2']
serjentrie,"שיריינטריא""ה",Exodus 28:3,['Rashi on Exodus 28:3:1']
porceint,"פורציינ""ט",Exodus 28:4,['Rashi on Exodus 28:4:2']
chastons,"קשטונ""ש",Exodus 28:4,['Rashi on Exodus 28:4:4']
coife,"קרויפ""א",Exodus 28:4,['Rashi on Exodus 28:4:5']
codes,"קודי""ש",Exodus 28:7,['Rashi on Exodus 28:7:2']
encensieres,"אינצינשייר""ש",Exodus 28:14,['Rashi on Exodus 28:14:3']
dereisnement,"דיריישנימינ""ט",Exodus 28:15,['Rashi on Exodus 28:15:1']
asomeil,"אשומיי""ל",Exodus 28:22,['Rashi on Exodus 28:22:3']
gant,"גנ""ט",Exodus 28:41,['Rashi on Exodus 28:41:4']
rewestir,"ריוישטי""ר",Exodus 28:41,['Rashi on Exodus 28:41:4']
teile,"טייל""א",Exodus 29:13,['Rashi on Exodus 29:13:1']
ebdes,"איבדי""ש",Exodus 29:13,['Rashi on Exodus 29:13:2']
tenrum,"טינרו""ם",Exodus 29:20,['Rashi on Exodus 29:20:1']
wenteler,"וינטילי""ר",Exodus 29:27,['Rashi on Exodus 29:27:2']
loces,"לוצי""ש",Exodus 30:7,['Rashi on Exodus 30:7:2']
gome,"גומ""א",Exodus 30:34,['Rashi on Exodus 30:34:1']
theriake,"תירייק""א",Exodus 30:34,['Rashi on Exodus 30:34:1']
lacediz,"לצידי""ץ",Exodus 31:10,['Rashi on Exodus 31:10:2']
descharjier,"דישקריי""ר",Exodus 32:3,['Rashi on Exodus 32:3:1']
neel,"ניאי""ל",Exodus 32:4,['Rashi on Exodus 32:4:1']
enteilier,"אנטייליי""ר",Exodus 32:16,['Rashi on Exodus 32:16:2']
loces,"לוצי""ש",Exodus 35:14,['Rashi on Exodus 35:14:2']
miredoirs,"מירידויר""ש",Exodus 38:8,['Rashi on Exodus 38:8:1']
estendre,"אישטינדר""א",Exodus 39:3,['Rashi on Exodus 39:3:1']
foede,"פואיד""א",Leviticus 1:9,['Rashi on Leviticus 1:9:2']
flancs,"פלנק""ש",Leviticus 3:4,['Rashi on Leviticus 3:4:1']
lonbels,"לונביל""ש",Leviticus 3:4,['Rashi on Leviticus 3:4:1']
ebres,"איברי""ש",Leviticus 3:4,['Rashi on Leviticus 3:4:2']
foeiles,"פואיילי""ש",Leviticus 4:35,['Rashi on Leviticus 4:35:2']
escurement,"אישקורימינ""ט",Leviticus 6:21,['Rashi on Leviticus 6:21:2']
plante,"פלנט""א",Leviticus 11:3,['Rashi on Leviticus 11:3:2']
moscherons,"מושקירונ""ש",Leviticus 11:11,['Rashi on Leviticus 11:11:3']
ostoir,"אושטוי""ר",Leviticus 11:16,[]
cuetes,"צואיטי""ש",Leviticus 11:17,['Rashi on Leviticus 11:17:2']
javan,"יב""ן",Leviticus 11:17,['Rashi on Leviticus 11:17:2']
chalve soriz,"קלב""א שורי""ץ",Leviticus 11:18,['Rashi on Leviticus 11:18:1']
talpe,"טלפ""א",Leviticus 11:18,['Rashi on Leviticus 11:18:1']
cegoine,"ציגוינ""א",Leviticus 11:19,['Rashi on Leviticus 11:19:1']
heron,"הירו""ן",Leviticus 11:19,['Rashi on Leviticus 11:19:2']
herupe,"הירופ""א",Leviticus 11:19,['Rashi on Leviticus 11:19:3']
langoste,"לנגושט""א",Leviticus 11:21,['Rashi on Leviticus 11:21:2']
mostoile,"משוטויל""א",Leviticus 11:29,['Rashi on Leviticus 11:29:2']
hericon,"היריצו""ן",Leviticus 11:30,['Rashi on Leviticus 11:30:1']
leiserde,"ליישירד""א",Leviticus 11:30,[]
limace,"לימצ""א",Leviticus 11:30,['Rashi on Leviticus 11:30:3']
talpe,"טלפ""א",Leviticus 11:30,['Rashi on Leviticus 11:30:4']
escharbot,"אישקרבו""ט",Leviticus 11:42,['Rashi on Leviticus 11:42:4']
cenpies,"צינפיי""ש",Leviticus 11:42,['Rashi on Leviticus 11:42:5']
taje,"טי""א",Leviticus 13:2,['Rashi on Leviticus 13:2:2']
seiniment,"שיינימינ""ט",Leviticus 13:10,['Rashi on Leviticus 13:10:1']
retreire,"ריטרייר""א",Leviticus 13:23,['Rashi on Leviticus 13:23:3']
retreiment,"ריטריימינ""ט",Leviticus 13:23,['Rashi on Leviticus 13:23:3']
seiniment,"שיינימינ""ט",Leviticus 13:24,['Rashi on Leviticus 13:24:1']
orable,"אורבל""א",Leviticus 13:37,['Rashi on Leviticus 13:37:1']
ros,"רו""ש",Leviticus 13:39,['Rashi on Leviticus 13:39:2']
gernon,"גירנו""ן",Leviticus 13:45,['Rashi on Leviticus 13:45:4']
poiniant,"פוינינ""ט",Leviticus 13:51,['Rashi on Leviticus 13:51:1']
tenrum,"טינרו""ם",Leviticus 14:14,[]
rodonier,"רודוניי""ר",Leviticus 14:41,['Rashi on Leviticus 14:41:1']
arcon,"ארצו""ן",Leviticus 15:9,['Rashi on Leviticus 15:9:1']
alwes,"אלוי""ש",Leviticus 15:9,[]
espiement,"אישפיימינ""ט",Leviticus 19:5,[]
mester,"מישטי""ר",Leviticus 19:19,['Rashi on Leviticus 19:19:1']
fleistrir,"פליישטרי""ר",Leviticus 19:19,[]
porpoint,"פורפוינ""ט",Leviticus 19:28,['Rashi on Leviticus 19:28:3']
sorcilos,"שורצילו""ש",Leviticus 21:20,['Rashi on Leviticus 21:20:1']
teile,"טייל""א",Leviticus 21:20,['Rashi on Leviticus 21:20:2']
prunele,"פרוניל""א",Leviticus 21:20,['Rashi on Leviticus 21:20:3']
apeiement,"אפיימני""ט",Leviticus 22:19,['Rashi on Leviticus 22:19:1']
werue,"וירוא""ה",Leviticus 22:22,['Rashi on Leviticus 22:22:4']
seiteine,"שייטיינ""א",Leviticus 23:8,['Rashi on Leviticus 23:8:3']
graneis,"גרניי""ש",Leviticus 23:14,['Rashi on Leviticus 23:14:2']
conjongle,"קוניונגל""א",Leviticus 26:13,['Rashi on Leviticus 26:13:2']
jodes,"יודי""ש",Leviticus 26:13,[]
anpoles,"אנפולי""ש",Leviticus 26:16,['Rashi on Leviticus 26:16:2']
en son aise,"אי""ן שו""ן איש""א",Numbers 2:17,['Rashi on Numbers 2:17:3']
loces,"לוצי""ש",Numbers 4:9,['Rashi on Numbers 4:9:3']
wadil,"ודי""ל",Numbers 4:14,['Rashi on Numbers 4:14:3']
disant,"דישנ""ט",Numbers 6:23,['Rashi on Numbers 6:23:1']
batediz,"בטידי""ץ",Numbers 8:4,['Rashi on Numbers 8:4:2']
cocombres,"קוקומברי""ש",Numbers 11:5,['Rashi on Numbers 11:5:3']
bodekes,"בודיקי""ש",Numbers 11:5,['Rashi on Numbers 11:5:4']
porels,"פוריל""ש",Numbers 11:5,['Rashi on Numbers 11:5:5']
aliendre,"אליינדר""א",Numbers 11:7,['Rashi on Numbers 11:7:2']
cristal,"קרישט""ל",Numbers 11:7,['Rashi on Numbers 11:7:3']
esbaneier (אולי esbanier),"אישבניי""ר",Numbers 11:8,['Rashi on Numbers 11:8:1']
enprenment,"אינפרינמינ""ט",Numbers 11:29,['Rashi on Numbers 11:29:2']
parlediz,"פרלידי""ץ",Numbers 14:36,['Rashi on Numbers 14:36:2']
engres,"אינגרי""ש",Numbers 14:44,['Rashi on Numbers 14:44:1']
tortel,"טורטי""ל",Numbers 15:20,['Rashi on Numbers 15:20:2']
feisant,"פיישנ""ט",Numbers 15:35,['Rashi on Numbers 15:35:1']
alant,"אלנ""ט",Numbers 15:35,['Rashi on Numbers 15:35:1']
tenves,"טינבי""ש",Numbers 17:3,['Rashi on Numbers 17:3:3']
atenvirent,"אטינבירינ""ט",Numbers 17:4,['Rashi on Numbers 17:4:1']
murmurdiz,"מורמורדי""ץ",Numbers 17:25,['Rashi on Numbers 17:25:2']
encrot lor,"אינקרו""ט לו""ר",Numbers 21:4,['Rashi on Numbers 21:4:3']
encreist,"אינקרייש""ט",Numbers 21:5,[]
perche,"פירק""א",Numbers 21:8,['Rashi on Numbers 21:8:1']
maldiras lui,"מלדיר""ש לו""י",Numbers 23:27,['Rashi on Numbers 23:27:1']
destent,"דישטינ""ט",Numbers 24:17,['Rashi on Numbers 24:17:2']
forjier,"פוריי""ר",Numbers 24:17,['Rashi on Numbers 24:17:5']
isles,"אישלי""ש",Numbers 34:6,['Rashi on Numbers 34:6:3']
apendiz,"אפינדי""ץ",Numbers 34:7,['Rashi on Numbers 34:7:4']
odant,"אודנ""ט",Deuteronomy 1:16,['Rashi on Deuteronomy 1:16:3']
enprendre,"אינפרינדר""א",Deuteronomy 4:24,[]
molant,"מולנ""ט",Deuteronomy 9:21,['Rashi on Deuteronomy 9:21:1']
destolude,"דישטולוד""א",Deuteronomy 13:6,['Rashi on Deuteronomy 13:6:1']
ametra,"אמיטר""א",Deuteronomy 13:7,['Rashi on Deuteronomy 13:7:1']
afichiede,"אפיקייד""א",Deuteronomy 13:7,['Rashi on Deuteronomy 13:7:4']
esteinboc,"אישטיינבו""ק",Deuteronomy 14:5,['Rashi on Deuteronomy 14:5:1']
plante,"פלנט""א",Deuteronomy 14:6,['Rashi on Deuteronomy 14:6:2']
chalve soriz,"קלב""א שורי""ץ",Deuteronomy 14:16,['Rashi on Deuteronomy 14:16:1']
herupe,"הירופ""א",Deuteronomy 14:18,['Rashi on Deuteronomy 14:18:1']
espaldon,"אישפלדו""ן",Deuteronomy 18:3,['Rashi on Deuteronomy 18:3:3']
gardant,"גרדנ""ט",Deuteronomy 27:1,['Rashi on Deuteronomy 27:1:1']
malweid,"מלויי""ד",Deuteronomy 28:22,['Rashi on Deuteronomy 28:22:2']
esardement,"אישרדימינ""ט",Deuteronomy 28:22,['Rashi on Deuteronomy 28:22:4']
hasle,"השל""א",Deuteronomy 28:22,['Rashi on Deuteronomy 28:22:7']
cro,"קר""ו",Deuteronomy 28:22,['Rashi on Deuteronomy 28:22:6']
estordison,"אישטורדישו""ן",Deuteronomy 28:28,['Rashi on Deuteronomy 28:28:1']
estordizon,"אישטורדישו""ן",Deuteronomy 28:37,['Rashi on Deuteronomy 28:37:1']
entendre,"אינטינדר""א",Deuteronomy 28:49,['Rashi on Deuteronomy 28:49:2']
e porwendrez wos,"אי פורוינדרי""ץ",Deuteronomy 28:68,['Rashi on Deuteronomy 28:68:4']
bendira sei,"בינדיר""א שי""י",Deuteronomy 29:18,['Rashi on Deuteronomy 29:18:2']
enprenment,"אינפרינמני""ט",Deuteronomy 29:19,['Rashi on Deuteronomy 29:19:2']
erbediz,"אירבידי""ץ",Deuteronomy 32:2,['Rashi on Deuteronomy 32:2:6']
entortiliez,"אינטורטיליי""ץ",Deuteronomy 32:5,['Rashi on Deuteronomy 32:5:5']
winos,"וינו""ש",Deuteronomy 32:14,['Rashi on Deuteronomy 32:14:12']
norture,"נורטור""א",Deuteronomy 32:20,['Rashi on Deuteronomy 32:20:4']
delivrer,"דיליברי""ר",Deuteronomy 32:30,['Rashi on Deuteronomy 32:30:2']
meintenant,"מיינטיננ""ט",Deuteronomy 32:36,[]
enforcied,"אינפורציי""ד",Deuteronomy 32:36,['Rashi on Deuteronomy 32:36:5']
plandur,"פלנדו""ר",Deuteronomy 32:41,['Rashi on Deuteronomy 32:41:1']
justice,"יושטיצ""א",Deuteronomy 32:41,['Rashi on Deuteronomy 32:41:3']
tes porparledures,"טי""ש פורפרלידורי""ש",Deuteronomy 33:3,['Rashi on Deuteronomy 33:3:5']
escoront,"אישקורונ""ט",Deuteronomy 33:25,['Rashi on Deuteronomy 33:25:2']
esfudrer,"אישפודרי""ר",Joshua 8:6,[]
espied,"אישפיי""ד",Joshua 8:18,[]
arsez,"ארשי""ץ",Joshua 9:5,['Rashi on Joshua 9:5:1']
contredes,"קונטרידי""ש",Joshua 11:2,[]
marches,"מרקי""ש",Joshua 13:2,['Rashi on Joshua 13:2:1']
folon,"פולו""ן",Joshua 15:7,['Rashi on Joshua 15:7:4']
sechae,"שיק""א",Joshua 15:19,[]
isles,"אישלי""ש",Joshua 15:47,['Rashi on Joshua 15:47:1']
esarter,"אישרטי""ר",Joshua 17:15,['Rashi on Joshua 17:15:1']
flancs,"פלנק""ש",Joshua 19:12,['Rashi on Joshua 19:12:1']
coldre,"קולדר""א",Judges 1:26,['Rashi on Judges 1:26:1']
retreit,"ריטריי""ט",Judges 3:15,['Rashi on Judges 3:15:1']
dumialne,"דומיאלנ""א",Judges 3:16,[]
waskorte,"ושקורט""א",Judges 3:16,[]
halt,"הל""ט",Judges 3:22,['Rashi on Judges 3:22:1']
brant,"ברנ""ט",Judges 3:22,['Rashi on Judges 3:22:2']
esmucier,"אישמוציי""ר",Judges 3:26,['Rashi on Judges 3:26:1']
broce,"ברוצ""א",Judges 3:26,['Rashi on Judges 3:26:3']
aguilon,"אגוילו""ן",Judges 3:31,['Rashi on Judges 3:31:1']
maresc,"מריש""ק",Judges 4:11,['Rashi on Judges 4:11:1']
cot,"קו""ט",Judges 4:18,['Rashi on Judges 4:18:1']
chevile,"קיביל""א",Judges 4:21,['Rashi on Judges 4:21:1']
martel,"מרטי""ל",Judges 4:21,['Rashi on Judges 4:21:2']
en la tenple,"אי""ן ל""א טינפל""א",Judges 4:22,[]
wuides,"ווידי""ש",Judges 6:2,[]
luisets,"לוישיט""ש",Judges 6:2,['Rashi on Judges 6:2:1']
crots,"קרוט""ש",Judges 6:2,[]
pleisiz,"פליישי""ץ",Judges 6:2,"['Rashi on Judges 6:2:3', 'Rashi on Judges 6:2:1']"
wanter,"ונטי""ר",Judges 7:2,['Rashi on Judges 7:2:1']
ronces,"רונצי""ש",Judges 8:7,['Rashi on Judges 8:7:1']
lunes,"לוני""ש",Judges 8:21,['Rashi on Judges 8:21:1']
eglentier,"איגלינטיי""ר",Judges 9:14,[]
maltalent,"מלטלינ""ט",Judges 9:23,['Rashi on Judges 9:23:1']
pleisied,"פליישיי""ד",Judges 9:46,[]
wuided,"ווידי""ד",Judges 9:46,[]
flocies,"פלוציי""ש",Judges 16:13,['Rashi on Judges 16:13:1']
ensoble,"אינשובל""א",Judges 16:13,['Rashi on Judges 16:13:2']
ortoire,"אורטויר""א",Judges 16:13,['Rashi on Judges 16:13:2']
taster,"טשטי""ר",Judges 16:26,[]
enbracier,"אינברציי""ר",Judges 16:29,[]
meinwestir,"מיינוישטי""ר",Judges 17:5,[]
rewestir,"ריוישטי""ר",Judges 17:5,['Rashi on Judges 17:5:2']
apareilment,"אפריילימינ""ט",Judges 17:10,['Rashi on Judges 17:10:3']
pesantume,"פישנטומ""א",Judges 18:21,['Rashi on Judges 18:21:2']
afodrer,"אפודרי""ר",Judges 19:21,[]
adesmerent,"אדישמירינ""ט",Judges 20:5,[]
enpruntez,"אינפרונטי""ץ",I Samuel 1:28,['Rashi on I Samuel 1:28:2']
justisier,"יושטישיי""ר",I Samuel 2:10,['Rashi on I Samuel 2:10:2']
tinitiner,"טינטיני""ר",I Samuel 3:11,['Rashi on I Samuel 3:11:2']
comencant espleiant,"קומינצנ""ט א""י אישפלייאנ""ט",I Samuel 3:12,['Rashi on I Samuel 3:12:2']
chardonel,"קרדוני""ל",I Samuel 4:19,['Rashi on I Samuel 4:19:3']
etweirs lestre pris,"איטוייר""ש לישטריפרי""ש",I Samuel 4:21,['Rashi on I Samuel 4:21:3']
escrin,"אישקרי""ן",I Samuel 6:8,[]
e dubitera,"א""י דוביטיר""א",I Samuel 9:5,['Rashi on I Samuel 9:5:4']
destinir,"דישטיני""ר",I Samuel 9:17,['Rashi on I Samuel 9:17:1']
dementer,"דימינטי""ר",I Samuel 10:2,['Rashi on I Samuel 10:2:3']
espineid,"אישפיניי""ד",I Samuel 13:6,['Rashi on I Samuel 13:6:1']
pleisiz,"פליישי""ץ",I Samuel 13:6,['Rashi on I Samuel 13:6:2']
soc,"שו""ק",I Samuel 13:20,['Rashi on I Samuel 13:20:2']
coltre,"קולטר""א",I Samuel 13:20,['Rashi on I Samuel 13:20:3']
besagude,"בישגוד""א",I Samuel 13:20,[]
fosoir,פושויר,I Samuel 13:20,[]
lime,"לימ""א",I Samuel 13:21,['Rashi on I Samuel 13:21:1']
forche,"פורק""א",I Samuel 13:21,[]
cenbel,"צינבי""ל",I Samuel 13:23,['Rashi on I Samuel 13:23:1']
cel,"צי""ל",I Samuel 14:1,['Rashi on I Samuel 14:1:1']
cest,"ציש""ט",I Samuel 14:1,['Rashi on I Samuel 14:1:1']
reie,"ריי""א",I Samuel 14:14,['Rashi on I Samuel 14:14:2']
badetes,"בדיטי""ש",I Samuel 14:16,['Rashi on I Samuel 14:16:1']
nasal,"נש""ל",I Samuel 17:6,['Rashi on I Samuel 17:6:1']
ensoble,"אינשובל""א",I Samuel 17:7,['Rashi on I Samuel 17:7:1']
garantis,"גרנטי""ש",I Samuel 17:18,['Rashi on I Samuel 17:18:4']
presenter,"פרישינטי""ר",I Samuel 18:27,['Rashi on I Samuel 18:27:1']
en ses aises,"אי""ן שי""ש אישי""ש",I Samuel 19:3,['Rashi on I Samuel 19:3:1']
flocel,"פלוצי""ל",I Samuel 19:13,['Rashi on I Samuel 19:13:3']
esmucier,"אישמוציי""ר",I Samuel 20:29,['Rashi on I Samuel 20:29:2']
farcides,"פרצידי""ש",I Samuel 25:18,['Rashi on I Samuel 25:18:1']
ametment,"אמיטימינ""ש",I Samuel 26:19,['Rashi on I Samuel 26:19:1']
