Index Title,Bader-Jewishspritualheroes-Vol3.
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.7","In order to explain the nature of these <span dir=""rtl"">„הוויות""</span> more clearly we will mention two of them. One question was as follows: When witnesses appeared and testified to a certain matter, and later others came and proved that those witnesses had lied, their credibility as witnesses was lost forever and they were no longer trusted. Now the problem is how far back did this losing of their credibility reach? Did it begin with their false testimony or only after the proof of the lie was established? For if these witnesses had signed documents or given true testimony in other matters during the interval between their false testimony and its proof of a lie, the question arises whether their signatures or their later testimony should be credited or not."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.8","The second question was whether a money-lender, getting collateral from the borrower has the rights of the owner to the property from the very first day of the loan and could dispose of it according to his own wishes or has he only the right to do so if it is clear that the borrower cannot or will not pay his debt?"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.9","There are a number of different opinions about the length of time that Abayei was the head of the academy in Pumbeditha. Some say that is was only five years and others say that it was twelve or thirteen. Towards the end of Abayei's life bad news began to be heard from Palestine. The Jews were being terribly oppressed by Emperor Constantius. Many refugees from Palestine arrived in Pumbeditha, bringing with them the learning of Rabbi Jochanan, and they aided in the further development of the law in Babylon."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.10","These people told Abayei, citing Rabbi Jochanan as their authority, that a woman whose two first husbands had died was allowed to wed a third time, for Rabbi Jochanan held that it could not be declared that such a woman was one whose husbands died because of her sins. Abayei accepted Rabbi Jochanan's opinion and immediately married the beautiful woman Huma, a grandchild of Rav Judah bar Ezekiel, who had already been twice a widow. And after she married Abayei, he soon died at the age of fifty-eight."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.11","His name was Abayei bar Chyailil the priest, and as the ""Chronicle of Rav Sherira Gaon"" relates, this Chyailil was the brother of Rabah bar Nachmani. Neither the meaning of the name ""Chyailil"" nor that of ""Abayei"" is known. Some say about this that the name Abayei is an anagram of the verse <span dir=""rtl"">„אשר בך ירוחם יתום""</span>. Others say that the name ""Abayei"" is a Syrian name, meaning solace, which is almost equivalent to Nachmani as others called him. <sup>7)</sup><i class=""footnote""><span dir=""rtl"">7) שבת ל""ג א׳, נדרים נ""ד ב׳.</span></i> At the time when Abayei was born his uncle Rabah bar Nachmani was still a young man, not more than 17 years old. He was a student under Rav Judah bar Ezekiel in Pumbeditha. When Abayei had grown up somewhat his uncle immediately sent him to study in the academy of his own teacher. And even though the work there was beyond Abayei's comprehension at the time, his uncle wished him to hear it anyway. When Abayei was mature enough to grasp what he was being taught, his teachers were Rabah bar Nachmani and Rav Joseph bar Chiya, who had become the leaders of the academy in Pumbeditha. Abayei acted towards his uncle like a pupil towards his teacher, with deep respect mixed with a certain childlike love. Rabah bar Nachmani also was always trying to fill up his young nephew with every variety of wisdom, and to sharpen his mind in every possible way. <sup>8)</sup><i class=""footnote""><span dir=""rtl"">8) ברכות ל""ג א׳.</span></i> For Rav Joseph bar Chiya, Abayei felt nothing but respect. It is related that when Abayei saw the ears of Rav Joseph's ass, as a sign that his teacher was approaching, he would stand up in respect. <sup>9)</sup><i class=""footnote""><span dir=""rtl"">9) קדושין ל""ג א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.12","Even when Abayei was still young he was famous for the depth of his learning. He had his own academy even when his teacher Rav Joseph bar Chiya was still alive. <sup>10)</sup><i class=""footnote""><span dir=""rtl"">10) בבא בתרא כ""ב א׳.</span></i> As we have said Rav Joseph once forgot his learning in his illness. Abayei would often remind him of his own laws. But even before this, Rav Joseph would discuss various problems with Abayei, treating him like a colleague and not like a student."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.13","Abayei grew up from childhood with his colleague Rava. <sup>11)</sup><i class=""footnote""><span dir=""rtl"">11) ברכות מ""ב א׳.</span></i> Later things developed in such a way that while Abayei was studying with Rabah bar Nachmani, Rava studied with Rav Nachman bar Jacob in Mechoza and Nehardea. This was the reason for the continuous differences of opinion between them which were always prosecuted in a friendly spirit. The phrase which the Talmud uses ""Abayei and Rava who both say"" refers to the time when they were studying together. In addition we find many times, ""Abayei questioned Rava"" or ""Abayei explained to Rava."""
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.14","Abayei was very scrupulous about the cleanliness of people who go out into the street. Since people were very careful to wash their hands and mouth before eating, Abayei said, ""It is even more important to wash the hands and mouth after eating."" <sup>12)</sup><i class=""footnote""><span dir=""rtl"">12) ערובין י""ז ב׳.</span></i> Concerning the problem of leavened bread on Passover or after Passover, which must not be used, Abayei said that if a person uses it against his will he has not committed a sin. <sup>13)</sup><i class=""footnote""><span dir=""rtl"">13) פּסחים כ""ה ב׳.</span></i> Concerning a divorce he said that talk of giving a woman a divorce does not impose the obligation to do so. <sup>14)</sup><i class=""footnote""><span dir=""rtl"">14) גטין ל""ד א׳.</span></i> If a man says to a woman that he weds her with a gift of a previous loan, the marriage is not valid, but, if he says that he weds her with the gift of the interest on that loan, then the marriage is legal. <sup>15)</sup><i class=""footnote""><span dir=""rtl"">15) קדושין ז׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.15","If a witness came to court and testified that he saw a certain thing and later another witness proved that the first had lied, making his testimony inadmissible forever, Abayei said that this inadmissibility begins with the moment of the false testimony. <sup>16)</sup><i class=""footnote""><span dir=""rtl"">16) בבא קמא ע""ג א׳.</span></i> Concerning the mortgaged property of a debtor, Abayei said that the property belongs to the moneylender from the moment of the loan and he can dispose of it as if it were his own. <sup>17)</sup><i class=""footnote""><span dir=""rtl"">17) גטין ל""ד א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.16","Another important problem was when someone lost something and gave it up for lost. This gave the finder the right to keep it. But if the loser was unaware of his loss this was called ""unconscious renunciation"" and Abayei held that this was not true renunciation, and any finder had no right to keep his find. <sup>18)</sup><i class=""footnote""><span dir=""rtl"">18) בבא מציעא כ""א ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.17","Abayei often used folk proverbs in his lectures, as for instance when he said: ""Let no man open his mouth to evil, lest he give the Satan a chance to do harm."" <sup>19)</sup><i class=""footnote""><span dir=""rtl"">19) ברכות י""ט א׳.</span></i> On another occasion he said: ""A servant who angers her mistress very often gets paid for it all at once"", <sup>20)</sup><i class=""footnote""><span dir=""rtl"">20) שבת ל""ב א׳.</span></i> or ""When a peasant becomes a king, one can always detect the place of his origin"". <sup>21)</sup><i class=""footnote""><span dir=""rtl"">21) מגלה ז׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.18","When Abayei studied with his uncle Rabah bar Nachmani, he did not cease day or night, and when he was asked why he did not make an ""Eruv""<sup>*)</sup><i class=""footnote"">*) The law forbidding the carrying of objects from one place to another on the Sabbath was overcome by an ""Eruv"". This created an artificial boundary, by wiring the outskirt of the city or town, and thus they were allowed to transport objects from one place to another.</i> at the entrance of his house he said: ""How can I keep such things in mind, when I am always busy studying?"" <sup>22)</sup><i class=""footnote""><span dir=""rtl"">22) ערובין ס""ח ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.19","Abayei was afflicted with illness a long time. He suffered from so-called ""watery stomach"" which did not permit regular digestion of food so that he was simply starved. <sup>23)</sup><i class=""footnote""><span dir=""rtl"">23) שבת ל""ג א׳.</span></i> He was unable to perform the priest's duties in the synagogue because of his ailment. <sup>24)</sup><i class=""footnote""><span dir=""rtl"">24) חולין קל""ג א׳.</span></i> He suffered a great deal also from bad teeth. <sup>25)</sup><i class=""footnote""><span dir=""rtl"">25) יומא פ""ד א׳.</span></i> His mouth was full of dangerous sores around his teeth, for which he used various remedies which did him no good, until a travelling merchant came to Pumbeditha, and gave him the right remedy. <sup>26)</sup><i class=""footnote""><span dir=""rtl"">26) עבודה זרה כ""ח א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.20","To be able to put on phylacteries, which required a clean body, was apparently considered a cause for rejoicing by our scholars at the time. It is related that Abayei was once sitting with his uncle Rabah bar Nachmani and saw that he was very pleased about something. Abayei asked how it was that his uncle alowed himself to be over-happy when the Bible warned to ""rejoice with trembling."" His uncle answered: ""I have just worn my phylacteries."" <sup>27)</sup><i class=""footnote""><span dir=""rtl"">27) ברכות ל׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.21","As we said above Abayei owned gardens and vineyards which he rented out to tenants, but he worked in the fields himself nevertheless. It seems that he had an agreement with his tenants concerning this, for it is related that he sat and studied all day and at night he irrigated his fields. And when a student came to him once and asked him to study with him, Abayei replied that he could not do it because all his time was taken up, what with his own study during the day and irrigating his fields during the night. <sup>28)</sup><i class=""footnote""><span dir=""rtl"">28) גטין ס׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.22","After the death of Rav Joseph bar Chiya they had to choose a head of the academy in Pumbeditha, and when Abayei emerged as the victor over three other candidates his name grew even more famous than before. This attracted large numbers of students to him and he said: ""The reward for hearing the Rabbi's lecture is the crush trying to get in to hear."" <sup>29)</sup><i class=""footnote""><span dir=""rtl"">29) ברכות ו׳ ב׳.</span></i> He had great love for his students and he said: ""May it be remembered that whenever I saw that a student had finished a tractate of the Talmud, I made a celebration for the scholars."" <sup>30)</sup><i class=""footnote""><span dir=""rtl"">30) שבת קי""ח ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.23","It is related that every Friday evening Abayei would receive a greeting from Heaven. He then heard that the pious Aba Umna got such a greeting every day. This irked him, not because the other had such great merit, but because he had not such merit; so he sent a few students to investigate the merit of that Aba Umna. They discovered that Aba Umna was really great in his good deeds and deserved the distinction. <sup>31)</sup><i class=""footnote""><span dir=""rtl"">31) תענית כ""א ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.24","Abayei was tolerant and would think the best of everybody, since he understood that it was impossible for a man to sit and study all the time. <sup>32)</sup><i class=""footnote""><span dir=""rtl"">32) קדושין ל""ג א׳.</span></i> Similarly he would say that the whole world could not be like Father Jacob. <sup>33)</sup><i class=""footnote""><span dir=""rtl"">33) יבמות ע""ו א׳.</span></i> And if a scholar did not know something that was no proof that he was not a great man. <sup>34)</sup><i class=""footnote""><span dir=""rtl"">34) גטין ו׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.25","When Abayei once had to scold the people for a carelessness in regard to Sabbath observance, he said, that this was the very cause of the destruction of Jerusalem. <sup>35)</sup><i class=""footnote""><span dir=""rtl"">35) שבת קי""ט א׳.</span></i> When Abayei saw that there were Jews who helped the government in its merciless squeezing of money out of the Jews, he told a story of a Jewish royal officer who was bitten by a snake and could not be aided by any remedies. All this was a result of the fact that he had no regard for the honor of the scholars, whose bite is as the bite of the snake."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.26","Because of Abayei's descent from Eli the High Priest, he should have lived forty years like his uncle Rabah bar Nachmani. But he spent much time in study and charitable works and therefore an exception was made for him out of his whole family and he lived sixty years. <sup>36)</sup><i class=""footnote""><span dir=""rtl"">36) ראש השנה י""ח א׳.</span></i>"
