Index Title,Negaim
Negaim 2:1,"<b>D</b>ER <small>INTENSIV</small> [<small>WEISSE</small>] G<small>LANZFLECK ERSCHEINT BEIM</small> G<small>ERMANEN</small><sup>1</sup><i class=""footnote"">fn1236,Dh. Europäer. Manche Kommentare haben <span dir=""rtl"">גרמוני</span>, Cod. Kaufmann liest ’<span dir=""rtl"">ניְמְנִ</span> sodaß die Ableitung des Maimonides von <span dir=""rtl"">גרם</span>, Knochen (knochenweiß), wenn auch nicht richtig, immerhin nicht so absurd ist.</i> <small>DUNKLER, UND DER DUNKLE BEIM</small> Ä<small>THIOPIER</small><sup>2</sup><i class=""footnote"">fn1237,Beide als Ggs. zum Orientalen, dessen Hautfarbe mittelweiß ist.</i> <small>INTENSIV</small> [<small>WEISSE</small>]. R. J<small>IŠMA͑ÉL SPRACH :</small> D<small>IE</small> J<small>ISRAÉLITEN, ICH WILL IHRE</small> S<small>ÜHNE</small><sup>3</sup><i class=""footnote"">fn1238,Dh. ein Objekt der Sühne, ein Opfer für sie.</i> <small>SEIN, SIND WIE DER</small> B<small>UCHSBAUM, NICHT SCHWARZ UND NICHT WEISS, SONDERN MITTELFARBIG</small>. R. A͑<small>QIBA SAGTE :</small> D<small>IE</small> M<small>ALER HABEN</small> F<small>ARBEN, WOMIT SIE SCHWARZE, WEISSE UND MITTELFARBIGE</small> F<small>IGUREN MALEN; MAN HOLE DAHER EINE</small> M<small>ITTELFARBE UND UMKREISE IHN</small><sup>4</sup><i class=""footnote"">fn1239,Den Aussatzfleck.</i> <small>DAMIT RINGSUM, SODANN ERSCHEINT ER WIE AUF EINER MITTELFARBIGEN</small> [H<small>AUT</small>]. R. J<small>EHUDA SAGT, BEI DEN</small> S<small>CHATTIERUNGEN DES</small> A<small>USSATZMALES SEI ZU ERLEICHTERN UND NICHT ZU ERSCHWEREN; BEIM</small> G<small>ERMANEN ERLEICHTERND NACH SEINER</small> H<small>AUTFARBE</small><sup>5</sup><i class=""footnote"">fn1240,Er ist rein, auch wenn der Aussatzfleck nur bei ihm dunkler erscheint.</i>, <small>UND BEIM</small> Ä<small>THIOPIER ERLEICHTERND</small><sup>6</sup><i class=""footnote"">fn1241,Cf. Anm. 5 mut. mut.</i> <small>NACH DER</small> M<small>ITTELFARBE</small>. D<small>IE</small> W<small>EISEN SAGEN, BEI DIESEM UND BEI JENEM NACH DER</small> M<small>ITTELFARBE</small>."
Negaim 2:2,"II. M<small>AN BESICHTIGE DEN</small> A<small>USSATZ NICHT FRÜHMORGENS UND NICHT GEGEN</small> A<small>BEND, AUCH NICHT IM</small> H<small>AUSE UND NICHT AN EINEM WOLKIGEN</small> T<small>AGE, WEIL DANN DIE DUNKLE</small> F<small>ARBE INTENSIV</small> [<small>WEISS</small>] <small>AUSSIEHT; FERNER NICHT AM</small> M<small>ITTAG, WEIL DIE INTENSIV</small> [<small>WEISSE</small>] <small>DUNKEL AUSSIEHT</small>. W<small>ANN BESICHTIGE MAN IHN</small>? I<small>N DER DRITTEN, VIERTEN, FÜNFTEN, SIEBENTEN, ACHTEN UND NEUNTEN</small> [S<small>TUNDE</small>] – <small>SO</small> R. M<small>EÍR;</small> R. J<small>EHUDA SAGT, IN DER VIERTEN, FÜNFTEN, ACHTEN UND NEUNTEN</small>."
Negaim 2:3,"III. E<small>IN</small> P<small>RIESTER, DER AUF EINEM</small> A<small>UGE BLIND IST, ODER DESSEN</small> A<small>UGENLICHT VERDUNKELT IST, DARF DEN</small> A<small>USSATZ NICHT BESICHTIGEN, DENN ES HEISST</small> :<sup>7</sup><i class=""footnote"">fn1242,Lev. 13,12.</i><i>wohin auch die Augen des Priesters hinsehen.</i> I<small>N EINEM DUNKLEN</small> H<small>AUSE BRECHE MAN KEINE</small> F<small>EINSTER AUF, UM DARIN DEN</small> A<small>USSATZ ZU BESICHTIGEN</small>."
Negaim 2:4,"IV. W<small>IE ERFOLGT DIE</small> B<small>ESICHTIGUNG DES</small> A<small>USSATZES?</small> B<small>EIM</small> M<small>ANNE IN DER</small> S<small>TELLUNG, WIE GRABEND ODER</small> O<small>LIVEN</small><sup>8</sup><i class=""footnote"">fn1243,Soweit er bei der gewöhnlichen Haltung des Körpers bei der Arbeit zu sehen ist; er braucht Arme u. Beine nicht zu spreizen.</i> <small>PFLÜCKEND, UND BEIM</small> W<small>EIBE IN DER</small> S<small>TELLUNG, WIE</small> [B<small>ROT</small>] <small>HERRICHTEND, ODER IHR</small> K<small>IND SÄUGEND, UND WENN AM</small> U<small>NTERARME, DIE RECHTE</small> H<small>AND, WIE IM</small> S<small>TEHEN WEBEND;</small> R. J<small>EHUDA SAGT, AUCH DIE LINKE, WIE</small> F<small>LACHS SPINNEND</small>. W<small>IE DIE</small> S<small>TELLUNG</small><sup>9</sup><i class=""footnote"">fn1244,Wörtl. das Aussehen.</i> <small>BEI</small> [<small>DER</small> U<small>NTERSUCHUNG</small>] <small>SEINES</small> A<small>USSATZES, SO AUCH DIE</small> S<small>TELLUNG BEI SEINEM</small> H<small>AARSCHEREN</small><sup>10</sup><i class=""footnote"">fn1245,Bei der Reinigung (cf. Lev. 14,9); es erstreckt sich nur auf die Haare, die bei dieser Stellung zu sehen sind.</i>."
Negaim 2:5,"V. E<small>IN</small> M<small>ENSCH KANN JEDEN</small> A<small>USSATZ BESICHTIGEN, NUR NICHT SEINEN EIGENEN</small> A<small>USSATZ</small> ; R. M<small>EÍR SAGT, AUCH NICHT DEN</small> A<small>USSATZ SEINER</small> A<small>NGEHÖRIGEN</small>. E<small>IN</small> M<small>ENSCH KANN JEDES</small> G<small>ELÜBDE AUFLÖSEN, NUR NICHT SEINE EIGENEN</small> G<small>ELÜBDE;</small> R. J<small>EHUDA SAGT, AUCH NICHT DIE</small> G<small>ELÜBDE SEINER</small> F<small>RAU, DIE IHR</small> V<small>ERHALTEN ZU ANDEREN BETREFFEN</small>. E<small>IN</small> M<small>ENSCH KANN JEDES</small> E<small>RSTGEBORENE BESICHTIGEN</small><sup>11</sup><i class=""footnote"">fn1246,Ob der Leibesfehler desselben derartig ist, daß man es daraufhin schlachten darf; Cf. Bek. Fol. 37a.</i>, <small>NUR NICHT DIE EIGENEN</small> E<small>RSTGEBORENEN</small>."
Negaim 3:1,"<b>J</b>EDER <small>WIRD DURCH DEN</small> A<small>USSATZ UNREIN, AUSGENOMMEN</small> N<small>ICHTJUDEN UND DER</small> B<small>EISASSPROSELYT</small><sup>1</sup><i class=""footnote"">fn1247,Der das Opfer nicht darbringen kann.</i>. J<small>EDER IST ZUR</small> B<small>ESICHTIGUNG DES</small> A<small>USSATZES ZULÄSSIG, NUR LIEGT</small> [<small>DIE</small> E<small>NTSCHEIDUNG ÜBER</small>] U<small>NREINHEIT ODER</small> R<small>EINHEIT IN DEN</small> H<small>ÄNDEN DES</small> P<small>RIESTERS</small>. M<small>AN SAGT ZU IHM: SAGE ‘UNREIN’, UND ER SAGT</small> ‘<small>UNREIN</small>’ ; <small>SAGE</small> ‘<small>REIN</small>’, <small>UND ER SAGT</small> ‘<small>REIN</small>’. M<small>AN BESICHTIGE NICHT ZWEI</small> A<small>USSATZMALE GLEICHZEITIG, OB BEI EINER</small> P<small>ERSON ODER BEI ZWEI</small> P<small>ERSONEN, VIELMEHR BESICHTIGE MAN EINEN, SCHLIESSE IHN AB, ERKLÄRE IHN ALS POSITIV ODER ALS NEGATIV, UND NACHHER WENDE MAN SICH ZUM ZWEITEN</small>. M<small>AN SCHLIESSE DEN ABGESCHLOSSENEN NICHT AB</small><sup>2</sup><i class=""footnote"">fn1248,Ist während der Abgeschlossenheit ein 2. Aussatzmal entstanden, so untersuche man ihn nicht vor der Besichtigungsfrist des ersteren, um nicht die Woche des ersteren mit diesem beginnen zu müssen.</i> <small>UND MAN ERKLÄRE DEN POSITIVEN NICHT ALS POSITIV</small><sup>3</sup><i class=""footnote"">fn1249,Ebenfalls beim Entslehen eines 2. Aussatzmales; man darf nicht mit dem einen auch den anderen als positiv erklären, vielmehr muß man die Entwicklung u. die Reinigung des ersteren abwarten, u. sich erst dann mit dem anderen befassen.</i>; <small>MAN SCHLIESSE DEN POSITIVEN NICHT AB</small><sup>4</sup><i class=""footnote"">fn1250,Cf. Anmm. 2 et 3 mut. mut.</i> <small>UND MAN ERKLÄRE DEN</small> A<small>BGESCHLOSSENEN NICHT ALS POSITIV</small><sup>4</sup><i class=""footnote"">fn1250,Cf. Anmm. 2 et 3 mut. mut.</i>. A<small>NFÄNGLICH ABER</small><sup>5</sup><i class=""footnote"">fn1251,Wenn das 2. Aussalzmal vor der Besichtigung des ersteren entstanden ist.</i> <small>ODER AM</small> E<small>NDE DER</small> W<small>OCHE KANN MAN ABSCHLISSEN UND ABSCHLISSEN</small><sup>6</sup><i class=""footnote"">fn1252,Zwei Aussatzmale; nachdem man ihn wegen des einen abgeschlossen hat, kann man die Abschließung auch wegen des anderen erklären.</i>, <small>ALS POSITIV ERKLÄREN UND ALS POSITIV ERKLÄREN, ABSCHLISSEN UND ALS NEGATIV ERKLÄREN, ALS POSITIV ERKLÄREN UND ALS NEGATIV ERKLÄREN</small>."
Negaim 3:2,"II. W<small>ENN AN EINEM</small> H<small>OCHZEITER EIN</small> A<small>USSATZMAL SICH ZEIGT, SO GEWÄHRE MAN IHM DIE SIEBEN</small> T<small>AGE DES</small> G<small>ASTMAHLES</small><sup>7</sup><i class=""footnote"">fn1253,Vgl. Bd. XI S. 550 Anm. 79.</i> ; <small>DIES GILT FÜR IHN SELBST, FÜR SEIN</small> H<small>AUS UND FÜR SEIN</small> G<small>EWAND</small><sup>8</sup><i class=""footnote"">fn1254,Auch für den Haus- u. den Kleideraussatz.</i>. D<small>ESGLEICHEN GEWÄHRE MAN EINEM AM</small> F<small>ESTE ALLE</small> T<small>AGE DES</small> F<small>ESTES</small>."
Negaim 3:3,"III. D<small>IE</small> H<small>AUT DES</small> F<small>LEISCHES WIRD UNREIN IN ZWEI</small> W<small>OCHEN</small><sup>9</sup><i class=""footnote"">fn1255,Wenn keine Änderung eingetreten ist; cf. Lev. 13,5.</i>, <small>DURCH</small> [<small>EINES VON</small>] <small>DREI</small> Z<small>EICHEN: WEISSES</small> H<small>AAR, HEILES</small> F<small>LEISCH UND</small> Z<small>UNAHME</small>. D<small>URCH WEISSES</small> H<small>AAR UND HEILES</small> F<small>LEISCH, ANFÄNGLICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT; DURCH</small> Z<small>UNAHME, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WIRD UNREIN IN ZWEI</small> W<small>OCHEN, DIE NUR DREIZEHN</small> T<small>AGE HABEN</small><sup>10</sup><i class=""footnote"">fn1256,Der letzte Tag der 1. Woche zählt zugleich als erster der 2. Woche.</i>."
Negaim 3:4,"IV. D<small>AS</small> G<small>ESCHWÜR UND DIE</small> B<small>RANDWUNDE WERDEN UNREIN IN EINER</small> W<small>OCHE, DURCH ZWEI</small> Z<small>EICHEN: WEISSES</small> H<small>AAR UND</small> Z<small>UNAHME</small>. D<small>URCH WEISSES</small> H<small>AAR, ANFÄNGLICH, AM</small> E<small>NDE DER</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT; DURCH</small> Z<small>UNAHME AM</small> E<small>NDE DER</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WERDEN UNREIN IN EINER</small> W<small>OCHE, DIE SIEBEN</small> T<small>AGE HAT</small>."
Negaim 3:5,"V. D<small>ER</small> H<small>AARAUSSATZ WIRD UNREIN IN ZWEI</small> W<small>OCHEN, DURCH ZWEI</small> Z<small>EICHEN: GOLDGELBES</small> H<small>AAR UND</small> Z<small>UNAHME</small>. D<small>URCH GOLDGELBES</small> H<small>AAR, ANFÄNG LICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT; DURCH</small> Z<small>UNAHME, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WERDEN UNREIN IN ZWEI</small> W<small>OCHEN, DIE NUR DREIZEHN</small> T<small>AGE HABEN</small>."
Negaim 3:6,"VI. D<small>IE</small> H<small>INTERGLATZE UND DIE</small> V<small>ORDERGLATZE</small><sup>11</sup><i class=""footnote"">fn1257,Cf. infra X,10.</i><small>WERDEN UNREIN IN ZWEI</small> W<small>OCHEN DURCH ZWEI</small> Z<small>EICHEN ; HEILES</small> F<small>LEISCH UND</small> Z<small>UNAHME</small>. D<small>URCH HEILES</small> F<small>LEISCH, ANFÄNGLICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT; DURCH</small> Z<small>UNAHME, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WERDEN UNREIN IN ZWEI</small> W<small>OCHEN, DIE NUR DREIZEHN</small> T<small>AGE HABEN</small>."
Negaim 3:7,"VII. K<small>LEIDER WERDEN UNREIN IN ZWEI</small> W<small>OCHEN DURCH DREI</small> Z<small>EICHEN: DUNKELGRÜN, DUNKELROT UND</small> Z<small>UNAHME</small>. D<small>UNKELGRÜN UND DUNKELROT, ANFÄNGLICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. D<small>URCH</small> Z<small>UNAHME, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WERDEN UNREIN IN ZWEI</small> W<small>OCHEN, DIE NUR DREIZEHN</small> T<small>AGE HABEN</small>."
Negaim 3:8,"VIII. H<small>ÄUSER WERDEN UNREIN IN DREI</small> W<small>OCHEN DURCH DREI</small> Z<small>EICHEN: DUNKELGRÜN, DUNKELROT UND</small> Z<small>UNAHME</small>. D<small>UNKELGRÜN UND DUNKELROT, ANFÄNGLICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE, AM</small> E<small>NDE DER DRITTEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT; DURCH</small> Z<small>UNAHME, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE, AM</small> E<small>NDE DER DRITTEN</small> W<small>OCHE UND NACH DER</small> N<small>EGATIVITÄT</small>. S<small>IE WERDEN UNREIN IN DREI</small> W<small>OCHEN, DIE NUR NEUNZEHN</small> T<small>AGE HABEN</small><sup>10</sup><i class=""footnote"">fn1256,Der letzte Tag der 1. Woche zählt zugleich als erster der 2. Woche.</i>. B<small>EIM</small> A<small>USSATZ GIBT ES KEINE</small> [A<small>BSCHLIESSUNG</small>] <small>UNTER EINER</small> W<small>OCHE UND KEINE ÜBER DREI</small> W<small>OCHEN</small>."
Negaim 4:1,"<b>M</b>ANCHES <small>GIBT ES BEIM WEISSEN</small> H<small>AARE, WAS NICHT BEI DER</small> Z<small>UNAHME, UND MANCHES GIBT ES BEI DER</small> Z<small>UNAHME, WAS NICHT BEIM WEISSEN</small> H<small>AARE</small>. D<small>AS WEISSE</small> H<small>AAR MACHT UNREIN ANFÄNGLICH, MACHT UNREIN IN JEDER WEISSEN</small> F<small>ÄRBUNG UND IST NIEMALS</small> R<small>EINHEITS- ZEICHEN</small><sup>1</sup><i class=""footnote"">fn1258,Auch wenn es sich am ganzen Körper befindet.</i>. U<small>ND MANCHES GIBT ES BEI DER</small> Z<small>UNAHME, DENN DIE</small> Z<small>UNAHME MACHT UNREIN IN JEDEM UMFANGE</small><sup>2</sup><i class=""footnote"">fn1259,Nur wenn es zwei sind u. sie eine bestimmte Größe (cf. Nid. Fol. 52b) haben.</i>, <small>MACHT UNREIN BEI JEDEM</small> A<small>USSATZMALE</small><sup>3</sup><i class=""footnote"">fn1260,Auch bei Häusern u. Kleidern.</i> <small>UND NUR AUSSERHALB DES</small> A<small>USSATZMALES</small><sup>4</sup><i class=""footnote"">fn1261,Die Zunahme erfolgt außerhalb des Zentrums, dagegen sind die 2 Haare ein Symptom des Aussatzes, nur wenn sie sich auf diesem befinden.</i>, <small>WAS BEIM WEISSEN</small> H<small>AARE NICHT DER</small> F<small>ALL IST</small>."
Negaim 4:2,"II. M<small>ANCHES GIBT ES BEIM HEILEN</small> F<small>LEISCHE, WAS NICHT BEI DER</small> Z<small>UNAHME, UND MANCHES GIBT ES BEI DER</small> Z<small>UNAHME, WAS NICHT BEIM HEILEN</small> F<small>LEISCHE</small>. D<small>AS HEILE</small> F<small>LEISCH MACHT UNREIN ANFÄNGLICH, MACHT UNREIN IN JEDER</small> F<small>ARBE UND IST NIEMALS</small> R<small>EINHEITSZEICHEN</small><sup>1</sup><i class=""footnote"">fn1258,Auch wenn es sich am ganzen Körper befindet.</i>. U<small>ND MANCHES GIBT ES BEI DER</small> Z<small>UNAHME, DENN DIE</small> Z<small>UNAHME MACHT UNREIN IN JEDEM</small> U<small>MFANGE, MACHT UNREIN BEI JEDEM</small> A<small>USSATZMALE, UND NUR AUSSERHALB DES</small> A<small>USSATZES, WAS BEIM HEILEN</small> F<small>LEISCHE NICHT DER</small> F<small>ALL IST</small>."
Negaim 4:3,"III. M<small>ANCHES GIBT ES BEIM WEISSEN</small> H<small>AARE, WAS NICHT BEIM HEILEN</small> F<small>LEISCHE, UND MANCHES GIBT ES BEIM HEILEN</small> F<small>LEISCHE, WAS NICHT BEIM WEISSEN</small> H<small>AARE</small>. D<small>AS WEISSE</small> H<small>AAR MACHT UNREIN BEIM</small> G<small>ESCHWÜRE UND BEI DER</small> B<small>RANDWUNDE, GESAMMELT UND ZERSTREUT, EINGEKREIST UND NICHT EINGEKREIST</small>. M<small>ANCHES GIBT ES BEI DER</small> B<small>RANDWUNDE, DENN DIE</small> B<small>RANDWUNDE MACHT UNREIN BEI DER</small> H<small>INTERGLATZE UND DER</small> V<small>ORDERGLATZE, VERWANDELT</small><sup>5</sup><i class=""footnote"">fn1262,Das weiße Haar ist nur dann ein Symptom des Aussatzes, wenn es verwandelt’ wird (cf. Lev. 13,13), dh. wenn es nachher erscheint, dieses aber auch wenn vorher.</i> <small>UND NICHT VERWANDELT, ES BEHINDERT DIE GÄNZLICH REINE</small> V<small>ERWANDLUNG</small><sup>6</sup><i class=""footnote"">fn1263,Wenn der weiße Aussatzfleck sich über den ganzen Körper ausdehnt, so ist der Betroffene rein (Lev. 13,13), jedoch nur dann, wenn kein heiles Fleisch daran ist.</i> <small>UND ES MACHT IN JEDER</small> F<small>ÄRRUNG UNREIN, WAS REIM WEISSEN</small> H<small>AARE NICHT DER</small> F<small>ALL IST</small>."
Negaim 4:4,"IV. S<small>IND DIE ZWEI</small> H<small>AARE AN DER</small> W<small>URZEL SCHWARZ UND AN DER</small> S<small>PITZE WEISS, SO IST ER REIN; WENN AN DER</small> W<small>URZEL WEISS UND AN DER</small> S<small>PITZE SCHWARZ, SO IST ER UNREIN</small>. W<small>IEVIEL MUSS DARAN WEISS SEIN</small>? R. M<small>EÍR SAGT, WIEVIEL ES AUCH IST, UND</small> R. Š<small>IMO͑N SAGT, DASS MAN SIE MIT EINER</small> S<small>CHERE WEGZWICKEN KANN</small>. W<small>ENN ES UNTEN NUR EINES WAR UND OREN SICH GETEILT HAT, SODASS ES WIE ZWEI AUSSIEHT, SO IST ER REIN</small>. E<small>IN</small> G<small>LANZFLECK, AN DEM WEISSES</small> H<small>AAR ODER SCHWARZES</small> H<small>AAR</small><sup>7</sup><i class=""footnote"">fn1264,Außer den 2 weißen Haaren, die ihn unrein machen.</i> <small>IST, IST UNREIN, UND MAN BERÜCKSICHTIGE NICHT, DIE</small> S<small>TELLE, AUF DER DAS SCHWARZE</small> H<small>AAR SICH BEFINDET, HARE VIELLEICHT DEN</small> G<small>LANZFLECK VERKLEINERT</small><sup>8</sup><i class=""footnote"">fn1265,Sodaß er nicht mehr die erforderliche Größe hat.</i>, <small>WEIL DIESE</small><sup>9</sup><i class=""footnote"">fn1266,Der Haarbalg ist so minimal, daß er die Größe des Fleckes kaum beeinträchtigt.</i> <small>UNWESENTLICH IST</small>."
Negaim 4:5,"V. G<small>EHT VON EINEM</small> G<small>LANZFLECKE IN</small> G<small>RAUPENGRÖSSE EIN</small> S<small>TREIFEN AUS, SO GEHÖRT ER, FALLS ER DIE</small> B<small>REITE VON ZWEI</small> H<small>AAREN HAT, ZU DIESEM HINSICHTLICH DES WEISSEN</small> H<small>AARES UND DER</small> Z<small>UNAHME, NICHT ABER HINSICHTLICH DES HEILEN</small> F<small>LEISCHES; WENN ES ZWEI</small> G<small>LANZFLECKE SIND UND EIN</small> S<small>TREIFEN VON EINEM ZUM ANDEREN GEHT, SO VEREINIGT ER SIE</small><sup>10</sup><i class=""footnote"">fn1267,Falls keine von beiden Graupengröße hat, od. wenn die zwei Haare auf beide verteilt sind.</i>, <small>FALLS ER DIE</small> B<small>REITE VON ZWEI</small> H<small>AAREN HAT, WENN ABER NICHT, VEREINIGT ER SIE NICHT</small>."
Negaim 4:6,"VI. W<small>ENN IN EINEM GRAUPENGROSSEN</small> G<small>LANZFLECKE HEILES</small> F<small>LEISCH IN</small> L<small>INSENGRÖSSE, UND WEISSES</small> H<small>AAR IN DER</small> M<small>ITTE DES HEILEN</small> F<small>LEISCHES SICH BEFINDET, SO IST ER, WENN DAS HEILE</small> F<small>LEISCH SCHWINDET, UNREIN WEGEN DES WEISSEN</small> H<small>AARES, UND WENN DAS WEISSE</small> H<small>AAR SCHWINDET, UNREIN WEGEN DES HEILEN</small> F<small>LEISCHES</small>. N<small>ACH</small> R. Š<small>IMO͑N IST ER</small><sup>11</sup><i class=""footnote"">fn1268,Wenn das heile Fleisch geschwunden ist.</i><small>REIN, WEIL NICHT DER</small> G<small>LANZFLECK ES</small><sup>12</sup><i class=""footnote"">fn1269,Das Haar. Die Schrift gebraucht (Lev. 13,3) vom Weißwerden des Haares den Ausdruck ‘verwandeln’; dies muß nach dem Entstehen des Fleckes erfolgt sein, während in diesem Falle der Fleck zu einem solchen erst nach dem Schwinden des heilen Fleisches wird, also erst nach dem Erscheinen des weißen Haares.</i><small>VERWANDELT HAT</small>. W<small>ENN DER</small> G<small>LANZFLECK UND DAS HEILE</small> F<small>LEISCH ZUSAMMEN</small> G<small>RAUPENGRÖSSE HABEN UND DAS WEISSE</small> H<small>AAR SICH INMITTEN DES</small> G<small>LANZFLECKES BEFINDET, SO IST ER, WENN DAS HEILE</small> F<small>LEISCH SCHWINDET, UNREIN WEGEN DES WEISSEN</small> H<small>AARES, UND WENN DAS WEISSE</small> H<small>AAR SCHWINDET, UNREIN WEGEN DES HEILEN</small> F<small>LEISCHES</small>. N<small>ACH</small> R. Š<small>IMO͑N IST ER REIN, WEIL NICHT EIN</small> G<small>LANZFLECK IN</small> G<small>RAUPENGRÖSSE ES VERWANDELT HAT</small>. J<small>EDOCH PFLICHTET ER BEI, DASS, WENN DIE</small> S<small>TELLE DES WEISSEN</small> H<small>AARES</small> G<small>RAUPENGRÖSSE HAT, ER UNREIN IST</small>."
Negaim 4:7,"VII. W<small>ENN AN EINEM</small> G<small>LANZFLECKE HEILES</small> F<small>LEISCH UND</small> Z<small>UNAHME ENTSTANDEN IST, SO IST ER, WENN DAS HEILE</small> F<small>LEISCH SCHWINDET, UNREIN WEGEN DER</small> Z<small>UNAHME, UND WENN DIE</small> Z<small>UNAHME SCHWINDET, UNREIN WEGEN DES HEILFN</small> F<small>LEISCHES</small>. D<small>AS GLEICHE GILT AUCH VON WEISSEM</small> H<small>AARE UND</small> Z<small>UNAHME</small><sup>13</sup><i class=""footnote"">fn1270,Schwindet das eine, so ist er unrein wegen des anderen.</i>. W<small>ENN ER</small><sup>14</sup><i class=""footnote"">fn1271,Der Fleck in der 1. Woche der Abschließung.</i><small>GESCHWUNDEN WAR UND AM</small> E<small>NDE DER</small> W<small>OCHE ZURÜCKGEKEHRT IST, SO IST ER, WIE ER WAR</small><sup>15</sup><i class=""footnote"">fn1272,Es gilt nicht als neu entstanden, vielmehr ist er eine 2. Woche abzuschließen.</i>; <small>WENN ABER NACH DER</small> N<small>EGATIVITÄT</small><sup>16</sup><i class=""footnote"">fn1273,Nachdem der Priester ihn als rein erklärt hat.</i>, <small>SO IST ER WIE EIN ANFÄNGLICHER ZU BEHANDELN</small>. W<small>ENN ER INTENSIV</small> [<small>WEISS</small>] <small>WAR UND DUNKEL GEWORDEN IST, ODER DUNKEL WAR UND INTENSIV</small> [<small>WEISS</small>] <small>GEWORDEN IST, SO IST ER WIE ZUVOR</small><sup>17</sup><i class=""footnote"">fn1274,Es ist keine Änderung eingetreten, da er in beiden Schattierungen unrein ist.</i>, <small>NUR DARF ER NICHT UNTER DEN VIER</small> S<small>CHATTIERUNGEN VERBLASST</small><sup>18</sup><i class=""footnote"">fn1275,Wodurch er rein wird.</i><small>SEIN</small>. H<small>ATTE ER ABGENOMMEN UND DANN ZUGENOMMEN, ZUGENOMMEN UND DANN ABGENOMMEN, SO IST ER NACH</small> R. A͑<small>QIBA UNREIN</small><sup>19</sup><i class=""footnote"">fn1276,Da er während der Abschließung zugenommen hat.</i><small>UND NACH DEN</small> W<small>EISEN REIN</small><sup>20</sup><i class=""footnote"">fn1277,Er hat seit der 1. Besichtigung nicht zugenommen.</i>."
Negaim 4:8,"VIII. W<small>ENN EIN</small> G<small>LANZFLECK IN</small> G<small>RAUPENGRÖSSE EINE HALBE</small> G<small>RAUPENGRÖSSE ZUGENOMMEN HAT, VOM</small> Z<small>ENTRUM ABER EINE HALBE</small> G<small>RAUPENGRÖSSE GESCHWUNDEN IST, SO IST ER, WIE</small> R. A͑<small>QIBA SAGT, WIE EIN ANFÄNGLICHER ZU BEHANDELN, UND NACH DEN</small> W<small>EISEN REIN</small>."
Negaim 4:9,"IX. W<small>ENN EIN</small> G<small>LANZFLECK IN</small> G<small>RAUPENGRÖSSE EINE HALBE</small> G<small>RAUPENGRÖSSE UND DARÜBER ZUGENOMMEN HAT, VOM</small> Z<small>ENTRUM ABER EINE HALBE</small> G<small>RAUPENGRÖSSE GESCHWUNDEN IST, SO IST ER NACH</small> R. A͑<small>QIBA UNREIN UND NACH DEN</small> W<small>EISEN REIN</small>. W<small>ENN EIN</small> G<small>LANZFLECK IN</small> G<small>RAUPENGRÖSSE EINE</small> G<small>RAUPENGRÖSSE UND DARÜBER ZUGENOMMEN HAT, DAS</small> Z<small>ENTRUM ABER GESCHWUNDEN IST, SO IST ER NACH</small> R. A͑<small>QIBA UNREIN, UND WIE DIE</small> W<small>EISEN SAGEN, ALS ANFÄNGLICHER ZU BEHANDELN</small>."
