Index Title,Tevul Yom
Mishnah Tevul Yom 2:3,"III. W<small>ENN DER</small> B<small>REI VON</small> H<small>EBE UND DER</small> K<small>NOBLAUCH UND DAS</small> Ö<small>L VON</small> P<small>ROFANEM IST, UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER EINEN</small> T<small>EIL DAVON BERÜHRT HAT, SO HAT ER ALLES UNTAUGLICH GEMACHT</small>. W<small>ENN ABER DER</small> B<small>REI VON</small> P<small>ROFANEM UND DER</small> K<small>NOBLAUCH UND DAS</small> Ö<small>L VON</small> H<small>EBE IST, UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER EINEN</small> T<small>EIL DAVON BERÜHRT HAT, SO HAT ER NUR DIE</small> S<small>TELLE, DIE ER BERÜHRT HAT, UNTAUGLICH GEMACHT; IST DER</small> K<small>NOBLAUCH MEHR, SO RICHTE MAN SICH NACH DER</small> M<small>EHRHEIT</small>. R. J<small>EHUDA SAGTE</small>: D<small>IES NUR DANN, WENN ER</small><sup>4</sup><i class=""footnote"">fn2167,Der Knoblauch mit dem Öl.</i> <small>EINEN FESTEN</small> K<small>LUMPEN IN DER</small> S<small>CHÜSSEL BILDET, IST ER ABER IM</small> M<small>ÖRSER ZERBRÖCKELT WORDEN, SO IST ER REIN</small><sup>5</sup><i class=""footnote"">fn2168,Nur die berührte Stelle ist unrein.</i>, <small>WEIL DIE</small> Z<small>ERBRÖCKELUNG ERWÜNSCHT IST</small>. E<small>BENSO ALLES ANDERE, DAS MAN MIT EINER</small> F<small>LÜSSIGKEIT ZERSTOSSEN HAT; WENN MAN ABER ETWAS, DAS MAN GEWÖHNLICH MIT EINER</small> F<small>LÜSSIGKEIT ZU ZERSTOSSEN PFLEGT, OHNE</small> F<small>LÜSSIGKEIT ZERSTOSSEN HAT, UND ES EINEN FESTEN</small> K<small>LUMPEN IN DER</small> S<small>CHÜSSEL BILDET, SO GLEICHT ES EINEM</small> F<small>EIGENKRANZE</small><sup>6</sup><i class=""footnote"">fn2169,Bei dem nur die berührte Stelle tinrein ist.</i>."
Mishnah Tevul Yom 2:4,"IV. W<small>ENN DER</small> B<small>REI UND DIE</small> P<small>LÄTZCHEN VON</small> P<small>ROFANEM SIND UND</small> Ö<small>L VON</small> H<small>EBE AUF IHNEN SCHWIMMT, UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER DAS</small> Ö<small>L BERÜHRT, SO HAT ER NUR DAS</small> Ö<small>L UNTAUGLICH GEMACHT; HAT MAN SIE ZERRÜHRT, SO HAT ER ALLES, WOHIN DAS</small> Ö<small>L GEKOMMEN IST, UNTAUGLICH GEMACHT</small>."
Mishnah Tevul Yom 2:5,"V. W<small>ENN ÜBER DEM</small> F<small>LEISCHE VON</small> H<small>EILIGEM DIE</small> G<small>ALLERTE VERKRUSTET IST UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER DIE</small> G<small>ALLERTE BERÜHRT HAT, SO SIND DIE</small> [F<small>LEISCH</small>]<small>STÜCKE ERLAUBT; HAT ER EIN</small> S<small>TÜCK BERÜHRT, SO IST DAS</small> S<small>TÜCK UND ALLES, WAS DAMIT HERAUFKOMMT, MITEINANDER VERBUNDEN</small>. R. J<small>OḤANAN</small> B. N<small>URI SAGT, BEIDES</small><sup>7</sup><i class=""footnote"">fn2170,Die Gallerte u. das Fleisch.</i> <small>SEI MITEINANDER VERBUNDEN</small>. D<small>ASSELBE GILT AUCH VON</small> H<small>ÜLSENFRÜCHTEN, DIE SICH AUF</small> B<small>ROTSTÜCKEN VERKRUSTET HABEN</small>. H<small>ÜLSENFRÜCHTE IM</small> T<small>OPFE GELTEN, WENN SIE EINZELN SIND, ALS NICHT VERBUNDEN, UND WENN SIE EINEN FESTEN</small> K<small>LUMPEN BILDEN, ALS VERBUNDEN; SIND ES MEHRERE</small> K<small>LUMPEN, SO SIND SIE ZU ZÄHLEN</small><sup>8</sup><i class=""footnote"">fn2171,Nach den Unreinheitsgraden: das berührte ist erstgradig unrein, das nächste zweitgradig usw.</i>. W<small>ENN ÖL AUF</small> W<small>EIN SCHWIMMT UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER DAS</small> Ö<small>L BERÜHRT HAT, SO HAT ER NUR DAS</small> Ö<small>L UNTAUGLICH GEMACHT</small>; R. J<small>OḤANAN B</small>. N<small>URI SAGT, BEIDES SEI MITEINANDER VERBUNDEN</small>."
Mishnah Tevul Yom 2:6,"VI. W<small>ENN MAN EIN</small> F<small>ASS</small><sup>9</sup><i class=""footnote"">fn2172,Mit Wein von Hebe. od. Heiligem.</i> <small>IN EINE</small> K<small>UFE MIT</small> W<small>EIN HINABGELASSEN HAT UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER IHN BERÜHRT, SO GILT ES</small>, <small>WENN VOM</small> R<small>ANDE EINWÄRTS</small><sup>10</sup><i class=""footnote"">fn2173,Innerhalb der Mündung des Fasses.</i>, <small>ALS VERBUNDEN, UND WENN VOM</small> R<small>ANDE AUSWÄRTS, ALS NICHT VERBUNDEN</small><sup>11</sup><i class=""footnote"">fn2174,Aus dem Wortlaute geht nicht hervor, worum es sich eigentlich handelt; auch die Kommentare tasten im Dunklen u. erklären verschieden.</i>. R. J<small>OḤANAN B</small>. N<small>URI SAGT, AUCH WENN ER IN</small> M<small>ANNESHÖHE ÜBER DER</small> M<small>ÜNDUNG BERÜHRT HAT, GELTE ES ALS VERBUNDEN</small>."
Mishnah Tevul Yom 2:7,"VII. W<small>ENN EIN</small> F<small>ASS EIN</small> L<small>OCH HAT, OB AM</small> B<small>ODEN ODER AN DER</small> S<small>EITE, UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER ES BERÜHRT HAT, SO IST ES UNREIN</small><sup>12</sup><i class=""footnote"">fn2175,Dh. bei Hebe untauglich.</i>. R. J<small>EHUDA SAGT, WENN AM</small> R<small>ANDE ODER AM</small> B<small>ODEN, SEI ES UNREIN, UND WENN AN DEN</small> S<small>EITEN</small><sup>13</sup><i class=""footnote"">fn2176,Wenn er diese Stelle berührt hat.</i>, <small>DA ODER DORT, SEI ES REIN</small>. W<small>ENN MAN</small> [W<small>EIN</small>] <small>AUS EINEM</small> G<small>EFÄSSE IN EIN ANDERES UMGIESST UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER DEN</small> S<small>TRAHL BERÜHRT, SO GEHT ES, WENN DARIN SOVIEL IST, IN HUNDERTUNDEINEM</small><sup>14</sup><i class=""footnote"">fn2177,Wenn der Inhalt des unteren Gefäßes das Hundertfache beträgt.</i><small>AUF</small>."
Mishnah Tevul Yom 2:8,"VIII. I<small>ST EINE</small> B<small>LASE AM</small> F<small>ASSE</small><sup>15</sup><i class=""footnote"">fn2178,Eine beim Brennen an der Wandung entstandene hohle Stelle.</i><small>INNEN UND AUSSEN DURCHLÖCHERT, OB OBEN ODER UNTEN, SO IST [DER</small> I<small>NHALT, WENN DIE</small> L<small>ÖCHER] EINANDER GEGENÜBER SIND, UNREIN DURCH EINE</small> H<small>AUPTUNREINHEIT UND UNREIN DURCH TOTENBEZELTUNG, WENN INNEN UNTEN UND AUSSEN OBEN, UNREIN DURCH EINE</small> H<small>AUPTUNREINHEIT UND UNREIN DURCH</small> T<small>OTENBEZELTUNG, UND WENN INNEN OBEN UND AUSSEN UNTEN, REIN BEI EINER</small> H<small>AUPTUNREINHEIT UND UNREIN DURCH</small> T<small>OTENBEZELTUNG</small>."
Mishnah Tevul Yom 3:1,"A<small>LLE</small> S<small>TIELE VON</small> S<small>PEISEN</small><sup>1</sup><i class=""footnote"">fn2179,Woran sie angefaßt werden, beispielsweise der Stengel an der Frucht od. der Knochen am Fleische.</i>, <small>DIE BEI DER</small> H<small>AUPTUNREINHEIT ALS VERBUNDEN GELTEN</small><sup>2</sup><i class=""footnote"">fn2180,Zur Speise gehören; cf. Uzç. I,1.</i>, <small>GELTEN ALS VERBUNDEN AUCH BEIM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN</small><sup>3</sup><i class=""footnote"">fn2181,Auch bei der Untauglichmachung von Hebe u. Heiligem.</i>. W<small>ENN VON EINER</small> S<small>PEISE EIN</small> T<small>EIL ABGEBROCHEN IST UND NOCH ETWAS ZUSAMMENHÄLT, SO GLEICHT ER, WIE</small> R. M<small>EÍR SAGT, WENN BEIM</small> A<small>NFASSEN DES GRÖSSEREN</small> T<small>EILES DER KLEINERE MITKOMMT, JENEM</small>; R. J<small>EHUDA SAGT, WENN BEIM</small> A<small>NFASSEN DES KLEINEREN</small> T<small>EILES DER GRÖSSERE MITKOMMT, GLEICHE ER DIESEM</small>. R. N<small>EḤEMJA SAGT, DES REINEN</small><sup>4</sup><i class=""footnote"">fn2182,Wenn beim Anfassen des nicht berührten Teiles der berührte mitkommt, gilt er als verbunden.</i>; <small>DIE</small> W<small>EISEN SAGEN, DES</small> U<small>NREINEN</small>. B<small>EI ALLEN ÜBRIGEN</small> S<small>PEISEN</small><sup>5</sup><i class=""footnote"">fn2183,Gemüse u. Kräuter.</i> <small>RICHTE MAN SICH, WENN MAN SIE AM</small> B<small>LATTE ANZUFASSEN PFLEGT, NACH DEM</small> B<small>LATTE</small><sup>6</sup><i class=""footnote"">fn2184,Ist dieses unversehrt, so gehört das daran hängende dazu.</i>, <small>UND WENN MAN SIE AM</small> S<small>TENGEL ANZUFASSEN PFLEGT, NACH DEM</small> S<small>TENGEL</small>."
Mishnah Tevul Yom 3:2,"II. W<small>ENN AUF</small> G<small>RÜNKRAUT VON</small> H<small>EBE EIN ZERRÜHRTES</small> E<small>I SICH BEFINDET UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER DAS</small> E<small>I BERÜHRT, SO MACHT ER NUR DEN</small> S<small>TENGEL AN DIESER</small> S<small>TELLE UNTAUGLICH</small><sup>7</sup><i class=""footnote"">fn2185,Das profane Ei wird zwar sonst dadurch nicht untauglich, da es aber zerrührt ist, gehört es zum Kraute.</i>; R. J<small>OSE SAGT, DIE GANZE OBERE</small> S<small>CHICHT</small>. B<small>ILDET ES EINE</small> A<small>RT</small> H<small>ELM</small><sup>8</sup><i class=""footnote"">fn2186,Wenn das Ei durch den Luftdruck beim Kochen eine Blase bildet u. in der Mitte das Grünkraut nicht berührt.</i>, <small>SO GILT ES NICHT ALS VERBUNDEN</small>."
Mishnah Tevul Yom 3:3,"III. W<small>ENN EIN</small> F<small>ADEN VON EINEM</small> E<small>I SICH AN DER</small> W<small>AND DER</small> K<small>ASSEROLLE</small><sup>9</sup><i class=""footnote"">fn2187,In der eine Speise von Hebe sich befindet.</i> <small>VERKRUSTET HAT UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER IHN BERÜHRT, SO GILT ER, WENN INNERHALB DES</small> R<small>ANDES, ALS VERBUNDEN, UND WENN AUSSERHALB DES</small> R<small>ANDES, NICHT ALS VERBUNDEN</small>. R. J<small>OSE SAGT, DER</small> F<small>ADEN, UND ALLES WAS [VON DER</small> S<small>PEISE</small>] <small>MITKOMMT</small><sup>10</sup><i class=""footnote"">fn2188,Beim Ablösen des Fadens, sei untauglich.</i>. D<small>ASSELBE GILT AUCH VON</small> H<small>ÜLSENFRÜCHTEN, DIE SICH AM</small> R<small>ANDE DES</small> T<small>OPFES VERKRUSTET HABEN</small>."
Mishnah Tevul Yom 3:4,"IV. T<small>EIG, DEM</small> H<small>EBE BEIGEMISCHT IST ODER DER MIT</small> S<small>AUERTEIG VON</small> H<small>EBE GESÄUERT WORDEN IST, WIRD NICHT UNTAUGLICH DURCH EINEN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN; NACH</small> R. J<small>OSE UND</small> R. Š<small>IMO͑N WIRD ER UNTAUGLICH</small>. W<small>ENN EIN DURCH EINE</small> F<small>LÜSSIGKEIT BEFÄHIGT</small><sup>11</sup><i class=""footnote"">fn2189,Für die Unreinheit.</i><small>GEMACHTER</small> T<small>EIG MIT</small> F<small>RUCHTSAFT</small><sup>12</sup><i class=""footnote"">fn2190,Der nicht zu den für die Unreinheit empfänglich machenden Flüssigkeiten gehört.</i><small>GEKNETET WORDEN IST UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER IHN BERÜHRT HAT, SO HAT ER, WIE</small> R. E<small>LEA͑ZAR B</small>. J<small>EHUDA AUS</small> B<small>ARTOTHA IM</small> N<small>AMEN</small> R. J<small>EHOŠUA͑S SAGT, DAS GANZE</small> (<small>UNTAUGLICH GEMACHT</small>), <small>UND WIE</small> R. A͑<small>QIBA IN DESSEN</small> N<small>AMEN SAGT, NUR DIE BERÜHRTE</small> S<small>TELLE UNTAUGLICH GEMACHT</small>."
Mishnah Tevul Yom 3:5,"V. W<small>ENN MAN</small> G<small>RÜNKRAUT VON</small> P<small>ROFANEM MIT</small> Ö<small>L VON</small> H<small>EBE GEKOCHT</small> T<small>AGE</small> U<small>NTERGETAUCHTER ES BERÜHRT HAT, SO HAT ER, WIE</small> R. E<small>LEA͑ZAR B</small>. J<small>EHUDA AUS</small> B<small>ARTOTHA IM</small> N<small>AMEN</small> R. J<small>EHOŠUA͑S SAGT, DAS GANZE (UNTAUGLICH GEMACHT), UND WIE</small> R. A͑<small>QIBA IN DESSEN</small> N<small>AMEN SAGT, NUR DIE BERÜHRTE</small> S<small>TELLE UNTAUGLICH GEMACHT</small>."
Mishnah Tevul Yom 3:6,"VI. W<small>ENN EIN</small> R<small>EINER EINE</small> S<small>PEISE KAUT UND ETWAS IHM AUF DIE</small> K<small>LEIDER ODER AUF EINEN</small> L<small>AIB VON</small> H<small>EBE FÄLLT, SO SIND SIE REIN</small><sup>13</sup><i class=""footnote"">fn2191,Der Laib wird durch den Speichel nicht verunreinigungsfähig.</i>. W<small>ENN JEMAND GEPLATZTE</small> O<small>LIVEN ODER SAFTIGE</small> D<small>ATTELN ISST UND DEN</small> K<small>ERN AUSSAUGEN WILL, UND ETWAS IHM AUF DIE</small> K<small>LEIDER ODER AUF EINEN</small> L<small>AIB VON</small> H<small>EBE FÄLLT, SO SIND SIE UNREIN</small><sup>14</sup><i class=""footnote"">fn2192,Weil ihm die Flüssigkeit erwünscht ist.</i>. W<small>ENN JEMAND TROCKENE</small> O<small>LIVEN ODER GETROCKNETE</small> D<small>ATTELN ISST UND DEN</small> K<small>ERN NICHT AUSSAUGEN WILL, UND ETWAS IHM AUF DIE KLEIDER ODER AUF EINEN</small> L<small>AIB VON</small> H<small>EBE FÄLLT, SO SIND SIE REIN</small>. O<small>B EIN</small> R<small>EINER ODER EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER</small>, <small>SIE GLEICHEN HIERBEI EINANDER</small>. R. M<small>EÍR SAGT, IN DIESEM UND IN JENEM</small> F<small>ALLE SEIEN SIE BEI EINEM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN UNREIN, WEIL DIE</small> F<small>LÜSSIGKEITEN EINES</small> U<small>NREINEN VERUNREINIGUNGSFÄHIG MACHEN OB ERWÜNSCHT ODER NICHT ERWÜNSCHT</small>. D<small>IE</small> W<small>EISEN SAGEN, EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER SEI NICHT UNREIN</small>."
Mishnah Tevul Yom 4:1,"<b>W</b><small>ENN EINE</small> S<small>PEISE VOM</small> Z<small>EHNTEN DURCH EINE</small> F<small>LÜSSIGKEIT EMPFÄNGLICH</small><sup>1</sup><i class=""footnote"">fn2193,Für die Unreinheit, durch Befeuchtung.</i> <small>GEWORDEN IST UND EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER ODER UNREINE</small> H<small>ÄNDE SIE BERÜHRT HABEN, SO IST DAVON DIE</small> Z<small>EHNTHEBE</small><sup>2</sup><i class=""footnote"">fn2194,Die der Levite an den Priester zu entrichten hat; cf. Jab. Fol. 86a.</i> <small>IN</small> R<small>EINHEIT ABZUSONDERN, WEIL SIE DRITTGRADIG [UNREIN] IST, UND BEI</small> P<small>ROFANEM DAS DRITTGRADIGE ALS REIN GILT</small>."
Mishnah Tevul Yom 4:2,"II. E<small>INE</small> F<small>RAU, DIE AM SELBEN</small> T<small>AGE UNTERGETAUCHT IST, DARF DEN</small> T<small>EIG KNETEN UND DIE</small> T<small>EIGHEBE</small><sup>3</sup><i class=""footnote"">fn2195,Die, solange sie noch nicht als solche bezeichnet worden ist, profan ist.</i> <small>ABTRENNEN UND ABSONDERN, IN EINEN</small> K<small>ORB ODER AUF EIN</small> B<small>RETT LEGEN, ANLEGEN</small><sup>4</sup><i class=""footnote"">fn2196,An den Teig; cf. Hal. I,9.</i> <small>UND MIT</small> N<small>AMEN BENENNEN</small><sup>5</sup><i class=""footnote"">fn2197,Erst wenn sie sie nicht mehr zu berühren braucht.</i>, <small>WEIL</small> [<small>DER</small> T<small>EIG</small>] <small>DRITTGRADIG IST, UND BEI</small> P<small>ROFANEM DAS DRITTGRADIGE ALS REIN GILT</small>."
Mishnah Tevul Yom 4:3,"III. M<small>AN DARF IN EINEM AM SELBEN</small> T<small>AGE UNTERGETAUCHTEN</small> T<small>ROGE DEN</small> T<small>EIG KNETEN UND DAVON DIE</small> T<small>EIGHEBE ABTRENNEN, SIE ANLEGEN UND MIT</small> N<small>AMEN BENENNEN, WEIL [DER</small> T<small>EIG</small>] <small>DRITTGRADIG IST, UND BEI</small> P<small>ROFANEM DAS DRITTGRADIGE ALS REIN GILT</small>."
Mishnah Tevul Yom 4:4,"IV. H<small>AT MAN AUS EINEM</small> F<small>ASSE MIT HEBEPFLICHTIGEM</small> Z<small>EHNTEN</small><sup>6</sup><i class=""footnote"">fn2198,Von dem die Zehnthebe für den Priester noch nicht entrichtet ist.</i><small>IN EINE AM SELBEN</small> T<small>AGE UNTERGETAUCHTE</small> K<small>RUKE ABGEFÜLLT, SO IST, WENN MAN GESAGT HAT, DIES SEI</small> Z<small>EHNTHEBE SOBALD ES DUNKEL</small><sup>7</sup><i class=""footnote"">fn2199,Dann ist die Kruke völlig rein.</i> <small>GEWORDEN IST</small>, [<small>DER</small> I<small>NHALT</small>] Z<small>EHNTHEBE; WENN MAN ABER GESAGT HAT, DIES SEI EIN</small> E͑<small>RUB, SO HAT MAN NICHTS</small><sup>8</sup><i class=""footnote"">fn2200,Die Niederlegung muß vor der Dunkelheit erfolgen, u. vorher war der Inhalt zum Genusse verboten.</i> <small>GESAGT</small>. Z<small>ERBRICHT DAS</small> F<small>ASS, SO BLEIBT DIE</small> K<small>RUKE</small> U<small>NVERZEHNTETES; ZERBRICHT DIE</small> K<small>RUKE, SO BLEIBT DAS</small> F<small>ASS</small> U<small>NVERZEHNTETES</small>."
