entry,suspected string
"<entry id=""E01408""><head-word>אוֹנָה</head-word><binyan><binyan-name>הפ׳,</binyan-name><senses><sense><definition>הונה, רמה</definition><notes> 
to overreach | 
<italic>
übervorteilen
</italic>
 ב״מ פ״ב מ״ד׃ תן לי מעותי או תן לי מה שאוניתני.</notes></sense></senses></binyan>
<binyan><binyan-form>הִתְאַנָה, הִתְאוֹנָה</binyan-form><binyan-name>התפ׳,</binyan-name><senses><sense><definition>התרמה</definition><notes> 
to be overreached | 
<italic>
übervorteilt werden
</italic>
 ב״מ מ״ט ע״ב׃ נתאנה לוקח וכו׳ נתאנה מוכר; ירוש׳ שם פ״ד ט׳ ע״ד׃ בשעה שהמוכר מתאנה וכו׳.</notes></sense></senses></binyan>
</entry>

","הִתְאַנָה,"
"<entry id=""E01487""><head-word>אָנַס</head-word><senses><sense><definition>.
 
–
 
עינה אשה</definition><notes> 
to violate | 
<italic>
notzüchtigen
</italic>
 סנה׳ פ״ה מ״א׃ האונס והמפתה וכו׳.</notes></sense></senses>
<binyan><binyan-form>נֶאֱנַס</binyan-form><binyan-name>נפ׳,</binyan-name>  <senses>
<sense>
<number>1) </number><definition>
 נוצח</definition><notes>
 
to be overcome | 
<italic>
überwältigt werden
</italic>
 בר׳ י״ג ע״ב׃ ונאנס בשינה.
 
</notes></sense><sense>
<number>2) </number><definition>
 נכעלה בעל כרחה</definition><notes> 
to be outraged | 
<italic>
vergewaltigt werden
</italic>
 כת׳ פ״א מ״ו׃ משארסתני נאנסתי.
 
</notes></sense><sense>
<number>3) </number><definition>
 אבד</definition><notes> 
to get lost | 
<italic>
abhanden kommen
</italic>
 נד׳ ל״א ע״ב׃ הלוקח כלי מן התגר לשגרן לבית חמיו וכו׳ נאנסו בהליכה חייב.
</notes></sense></senses></binyan></entry>

",נֶאֱנַס
"<entry id=""E01987""><head-word>אֵרַח</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>הכניס אורח</definition><notes> 
to receive a guest | 
<italic>
bewirten
</italic>
 בר׳ ס״ג ע״ב׃ המארח ת״ח וכו׳.
</notes></sense></senses></binyan>
<binyan><binyan-form>הִתְאָרַח</binyan-form><binyan-name>התפ׳,</binyan-name><senses><sense><definition>התאכסן</definition><notes> 
to lodge | 
<italic>
logieren
</italic>
 עיר׳ נ״ג ע״ב׃ נתארחתי אצל אכסניא אחת.</notes></sense></senses></binyan>
</entry>
",הִתְאָרַח
"<entry id=""E02285""><head-word>בְּגַר</head-word><pos>פ״ע,</pos><senses>
<sense>
<number>1) </number><definition>
 כנ״ל. קיד׳ ע״ט ע״א׃ השתא הוא דבגרה.
 
</definition></sense><sense>
<number>2) </number><definition>
 נעשה עז</definition><notes> 
to become rough | 
<italic>
rauh werden
</italic>
 ב״ב קס״ז ע״ב׃ בגר לה קלא.

</notes></sense></senses>
<pgbrk id=""vol1-p83""/>
<binyan><binyan-form>אַבְגַּר</binyan-form><senses><sense><definition>עפ׳, הכאיב</definition><notes> 
to hurt | 
<italic>
weh tun
</italic>
 כת׳ ס״ה ע״א׃ מפץ ומחצלת למה לה וכו׳ דמלו פורייא בחבלי דמבגר לה.</notes></sense></senses></binyan></entry>


",אַבְגַּר
"<entry id=""E02290""><head-word>בַּד</head-word><pos>פ״ע,</pos><senses><sense><definition>אבד וכלה</definition><notes> 
to perish | 
<italic>
untergehen
</italic>
 תרג׳ ירוש׳ במ׳ כ״א ל׳
 
(אבדת)׃ ספתון ובדתון.</notes></sense></senses>
<binyan><binyan-name>אִתְבִּיד אתפ׳,</binyan-name><senses><sense><definition>נעלם ואבד</definition><notes> 
to get lost | 
<italic>
abhanden kommen
</italic>
 תרג׳ יב״ע דב׳ כ״ב ג׳ (אשר תאבד)׃ די מתבדא.</notes></sense></senses></binyan>
</entry>

",אִתְבִּיד
"<entry id=""E02300""><head-word>בָּדַד</head-word><pos>פ״י,</pos><senses><sense><definition>פיזר</definition><notes> 
to scatter | 
<italic>
zerstreuen
</italic>
 ירוש׳ יומא פ״ה מ״ב ע״ג׃ בודדה ברגלו.</notes></sense></senses>
<binyan><binyan-name>הִתְבּוֹדֵד התפ׳,</binyan-name><senses><sense><definition>פרש והתרחק</definition><notes>
to separate o. s. | 
<italic>
sich absondern, entfernen
</italic>
 איכ״ר פתיחה׃ כצפור בודד על גג מתבודד מגג לגג.</notes></sense></senses></binyan>
</entry>

",הִתְבּוֹדֵד
"<entry id=""E02304""><head-word>בִּדָּה</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>שיקר</definition><notes> 
to lie | 
<italic>
lügen
</italic>
 שבוע׳ ל״א ע״א׃ שאם נותנין לי מאה מנה איני מבדה.</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְבַּדָּה התפ׳,</binyan-name><senses><sense><definition>נתפס בדברי שקר</definition><notes> 
to be caught lying | 
<italic>
Lügen gestraft werden
</italic>
 בר׳ ד׳ ע״א׃ למד לשונך לומר אינו יודע שמא תתבדה ותאחז.</notes></sense></senses></binyan>
</entry>

",הִתְבַּדָּה
"<entry id=""E02321""><head-word>בָּדַל</head-word><pos>פ״ע,</pos><senses><sense><definition>התרחק ופרש</definition><notes> 
to retire | 
<italic>
sich
</italic>
 
<italic>
zur
</italic>
<italic>
ückz
</italic>
<italic>
iehen
</italic>
 ירוש׳ חג׳ פ״ב ע״ח ע״ב׃ אף הוא בדל מן התרומה.</notes></sense></senses>
 <binyan><binyan-name>הִבְדִּיל הפ׳</binyan-name><senses><sense><definition>. – ברך ברכת הבדלה</definition><notes> 
to say the benediction of Habdalah | 
<italic>
die Habdalah sprechen
</italic>
 ירוש׳ פס׳ פ״י ל״ז ע״ג׃ מבדילין בלא יין.</notes></sense></senses></binyan>
</entry>

",הִבְדִּיל
"<entry id=""E02325""><head-word>בָּדַק</head-word><pos>פ״י,</pos><senses>
<sense>
<number>1) </number><definition>
 עיין וחיפש</definition><notes> 
to search | 
<italic>
suchen
</italic>
 פס׳ פ״א מ״א׃ אור לארבעה עשר בודקין את החמץ.
 
</notes></sense><sense>
<number>2) </number><definition>
 התבונן ובחן</definition><notes> 
to examine | 
<italic>
untersuchen
</italic>
 גיט׳ פ״ג מ״ח׃ בשלשה פרקים בודקין את היין.
</notes></sense></senses>
<binyan><binyan-name>נִבְדַק נפ׳,</binyan-name><senses><sense><definition>נחקר ונבחן</definition><notes> 
to be examined | 
<italic>
untersucht werden
</italic>
 יומא י״א ע״א׃ מזוזת יחיד נבדקת פעמים בשבוע.</notes></sense></senses></binyan>
</entry>

",נִבְדַק
"<entry id=""E02331""><head-word>בַּדַּר</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>פיזר</definition><notes> 
to scatter | 
<italic>
zerstreuen
</italic>
 ירוש׳ בר׳ פ״ט י״ד ע״ד׃ בשעה דמכנשין בדר 
ובשעה דמבדרין כנש.</notes></sense></senses></binyan>
<binyan><binyan-name>אִתְבַּדַּר אתפ׳,</binyan-name><senses><sense><definition>נתפזר</definition><notes> 
to be scattered | 
<italic>
zerstreut werden
</italic>
 ויק״ר ו׳׃ הלין דינרין מתבדרין.</notes></sense></senses></binyan>
</entry>

",אִתְבַּדַּר
"<entry id=""E02352""><head-word>בַּהֵת</head-word>

 <pos>פעיל,</pos> <senses>
<sense>
<number>1) </number><definition>
 בייש</definition><notes> 
to shame | 
<italic>
beschämen
</italic>
 ירוש׳ פאה פ״א ט״ו ע״ד׃ איך הוא מבהית לן.
 
</notes></sense><sense>
<number>2) </number><definition>
 הפחיד</definition><notes> 
to frighten | 
<italic>
ängstigen
</italic>
 ירוש׳ ר״ה פ״פ כ״ח ע״א׃ לא תבהית בני מריך.
</notes></sense></senses>
<binyan><binyan-name>אִתְבְּהֵת</binyan-name> <senses><sense><definition>אתפ״ עי׳ <bold>
<xref rid=""E02351"">
בְּהֵת</xref>
</bold>
 
1. שהש״ר ב׳ ד׳׃ הוא מתבהית ואזיל ליה.</definition></sense></senses></binyan>
</entry>

",אִתְבְּהֵת
"<entry id=""E02428""><head-word>בּוּר</head-word><pos>פ״ע,</pos><senses><sense><definition>לא נעבד (שדה וכדומה)</definition><notes> 
to be uncultivated | 
<italic>
brachliegen
</italic>
 ירוש׳ דמאי פ״ו כ״ה ע״ב׃ שלא תבור ארץ ישראל.</notes></sense></senses>
<binyan><binyan-name>הֵבִיר, הוֹבִיר הפ׳,</binyan-name><senses><sense><definition>הניח בלי חרישה וכדומה</definition><notes> 
to let lie waste | 
<italic>
brachliegen lassen
</italic>
 ב״מ פ״ט מ״ג׃ המקבל שדה מחבירו והבירה; ב״ר פ״ב׃ חוכר שדות הרבה ומבירן.</notes></sense></senses></binyan>
</entry>

","הֵבִיר,"
"<entry id=""E02468""><head-word>בּוֹשׁ.– בִּיֵּשׁ</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>גרם בושה</definition><notes> 
to insult | 
<italic>
beschämen
</italic>
 ב״ק פ״ח מ״א׃ והמבייש את הישן חייב וישן שבייש פטור.</notes></sense></senses></binyan>
<binyan>
<binyan-name>הִתְבַּיֵּשׁ התפ׳,</binyan-name><senses><sense><definition>בוש ונכלם</definition><notes> 
to be bashful | 
<italic>
sich schämen
</italic>
 ב״ר י״ב ע״ב׃ העושה דבר עבירה ומתבייש בו.</notes></sense></senses></binyan>
</entry>

",הִתְבַּיֵּשׁ
"<entry id=""E02499""><head-word>בְּזַע</head-word><binyan><binyan-name>פיעל</binyan-name><pos>פ״י,</pos><senses><sense><definition><bold>
בַּזַּע
</bold>
  קרע</definition><notes> 
to rend | 
<italic>
zerreissen
</italic>
 ויק״ר ו׳׃ בצע אמרתו – בזע פורפיריה; ירוש׳ כלא׳ פ״ט ל״ב ע״ב׃ מאנוי מבזעין.</notes></sense></senses></binyan>
<binyan>
<binyan-name>אִתְבְּזַע אתפ׳,</binyan-name><senses><sense><definition>נקרע</definition><notes> 
to be split | 
<italic>
gespalten werden
</italic>
 ירוש׳ ע״ז פ״ג מ״ב ע״ג׃ אזבזא ימא דטיבריא.</notes></sense></senses></binyan>
</entry>

",אִתְבְּזַע
"<entry id=""E02501""><head-word>בָּזַק</head-word><pos>פ״י,</pos><senses><sense><definition>פיזר</definition><notes> 
to strew | 
<italic>
streuen
</italic>
 עיר׳ פ״י מ״ד; בוזקים מלח.</notes></sense></senses>
<binyan><binyan-name>נִבְזַק נפ׳,</binyan-name><senses><sense><definition>חדר ונכנס</definition><notes> 
to penetrate | 
<italic>
eindringen
</italic>
 ב״ר כ״ו׃ לפי שבעוה״ז הרוח היא נבזקת באחד מאבריו אבל לעתיד לבוא היא נבזקת בכל הגוף.</notes></sense></senses></binyan>
</entry>

",נִבְזַק
"<entry id=""E02511""><head-word>בָּחַל</head-word><binyan><binyan-name>פיעל,</binyan-name><pos>פ״ע,</pos><senses><sense><definition><bold>
בּחֵל
</bold>
 
 התבשל (הפרי)
</definition><notes>
to ripen | 
<italic>
reifen
</italic>
 
נדה מ״ז ע״א׃ התאנים משיבחלו; שבי׳ פ״ה מ״ז׃ הפגים וכו׳ ביחל כונס לתוך ביתו.</notes></sense></senses>
</binyan>
<binyan><binyan-name>חִבְחִיל הפ׳,</binyan-name>

  <senses>
<sense>
<number>1) </number><definition>
 כנ״ל. מעש׳ פ״א מ״ב׃ התאנים משיבחילו.
 
</definition></sense><sense>
<number>2) </number><definition>
 סייע לבישול הפרי
</definition><notes>
to advance growth | 
<italic>
das 
</italic>
<italic>
Reifen fördern
</italic>
 
ירוש׳ שב׳ פ״ז י׳ ע״א׃ להבחיל הפירי.
</notes></sense></senses></binyan></entry>

",חִבְחִיל
"<entry id=""E02513""><head-word>בָּחַן.–הִבְחִין</head-word><binyan><binyan-name>הפ׳,</binyan-name><senses><sense><definition>הפריש והבדיל
</definition><notes>
to distinguish | 
<italic>
unterscheiden
</italic>
 ב״ר ט׳ ע״ב׃ יבחין בין מלכי ישראל למלכי עכו״ם.</notes></sense></senses></binyan>
</entry>

",–הִבְחִין
"<entry id=""E02514""><head-word>בְּחַר</head-word><pos>פ״י,</pos><senses>
<sense>
<number>1) </number><definition>
 בחן</definition><notes> 
to test | 
<italic>
prüfen
</italic>
 תרג׳ שופ׳ ז׳ ד׳ (ואצרפנו)׃ ואבחרינן.
 
</notes></sense><sense>
<number>2) </number><definition>
 בירר</definition><notes> 
to select | 
<italic>
wählen
</italic>
 תרג׳ תה׳ ל״ג י״ב (בחר לנחלה)׃ בחר לאחסנא.
</notes></sense></senses>
<binyan><binyan-name>אַבְחַר אפ׳,</binyan-name><senses><sense><definition>לקט</definition><notes> 
to pick out | 
<italic>
aussuchen
</italic>
 ירוש׳ פ״ז י׳ ע״א׃ כד מבחר בקלופייתא.</notes></sense></senses>
</binyan>
<binyan>
<binyan-name>אִתְבְּחַר אתפ׳,</binyan-name><senses><sense><definition>נבחר</definition><notes> 
to be chosen | 
<italic>
erwählt werden
</italic>
 תרג׳ במ׳ ל״א ה׳׃ ואתבחרו מאלפיא.</notes></sense></senses></binyan>
</entry>

",אַבְחַר
"<entry id=""E02536""><head-word>בִּטֵּל</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>העביר, השבית</definition><notes> 
to abolish | 
<italic>
abschaffen
</italic>
 עד׳ פ״א מ״ה׃ שאין בי״ד יכול לבטל דברי חבירו עד שיהיה גדול ממנו בחכמה ובמנין.</notes></sense></senses>
</binyan>
<binyan><binyan-name>הִבְטִיל הפ׳,</binyan-name><senses><sense><definition>גרם בטלה</definition><notes> 
to cause interruption | 
<italic>
aufhören lassen
</italic>
 סוכה פ״ה מ״ה׃ להבטיל העם ממלאכה.</notes></sense></senses></binyan>
</entry>

",הִבְטִיל
"<entry id=""E02541""><head-word>בְּטַן</head-word><pos>פ״ע,</pos><senses><sense><definition>היתה מעוברת</definition><notes> 
to be going | 
<italic>
trächtig sein
</italic>
 ב״ר צ״ח׃ בטנה תרין.</notes></sense></senses>
<binyan><binyan-name>אַבְטֵן אפ׳,</binyan-name><senses><sense><definition>עיבר</definition><notes> 
to impregnate | 
<italic>
schwängern
</italic>
 תרג׳ איוב כ״א י׳ (שורי עבר)׃ תורוה מבטין.</notes></sense></senses></binyan>
</entry>

",אַבְטֵן
"<entry id=""E02548""><head-word>בְּטַשׁ</head-word><pos>פ״י,</pos><senses><sense><definition>בעט</definition><notes> 
to kick | 
<italic>
mit dem Fusse stossen
</italic>
 שבת קט״ז ע״ב׃ אתא חמרה ובטש לשרגא.</notes></sense></senses>
<binyan><binyan-name>אִתְבַּטַּשׁ אתפ׳,</binyan-name><senses><sense><definition>נרמס</definition><notes> 
to be stamped | 
<italic>
getreten werden
</italic>
 תרג׳ יב״ע שמ׳ כ״ד י׳׃ ואתבטש עם טינא.</notes></sense></senses></binyan>
</entry>

",אִתְבַּטַּשׁ
"<entry id=""E02800""><head-word>בַּייֵת</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>כנ״ל. עירו׳ ע״ג ע״א׃ אתו ובייתו בבי רב.</definition></sense></senses>
</binyan>
<binyan>
<binyan-name>אָבִית אפ׳,</binyan-name><senses><sense><definition>איחר את הקבורה</definition><notes> 
to postpone burial | 
<italic>
das Begräbnis (über Nacht) hinausschieben
</italic>
 סנה׳ מ״ז ע״א׃ מבית ליה למת.</notes></sense></senses></binyan>
</entry>

",אָבִית
"<entry id=""E02841""><head-word>(בכר)</head-word>

 <pos>בִּכֵּר, בִּיכֵּר פ״י,</pos> <senses>
<sense>
<number>1) </number><definition>
 ילד בפעם הראשונה</definition><notes> 
first-born | 
<italic>
Ertsgeborene erzeugen
</italic>
 בכו׳ פ״א מ״ג חמור שלא ביכרה.
 
</notes></sense><sense>
<number>2) </number><definition>
 מיהר להביא פרי</definition><notes> 
to bear first fruits | 
<italic>
frühe Früchte tragen
</italic>
 ב״ר צ״ט׃ יריחו שהיתה מבכרת.
</notes></sense></senses>
<binyan><binyan-name>הִתְבַּכֵּר התפ׳</binyan-name><pos>פ״ע,</pos><senses><sense><definition>כנ״ל. ת״כ בחקותי ח׳׃ משיתבכר אין אתה מקדישו.
 
3)  מיהר לגמול</definition><notes> 
to be first in ripening 
<italic>
| früh reif werden
</italic>
 ביכו׳ פ״ג מ״א׃ רואה תאנה שבכרה; שם פ״א מ״ד׃ אחת ביכרה אחת שלא ביכרה.</notes></sense></senses></binyan>
</entry>

",הִתְבַּכֵּר
"<entry id=""E02843""><head-word>בְּכַר</head-word><binyan><binyan-name>פַעל</binyan-name>

<pos>,</pos>  <binyan-form>בַּכֵּר</binyan-form> <senses>
<sense>
<number>1) </number><definition>
 בשל (הפרי)</definition><notes> 
to produce, to mature | 
<italic>
früh zur Reife bringen
</italic>
 
תרג׳ יע״ב דבר׳ ל״ג י״ד (וממגד)׃ דמבכרא ארעא.
 
</notes></sense><sense>
<number>2) </number><definition>

 
ביכר</definition><notes> 
to recognize as first-born | 
<italic>
als Erstgeborenen anerkennen
</italic>
 תרג׳ דבר׳ כ״א ט״ז׃ לבכרא ית בר רחומתא.
</notes></sense></senses></binyan>
<binyan><binyan-name>הִבְכִּיר</binyan-name> <senses><sense><definition>הפעי׳ כנ״ל. בכור׳ פ״ג מ״ב׃ המבכירות מניקות.</definition></sense></senses>
</binyan>
<binyan><binyan-name>אִתְבַּכֵּר אתפ׳</binyan-name><senses><sense><definition>היה מוקדש לבכור</definition><notes> 
to be dedicated as first-born | 
<italic>
als Erstgeborener geweiht werden
</italic>
 תרג׳ ױקר׳ כ״ז כ״ו (אשר יבכר)׃ בוכרא דאיתבכר וכו׳.</notes></sense></senses></binyan>
</entry>

",הִבְכִּיר
"<entry id=""E02863""><head-word>בִּלְבֵּל, בַּלְבֵּל</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>עירבב יחד</definition><notes> 
to disarrange, to mix up | 
<italic>
vermischen, verwirren
</italic>
 בכו׳ ל״ח ע״ב׃ דבר המבלבל את העין׃ ידי׳ פ״ד מ״ד׃ כבר עלה סנחריב מלך אשור ובלבל את כל האומות.</notes></sense></senses>
</binyan>
<binyan><binyan-name>אִיבַּלְבֵּל אתפ׳</binyan-name><senses><sense><definition>נתערבב</definition><notes> 
to be disturbed | 
<italic>
vermischt werden
</italic>
 חול׳ כ״ו ע״א׃ מיבלבלי; מו״ק ט׳ ע״ב׃ לבלבל פתורך.</notes></sense></senses></binyan>
</entry>

",אִיבַּלְבֵּל
"<entry id=""E02899""><head-word>בַּלֵי</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>שחק, קילקל</definition><notes> 
to wear out, to destroy | 
<italic>
aufreiben, abnutzen, verderben
</italic>
 תרג׳ ישעי׳ ג

 
ט״ו (ופני ענייים תטחנו)׃ ואפי חשוכיא מבלין אתון; ע״ז כ׳ ע״א׃ בלי עפרא.</notes></sense></senses></binyan>
<binyan><binyan-name>אִתְבְּלִי</binyan-name> <senses><sense><definition>את׳ נתקלקל</definition><notes> 
to decay, to perish | 
<italic>
aufgerieben werden
</italic>
 תרג׳ איוב י״ג כ״ח (והוא כרקב יבלה)׃ יתבלי.</notes></sense></senses>
</binyan></entry>
",אִתְבְּלִי
"<entry id=""E02915""><head-word>בָּלַם. – ,בְּלַם</head-word><pos>פ״י,</pos><notes>1) עצר, חסם 
to restrain, to muzzle | 
<italic>
hemmen, verstopfen, zurückhalten
</italic>
 בכור׳ מ׳ ע״ב׃ פיו בלום; שם מ״ג ע״ב׃ חוטמו בלום.</notes>
<binyan><binyan-name>הִבְלִים הפ׳,</binyan-name><pos>פ״ע,</pos><pos>פ״י,</pos><senses><sense><definition>כנ״ל. ירוש׳ הגי׳ פ״ב ע״ה ע״א׃ ובלבד שיבלים לעיסתו.
 
2)  נאלם</definition><notes> 
to grow dumb | 
<italic>
verstummen
</italic>
 חול׳ פ״ט ע״א׃ מי שבולם עצמו בשעת מריבה.
 
3) עי׳ <bold>
<xref rid=""E02925"">
בָלַס.</xref>
</bold>
 
4)  פ״י, קשר 
to wrap up | 
<italic>
zusammenbinden
</italic>
 חול׳ ק״ז ע״ב׃ בלם ליה אומצא.</notes></sense></senses></binyan>
</entry>

",הִבְלִים
