Index Title,"Shulchan Arukh, Yoreh De'ah"
"Shulchan Arukh, Yoreh De'ah 2:6","מומר לאחד משאר עבירות א""צ לבדוק לו סכין ~[ו] ולהרמב""ם צריך. ודוקא במומר לעבירה אבל מי שהוא פסול לעדות בעבירה מעבירות של תורה אין צריך לבדוק לו סכין אפילו להרמב""ם. הגה: מיהו אם הוא פסול לעדות משום שאכל נבילות אעפ""י שאינו מומר לכך כיון שהוא חשוד לאכול נבלות דינו כמומר לכך (סברת ב""י והרמב""ם)."
"Shulchan Arukh, Yoreh De'ah 2:7",מומר לערלות דינו כמומר לעבירה אחת. ואם אינו ערל אלא מפני שמתו אחיו מחמת מילה הרי הוא כשאר ישראל כשר.
"Shulchan Arukh, Yoreh De'ah 2:8",כותי האידנא דינו כעובד כוכבים.
"Shulchan Arukh, Yoreh De'ah 2:9","צדוקי ובייתוסי (הם הנמשכים אחר צדוק ובייתוס מתלמידי אנטיגנוס איש סוכו שיצאו לתרבות רעה ואינם מאמינים בתורה שבע""פ) שחיטתן אסורה אלא א""כ שחטו ואחרים עומדים על גביהם ~[ז] וגם בדקו להם סכין. הגה: כה מסור דינו כמומר ושחיטתו פסולה (הגהות אלפסי). ויש מכשירין (ב""י סימן קי""ט בשם רשב""א) ועיין לקמן סימן קי""ט."
"Shulchan Arukh, Yoreh De'ah 2:10",~[ח] התחיל פסול לשחוט וגמר הכשר או שהתחיל הכשר וגמר הפסול פסולה. במה דברים אמורים שהתחיל הפסול בדבר שעושה אותה נבלה כגון בוושט כח או ברוב הקנה אבל אם התחיל הפסול בחצי קנה וגמר הכשר כשרה.
"Shulchan Arukh, Yoreh De'ah 2:11","היו ישראל ופסול אוחזין בסכין ושוחטין פסולה. לא ואין צריך לומר אם כל אחד סכינו בידו. שחיטת קוף פסולה) (א""ז והוא בתוספתא ריש חולין)."
"Shulchan Arukh, Yoreh De'ah 3:1","שחיטת חולין ~[א] אינה צריכה כוונה. אפילו מתעסק בעלמא לחתוך או שזרק סכין לנועצה בכותל ושחט כהלכתה (ס""א בהליכתה ועיקר) כשרה. והוא שראה שלא החליד (פי' ענין נעיצה ותחיבה מלשון חולדה שנכנסת בחורין ובסדקין) הסכין בין סימן לסימן או תחת העור. ואם מצא הנוצה או השיער חתוכים ודאי לא החליד. ואפילו הפיל הסכין בידו. או ברגלו שלא בכוונה כלל ושחט שחיטתו כשרה. אבל אם נפלה מעצמה פסולה דבעינן ~[ב] כח גברא. וכן אם היה הסכין מונח בחיקו או בידו ונפלה מידו או מחיקו שלא בכוונה כנפלה מעצמה דמי ופסולה."
"Shulchan Arukh, Yoreh De'ah 4:1",השוחט לשם עבודת כוכבים אפילו לא חישב לעבדה בשחיטה זו אלא חישב בשעת שחיטה לזרוק דמה או להקטיר חלבה לעבודת כוכבים הרי זה זבחי מתים ואסורה בהנאה.
"Shulchan Arukh, Yoreh De'ah 4:2","~[א] שחט סתם ואח""כ חישב לזרוק דמה או להקטיר חלבה לעבודת כוכבים ~[ב] הרי זה ספק זבחי מתים."
"Shulchan Arukh, Yoreh De'ah 4:3","ישראל ששחט בהמתו של עובד כוכבים אפילו חישב העובד כוכבים לעבודת כוכבים כשרה. ואם ישראל חישב שיזרוק העובד כוכבים לעבודת כוכבים פסולה. ואסורה בהנאה). (ב""י)."
"Shulchan Arukh, Yoreh De'ah 4:4","ישראל ששחט בהמת חבירו לעבודת כוכבים ~[ג] לא אסרה שודאי לא כוון אלא לצערו ואם יש לו שותפות בה יש אומרים שאוסר גם חלק חבירו ויש אומרים ~[ד] דגם בזה אינו מכוין אלא לצער שותפו ~[ה] ולא לאסור. הגה: ואם התרו בו ועבר התראה הרי זה אוסר כשאר מומרים (טור). (וע""ל סימן קמ""ה)."
"Shulchan Arukh, Yoreh De'ah 4:5","השוחט לשם הרים וגבעות; לשם חמה ולבנה כוכבים ומזלות ימים ונהרות אין לו דין תקרובת עבודת כוכבים לאוסרה בהנאה אבל שחיטתו פסולה אע""פ שלא נתכוין לעבדה אלא לרפואה וכיוצא בה מדברי הבאי שאומרים העובדי כוכבים."
"Shulchan Arukh, Yoreh De'ah 4:6",שחט לשם שר של הר או לשם שר א' משאר הדברים בין ששחט לשם מיכאל השר הגדול בין ששחט לשם שר של שלשול קטן שבים (פי' מין תולעת) הרי זה זבחי מתים ואסור בהנאה.
"Shulchan Arukh, Yoreh De'ah 4:7","ישמעאלים שאינם מניחים ישראל לשחוט אלא אם כן יהפוך פניו לא""ל קיבל""א (דהיינו שיהפוך פניו נגד מזרח) כמנהג חקותיהם אינו דומה לשוחט לשם הרים. ומכל מקום ראוי לבטל המנהג ההוא ולגעור במי שעושה כן הואיל ומקפידים על כך). (רשב""א סימן שמ""ה)."
"Shulchan Arukh, Yoreh De'ah 5:1","השוחט לשם קדשים שמתנדבים ונודרים כמותם ~[א] אפילו היא בעלת מום שחיטתו פסולה שזה כשוחט קדשים בחוץ. שחט לשם קדשים שאינם באים בנדר ונדבה שחיטתו כשרה (ל' הרמב""ם פ""ב מה""ש). כיצד השוחט לשם עולה לשם תודה לשם פסח שחיטתו פסולה. הואיל והפסח יכול להפרישו בכל שעה שירצה דומה לנידר ונידב. שחט לשם חטאת לשם אשם ודאי לשם אשם תלוי לשם בכור לשם מעשר לשם תמורה שחיטתו כשרה. ~[ב] ואם נודע שעבר עבירה שחייב עליה חטאת או אשם ואומר זו לחטאתי או לאשמי פסולה. הגה: ~[ג] ויש פוסלין באשם תלוי בכל ענין משום דסבירא להו דבא בנדר ונדבה (טור) (וכן משמע דעת הרא""ש ס""פ השוחט ור' ירוחם ע""ש ורשב""א בת""ה) ויש להחמיר."
"Shulchan Arukh, Yoreh De'ah 5:2","שחט תרנגולים ואווזים וכיוצא בהם מינים שאינם ראויים להקרבה כשרים. וה""ה לתורים קטנים ובני יונים גדולים."
"Shulchan Arukh, Yoreh De'ah 5:3","שנים ששוחטין בין שאוחזין בסכין אחד בין שכל אחד סכינו בידו ונתכוין א' מהם לשם דבר הפוסל הרי זה פסולה. וכן אם שחטו זה אחר זה ונתכוין אחד מהם לשם דבר הפוסל פסול. במה דברים אמורים כשהיה לו בה שותפות אבל אם אין לו בה שותפות אינה אסורה שאין אדם מישראל אוסר דבר שאינו שלו שאין כוונתו ~[ד] אלא לצערו. הגה: ויש אוסרים בכל ענין משום מראית העין (ב""י בשם הרא""ש והטור) ויש להחמיר."
"Shulchan Arukh, Yoreh De'ah 6:1","בכל דבר התלוש שוחטין בין בסכין בין בצור בין בקרומית של קנה האגם הנקרא אישפדני""א ושן וצפורן יחידי) (טור) וכיוצא בהם מדברים החותכים. והוא שיהיה פיו חד ולא יהיה בו פגם. הגה: ואסור לשחוט בשאר קנים או זכוכית שקיסמים נבדלין מהם ויש לחוש לנקיבת הסימנים (ב""י בשם רש""י וכ""כ הר""ן). סכין שצדה אחד מגל וצדה השני יפה לא ישחוט בצד היפה לכתחלה גזירה שמא ישחוט בצד האחר. ואם שחט הואיל ובצד היפה שחט שחיטתו כשרה. הגה: וה""ה בסכין ארוכה שיש בה פגימה ונשאר בה שיעור שחיטה בלא פגימה דאסור לשחוט בה אפילו במקום היפה אפילו אם כרך מטלית על הפגימה (טור). ואם שחט בו ואמר: ברי לי שלא נגעתי במקום הפגימה שחיטתו כשרה (מרדכי ספ""ק דחולין ואשירי ותא""ו נט""ז וכל בו ורוקח ומהרי""ל). אפילו לא כרך מטלית על הפגימה (טור וב""י). ובי""ט שאי אפשר להשחיז הסכין (טור ואשר""י ור""פ עב""י) וכן בחול בשעת הדחק מותר לשחוט לכתחלה אם כורך מטלית על הפגימה. (טור וב""י שסמך על העיטור ור""ן וסה""ת וסמ""ג והגה""מ) וע""ל סימן י""ח ס""י דלכתחלה יש ליזהר אפילו אין לסכין פגימה רק בין הקתא לסכין לא ישחוט בו (מצא בשחיטות ישנים) (ד""מ סימן י""ח סוף ס""ב)."
"Shulchan Arukh, Yoreh De'ah 6:2",השוחט בדבר המחובר לקרקע או לגוף כגון צפורן ושן המחוברים בבהמה שחיטתו פסולה. ובתלוש מן הקרקע ולבסוף חברו בקרקע לא ישחוט ואם שחט שחיטתו כשרה ~[א] ואפילו אם בטלו והוא שלא יהא נשרש בארץ אחר שבטלו.
"Shulchan Arukh, Yoreh De'ah 6:3","חתך מבהמה לחי שיש בו שינים חדים ושחט בהם שחיטתו פסולה מפני שהם כמגל. אבל בשן אחד הקבוע בלחי שוחט בו לכתחלה. (וה""ה בציפורן הקבוע ביד התלושה מן הגוף) (ב""י)."
"Shulchan Arukh, Yoreh De'ah 6:4","נעץ סכין בכותל ~[ב] או בדבר התלוש) והעביר הצואר עד שנשחט שחיטתו כשרה (לשון הרמב""ם פ""ב מה""ש דין ח’). והוא שיהיה צואר הבהמה למטה והסכין למעלה שאם היה צואר בהמה למעלה מהסכין שמא תרד הבהמה בכובד גופה ותחתוך בלא הולכה והבאה ואין זה שחיטה ואפילו אמר: ברי לי שלא דרסתי שחיטתו פסולה (טור ופוסקים). לפיכך אם היה עוף בין שהיה צוארו למעלה מהסכין הנעוצה או למטה ממנה שחיטתו כשרה."
"Shulchan Arukh, Yoreh De'ah 7:1","~[א] יכול אדם לקבוע סכין בגלגל של אבן או של עץ ומסבב הגלגל בידו או ברגלו ומשים שם צואר הבהמה או העוף עד שישחוט בסביבות הגלגל; ואם המים הם המסבבים את הגלגל ושם הצואר כנגדו בשעה שסבב ונשחט הרי זו פסולה (ל' הרמב""ם שם דין י""ג) ואם פטר אדם את המים עד שבאו וסבבו את הגלגל ושחט בסביבתו הרי זה כשר בדיעבד שהרי מכח אדם בא; במה דברים אמורים בסביבה ראשונה שהיא מכח האדם אבל מסביבה שנייה ולאחריה פסולה שהרי אינה מכח האדם אלא מכח המים בהילוכן."
"Shulchan Arukh, Yoreh De'ah 8:1","כמה הוא אורך הסכין ששוחט בו כל שהוא; והוא (רק) שלא יהא דבר דק שנוקב ואינו שוחט כמו ראש האזמל הקטן וכיוצא בו; ובמחט אפילו הוא רחב קצת כאותן של רצענים שחותכין בו החוט אין שוחטין בו (טור). וכיון דלא ידעינן שיעורא השוחט בסכין קטנה צריך ליזהר ולשער לפי אומד דעתו שכשיוליך ויביא בה שלא ידרוס; אבל בקטנה יותר מדאי לא ישחוט. הגה: ומי שלא יוכל לשער יקח סכין כמלא אורך ב' צוארין של אותו דבר ששוחטין (מדרכי בשם ר""ח); וי""א לשער בי""ד אצבעות ורמז לזה שנאמר: ושחטתם בז""ה (שמואל א יד מנין י""ד. (שם ושחיטות ישנים)."
"Shulchan Arukh, Yoreh De'ah 9:1",אם שחט בסכין מלובנת ~[א] שחיטתו פסולה; ויש מכשירין (ב אם ידע שהיא מלובנת ונזהר שלא נגע בצדדים).
"Shulchan Arukh, Yoreh De'ah 10:1","סכין של משמשי עבודת כוכבים חדש או ישן שאין בו משום גיעולי עובדי כוכבים מותר לשחוט בו בהמה בריאה מפני ~[א] שהוא מקלקל; ~[ב] ואסור לשחוט בו מסוכנת מפני שהוא ~[ג] מתקן; סכין של עובדי כוכבים שהשחיזו בריחים שלו (ע""ל ס""ס קכ""א) או אם היה יפה שאין בו פגימות ונעצו בקרקע קשה עשר פעמים ואח""כ שחט בו מותר; ואם שחט בו בלא שום הכשר ~[ד] מדיח בית השחיטה ואם קלף הרי זה משובח. ועל כן יש לקלפו. (רוב הפוסקים). הגה: ~[ה] ובמקום הדחק שאין לו סכין אחרת מותר לשחוט בו כה""ג לכתחלה אבל לא ישחוט על מנת לקלוף אח""כ (טור בשם הרא""ש ורבי' ירוחם)."
"Shulchan Arukh, Yoreh De'ah 10:2","סכין ששחט בה כשרה אע""פ שהיא מלוכלכת בדם ~[ו] מותר לשחוט בה פעם אחרת אבל יד אסור ~[ז] לחתוך בה רותח; ומותר לחתוך בה צונן על ידי הדחה שידיחנו תחלה. הגה: ואם רוצה להגעילו לאכול בו רותח סגי ליה בהגעלה על ידי עירוי אע""ג שאינו ככלי ראשון. (ארוך כלל נ""ח בשם מהר""ם)."
"Shulchan Arukh, Yoreh De'ah 10:3",סכין ששחט בה טריפה אסור לשחוט בה ~[ח] עד שידיחנה בצונן או יקנחנה בדבר קשה; ונוהגין עתה לקנחה יפה בשער הבהמה בין כל שחיטה ושחיטה ושפיר דמי; ואם שחט בו בלא הדחה ידיח בית השחיטה; ~[ט] ואם רגיל לשחוט בו טריפות תדיר צריך נעיצה עשר פעמים בקרקע קשה.
"Shulchan Arukh, Yoreh De'ah 11:1","לעולם שוחטין בין ביום בין בלילה; בד""א כשאבוקה כנגדו אבל אם אין אבוקה כנגדו או ביום במקום אפל ~[א] לא ישחוט; ואם שחט שחיטתו כשרה. וב' נרות חשובים אבוקה) (מהרי""ל ואגודה)."
"Shulchan Arukh, Yoreh De'ah 11:2","~[ב] השוחט בשבת וביו""כ אע""פ שאילו היה מזיד בשבת מתחייב בנפשו והיה לוקה ביה""כ שחיטתו כשרה."
"Shulchan Arukh, Yoreh De'ah 11:3",אין שוחטין לתוך ימים ונהרות שלא יאמרו לשר של ים הוא שוחט; ולא ~[ג] לתוך הכלים שלא יאמרו מקבל הדם לזורקו לעבודת כוכבים; ואם יש בכלי מים שאז אין הדם ראוי לזריקה אם הם צלולים לא ישחוט בו שלא יאמרו לצורה הנראית במים שוחט; ואם הם עכורים מותר; וכן אם יש בכלי עפר מותר לשחוט בתוכו.
"Shulchan Arukh, Yoreh De'ah 11:4","היה בספינה ואין לו בה מקום פנוי לשחוט יכול לשחוט ~[ד] על גבי כלים והדם שותת ויורד לתוך המים; או מוציא ידו חוץ לספינה ושוחט על דפנותיה והדם שותת ויורד לתוך המים ואינו חושש. הגה: ~[ה] מקצת שוחטין נזהרין שלא לשחוט שום אווז בטבת ושבט אם לא שאוכלין מלבה משום שקבלה היא שיש שעה אחת באותן חדשים אם שוחט בה אווז ימות השוחט אם לא אוכל ממנה; ונוהגין לאכול מן הלב. (תשב""ץ בשם ר""י חסיד)."
"Shulchan Arukh, Yoreh De'ah 12:1",אין שוחטין לתוך הגומא אפילו בבית; ואם לא היה רוצה ללכלך ביתו בדם עושה מקום מדרון חוץ לגומא ושוחט שם והדם שותת ויורד לגומא; ובשוק לא יעשה כן.
"Shulchan Arukh, Yoreh De'ah 12:2","י""א שאם שחט בגומא בשוק אסור לאכול משחיטתו עד שיבדקו אחריו שמא אפיקורס הוא; (רמב""ם פ""ב מה""ש ועיטור) ויש אומרים שמותר בדיעבד ~[א] ואין צריך בדיקה (רשב""א ומרדכי בשם רא""ם). הגה: ~[ב] ובזמן הזה דאין דרך עובדי עבודת כוכבים בכך יש להתיר בדיעבד. (א""ז ובשחיטות הר""מ ממדלינגן)."
"Shulchan Arukh, Yoreh De'ah 13:1","בהמה חיה ועוף טעונין שחיטה; ~[א] דגים וחגבים אין טעונין שחיטה. הגה: ומותר לאוכלם מתים ~[ב] או לחתוך מהם אבר ולאכלו אבל אסור לאכלן חיים משום: בל תשקצו (הגהות מיימוני פ""א הגהות מרדכי ותוס')."
"Shulchan Arukh, Yoreh De'ah 13:2",השוחט את הבהמה ונמצאת כשרה ומצא בה עובר בן ח' בין חי בין מת או בן ט' מת מותר באכילה ואינו טעון שחיטה; ואם מצא בה בן ט' חי אם הפריס על גבי קרקע טעון שחיטה אבל ~[ג] שאר טרפות אינו אוסר אותו; ואם לא הפריס על גבי קרקע אינו טעון ~[ד] שחיטה; ואם פרסותיו קלוטות (פי' שפרסתו כולה אחת ואינה סדוקה או שהיה בו שום שאר דבר תמוה) (הגהות אשירי) אף על פי שהפריס על גבי קרקע אינו טעון שחיטה; ויש מגמגמין בדבר.
"Shulchan Arukh, Yoreh De'ah 13:3","אם לא שחט האם אלא קרעה וכן אם שחטה ונתנבלה בידו או שנמצאת טריפה אם העובר (הנמצא בן ט' חי טעון שחיטה לעצמו וניתר בה; ואם הוא בן ט' מת או בן ח' אפילו חי הרי זה אסור. הגה: ועכשיו אין להתיר ~[ה] שום ולד הנמצא בבהמה אם האם טריפה (הגהות מיימוני בשם סמ""ג סוף לאוין קל""ו ואו""ה סוף כלל נ""ה) ולא מהני לו שחיטת עצמו דחיישינן שמא אינו בן ט'."
"Shulchan Arukh, Yoreh De'ah 13:4",בן ט' חי שנמצא במעי שחוטה כשרה וגדל ובא על בהמה דעלמא יד והוליד אותו הולד ~[ו] אין לו תקנה בשחיטה ואם בא על בת פקועה כיוצא בו הרי בנו ובן בנו עד סוף כל הדורות כמוהו וכולם צריכים שחיטה מדבריהם ואין הטרפות פוסל בהם.
"Shulchan Arukh, Yoreh De'ah 13:5","השוחט את הבהמה ומצא בה דמות עוף אע""פ שהוא עוף טהור הרי זה אסור באכילה; לא הותר מן הנמצא בבהמה אלא מה שיש לו פרסה. הגה: וי""א דאפילו פרסותיו קלוטות רק שיהא דומה לבהמה שבמינה מין שיש לו פרסה."
"Shulchan Arukh, Yoreh De'ah 13:6",השוחט את הבהמה ומצא בה בריה שיש לה ב' גבין ושני שדראות אסור.
"Shulchan Arukh, Yoreh De'ah 14:1","~[א] המקשה לילד והוציא העובר את ראשו אעפ""י שהחזירו הרי הוא כילוד ואינו ניתר בשחיטת אמו; לפיכך אם הוא בן ח' חי או מת או בן ט' מת אסור; ואם הוא בן ט' חי ניתר בשחיטת עצמו."
