Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 3a:4	Also nur, wenn beide es wollten, wenn aber nicht beide es wollten, so verpflichtet man ihn$fn46dazu nicht; somit gilt die Schädigung durch das Hineinsehen nicht als Schädigung!? – 
Bava Batra 3a:5	Wieso heißt es demnach: so bauen sie die Wand, es sollte ja heißen: so bauen sie sie!? – Wieso heißt es, wenn darunter eine Teilung zu verstehen ist: eine Abteilung machen wollen, es sollte ja heißen: teilen wollen!? – Wie die Leute zu sprechen pflegen: komm, wir wollen eine Teilung machen. – 
Bava Batra 3a:6	Wieso lehrt er es, wenn die Schädigung durch das Hineinsehen als Schädigung gilt, von dem Falle, wenn beide es wollen, dies gilt ja auch von dem Falle, wenn nicht beide es wollen!? R. Asi erwiderte im Namen R. Joḥanans: Unsere Mišna spricht von dem Falle, wenn dabei das Gesetz von der Teilung keine Geltung$fn47hat, dies nur dann, wenn beide es wollen. – 
Bava Batra 3a:7	Er lehrt uns also, daß, wenn beide es wollen, sie teilen müssen, und dies haben wir ja bereits gelernt: dies$fn48nur dann, wenn nicht beide es wollen, wenn aber beide es wollen, so teilen sie, auch wenn er kleiner ist!? – Hieraus wäre zu entnehmen, daß, wenn er kleiner ist, auch ein Gitter ausreiche, daher lehrt er uns, daß es eine richtige Wand sein müsse. – 
Bava Batra 3a:8	Sollte er doch nur dies und nicht jenes lehren!? – Nötig ist der Schlußsatz$fn49: heilige Schriften aber dürfen sie, auch wenn beide$fn50es wollen, nicht teilen. – 
Bava Batra 3a:9	Was ist denn dabei, daß beide es wollen, er$fn51kann ja zurücktreten!? R. Asi erwiderte im Namen R. Joḥanans: Wenn er$fn52es ihm zugeeignet hat. 
Bava Batra 3a:10	Weshalb lehrt er es von dem Falle, wenn dabei das Gesetz von der Teilung keine Geltung hat, wenn beide es wollen, sollte er es doch von dem Falle lehren, wenn dabei das Gesetz von der Teilung Geltung hat, auch wenn nicht beide es wollen!? – Hätte er es von dem Falle gelehrt, wenn dabei das Gesetz von der Teilung Geltung hat, auch wenn nicht beide es wollen, so [könnte man glauben,] wenn dabei das Gesetz von der Teilung keine Geltung hat, sei dies nicht nötig, auch wenn beide es wollen. – 
Bava Batra 3a:11	Wieso kannst du dies sagen, im Schlußsatze lehrt er ja: dies nur dann, wenn nicht beide es wollen, wenn aber beide es wollen, so teilen sie. Doch wohl durch eine Wand$fn53!? – Nein, nur durch ein Gitter. – 
Bava Batra 3a:12	Sollte er doch nur dies lehren und nicht jenes!? – Der Schlußsatz ist nötig: heilige Schriften aber dürfen sie, auch wenn beide es wollen, nicht teilen. – 
Bava Batra 3a:13	Du hast unsere Mišna auf den Fall bezogen, wenn dabei das Gesetz von der Teilung keine Geltung hat, und wenn dabei das Gesetz von der Teilung keine Geltung hat, ist ja nichts dabei, daß beide es wollten, sie können ja zurücktreten!? R. Asi erwiderte im Namen R. Joḥanans: Wenn er es ihm zugeeignet hat. – 
Bava Batra 3a:14	Was ist denn dabei, daß er es ihm zugeeignet hat, dies ist ja nur eine Zueignung durch Worte!? – Wenn sie durch Zueignung auch die Richtungen festgesetzt$fn54haben. R. Aši erklärte: Wenn der eine auf seinem Teile umhergegangen ist und ihn in Besitz genommen$fn55hat, und der andere auf seinem Teile umhergegangen ist und ihn in Besitz genommen hat.
Bava Batra 3a:15	W<small>IE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small> &amp;<small>C</small>. Gevil$fn56sind unbehauene Steine; gazith sind behauene Steine, wie es heißt:$fn57<i>alles aus kostbaren Steinen, nach Maßen gehauen [gazith]</i>. Kephisin sind halbe Ziegel; lebenin sind [ganze] Ziegel. 
Bava Batra 3a:16	Rabba, der Sohn Rabas, sprach zu R. Aši: Woher, daß unter gevil unbehauene Steine zu verstehen sind, und die überragende Handbreite$fn58auf die hervorstehenden Ecken zu rechnen ist, vielleicht sind darunter halbe Quadern zu verstehen, und die überragende Handbreite entfällt auf die Zwischenfuge$fn59, 
Bava Batra 3a:17	wie wir auch erklärt haben, unter kephisin seien halbe Ziegel und unter lebenin seien [ganze] Ziegel zu verstehen, und die überragende Handbreite entfällt auf die Zwischenfuge!? 
Bava Batra 3a:18	Dieser erwiderte: Woher wissen wir, auch nach deiner Auffassung, daß unter kephisin halbe Ziegel zu verstehen sind? Du mußt also sagen, dies sei eine Überlieferung, ebenso ist es auch eine Überlieferung, daß unter gevil unbehauene Steine zu verstehen sind. 
Bava Batra 3a:19	Manche lesen: R. Aḥa, Sohn des R. Ivja, sprach zu R. Aši: Woher, daß unter kephisin halbe Ziegel zu verstehen sind, und die überragende Handbreite auf die Zwischenfuge entfällt, vielleicht sind unter kephisin unbehauene Steine zu verstehen, und die überragende Handbreite entfällt auf die hervorstehenden Ecken, wie wir auch erklärt haben, unter gevil seien unbehauene Steine und unter gazith seien behauene Steine zu verstehen, und die überragende Handbreite entfällt auf die hervorstehenden Ecken!? 
Bava Batra 3a:20	Dieser erwiderte: Woher wissen wir, auch nach deiner Auffassung, daß unter gevil unbehauene Steine zu verstehen sind? Du mußt also erklären, es sei eine Überlieferung, ebenso ist auch dies eine Überlieferung.
Bava Batra 3a:21	Abajje sagte: Hieraus ist zu entnehmen, daß die Zwischenfuge eine Handbreite hat. Dies gilt nur von Ton$fn60, wenn aber Kies dabei ist, so ist mehr erforderlich. – 
Bava Batra 3a:22	Demnach kann eine vier Ellen hohe Quader[wand] nur dann stehen, wenn sie fünf [Handbreiten] stark ist, sonst aber nicht; aber die eine Elle starke Zwischenwand$fn61war ja dreißig Ellen hoch und nur sechs Handbreiten stark, und sie stand dennoch!? – Da sie eine Handbreite stärker war, so stand sie. – 
Bava Batra 3a:23	Weshalb war im zweiten Tempel die eine Elle starke Zwischenwand nicht vorhanden? – Sie konnte nur bei dreißig Ellen stehen$fn62. – 
Bava Batra 3a:24	Woher, daß dieser höher war? – Es heißt:$fn63<i>größer wird die Herrlichkeit dieses anderen Hauses sein als die des ersteren</i>. Rabh und Šemuél, manche sagen, R. Joḥanan und R. Elea͑zar [streiten hierüber]; einer erklärt, an Umfang, und einer erklärt,
Bava Batra 3b:1	an Jahren$fn64. Und er war es an beidem. – 
Bava Batra 3b:2	Sollte man doch dreißig Ellen Bauwerk und für das übrige einen Vorhang errichtet haben!? – Auch bei dreißig Ellen konnte sie nur mittelst des Gebälkes und des Estrichs stehen, ohne Gebälk und Estrich würde sie nicht gestanden haben. – 
Bava Batra 3b:3	Sollte man doch soweit möglich ein Bauwerk und für das übrige einen Vorhang errichtet haben!? Abajje erwiderte: Es ist überliefert, daß sie$fn65entweder ganz aus einem Bauwerke oder ganz aus einem Vorhange bestehen muß; entweder ganz aus einem Bauwerke, wie im [ersten] Tempel, oder ganz aus einem Vorhange, wie in der Stiftshütte$fn66.
Bava Batra 3b:4	Sie fragten: Gilt dies$fn67von diesen samt dem Kalkanstriche oder von diesen außer dem Kalkanstriche? R. Naḥman b. Jiçḥaq erwiderte: Es ist einleuchtend, daß dies von diesen samt dem Kalkanstriche gilt, denn wenn man sagen wollte, von diesen außer dem Kalkanstriche, so sollte er doch die Stärke desselben angeben; wahrscheinlich also von diesen samt dem Kalkanstriche. – Nein, tatsächlich, kann ich dir erwidern, gilt dies von diesen außer dem Kalkanstriche, nur lehrt er [die Stärke desselben] deshalb nicht, weil sie keine Handbreite beträgt. – 
Bava Batra 3b:5	Er lehrt ja aber, daß bei Ziegeln der eine anderthalb Handbreiten und der andere anderthalb Handbreiten gebe!? – Diese sind zur Vereinigung geeignet$fn68. – 
Bava Batra 3b:6	Komm und höre: Der Balken, von dem sie sprechen$fn69, muß so breit sein, um einen Halbziegel aufnehmen zu können; der Halbziegel hat die Hälfte eines drei Handbreiten großen Ziegels$fn70!? – 
Bava Batra 3b:7	Da wird von großen gesprochen. Dies ist auch zu beweisen; er lehrt: von drei Handbreiten, demnach gibt es auch kleinere. Schließe hieraus.
Bava Batra 3b:8	R. Ḥisda sagte: Man darf kein Bethaus niederreißen, bevor man ein anderes gebaut hat. Manche sagen, wegen einer etwaigen Fahrlässigkeit$fn71, und manche sagen, wegen des Betens$fn72. – 
Bava Batra 3b:9	Welchen Unterschied gibt es zwischen ihnen? – Einen Unterschied gibt es zwischen ihnen in dem Falle, wenn noch ein anderes Bethaus vorhanden ist. Meremar und Mar Zuṭra rissen nieder und bauten ein für den Sommer bestimmtes im Winter$fn73, und ein für den Winter bestimmtes im Sommer$fn73. 
Bava Batra 3b:10	Rabina fragte R. Aši: Wie ist es, wenn [das Geld]$fn74eingefordert und niedergelegt ist? Dieser erwiderte: Es könnte der Fall eintreten, daß man es zur Auslösung von Gefangenen braucht und dafür ausgibt. – 
Bava Batra 3b:11	Wie ist es, wenn die Ziegelsteine aufgestapelt und die Sparren fertig sind? Dieser erwiderte: Es könnte der Fall eintreten, daß man [Geld] zur Auslösung von Gefangenen braucht, diese verkauft und den Erlös dafür ausgibt. – Demnach, sollte dies auch dann berücksichtigt werden, wenn man es bereits gebaut hat!? Dieser erwiderte: Niemand pflegt seine Wohnung zu verkaufen. 
Bava Batra 3b:12	Dies$fn75jedoch nur dann, wenn an diesem keine Baufälligkeit bemerkt wird, wenn aber an diesem Baufälligkeit bemerkt wird, so darf man es niederreißen und erst nachher bauen. So bemerkte einst R. Aši Baufälligkeit am Bethause von Matha Meḥasja; da riß er es nieder und brachte da sein Bett$fn76hinein, das er nicht eher entfernte, als bis die Dachrinnen fertig waren. – 
Bava Batra 3b:13	Wieso erteilte Baba b. Buṭa dem Herades den Rat, den Tempel niederzureißen$fn77, R. Ḥisda sagte ja, man dürfe kein Bethaus niederreißen, bevor man ein anderes gebaut hat!? – Wenn du willst, sage ich: er bemerkte an diesem Baufälligkeit, und wenn du willst, sage ich: anders verhält es sich bei einem Könige, der nicht zurücktritt. Šemuél sagte nämlich: sagt der König, er wolle einen Berg ausreißen, so reißt er den Berg aus und tritt nicht zurück.
Bava Batra 3b:14	Herodes war ein Sklave im Hause der Ḥasmonäer und hatte seine Augen auf eine Jungfrau$fn78gerichtet. Eines Tages hörte er jemand sagen: Jeder Sklave, der jetzt meutert, wird Glück haben. Da machte er sich auf und tötete seine ganze Herrschaft; nur diese Jungfrau ließ er zurück. Als diese sah, daß er sie heiraten wolle, stieg sie auf ein Dach, erhob ihre Stimme und sprach: Kommt jemand und sagt, er entstamme dem Hause der Ḥasmonäer, so ist er ein Sklave; von diesem war nur eine einzige Jungfrau zurückgeblieben, und diese stürzte sich von einem Dache auf die Erde. 
Bava Batra 3b:15	Hierauf konservierte er sie sieben Jahre in Honig. Manche sagen, er beschlief sie, und manche sagen, er beschlief sie nicht. Manche sagen, er beschlief sie, und er konservierte sie deshalb, um seine Leidenschaft zu befriedigen. Manche sagen, er beschlief sie nicht, und er konservierte sie deshalb, damit man sage, er habe die Tochter des Königs geheiratet. 
Bava Batra 3b:16	Alsdann sprach er: Die Rabbanan sind es, welche sagen:$fn79<i>einen von deinen Volksgenossen sollst du über dich zum Könige setzen</i>; da machte er sich auf und tötete alle Rabbanan bis auf Baba b. Buṭa, um sich von ihm Rates zu holen. 
Bava Batra 4a:1	Diesem setzte er dann einen Kranz aus Igel[haut] auf und stach ihm damit die Augen aus. Eines Tages kam er heran, setzte sich neben ihn und sprach zu ihm: Hat der Meister gesehen, was dieser böse Sklave getan hat!? Dieser erwiderte: Was kann ich gegen ihn tun!? Jener sprach: Mag der Meister ihn verfluchen. Dieser erwiderte:$fn80<i>Auch in deinen Gedanken fluche dem Könige nicht</i>. Jener entgegnete: Er ist ja kein König. Dieser erwiderte: Mag er nicht mehr als sonst ein Reicher sein, und es heißt:$fn80<i>und in deinen Schlafgemächern fluche nicht einem Reichen</i>. Mag er nicht mehr als ein Fürst sein, und es heißt:$fn81<i>einem Fürsten in deinem Volke sollst du nicht fluchen</i>. 
Bava Batra 4a:2	Jener entgegnete: Nur wenn er nach den Werken deines Volkes handelt und dieser handelt ja nicht nach den Werken deines Volkes. Dieser erwiderte: Ich fürchte mich vor ihm. Jener sprach: Es ist niemand hier, der gehen und es ihm sagen könnte; nur ich und du sind hier anwesend. Dieser erwiderte: Es heißt:$fn80<i>denn der Vogel unter dem Himmel entführt den Laut und der Geflügelte verrät das Wort</i>. 
Bava Batra 4a:3	Hierauf sprach er: Ich bin es. Hätte ich gewußt, daß die Rabbanan so vorsichtig sind, so würde ich sie nicht getötet haben. Wie kann ich es nun wieder gut machen? Dieser erwiderte: Du hast das Licht der Welt$fn82ausgelöscht, wie es heißt:$fn83<i>denn eine Leuchte ist das Gebot und das Gesetz ein Licht</i>, geh und befasse dich nun mit dem Lichte$fn84der Welt, wie es heißt:$fn85<i>und strömen</i>$fn86<i>werden zu ihm alle Völker</i>. Manche sagen, er habe ihm wie folgt erwidert: Du hast das Auge der Welt geblendet, wie es heißt: $fn87<i>wenn von den Augen</i>$fn88<i>der Gemeinde</i>, geh nun und befasse dich mit dem Auge der Welt, wie es heißt:$fn89<i>fürwahr, ich entweihe mein Heiligtum, den Gegenstand eurer stolzen Hoffahrt, die Lust eurer Augen</i>. 
Bava Batra 4a:4	Hierauf sprach jener: Ich fürchte mich vor der Regierung$fn08. Dieser erwiderte: Sende einen Boten; dieser wird ein Jahr hingehen, ein Jahr sich da aufhalten und ein Jahr zurückkehren; währenddessen hast du [den Tempel] niedergerissen und wieder aufgebaut. Da tat er dies. Hierauf erwiderte man ihm: Hast du ihn noch nicht niedergerissen, so reiße ihn nicht nieder; hast du ihn bereits niedergerissen, so baue ihn nicht wieder auf; hast du ihn bereits niedergerissen und wieder aufgebaut, so sind es schlechte Sklaven, die erst dann um Rat fragen, nachdem sie etwas bereits getan haben. Wenn du auch deine Waffen$fn09hast, so liegt deine Matrikel hier: Herodes ist weder Rakha$fn90noch Sohn eines Rakha; er hat sich selber zum Freien gemacht$fn91. – 
Bava Batra 4a:5	Was heißt Rakha? – Ein König, wie es heißt:$fn92<i>ich bin heute jung [rakh], obwohl zum Könige gesalbt</i>. Wenn du willst, entnehme ich dies aus folgendem:$fn93<i>und sie riefen vor ihm: abrekh</i>. 
Bava Batra 4a:6	Man sagt, wer den Bau des Herodes nicht gesehen hat, habe keinen schönen Bau gesehen. – Woraus baute er ihn? Rabba erwiderte: Aus Alabaster- und Marmorstein. Manche sagen, aus Stibium-, Alabaster- und Marmorstein; eine Reihe hervorstehend und eine Reihe einwärts, damit der Kalk halte. Er wollte ihn auch mit Gold verkleiden, da sprachen die Gelehrten zu ihm: Laß dies, so ist es schöner, denn es sieht wie die Wellen des Meeres aus.
Bava Batra 4a:7	Wieso tat dies$fn94Baba b. Buṭa, R. Jehuda sagte ja im Namen Rabhs, nach anderen, des R. Jehošua͑ b. Levi, Daniél sei nur deshalb bestraft worden, weil er Nebukhadneçar einen Rat erteilte!? Es heißt nämlich:$fn95<i>darum, o König, laß dir meinen Rat gefallen und mache deine Sünden gut durch Frömmigkeit und deine Missetaten durch Barmherzigkeit gegen die Armen; vielleicht wird dein Frieden von Dauer sein &amp;c</i>. Darauf heißt es: $fn96<i>all dies erfüllte sich an dem Könige Nebukhadneçar</i>. Ferner: <i>nach Verlauf von zwölf Monaten &amp;c</i>. – 
Bava Batra 4a:8	Wenn du willst, sage ich, anders verhalte es sich bei einem Sklaven$fn97, der den Geboten unterworfen ist, und wenn du willst, sage ich, anders verhielt es sich beim Tempel, der, wenn nicht der König, nicht renoviert worden wäre. – 
Bava Batra 4a:9	Woher, daß Daniél bestraft worden ist: wollte man sagen, weil es heißt:$fn98<i>da rief Ester den Hathakh</i>, und Rabh erklärte, Hathakh sei Daniél, so stimmt dies allerdings nach demjenigen, welcher erklärt: weil man ihn seiner Größe$fn99entriß, wie ist dies aber nach demjenigen zu erklären, welcher erklärt: weil alle Angelegenheiten der Regierung durch ihn erledigt$fn99wurden!? – Man warf ihn in die Löwengrube.
Bava Batra 4a:10	A<small>LLES NACH DEM</small> L<small>ANDESBRAUCHE</small>. Was schließt das ‘alles’ ein? – Dies schließt ein den Ortsbrauch, [die Wand] aus Dattel- oder Lorbeerzweigen zu errichten.
Bava Batra 4a:11	D<small>AHER GEHÖREN</small>, <small>WENN DIE</small> W<small>AND EINSTÜRZT</small>, <small>DER</small> P<small>LATZ UND DIE</small> S<small>TEINE BEIDEN</small>. Selbstverständlich!? – In dem Falle, wenn sie in das Gebiet des einen von ihnen gefallen ist, oder wenn einer sie in sein Gebiet geschafft hat; man könnte glauben, der andere sei dann Kläger und habe den Beweis zu erbringen, so lehrt er uns.
Bava Batra 4a:12	E<small>BENSO AUCH BEI EINEM</small> G<small>ARTEN</small>: <small>WO ES ÜBLICH IST</small>, <small>EINEN</small> Z<small>AUN ZU ERRICHTEN</small>, <small>VERPFLICHTE MAN IHN DAZU</small>. Dies widerspricht sich ja selbst: zuerst heißt es, ebenso verhalte es sich bei einem Garten, wo es üblich ist, einen Zaun zu errichten, verpflichte man ihn dazu, demnach verpflichte man ihn nicht dazu, wenn es keinen [festen Brauch] gibt, 
Bava Batra 4a:13	dagegen heißt es im Schlußsatze, daß man bei einer Ebene, wo es üblich ist, keinen Zaun zu errichten, ihn dazu nicht verpflichte, wonach man ihn dazu verpflichte, wenn es keinen [festen Brauch] gibt; wenn man ihn, falls es keinen [festen Brauch] gibt, sogar bei einem Garten nicht dazu verpflichtet, um wieviel weniger bei einer Ebene$fn100!? 
Bava Batra 4a:14	Abajje erwiderte: Er meint es wie folgt: ebenso verhält es sich bei einem Garten, wo es keinen [festen Brauch] gibt; und wo es bei einer Ebene üblich ist, einen Zaun zu errichten, verpflichte$fn101man ihn dazu. Raba sprach zu ihm: Welchen Sinn hat demnach das ‘aber’!? Vielmehr, erklärte Raba, meint er es wie folgt: ebenso gilt bei einem Garten ein Ort ohne [festen Brauch] als Ort mit dem Brauche, einen Zaun zu errichten, und man verpflichte ihn dazu; bei einer Ebene aber gilt ein Ort ohne [festen Brauch] als Ort, wo dies nicht üblich ist, und man verpflichte ihn dazu nicht.
Bava Batra 4a:15	W<small>ENN ABER EINER ES WILL</small>, <small>SO RÜCKE ER EIN</small>, <small>BAUE</small> [<small>DIE</small> W<small>AND</small>] <small>AUF SEINEM</small> [G<small>EBIETE</small>] <small>UND MACHE VON AUSSEN EIN</small> K<small>ENNZEICHEN</small>. Was ist dies für ein Kennzeichen? R. Hona erwiderte: Er biege die Enden$fn102nach außen. – Soll er sie doch nach innen biegen!? – Der andere könnte ebenfalls solche von außen machen und sagen: sie gehört mir und ihm. – Demnach kann ja der andere auch jetzt [die Enden] abschneiden und sagen: sie gehört mir$fn103und ihm!? – Das Abgeschnittene ist zu merken. 
Bava Batra 4a:16	Manche lesen: R. Hona erwiderte: Die Enden werden nach innen gebogen. – Soll er sie doch nach außen biegen!? – Der andere könnte sie abschneiden und sagen: sie gehört mir und ihm. – Demnach kann ja der andere auch jetzt solche anbringen und sagen: sie gehört mir und ihm!? – Das Angeheftete ist zu merken. – Es heißt ja aber: nach außen!? – Dies ist ein Einwand. 
Bava Batra 4a:17	R. Joḥanan erklärte: 
