Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 3a:10	Vielleicht am zweiten Wochentage!? – Erstens wird der (zweite) Wochentag nie in der Schrift genannt, und ferner vergleiche man das andere <i>zweiten</i> mit dem ersten <i>zweiten</i>: wie das erste <i>zweiten</i> sich auf den Monat bezieht, ebenso das andere <i>zweiten</i> auf den Monat.
Rosh Hashanah 3a:11	Übereinstimmend mit R. Joḥanan wird gelehrt: Woher, daß man das Regierungsjahr mit Nisan zu zählen beginne? Es heißt: <i>es geschah im vierhundertachtzigsten Jahre nach dem Auszuge der Kinder Jisraél aus dem Lande Miçrajim &amp;c</i>. Und es heißt: <i>und Ahron, der Priester, stieg nach dem Befehle des Herrn hinauf auf den Berg Hor &amp;c</i>. Und es heißt: <i>und es geschah im vierzigsten Jahre, im elften Monate</i>. 
Rosh Hashanah 3a:12	Und es heißt: <i>nachdem er Siḥon geschlagen hatte &amp;c</i>. Und es heißt: <i>und der Kanaa</i>͑<i>nite vernahm &amp;c</i>. Und es heißt: <i>und die ganze Gemeinde sah, das Ahron verschieden war &amp;c</i>. 
Rosh Hashanah 3a:13	Und es heißt: <i>und es geschah im ersten Monate des zweiten Jahres &amp;c</i>. Und es heißt: <i>und es geschah im zweiten Jahre, im zweiten Monate &amp;c</i>. Und es heißt: <i>im dritten Monate nach dem Auszuge der Kinder Jisraél &amp;c</i>. Und es heißt: <i>und er begann zu bauen &amp;c</i>.
Rosh Hashanah 3a:14	R. Ḥisda sagte: Dies lehrten sie nur von jisraélitischen Königen, bei Königen der weltlichen Völker aber beginne man mit dem Tišri zu zählen, denn es heißt:$fn27<i>Worte Neḥemjas, des Sohnes Hakaljas: Im Monate Kislev des zwanzigsten Jahres &amp;c.</i>, und ferner heißt es :$fn28<i>und es geschah im Monate Nisan des zwanzigsten Jahres des Königs Artaḥšasta &amp;c</i>.
Rosh Hashanah 3a:15	Wenn er nun vom Kislev spricht und es ‘das zwanzigste Jahr’ nennt und vom Nisan spricht und es ebenfalls ‘das zwanzigste Jahr’ nennt, so ist ja zu entnehmen, daß der Jahresanfang nicht mit dem Nisan beginnt. – 
Rosh Hashanah 3a:16	Allerdings zählt die eine [Schriftstelle] nach Artaḥšasta, woher aber, daß die andere nach Artaḥšasta zählt,
Rosh Hashanah 3b:1	vielleicht nach einer anderen Ära!? R. Papa erwiderte: [Die Worte:] <i>im zwanzigsten Jahre</i> dienen als Wortanalogie: wie dort nach Artaḥšasta, ebenso da nach Artaḥšasta.
Rosh Hashanah 3b:2	Woher aber, daß das Ereignis im Kislev zuerst geschah, vielleicht geschah das Ereignis im Nisan zuerst!?
Rosh Hashanah 3b:3	Dies ist nicht anzunehmen, denn es wird gelehrt: Die Worte, die Ḥanani zu Neḥemja im Kislev sprach, sagte Neḥemja dem Könige im Nisan. 
Rosh Hashanah 3b:4	Ḥanina sprach zu Neḥemja im Kislev, denn es heißt: <i>Worte Neḥemjas, des Sohnes Ḥakaljas: Im Monat Kislev des zwanzigsten Jahres, als ich in der Burg Šušan war, kam Ḥanani, einer meiner Brüder, mit einigen Männern, aus Jehuda. Als ich sie über die Juden, die Geretteten, die aus der Gefangenschaft übrig geblieben waren, und über Jerušalem befragte, da antworteten sie mir: Die Übriggebliebenen, die aus der Gefangenschaft dort in der Provinz übrig geblieben sind, befinden sich in großem Elend und in Schmach; die Mauer Jerušalems ist auseinandergerissen und ihre Tore sind in Feuer verbrannt. 
Rosh Hashanah 3b:5	Neḥemja</i> berichtete es dem Könige im Nisan, denn es heißt: <i>Und es geschah im Monate Nisan des zwanzigsten Jahres des Königs Artaḥšasta, als Wein vor ihm stand, da nahm ich den Wein und reichte ihn dem Könige, ohne daß ich ihn merken ließ, wie schlecht mir war. Der König aber sprach zu mir: Warum siehst du so schlecht aus, während du doch nicht krank bist, das kann nur ein schlechtes Gewissen sein! Da fürchtete ich mich sehr. Und ich sprach zum Könige: Der König möge immerdar leben! Wieso sollte ich nicht schlecht aussehen, wenn die Stadt, die Begräbnisstätte meiner Väter, wüste liegt und ihre Tore vom Feuer verzehrt sind!? 
Rosh Hashanah 3b:6	Da sprach der König zu mir: Um was willst du denn bitten? Da betete ich zum Gotte des Himmels; sodann sprach ich zum Könige: Wenn es dem Könige recht ist, und wenn dir dein Knecht geeignet erscheint, so entsende mich nach Jehuda, nach der Stadt, da die Gräber meiner Väter sind, daß ich sie wieder aufbaue! Und der König sprach zu mir, während seine Kebse an seiner Seite saß: Wie lange wird deine Reise dauern, und wann wirst du zurückkehren? Somit war es dem Könige recht, mich zu entsenden, und ich gab ihm eine Frist an</i>. 
Rosh Hashanah 3b:7	R. Joseph wandte ein:$fn29<i>Am vierundzwanzigsten Tage des sechsten Monats, im zweiten Jahre des Königs Darjaveš</i>, und ferner heißt es:$fn30<i>im siebenten [Monate], im zweiten Jahre</i>$fn31, <i>am einundzwanzigsten des Monats</i>; wieso heißt es demnach [nur]: im siebenten [Monate], es sollte ja heißen: im dritten Jahre!? 
Rosh Hashanah 3b:8	R. Abahu erwiderte: Koreš war ein rechtschaffener König, daher wurde bei ihm wie bei den jisraélitischen Königen gezählt.
Rosh Hashanah 3b:9	R. Joseph wandte ein : Erstens widersprechen demnach die [folgenden] Schriftverse einander, denn es heißt:$fn32<i>es wurde aber dieser Tempel vollendet bis zum dritten Tage des Monats Adar, das ist das sechste Regierungsjahr des Königs Darjaveš</i>, und es wird gelehrt, im darauffolgenden Jahre um diese Zeit sei E͑zra mit den Exulanten aus Babylonien gezogen, während es aber heißt:$fn33<i>er gelangte nach Jerušalem im fünften Monate, das ist das siebente Jahr des Königs</i>, wo es doch heißen müßte: das achte Jahr!? 
Rosh Hashanah 3b:10	Und ferner sind sie gar nicht identisch, denn da$fn34ist es Koreš, hier aber Darjaveš!? – Es wird gelehrt: Koreš, Darjaveš und Artaḥšasta sind identisch. Koreš [hieß er], weil er ein rechtschaffener [košer] König war, Artaḥšasta hieß er nach dem Namen seines Reiches, und sein wirklicher Namen war Darjaveš. – 
Rosh Hashanah 3b:11	Immerhin besteht ja ein Widerspruch!? R. Jiçḥaq erwiderte: Das ist kein Widerspruch: das eine, bevor er schlecht wurde, das andere, nachdem er schlecht wurde. 
Rosh Hashanah 3b:12	R. Kahana wandte ein: War er denn$fn35schlecht geworden, es heißt ja: 
Rosh Hashanah 4a:1	$fn36<i>was man nötig hat, sowohl junge Stiere als auch Widder und Lämmer zu Brandopfern für den Gott des Himmels, Weizen, Salz, Wein und Öl, soll ihnen nach der Angabe der Priester zu Jerušalem Tag für Tag ungeschmälert gegeben werden</i>!? R. Jiçḥaq erwiderte: Meister, von deiner Last$fn37! [Es heißt:]$fn38<i>damit sie dem Gotte des Himmels Opfer lieblichen Geruches darbringen und für das Leben des Königs und seiner Söhne beten</i>$fn39. – 
Rosh Hashanah 4a:2	Ist denn, wer so verfährt, nicht tugendhaft, es wird ja gelehrt, daß, wenn jemand sagt, dieser Sala͑ sei Almosenspende, damit seine Kinder leben bleiben oder damit er der zukünftigen Welt teilhaftig werde, er ein wahrhaft Frommer sei!? – 
Rosh Hashanah 4a:3	Das ist kein Einwand; das eine gilt von Jisraéliten und das andere von den weltlichen Völkern. 
Rosh Hashanah 4a:4	Wenn du aber willst, sage ich: aus folgendem ist zu entnehmen, daß er schlecht wurde. Es heißt:$fn40<i>der Schichten von Quadersteinen sollen drei sein und eine Schicht aus Holz; die Kosten sollen aus dem königlichen Hause bestritten werden</i>. Weshalb errichtete er [den Tempel] so? Er dachte : sollten die Juden mir abtrünnig werden, so verbrenne ich ihn im Feuer. – 
Rosh Hashanah 4a:5	Hat ihn denn Šelomo nicht ebenso errichtet, es heißt ja:$fn41<i>drei Schichten von Quadersteinen und eine aus Zedernholz</i> !? – Šelomo legte sie oben, er aber legte sie unten, Šelomo versenkte sie in die Mauer, er aber versenkte sie nicht in die Mauer, Šelomo verkleidete sie mit Kalk, aber er verkleidete sie nicht mit Kalk. 
Rosh Hashanah 4a:6	R. Joseph, nach anderen R. Jiçḥaq, sagte: Aus folgendem, ist zu entnehmen, daß er schlecht wurde :$fn42<i>und der König sprach zu mir, während die Kebse an seiner Seite saß</i>, und Rabbab. Lema sagte im Namen Rabhs, unter ‘Kebse’ sei eine Hündin zu verstehen. – 
Rosh Hashanah 4a:7	Es heißt ja aber:$fn43<i>du hast dich über den Herrn des Himmels erhoben; die Gefäße seines Tempels hat man für dich bringen müssen, damit du mit deinen Kebsen und Konkubinen Wein daraus tränkest</i>; wie kann denn unter ‘Kebse’ eine Hündin zu verstehen sein, diese trinkt ja keinen Wein!? – Das ist kein Einwand; man richtet sie ab, und sie trinkt. – 
Rosh Hashanah 4a:8	Es heißt ja aber:$fn44<i>der Könige Töchter zu deinem Schmucke, die Kebse steht zu deiner Rechten in Ophirgold</i>; was verkündet demnach der Prophet Jisraél, wenn unter ‘Kebse’ eine Hündin zu verstehen ist!? – Er meint es wie folgt: als Belohnung dafür, daß die Tora bei Jisraél so beliebt ist, wie die Kebse bei den weltlichen Völkern, ist ihnen das Ophirgold beschieden. 
Rosh Hashanah 4a:9	Wenn du aber willst, sage ich: tatsächlich ist [sonst] unter ‘Kebse’ die Königin zu verstehen, nur hatte Rabba b.Lema eine Überlieferung, und nur deshalb nennt er sie ‘Kebse’, weil sie ihm wie eine Kebse lieb war. Oder auch, weil er sie auf dem Platze der Kebse sitzen ließ. 
Rosh Hashanah 4a:10	Wenn du aber willst, sage ich: aus folgendem ist zu entnehmen, daß er schlecht wurde :$fn45<i>bis zu hundert Talenten Silber, bis zu hundert Kor Weizen, bis zu hundert Bath Wein, und bis zu hundert Bath Öl und Salz ohne Einschränkung &amp;c</i>. ; bis dahin ohne Maß, dann aber mit festgesetztem Maße. – 
Rosh Hashanah 4a:11	Vielleicht waren ihm bis dahin die Maße nicht bekannt!? – Vielmehr, am richtigsten ist es, wie wir vorher erklärt haben.
Rosh Hashanah 4a:12	U<small>ND DER</small> F<small>ESTE</small>. Beginnen die Feste denn am ersten Nisan, sie beginnen ja am fünfzehnten Nisan!? R. Ḥisda erwiderte: Das in diesen Monat fallende Fest ist (Jahres) anfang der Feste. 
Rosh Hashanah 4a:13	Dies ist von Bedeutung hinsichtlich des Verbotes des Versäumens, nach R. Šimo͑n. Es wird nämlich gelehrt: Sowohl beim Gelobten als auch bei der Weihung für das Heiligtum als auch beim Schätzgelübde übertritt man, sobald drei Feste verstrichen$fn46sind, das Verbot des Versäumens. 
Rosh Hashanah 4a:14	R. Šimo͑n sagt, drei Feste der Reihe nach, mit dem Pesaḥfeste beginnend. Desgleichen sagte R. Šimo͑n b. Joḥaj: Zuweilen sind es drei Feste, zuweilen vier und zuweilen fünf. Und zwar: hat man vor dem Pesaḥfeste gelobt, so sind es drei, wenn vor dem Wochenfeste, so sind es fünf, wenn vor dem Hüttenfeste, so sind es vier.
Rosh Hashanah 4a:15	Die Rabbanan lehrten: Wer Kaufwert$fn47, Schätzgelübde, Gebanntes, Geweihtes, Sündopfer, Schuldopfer, Brandopfer, Heilsopfer, Almosen, Zehnten, Erstgeburt, [Vieh]zehnten, Pesaḥopfer, 
Rosh Hashanah 4b:1	Nachlese, Vergessenes, oder Eckenlaß schuldet, begeht das Verbot des Versäumens, sobald drei Feste verstrichen sind. R. Šimo͑n sagt, drei Feste der Reihe nach, mit dem Pesaḥfeste beginnend.
Rosh Hashanah 4b:2	R. Meír sagt, sobald nur ein Fest verstrichen ist, habe man das Verbot des Versäumens begangen. R. Elie͑zer b.Ja͑qob sagt, sobald zwei Feste verstrichen sind, habe man das Verbot des Versäumens begangen. R. Elea͑zar b. R. Šimo͑n sagt, sobald das Hüttenfest verstrichen ist, habe man das Verbot des Versäumens begangen. – 
Rosh Hashanah 4b:3	Was ist der Grund des ersten Tanna? – Merke, die Schrift spricht ja von diesen$fn48, wozu wiederholt sie wiederum :$fn49<i>am Pesaḥfeste, am Wochenfeste und am Hüttenfeste</i>? Doch wohl wegen des Verbotes des Versäumens. 
Rosh Hashanah 4b:4	R. Šimo͑n sagte: Die Schrift braucht ja nicht das Hüttenfest zu nennen, wo sie ja von diesem spricht, und wenn sie es dennoch nennt, so besagt dies, daß dieses das letzte ist. –
Rosh Hashanah 4b:5	Was ist der Grund R. Meírs? – Es heißt:$fn50<i>du sollst dahin kommen; ihr sollt dahin bringen</i>$fn51. – 
Rosh Hashanah 4b:6	Und die Rabbanan? – Dies, daß es Gebot ist$fn52. – 
Rosh Hashanah 4b:7	Und R. Meír!? – Da die Tora es zu bringen sagt, und man es nicht gebracht hat, so hat man ja das Verbot des Versäumens übertreten. – 
Rosh Hashanah 4b:8	Was ist der Grund des R. Elie͑zer b.Ja͑qob? – Es heißt:$fn53<i>dies sollt ihr dem Herrn an euren Festzeiten herrichten</i>; das mindeste von ‘Festzeiten’ ist zwei. – 
Rosh Hashanah 4b:9	Und die Rabbanan!? – Dies deutet auf die Lehre R. Jonas, denn R. Jonas sagte: Alle Feste gleichen einander, indem sie alle die Verunreinigung des Tempels und seiner Heiligtümer sühnen. –
Rosh Hashanah 4b:10	Was ist der Grund des R. Elea͑zar b.R. Šimo͑n? – Es wird gelehrt: R. Elea͑zar b.R. Šimo͑n sagte: Die Schrift braucht ja nicht das Hüttenfest zu nennen, wo sie ja von diesem spricht, und wenn sie es dennoch nennt, so besagt dies, daß dieses [das Verbot] veranlaßt. – 
Rosh Hashanah 4b:11	Was folgern R. Meír und R. Elie͑zer b. Ja͑qob aus [dem Verse]: <i>am Pesaḥfeste, am Wochenfeste und am Hütttenfeste</i>? – Diesen verwenden sie für eine Lehre des R. Elea͑zar im Namen R. Ošajas, denn R. Elea͑zar sagte im Namen R. Ošajas: Woher, daß [das Festopfer] des Wochenfestes während sieben Tagen nachgeholt werden kann? Es heißt: <i>am Pesaḥfeste, am Wochenfeste und am Hüttenfeste</i>, das Wochenfest gleicht also dem Pesaḥfeste: wie es am Pesaḥfeste während aller sieben Tage nachgeholt werden kann, ebenso kann es am Wochenfeste sieben Tage nachgeholt werden. – 
Rosh Hashanah 4b:12	Sollte er es mit dem Hüttenfeste vergleichen, wie es an diesem acht sind, ebenso an jenem acht!? – Der achte Tag ist ein Fest für sich. – 
Rosh Hashanah 4b:13	Allerdings ist der achte Tag ein Fest für sich hinsichtlich des Loses$fn54, des Zeitsegens, des Festes, des Opfers, des Tempelgesanges und des Segens, hinsichtlich der Nachholung aber stimmen ja alle überein, daß er eine Fortsetzung des ersten [Tages] sei!? 
Rosh Hashanah 4b:14	Wir haben nämlich gelernt: Wer das Festopfer am ersten Tage des Hüttenfestes nicht dargebracht hat, bringe es während des ganzen Festes dar, auch am letzten Festtage. – 
Rosh Hashanah 4b:15	Ergreifst du viel, so hast du nichts ergriffen, ergreifst du wenig, so hast du es ergriffen. – 
Rosh Hashanah 4b:16	Wozu wiederholt der Allbarmherzige das Hüttenfest? – Um es mit dem Pesaḥfeste zu vergleichen: 
Rosh Hashanah 5a:1	wie am Pesaḥfeste das Übernachten [in Jerušalem] erforderlich ist, ebenso ist am Hüttenfeste das Übernachten erforderlich. –
Rosh Hashanah 5a:2	Woher wissen wir dies von diesem selbst? – Es heißt :$fn55<i>und am anderen Morgen sollst du dich auf den Weg machen und heimkehren</i>. – 
Rosh Hashanah 5a:3	Woher wissen der erste Tanna und R. Šimo͑n (b.Elea͑zar), daß am Wochenfeste [das Festopfer] nachgeholt werden kann? –
Rosh Hashanah 5a:4	Sie entnehmen dies aus der Lehre des Rabba b.Šemuél, denn Rabba b.Šemuél lehrte: Die Tora sagt, man zähle die Tage und weihe den Neumond, man zähle [die Tage] und weihe das Wochenfest; wie der Neumondstag zu seinen gezählten$fn56gehört, ebenso gehört das Wochenfest zu seinen gezählten$fn57. –
Rosh Hashanah 5a:5	Vielleicht am Wochenfeste nur einen Tag$fn58!? Raba erwiderte: Werden etwa beim Wochenfeste nur die Tage und nicht auch die Wochen gezählt!? Der Meister sagte ja, es sei Gebot, sowohl die Tage als auch die Wochen zu zählen. Außerdem heißt es ja auch ‘Wochenfest’. 
Rosh Hashanah 5a:6	Ist denn das Pesaḥopfer an den Festen darzubringen, dafür ist ja ein bestimmter Tag$fn59festgesetzt; hat man es dann dargebracht, ist es recht, hat man es nicht dargebracht, so ist es verdrängt worden!? 
Rosh Hashanah 5a:7	R. Ḥisda erwiderte: Vom Pesaḥopfer lehrt er es auch unnötig. 
Rosh Hashanah 5a:8	R. Šešeth erwiderte: Unter ‘Pesaḥopfer’ ist das Heilsopfer$fn60desselben zu verstehen. – 
Rosh Hashanah 5a:9	Dieses ist ja ein Heilsopfer$fn61!? – Er lehrt von Heilsopfern, die vom Pesaḥopfer herrühren, und von Heilsopfern, die ursprünglich solche waren. 
Rosh Hashanah 5b:1	Man könnte nämlich glauben, jene gleichen dem Pesaḥopfer, da sie vom Pesaḥopfer herrühren, so lehrt er uns.
Rosh Hashanah 5b:2	Woher dies$fn62? – Die Rabbanan lehrten:$fn63<i>Wenn du ein Gelübde tust</i>; ich weiß dies vom Gelobten, woher dies vom Gespendeten? 
Rosh Hashanah 5b:3	Hier heißt es <i>Gelübde</i> und dort$fn64heißt es <i>ein Gelübde oder eine freiwillige Gabe</i>; wie dort das Gespendete dazu gehört, ebenso gehört auch hier das Gespendete dazu. 
Rosh Hashanah 5b:4	<i>Dem Herrn, deinem Gott</i>, das sind Kaufwert, Schätzgelübde, Gebanntes und Geweihtes$fn63. <i>Versäume nicht, es einzulösen</i>, es selbst, nicht aber seinen Ersatz;$fn63<i>denn fordern wir es</i>, das sind Sündopfer, Schuldopfer, Brandopfer und Heilsopfer;
Rosh Hashanah 5b:5	$fn63<i>der Herr, dein Gott</i>, das sind Almosen, Zehnt und Erstgeburt;$fn63<i>von dir</i>, das sind Nachlese, Vergessenes und Eckenlaß;$fn63<i>und es könnte an dir eine Sünde haften</i>, nicht aber eine Sünde an deinem Opfer$fn65.
Rosh Hashanah 5b:6	Der Meister sagte: <i>Versäume nicht, es einzulösen</i>, es selbst, nicht aber seinen Ersatz. Welchen Ersatz: wenn den Ersatz des Brandopfers$fn66und des Heilsopfers, so werden sie ja dargebracht, 
Rosh Hashanah 5b:7	und wenn den Ersatz des Sündopfers, so ist es ja$fn67verenden zu lassen!? – Vielmehr, unter ‘Ersatz’ ist der Ersatz des Dankopfers zu verstehen. 
Rosh Hashanah 5b:8	R. Ḥija lehrte nämlich: Wenn das originäre Dankopfer mit Eingetauschtem desselben verwechselt worden und eines von beiden verendet ist, so gibt es für das andere kein Mittel mehr$fn68;
