Index Title,Yalkut Shimoni on Nach
Yalkut Shimoni on Nach 979:7,"לך אכול בשמחה לחמך, רבי עזריה בשם רבי יהודה בר סימון פתר קריא באברהם, כשחזר מן העקדה אמר שמא ח""ו נמצא בו פסול ולא נתקבל קרבני, יצאה בת קול ואמרה לו לך אכול בשמחה לחמך, ובשעה שהתינוקות מתפטרים מבית רבן בת קול אומרת להם לך אכול בשמחה לחמך, ובשעה שהצדיקים נפטרים המלאכים מקדימין ואומרין להם לך אכול בשמחה לחמך:"
Yalkut Shimoni on Nach 979:8,"בכל עת יהיו בגדיך לבנים. תנן התם רבי אליעזר אומר שוב יום אחד לפני מיתתך, שאלו תלמידיו את רבי אליעזר וכי אדם יודע אי זה יום ימות, אמר להם וכל שכן ישוב היום שמא ימות למחר, ונמצא כל ימיו בתשובה, ואף שלמה אמר בחכמתו בכל עת יהיו בגדיך לבנים, אריב""ז למלך שזמן לעבדיו ולא קבע להם זמן, פקחים שבהם קשטו את עצמם וישבו על פתח בית המלך, אמרו כלום חסר בבית המלך, טפשים שבהם הלכו למלאכתם אמרו כלום יש סעודה שאין בה טורח, פתאום בקש המלך את עבדיו, פקחים שבהם נכנסו לפניו כשהם מקושטים, טפשים נכנסו מלוכלכים, שמח המלך לקראת הפקחים וכעס לקראת הטפשים, אמר הללו שקשטו עצמן לסעודה ישבו ויאכלו והללו שלא קשטו את עצמן יעמדו ויראו. זיוותאי חתנו של רבי אמיר אומר אף הם נראים כשמשים, אלא אלו ואלו יושבים הללו אוכלים והללו רעבים, הללו שותים והללו צמאים, שנאמר לכן כה אמר ה' הנה עבדי יאכלו ואתם תרעבו."
Yalkut Shimoni on Nach 979:9,"דבר אחר בכל עת יהיו בגדיך לבנים זה ציצית, ושמן על ראשך אל יחסר אלו תפילין:"
Yalkut Shimoni on Nach 979:10,"ראה חיים עם אשה, בני רבי בשם עדה קדושה אמרו קנה לך דברי אומנות עם דברי תורה, מ""ט ראה חיים זו תורה, עם אשה זו אומנות, ולמה קורין אותה עדה קדושה שהיו משלשין את היום, שליש לתורה, שליש לתפלה, שליש למלאכה, וי""א על שהיו יגעים בתורה בימות החורף ובמלאכה בימות הקיץ, רבי יצחק בן אלעזר קרי ליה לרבי שמלאי ורבי ברקאי עדה קדושה, ולמה קוראים נחום איש קדש קדשים שלא הביט בצורת מטבע כל ימיו, ולמה קראו רבי רבינו הקדוש ששלא הביט במילתו מימיו, אנטונינוס אמר ליה לרבינו כד גזר אסתכל בהדא גזרתי. אמר ליה בשלי לא הסתכלתי מימי בדידך אסתכל:"
Yalkut Shimoni on Nach 979:11,"כל אשר תמצא ידך לעשות בכחך עשה, עשה תשובה עד שאתה בכחך, עד שהנר דולק תן לו שמן עד שלא יכבה הנר, כבה הנר אין השמן מועיל כלום:"
Yalkut Shimoni on Nach 979:12,"כי אין מעשה וחשבון וגו' בשאול אשר אתה הולך שמה. [ר' בון מסרס הדין קרייא, אם יודע אתה שאין מעשה וחשבון בשאול, כל אשר תמצא ידך לעשות בכחך עשה]:"
Yalkut Shimoni on Nach 979:13,"שבתי וראה תחת השמש, מדבר ביעקב, לא לקלים המרוץ, אתמול וישא יעקב רגליו, והיום ויאסוף רגליו, ולא לגבורים המלחמה אתמול ויגש יעקב ויגל את האבן כאדם שמעביר פקק מן הצלוחית, והיום וישאו בני ישראל את יעקב אביהם אפילו כלי קטן אינו יכול לסבול. ולא לחכמים לחם, אתמול ויזבח יעקב זבח בהר, והיום שובו שברו לנו מעט אכל. לא לנבונים עושר, אתמול ויפרץ האיש מאד מאד מלמד שנפרצה לו פרצה מעין דוגמא של העולם הבא, והיום אמר לו יוסף וכלכלתי אותך שם. לא ליודעים חן, אתמול ידעתי בני ידעתי יודע אני מעשה ראובן בבלהה ומעשה יהודה בתמר, והיום מפייס ליוסף אם נא מצאתי חן בעיניך. (בירמיה רמז רפ""ד)."
Yalkut Shimoni on Nach 979:14,"דבר אחר לא לקלים המרוץ זה עשהאל שנאמר ועשהאל קל ברגליו, כיון דמטא שעתא ויכהו אבנר אל החמש. ולא לגבורים המלחמה זה אבנר, דאמר רבי איסא נוח לו לאדם לזוז כותל של שש אמות מלזוז רגל אחד של אבנר, וכיון דמטא שעתא הכמות נבל ימות אבנר, לא לחכמים לחם זה שלמה דכתיב ויהי לחם שלמה ליום וגו', וכיון דמטא שעתא חנוני חנוני אתם רעי. לא ליודעים חן זה יהושע, דאמר רבי איסא ששה דברים דבר יהושע בפני רבו ולא נגמל חסד בעיניו, ואלו הם אחד במנוי זקנים וירץ הנער ויגד למשה ויאמר אדוני משה כלאם, אמר לו המקנא אתה לי הלואי אתה כיוצא בי הלואי כל ישראל כיוצא בך שנאמר ומי יתן כל עם ה' נביאים, ואחד במעשה העגל קול מלחמה במחנה, אמר ליה משה ליהושע אדם שהוא עתיד לנהוג שררה על ששים רבוא אינו יודע להבחין בין קול לקול."
Yalkut Shimoni on Nach 979:15,"דבר אחר מדבר במשה לא לקלים המרוץ אתמול היה עולה לרקיע כנשר ועכשיו הירדן חבל של אמה איננו עובר, ולא לגבורים המלחמה אתמול מלכי צבאות ידודון ידודון אפילו מלכיהון דמלאכיא אפילו מיכאל אפילו גבריאל מרתתין לפניו, ועכשיו כי יגורתי מפני האף והחמה. לא לחכמים לחם אתמול היה עשוי קומסקלטור של פלטין של פרעה והיום קראו לו ויאכל לחם, לא לנבונים עושר אתמול היה מסיח כעשיר שוב מחרון אפך, סלח נא, למה ה' יחרה אפך, ועשיו מסיח כרש ואתחנן מתנת חנם. גם לא ליודעים חן, אתמול היה יודע היאך לרצות בוראו קומה ה', שובה ה', ועכשיו משהתחנן לו נאמר לו הן קרבו ימיך:"
Yalkut Shimoni on Nach 979:16,"גם לא ידע האדם את עתו כדגים (הנאספים) [שנאחזים] במצודה רעה, מאי מצודה רעה, אמר ריש לקיש זה חכה:"
Yalkut Shimoni on Nach 979:17,"עיר קטנה ואנשים בה מעט, אמר רמי בר אבא עיר קטנה זה הגוף, ואנשים בה מעט אלו האברים, ובא אליה מלך גדול זה יצר הרע, ומצא בה (ילד) [איש] מסכן חכם זה יצר הטוב, ובנה עליה מצודים גדולים אלו עונות, ומלט הוא את העיר בחכמתו אלו תורה ומעשים טובים. ואדם לא זכר את האיש המסכן לית דמדכר ליה ליצר הטוב."
Yalkut Shimoni on Nach 979:18,"דבר אחר עיר קטנה זה העולם, ואנשים בה מעט זה דור המבול, ובא אליה מלך גדול זה הקב""ה. ובנה עליה מצודים גדולים עקמן וכמנן, ומצא בה איש מסכן חכם זה נח, ומלט הוא את העיר בחכמתו שנאמר ויקח מכל הבהמה הטהורה. ואדם לא זכר את האיש המסכן ההוא, אמר הקב""ה לית אתון מנהרין ליה אנא מנהר ליה שנאמר ויזכור אלקים את נח."
Yalkut Shimoni on Nach 979:19,"דבר אחר עיר קטנה זה מצרים. ואנשים בה מעט אלו אחי יוסף, ובא אליה מלך גדול זה יוסף, ובנה עליה מצודים גדולים, אמר להם מרגלים אתם, ומצא בה איש מסכן חכם זה יהודה, ומלט הוא את העיר בחכמתו ויגש אליו יהודה."
Yalkut Shimoni on Nach 979:20,"דבר אחר עיר קטנה זה המדבר, ואנשים בה מעט זה דור המדבר, ובא אליה מלך גדול זה הקב""ה. ובנה עליה מצודים גדולים הרף ממני ואשמידם. ומצא בה איש מסכן חכם זה משה שנאמר עיר גבורים עלה חכם. ומלט הוא את העיר בחכמתו למה ה' יחרה אפך בעמך. ואדם לא זכר את האיש המסכן ההוא, אמר הקב""ה אם אדם לא זכרו אני זוכרו שנאמר ויזכור ימי עולם משה (עבדו) [עמו] ד""א עיר קטנה זו מצרים, ואנשים בה מעט אלו המצריים, ובא אליה מלך גדול זה פרעה. ובנה עליה מצודים גדולים אלו חלומותיו, ומצא בה איש מסכן חכם זה יוסף אין נבון וחכם כמוך, ומלט הוא את העיר בחכמתו שנאמר וחמש את ארץ מצרים. ואדם לא זכר ולא זכר שר המשקים, אמר הקב""ה אתם לא הזכרתם אותו אני אזכור אותו ויהי מקץ וגו':"
Yalkut Shimoni on Nach 979:21,"וחכמת מסכן בזויה, וכי ר' עקיבא וחבריו עשירים שנשמע את דבריהם והלא הם גזרו על הצבור והם מקיימין, אלא מהו וחכמת מסכן, שממסכן מדברי תורה שמלמד לאחרים והוא בעצמו אינו מקיים לפיכך דבריו אינם נשמעים, מזרזין לאחרים לא תלוו ברבית והם מלוין ברבית:"
Yalkut Shimoni on Nach 979:22,"דברי חכמים בנחת נשמעים. אלו הדרשנים, מזעקת אלו המתורגמנין."
Yalkut Shimoni on Nach 979:23,דבר אחר זה עמרם ובית בו שאמרה לו בתו אבא גזרותיך קשין משל פרעה. מזעקת אלו דתן ואבירם:
Yalkut Shimoni on Nach 979:24,"טובה חכמה, זה חכמתו של יעקב. מכלי קרב של עשו, מה עשה זיינם מבפנים והלבישם לבנים מבחוץ והתקין עצמו לשלשה דברים, לתפלה הצילני, לדורון ותעבור המנחה, למלחמה והיה המחנה הנשאר לפליטה:"
Yalkut Shimoni on Nach 979:25,"דבר אחר טובה חכמה עם נחלה זה משה. מכלי קרב זה שלמה אף על פי שעשה שלמה עשר מנורות עשרה שלחנות לא היו מקריבים אלא בכלים שעשה משה. חליל שבמקדש של משה היה של קנה היה ונשבר ותקנוהו [ולא] היה קולו ערב כמות שהיה וחזרו ונטלוהו וחזר כמות שהיה, צלצל שבמקדש של משה היה ושל נחשת היה ונשבר ותקנוהו ולא היה קולו ערב כמות שהיה וחזרו ונטלוהו וחזר לכמות שהיה, מכתשת שבמקדש של משה היתה, נשברה ותקנוה ולא היתה מפטמת כמו שהיתה וחזרו ונטלוהו וחזרה לכמות שהיתה. אלו שני כלים שנשברו בבנין ראשון ולא היה שולט בהם חלודה דכתיב נחשת ממורט, וכתיב וכלי נחשת מוצהב וכתיב שנים חמודות כזהב, תרין אמוראין חד מנהון (כתיבין) [אמר כל אחד ואחר שקול כתרין] דדהב, וחד אמר תין מנהון (דתרין) [כחד] דדהב. מגריפה, רב ושמואל חד אמר י' נקבים הוו בה וכל אחד ואחד היה מוציא [עשרה מיני זמר, נמצאת כולה] היתה מוציאה אלף מיני זמר. תנא ה' קולות היו נשמעים מיריחו, מיריחו היו שומעין קול גביני כרוז. וי""א אף קולו של כהן גדול בשעה שהיה מזכיר את השם בכנויו. מיריחו היו מריחין ריח פטום הקטרת, רבי אלעזר אומר עזים היו בבית אבא (כהני מדבר) [בהרי מכוור] והיו מתעטשות מריח הקטרת. אמר רבי חייא כתוב אחד אומר בנבל עשור, וכתוב אחד אומר אודך בכנור, הא כיד אלא הוא נבל הוא כנור, אלא נימין יתרין היו בין זה לזה. אמר רבי חייא למה נרא שמו נבל על שם שהיה מנבל כל מיני זמר, (רב הונא בשם ר' יוסיף ע""י שהיה וכו'). תני ר' שמעון בן גמליאל שילוח היה מוציא מים כאיסר אחד באו (ונסכינהו והלכו המים) והרחיבוהו ונתמעטו החזירוהו לכמות שהיה ונתרבו מימיו. ד""א טובה חכמה זו סרח בת אשר שנאמר ותבא אל כל העם בחכמתה מכלי קרב שביד יואב (כתוב בשמואל ברמז קנ""ב):"
Yalkut Shimoni on Nach 979:26,"וחוטא אחד וגו' זה עשו וישב ביום ההוא עשו לדרכו שעירה מפני הבושה. יראה אדם עצמו כאלו חציו זכאי וחציון חייב, עשה מצ ות אחת אשריו שהכריע את עצמו לכף זכות, עבר עבירה אחת אוי לו שהכריע את עצמו לכף חובה שנאמר וחוטא אחד יאבד טובה הרבה, בשביל חטא יחידי שעשה זה אבד ממנו טובה הרבה, ר' אלעזר ב""ר שמעון אומר לפי שהעולם נדון אחר רובו והיחיד נדון אחר רובו עשה מצוה אחת אשריו שהכריע את עצמו ואת כל העולם לכף זכות, עבר עבירה אחת אוי לו שהכריע את עצמו ואת כל העולם לכף חובה שנאמר וחוטא אחד יאבד טובה הרבה בשביל חטא יחידי שעשה זה אבד ממנו ומן העולם טובה הרבה, רשב""י אומר אפילו צדיק גמור כל ימיו ומרד באחרונה אבד את כל הראשונות שנאמר צדקת הצדיק לא תצילנו ביום פשעו, ואפילו רשע גמור כל ימיו ועשה תשובה באחרונה אין מזכירין לו את רשעו שנאמר ורשעת הרשע לא יכשל בה ביום שובו מרשעו:"
Yalkut Shimoni on Nach 979:27,"זבובי מות יבאיש, אמר רבא יצר הרע דומה לזבוב ויושב על שני מפתחי הלב שנאמר זבובי מות יבאיש יביע שמן רוקח:"
Yalkut Shimoni on Nach 979:28,"לב חכם לימינו, שנו רבותינו שתי כליות יש לו לאדם, אחת יוצעתו לטובה, ואחת יועצתו לרעה, מסתברא דטוב לימינו שנאמר לב חכם לימינו. לב חכם לימינו זה יעקב שנאמר ויקם יעקב וישא את בניו וגו'. ולב כסיל לשמאלו זה עשו שנאמר ויקח עשו את נשיו ואחר כך את בניו."
Yalkut Shimoni on Nach 979:29,דבר אחר לב חכם לימינו אלו הצדיקים שהוגים בתורה שנתנה בימין. ולב כסיל לשמאלו אלו הרשעים שנותנים לבם להתעשר שנאמר בשמאלה עושר וכבוד.
Yalkut Shimoni on Nach 979:30,"דבר אחר לב חכם לימינו זה משה. ולב כסיל לשמאלו אלו בני ראובן ובני גד שעשו העיקר טפל, אבל משה אמר בנו לכם ערים לטפכם ואחר כך וגדרות לצאנכם:"
Yalkut Shimoni on Nach 979:31,"אם רוח המושל תעלה עליך, מדבר בנח, אמר נח כשם שלא נכנסתי אלא ברשות כך איני יוצא מן התבה אלא ברשות, בא אל התבה ויבא נח, צא מן התבה ויצא נח. אמר רבי יודן בר אלעאי אלו הייתי שם הייתי שוברה ויוצא לי, אלא אמר נח כשם שלא נכנסתי אלא ברשות כך איני יוצא אלא ברשות:"
Yalkut Shimoni on Nach 979:32,"ראיתי עבדים על סוסים, זה נבוכדנאצר שהחריב את בית המקדש ולא נכנס לתוכו שהיה מתירא, מה עשה מיכאל ירד ואחז בסוסו והכניסו לתוך קדש הקדשים, ורח הקדש אומרת ראיתי עבדים על סוסים זה נבוכדנאצר, ושרים הולכים כעבדים זה מיכאל שנאמר כי אם מיכאל שרכם."
Yalkut Shimoni on Nach 979:33,"דבר אחר ראיתי עבדים והמדנים מכרו אותו אל מצרים, אמר רבי אבין הלוי בר חמא (בין) [בני] האמה מוכרין (ובין) [ובני] העבד קונים בין אלו ובין אלו נמכר יוסף:"
Yalkut Shimoni on Nach 979:34,"חופר גומץ בו יפול. אתה מוצא במחשבה שחשבו המצרים לאבד את ישראל בה אני מאבדם (כתוב בירמיה רמז שי""ט):"
Yalkut Shimoni on Nach 979:35,"ופורץ גדר ישכנו נחש, שנו רבותינו לא ישא אדם ויתן עם המינים ואין מתרפאין מהם אפילו לחיי שעה, ומעשה בבן דמא בן אחותו של רבי ישמעאל שנשכו נחש כו' אמר ליה ישמעאל אחי הנח לי ואביא לך מקרא מן התורה שהוא מותר, לא הספיק לגמור את הדבר עד שיצאה נשמתו, קרא עליו רבי ישמעאל אשריך בן דמא שגופך טהור ויצאת נשמתך בטהרה ולא עברת על דברי חבריך כו' (שהיו אומרים), ופורץ גדר ישכנו נחש, אומר לנחש מפני מה אתה מצוי בין הגדרות א""ל מפני שפרצתי גדרו של עולם:"
Yalkut Shimoni on Nach 979:36,"אם קהה הברזל והוא לא פנים קלקל. אמר רבי אמי אם ראית דור ששמים קהין עליו כברזל, בשביל מעשיהם שהם מקולקלים, מאי תקנתיה יגדיל ברחמים שנאמר וחילים יגבר, ויתרון הכשיר וכ""ש היכא דהוכשרו מעשיהם מעיקרא. אמר ריש לקיש אם ראית למיד שתלמודו קהה עליו כברזל, משום משנתו שאינה סדורה לו שנאמר והוא לא פנום קלקל, מאי תקנתיה ירבה בישיבה שנאמר וחילים יגבר, ויתרון הכשיר חכמה, כל שכן היכא דסדורה לו משנתו מעיקרא, ריש לקיש הוה מסדר מתניתא ארבעים זימנין כנגד ארבעים יום שנתנה בהם התורה ועייל לקמיה דרבי יוחנן. אמר רבא אם ראית תלמיד שתלמודו קהה עליו, בשביל רבו שאינו מסביר לו פנים שנאמר והוא לא פנים קלקל, מאי תקנתיה ירבה עליו רעים שנאמר וחילים יגבר, ויתרון הכשיר חכמה, כ""ש דהוכשרו מעשיו לפני רבו מעיקרא:"
Yalkut Shimoni on Nach 979:37,"אם ישוך הנחש בלא לחש, אמר רבי אמי אם ראית דור שהשמים משתחנין עליו כנחשת מלהוריד טל ומטר בשביל לוחשי לחישות שאין באותו הדור. מאי תקנתן ילכו אצל מי שיודע ללחוש, וכל מי שיודע ללחוש ואינו לוחש מה הנאה יש לו, ואם לחש ועלתה בידו והגיס דעתו מביא אף לעולם שנאמר מקנה אף על עולה. אמר רבא שני ת""ח הדרים בעיר אחת [ואין] נוחין זה לזה בהלכה מתקנאין באף ומעלין אותו שנאמר מקנה אף על עולה. ריש לקיש אמר לעתיד לבא מתקבצין כל החיות אצל הנחש ואמים לו ארי דורס ואוכל, זאב טורף ואוכל, אתה מה הנאה יש לך, א""ל ומה יתרון לבעל הלשון, ומפני מה אתה נושך באבר אחד וכל האברים מרגישין, א""ל ולי מה אתם שואלים, אמרו לבעל הלשון שהוא עומד כאן והורג ברומי, ומפני מה אתה הולך ושותת לשונך אמר להם היא גרמה לי, ומפי מה אתה מצוי בין הגדרות וכו' (לעיל):"
Yalkut Shimoni on Nach 979:38,"אי לך ארץ שמלכך נער, עד מתי יושבים בדין עד זמן סעודה, אמר רב חמא מאי קראה אי לך ארץ שמלכך נער ושריך בבקר יאכלו, אשריך ארץ שמלכך בן חורים ושריך בעת יאכלו בגבורה של תורה ולא בשתית יין:"
Yalkut Shimoni on Nach 979:39,"בעצלתים ימך המקרה, א""ר אלעזר בשביל עצלות שהיה בהם בישראל שלא עסקו בתורה נעשו שונאים של הקב""ה [מך] שנאמר המקרה, ואין מקרה אלא הקב""ה שנאמר המקרה במים, ואומר ואם מך הוא, ואין מך אלא עני שנאמר ואם מך הוא ההוא דהוה קאמר ואזיל היא ניימא ודיקולא שפיל, א""ל שמואל לרב יהודה שיננא קרא כתיב בעצלתים ימך המקרה ובשפלות ידים ידלף הבית."
Yalkut Shimoni on Nach 979:40,"דבר אחר בעצלתים ימך המקרה מי גרם לאשה הזאת שהיא שופעת דמים, על ידי שהיא מתעצלת לבדוק את עצמה אם טמאה היא אם לאו, לפי ששנו רבותינו היד המרבה לבדוק בנשים משובחת. מעשה בשפחתו של רבן גמליאל שהיתה מפנה חביות לבית החביות והיתה בודקת עצמה על כל חבית וחבית, באחרונה בדקה עצמה ונמצאת טמאה ונתירא רבן שמעון בן גמליאל לומר שמא נטמאו כל הטהרות, קרא לה רבן גמליאל אמר לה לא היית בודקת עצמך, אמרה לו חייך אדוני שהייתי בודקת עצמי על כל חבית וחבית ובאחרונה נמצאתי טמאה, הוי על ידי שהאשה מתעצלת היא שופעת דמים, ואין המקרה אלא דמים שנאמר את מקורה הערה. ובשפלות ידים ידלף הבית ואשה כי יזוב וגו':"
Yalkut Shimoni on Nach 979:41,"גם במדעך מלך אל תקלל, מלך שבדורך אל תקלל. ובחדרי משכבך אל תקלל עשיר, עשיר שבדורך אל תקלל. כי עוף השמים יוליך הקול, אמר רבי ירמיה זה העורב חכמת טיאורין, ובעל כנפים יגיד דבר, משום אזנים לכותל. כתיב כי אם ה' יגפנו, אמר ליה הקב""ה גם במדעך מלך אל תקלל וכו' (כתוב בשמואל ברמז קל""ח). אמר רבי אבין לא במדע שנתתי לך יותר מחיה ועוף ובהמה תהא מחרף ומגדף לפני, בראתי לך שתי עינים ולה שתי עינים, לך שתי אזנים ולה שתי אזנים דמיתיך להם נמשל כבהמות נדמו שתקתים פני כבודך, כמה טובות עשיתי לך ואין אתה מבין אדם ביקר ולא יבין,"
Yalkut Shimoni on Nach 979:42,"דבר אחר גם במדעך מלך אל תקלל מלכו של עולם, אל תקלל עשיר עשירו של עולם. כי עוף השמים יוליך את הקול, אמר רבי לוי יש קול יוצא לטובה וישמע ה' את קול דבריכם ויאמר היטיבו וגו'. יש קול יוצא לרעה וישמע ה' את קול דבריכם ויקצוף. ובעל כנפים יגיד דבר, א""ר אבא בשעה שהאדם ישן, הגוף אומר לנשמה, והנשמה לנפש, והנפש למלאך, והמלאך לכרוב, וכרוב לבעל כנפים, ובעל כנפים יגיד דבר לפני מי שאמר והיה העולם."
Yalkut Shimoni on Nach 979:43,"דבר אחר גם במדעך מלך אל תקלל זה משה דכתיב ויהי בישורון מלך. אל תקלל עשיר זה משה א""ר חנין מחצב של סנפירינון ברא הקב""ה בתוך אהלו ומשם העשיר משה הה""ד פסל לך הפסולת שלך. כי עוף השמים יוליך את הקול, קול שטס ועולה לשמים. ובעל כנפים יגיד דבר שהוגד לה בסיני הוצא את המקלל. ד""א קולס של מדברי לשון הרע, לפיכך קול של בעלי כנפים מכפר על אותו הקול שנאמר ולקח למטהר שתי צפרים חיות, ובעל כנפים אלו המלאכים שכתוב בהם שש כנפים לאחד:"
Yalkut Shimoni on Nach 979:44,"שלח לחמך על פני המים. מעשה באדם אחד שהיה רגיל בצדקה, נכנס וישב בספינה באת הרוח וטבעה את הספינה ביום וראהו רבי עקיבא ובא להעיד על אשתו שתנשא לאחר והלך אצל ישיבה להעיד עליו ולא הגיע עת לעמוד עד שבא אותו האיש ועמד לפניו, אמר ליה בני לא אתה שטבעת בים, א""ל הן, א""ל ומי העלך, א""ל רבי צדקה שעשיתי, א""ל בני מגין אתה יודע, אמר ליה כשירדתי למקום מצולה שמעתי קול רעש גדול שהיו אומרים זה לזה רוץ ונעלה אותו האיש שהוא בעל צדקה, באותה שעה פתח רבי עקיבא ברוך שבחר בתורה ובדברי חכמים, שכך כתיב שלח לחמך על פני המים וגו':"
Yalkut Shimoni on Nach 979:45,"מעשה בבימין הצדיק שהיה ממונה על קופה של צדקה, ובאת אלמנה אחת ועמדה לפניו א""ל רבי פרנסני, א""ל העבודה שאין בקופה של צדקה כלום, אמרה ליה רבי אם אין אתה מפרנסני נמצאת מאבד אלמנה ושבעה בניה, עמד ופרנסה משלו כדי פרנסתה, לימים חלה בנימין הצדיק והיה מצטער על המטה, אמרו מלאכי השרת לפני הקב""ה רבש""ע אתה אמרת כל המקיים נפש אחת מישראל כאלו קיים עולם מלא, בנימין הצדיק שקיים אלמנה ושבע בניה ימות לשנים מועטות, באותה שעה בקשו מלאכי השרת רחמים קרעו לקו קקגזר דינו והוסיפו לו עשרים ושתים שנה על שנותיו:"
