Index Title,Rashi on Numbers
Rashi on Numbers 3:6:1,"<b>ושרתו אתו.</b> ומהו השירות °ושמרו את משמרתו לפי ששמירת המקדש עליו שלא יקרב זר כמו שנאמר <small>(במדבר יח, א)</small> אתה ובניך ובית אביך אתך תשאו את עון המקדש והלוים הללו מסייעין אותם זו היא השירות: "
Rashi on Numbers 3:6:2,
Rashi on Numbers 3:7:1,"<b>ושמרו את משמרתו.</b> כל מנוי שהאדם ממונה עליו ומוטל עליו לעשותו קרוי משמרת בכל המקרא ובלשון משנה כמו שאמרו בבגתן ותרש והלא אין משמרתי ומשמרתך שוה <small>(מגילה יג, ב)</small> וכן משמרות כהונה ולויה: "
Rashi on Numbers 3:8:1,"<b>ואת משמרת בני ישראל.</b> שכולן היו זקוקין לצרכי המקדש אלא שהלוים באים תחתיהם בשליחותם לפיכך לוקחים מהם המעשרות בשכרן שנאמר <small>(להלן יח, לא)</small> כי שכר הוא לכם חלף עבודתכם: "
Rashi on Numbers 3:9:1,<b>נתונם המה לו.</b> °לעזרה:
Rashi on Numbers 3:9:2,"<b>מאת בני ישראל.</b> כמו מתוך בני ישראל כלומר °משאר כל העדה נבדלו לכך בגזרת המקום והוא נתנם לו שנאמר <small>(שם ח, יט)</small> ואתנה את הלוים נתונים וגו': "
Rashi on Numbers 3:10:1,<b>ואת אהרן ואת בניו תפקד.</b> לשון פקידות ואינו לשון מנין:
Rashi on Numbers 3:10:2,<b>ושמרו את כהנתם.</b> קבלת דמים וזריקה והקטרה ועבודות המסורות לכהנים:
Rashi on Numbers 3:12:1,<b>ואני הנה לקחתי.</b> ואני מהיכן זכיתי בהן: <b>מתוך בני ישראל.</b> שיהיו ישראל שוכרין אותן לשירות שלי על ידי הבכורות זכיתי בהם ולקחתים תמורתם לפי שהיתה העבודה בבכורות וכשחטאו בעגל נפסלו והלוים שלא עבדו עבודת אלילים נבחרו תחתיהם <small>(מדרש אגדה)</small>:
Rashi on Numbers 3:12:2,
Rashi on Numbers 3:15:1,"<b>מבן חדש ומעלה.</b> משיצא מכלל נפלים הוא נמנה ליקרא שומר משמרת הקדש. אמר רבי יהודה ברבי שלום למוד הוא אותו השבט להיות נמנה מן הבטן שנאמר <small>(להלן כו, נט)</small> אשר ילדה אותה ללוי במצרים עם כניסתה בפתח מצרים °ילדה אותה ונמנית בשבעים נפשות שכשאתה מונה חשבונם לא תמצאם אלא שבעים חסר אחת והיא השלימה את המנין <small>(תנחומא במדבר טז)</small>: "
Rashi on Numbers 3:16:1,"<b>על פי ה'.</b> אמר משה לפני הקב""ה °היאך אני נכנס לתוך אהליהם לדעת מנין יונקיהם אמר לו הקב""ה עשה אתה שלך ואני אעשה שלי הלך משה ועמד על פתח האהל והשכינה מקדמת לפניו ובת קול יוצאת מן האהל ואומרת כך וכך תינוקות יש באהל זה לכך נאמר על פי ה' <small>(שם)</small>: "
Rashi on Numbers 3:21:1,"<b>לגרשון משפחת הלבני.</b> כלומר לגרשון היו הפקודים °משפחת הלבני ומשפחת השמעי °פקודיהם כך וכך: 
"
Rashi on Numbers 3:25:1,<b>המשכן.</b> °יריעות התחתונות:
Rashi on Numbers 3:25:2,<b>והאהל.</b> °יריעות עזים העשויות לגג:
Rashi on Numbers 3:25:3,"<b>מכסהו.</b> °עורות אילים ותחשים: 
"
Rashi on Numbers 3:25:4,<b>ומסך פתח.</b> הוא °הוילון:
Rashi on Numbers 3:26:1,<b>ואת מיתריו.</b> °של משכן והאהל ולא של חצר:
Rashi on Numbers 3:29:1,"<b>משפחת בני קהת יחנו וגו' תימנה.</b> וסמוכין להם דגל ראובן החונים תימנה <small>(לעיל ב, י)</small> °אוי לרשע ואוי לשכנו לכך לקו מהם דתן ואבירם °ומאתים וחמשים איש עם קרח ועדתו שנמשכו עמהם במחלוקתם <small>(תנחומא במדבר יב)</small>: 
"
Rashi on Numbers 3:31:1,"<b>והמסך.</b> היא הפרכת שאף היא קרויה <small>(שמות מ, כא)</small> (פרכת) המסך: "
Rashi on Numbers 3:32:1,<b>ונשיא נשיאי הלוי.</b> °ממונה על כלם ועל מה היא נשיאותו:
Rashi on Numbers 3:32:2,<b>פקודת שומרי משמרת הקודש.</b> על ידו היה פקודת כולם:
Rashi on Numbers 3:38:1,"<b>משה ואהרן ובניו.</b> °וסמוכין להם דגל מחנה יהודה והחונים עליו יששכר וזבולן טוב לצדיק טוב לשכנו לפי שהיו שכניו של משה שהיה עוסק בתורה נעשו גדולים בתורה שנאמר <small>(תהלים ס, ט)</small> יהודה מחוקקי <small>(דה""א יב, לג)</small> ומבני יששכר יודעי בינה וגו' מאתים ראשי סנהדראות ומזבולן <small>(שופטים ה, יד)</small> מושכים בשבט סופר <small>(תנחומא שם)</small>: "
Rashi on Numbers 3:39:1,"<b>אשר פקד משה ואהרן.</b> °נקוד על ואהרן לומר שלא היה במנין הלוים <small>(בכורות ד, א)</small>: "
Rashi on Numbers 3:39:2,"<b>שנים ועשרים אלף.</b> ובפרטן אתה מוצא שלש מאות יתרים בני גרשון שבעת אלפים וחמש מאות. בני קהת שמונת אלפים ושש מאות. בני מררי ששת אלפים ומאתים. ולמה לא כללן עם השאר ויפדו את הבכורות ולא יהיו זקוקים השלשה ושבעים ומאתים בכורות העודפים על המנין לפדיון אמרו רבותינו במסכת בכורות <small>(ה, א)</small> אותן שלש מאות לוים בכורים היו ודים °שיפקיעו עצמם מן הפדיון: "
Rashi on Numbers 3:40:1,"<b>פקד כל בכור זכר וגו' מבן חדש ומעלה.</b> משיצא מכלל ספק נפלים: 
"
Rashi on Numbers 3:45:1,"<b>ואת בהמת הלוים וגו'.</b> לא פדו בהמות הלוים את בכורי בהמה טהורה של ישראל °אלא את פטרי חמוריהם ושה אחד של בן לוי פטר כמה פטרי חמורים של ישראל תדע שהרי מנה העודפים באדם °ולא מנה העודפים בבהמה <small>(שם ד, ב)</small>: "
Rashi on Numbers 3:46:1,"<b>ואת פדויי השלשה וגו'.</b> ואת הבכורות הצריכין להפדות בהם אלו השלשה ושבעים ומאתים העודפים בהם ויתרים על הלוים מהם °תקח חמשת שקלים לגלגלת כך היתה מכירתו של יוסף עשרים כסף שהיה בכורה של רחל <small>(ב""ר פד, יח)</small>: "
Rashi on Numbers 3:49:1,<b>העדפים על פדויי הלוים.</b> על אותן שפדו הלוים בגופן:
Rashi on Numbers 3:50:1,"<b>חמשה וששים ושלש מאות ואלף.</b> כך סכום החשבון חמשת שקלים לגלגלת למאתים בכורות אלף שקל לשבעים בכורות שלש מאות וחמשים שקל לשלש בכורות חמשה עשר שקל אמר כיצד אעשה בכור שאומר לו תן חמשת שקלים יאמר לי אני מפדויי הלוים מה עשה הביא °שנים ועשרין אלף פתקין וכתב עליהן בן לוי ומאתים ושבעים ושלשה פתקין כתב עליהן ה' שקלים בללן ונתנן בקלפי אמר להן בואו וטלו פתקיכם לפי הגורל <small>(במדרש רבה ד, י. סנהדרין יז, א)</small>: "
Rashi on Numbers 4:2:1,"<b>נשא את ראש וגו'.</b> מנה מהם את הראויין °לעבודת משא והן מבן שלשים ועד בן חמשים שנה והפחות משלשים לא נתמלא כחו מכאן אמרו <small>(אבות ה, כא)</small> בן שלשים לכח והיותר על בן חמשים כחו מכחיש מעתה: 
"
Rashi on Numbers 4:4:1,<b>קדש הקדשים.</b> המקודש שבכולן הארון והשלחן והמנורה והמזבחות והפרוכת וכלי שרת:
Rashi on Numbers 4:5:1,<b>ובא אהרן ובניו וגו'. </b>יכניסו כל כלי וכלי לנרתקו המפורש לו בפרשה זו ולא יצטרכו הלוים בני קהת אלא לשאת:
Rashi on Numbers 4:5:2,<b>בנסוע המחנה.</b> °כשהענן מסתלק הם יודעין שיסעו:
Rashi on Numbers 4:7:1,"<b>קערות וכפות קשות ומנקיות.</b> כבר פירשתי במלאכת המשכן <small>(שמות כה, כט)</small>: "
Rashi on Numbers 4:7:2,<b>הנסך.</b> הכסוי לשון מסך. <small>(שם)</small> אשר יוסך בהם:
Rashi on Numbers 4:9:1,<b>מלקחיה.</b> כמין צבת שמושך בה את הפתילה לכל צד שירצה:
Rashi on Numbers 4:9:2,<b>מחתתיה. </b>כמין כף קטנה ושוליה פשוטין ולא סגלגלים ואין לה מחיצה לפנים אלא מצדיה וחותה בה את דשן הנרות כשמטיבן:
Rashi on Numbers 4:9:3,"<b>נרתיה.</b> לוצי""ש בלע""ז °שנותנים בהן השמן והפתילות: "
Rashi on Numbers 4:10:1,<b>אל מכסה עור תחש.</b> כמין °מרצוף <small>(כלים לב)</small>:
Rashi on Numbers 4:12:1,"<b>את כל כלי השרת אשר ישרתו בם בקדש.</b> °בתוך המשכן שהוא קדש והן כלי הקטרת שמשרתין בהם במזבח הפנימי: 
"
Rashi on Numbers 4:13:1,<b>ודשנו את המזבח.</b> מזבח הנחשת:
Rashi on Numbers 4:13:2,<b>ודשנו.</b> °יטלו את הדשן מעליו:
Rashi on Numbers 4:13:3,"<b>ופרשו עליו בגד ארגמן.</b> ואש שירדה מן השמים רבוצה תחת הבגד °כארי בשעת המסעות <small>(יומא כא, ב)</small> ואינה שורפתו שהיו כופין עליה °פסכתר של נחשת <small>(עירובין קד)</small>: "
Rashi on Numbers 4:14:1,<b>מחתת.</b> שבהן חותים גחלים לתרומת הדשן שעשויה כמין מחבת שאין לה אלא שלש מחיצות ומלפניה שואבת את הגחלים:
Rashi on Numbers 4:14:2,<b>מזלגות.</b> צנוריות של נחשת שבהן מכין באברים שעל המזבח להפכן כדי שיתעכלו יפה ומהר:
Rashi on Numbers 4:14:3,"<b>יעים.</b> הם מגרפות ובלע""ז ווידי""ל והן של נחושת ובהן מכבדין את הדשן מעל המזבח: "
Rashi on Numbers 4:15:1,<b>לכסת את הקדש.</b> הארון והמזבח:
Rashi on Numbers 4:15:2,<b>ואת כל כלי הקדש.</b> °המנורה וכלי שרת:
Rashi on Numbers 4:15:3,<b>ומתו.</b> °שאם יגעו חייבין מיתה בידי שמים:
Rashi on Numbers 4:16:1,"<b>ופקדת אלעזר.</b> שהוא ממונה עליהם °לשאת אותם שמן וקטרת ושמן המשחה ומנחת התמיד עליו מוטל לצוות ולזרז ולהקריב בעת חנייתן: 
"
Rashi on Numbers 4:16:2,<b>פקדת כל המשכן.</b> ועוד היה ממונה על משא בני קהת °לצוות איש איש על עבודתו ועל משאו והוא המשכן וכל אשר בו כל הסדורים למעלה בפרשה זו אבל משא בני גרשון ומררי שאינן מקדש הקדשים על פי איתמר היה כמו שכתוב בפרשת נשא <small>(להלן פסוק כח)</small>:
Rashi on Numbers 4:18:1,<b>אל תכריתו.</b> °אל תגרמו להם שימותו:
Rashi on Numbers 4:20:1,"<b>ולא יבאו לראות כבלע את הקדש.</b> לתוך נרתק שלו כמו שפירשתי למעלה בפרשה זו ופרשו עליו בגד פלוני וכסו אותו במכסה פלונית °ובלוע שלו הוא כסויו: 
"
Rashi on Numbers 4:20:2,
Rashi on Numbers 4:22:1,"<b> נשא את ראש בני גרשון גם הם.</b> °כמו שצויתיך על בני קהת לראות כמה יש °שהגיעו לכלל עבודה: 
"
Rashi on Numbers 4:25:1,<b> את יריעת המשכן.</b> °עשר התחתונות:
Rashi on Numbers 4:25:2,<b>ואת אהל מועד.</b> °יריעות עזים העשויות לאהל עליו:
Rashi on Numbers 4:25:3,<b>מכסהו.</b> עורות אילים °מאדמים:
Rashi on Numbers 4:25:4,<b>מסך פתח.</b> °וילון המזרחי:
Rashi on Numbers 4:26:1,"<b> אשר על המשכן.</b> כלומר הקלעים והמסך של חצר הסוככים °ומגינים על המשכן ועל °מזבח הנחשת סביב: 
"
Rashi on Numbers 4:26:2,<b>ואת כל אשר יעשה להם.</b> כתרגומו °וית כל דיתמסר להון לבני גרשון:
Rashi on Numbers 4:27:1,"<b> על פי אהרן ובניו.</b> ואיזה מהבנים °ממונה עליהם ביד איתמר בן אהרן הכהן: 
"
Rashi on Numbers 4:32:1,"<b> ויתדתם ומיתריהם.</b> של עמודים שהרי יתדות ומיתרי הקלעים 
במשא בני גרשון היו ויתדות ומיתרים היו ליריעות ולקלעים מלמטה שלא תגביהם הרוח ויתדות °ומיתרים היו לעמודים סביב לתלות בהם הקלעים °בשפתם העליונה בכלונסות °וקונדסין כמו ששנויה במלאכת המשכן <small>(פ""ה)</small>: "
Rashi on Numbers 4:47:1,"<b> עבודת עבודה.</b> הוא השיר במצלתים וכנורות שהיא °עבודה לעבודה אחרת <small>(ערכין יא, א)</small>: "
Rashi on Numbers 4:47:2,<b>ועבודת משא. </b>°כמשמעו:
Rashi on Numbers 4:49:1,"<b> ופקדיו אשר צוה ה' את משה.</b> ואותן הפקודים היו במצוה °מבן שלשים שנה ועד בן חמשים: 
"
Rashi on Numbers 5:2:1,"<b> צו את בני ישראל וגו'.</b> °פרשה זו נאמרה ביום שהוקם המשכן ושמנה פרשיות נאמרו בו ביום כדאיתא במסכת גיטין בפרק הנזקין <small>(ס, א־ב)</small>: "
Rashi on Numbers 5:2:2,"<b>וישלחו מן המחנה.</b> °שלש מחנות היו שם בשעת חנייתן. תוך הקלעים היא מחנה שכינה. חניית הלוים סביב כמו שמפורש בפרשת במדבר סיני <small>(לעיל א, נ)</small> היא מחנה לויה. ומשם ועד סוף מחנה הדגלים לכל ארבע הרוחות היא מחנה ישראל. הצרוע נשתלח °חוץ לכולן. הזב מותר במחנה ישראל ומשולח מן השתים. וטמא לנפש מותר אף בשל לויה ואינו משולח אלא °משל שכינה. וכל זה דרשו רבותינו מן המקראות במסכת פסחים <small>(סז, א־ב)</small>: "
Rashi on Numbers 5:2:3,"<b>טמא לנפש.</b> דמסאב לטמי נפשא דאנשא אומר אני שהוא °לשון עצמות אדם בלשון ארמי והרבה יש בבראשית רבה <small>(י, א. כח, ב. עח, א. ועוד)</small> אדריאנוס שחיק טמיא שחיק עצמות: 
"
Rashi on Numbers 5:6:1,"<b> למעל מעל בה'.</b> הרי חזר וכתב כאן פרשת גוזל ונשבע על שקר היא האמורה בפרשת ויקרא <small>(ה, כא)</small> ומעלה מעל בה' וכחש בעמיתו וגו' ונשנית כאן בשביל שני דברים שנתחדשו בה האחד שכתוב והתודו לומר שאינו חייב חומש ואשם על פי עדים עד שיודה בדבר והשני על גזל הגר שהוא ניתן לכהנים <small>(ספרי נשא ב)</small>: "
Rashi on Numbers 5:7:1,"<b> את אשמו בראשו. </b>הוא °הקרן שנשבע עליו <small>(ב""ק קי, א)</small>: "
Rashi on Numbers 5:7:2,<b>לאשר אשם לו.</b> למי °שנתחייב לו <small>(כתובות יט)</small>:
Rashi on Numbers 5:8:1,<b> ואם אין לאיש גאל.</b> שמת התובע שהשביעו ואין לו יורשים:
Rashi on Numbers 5:8:2,"<b>להשיב האשם אליו.</b> °כשנמלך זה להתודות על עונו ואמרו רבותינו <small>(ספרי נשא ד. ב""ק קט, א)</small> וכי יש לך אדם בישראל שאין לו גואלים או בן או בת או אח או שאר בשר הקרוב ממשפחת אביו למעלה עד יעקב אלא °זה הגר שמת ואין לו יורשים: "
Rashi on Numbers 5:8:3,"<b>האשם המושב.</b> °זה הקרן והחומש <small>(ב""ק קי, א)</small>: "
Rashi on Numbers 5:8:4,"<b>לה' הכהן.</b> קנאו השם °ונתנו לכהן °שבאותו משמר <small>(ספרי נשא ד. ב""ק קט, ב)</small>: "
Rashi on Numbers 5:8:5,"<b>מלבד איל הכפרים.</b> °האמור בויקרא <small>(ה, כה)</small> שהוא צריך להביא: "
Rashi on Numbers 5:9:1,"<b> וכל תרומה וגו'.</b> אמר רבי ישמעאל וכי תרומה מקריבין לכהן והלא הוא המחזר אחריה לבית הגרנות ומה תלמוד לומר אשר יקריבו לכהן אלו הבכורים שנאמר בהם <small>(שמות כג, יט)</small> תביא בית ה' אלהיך °ואיני יודע מה יעשה בהם תלמוד לומר לכהן לו יהיה בא הכתוב ולימד על הבכורים שיהיו נתנין לכהן <small>(ספרי נשא ה)</small>: 
"
Rashi on Numbers 5:10:1,"<b> ואיש את קדשיו לו יהיו.</b> לפי שנאמרו מתנות כהונה ולויה יכול יבואו ויטלום בזרוע תלמוד לומר ואיש את קדשיו לו יהיו °מגיד שטובת הנאתן לבעלים <small>(שם ו)</small> ועוד מדרשים הרבה דרשו בו בספרי. ומדרש אגדה <small>(תנחומא ראה י)</small> ואיש את קדשיו לו יהיו מי שמעכב מעשרותיו ואינו נותנן לו יהיו המעשרות סוף שאין שדהו עושה אלא אחד מעשר שהיתה למודה לעשות: 
"
Rashi on Numbers 5:10:2,<b>איש אשר יתן לכהן.</b> מתנות הראויות לו:
Rashi on Numbers 5:10:3,"<b>לו יהיה.</b> ממון הרבה <small>(ברכות סג, א)</small>: "
Rashi on Numbers 5:12:1,<b> איש איש כי תשטה אשתו. </b>מה כתוב °למעלה מן הענין ואיש את קדשיו לו יהיו אם אתה מעכב מתנות הכהן חייך שתצטרך לבא אצלו להביא לו את הסוטה <small>(שם)</small>:
Rashi on Numbers 5:12:2,<b>איש איש.</b> ללמדך שמועלת בשתים באיש מלחמה של מעלה ואישה מלמטה <small>(תנחומא נשא ה)</small>:
Rashi on Numbers 5:12:3,"<b>כי תשטה אשתו.</b> שנו רבותינו <small>(שם)</small> אין המנאפין נואפין עד שתכנס בהן °רוח שטות דכתיב כי תשטה וכתיב בו <small>(משלי ו, לב)</small> נואף אשה חסר לב. ופשוטו של מקרא כי תשטה °תט מדרכי צניעות ותחשד בעיניו כמו <small>(שם ד, טו)</small> שטה מעליו ועבור <small>(שם ז, כה)</small> אל ישט אל דרכיה לבך: "
Rashi on Numbers 5:12:4,"<b>ומעלה בו מעל.</b> °ומהו המעל: 
"
Rashi on Numbers 5:13:1,<b> ושכב איש אתה.</b> איש פרט לקטן ומי שאינו איש <small>(סוטה כח. תנחומא נשא ו. ספרי ז)</small>:
Rashi on Numbers 5:13:2,"<b>אתה שכבת זרע.</b> °שכיבתה פוסלת אותה ואין שכיבת אחותה פוסלת אותה כמעשה בשתי אחיות שהיו דומות זו לזו <small>(יבמות צה. תנחומא שם)</small>: 
"
Rashi on Numbers 5:13:3,"<b>ונעלם מעיני אישה.</b> °פרט לסומא הא אם היה רואה ומעמעם (ס""א ומעלים) אין המים בודקין אותה <small>(סוטה כז. ספרי ז. תנחומא ז)</small>: "
Rashi on Numbers 5:13:4,<b>ונסתרה.</b> °שיעור שתראה לטומאת ביאה:
Rashi on Numbers 5:13:5,"<b>ועד אין בה. </b>הא אם יש בה °אפילו עד אחד שאמר נטמאת לא היתה שותה <small>(סוטה ב, ב. לא, ב)</small>: "
Rashi on Numbers 5:13:6,"<b>ועד אין בה.</b> בטומאה אבל יש עדים לסתירה <small>(שם ב, ב)</small>: "
Rashi on Numbers 5:13:7,"<b>נתפשה.</b> °נאנסה כמו <small>(דברים כב, כח)</small> ותפשה ושכב עמה <small>(ספרי ז)</small>: "
Rashi on Numbers 5:14:1,<b> ועבר עליו.</b> °קודם לסתירה:
Rashi on Numbers 5:14:2,"<b>רוח קנאה וקנא.</b> פירשו רבותינו <small>(סוטה ג, א)</small> לשון התראה שמתרה בה אל תסתרי עם איש פלוני: "
Rashi on Numbers 5:14:3,<b>והיא נטמאה או עבר עליו וגו'.</b> כלומר הוא התרה בה ועברה על התראתו °ואין ידוע אם נטמאה אם לאו:
Rashi on Numbers 5:15:1,<b> קמח.</b> °שלא יהא מסלת <small>(ספרי נשא ח)</small>:
Rashi on Numbers 5:15:2,"<b>שעורים.</b> ולא חטים היא עשתה מעשה בהמה וקרבנה מאכל בהמה <small>(סוטה טו, ב. ספרי שם)</small>: "
Rashi on Numbers 5:15:3,"<b>לא יצק עליו שמן.</b> שלא יהא קרבנה מהודר שהשמן °קרוי אור והיא עשתה בחשך <small>(סוטה טו, א. תנחומא נשא ג)</small>: "
Rashi on Numbers 5:15:4,"<b>ולא יתן עליו לבנה.</b> שהאמהות נקראות לבונה שנאמר <small>(שיר ד, ו)</small> אל גבעת הלבונה והיא פירשה מדרכיהן <small>(סוטה ה. תנחומא שם)</small>: "
Rashi on Numbers 5:15:5,<b>כי מנחת קנאת הוא.</b> הקמח הזה. קמח לשון זכר:
Rashi on Numbers 5:15:6,<b>מנחת קנאת.</b> מעוררת עליה שתי קנאות קנאת המקום וקנאת הבעל <small>(ספרי ח)</small>:
Rashi on Numbers 5:17:1,"<b> מים קדשים.</b> שקדשו בכיור <small>(שם י. כתובות עב. סוטה טו, ב)</small> לפי שנעשה הכיור מנחשת מראות הצובאות וזו פירשה מדרכיהן שהיו נבעלות לבעליהן במצרים תחת התפוח וזו קלקלה לאחר תבדק בו <small>(תנחומא פקודי ט)</small>: "
Rashi on Numbers 5:17:2,<b>בכלי חרש.</b> היא השקתה את הנואף יין משובח בכוסות משובחים לפיכך תשתה מים המרים במקידה בזויה של חרס <small>(סוטה ז)</small>:
Rashi on Numbers 5:18:1,"<b> והעמיד הכהן וגו'.</b> והלא כבר נאמר והעמידה לפני ה' °אלא מסיעין היו אותה ממקום למקום כדי ליגעה ותטרף דעתה ותודה <small>(שם ח, א)</small>: "
Rashi on Numbers 5:18:2,"<b>ופרע.</b> °סותר את קליעת שערה כדי לבזותה מכאן לבנות ישראל שגלוי הראש °גנאי להן <small>(שם יד. כתובות עב, א. ספרי)</small>: "
Rashi on Numbers 5:18:3,"<b>לפני ה'.</b> °בשער נקנור הוא שער העזרה המזרחי דרך כל הנכנסים <small>(ספרי. סוטה ז, א)</small>: "
Rashi on Numbers 5:18:4,"<b>ונתן על כפיה. °</b>ליגעה אולי תטרף דעתה ותודה °ולא ימחה שם המיוחד על המים <small>(שם יד, א)</small>: "
Rashi on Numbers 5:18:5,<b>המרים.</b> °על שם סופן שהם מרים לה <small>(ספרי נשא יא)</small>:
Rashi on Numbers 5:18:6,"<b>המאררים. </b>המחסרים אותה מן העולם לשון <small>(יחזקאל כח, כד)</small> סילון ממאיר ולא יתכן לפרש מים ארורים שהרי קדושים הן ולא ארורים כתב הכתוב אלא מאררים את אחרים ואף אונקלוס לא תרגם ליטיא אלא מלטטיא שמראות קללה בגופה של זו: "
Rashi on Numbers 5:19:1,"<b> והשביע וגו'.</b> ומה היא השבועה °אם לא שכב הנקי הא אם שכב חנקי (ס""א לא תנקי)שמכלל לאו אתה שומע הן אלא שמצוה לפתוח בדיני נפשות תחלה לזכות: "
