Index Title,Rashi on Numbers
Rashi on Numbers 1:50:1,"<b>You shall appoint the Levites.</b> As Targum [Onkelos] translates, “appoint.” The word denotes appointment to °authority over the subject of one’s appointment, as, “and let the king appoint officials.” (Esther 2) 
"
Rashi on Numbers 1:51:1,"<b>[They] shall take it down.</b> °As Targum (Onkelos) translates, “they shall dismantle.” °When they were going to depart in the desert from journey to journey they would dismantle it (the <i>Mishkon</i>) from its upright position and carry it to the place where the cloud came to rest. They camped there and set it up. "
Rashi on Numbers 1:51:2,<b>And the stranger who approaches:</b> °To [perform] this service of theirs.
Rashi on Numbers 1:51:3,<b>Shall die:</b> °By the hand of heaven.
Rashi on Numbers 1:52:1,"<b>And each man at his own banner.</b> According to the way that the banners are arranged in this book (i.e., Bamidbar, 2:3–31), three tribes to each banner. "
Rashi on Numbers 1:53:1,"<b>So that there will not be anger.</b> If you fulfill My commandments there will not be anger, but if not — if strangers will enter into this service of theirs — °there will be anger, °as we find in the episode of Korach, “. . . for the anger had emerged . . .” [17:11] 
"
Rashi on Numbers 2:2:1,"<b>With the insignia.</b> Each banner shall have [as] its insignia a colored cloth hanging from it. °Each one’s color was not like the other’s, each color corresponded with the hue of its gem set in the breastplate. Thusly, everyone could recognize his banner. Another interpretation [of] “with the insignia of their fathers’ houses”; By the sign their forefather Yaakov gave them °when they carried him from Egypt [for burial in Canaan], as it is said, “And his sons did to him just as he had commanded them” [Bereishis, 50:12]. ‘Yehudah, Yissachar, and Zevulun shall carry him from the east, Reuven, Shimon, and Gad from the south; etc.,’ as stated by Tanchuma to this portion. 
"
Rashi on Numbers 2:2:2,"<b>At a distance:</b> °At the distance of a <i>mil</i> (2,000 <i>amos,</i> approximately 4,000 feet.) as stated in the Book of Joshua [3:4], ‘However, there should be a distance between you and it (the sacred ark) of two thousand <i>amos</i>’, To enable them to come on Shabbos. Moshe and Aharon and his sons and the Levites camped near it (the <i>Mishkon</i>). "
Rashi on Numbers 2:3:1,"<b>In the forefront.</b> Toward the side called קֶדֶם, the front. Which is this? °This is the eastern side whereas the west is called אָחוֹר, the rear. 
"
Rashi on Numbers 2:9:1,"<b>They travel first.</b> °When they see the cloud rise, the <i>kohanim</i> blow the trumpets and the camp of Yehudah departs first. When traveling, they move °the way they camped; The Levites and the wagons at the center, the banner of Yehudah to the east, that of Reuven to the south, Ephraim's to the west, and Don’s to the north. 
"
Rashi on Numbers 2:17:1,<b>The Tent of Meeting shall travel.</b> °After those two banners.
Rashi on Numbers 2:17:2,"<b>Just as they camp, so shall they travel:</b> As I explained, they traveled as they camped, each banner proceeding in its designated position. "
Rashi on Numbers 2:17:3,"<b>In his place [literally “his hand”]</b> In his place. Yet, the literal meaning, “his hand” is not out of context. One’s nearby area is called “at hand,” [i.e.,] adjacent, within hand’s reach. <i>en son aise,</i> at hand, in Old French. "
Rashi on Numbers 2:20:1,"<b>With him [literally “above him”].</b> °As Targum [Onkelos] translates, “the one near him.” 
"
Rashi on Numbers 3:1:1,"<b>These are the descendants of Aharon and Moshe.</b> [Scripture] mentions only the sons of Aharon, yet they are called the descendants of Moshe — because he taught them Torah. This teaches us that one who teaches another’s son Torah is considered as having procreated him. "
Rashi on Numbers 3:1:2,"<b>On the day that Adonoy spoke to Moshe</b> They became his descendants, °since he taught them what he had learned from the mouth of the Almighty. "
Rashi on Numbers 3:4:1,"<b>In the presence [literally “the face”] of Aharon.</b> °During his lifetime. 
"
Rashi on Numbers 3:6:1,"<b>And they shall serve him.</b> What is the service? [The next passage explains —] °”They shall preserve his guardianship;” since he (Aharon) is obligated to guard the Sanctuary so that no stranger may approach, as it is said, “. . . you (Aharon), your sons, and your father’s house with you shall bear [responsibility for] the sin of [defiling] the Sanctuary . . .,” and these Levites aided them, this is the service. "
Rashi on Numbers 3:6:2,
Rashi on Numbers 3:7:1,"<b>They shall take care to preserve his guardianship.</b> Any position to which a person is appointed which requires his active management is called a “watch” throughout Scripture, and in the Mishnaic idiom, as stated concerning Bigsan and Seresh, “But surely my watch is not similar to yours”? Similarly, the “watches” of the <i>kohanim</i> and Levites. 
"
Rashi on Numbers 3:8:1,"<b>And the watch of Bnei Yisroel.</b> They were all actually obligated to provide the needs of the Sanctuary; the Levites merely served in their place, as surrogates. This is why they (the Levites) accepted the tithes from them, in payment, as it is said, “. . . for it (the tithe) is your payment, in return for your service . . .” "
Rashi on Numbers 3:9:1,<b>They are presented to him.</b> °For assistance.
Rashi on Numbers 3:9:2,"<b>From [among] Bnei Yisroel</b> This [מֵאֵת, “from”] is understood as מִתּוֹךְ, “from among” Bnei Yisroel, meaning °from the rest of the entire congregation they (the Levites) were selected for this by Divine decree and He (God) gave them to him (Aharon), as it is said, “I (God) have given the Levites, given [them] . . .” 
"
Rashi on Numbers 3:10:1,"<b>Appoint Aharon and his sons.</b> The word connotes appointment, not counting. "
Rashi on Numbers 3:10:2,"<b>And they shall guard their priesthood.</b> Referring to the blood [of the sacrificial offerings], sprinkling [it on the altar], burning [the sacrifices], [and other] services entrusted to the <i>kohanim.</i> "
Rashi on Numbers 3:12:1,"<b>Behold, I have taken [the Levites].</b> What is My right to them? <b>From among Bnei Yisroel</b> That the Israelites must hire them to serve Me? Through the [Israelites’] first born, I gained my right to them, having taken them (the Levites) in their place. Because the sacred service was [originally performed] by the firstborn, but when they sinned with the golden calf, they were disqualified. The Levites, who did not indulge in idolatry, were chosen instead. "
Rashi on Numbers 3:12:2,
Rashi on Numbers 3:15:1,"<b>From the age of one month and above.</b> When he (the infant) can no longer be categorized as stillborn, he is listed among those entitled “guardian of the sacred watch.” R’ Yehudah B’rabi Shalom said, “This [Levite] tribe is regularly counted from the womb, as it is said, “. . . [Yocheved, Levi’s daughter] . . . whom she (Levi’s wife) bore to Levi in Egypt . . .” While entering the portals of Egypt, °she bore her (Yocheved). yet she is counted among the seventy souls [who came down to Egypt]. for, when one tallies their total, one finds only sixty-nine and she completed the total. "
Rashi on Numbers 3:16:1,"<b>According to the word of Adonoy.</b> Moshe said before the Holy One, Blessed is He, °”How can I enter into their tents to determine the number of their nursing infants”? The Holy One, Blessed is He, replied, “Do yours, and I will do Mine”! Moshe proceeded, and stood at the door of the tent, whereupon the Divine Presence preceded him [and entered the tent]. A voice then echoed from the tent, announcing, “There are so many and so many nursing infants in this tent”! This is why it is said, “. . . according to the word of God . . .” 
"
Rashi on Numbers 3:21:1,"<b>Of Gershon, the family of Livni.</b> Meaning, of Gershon, those who were counted [was] °the family of Livni and the family of Shim’i — °their numbers were so many and so many. 
"
Rashi on Numbers 3:25:1,<b>The Mishkon.</b> °The lower [ceiling] drapes.
Rashi on Numbers 3:25:2,"<b>And the Tent.</b> °The goats’ hair drapes, made [to serve] as the roof. "
Rashi on Numbers 3:25:3,"<b>Its Cover.</b> °Ram skins and <i>tachash</i> skins. 
"
Rashi on Numbers 3:25:4,<b>And the curtain for the entrance</b> This is °the drape.
Rashi on Numbers 3:26:1,"<b>And its ropes.</b> °Of the <i>Mishkon</i> and the tent, but not the enclosure. "
Rashi on Numbers 3:29:1,"<b>The families of the children of Kehos shall camp . . . on the south.</b> Near them [was] the banner of Reuven, who camped to the south. °Woe to the wicked, woe to his neighbor! This is why [Reuven’s constituents] were punished — Doson, Avirom, °and two hundred and fifty men — together with Korach and his assembly, because they (the Reuvenites) were drawn, with them, into the dispute. "
Rashi on Numbers 3:31:1,"<b>And the curtain.</b> This is the <i>Paroches,</i> as it was also called “. . . the <i>Paroches</i> screen . . .” 
"
Rashi on Numbers 3:32:1,<b>The leader of the leaders of Levi.</b> [He was] °appointed over all of them. Over what was his leadership?
Rashi on Numbers 3:32:2,"<b>The appointment of the guardians to safeguard — </b> They were all appointed by him. 
"
Rashi on Numbers 3:38:1,"<b>Moshe, Aharon and his sons.</b> °Near them [was] the banner of the camp of Yehudah, and those who camped near him, Yissachar and Zevulun. Good fortune to the righteous, good fortune to his neighbor! Because they were neighbors of Moshe, who engaged in Torah [study], they became great Torah scholars, as it is said, “Yehudah my lawgiver”; “From the sons of Yissachar of sagacious knowledge, etc.” — [this refers to] two hundred heads of Sanhedrin; “and from Zevulun, came those that handle the scribe’s quill.” "
Rashi on Numbers 3:39:1,"<b>Whom Moshe and Aharon counted.</b> °There are dots over [the word] וְאַהֲרֹן, to teach that he was not included in the counting of the Levites. "
Rashi on Numbers 3:39:2,"<b>Twenty two thousand.</b> When counting them individually, however, one discovers three hundred extra: the sons of Gershon, seven thousand five hundred; the sons of Kehos, eight thousand six hundred; the sons of Merori, six thousand two hundred [hence, twenty two thousand three hundred]. Why aren’t they included among the rest to redeem the firstborn, thus exempting the two hundred seventy three overlapping firstborn from redemption? Our sages answered, in Maseches Bechoros, that the three hundred Levites were, themselves, firstborn. It was sufficient °for them to release themselves from redemption. "
Rashi on Numbers 3:40:1,"<b>Count every male firstborn . . . from the age of one month and above.</b> When he (the infant) can no longer be categorized as stillborn. 
"
Rashi on Numbers 3:45:1,"<b>And the animals of the Levites . . .etc.</b> The animals of the Levites did not redeem the firstlings of the Israelites’ clean (i.e., kosher) animals, °but [they did redeem] the firstlings of their donkeys. And a single sheep belonging to a Levite released numerous of the Israelites’ donkey firstlings. The proof is that Scripture counts the extra men, °but did not count the extra animals. "
Rashi on Numbers 3:46:1,"<b>And the redemption of the [two hundred and seventy-]three.</b> The firstborn who require redemption among them (the Israelites), these are the two hundred seventy-three extras among them, over and above the Levites. From them, °take five <i>shekolim</i> per head. This was the sale price for Yoseif, twenty silver [pieces], who was Rochel’s firstborn. 
"
Rashi on Numbers 3:49:1,<b>[Those whose numbers were] in excess of those who were redeemed through the Levites.</b> Those redeemed by the very presence of the Levites.
Rashi on Numbers 3:50:1,"<b>One thousand three hundred sixty five.</b> This is the sum total, [at] five <i>shekolim</i> per head. For two hundred firstborn: one thousand <i>shekolim.</i> For seventy firstborn — three hundred and fifty <i>shekolim.</i> For three firstborn — fifteen <i>shekolim.</i> He (Moshe) said, “How shall I do this? Any firstborn whom I tell to pay five <i>shekolim</i> will say, ‘I am from those redeemed by the Levites”’! What did he do? He brought °twenty-two thousand slips and wrote “Levite” on them, and two hundred and seventy three slips and wrote “five <i>shekolim</i>” on them. He mixed them together, and placed them in a container. [Then] he told them, “Come, choose your slips by lot.” 
"
Rashi on Numbers 4:2:1,"<b>Take the count . . . etc.</b> Count those among them suited °for the service of carrying, the ones from thirty to fifty years of age. Someone younger than thirty, has not reached prime strength. From here they (the Rabbis) derive “[the age of] thirty for strength” and after fifty, one’s strength diminishes. 
"
Rashi on Numbers 4:4:1,"<b>The Holy of Holies.</b> The Holiest of all; the Ark, the Table, the Menorah, the Altars, the Paroches, and the service vessels. "
Rashi on Numbers 4:5:1,"<b>Aharon and his sons shall enter . . . etc.</b> They shall place each vessel into the sheath specified for it in this chapter, so that the Levite sons of Kehos need do nothing but carry [them]. "
Rashi on Numbers 4:5:2,"<b>When the camp is about to travel.</b> °When the cloud rises, they know that they are to depart. 
"
Rashi on Numbers 4:7:1,"<b>Molds, spoons, rods, covering props.</b> I have explained this in [the chapter dealing with] the work of the <i>Mishkon.</i> "
Rashi on Numbers 4:7:2,"<b>Covering.</b> Covering, from the word מָסָךְ, cover, as it is written, “. . . by which they (the breads) shall be covered.” "
Rashi on Numbers 4:9:1,<b>Its tongs.</b> A type of pliers with which they pull the wick in any desired direction.
Rashi on Numbers 4:9:2,"<b>Its scoops.</b> A type of small spoon with a flat, uncurved bottom, unwalled at the front — only at the sides, with which he rakes the ashes from the lamps when cleaning them. "
Rashi on Numbers 4:9:3,"<b>It lamps.</b> <i>Loces,</i> lamps, in Old French, °in which the oil and wicks are placed. 
"
Rashi on Numbers 4:10:1,<b>Into the covering of the tachash — hide.</b> A type of °sack.
Rashi on Numbers 4:12:1,"<b>All the service utensils with which they serve in the Sanctuary.</b> °Inside the <i>Mishkon,</i> which is Holy. These are the incense vessels, with which they serve on the inner altar. 
"
Rashi on Numbers 4:13:1,<b>They shall remove the ashes from the Altar. </b> The copper altar.
Rashi on Numbers 4:13:2,<b>They shall remove the ashes.</b> °They shall take the ashes away from it.
Rashi on Numbers 4:13:3,"<b>And spread upon it a cloth of purple [wool].</b> The fire which descended from heaven lay below the cloth °like a lion when they traveled. It didn’t burn it (the cloth), because they arched a copper °vessel over it. "
Rashi on Numbers 4:14:1,"<b>Firepans.</b> With these they raked the coals for the lifting of the ashes. This was made like a pan with only three sides, and the front was used to draw the coals. "
Rashi on Numbers 4:14:2,"<b>Forks.</b> Copper hooks with which they prodded the limbs on the altar, turning them so that they would be completely consumed quickly. "
Rashi on Numbers 4:14:3,"<b>Scoops.</b> These were scrapers, In Old French, <i>Wadil,</i> scoops. They were made of copper, and used to sweep the ashes from the Altar. "
Rashi on Numbers 4:15:1,<b>Covering of the Sanctuary.</b> The Ark and the Altar.
Rashi on Numbers 4:15:2,<b>And all of the holy utensils.</b> °The Menorah and the service vessels.
Rashi on Numbers 4:15:3,"<b>And they will [not] die.</b> °Since, if they touch, they will be subject to death by Heavenly decree. "
Rashi on Numbers 4:16:1,"<b>Encharged to Elazar.</b> He was assigned °to carry them; oil, incense, and anointing oil. The continual [daily] meal-offering. His responsibility was to issue orders, to urge [the others], and to offer it [on the altar] when they camped. 
"
Rashi on Numbers 4:16:2,"<b>The charge of the entire Mishkon.</b> In addition, he was assigned to [oversee] the load of the sons of Kehos — °to issue orders for everyone’s work and load. This is [what is meant by] “the <i>Mishkon and all of its contents,” everything listed above in this chapter. But the load of the sons of Gershon and Merori, which did not consist of the holy of holies, was by order of Isamar, as is written in the portion of נָשׂא . 
</i>"
Rashi on Numbers 4:18:1,<b>Do not cut off.</b> °Do not cause them to die.
Rashi on Numbers 4:20:1,"<b>They shall not come in to see when the holy is being covered.</b> [When placed] into its sheath, as specified above in this chapter, they shall spread over it a certain cloth, they shall cover it with a certain cover. °Its “ בִּלּוּעַ “ refers to the covering of it. 
"
Rashi on Numbers 4:20:2,
Rashi on Numbers 4:22:1,"<b>Take the count of the sons of Gershon, as well.</b> °Just as I commanded you conce ning the sons of Kehos, to determine how many °have reached the working category. "
Rashi on Numbers 4:25:1,<b>The tapestries of the Mishkon.</b> °The ten lower ones.
Rashi on Numbers 4:25:2,"<b>And the Tent of Meeting.</b> The °goat-hair tapestries, made as a tent over it (the <i>Mishkon</i>). "
Rashi on Numbers 4:25:3,<b>Its covering.</b> The °red dyed rams’ skins.
Rashi on Numbers 4:25:4,"<b>The screen for the entrance.</b> °The eastern curtain. 
"
Rashi on Numbers 4:26:1,"<b>Which are over the Mishkon.</b> As if it had said, “The curtains and screen of the courtyard enclosure which protect and °guard over the <i>Mishkon 
and °the copper altar on all sides.” 
</i>"
Rashi on Numbers 4:26:2,"<b>And all that will be given [lit. made] to them.</b> As Targum [Onkelos] translates, °”all that will be given to them” — to the sons of Gershon. "
Rashi on Numbers 4:27:1,"<b>By instruction of Aharon and [one of] his sons.</b> Which of his sons is °appointed over them? Under the supervision of Isamar, son of Aharon, the <i>kohein.</i> 
"
Rashi on Numbers 4:32:1,"<b>Their stakes and ropes.</b> Of the pillars, since the the stakes and ropes of the curtains were in the load of the sons of Gershon. There were stakes and ropes at the bottom of the tapestries and curtains, so that the wind would not lift them; and there were stakes °and ropes for the pillars, on all sides, from which to hang the curtains, °by their upper border, with bars °and rods, as is taught in [the Beraysa of] the work of the <i>Mishkon.</i> 
 "
Rashi on Numbers 4:47:1,"<b>The service of service.</b> This refers to the song of the cymbals and the harps, which is °service for [another] service. "
Rashi on Numbers 4:47:2,<b>And the service of carrying.</b> °As the phrase indicates.
Rashi on Numbers 4:49:1,"<b>And they were counted, as Adonoy commanded Moshe.</b> Those counted were, as commanded, °from the ages of thirty to fifty. 
"
Rashi on Numbers 5:2:1,"<b>Command Bnei Yisroel.</b> °This <i>parshah</i> was said on the day the <i>Mishkon</i> was erected. Eight <i>parshiyos</i> were said on that day, as is stated in Tractate Gittin, <i>perek</i> Hanizakin. "
Rashi on Numbers 5:2:2,"<b>They must expel from the camp.</b> There were °three camps when they rested: Within the curtains was the camp of the <i>Shechinah;</i> the surrounding Levite encampment, as stated expressly in the <i>parshah</i> of Bemidbar Sinai, was the camp of the Levites; from there to the end of the encampment of the banners, in all the four directions, was the camp of the Israelites. The <i>metzoro</i> was sent °out of all of them. The <i>zav</i> was permitted in the camp of the Israelites, but expelled from the [other] two. A person defiled by the dead was permitted even among the [encampment of] the Levites, being expelled only °from the encampment of the <i>Shechinah.</i> All this, the Rabbis derive from Scriptural passages in Maseches Pesachim. "
Rashi on Numbers 5:2:3,"<b>Defiled by a [departed] soul.</b> [Onkelos renders] דִּמְסָאָב לִטְמֵי נַפְשָׁא דֶאֱנָשָׁא, (“who were defiled by the bones of a human soul.”) In my opinion, the word °means “human bones” in Aramaic. There are many [examples] in Bereishis Rabbah, “ טַמְיָא “ אַדְרִיאָנוּס שְׁחִיק — may [his] “bones” be crushed. 
"
Rashi on Numbers 5:6:1,"<b>Acting treacherously against Adonoy.</b> Scripture now reiterates the <i>parshah</i> of the thief who swears falsely, previously stated in the Portion of Vayikra, “[If a person sins] . . . and acts treacherously against God, lying to his fellow . . .” It is repeated here for the sake of two innovations. Firstly, Scripture writes “And they confess . . . [their sin],” teaching that he (the thief) is not required to pay the fifth and bring the <i>asham</i> (guilt-offering) when convicted by the testimony of witnesses, unless he confesses to the act. And secondly, [to teach] that property stolen from a proselyte must be given to the <i>kohanim.</i> "
Rashi on Numbers 5:7:1,<b>Principal amount of his guilt.</b> °This is the principal [payment] concerning which he took the oath.
Rashi on Numbers 5:7:2,<b>To whom he is indebted.</b> To the one °to whom he is liable.
Rashi on Numbers 5:8:1,<b>But if the man has no redeemer.</b> As the claimant died who put him (the thief) to the oath — without heirs.
Rashi on Numbers 5:8:2,"<b>To whom the debt may be returned.</b> °When he (the thief) recants and confesses to his crime. The Rabbis remark, ‘Is there anyone in Yisroel without redeemers, whether a son, brother, or paternal blood relation [branching] upward to [the patriarch] Yaakov? But °[this refers to] a proselyte who died without heirs. "
Rashi on Numbers 5:8:3,<b>The debt being returned.</b> °This is the principal and the fifth thereof.
Rashi on Numbers 5:8:4,"<b>To Adonoy, [then] to the kohein.</b> God takes possession of it, °then gives it to the <i>kohein [serving] °in that watch. </i>"
Rashi on Numbers 5:8:5,"<b>Besides the ram of forgiveness.</b> °Mentioned in Vayikra, which he is required to bring. "
Rashi on Numbers 5:9:1,"<b>Every terumah-gift, etc.</b> R’ Yishmael said, “Is <i>terumah</i>-gift brought to the <i>kohein</i>? Does he not seek it, himself, in the granary? Then why does the Torah state, ‘ . . . which they bring to the <i>kohein</i>?’ These are the <i>bikurim</i>-gifts, about which it is stated, ‘[. . . the first fruits of your land] must be brought to the House of Adonoy, your God.’ °But one does not know what must be done with them. The Torah therefore states, ‘ . . . to the <i>kohein,</i> it shall belong to him.’ Scripture teaches, concerning the <i>bikurim</i>-gifts, that they must be given to the <i>kohein.</i> "
Rashi on Numbers 5:10:1,"<b>A man’s sacred objects shall be his.</b> Since the priestly and Levite gifts are mandated, one might assume that they may confiscate them forcefully. The Torah therefore teaches that “A man’s sacred objects shall be his,” °informing [us] that the executory benefits belong to the [original Israelite] owner. Many other homiletical interpretations are offered by Sifri. Midrash Aggadah [states], “A man’s sacred objects shall be his” [states]: If someone withholds his tithes, and refuses to give them, [then] “[they shall] be his” — the tithes. Ultimately, his land will yield only one tenth of its normal produce. 
"
Rashi on Numbers 5:10:2,<b>Whatever a man gives to the kohein [lit. A man who gives to the <i>kohein].</i></b><i> The proper gifts. </i>
Rashi on Numbers 5:10:3,<b>Shall be his.</b> Great riches.
Rashi on Numbers 5:12:1,"<b>If any man’s wife goes astray.</b> °What is written [immediately] above this subject? “A man’s sacred objects shall be his.” (v. 10) [This implies that] If you withhold the <i>kohein’s</i> gifts, then by your life! You will find it necessary to visit him, to bring the <i>sotah</i> to him. "
Rashi on Numbers 5:12:2,"<b>Any man [lit. A man, a man].</b> This teaches that she is doubly treacherous; against the “man of warfare” on high, and her husband [lit. “man”] below. "
Rashi on Numbers 5:12:3,"<b>[If any man’s] wife goes astray.</b> Our Rabbis teach: Adulterers do not commit adultery unless they are imbued with the °spirit of foolishness, as it is written כִּי תִשְׂטֶה [lit. acts foolishly]. and it is written, “the adulterer lacks reason”: The simple explanation of the verse is, “[If any man’s wife] °turns aside from the ways of modesty” and arouses his suspicion, as in “turn aside from him, and pass by,” “let your heart not turn to her ways. "
Rashi on Numbers 5:12:4,"<b>And acts treacherously toward him.</b> °What is the treachery? 
"
Rashi on Numbers 5:13:1,<b>And a man has lain.</b> This excludes a minor and a non-human.
Rashi on Numbers 5:13:2,"<b>With her.</b> °Lying with her disqualifies her. but not laying with her sister (as in the incident of two sisters who resembled one another). 
"
Rashi on Numbers 5:13:3,"<b>But it was hidden from her husband’s eyes.</b> °This excludes a blind man. Therefore, if he (the husband) saw [the adultery] and feigned ignorance, the [bitter] waters do not test her. "
Rashi on Numbers 5:13:4,<b>She was concealed.</b> °Long enough to have been defiled by intercourse.
Rashi on Numbers 5:13:5,"<b>There is no witness against her.</b> But if °even one witness testified that she was defiled [by intercourse], she did not drink [the bitter waters]. "
Rashi on Numbers 5:13:6,"<b>There is no witness against her.</b> To the defilement, but there are witnesses to the concealment. "
Rashi on Numbers 5:13:7,"<b>Seized forcibly.</b> °Ravished, as in, “. . . siezed her forcibly and laid with her.” "
Rashi on Numbers 5:14:1,<b>Comes upon him.</b> °Before the concealment.
Rashi on Numbers 5:14:2,"<b>A spirit of jealousy, and he is jealous.</b> The Rabbis interpret this as “warning.” He warns her not to be alone with a certain man, "
Rashi on Numbers 5:14:3,"<b>And she was defiled. Or, comes upon him . . . etc.</b> As if it had said, ‘he warned her and she ignored the warning, but °it is not known whether or not she was defiled.’ "
Rashi on Numbers 5:15:1,<b>flour.</b> °But not of fine flour.
Rashi on Numbers 5:15:2,"<b>Barley.</b> But not wheat. [Because] she acted like an animal, her offering consists of animal feed. "
Rashi on Numbers 5:15:3,"<b>He shall not pour oil over it.</b> So that her offering may not be resplendent. for, [olive] oil is °identified as light, while she acted in darkness. "
Rashi on Numbers 5:15:4,"<b>He shall not put frankincense on it.</b> The matriarchs are called “frankincense,” as it is said, “. . . and to the hill of frankincense,” but she departed from their ways. "
Rashi on Numbers 5:15:5,<b>For it is a meal-offering of jealousy.</b> This meal. “Meal” is masculine.
Rashi on Numbers 5:15:6,"<b>A meal-offering of jealousy (wrath).</b> She arouses a double wrath against her; the wrath of the Supreme Omnipresent Being, and the wrath of her husband. "
Rashi on Numbers 5:17:1,"<b>Sanctified waters.</b> Sanctified in the wash basin. Because the wash basin was made from the copper of the “multitude mirrors,” while this [<i>sotah</i>] departed from their ways. They had relations with their husbands in Egypt beneath the apple tree, but this [<i>sotah</i>] corrupted herself with a stranger — let her be tested by it (the wash basin). "
Rashi on Numbers 5:17:2,"<b>In a clay utensil.</b> She served the adulterer excellent wine in superb goblets — therefore, let her drink the bitter water in a wretched clay cup. "
Rashi on Numbers 5:18:1,"<b>The kohein shall station . . . etc., </b> Has it not already said, ‘ . .and station her before Adonoy’? (V. 16) °But, they moved her from place to place to exhaust her, so that she might lose her composure and confess. "
Rashi on Numbers 5:18:2,"<b>Expose.</b> °He disentangles the plaits of her hair, to humiliate her. From this we derive that, for daughters of Yisroel, a bared head is °debasing. "
Rashi on Numbers 5:18:3,"<b>Before Adonoy.</b> °At the <i>Nikanor</i> gate. This was the eastern gateway to the [Temple] courtyard, the route by which everyone entered. "
Rashi on Numbers 5:18:4,"<b>And place, on her palms.</b> °To exhaust her, [in the hope] that she might lose her composure and confess, °so that the Sacred Name not be erased in the water. "
Rashi on Numbers 5:18:5,"<b>The bitter.</b> °Because of their aftermath, when they are bitter to her. "
Rashi on Numbers 5:18:6,"<b>Lethal.</b> Which eliminate her from the world, like the phrase, “. . . lethal thornbush.” But it is inappropriate to translate “accursed waters,” as they are sacred [v.17]. And Scripture does not write אֲרוּרִים, but מְאָרְרִים — affecting others. Even Onkelos did not translate לִיטַיָּא, “accursed,” but מְלַטְטַיָּא, “curse causing” — they reveal the curse in the body of this [<i>sotah</i>]. "
Rashi on Numbers 5:19:1,"<b>Shall place her under oath . . . etc. </b> What is the oath? °‘If no [man] laid [with you], be absolved but if he laid [with you], may you choke’! A negative statement expresses, by implication, its positive converse, but we are commanded to open capital cases with the presumption of innocence. "
Rashi on Numbers 5:20:1,<b>If you have gone astray.</b> כִּי is used °in the sense of “if.”
Rashi on Numbers 5:21:1,<b>With the oath of accursedness.</b> The oath which contains the curse.
Rashi on Numbers 5:21:2,<b>Adonoy shall make you a curse:</b> Everyone will curse through you: ‘May [a curse] befall you °the way it befell so-and-so.’
Rashi on Numbers 5:21:3,"<b>And an oath.</b> Everyone will swear through you: ‘If [my oath is] not [true], may [disaster] happen to me the way it happened to so-and-so. Similarly, it says, “you will leave your names [to be used] as an oath by My chosen.” — the virtuous swear by the punishment of the wicked. Similarly, with regard to blessings, “and through you will be blessed . . . etc., “through you shall [the People of] Yisroel bless, saying. . .” "
Rashi on Numbers 5:21:4,"<b>Your thigh.</b> In the curse, the thigh precedes the abdomen, because her transgression began there. "
Rashi on Numbers 5:21:5,"<b>Swell.</b> As Targum [Onkelos] translates, “swollen.” 
"
