Index Title,Rashi on Leviticus
Rashi on Leviticus 1:3:3,"<b>אל פתח אהל מועד.</b> מטפל בהבאתו °עד העזרה. מהו אומר יקריב יקריב, °אפילו נתערבה עולת ראובן בעולת שמעון יקריב כל אחד, לשם מי שהוא, וכן עולה בחולין ימכרו החולין לצרכי עולות, והרי הן כולן עולות, ותקרב כל אחת לשם מי שהוא, יכול אפילו נתערבה °בפסולין או °בשאינו מינו, תלמוד לומר יקריבנו: "
Rashi on Leviticus 1:3:4,"<b>יקריב אותו.</b> מלמד °שכופין אותו, יכול °בעל כרחו תלמוד לומר לרצונו, הא כיצד, כופין אותו עד שיאמר רוצה אני <small>(ראש השנה ו.)</small>: "
Rashi on Leviticus 1:3:5,<b>לפני ה' וסמך.</b> °אין סמיכה בְּבָמָה:
Rashi on Leviticus 1:4:1,"<b>על ראש העלה.</b> להביא עולת חובה °לסמיכה, ולהביא עולת הצאן: "
Rashi on Leviticus 1:4:2,<b>העלה.</b> פרט לעולת העוף:
Rashi on Leviticus 1:4:3,"<b>ונרצה לו.</b> על מה הוא מרצה לו, אם תאמר על כריתות ומיתות ""ד, או מיתה בידי שמים, או מלקות, הרי עונשן אמור, הא אינו מרצה אלא על עשה, ועל °לאו שנתק לעשה: "
Rashi on Leviticus 1:5:1,"<b>ושחט והקריבו הכהנים.</b> מִקַּבָּלָה ואילך מצות כהונה, למד על השחיטה °שכשרה בזר: 
"
Rashi on Leviticus 1:5:2,<b>לפני ה'.</b> °בעזרה:
Rashi on Leviticus 1:5:3,"<b>והקריבו.</b> זו קבלה שהיא הראשונה, ומשמעה °לשון הולכה, למדנו שתיהן (ס""א ששתיהן) בבני אהרן <small>(חגיגה יא.)</small>: "
Rashi on Leviticus 1:5:4,"<b>בני אהרן.</b> °יכול חללים, תלמוד לומר הכהנים: "
Rashi on Leviticus 1:5:5,"<b>את הדם וזרקו את הדם.</b> מה תלמוד לומר דם דם ב' פעמים, להביא את °שנתערב במינו או בשאינו מינו, יכול אף בפסולים, או °בחטאות הפנימיות, או בחטאות °החצוניות, °שאלו למעלה והיא למטה, תלמוד לומר במקום אחר אֶת °דָּמוֹ <small>(פסוק יא)</small>: "
Rashi on Leviticus 1:5:6,"<b>וזרקו.</b> °עומד למטה, וזורק מן הכלי לכותל המזבח למטה מחוט הסיקרא כנגד הזויות, לכך נאמר סביב, שיהא הדם ניתן בד' רוחות המזבח, או יכול יקיפנו כחוט, תלמוד לומר וזרקו, ואי אפשר להקיף בזריקה, אי וזרקו יכול בזריקה אחת, תלמוד לומר סביב, הא כיצד, נותן °שתי מתנות שהן ד': "
Rashi on Leviticus 1:5:7,"<b>אשר פתח אהל מועד.</b> °ולא בזמן שהוא מפורק: 
"
Rashi on Leviticus 1:6:1,"<b>והפשיט את העולה.</b> מה תלמוד לומר העולה, °לרבות את כל העולות להפשט ונתוח: "
Rashi on Leviticus 1:6:2,<b>אותה לנתחיה.</b> °ולא נתחיה לנתחים <small>(חולין יא.)</small>:
Rashi on Leviticus 1:7:1,"<b>ונתנו אש.</b> אף על פי שהאש יורדת מן השמים, °מצוה להביא מן ההדיוט: "
Rashi on Leviticus 1:7:2,"<b>בני אהרן הכהן.</b> כשהוא °בכיהונו, הא אם עבד בבגדי כהן הדיוט, עבודתו פסולה: "
Rashi on Leviticus 1:8:1,"<b>בני אהרן הכהנים.</b> כשהם בכיהונם, הא כהן הדיוט שעבד בשמונה בגדים, עבודתו פסולה: "
Rashi on Leviticus 1:8:2,"<b>את הנתחים את הראש.</b> לפי שאין הראש בכלל הפשט, °שכבר הותז בשחיטה, לפיכך הוצרך למנותו לעצמו <small>(חולין כז.)</small>: "
Rashi on Leviticus 1:8:3,"<b>ואת הפדר.</b> למה נאמר, ללמדך שמעלהו עם הראש °ומכסה בו את בית השחיטה, וזהו דרך כבוד של מעלה: "
Rashi on Leviticus 1:8:4,<b>אשר על המזבח.</b> שלא יהיו הַגְּזִירִין °יוצאין חוץ למערכה:
Rashi on Leviticus 1:9:1,<b>עולה.</b> °לשם עולה יקטירנו:
Rashi on Leviticus 1:9:2,"<b>אשה.</b> כשישחטנו יהא שוחטו °לשם האש, וכל אשה לשון אש, פושיי""ר בלע""ז: "
Rashi on Leviticus 1:9:3,"<b>ניחוח.</b> °נחת רוח לְפָנַי, שאמרתי ונעשה רצוני: "
Rashi on Leviticus 1:10:1,"<b>ואם מן הצאן.</b> °וי""ו מוסיף על ענין ראשון, °ולמה הפסיק, ליתן ריוח למשה להתבונן בין פרשה לפרשה: "
Rashi on Leviticus 1:10:2,"<b>מן הצאן מן הכשבים או מן העזים.</b> הרי אלו ג' מיעוטין, °פרט לזקן לחולה ולמזוהם: 
"
Rashi on Leviticus 1:11:1,<b>על ירך המזבח.</b> °על צד המזבח:
Rashi on Leviticus 1:11:2,"<b>צפונה לפני ה'.</b> ואין צפון בבמה: 
"
Rashi on Leviticus 1:11:3,
Rashi on Leviticus 1:14:1,"<b>מן העוף.</b> °ולא כל העוף. לפי שנאמר תָּמִים זָכָר בַּבָּקָר בַּכְּשָׂבִים וּבָעִזִּים <small>(להלן כב, יט)</small>, תמות וזכרות בבהמה, ואין תמות וזכרות בעופות, יכול אף מחוסר אבר, תלמוד לומר מן העוף: "
Rashi on Leviticus 1:14:2,<b>התורים.</b> °גדולים ולא קטנים:
Rashi on Leviticus 1:14:3,<b>בני היונה.</b> קטנים ולא גדולים:
Rashi on Leviticus 1:14:4,"<b>מן התורים או מן בני היונה.</b> °פרט לתחלת הציהוב, שבזה ושבזה שהוא פסול, שהוא גדול אצל בני יונה וקטן אצל תורים: "
Rashi on Leviticus 1:15:1,<b>והקריבו.</b> אפילו °פרידה אחת יביא:
Rashi on Leviticus 1:15:2,"<b>הכהן ומלק.</b> אין מליקה בכלי, אלא °בעצמו של כהן, קוצץ בצפרנו °ממול העורף וחותך מפרקת עד שמגיע לסימנין וקוצצן: 
"
Rashi on Leviticus 1:15:3,"<b>ונמצה דמו.</b> לשון מִיץ אַפַּיִם <small>(משלי ל, ג)</small>, כִּי אָפֵס הַמֵּץ <small>(ישעיה טז, ד)</small>, כובש בית השחיטה על קיר המזבח, והדם מתמצה ויורד: "
Rashi on Leviticus 1:15:4,"<b>ומלק והקטיר ונמצה.</b> אפשר לומר כן, °מאחר שהוא מקטיר הוא מוצה, אלא מה הקטרה הראש בעצמו והגוף בעצמו וכו', °אף מליקה כן. ופשוטו של מקרא °מסורס הוא ומלק והקטיר, וקודם הקטרה ונמצה דמו כבר: "
Rashi on Leviticus 1:16:1,"<b>מראתו.</b> °מקום הרעי, וזה הזפק: "
Rashi on Leviticus 1:16:2,"<b>בנוצתה.</b> עם בני מעיה <small>(זבחים סד:)</small>, ונוצה לשון דבר המאוס, כמו כִּי נָצוּ גַּם נָעוּ <small>(איכה ד, טו)</small>, וזהו שתרגם אונקלוס בְּאוּכְלֵיהּ, וזה מדרשו של אבא יוסי בן חנן, שאמר, נוטל את הקורקבן עמה. ורבותינו ז""ל אמרו, קודר סביב הזפק בסכין כעין ארובה ונוטלו עם הנוצה שעל העור <small>(זבחים סה.)</small>. בעולת בהמה שאינה אוכלת אלא באבוס בעליה, נאמר והקרב והכרעים ירחץ במים, והקטיר, בעוף שנזון מן הגזל, נאמר, והשליך את המעים שאכלו מן הגזל: "
Rashi on Leviticus 1:16:3,<b>אצל המזבח קדמה.</b> °במזרחו של כבש:
Rashi on Leviticus 1:16:4,"<b>אל מקום הדשן.</b> מקום שנותנין שם תרומת הדשן בכל בוקר, ודישון מזבח הפנימי, והמנורה, וכולם °נבלעים שם במקומן <small>(יומא כא.)</small>: "
Rashi on Leviticus 1:17:1,"<b>ושסע.</b> אין שיסוע אלא ביד, וכן הוא אומר בשמשון וַיְשַׁסְּעֵהוּ כְּשַׁסַּע הַגְּדִי <small>(שופטים יד, ו — זבחים סה:)</small>: "
Rashi on Leviticus 1:17:2,"<b>בכנפיו.</b> עם כנפיו, אינו צריך למרוט כנפי נוצתו: "
Rashi on Leviticus 1:17:3,"<b>בכנפיו.</b> נוצה ממש. והלא אין לך הדיוט שמריח ריח רע של כנפים נשרפים ואין נפשו קצה עליו, ולמה אמר הכתוב והקטיר, כדי שיהא המזבח שָׂבֵעַ ומהודר בקרבנו של עני: "
Rashi on Leviticus 1:17:4,"<b>לא יבדיל.</b> אינו מפרקו לגמרי לב' חתיכות, אלא קורעו מגבו. נאמר בעוף ריח ניחוח <small>(פסוק ט)</small>, ונאמר בבהמה ריח ניחוח, לומר לך אחד המרבה ואחד הממעיט ובלבד שיכוין את לבו לשמים: "
Rashi on Leviticus 2:1:1,"<b>ונפש כי תקריב.</b> לא נאמר נפש בכל קרבנות נדבה אלא במנחה, מי דרכו להתנדב מנחה, עני, אמר הקב""ה מעלה אני עליו כאילו הקריב נפשו <small>(מנחות קד:)</small>: "
Rashi on Leviticus 2:1:2,"<b>סלת יהיה קרבנו.</b> האומר הרי עלי °מנחה סתם, מביא מנחת סלת, °שהיא הראשונה שבמנחות <small>(שם)</small> ונקמצת כשהיא סלת, כמו שמפורש בענין. לפי שנאמרו כאן ה' מיני מנחות, וכולן באות אפויות קודם קמיצה חוץ מזו, לכך קרויה מנחת סלת: "
Rashi on Leviticus 2:1:3,"<b>סלת.</b> אין סלת אלא מן החטין, שנאמר סֹלֶת חִטִּים <small>(שמות כט, ב)</small>, ואין מנחה פחותה מעשרון, שנאמר וְעִשָׂרֹון סֹלֶת לְמִנְחָה <small>(להלן יד, כא)</small>, עשרון לכל מנחה: 
"
Rashi on Leviticus 2:1:4,<b>ויצק עליה שמן.</b> על כולה:
Rashi on Leviticus 2:1:5,"<b>ונתן עליה לבונה.</b> על מקצתה, מניח קומץ לבונה עליה לצד אחד, ומה ראית לומר כן, שאין ריבוי אחר ריבוי בתורה °אלא למעט ד""א שמן על כולה מפני שהוא נבלל עמה, ונקמץ עמה, כמו שנאמר °מסלתה ומשמנה, ולבונה על מקצתה שאינה נבללת עמה ולא נקמצת עמה, שנאמר על כל לבונתה, שלאחר שקמץ מלקט את הלבונה כולה מעליה, ומקטירה: "
Rashi on Leviticus 2:1:6,"<b>ויצק ונתן והביאה.</b> מלמד שיציקה וּבְלִילָה °כשרים בזר: 
"
Rashi on Leviticus 2:1:7,
Rashi on Leviticus 2:2:1,<b>הכהנים וקמץ.</b> מקמיצה ואילך מצות כהונה:
Rashi on Leviticus 2:2:2,"<b>וקמץ משם.</b> ממקום שרגלי הזר עומדות, ללמדך שהקמיצה כשרה בכל מקום בעזרה, אף בי""א אמה של מקום דריסת רגלי ישראל <small>(יומא טז:)</small>: "
Rashi on Leviticus 2:2:3,"<b>מלא קמצו.</b> יכול מְבֹרָץ, °מְבַצְבֵּץ ויוצא לכל צד, תלמוד לומר במקום אחר וְהֵרִים מִמֶּנּוּ בְּקֻמְצוֹ <small>(להלן ו, ח)</small>, לא יהא כשר אלא מה שבתוך הקומץ, אי בקמצו יכול חסר, תלמוד לומר מלא, הא כיצד, חופה °ג' אצבעותיו על פס ידו <small>(מנחות יא.)</small>, °וזהו קומץ במשמע, לשון העברית: "
Rashi on Leviticus 2:2:4,<b>על כל לבונתה.</b> לבד כל הלבונה יהא הקומץ מלא:
Rashi on Leviticus 2:2:5,<b>לבונתה והקטיר.</b> אף הלבונה °בהקטרה:
Rashi on Leviticus 2:2:6,<b>מלא קמצו מסלתה ומשמנה.</b> הא אם קמץ ועלה בידו גרגיר מלח או °קורט לבונה פסולה:
Rashi on Leviticus 2:2:7,"<b>אזכרתה.</b> הקומץ העולה לגבוה הוא זכרון המנחה, שבו נזכר בעליה לטובה ולנחת רוח: 
"
Rashi on Leviticus 2:3:1,"<b>לאהרן ולבניו.</b> כהן גדול נוטל °חלק בראש שלא במחלוקת, וההדיוט במחלוקת: "
Rashi on Leviticus 2:3:2,<b>קדש קדשים.</b> היא להם:
Rashi on Leviticus 2:3:3,"<b>מאשי ה'.</b> אין להם חלק בה אלא °לאחר מתנות האישים: 
"
Rashi on Leviticus 2:4:1,"<b>וכי תקריב וגו'.</b> שאמר הרי עלי מנחת °מאפה תנור, ולימד הכתוב שיביא או חלות °או רקיקין, החלות בלולות, והרקיקין משוחין <small>(מנחות עד:)</small>, °ונחלקו רבותינו במשיחתן <small>(שם עה.)</small>, יש אומרים מושחן וחוזרן ומושחן עד שיכלה כל השמן שבלוג, שכל המנחות טעונות לוג שמן, ויש אומרים מושחן כמין כף יונית, ושאר השמן נאכל בפני עצמו לכהנים, מה תלמוד לומר בשמן בשמן שני פעמים, °להכשיר שמן שני ושלישי היוצא מן הזיתים, ואין צריך שמן ראשון אלא למנורה שנאמר בו זך. ושנינו במנחות <small>(עו.)</small> כל המנחות האפויות לפני קמיצתן ונקמצות על ידי פתיתה כולן באות עשר °עשר חלות, והאמור בה רקיקין בא עשר רקיקין: "
Rashi on Leviticus 2:5:1,"<b>ואם מנחה על המחבת.</b> שאמר הרי עלי מנחת מחבת, וכלי הוא שהיה במקדש שאופין בו מנחה על האור בשמן, והכלי אינו עמוק אלא צף, ומעשה המנחה שבתוכו קשין, שמתוך שהיא צפה °האור שורף את השמן <small>(מנחות סג.)</small>, וכולן טעונות ' מתנות, שמן °יציקה, ובלילה, °ומתן שמן בכלי, קודם לעשייתן: "
Rashi on Leviticus 2:5:2,<b>סלת בלולה בשמן.</b> מלמד שבוללן בעודן סלת:
Rashi on Leviticus 2:6:1,<b>פתות אותה פתים.</b> °לרבות כל המנחות הנאפות קודם קמיצה לפתיתה <small>(שם עה.)</small>:
Rashi on Leviticus 2:6:2,"<b>ויצקת עליה שמן מנחה הוא.</b> לרבות כל המנחות ליציקה, °יכול אף מנחת מאפה תנור כן, תלמוד לומר עליה, אוציא את החלות ולא אוציא את הרקיקין, תלמוד לומר הוא: "
Rashi on Leviticus 2:7:1,"<b>מרחשת.</b> כלי הוא שהיה במקדש עמוק, ומתוך שהיא עמוקה שַׁמְנָהּ צָבוּר ואין הָאוּר שורפו, לפיכך מעשה מנחה העשויין לתוכה רוחשין, כל דבר רך ע""י משקה נראה כרוחש ומנענע: "
Rashi on Leviticus 2:8:1,<b>אשר יעשה מאלה.</b> °מאחד מן המינים הללו:
Rashi on Leviticus 2:8:2,"<b>והקריבה.</b> °בעליה אל הכהן: 
"
Rashi on Leviticus 2:8:3,<b>והגישה.</b> הכהן:
Rashi on Leviticus 2:8:4,<b>אל המזבח.</b> מגישה °לקרן דרומית מערבית של מזבח <small>(זבחים סג:)</small>:
Rashi on Leviticus 2:9:1,<b>את אזכרתה.</b> הוא °הקומץ:
Rashi on Leviticus 2:11:1,<b>וכל דבש.</b> כל °מתיקת פרי קרוי דבש:
Rashi on Leviticus 2:11:2,
Rashi on Leviticus 2:12:1,"<b>קרבן ראשית תקריבו.</b> מה יש לך להביא מן השאור ומן הדבש, קרבן ראשית, שתי הלחם של עצרת הבאים מן השאור, שנאמר חָמֵץ תֵּאָפֶינָה <small>(להלן כג, יז)</small>, ובכורים מן הדבש, כמו בכורי תאנים ותמרים <small>(מנחות נח.)</small>: "
Rashi on Leviticus 2:13:1,"<b>מלח ברית.</b> שהברית כרותה למלח מששת ימי בראשית שהובטחו המים התחתונים ליקרב במזבח במלח, °וניסוך המים בחג: 
"
Rashi on Leviticus 2:13:2,"<b>על כל קרבנך.</b> על עולת בהמה ועוף, ואמורי כל הקדשים כולן <small>(מנחות כ.)</small>: 
"
Rashi on Leviticus 2:14:1,"<b>ואם תקריב.</b> הרי אם משמש °בלשון כי, שהרי אין זה רשות, שהרי במנחת העומר הכתוב מדבר שהיא חובה, וכן °וְאִם יִהְיֶה הַיּוֹבֵל וגו' <small>(במדבר לו, ב)</small>: "
Rashi on Leviticus 2:14:2,"<b>מנחת בכורים.</b> במנחת העומר הכתוב מדבר, שהיא °באה אביב בשעת בישול התבואה, ומן השעורים היא באה, נאמר כאן אביב, ונאמר להלן כי השעורה אביב <small>(מנחות סח:)</small>: "
Rashi on Leviticus 2:14:3,"<b>קלוי באש.</b> שמיבשין אותו על האור באבוב של קַלָּאִים, (פירש""י במנחות שם הכלי של מוכרי קליות) שאלולי כן אינה נטחנת בריחים לפי שהיא לחה: "
Rashi on Leviticus 2:14:4,<b>גרש כרמל.</b> גרוסה בעודה לחה:
Rashi on Leviticus 2:14:5,"<b>גרש.</b> לשון שבירה וטחינה גורסה בריחים של גרוסות, כמו וַיַּגְרֵס בֶּחָצָץ <small>(איכה ג, טז)</small>, וכן גָּרְסָה נַפְשִׁי <small>(תהלים קיט, כ)</small>: "
Rashi on Leviticus 2:14:6,"<b>כרמל.</b> בעוד הכר מלא <small>(מנחות סו:)</small>, שהתבואה לחה ומלאה בקשין שלה, ועל כן נקראים המלילות °כרמל, וכן כַּרְמֶל בְּצִקְלוֹנוֹ <small>(מלכים־ב ד, מב)</small>: "
Rashi on Leviticus 3:1:1,<b>שלמים.</b> שמטילים שלום בעולם. דבר אחר שלמים שיש בהם שלום למזבח ולכהנים ולבעלים:
Rashi on Leviticus 3:3:1,"<b>ואת כל החלב וגו'.</b> להביא °חֵלֶב שעל ַקֵּבָה דברי רבי ישמעאל, רבי עקיבא אומר, להביא חֵלֶב שעל הדקין: 
"
Rashi on Leviticus 3:4:1,"<b>הכסלים.</b> (פלנקי""ן בלע""ז) שהחלב שעל הכליות כשהבהמה חיה הוא בגובה הכסלים, והם מלמטה, וזהו החלב שתחת המתנים שקורין בלע""ז לונבילו""ש, לובן הנראה למעלה בגובה הכסלים, ובתחתיתו הבשר חופהו: "
Rashi on Leviticus 3:4:2,"<b>היותרת.</b> היא דופן °המסך שקורין איברי""ש, ובלשון ארמי חַצְרָא דְכַבְדָא: "
Rashi on Leviticus 3:4:3,"<b>על הכבד.</b> שיטול °מן הכבד עמה מעט, °ובמקום אחר הוא אומר וְאֶת הַיֹּתֶרֶת מִן הַכָּבֵד: "
Rashi on Leviticus 3:4:4,"<b>על הכבד על הכליות.</b> °לבד מן הכבד, ולבד מן הכליות יסירנה לזו: "
Rashi on Leviticus 3:5:1,"<b>על העולה.</b> מלבד העולה, למדנו שתקדים עולת תמיד°לכל קרבן, על המערכה: "
Rashi on Leviticus 3:7:1,"<b>אם כשב.</b> לפי שיש באימורי הכשב מה שאין באימורי העז, שהכשב אליתו קריבה, לכך נחלקו °שתי פרשיות: "
Rashi on Leviticus 3:8:1,"<b>וזרקו.</b> שתי מתנות שהן ד', ועל ידי הכלי הוא זורק, ואינו נותן באצבע °אלא בחטאת: "
Rashi on Leviticus 3:9:1,"<b>חלבו.</b> המובחר שבו, ומהו, זה האליה תמימה: "
Rashi on Leviticus 3:9:2,<b>לעמת העצה.</b> למעלה מן הכליות היועצות <small>(חולין יא.)</small>:
Rashi on Leviticus 3:11:1,<b>לחם אשה לה'.</b> °לחמו של אש °לשם גבוה:
Rashi on Leviticus 3:11:2,"<b>לחם.</b> לשון מאכל, וכן נַשְׁחִיתָה עֵץ בְּלַחְמוֹ <small>(ירמיה יא, יט)</small>, עֲבַד לְחֶם רַב <small>(דניאל ה, א)</small>, לִשְׂחוֹק עֹשִׂים לֶחֶם <small>(קהלת י, יט)</small>: "
Rashi on Leviticus 3:17:1,"<b>חקת עולם.</b> °יפה מפורש בתורת כהנים <small>(פרק כ, ו)</small> כל הפסוק הזה: 
"
Rashi on Leviticus 3:17:2,
Rashi on Leviticus 4:2:1,<b>מכל מצות ה'.</b> פירשו רבותינו אין חטאת באה אלא על דבר שזדונו °לאו וכרת ושגגתו חטאת <small>(שבת סט.)</small>:
Rashi on Leviticus 4:2:2,"<b>מאחת מהנה.</b> ממקצת אחת מהן, כגון הכותב בשבת, שם משמעון, °נח מנחור, דן מדניאל: 
"
Rashi on Leviticus 4:3:1,"<b>אם הכהן המשיח יחטא לאשמת העם.</b> מדרשו אינו חייב אלא בהעלם דבר °עם שגגת מעשה, כמו שנאמר לאשמת העם. ונעלם דבר מעיני הקהל ועשו. ופשוטו לפי אגדה כשהכהן גדול חוטא אשמת העם הוא זה, שהן תלויין בו לכפר עליהם ולהתפלל בעדם, ונעשה מקולקל: "
Rashi on Leviticus 4:3:2,"<b>פר.</b> °יכול זקן תלמוד לומר בן, אי בן יכול טן, תלמוד לומר פר, הא כיצד, זה פר בן ג': "
Rashi on Leviticus 4:5:1,<b>אל אהל מועד.</b> למשכן. ובבית עולמים °להיכל:
Rashi on Leviticus 4:6:1,"<b>את פני פרכת הקדש.</b> כנגד מקום קדושתה, כוון °כנגד בין הבדים, °ולא היו נוגעים דמים בפרכת, ואם נגעו נגעו <small>(יומא נז.)</small>: 
"
Rashi on Leviticus 4:7:1,<b>ואת כל דם.</b> °שירי הדם:
Rashi on Leviticus 4:8:1,"<b>ואת כל חלב פר.</b> חלבו היה לו לומר, מה תלמוד לומר פר, לרבות °פר של יום הכפורים לכליות ולחלבים ויותרת: "
Rashi on Leviticus 4:8:2,<b>החטאת.</b> להביא °שעירי עבודת אלילים לכליות ולחלבים ויותרת:
Rashi on Leviticus 4:8:3,"<b>ירים ממנו.</b> °מן המחובר, שלא ינתחנו קודם הסרת חלבו <small>(ת""כ פרק ד, א)</small>: "
Rashi on Leviticus 4:10:1,"<b>כאשר יורם.</b> מאותן אמורין המפורשין בשור זבח השלמים, °וכי מה פירש בזבח השלמים שלא פירש כאן, אלא להקישו לשלמים, °מה שלמים לשמן, אף זה לשמו, ומה שלמים שלום לעולם, אף זה שלום לעולם. ובשחיטת קדשים <small>(זבחים מט:)</small> מצריכו ללמוד הימנו, שאין למדין °למד מן הלמד בקדשים, בפרק איזהו מקומן: "
Rashi on Leviticus 4:10:2,"<b>על הכבד על הכליות על ראשו ועל כרעיו.</b> כולן לשון תוספת הן, כמו מלבד: "
Rashi on Leviticus 4:12:1,"<b>אל מקום טהור.</b> לפי שיש מחוץ לעיר מקום מוכן לטומאה להשליך אבנים מנוגעות ולבית הקברות, הוצרך לומר מחוץ למחנה, זה שהוא חוץ לעיר, שיהא המקום טהור: "
Rashi on Leviticus 4:12:2,"<b>מחוץ למחנה.</b> °חוץ לשלש מחנות, ובבית עולמים °חוץ לעיר, מו שפירשוהו רבותינו במס' יומא <small>(סח.)</small> ובסנהדרין <small>(מב:)</small>: "
Rashi on Leviticus 4:12:3,"<b>אל שפך הדשן.</b> °מקום ששופכין בו הדשן המסולק מן המזבח, כמו שנאמר וְהוֹצִיא אֶת הַדֶּשֶׁן אֶל מִחוּץ לַמַּחֲנֶה <small>(להלן ו, ד)</small>: "
Rashi on Leviticus 4:12:4,"<b>על שפך הדשן ישרף.</b> שאין תלמוד לומר, אלא מלמד שאפילו °אין שם דשן: "
