Index Title,Rashi on Deuteronomy
Rashi on Deuteronomy 1:4:4,"<b>עשתרות.</b> הוא לשון צוקין וקושי °כמו עשתרות קרנים, °ועשתרות זה, הוא עשתרות קרנים שהיו שם רפאים שהכה אמרפל, שנאמר וַיַּכּוּ אֶת רְפָאִים בְּעַשְׁתְּרֹת קַרְנַיִם <small>(בראשית יד, ה)</small>, ועוג נמלט מהם, והוא שנאמר וַיָּבֹא הַפָּלִיט <small>(שם יג)</small>, ואומר כי רק עוג מלך הבשן נשאר מיתר הרפאים <small>(לקמן ג, יא)</small>: "
Rashi on Deuteronomy 1:4:5,<b>באדרעי.</b> °שֵם המלכות:
Rashi on Deuteronomy 1:5:1,"<b>הואיל.</b> °התחיל, כמו הִנֵּה נָא הוֹאַלְתִּי <small>(בראשית יח, כז)</small>: "
Rashi on Deuteronomy 1:5:2,"<b>באר את התורה.</b> °בשבעים לשון פירשה להם: 
"
Rashi on Deuteronomy 1:6:1,"<b>רב לכם שבת.</b> °כפשוטו, °ויש מדרש אגדה, <small>(ספרי ה)</small> הרבה גְּדֻלָּה לכם ושכר, על ישיבתכם בהר הזה, עשיתם משכן מנורה וכלים, קבלתם תורה, מניתם לכם סנהדרין שרי אלפים ושרי מאות: "
Rashi on Deuteronomy 1:7:1,<b>פנו וסעו לכם.</b> זו דרך ערד וחרמה:
Rashi on Deuteronomy 1:7:2,<b>ובאו הר האמורי.</b> כמשמעו:
Rashi on Deuteronomy 1:7:3,<b>ואל כל שכניו.</b> °עמון ומואב והר שעיר:
Rashi on Deuteronomy 1:7:4,<b>בערבה.</b> זה מישור של יער:
Rashi on Deuteronomy 1:7:5,<b>בהר.</b> זה הר המלך:
Rashi on Deuteronomy 1:7:6,<b>ובשפלה.</b> זו שפלת דרום:
Rashi on Deuteronomy 1:7:7,"<b>ובנגב ובחוף הים.</b> אשקלון ועזה וקסרי וכו', כדאיתא בספרי <small>(ו)</small>: "
Rashi on Deuteronomy 1:7:8,"<b>עד הנהר הגדול.</b> מפני שנזכר עם ארץ ישראל °קוראו גדול, משל הדיוט אומר, עבד מלך מלך, °הִדָּבֵּק לְשַׁחֲוָר וישתחוו לך, °קְרָב לְגַבֵּי דְהִינָא וְאִידְהַן <small>(שבועות מז:)</small>: "
Rashi on Deuteronomy 1:8:1,"<b>ראה נתתי.</b> בעיניכם אתם רואים, איני אומר לכם מאומד ומשמועה: "
Rashi on Deuteronomy 1:8:2,"<b>באו ורשו.</b> °אין מערער בדבר, ואינכם צריכים למלחמה, אלו לא שלחו מרגלים, לא היו צריכין לכלי זיין: "
Rashi on Deuteronomy 1:8:3,"<b>לאבתיכם.</b> למה הזכיר שוב לאברהם ליצחק וליעקב, אלא אברהם כדאי לעצמו, יצחק כדאי לעצמו, יעקב כדאי לעצמו: "
Rashi on Deuteronomy 1:9:1,"<b>ואומר אליכם בעת ההוא לאמר.</b> °מהו לאמר, אמר להם משה, °לא מעצמי אני אומר לכם, אלא מפי הקב""ה: "
Rashi on Deuteronomy 1:9:2,"<b>לא אוכל לבדי וגו'.</b> °אפשר שלא היה משה יכול לדון את ישראל, אדם שהוציאם ממצרים, וקרע להם את הים, והוריד את המן, והגיז את השליו, °לא היה יכול לדונם, אלא כך אמר להם, ה' אלהיכם °הרבה אתכם, הגדיל וְהֵרִים אתכם על דייניכם, נטל את העונש מכם °ונתנו על הדיינין. וכן אמר שלמה, כִּי מִי יוּכַל לִשְׁפֹּט אֶת עַמְּךָ הַכָּבֵד הַזֶּה <small>(מלכים־א ג, ט)</small>, אפשר מי שכתוב בו °וַיֶּחְכַּם מִכָּל הָאָדָם <small>(שם ה, יא)</small>, אומר מי יוכל לשפוט, אלא כך אמר שלמה, אין דייני אומה זו כדייני שאר האומות עובדי אלילים, שאם דן והורג ומכה וחונק ומטה את דינו וגוזל אין בכך כלום, אני אם חייבתי ממון שלא כדין, נפשות אני נתבע, שנאמר וְקָבַע אֶת קֹבְעֵיהֶם נָפֶשׁ <small>(משלי כב, כג)</small>: "
Rashi on Deuteronomy 1:10:1,"<b>והנכם היום ככוכבי השמים.</b> וכי ככוכבי השמים היו באותו היום, והלא לא היו אלא ששים רבוא, °מהו והנכם היום, הנכם משולים כיום, קיימים לעולם °כחמה וכלבנה וככוכבים: 
"
Rashi on Deuteronomy 1:11:1,"<b>יוסף עליכם ככם אלף פעמים.</b> מהו שוב ויברך אתכם כאשר דבר לכם, אלא אמרו לו, משה, אתה נותן קצבה לברכתנו, כבר הבטיח הקב""ה את אברהם אֲשֶׁר אִם יוּכַל אִישׁ לִמְנוֹת וגו' <small>(בראשית יג, טז)</small>, °אמר להם זו משלי הוא, אבל הוא יברך אתכם כאשר דבר לכם: "
Rashi on Deuteronomy 1:11:2,
Rashi on Deuteronomy 1:12:1,"<b>איכה אשא לבדי.</b> אם אומר °לקבל שכר לא אוכל, זו היא שאמרתי (ס""א שאמרנו) לכם, לא מעצמי אני אומר לכם אלא מפי הקב""ה: "
Rashi on Deuteronomy 1:12:2,"<b>טרחכם.</b> מלמד שהיו ישראל טרחנין, היה אחד מהם רואה את בעל דינו נוצח בדין, אומר יש לי עדים להביא, יש לי ראיות להביא, מוסיף אני עליכם דיינין: "
Rashi on Deuteronomy 1:12:3,"ומשאכם. °מלמד שהיו אפיקורסין, הקדים משה לצאת, אמרו מה ראה בן עמרם לצאת, שמא אינו שָׁפוּי בתוך ביתו, איחר לצאת, אמרו מה ראה בן עמרם שלא לצאת, מה אתם סבורים, יושב ויועץ עליכם עצות רעות וחושב עליכם מחשבות (ס""א מצות וחשבונות): "
Rashi on Deuteronomy 1:12:4,<b>וריבכם.</b> מלמד שהיו רוֹגְנִים:
Rashi on Deuteronomy 1:13:1,<b>הבו לכם. </b>°הזמינו עצמכם לדבר:
Rashi on Deuteronomy 1:13:2,"<b>אנשים.</b> וכי תעלה על דעתך נשים, מה תלמוד לומר °אנשים, צדיקים: <b>חכמים. </b>°כסופים:
"
Rashi on Deuteronomy 1:13:3,"<b>ונבונים.</b> מבינים דבר מתוך דבר. זהו ששאל אַרְיוֹס את ר' יוסי, מה בין חכמים לנבונים, חכם דומה לשולחני עשיר, כשמביאין לו דינרין לראות רואה וכשאין מביאין לו יושב ותוהה, נבון דומה לשולחני תגר, כשמביאין לו מעות לראות רואה, וכשאין מביאין לו הוא °מְחַזֵר ומביא משלו: "
Rashi on Deuteronomy 1:13:4,"<b>וידועים לשבטיכם.</b> שהם ניכרים לכם, שאם בא לפני °מעוטף בטליתו, איני יודע מי הוא, ומאיזה שבט הוא, ואם הגון הוא, אבל אתם מכירין בו, שאתם גדלתם אותו, לכך נאמר וידועים לשבטיכם: "
Rashi on Deuteronomy 1:13:5,"<b>בראשיכם.</b> ראשים ומכובדים עליכם, שתהיו נוהגין בהם כבוד ויראה: "
Rashi on Deuteronomy 1:13:6,"<b>ואשמם.</b> °חסר יו""ד, למד שאשמותיהם של ישראל תלויות בראשי דייניהם, שהיה להם למחות ולכוון אותם לדרך הישרה: "
Rashi on Deuteronomy 1:13:7,
Rashi on Deuteronomy 1:14:1,"<b>ותענו אותי וגו'. </b>°חלטתם את הדבר להנאתכם, היה לכם להשיב, רבינו משה, ממי נאה ללמוד ממך או מתלמידך, לא ממך °שנצטערת עליה, אלא ידעתי מחשבותיכם, שהייתם אומרים עכשיו יתמנו עלינו דיינין הרבה, אם אין מכירנו אנו מביאין לו דורון והוא נושא לנו פנים <small>(ספרי יד)</small>: "
Rashi on Deuteronomy 1:14:2,"<b>לעשות.</b> אם הייתי מתעצל, אתם אומרים עשה מהרה: 
"
Rashi on Deuteronomy 1:15:1,"<b>ואקח את ראשי שבטיכם.</b> °מְשַׁכְתִּים בדברים, אשריכם, על מי באתם להתמנות, על בני אברהם יצחק ויעקב, על בני אדם שנקראו אחים וְרֵעִים, חלק ונחלה, וכל לשון חבה: "
Rashi on Deuteronomy 1:15:2,"<b>אנשים חכמים וידועים.</b> אבל נבונים לא מצאתי, °זו אחת משבע מדות שאמר יתרו למשה, ולא מצא אלא שלשה, אנשים צדיקים, חכמים, וידועים <small>(ספרי טו עיין בחזקוני)</small>: "
Rashi on Deuteronomy 1:15:3,"<b>ראשים עליכם.</b> שתנהגו בהם כבוד, ראשים במקח, ראשים בממכר, ראשים במשא ומתן, °נכנס (מביתו לב""ה) אחרון ויוצא ראשון: 
"
Rashi on Deuteronomy 1:15:4,<b>שרי אלפים.</b> אחד ממונה על אלף:
Rashi on Deuteronomy 1:15:5,<b>שרי מאות.</b> אחד ממונה על מאה:
Rashi on Deuteronomy 1:15:6,<b>ושוטרים.</b> °מניתי עליכם לשבטיכם אלו הכופתין והמכין ברצועה על פי הדיינין:
Rashi on Deuteronomy 1:16:1,"<b>ואצוה את שפטיכם.</b> אמרתי להם °הוו מתונים בדין, אם בא דין לפניך פעם אחת שתים ושלש, אל תאמר כבר בא דין זה לפני פעמים הרבה, אלא היו נושאים ונותנים בו <small>(ספרי טז)</small>: 
"
Rashi on Deuteronomy 1:16:2,"<b>בעת ההוא.</b> מִשֶׁמִּנִּיתִים אמרתי להם, אין עכשיו כלשעבר, לשעבר °הייתם ברשות עצמכם, עכשיו הרי אתם משועבדים לַצִּבּוּר <small>(ספרי שם)</small>: "
Rashi on Deuteronomy 1:16:3,"<b>שמוע.</b> לשון הווה, אודנ""ט בלע""ז (הערענד), כמו זָכוֹר <small>(שמות כ, ז)</small> וְשָׁמוֹר <small>(להלן ה, יב)</small>: "
Rashi on Deuteronomy 1:16:4,"<b>ובין גרו.</b> זה בעל דינו, °שאוגר עליו דברים, <small>(ספרי)</small> דבר אחר ובין גרו, אף על עסקי דירה, בין חלוקת אחים, °אפילו בין תנור לכיריים <small>(סנהדרין ז:)</small>: "
Rashi on Deuteronomy 1:17:1,"<b>לא תכירו פנים במשפט. </b>זה °הממונה להושיב הדיינין, שלא יאמר איש פלוני נאה או גבור אושיבנו דיין, איש פלוני קרובי אושיבנו דיין בעיר, והוא אינו בקי בדינין, נמצא מחייב את הזכאי ומזכה את החייב, מעלה אני על מי שֶׁמִּנָּהוּ כאילו הכיר פנים בדין <small>(ספרי יז)</small>: "
Rashi on Deuteronomy 1:17:2,"<b>כקטן כגדול תשמעון. </b>°שיהא חביב עליך דין של פרוטה כדין של מאה מנה, °שאם קדם ובא לפניך, לא תסלקנו לאחרון <small>(סנהדרין ח.)</small>. °דבר אחר כקטן כגדול תשמעון כתרגומו, שלא תאמר, זה עני הוא, וחבירו עשיר וּמְצֻוֶה לפרנסו, אזכה את העני ונמצא מתפרנס בנקיות. דבר אחר, שלא תאמר, היאך אני פוגם בכבודו של עשיר זה בשביל דינר, אזכנו עכשיו, וכשיצא לחוץ אומר אני לו, תן לו שאתה חייב לו: "
Rashi on Deuteronomy 1:17:3,"<b>לא תגורו מפני איש. </b>°לא תיראו <small>(ספרי יז)</small>. דבר אחר לא תגורו, °לא תכניס דבריך מפני איש, לשון אֹגֵר בַּקַּיִץ <small>(משלי י, ה)</small>: "
Rashi on Deuteronomy 1:17:4,"<b>כי המשפט לאלהים הוא.</b> מה שאתה נוטל מזה שלא כדין, אתה מזקיקני להחזיר לו, נמצא °שֶׁהִטֵּיתָ עלי המשפט <small>(סנהדרין ח.)</small>: "
Rashi on Deuteronomy 1:17:5,"<b>תקרבון אלי. </b>°על דבר זה נסתלק ממנו משפט בנות צלפחד <small>(ספרי יז)</small>, וכן שמואל אמר לשאול אָנֹכִי הָרֹאֶה <small>(שמואל־א ט, יט)</small>, אמר לו הקב""ה, חייך שאני מודיעך שאין אתה רואה, ואימתי הודיעו, כשבא למשוח את דוד, וַיַּרְא אֶת אֱלִיאָב וַיֹּאמֶר אַךְ נֶגֶד ה' מְשִׁיחוֹ <small>(שם טז, ו)</small>, אמר לו הקב""ה, ולא אמרת אנכי הרואה, אַל תַּבֵּט אֶל מַרְאֵהוּ <small>(שם ז)</small>: "
Rashi on Deuteronomy 1:18:1,"<b>את כל הדברים אשר תעשון.</b> אלו י' דברים °שבין דיני ממונות לדיני נפשות: 
"
Rashi on Deuteronomy 1:19:1,"<b>המדבר הגדול והנורא. </b>שהיו בו °נחשים כקורות, ועקרבים כקשתות: 
"
Rashi on Deuteronomy 1:22:1,"<b>ותקרבון אלי כלכם.</b> °בערבוביא, ולהלן הוא אומר וַתִּקְרְבוּן אֵלַי כָּל רָאשֵׁי שִׁבְטֵיכֶם וְזִקְנֵיכֶם, וַתֹּאמְרוּ הֵן הֶרְאָנוּ וגו' <small>(לקמן ה, כ)</small>, אותה קריבה היתה הוגנת, ילדים מכבדים את הזקנים ושלחום לפניהם, וזקנים מכבדים את הראשים ללכת לפניהם, אבל כאן, ותקרבון אלי כולכם, בערבוביא, ילדים דוחפין את הזקנים וזקנים דוחפין את הראשים: "
Rashi on Deuteronomy 1:22:2,<b>וישיבו אתנו דבר. </b>°באיזה לשון הם מדברים <small>(ספרי כ)</small>:
Rashi on Deuteronomy 1:22:3,"<b>את הדרך וגו'.</b> °אין דרך שאין בה עקמימות: 
"
Rashi on Deuteronomy 1:22:4,<b>ואת הערים אשר נבוא אליהן.</b> °תחלה לכבוש:
Rashi on Deuteronomy 1:23:1,"<b>וייטב בעיני הדבר.</b> בעיני ולא בעיני המקום, ואם בעיני משה היה טוב למה אמרה בתוכחות, משל לאדם שאומר לחבירו מכור לי חמורך זה, אמר לו הן, נותנו אתה לי לנסיון, אמר לו הן, בהרים וגבעות, אמר לו הן, כיון שראה שאין מעכבו כלום, אמר הלוקח בלבו, בטוח הוא זה שלא אמצא בו מום, מיד אמר לו טול מעותיך ואיני מנסהו מעתה, אף אני הודיתי לדבריכם, שמא תחזרו בכם כשתראו שאיני מעכב, ואתם לא חזרתם בכם: "
Rashi on Deuteronomy 1:23:2,"<b>ואקח מכם. </b>°מן הברורים שבכם, °מן הַמְסֻלָּתִים שבכם: "
Rashi on Deuteronomy 1:23:3,<b>שנים עשר אנשים איש אחד לשבט. </b>°מגיד שלא היה שבט לוי עמהם <small>(שם כא)</small>:
Rashi on Deuteronomy 1:24:1,<b>עד נחל אשכול.</b> °מגיד שנקרא על שם סופו:
Rashi on Deuteronomy 1:24:2,<b>וירגלו אותה. </b>מלמד שהלכו בה °ארבעה אוֹמָנִין שְׁתִי וָעֵרֶב <small>(שם כב)</small>:
Rashi on Deuteronomy 1:25:1,"<b>ויורדו אלינו.</b> מגיד שארץ ישראל גבוהה מכל הארצות: 
"
Rashi on Deuteronomy 1:25:2,"<b>ויאמרו טובה הארץ. </b>°מי הם שאמרו טובתה, יהושע וכלב <small>(שם כג)</small>: "
Rashi on Deuteronomy 1:26:1,"<b>ותמרו.</b> לשון התרסה, התרסתם כנגד מאמרו: "
Rashi on Deuteronomy 1:27:1,"<b>ותרגנו.</b> לשון הרע, וכן דִּבְרֵי נִרְגָּן <small>(משלי יח, ח)</small>, אדם המוציא דבה: "
Rashi on Deuteronomy 1:27:2,"<b>בשנאת ה' אתנו.</b> והוא היה אוהב אתכם, אבל אתם שונאים אותו, °משל הדיוט אומר, °מה דִּבְלִבָּךְ עַל רַחֲמָךְ °מַה דִּבְלִבֵּיהּ עֲלָךְ: "
Rashi on Deuteronomy 1:27:3,"<b>בשנאת ה' אתנו הוציאנו מארץ מצרים.</b> °הוצאתו לשנאה היתה, משל למלך בשר ודם שהיו לו שני בנים, ויש לו שתי שדות °אחת של שַׁקְיָא ואחת של בַּעַל, למי שהוא אוהב נותן של שקיא, ולמי שהוא שונא נותן לו של בעל, ארץ מצרים של שקיא היא, שנילוס עולה ומשקה אותה, וארץ כנען של בעל, והוציאנו ממצרים לתת לנו את ארץ כנען: "
Rashi on Deuteronomy 1:28:1,"<b>ערים גדולות ובצורות בשמים.</b> דברו הכתובים °לשון הֲבָאי: 
"
Rashi on Deuteronomy 1:29:1,"<b>לא תערצון.</b> לשון שבירה כתרגומו, ודומה לו בַּעֲרוּץ נְחָלִים לִשְׁכֹּן <small>(איוב ל, ו)</small>, לשבור נחלים: "
Rashi on Deuteronomy 1:30:1,<b>ילחם לכם.</b> בשבילכם:
Rashi on Deuteronomy 1:31:1,"<b>ובמדבר אשר ראית.</b> °מוסב על מקרא שלמעלה הימנו, ככל אשר עשה אתכם במצרים, ועשה אף במדבר אשר ראית אשר נשאך וגו': "
Rashi on Deuteronomy 1:31:2,"<b>כאשר ישא איש את בנו.</b> כמו שפירשתי אצל וַיִּסַּע מַלְאַךְ הָאֱלֹהִים הַהֹלֵךְ לִפְנֵי מַחֲנֵה יִשְׂרָאֵל וגו' <small>(שמות יד, יט)</small>, משל למהלך בדרך ובנו לפניו, באו לסטים לשבותו וכו': "
Rashi on Deuteronomy 1:32:1,"<b>ובדבר הזה.</b> שהוא מבטיחכם להביאכם אל הארץ, אינכם מאמינים בו: "
Rashi on Deuteronomy 1:33:1,"<b>לראותכם.</b> °כמו להראותכם, וכן לַנְחֹתָם הַדֶּרֶךְ <small>(שם יג, כא)</small>, וכן לַשְׁמִעַ בְּקוֹל תּוֹדָה <small>(תהלים כו, ז)</small>, וכן לָלֶכֶת לְגִּיד בְּיִזְרְעֶאל <small>(מלכים־ב ט, טו)</small>: 
"
Rashi on Deuteronomy 1:36:1,"<b>אשר דרך בה.</b> °חברון, שנאמר וַיָּבֹא עַד חֶבְרוֹן <small>(במדבר יג, כב)</small>: "
Rashi on Deuteronomy 1:37:1,<b>התאנף.</b> נתמלא רוגז:
Rashi on Deuteronomy 1:40:1,"<b>פנו לכם.</b> אמרתי להעביר אתכם דרך רוחב ארץ אדום לצד צפון ליכנס לארץ, קלקלתם וגרמתם לכם עכוב: "
Rashi on Deuteronomy 1:40:2,"<b>פנו לכם.</b> לאחוריכם, ותלכו במדבר לצד ים סוף, שהמדבר שהיו הולכים בו לדרומה של הר שעיר, היה מפסיק בין ים סוף להר שעיר, עתה המשכו לצד הים ותסבבו את הר שעיר כל דרומו מן המערב למזרח: "
Rashi on Deuteronomy 1:41:1,"<b>ותהינו.</b> לשון הִנֶּנּוּ וְעָלִינוּ אֶל הַמָּקוֹם <small>(במדבר יד, מ)</small>, זה הלשון שאמרתם לשון הן, °כלומר נזדמנתם: "
Rashi on Deuteronomy 1:42:1,"<b>לא תעלו.</b> °לא עלייה תהא לכם אלא ירידה: 
"
Rashi on Deuteronomy 1:44:1,"<b>כאשר תעשינה הדבורים.</b> מה הדבורה הזאת, °כשהיא מכה את האדם מיד מתה, אף הם כשהיו נוגעים בכם מיד מתים: "
Rashi on Deuteronomy 1:45:1,<b>ולא שמע ה' בקולכם.</b> כביכול °עשיתם מדת רחמיו כאילו אכזרי:
Rashi on Deuteronomy 1:46:1,"<b>ותשבו בקדש ימים רבים.</b> י""ט שנה, שנאמר כימים אשר ישבתם, בשאר המסעות, °והם היו ל""ח שנה, י""ט מהם עשו בקדש, וי""ט שנה הולכים ומטורפים וחזרו לקדש, כמו שנאמר וַיְנִעֵם בַּמִּדְבָּר <small>(שם לב, יג)</small>. כך מצאתי בסדר עולם: "
Rashi on Deuteronomy 2:1:1,"<b>ונפן ונסע המדברה.</b> °אילו לא חטאו, היו עוברים דרך הר שעיר ליכנס לארץ מן דרומו לצפונו, ובשביל שקלקלו, הפכו לצד המדבר, שהוא בין ים סוף לדרומו של הר שעיר, והלכו אצל דרומו מן המערב למזרח. <b>דרך ים סוף.</b> °דרך יציאתן ממצרים שהוא במקצוע דרומית מערבית, משם היו הולכים לצד המזרח: "
Rashi on Deuteronomy 2:1:2,<b>ונסב את הר שעיר.</b> °כל דרומו עד ארץ מואב:
Rashi on Deuteronomy 2:1:3,
Rashi on Deuteronomy 2:3:1,"<b>פנו לכם צפנה.</b> °סובו לכם לרוח מזרחית, מן הדרום לצפון פניכם לצפון, נמצאו הולכין את רוח מזרחית, וזהו שנאמר וַיָּבֹא מִמִּזְרַח שֶׁמֶשׁ לְאֶרֶץ מוֹאָב <small>(שופטים יא, יח)</small>: "
Rashi on Deuteronomy 2:4:1,"<b>ונשמרתם מאד.</b> ומהו השמירה, אל תתגרו בם: 
"
Rashi on Deuteronomy 2:5:1,"<b>עד מדרך כף רגל.</b> °אפילו מדרך כף רגל, כלומר אפילו דריסת הרגל איני מַרְשֶׁה לכם °לעבור בארצם שלא ברשות. ומדרש אגדה <small>(תנחומא ישן דברים הוספה ו)</small>, °עד שיבא יום דריסת כף רגל על הר הזיתים, שנאמר וְעָמְדוּ רַגְלָיו וגו' <small>(זכריה יד, ד)</small>: "
Rashi on Deuteronomy 2:5:2,"<b>ירשה לעשו.</b> מאברהם, עשרה עממים נתתי לו, שבעה לכם, וקיני וקניזי וקדמוני הן עמון ומואב ושעיר <small>(ב""ר מד, כג)</small>, אחד מהם לעשו, ושנים לבני לוט, °בשכר שהלך אתו למצרים ושתק על מה שהיה אומר על אשתו אחותו היא, עשאו כבנו: "
Rashi on Deuteronomy 2:6:1,"<b>תכרו.</b> לשון מקח, וכן אֲשֶׁר כָּרִיתִי לִי <small>(בראשית נ, ה)</small>, שכן בכרכי הים קורין למכירה כירה <small>(ר""ה כו.)</small>: "
Rashi on Deuteronomy 2:7:1,"<b>כי ה' אלהיך ברכך.</b> °לפיכך לא תכפו (ס""א תכפרו) את טובתו להראות כאילו אתם עניים, אלא הראו עצמכם עשירים: "
Rashi on Deuteronomy 2:8:1,"<b>ונפן ונעבור.</b> לצד צפון, °הפכנו פנים להלוך רוח מזרחית:"
Rashi on Deuteronomy 2:9:1,"<b>ואל תתגר וגו'.</b> °לא אסר להם על מואב אלא מלחמה, °אבל מְיַרְאִים היו אותם ונראים להם כשהם מזויינים, לפיכך כתיב וַיָּגָר מוֹאָב מִפְּנֵי הָעָם <small>(במדבר כב, ג)</small>, שהיו שוללים ובוזזים אותם, אבל בבני עמון נאמר °וְאַל תִּתְגָּר בָּם <small>(להלן פסוק יט)</small>, שום גרוי, בשכר צניעות אמם, שלא פרסמה על אביה כמו שעשתה הבכירה, °שקראה שם בנה מואב <small>(ב""ק לח:)</small>: "
Rashi on Deuteronomy 2:9:2,<b>ער.</b> °שם המדינה:
Rashi on Deuteronomy 2:10:1,"<b>האמים לפנים וגו'.</b> אתה סבור שזו ארץ רפאים °שנתתי לו לאברהם, לפי שהאמים שהם רפאים ישבו בה לפנים, אבל לא זו היא, כי אותם רפאים הורשתי מפני בני לוט, והושבתים תחתם: "
Rashi on Deuteronomy 2:11:1,"<b>רפאים יחשבו וגו'.</b> רפאים היו נחשבים אותם אמים, כענקים הנקראים רפאים, על שם שכל הרואה אותם ידיו מתרפות: "
