Assumed to be correct references,Siftei Chakhamim comment
Deuteronomy 20:1," Scripture positioned going to war, . . . to teach, etc.@bo Rashi is answering the question: Scripture should have juxtapositioned over here the judiciary laws of @ITparshas@it Ki Seitzei (below 21:22), “If a man is guilty of a capital offense, etc.,” and the other capital offenses mentioned there. He answers, “To teach, etc.” @d1Another interpretation. To teach that if you judge righteously, etc.@bo According to the first interpretation you might ask that “eye for eye” mentioned here is referring to money and not the lacking of a body part. Therefore Rashi explains, “Another interpretation, etc.” And according to the other interpretation on its own you might ask that it should have juxtapositioned this to the beginning of the @ITparsha@it where it is written (above 16:18), “And they shall judge the people righteous justice, etc.” @d1Consider them enemies.@bo Otherwise, why does Scripture write “against your enemy”? Obviously, if they go out to war they are not going out against friends! @d1Do not pity them, etc.@bo One may ask: This is already explicitly written below (v. 13) “And you shall smite all its males by the sword”! Furthermore, why is it written afterwards (v. 14) “However, the women and the children, etc.” yet here Scripture implies that they should not pity them at all! The answer is: Below Scripture is dealing with a war that does not involve direct combat, rather [it is dealing] with the conquest of a city. The proof is that it is written [there] (v. 13) “Adonoy, your God, will deliver @ITit@it into your hand, and therefore it written “However, the women and the children etc.” But here we are dealing with a war that involves direct combat, so you are not to pity them at all. @d1It says, “When Pharaoh’s horse approached.”@bo Why does Rashi not cite the verse (Shmos 14:23) “@hh כל סוס פרעה@it (lit. every horse of Pharaoh’s)” which precedes it? The answer is that he does not cite this previous verse because it is written,@hh כל סוס@it , “@ITevery@it horse,” and @hh כל@it comes to cite something additional, so that it is as if it had written “each and every horse of Pharaoh.” Therefore he cites the verse “when Pharaoh’s horse approached” which cannot be explained in this manner. It seems to me that this [verse cited by Rashi] is a textual error; Sifrei cites the verse (ibid. 15:1), @hh סוס ורוכבו רמה בים""@it (horse and its rider He threw into the sea).” (Nachalas Yaakov) @d1In your eyes they are numerous, etc.@bo Rashi is answering [the question]: It is written “horse and chariot” which implies that in the eyes of the Holy One Blessed Is He they are all like one horse, yet afterwards Scripture writes “@hh עם רב@it (people more numerous than you)”! And he answers, “In your eyes, etc.” "
Deuteronomy 21:2," The most distinguished of your elders, etc.@bo Because it should have said “the elders of the city” similar to “the elders of that city are to take.” Yet it is written “your @ITelders@it,” implying “the most distinguished of your elders,” i.e. the Sanhedrin; see there in Maseches Sanhedrin (14b). @d1From the spot where the corpse is lying.@bo Even though the verse tells us only the end of the measurement and not the beginning, it is logical that the measurement begins with the corpse. @d1In every direction, in order to determine which is closest.@bo Not that there is an obligation to measure from the corpse to every city; rather, the measurement is to determine which city is nearest the corpse. Therefore if the corpse was near a city and it is certain that there is no other city closer, there is no need for measuring. "
Deuteronomy 22:1," Avert your eyes as if you do not notice it.@bo Because you cannot say [it means] that the person conceals from telling that he found them, because if so, if should have said “and conceal @ITthem@it,” which would imply that he is concealing [the fact] that he has them. But because it is written “and conceal yourself from them,” it implies that he conceals his eye from seeing it. @d1You may not observe it, etc.@bo Rashi is answering [a difficulty]: The verse seems to be saying, “Do not see, rather conceal, etc.,” which implies that one is permitted to conceal himself [and this is not so]. @d1The Rabbis, however, comment: At times, you may conceal yourself, etc.@bo In which case? If he is a @ITkohein@it and there is a [lost] ox in a cemetery; or if he is an elder and it is not fitting for his honor. "
Deuteronomy 23:1," He cannot effect marriage with her, etc.@bo Rashi is answering the question: It should have said “he may not expose” as it is written in the end [of the verse], “And may not expose.” He explains that @hh קיחה@it implies that he cannot effect marriage with her, i.e. [he cannot] marry her with money, because we derive this law by comparing the expression @hh קיחה@it written here to @hh קיחה@it written regarding the field of Efron (Kiddushin 2a) [where it denotes marrying with money]. Rashi is referring to [marrying] her after the death of his father, otherwise, we would know [that he cannot marry her] because she is a married woman. @d1His father’s prospective levirate partner, etc.@bo Rashi is answering the question: Why does the verse needs to add, “And may not expose the edge of his father’s garment,” [which seems superfluous]? Therefore he says that it comes to include his father’s prospective levirate partner, etc. @d1Evidently, to transgress, with her, against two prohibitions, etc.@bo You might ask: There are three prohibitions, because there is also the prohibition, “Let the wife of the dead man not marry outside to a strange man” (below 25:5)! The answer is that these two prohibitions apply even after his father’s death, but the prohibition of “Let the wife of the dead man not marry outside to a strange man” applies only as long as he is alive. @d1To teach that the bastard is only, etc.@bo Rashi means that this is another reason why the Torah writes, “And he may not expose the edge of his father’s garment,” in order to juxtapose to it, “the bastard may not enter, etc.” You might ask that the verse, “One may not enter — with injured or crushed genitals, etc.,” interrupts between these two verses! The answer is since such people cannot have children and so they are unable to produce bastards, the verse [concerning them] is not considered an interruption. @d1As no act of incest or adultery subject to judicial execution, etc.@bo Rashi is saying that you should not ask: There is a rule that we cannot add extra punishments [or extra prohibitions to a transgression] through a @ITkal vachomer@it [and similarly we cannot add the status of a bastard to a child resulting from this transgression through a @ITkal vachomer@it]! He explains that “no act of incest, etc.” Therefore, since this transgression is liable to @ITkares@it, the child will be a bastard even without a @ITkal vachomer @itsince he is the result of a @ITkares@it prohibition. And the father’s prospective levirate partner is a @ITkares @itprohibition because she is his aunt. "
Deuteronomy 24:1," He is then commanded to divorce her, etc.@bo Since the verse explains that “she did not find favor in his eyes because he found in her something lecherous.” This indicates that “he is then commanded, etc.” And [also], because it states the term @hh והיה@it which is an expression of certainty, i.e., a command. (Minchas Yehudah). [An alternative explanation]. Because it should have stated, “If he found in her something lecherous, he shall send her from his home.” Why is it written, “Should she not find favor in his eyes, etc.”? This indicates that the verse is teaching that you should not tell him that he can send her away even after a while, because in the meantime she might find favor in his eyes and he will not send her away. Therefore the Torah commands him to send her away [immediately]. [The text is reconstructed as follows: “Should he find in her something lecherous, she must not find favor in his eyes”]. I know what @ITRe”m@it had written and I do not want to be lengthy (Nachalas Yaakov). "
Deuteronomy 25:1," They will ultimately approach the court of justice, etc.@bo Meaning: It should have [simply] said, “And the two people who have the judgment come.” This indicates that the verse is saying that if men have a quarrel, they will ultimately bring it to court and be unable to reach a compromise except through judgment. @d1“Should the wicked one deserve flogging” (@HB בן הכות@BO ), etc.@bo Like its Targum [@hh בר חיבא לאלקאה@it , that @hh בן@it means “son”]. Some explain that it is an expression of @hh בינה@it , understanding, because the person must have discernment. This excludes a deaf person, an insane person, or a minor. Some explain that it refers to the judge. I.e., if the judge understands that the person transgressed and deserves flogging (I found this interpretation). @d1A negative commandment unattached to a positive commandment.@bo But if it is attached to a positive commandment, one is not flogged. The same applies to a negative commandment that involves no physical action, or that is subject to warning of death by court, or that is subject to financial restitution, or a general negative commandment that includes many things, as stated in @ITmaseches @itMakos (13a). "
Deuteronomy 26:1," This teaches that they were not obligated to bring the first fruits, etc.@bo You might ask why did Rashi not explain this earlier in@IT parshas@it Shoftim (17:14) in the section [dealing with the appointing] a king, for there too it is written, “and inherit it and live in it”? The answer is that Rashi wants to explain why here it says, “And you inherit it and settle it.” For the [the law derived from these words] could be derived from the section dealing with [appointing] a king since we derive [from the term] “come” “come” from each other. Just as there they are not obligated [to appoint a king] until after the conquering and apportioning [the Land], so too here. And there is a tradition that this @ITgezeira shava@it is a halacha given to Moshe at Sinai as Rashi explains in @ITparshas@it Shelach Lecha (Bamidbar 15:18) regarding @ITchallah.@it [He comments there on the verse], “At your coming to the land,” that, “This [term] 'coming' is different from all the 'comings' in the Torah, etc. because Scripture specified with one of them, etc.” I.e., since it specified regarding [the obligation of appointing] a king, that it does not apply until after inheritance and settling [the Land], so too with all of them. Thus we see that this is an absolute @ITgezeira shava.@it And if so, why does the verse here need to write “and you inherit it and settle it”? Rashi answers, “This teaches that they were not obligated to bring the first fruits, etc.” Apparently this verse is talking about eating [fruits], so one might have thought there is an obligation to bring first fruits immediately [after arriving in the Land] before benefiting from them, as we say (Berachos 35a), “Whoever benefits from this world without a blessing is considered as if he committed sacrilege,” and we would not have applied the @ITgezeira shava@it from [appointing] a king. Therefore Rashi has to explain explicitly, “'And you inherit it and settle it,' [This teaches, etc.”] However, above in @ITparshas@it Shoftim [the verse also has to specify that it is only after settlement, as] we would not learn this from first fruits, because one might think that they are obligated to appoint a king immediately they enter the Land, because the king is appointed to lead them in war, and there is no greater need for this than during the conquest and apportionment, since that is the main time of war. Therefore the verse there has to explain [by saying], “And inherit it and settle in it,” that this [appointing] is only after conquest and apportionment, in order that they give credit for the conquest to the Holy One and not to a mortal king. "
Deuteronomy 27:1," This denotes constancy, etc.@bo Meaning, you should always keep this commandment. It is not an expression that denotes a command because if so, it would have been punctuated with a @ITsheva @itunderneath the @hh שי""ן@it . You also cannot say that it is an infinitive because then it should have said @hh שמור תשמור@it , as in @hh פתוח תפתח@it (above 15:8), @hh נתון תתן@it (ibid. v. 10). (@ITRe”m@it) "
Deuteronomy 28:4, Why are they called @HB עשתרות@BO ?@bo See above @ITparshas@it Eikev (7:13) where I have explained this. 
Deuteronomy 29:3," To recognize Hashem’s benevolence, etc.@bo But [the verse does not mean] not to know the great miracles and the signs and wonders, as the simple connotation of the verse implies, because regarding these the verse would not say “a knowledgeable mind, etc.” @d1I have heard: because on that day, etc.”@bo Rashi is explaining how it is possible that before this they did not have eyes and ears. @d1How is it that you are empowering your fellow tribesmen over it, etc.@bo That is, over the Torah. "
Deuteronomy 30:3," As it is said, “You shall be plucked, etc.@bo This prophecy was said regarding the exile of Bavel. "
Deuteronomy 31:2," This explains I cannot any longer, etc.@bo It is as if he said, Because Hashem has said to me, ‘You will not cross over [the Yardein], etc. Yehoshua will cross.’ But it is not because his strength had weakened, for it is written, His appearance was not dulled and his freshness did not fade [Devarim 34:7]. For one cannot say, for Hashem is [a phrase] on its own, as if it had said, I am no longer able, and furthermore, for Hashem said to me, because the meaning of I am no longer able is I have no permission, if so that is the meaning of that the Holy One, Blessed Is He said to me do not cross. Therefore [Rashi] explains that for Hashem said is an explanation. As if to say, I am no longer able @ITbecause@it Hashem said, etc. The [letter] @ITvav@it [meaning and] of And Hashem means because, as in [the verse] And there was no man (Bereishis 2:5) which means Because there was no man. @d1This teaches that he was sealed off from the masoretic teachings, etc.@bo The reason is so that he should not be upset that the greatness was taken from him and given to Yehoshua. For once the traditions of wisdom were blocked from him, why would [he wish to continue to] live? If you ask: Why does Rashi switch [the verse] and first explain I cannot any longer go forth and return and afterward he explains I am today [One hundred and twenty years old] which is not in the order [written] in the verse? And another question: This another interpretation should have been said immediately, before I am today. One can answer in the manner of @ITpilpul@it: I cannot any longer go forth and return, ‘perhaps, etc.’ until ‘for Hashem has said to me, etc.’ And Rashi asks on this: If you were to ask, that the midrash says that Today my days [and years are completed], etc., which implies that if not for this reason For Hashem said to me, etc. he would not have been able to go forth and return! And he answers, Really, etc. as I explained. And what you asked, that the Midrash says Today my days [and years] were completed, etc. which implies that without this reason of For Hashem has said to me, etc. he would not have been able to go forth and return! One can answer that the Midrash explains to go forth and return in a different manner, [as Rashi himself explains in the] alternative answer: To go forth and return, “with respect to words of Torah, etc.” [in the name of @ITMaharitz@it]. According to the alternative answer one must explain For Hashem has said [to me], etc. according to its plain meaning, that Hashem said. [@ITRe”m@it] "
Deuteronomy 32:1," That I admonish the Israelites.@bo Rashi is answering the question: How could Moshe command the heavens? Does he rule over heaven? And a further question: Why did he take testimony against Yisroel for they had not yet sinned? Therefore he explains that “I admonish [i.e., warn] the Israelites,” as it is written above, “I invoke as witnesses (@hh העדתי@hh@ee ) against you this day, heaven and earth” (Devarim 30:19). This is an expression of admonishing [i.e., warning], similar to, “The man warned us repeatedly (@hh העד העיד@hh@ee )” (Bereishis 43:3). For [Moshe] had not yet said anything to heaven or earth, and it is only now that he speaks to them. @d1So that you may serve as witnesses to the matter. For so I informed them, etc.@bo Rashi is answering the question: Perhaps Yisroel would not accept heaven and earth as witnesses [against them]. Therefore Rashi explains, “for so I have informed them.” In other words, “I have already said to them.” @d1Similarly, “let the earth hear.”@bo This means that you should not say that since it is written, “Listen heaven @ITand@it earth as I declare,” the Torah must be speaking about two separate matters. Rather it means to say and also “let the earth hear” that I am warning Yisroel and you will be witnesses to the matter. The reason that it written regarding he heavens, “hearken” and regarding the earth, “hear” is because Moshe Rabbeinu was cleaving to the heavens, because he was nearing his death, and his soul was now cleaving to the Above. When a person is standing close to his friend, he says “hearken,” and therefore Moshe said, “Hearken [heavens].” But he was distant from the earth, therefore it is appropriate to use the term “hear.” For this reason he did not include them both in the same phrase and say, “Hearken Heaven and earth as I declare, etc.” Re”m explains that the reason he did not combine heaven and earth together is because heaven is deserving of more honor than the earth, and therefore he did not combine them in a single phrase. But his explanation does not answer why Scripture changes its expression and uses the term “hearken” for Heaven and “hear” for the earth. @d1Moshe said, “I am only mortal and tomorrow I may die, etc.@bo If you ask: Why does Rashi in parshas @ITNitzovim@it (Devarim 30:19) offer a different reason for the verse, “I invoke, as witnesses against you this day, heaven and earth”? One can answer that above, regarding the warning, the witnesses are required to admonish the person who wants to commit the sin, in order that he will [listen to them and] not sin. If so, it is difficult [to understand], how can heaven and earth give warning? They are unable to speak! One cannot explain that Moshe warned Yisroel before heaven and earth in order that they should not sin, because at that time [when Moshe warned them] they were not intending to sin. It would have been considered a doubtful warning, which is not considered an adequate warning. Therefore Rashi explains [there] “Gaze at the heavens, etc. This type of gazing is considered as if [heaven and earth] were delivering a verbal warning. However, here in this song, [Moshe] is speaking of the punishments for Yisroel, if they transgress Hashem’s mitzvos and worship idols. And regarding punishment it is written, (Devarim 17:7) “Let the hand of the witnesses against him be first” [to punish the sinners]. Therefore [Rashi] gives a different explanation here. "
Deuteronomy *32:36," In this usage, @HB כי@BO is understood as, etc.@bo I.e. it gives an explanation of what precedes it. @d1Understood as “for.”@bo An explanation of [Rashi’s] explanation is that Rabbi Nechemyah explains the verse “For . . . will judge, etc.” as referring to when He represents them in their struggle, and the meaning of @hh כי@hh@ee is “for.” And the meaning of (v. 35), “Vengeance is with Me, and shall administer retribution” (v. 34) refers to the idolaters, because Hashem fights the fight of Yisroel against those who persecuted them. "
Deuteronomy 33:1," Close to his death, etc.@bo Because if you do not explain that before his death means close to his death, we would not know when [Moshe spoke]. Therefore Rashi writes, For if not now when,” because it was before his death and close to his death. Alternatively, his proof is because it is written @ITbefore@it his death, as it is obvious that he did not bless them after his death. However, if the verse had not written before his death, I might have thought he blessed them a long time before his death. Therefore it is written before his death to teach us that it was close to his death (Sifri cited by @ITRe”m@it) "
Deuteronomy 34:1," There were a number of elevations, etc.@bo Otherwise, the verse should only have said Moshe went up to Mount Nevo. Why does it say from the plains of Moav”? Do we not know already that Moshe was in the plains of Moav since the whole of Devarim was taught in the plains of Moav? @d1He showed him all of Eretz Yisroel in its tranquility, etc.@bo Rashi is answering the question: The verse should only have said the entire land until the rearward sea. Why do I need all these details, the Gilod, etc.? And because of this reason he [also] has to explain [what is hinted in] the Negev and the plain, etc. "
