Assumed to be correct references,Siftei Chakhamim comment
Numbers 12:2," ע""ש שהלהב עולה.@sp דק""ל איך נופל הלשון בהעלותך על נרות שכתב במקום בהדלקתך בהעלותך. ומתרץ ע""ש שהלהב עולה, כלומר מש""ה נופל בו ל' עליה. ותו קשה לרש""י מ""מ היה לו לכתוב בהדלקתך ולמה כתב בהעלותך, דודאי לשון בהעלותך נופל גם כן בנרות כמו שפירש על שם שהלהב עולה, אבל מ""מ הלשון בהדלקתך יותר טוב. ומתרץ דמש""ה כתיב בהעלותך כדי ללמוד שצריך להדליק כו'. אבל בפרשת תצוה גבי להעלות נר תמיד לא פירש רק למה כתיב להעלות ולא להדליק, ואמר שצריך להדליק עד שתהא השלהבת עולה מאליה. י""ל דשם כתיב להעלות ל' ציווי, וע""ז פירש למה כתב הציווי בלשון להעלות ולא בל' להדליק שהוא ל' יותר מבורר על מה הוא הציווי, ומפרש משום שצריך להדליק וכו' שהוא בכלל הציווי לכן כתיב להעלות. ועי' רא""ם. ובפרשת אמור שהוא הציווי האמיתי כדפירש""י שם קשה למה ל""פ שם כלום, י""ל שהוא סומך על מה שפירש בפרשת תצוה על לשון להעלות שהוא בל' ציווי כדפרישית וכן כתב הרא""ם כי המפרש פעם יפרש כל הבחינות הנופלים על הל', ופעם יפרש קצת מהם, ופעם יסמוך על מה שפירש במקום אחר ומש""ה לא פירש בפרשת אמור כלום אע""ג דכתיב התם להעלות נר תמיד עכ""ל: @psשמעלה היתה.@sp ואע""ג דדרשו מזה שצריך להדליק עד שתהא השלהבת עולה מאליה. י""ל דעיקר דרשה היא מקרא דפרשת תצוה מלהעלות נר תמיד, והכא אגב גררא נקטיה ועוד י""ל דאי לשלהבת עולה מאליה לחוד הוא דאתא היה לו לכתוב להעלות ולא בהעלותך ואי למעלה אחת לחוד הוא דאתא היה לו לכתוב בעלותך, אלא להכי כתיב בהעלותך למדרש תרוייהו והרא""ם פירש דדרש זה וגם שתהא השלהבת עולה שקולים הם ויביאו שניהם: @psשעליה הכהן עומד.@sp וא""ת והרי קומתו של אדם ד' אמות דהיינו כ""ד טפחים, וקומתה של מנורה לא היה כי אם י""ח טפחים כדפירש""י בפרשת תרומה, וא""כ למה צריך למעלה. וי""ל לפי שהטפחים של בית המקדש היו שוחקות וא""כ י""ח טפחים של מנורה היו כמו כ""ד טפחים של חול, דהיינו כנגד קומתו של אדם, ואם בא להטיב צריך שיראה בנרות כדי שיטיב אותם לכך צריך מעלה: [ד""ד] אטו כל הכהנים שוים בגובה הלא אפשר שיהיה הכהן קצר הקומה קצת ע""כ צריך להיות שם מעלה שיוכל להשתמש בריוח כל כהן במנורה: @psהפתילות שבהן.@sp פירוש מדכתיב יאירו שבעת הנרות, ע""כ אפתילות קאי שהם המאירים, דאי קאי אנרות שהם הבזיכים הל""ל אל מול פני המנורה יהיו נוטים שבעת הנרות. וא""ת והא בקרא כתיב אל מול פני המנורה דהיינו נר שעל קנה האמצעי יאירו שבעת הנרות, ורש""י פירש שאין מאירין לנר אמצעי אלא ששת. וי""ל דהא ק""ל, דאל מול פני המנורה יאירו שבעת הנרות משמע שהכל יהיו מאירין לפניו של אמצע הקנה, דהיינו למעלה על גביו שהוא נקרא על פני המנורה וזה אי אפשר. בשלמא אותו נר שעומד על קנה האמצעי מאיר כנגד פניו אבל שאר ששת נרות אינן מאירין אלא לפניו של אותן קנים שעומדין מול פניהם כמנהג כל הנרות שמנהגם להאיר כלפי עצמן. ומתרץ דגם שאר ששה נרות שעל ששה קנים מאירין לפניו של קנה האמצעי דששה שעל ששה הקנים ג' מזרחיים פונים למול אמצעי ר""ל שהיו כופפין ראשי הפתילות לפני קנה אמצעי וכן המערביים. ויאירו שבעת הנרות, פי' שבזה האופן יהיו מאירין שבעת הנרות אל מול קנה האמצעי. והרא""ם האריך כאן הרבה. (עיין בתשובת הריב""ש סי' ת'): [ג""א] הקשו דא""כ יאירו ששת הנרות מבעי ליה דלא היו מאירים אל מול המנורה רק ששה, וי""מ שכך פירוש הכתוב בהעלותך את הנרות אל מול פני המנורה כלומר כאשר תדליק הנרות יהיו מול פני המנורה שיהיו ששה פונים אל מול האמצעי, ויאירו שבעת הנרות מלתא בפני עצמו כלומר שבזה האופן יהיו מאירים שבעת הנרות: "
Numbers 13:1," לא נאמרה עד אייר.@sp שנא' בה בחדש השני: @psשכל מ' שנה.@sp מדכתיב בארבעה עשר יום וגו' במדבר סיני, ל""ל הא כתיב בתחילת הפרשה במדבר סיני אלא לומר לך שכל מ' שנה וכו'. וא""ת ולמה לא הכריחן משה שיעשו הפסח. וי""ל שהיו הרבה שלא היו נימולים, שבמדבר לא היו מלין את בניהם. וא""ת אם כן מאי זה גנות וכו' והא לא היו יכולין לעשות. וי""ל שהם גרמו מכח עונותיהם שאלולי היה החטא היו נכנסין לארץ ישראל בעוד שלשת ימים כדפירש""י בפסוק נוסעים אנחנו וגו' (תוספות קידושין דף ל""ח): "
Numbers 14:2," בשעת סילוק המחנות.@sp וברוב ספרים גרסינן סילוק המסעות, פירוש בשעת סילוק מסעות של כל הג' מחנות של כל דגל ודגל ואיך שיהיה הגירסא תיקן בזה שלא תאמר כשהיו רוצים ליסע היו תוקעים בחצוצרות, דזה אינו, שהרי מתחלה היה הענן מקפל ואחר כך היה משה אומר קומה ה' ואח""כ היו תוקעין. לכך פירש בשעת סילוק המחנות כשהיו מכינים את עצמן ליסע לא היו נוסעים עד שתקעו בחצוצרות: "
Numbers 15:1," אין העם אלא רשעים.@sp וא""ת והלא מצינו העם שהם צדיקים שנאמר ויענו כל העם יחדיו ויאמרו כל אשר דבר ה' נעשה ונשמע. וי""ל כשהם רשעים לא נקרא להם שם אחר אלא העם: @psכשרים קרואים עמי.@sp וא""ת והלא מצינו עמי כשהן רשעים שנא' ועמי לא התבונן, וי""ל דה""פ שהיו קודם לכן עמי ואתה לא התבונן. מצאתי: @psכמה לבטנו.@sp טרחנו: @psבקצינים שבהם.@sp וא""ת והא פירש""י לעיל אין העם אלא רשעים והכא פירש""י בקצינים ובגדולים. וא""ל ה""פ דמה שנ' הכא בקצינים ובגדולים ר""ל העשירים שברשעים נקראו גדולים, דהא לקמן פירש""י והזקנים הראשונים היכן היו וכו', ומתרץ אלא באש תבערה מתו, משמע דהם היו הזקנים שבמצרים ואותן זקנים הם צדיקים וגדולי הדור, ויש לומר דודאי מה שכתוב ויהי העם וגו' ותבער בם אש ה' קאי ארשעים, על העם שכתוב לעיל. וכשבערה בהם אש בערה ג""כ בבלתי מתאוננים, ומה שכתוב ותאכל בקצה המחנה מיירי בקצינים ובגדולים שבהם, ועל אותן צדיקים פירש""י לקמן באש תבערה מתו: "
Numbers 16:1," ומנין היתה יודעת.@sp כלומר הא אין דרכן של נשים צנועות להתרעם על בעליהן בפני שכנותיהן על דבר התשמיש: @psכשם שהכל.@sp דאל""כ מאי כושית דקאמר, וכי כושית היתה והלא מדינית היתה, אלא מאי כושי משונה בעורו אף זו משונה בעורה וביופי [ג""א] ומפני שהוא קצת רחוק שידבר הכתוב ע""ד חידה לכך אמר כושית בגימטריא יפת תואר: @psעל אודות גירושיה.@sp פירוש על אודות הפרשתה שפירש בעלה ממנה, ומקרא קצר הוא: והא דמהפך רש""י לפרש קודם האשה הכושית. נראה דה""א שדיברו עליו על שנשא כושית ממש כמו שאיתא במדרש, לכך פי' תחלה האשה בה""א הידיעה שהיא צפורה, וכושית פירוש כשם וכו' וא""כ אודות האשה, על אודות גירושיה. ואח""כ פי' עוד פעם כושית מה ת""ל אלא יש לך וכו', ואח""כ מפרש מלת הכושית ר""ל הה""א הידיעה ע""ש נויה וכו' ר""ל שנראית כך בפי כל וידועה לכן כתיב האשה הכושית ואח""כ פי' כי אשה מאי נתינת טעם, ופי' לקח ר""ל שלא היה לו לישא אשה או הי""ל לקיימה ולא לגרשה. נלי""ט: "
Numbers 17:2," למה נסמכה.@sp הכי מקשה רש""י למה נסמכה פרשת מרגלים לבד לפרשת מרים דהיה, לו לסמוך ג""כ לפרשת קרח ולפרשת מרים, והיה לו להקדים מחלוקת קרח ואח""כ מרים ואח""כ מרגלים שהרי מחלוקתו של קרח בחצרות היה אבל עניין מרגלים בפארן היה. ומתרץ לפי שלקתה כו' ומ""ה כתב הפרשיות שלא על הסדר כדי לדרוש זה, ואם היה כותבן על הסדר אע""פ שהיה מקדים מרגלים למרים לא היה יכול לדרוש זה, דלמא כסדר הם נכתבים. הרא""ם. (נח""י) כבר כתבתי כ""פ שאין הרב כותב טעם להסמיכה אא""כ יש בכתוב איזה יתור או שנוי לשון וכיוצא בזה שהכתוב מקפיד על הסמיכה, אף בכאן מה שכתב וישלח אותם משה ממדבר פארן הוא מיותר, דהא לעיל מזה כתיב ויחנו במדבר פארן ופשיטא דמשם נשתלחו, אלא ודאי שהכתוב הודיע לנו מקום השליחות ל""ל שאעפ""י שמחצרות נסעו ובאו למדבר פארן וה""ל לקחת מוסר ואפ""ה חטאו, ולא כפי' הרא""ם: @psלדעתך.@sp דק""ל והלא גלוי וידוע לפני השם שעתידים לחטוא ע""י שליחות זה, א""כ למה צוה להם הש""י שישלחו מרגלים לפניהם שעל ידם יבא פורענות להם שלא יבואו לא""י כי ימותו במדבר, וע""ז פי' אני איני מצוה לך. והרא""ם פי' ממלת שלח קדריש ולא ממלת לך, דכיון דכתיב ותקרבון אלי כלכם ותאמרו נשלחה אנשים לפנינו וגו', ובודאי נמלך משה בהקב""ה ובאתה התשובה שלח, ובהכרח הוא נתינת רשות ולא צווי כיון שהוא תשובת שאלה מורה הוא על נתינת רשות ולא ציווי, ומלת לך צ""ל או דרך הלשון כן הוא, כמו הגשם חלף הלך לו, או לדרוש כשראה הקב""ה את המרגלים שעתידין לחטא קרא אותן לשמו של משה, שלח לך וגו', וכשראה הקב""ה הזקנים שמעשיהם כשרים קרא אותן לשמו, שנא' אספה לי שבעים איש. רא""ם: @psומשה נמלך.@sp [ג""א] הקשה הרמב""ן לפי פי' רש""י שמשה נמלך בשכינה אם ישלח מרגלים א""כ הוא ג""כ חטא שהרי הקב""ה אמר שהארץ הוא טובה מאוד, ועוד שמצאנו בפי' בכתוב בפ' דברים וייטב בעיני הדבר א""כ למה היה יפה בעיניו. ונראה לפרש שודאי ישראל בקשו לשלוח מרגלים שאמרו לתור לנו את הדרך ואת הערים אשר נבא בהנה, כלומר כי מי שאינו מכיר הדרכים דרכו לשלוח מרגלים והוא דבר נכון וזרוז מצוה, שמשה שלח לרגל את יעזר ויהושע שלח שני אנשים ליריחו לפיכך אמר וייטב בעיני, אבל הש""י היודע מחשבות אדם הבין רוע כוונתם וא""ל אם תרצה שלח אני אמרתי להם כו' ואם בעל נפש אתה תעיין שם ותמצא מרגוע לנפשך במה שמאריך בענין זה: @psמקום לטעות.@sp וכדאמרינן הבא ליטמא פותחין לו. (נח""י) אין הפי' שישראל יטעו בכוונת דברי המרגלים אלא שהמרגלים יטעו, והיינו ארץ אוכלת יושבי' שטעו המרגלים וכמו שפי' הרב שם: "
Numbers 18:2," הלואי ומתנו.@sp פירוש לא לשון אילו כמו לו יש חרב בידי, לו חכמו. ומפני שפירוש הלואי, כמו מי יתן שהוא דבוק עם וי""ו אחריו, כמו מי יתן והיה לבבם, לכן הוצרך להוסיף וי""ו ומתנו, שהוא כמו מי יתן ומתנו: "
Numbers 19:3," אין זה ציווי כו'.@sp פי' דאם זה ציווי הוא אין נופל עליו לומר לפלא נדר או בנדבה דנדבה אינו ציווי. ולכך פי' ותעלה על לבבכם וכו': @psנחת רוח.@sp לא שהוא ית' מקבל נחת רוח מהקרבן, שהרי כתיב אם ארעב לא אומר לך וגומר כדלעיל פרשת תצוה. והא דפי' ריח ניחוח קודם או במועדיכם, מפני שפי' ועשיתם אשה שאינו ציווי רק כשתעלה על לבבכם לעשות אשה בעבור ריח ניחוח, אגב זה פי' ג""כ ריח ניחוח קודם במועדיכם: @psבשביל חובת מועדיכם.@sp הוצרך לפרש או שתעשו וכו', שלא תפרש לפלא נדר או לפלא נדבה או לפלא במועדיכם, וזה אינו כי קרבן המועדות חובה הם ואינן תלויין ביד המפלא: "
Numbers *19:1," יפה נדרשת במדרש רבי תנחומא.@sp דק""ל למה אמר ל' ויקח, ולפי שפי' רש""י בפ' בראשית ואני לא באתי לפרש רק פשוטו של מקרא ולא ע""פ המדרש, לכך פי' רש""י כאן פרשה זו יפה נדרשת וכו' שהוא קרוב לפשוטו, לכך אפרש אותו ע""פ המדרש ולא נצטרך לפרשו לפי פשוטו: @psנחלק מתוך העדה.@sp פי' לקיחה זו מחשביית היא הלב, והלב הוא הפועל וקרח הוא הפעול א""כ ויקח הוא כמו ויוקח כדעת המתרגם ואתפלג: @psד""א ויקח קרח משך ראשי סנהדראות.@sp דלטעם הא' קשה שיפרש ויקח ל' ויוקח, ל""פ ד""א ולפי ד""א קשה דלא פי' בקרא את מי לקח כמו גבי משה דכתיב קח את אהרן, ל""פ גם טעם ראשון: @psולא הזכיר בן יעקב.@sp ר""ל למה לא מיחסו גם כן אחר יעקב, ומתרץ יעקב ביקש וכו': @psוהיכן נזכר שמו.@sp כלומר היכן נזכר שמו של יעקב אבינו על קרח עד שנצטרך לתת טעם פה על שלא הוזכר שמו, והלא אין דרך כל המתייחסים לעלות אלא עד השבט בלבד. כ' הרא""ם אך קשה לפי המדרש שדרשו בסודם אל תבא נפשי אלו המרגלים, וכן מה שפירש רש""י בפרשת ויחי גבי בסודם אל תבא נפשי, זה מעשה זמרי שנאמר זמרי בן סלוא נשיא בית אב לשמעוני, ולא אמר בן יעקב היכן נזכר שמו על זמרי עד שנצטרך לתת טעם על מה שלא הוזכר שמו של יעקב על זמרי וכו'. והניח הדבר בצ""ע. עיין במה שכתבתי בפ' ויחי תירוץ על קושית הרא""ם: @psשכן לקהת ובניו.@sp רצונו לתרץ היאך באו דתן ואבירם לבני קהת להשתתף עם קרח שנתעורר על הכהונה שהרי הם לאו לוים ולאו בכורים נינהו, דכתיב ובני אליאב נמואל ודתן ואבירם ,ואם באים לחלוק על הכהונה בשביל נמואל אחיהם שהיה בכור, רחוק הוא שיכנסו לחלוק בשביל אחיהם, ונמואל עצמו שבעבורו המחלוקת לא נזכר בקרא שהיה מעורר: @psאוי לרשע אוי לשכנו.@sp [מהרש""ל] ומאמ""ז קבלתי דה""פ, כי אמר בתחילה יעקב ביקש רחמים וכו', וא""כ קשה דתן ואבירם שיחסם עד ראובן ולא אמר בן יעקב, ולא מצינו שביקש יעקב על ראובן שלא יתייחסו בניו אחריו במחלוקתו של קרח. ע""כ פי' אוי לרשע וכו' וממילא הם בכלל. ודו""ק ע""כ: @psומה ראה קרח.@sp פי' אעפ""י שקרח חשד את משה בכל מעשיו שעשה הכל מפי עצמו, מ""מ לא היה לו לחלוק על הכהונה שהרי אהרן בדין הוא קודם לו להיותו בן עמרם הבכור. הרא""ם. וא""ת ולמה לא פירש זה על הקרא והיאך תלה קושיא זו במה שפי' לעיל. וי""ל בשלמא קודם שפי' לעיל על דתן ואבירם לא הי' יכול להקשות מה ראה כו' לפי שגם הוא רצה להיות כהן, אבל עתה שפי' על דתן ואבירם בשביל שהיה שבט ראובן שרוי בחנייתן גבי דגלים, א""כ ש""מ שזה המחלוקת היה בשנה שנייה ליציאת מצרים, שהרי הדגלים התחילו בשנה השניי' כמו שמבואר בפ' במדבר, לכך מקשה רש""י מה ראה קרח לחלוק על משה בשביל הכהונה בשנה שנייה, למה לא חלק בשנה הראשונה מיד אחר הקמת המשכן. ותירץ רש""י נתקנא על נשיאותו של אליצפן וכו' שנתמנה ג""כ בשעת סידור הדגלים. וכיון שנכנס במחלוקת רצה לבטל הכל אף בדבר שאין לו זכות: @psנשיאותו של אליצפן.@sp וא""ת ולמה פי' רש""י לעיל לעורר על הכהונה, וי""ל דודאי אם היה נותן משה לקרח הנשיאות ודאי לא היה חולק על הכהונה, אבל כיון שנתן הנשיאות לאליצפן בא קרח לחלוק על הכל גם על הכהונה, לכך פירש רש""י הריני חולק עליו ומבטל את כל דבריו. וא""ת למה לא חלק גם על המלכות. וי""ל לפי שכבר היה עבודה בבכורים לכך נשתתפו עמו הבכורים לבטל דבריו של משה כדי שהם יהיו כהנים, אבל על המלכות כלם מסכימים שיהא משה מלך כי בדין הוא שהוציא אותם ממצרים. ועוד דלא כלם יהיו מלכים ולכן לא ישתתפו עמו לחלוק על המלכות: @psאלה קרואי העדה.@sp יש מקשים ל""ל להביא ראיי' מהתם דכתיב קרואי העדה, והתם גופא מנלן אלא מדכתיב נשיאי מטות והא הכא נמי נשיאי עדה כתיב. וי""ל דאי לאו מקרא דהתם ה""א דלאו ראשי סנהדראות היו מדכתיב קריאי מועד ש""מ שלא היו נקראין לכל דבר שבקדושה אלא לעיתים רחוקים. ולכך מביא מהתם שנקראים בכל פעם לכ""ד שבקדושה דכתיב קרואי העדה, כלומר לכל דבר שצריכין העדה. והא דהוסיף רש""י וכיוצא בהם, משום דהאנשים אשר נקבו בשמות לא היו כ""א י""ב נשיאי השבטים ואלה היו חמשים ומאתים הוכרח לומר וכיוצא בהם שכולם היו ראשי בני ישראל מהם נשיאי שבטים ומהם ראשי סנהדראות. ומהני ג""ש ללמוד שהיו ממדרגה של אליצור וחביריו, ומהני קרא דחמשים ומאתים דלא תימא דוקא הי""ב אשר נקבו בשמות ולא האחרים כיוצא בהן. רא""ם: @psטליתות שכולן תכלת.@sp דבסוף פרשת שלח לך כתיב ציצית וסמיך לי' ויקח קרח, כלומר נטל ציצית. וא""ת והרי רש""י לא דריש סמיכות רק היכא שאינו מקומו כמו שפירשתי בפ' שלח לך. וי""ל שגם כאן אינו מקומו לפי מה שפירשתי שמחלוקתו של קרח היה בשביל נשיאותו של אליצפן וזה היה קודם נסיעתן מהר ה'. א""כ למה סמכה כאן היה לו לסמוך בפ' במדבר סיני, לכך דרשינן סמוכות: [ג""א] וא""ת וקרח מה היה סבור אם טלית של תכלת פטורה מן הציצית שמא משה ג""כ ישיב שהיא פטורה ואין כאן מקום למחלוקת שלהם, ואם הי' סבור קרח שהיא חייבת וא""כ מנ""ל סברא זאת אם יש סברא לחייב א""כ שמא משה ג""כ ישיב הסברא ולא יהיה מקום לחלוק. ונראה שלא היה קרח עיקר כוונתו על הטלית בלבד אלא שהי' סבור שמשה ישיב שטלית שכולה תכלת פטורה מן הציצית ה""נ כל העדה כלם קדושים ואין אנו צריכין לכהן גדול ותעיין שם באריכות כי הוא מדמה מצות ציצית לכהונה: @psדתן ואבירם ואון בן פלת.@sp שלא תפרש בני ראובן קאי על פלת, ופלת הוא פלוא בן ראובן, שמצינו במקום אחר ג""כ כמו ובני דן חושים, ובני פלוא אליאב, אעפ""י שאינו אלא אחד קרא אותו בל' רבים, לכך פירש""י בני ראובן דתן ואבירם ואון בן פלת, ופלת ג""כ מבני בניו של ראובן: ואין להקשות איך ס""ד דפלת הוא פלוא, א""כ הו""ל להקדים און לדתן ואבירם כיון שהם בני אליאב בן פלוא, ואון בן פלוא עצמו. הא ל""ק דהקדים מי שהחזיק יותר במחלוקת. וא""ת דלמא האמת כן הוא ומנ""ל לרש""י, ונראה דלכן דקדק רש""י ונקט ואון בן פלת דהיל""ל דתן ואבירם ואון, בן פלת ל""ל אלא זה דיוקו ומדכתיב ואון בן פלת איפכא היל""ל בני אליאב ואון בני פלת בן ראובן, דאליאב ואון הם אחים בני פלת אם הוא פלוא ולא לדבר בני ראובן במקום בן ובן במקום בני, אלא בני ממשפחת ראובן לכן חזר ונקט רש""י ואון בן פלת נלי""ט. והרא""ם כתב י""מ שכוונתו לומר שבני ראובן שב לדתן ולאבירם לבדם, רצה לומר לא און כאלו אמר בני ראובן דתן ואבירם הם. אבל און בן פלת הוא ולא מבני ראובן. וי""מ שכונתו שאדרבא שישוב גם לאון שלא תאמר שבני ראובן ישוב לדתן ולאבירם ולא לאון הואיל ולא מצינו נזכר בשום מקום לא און ולא פלת בבני ראובן. והוא דחה שני הפירושים האלו, והנ""ל כתבתי: "
Numbers 20:2," שבתוך המחתות.@sp לא גם האש שעל המזבח, דא""כ מאי כי קדשו דקאמר, מאי מונעת האש שעל גבי המזבח מקדושתן: @psמעל המחתות.@sp לא למקום רחוק, דא""כ הי' לו לפרש לאיזה מקום: @psהמחתות.@sp אבל לא האש דאל""כ לא הי' להם לזרוק לארץ. ופי' אח""כ ומה טעם קדשו, שהם אסורים בהנאה שעשאום מקריבי הקטורת כלי שרת וטעונים גניזה: "
