Ref,,Text,,edit footnote,Footnotes
Genesis 17 20,,twelve princes,twelve exalted-leaders,,"And as for Yishmael, I hearken to you:<br> here, I will make him<sup>•</sup><i class='footnote'><b>make him blessed … make him bear fruit … make him many:</b> Heb. <i>berakhti oto ve-hifreiti oto vehirbeiti oto</i>.</i> blessed, I will make him bear fruit, I will make him exceedingly, exceedingly many—<br> he will beget twelve exalted-leaders, and I will make a great nation of him."
Genesis 20 13,,faithfulness,favor,,"Now it was, when the power-of-God caused me to roam<sup>•</sup><i class='footnote'><b>roam:</b> A word which in Genesis suggests a wandering that is nevertheless directed by God. See 21:14 and 37:15 for other examples. This passage gives us a fascinating glimpse of Avraham’s own perception of the events in Chap. 12. It is not unusual for the biblical storyteller to give out informa-tion in this manner (in a later speech of the protagonist),</i> from my father’s house,<br> that I said to her:<br> Let this be the favor that you do me:<br> in every place that we come, say of me: He is my brother."
Genesis 22 10,,slay,slaughter,,"And Avraham stretched out his hand,<br> he took the knife to slaughter his son."
Genesis 22 16,,YHWH’s utterance,utterance,,"and said:<br> By myself I swear<br> —<small>YHWH’S</small> utterance—<br> indeed, because you have done this thing, have not withheld your son, your only one,"
Genesis 24 11,,setting time,sunset,,"He had the camels kneel outside the town at the water well<br> at sunset, at the time when the water-drawers<sup>•</sup><i class='footnote'><b>water-drawers:</b> Female.</i> go out,"
Genesis 25 16,,twelve princes,twelve leaders,,"These are the sons of Yishmael, these their names, in their farmsteads and in their corrals,<br><sup>•</sup><i class='footnote'><b>corrals:</b> Others (including Buber) use “circled encampments.”</i> twelve leaders for their tribes."
Genesis 25 20,,country of Aram,Paddan Aram,,"Yitzhak was forty years old<sup>•</sup><i class='footnote'><b>forty years old:</b> Another schematic number. Twenty years later (see v.26), his wife will bear him children.</i> when he took Rivka daughter of Betuel the Aramean,<sup>•</sup><i class='footnote'><b>Aramean:</b> Three times in this verse the root ‘Aram” confirms what we learned in the previous chapter—the importance of family and lineage here,</i> from Paddan Aram, sister of Lavan the Aramean, for himself as a wife."
Genesis 27 4,,delicacy,tasty-dish,,"and make me a tasty-dish, such as I love;<br> bring it to me, and I will eat it,<br> that I may give you my own blessing<sup>•</sup><i class='footnote'><b>my own blessing:</b> Or “my special blessing.” Heb. <i>nefesh</i> frequently means “self” or “personality.”</i> before I die."
Genesis 27 13,,Let your curse be on me,On me be your curse,,"His mother said to him:<br> On me be your curse, my son!<br> Only: listen to my voice and go, take them for me."
Genesis 27 44,,days,time,,"and stay with him for some time, until your brother’s fury has turned away,"
Genesis 28 2,,arise go to the country of Aram,"Arise, go to Paddan Aram",,"Arise, go to Paddan Aram, to the house of Betuel, your mother’s father,<br> and take yourself a wife from there, from the daughters of Lavan, your mother’s brother."
Genesis 28 12,,ladder,stairway,,"And he dreamt:<br> here,<sup>•</sup><i class='footnote'><b>Here:</b> The word (three times) emphasizes the immediacy of the report; it is the vocabulary of dreams, as in 37:7 (Andersen).</i> a stairway was set up on the earth,<br> its top reaching the heavens,<br> and here, messengers of God were going up and down on it."
Genesis 29 14,,Renewing-of-the-Moon,the days of a month.,,"Lavan said to him:<br> Without doubt you are my bone, my flesh!<br> And he stayed with him the days of a month."
Genesis 29 16,,Lea,Le’a,,"Now Lavan had two daughters: the name of the elder was Le’a, the name of the younger was Rahel."
Genesis 31 20,,stole-the-wits,stole the wits,,"Now Yaakov stole the wits of Lavan the Aramean,<br> by not telling him that he was about to flee."
Genesis 31 24,,be it good or ill,good or ill!,,"But God came to Lavan the Aramean in a dream of the night<br> and said to him:<br> Take you care,<br> lest you speak to Yaakov, good or ill!"
Genesis 33 15,,For what reason?,"Why, now?",,"Esav said:<br> Pray let me leave with you<sup>•</sup><i class='footnote'><b>leave with you:</b> Or “station with you,” “put at your disposal.”</i> some of the people who are mine.<br><sup>•</sup><i class='footnote'><b>mine:</b> Lit. “with me.”</i> But he said:<br> Why, now?<br> May I only find favor in my lord’s eyes!"
Genesis 33 19,,lambs’-worth,<i>kesitas</i>,,"And he acquired<sup>•</sup><i class='footnote'><b>he acquired:</b> Like his grandfather Avraham, Yaakov must purchase the land.</i> the piece of territory where he had spread out his tent, from the Sons of Hamor, Shekhem’s father, for a hundred <i>kesitas</i>."
Genesis 34 2,,forcing,he forced,"Or ""he humbled.""","And Shekhem son of Hamor<sup>•</sup><i class='footnote'><b>Hamor:</b> Heb. “donkey.” Some take the name to prove that they were donkey-drivers, while others see it as an insult to the character.</i> the Hivvite, the prince of the land, saw her;<br> he took her and lay with her: he forced her."
Genesis 34 19,,desired,took delight,,"and the young man did not hesitate to do the thing,<br> for he took delight in Yaakov’s daughter.<br> Now he carried more weight<sup>•</sup><i class='footnote'><b>carried more weight:</b> I.e., was more respected.</i> than anyone in his father’s house."
Genesis 35 29,,Then Yitzhak expired,then Yitzhak expired,,"then Yitzhak expired.<br> He died and was gathered to his kinspeople, old and satisfied in days.<br> Esav and Yaakov his sons buried him."
Genesis 37 11,,remembered,kept the matter in mind,"Or ""remembered.”","His brothers envied him,<br> while his father kept the matter in mind."
Genesis 37 33,,torn-to-pieces,ripped-to-pieces,,"He recognized it<br> and said:<br> My son’s<sup>•</sup><i class='footnote'><b>My son’s coat:</b> With the omission of “It is,” the shock is conveyed more dramatically. Some ancient versions, however, include the phrase.</i> tunic!<br> An ill-tempered beast has devoured him!<br> Yosef is ripped, ripped-to-pieces!"
Genesis 39 6,,fair of form and fair to look at,beautiful of form and beautiful of appearance,,"So he left<sup>•</sup><i class='footnote'><b>left:</b> Consigned; see also v.13 for a play on words.</i> everything that was his in Yosef’s hands,<br> and did not not concern himself about anything with him there except for the bread that he<sup>•</sup><i class='footnote'><b>except for the bread that he ate:</b> Since the Egyptians did not eat with foreigners (see, for instance, 43:32).</i> ate.<br> Now Yosef was beautiful of form and beautiful of appearance."
Genesis 41 43,,Avrekh/Attention,<i>Avrekh!</i>/Attention!,,"he had him mount the chariot of his second-in-rank, and they called out before him: <i>Avrekh!</i>/Attention!<br> Thus he placed him over all the land of Egypt."
Genesis 42 24,,imprisoning,imprisoned,,"But he turned away from them and wept.<br> Then he returned to them; he spoke to them and had Shim’on taken away from them, and imprisoned him before their eyes.<sup>•</sup><i class='footnote'><b>before their eyes:</b> As opposed to the sale of Yosef where their presence is not mentioned, strictly speaking.</i>"
Genesis 42 30,,harshly,roughly,,"The man,<sup>•</sup><i class='footnote'><b>The man:</b> Used eight times of Yosef in Chaps. 42–44, perhaps out of ironic anonymity.</i> the lord of the land, spoke roughly with us,<br> he took us for those that spy on the land!"
Genesis 42 38,,you will bring down my gray hair in grief,you will bring down my gray hair in grief,,"But he said:<br> My son is not to go down with you!<br> For his brother is dead,<br> and he alone is<sup>•</sup><i class='footnote'><b>he alone is left:</b> Of his mother Rahel (see 44:20).</i> left!<br> Should harm befall him on the journey on which you are going,<br> you will bring down my gray hair in grief to Sheol!"
Genesis 47 4,,It is to sojourn,We have come to sojourn,,"And they said to Pharaoh:<br> We have come to sojourn in the land,<br> for there is no grazing for the flocks that are your servants’,<br> for the famine is heavy in the land of Canaan.<br> So-now,<br> pray let your servants settle in the region of Goshen!"
Genesis 49 25,,give-you-blessing,may he bless you,,"By your father’s God—<br> may he help you,<br> and Shaddai,<br><sup>•</sup><i class='footnote'><b>Shaddai:</b> Once again connected to fertility (note the content of the following lines).</i> may he bless you:<br> blessings of the heavens, from above,<br> blessings of Ocean crouching below,<br> blessings of breasts and of womb!"
Genesis 49 31,,Lea,Le’a,,"There they buried Avraham and Sara his wife,<br> there they buried Yitzhak and Rivka his wife,<br> there I buried Le’a—"
Exodus 1 9,,(this) people,the people,,"He said to his people:<br> Here, the people of the Children of Israel is many-more and mightier [in number] than we!"
Exodus 2 20,,For-what-reason,"Why, then",,"He said to his daughters:<br> So-where-is-he?<br><sup>•</sup><i class='footnote'><b>So-where-is-he:</b> This is one word in the Hebrew (<i>ve-ayyo</i>). The whole verse stands in ironic contrast to Moshe’s earlier treatment (v. 14) at the hand of “his brothers” (Childs). There, he was rejected; here, his host cannot welcome him quickly enough.</i> Why, then, have you left the man behind?<br> Call him, that he may eat bread!<sup>•</sup><i class='footnote'><b>bread:</b> As often in both the Bible and other cultures, “bread” is here synonymous with “food.”</i>"
Exodus 2 24,,Avraham Yitzhak Yaakov,"with Avraham, with Yitzhak, and with Yaakov",,"God hearkened to their moaning;<br> God called-to-mind his covenant with Avraham, with Yitzhak, and with Yaakov;"
Exodus 3 2,,Yhwh’s messenger,<small>YHWH’S</small> messenger,,"And <small>YHWH’S</small> messenger was seen by him<br> as the flame<sup>•</sup><i class='footnote'><b>in the flame:</b> Others, “as a flame.”</i> of a fire out of the midst of a bush.<br> He saw:<br> now here, the bush<sup>•</sup><i class='footnote'><b>bush:</b> Jewish tradition identifies it as a thornbush, but the precise plant remains unknown. The bush, called <i>s’neh</i> in Hebrew, perhaps has the added function here of providing assonance with <i>Sinai</i>.</i> is burning with fire,<br> but the bush is not consumed!<sup>•</sup><i class='footnote'><b>the bush is burning … the bush is not consumed:</b> The use of tense (plus the opening “here”) conveys the immediacy of the vision.</i><sup>•</sup><i class='footnote'><b>not consumed:</b> The symbolism of the imperishable bush is left open for the reader; commentators suggest variously Israel and God himself.</i>"
Exodus 3 7,,known,known,,"Now <small>YHWH</small> said:<br> I have seen, yes, seen the affliction of my people<sup>•</sup><i class='footnote'><b>the affliction of my people:</b> Heb. <i>’oni ’ammi.</i></i><sup>•</sup><i class='footnote'><b>my people:</b> This fateful designation signals the beginning of the liberation process. The Golden Calf story (Chaps. 32ff.) provides a tragic variation on this phrase.</i> that is in Egypt,<br> their cry I have heard in the face of their slave-drivers;<br> indeed, I have known their sufferings!"
Exodus 3 14,,Ehyeh Asher Ehyeh,<small>EHYEH ASHER EHYEH</small>,,God said to Moshe:<br> <small>EHYEH ASHER EHYEH</small>/I will be however I will be.<br> And he said:<br> Thus shall you say to the Children of Israel:<br> <small>EHYEH/I-WILL-BE</small> has sent me to you.
Exodus 3 18,,slaughter (offerings),sacrifice,,"They will hearken to your voice,<br> and you will come, you and the elders of Israel, to the king of Egypt<br> and say to him:<br> <small>YHWH</small>, the God of the Hebrews, has met with us—<br> so now, pray let us go<sup>•</sup><i class='footnote'><b>pray let us go:</b> Interestingly, the initial request made of Pharaoh is not for emancipation but for permission to observe a religious festival. It eventually becomes clear that Israel cannot be Israel until it is free of Egyptian hegemony.</i> a three days’ journey into the wilderness<br> and let us sacrifice to <small>YHWH</small> our God!"
Exodus 5 2,,Who is Yhwh,Who is <small>YHWH</small>,,"Pharaoh said:<br> Who is <small>YHWH</small>, that I should hearken to his voice to send Israel free?<br> I do not know <small>YHWH</small>,<br><sup>•</sup><i class='footnote'><b>I do not know Y<small>hwh</small>:</b> Colloquially, “I care not a whit for Y<small>hwh</small>!” To Pharaoh’s pointed challenge, the entire narrative that follows is an answer (cf. 14:4, 18).</i> moreover, Israel I will not send free!"
Exodus 5 4,,For-what-reason,Why,,"The king of Egypt said to them:<br> Why, Moshe and Aharon,<br> would you let the people loose from their tasks?<br> Go back to your burdens!"
Exodus 5 18,,go—serve,"go, serve",,"so-now, go, serve;<br> no straw will be given to you,<br> and the full-measure in bricks you must give back!"
Exodus 6 2,,I am Yhwh,I am <small>YHWH</small>,,"God spoke to Moshe,<br> he said to him:<br> I am <small>YHWH</small>."
Exodus 7 11,,occult arts,occult-arts,,"Pharaoh too called for the wise men and for the sorcerers,<br> that they too, the magicians of Egypt, should do thus with their occult-arts,"
Exodus 7 14,,heavy-with-stubbomness,heavy-with-stubbornness,,<small>YHWH</small> said to Moshe:<br> Pharaoh’s heart is heavy-with-stubbornness—he refuses to send the people free.
Exodus 9 28,,enough is,too much is,,"Plead with <small>YHWH</small>,<br> for too much is the God-thunder and this hail!<br> Let me send you free—do not continue staying here!"
Exodus 10 2,,been capricious,dealt-wantonly,,"and in order that you may recount in the hearing of your child and of your child’s child<br> how I have dealt-wantonly with Egypt,<br> and my signs, which I have placed upon them—<br> that you may know that I am <small>YHWH</small>."
Exodus 10 21,,they,one,,"<small>YHWH</small> said to Moshe:<br> Stretch out your hand toward the heavens,<br> and let there be darkness over the land of Egypt,<br> so that one will feel darkness!"
Exodus 11 7,,sharpen,wag ,,"But against all the Children of Israel, not a dog shall wag its tongue, against either man or beast,<br> in order that you may know that <small>YHWH</small> makes a distinction between Egypt and Israel."
Exodus 11 7,,no dog,not a dog,,""""""
Exodus 12 2,,beginning-one,beginning-one,,"Let this month be for you the beginning of months,<br> the beginning-one let it be<sup>•</sup><i class='footnote'><b>Let this … be … let it be:</b> The rhetoric helps to focus attention on this important section.</i> for you of the months of the year."
Exodus 12 6,,they,they,,"It shall be for you in safekeeping, until the fourteenth day<sup>•</sup><i class='footnote'><b>fourteenth day:</b> Close to the full moon.</i> of this month,<br> and they are to slaughter it—the entire assembly of the community of Israel—between<sup>•</sup><i class='footnote'><b>between the setting-times:</b> At twilight. This time is mentioned elsewhere (e.g., 16:12; 29:39, 41; and several places in Numbers) in connection with the sacrifices made by the priests. This perhaps implies that we have here the unusual situation (at least in ancient Israel) of the head of the household performing a priestly function.</i> the setting-times."
Exodus 12 17,,matzot,Matzot,,And keep the [Festival of] <i>Matzot!</i><br> For on this same day<br> I have brought out your forces from the land of Egypt.<br> Keep this day throughout your generations as a law for the ages.
Exodus 12 41,,Yhwh”,<small>YHWH’S</small>,,"It was at the end of thirty years and four hundred years,<br> it was on that same day:<br> all of <small>YHWH’S</small> forces went out from the land of Egypt."
Exodus 12 41,,Yhwh’s forces,<small>YHWH’S</small> forces,,""""""
Exodus 12 48,,come-near,come near,,"Now when a sojourner sojourns with you, and would make the Passover-meal to <small>YHWH</small>,<br> every male with him must be circumcised, then he may come near to make it, and will be [regarded] as a native of the land.<br> But any foreskinned-man is not to eat of it."
Exodus 13 3,,Remember,Keep,,"Moshe said to the people:<br> Keep this day in mind,<br> on which you went out from Egypt, from a house of serfs,<br> for by strength of hand <small>YHWH</small> brought you out from here:<br> no fermentation is to be eaten."
Exodus 13 12,,for Yhwh,for <small>YHWH</small>,,"you are to transfer every breacher of a womb to <small>YHWH</small>, every breacher, offspring of a beast that belongs to you;<br> the males are for <small>YHWH</small>."
Exodus 13 13,,break-its-neck,break-its-neck,,"Every breacher of a donkey<sup>•</sup><i class='footnote'><b>a donkey:</b> Not one of the “pure” animals fit for sacrifice, and hence its substitution (“redeeming”) by a lamb.</i> you are to redeem<sup>•</sup><i class='footnote'><b>firstborn of men … redeem:</b> In this case the male child is symbolically transferred to God; child sacrifice was of course abhorrent to the Bible (see Gen. 22). To this day religious Jews “redeem” their firstborn sons with money given to charity, thirty days after birth (<i>Pidyon Ha-Ben</i>).</i> with a lamb;<br> if you do not redeem [it], you are to break-its-neck.<br> And every firstborn of men, among your sons, you are to redeem."
Exodus 13 17,,regret,regret,,"Now it was, when Pharaoh had sent the people free,<br> that God did not lead them by way<sup>•</sup><i class='footnote'><b>way:</b> Some take this to be a proper noun or name: “The Way/Road of the Land of the Philistines.”</i> of the land of the Philistines,<sup>•</sup><i class='footnote'><b>land of the Philistines:</b> That is, along the Mediterranean coast.</i> though it is nearer,<br> for God said [to himself]:<br> Lest the people regret it, when they see war,<br> and return to Egypt!"
Exodus 13 21,,Yhwh,<small>YHWH</small>,,"Now <small>YHWH</small> was going before<sup>•</sup><i class='footnote'><b>going before them:</b> Others, “went before them.” The Hebrew idiom here means “to lead,” especially in war, and is the classic biblical description of a king.</i> them,<br> by day as a column of cloud,<sup>•</sup><i class='footnote'><b>column of cloud:</b> Heb. <i>‘ammud’ anan.</i></i> to lead them the way,<br> by night as a column of fire,<sup>•</sup><i class='footnote'><b>cloud … fire:</b> These are seen as physical manifestations of God’s presence, and are brought back in the narrative at Sinai (19:16, 18).</i> to give light to them,<br> to [be able to] go by day and by night."
Exodus 14 6,,(fighting-) people,fighting-people,,"He had his chariot harnessed,<br> while his fighting-people he took with him,"
Exodus 15 1,,uttered (this) utterance,"they said, saying:",,"Then sang Moshe and the Children of Israel<br> this song to <small>YHWH</small>,<br> they said, saying:<br> I will sing to <small>YHWH</small>, <br> for he has triumphed,<sup>•</sup><i class='footnote'><b>triumphed:</b> A rendering based on Ugaritic.</i> yes, triumphed, <br> the horse and its charioteer he flung into the sea!"
Exodus 15 11,,Yhwh’s,<small>YHWH</small>,,"Who is like you among the gods,<sup>•</sup><i class='footnote'><b>among the gods:</b> The sea is the scene of</i> O <small>YHWH</small>? <br> Who is like you, majestic among the holy-ones, <br> Feared-One of praises, Doer of Wonders?"
Exodus 17 2,,For-what,Why,For-what. Notice how the text equates quarreling with Moshe and testing <small>YHWH</small>.,"The people quarreled with Moshe, they said:<br> Give us water, that we may drink!<br> Moshe said to them:<br> Why do you quarrel<sup>•</sup><i class='footnote'><b>quarrel:</b> A verb that often denotes a legal case in biblical texts.</i> with me?<br> Why do you test <small>YHWH</small>?"
Exodus 17 14,,account,record,,"<small>YHWH</small> said to Moshe:<br> Write this as a memorial in a record<br> and put it in Yehoshua’s hearing:<br> Yes, I will wipe out, wipe out the memory<sup>•</sup><i class='footnote'><b>wipe out the memory:</b> The command demonstrates the depth of Israel’s animosity toward Amalek.</i> of Amalek from under the heavens!"
Exodus 18 21,,caliber,value,,"but you—you are to have the vision [to select]<sup>•</sup><i class='footnote'><b>the vision (to select):</b> The verb “see” in Hebrew (<i>ra’oh</i>) also has the connotation of “select” (cf. Gen. 22:8).</i> from all the people men of value, holding God in awe,<br> men of truth, hating gain;<br> you should set [them] over them<br> as chiefs of thousands, chiefs of hundreds, chiefs of fifties, and chiefs of tens,"
Exodus 18 22,Exodus 19 22,lest Yhwh burst out,,,"so that they may render judgment for the people at all times.<br> So shall it be:<br> every great matter they shall bring before you,<br> but every small matter they shall judge by themselves.<br> Make [it] light upon you, and let them bear [it] with you."
Exodus 18 25,Exodus 19 25,and said to them,,,"Moshe chose men of value from all Israel;<br> he placed them as heads over the people,<br> as chiefs of thousands, chiefs of hundreds, chiefs of fifties, and chiefs of tens."
Exodus 20 7,,clear,clear,,"You are not to take up<br> the name of <small>YHWH</small> your God for emptiness,<br> for <small>YHWH</small> will not clear anyone<br> who takes up his name for emptiness.<sup>•</sup><i class='footnote'><b>take up … for emptiness:</b> Use for a false purpose. The traditional translation, “take in vain,” limits its scope unnecessarily.</i>"
Exodus 20 21,,sacrifices of shalom,<i>shalom</i>-offerings,,"An altar of earth you<sup>•</sup><i class='footnote'><b>you:</b> Here, second personal singular, as well as through v. 23.</i> are to make for me;<br> you are to sacrifice upon it<br> your offerings-up, your <i>shalom</i>-offerings,<br> your sheep and your oxen!<br> At every place<br> where I cause my name to be recalled<br> I will come to you<br> and bless you."
Exodus 20 21,,of soil,of earth,,""""""
Exodus 21 12,,put-to-death,put to death,,"He that strikes a man, so that he dies,<br> is to be put to death, yes, death."
Exodus 21 21,,“money”,silver,,"nonetheless, if for a day or two-days he endures,<br> it is not to be avenged, for he is his own “silver.”"
Exodus 22 27,,one exalted,a leader,,"God you are not to insult,<br> and a leader among your people you are not to curse."
Exodus 23 17,,Yhwh,<small>YHWH</small>,,"At three points in the year<br> are all your males to be seen<br> before the presence of the Lord, <small>YHWH</small>."
Exodus 23 17,,the Lord Yhwh,"the Lord, <small>YHWH</small>",,""""""
Exodus 24 11,Exodus 25 11,a rim of gold all around,,,"Yet against the Pillars of the Children of Israel, he did not send forth his hand;<br> they beheld Godhood<br> and ate and drank."
Exodus 24 16,Exodus 25 16,Testimony,,,"the Glory of <small>YHWH</small> took up dwelling on Mount Sinai.<br> The cloud covered it for six days,<br> and he called to Moshe on the seventh day from amidst the cloud."
Exodus 24 17,Exodus 25 17,purgation-cover,,,And the sight of the Glory of <small>YHWH</small><br> was like a consuming fire<br> on top of the mountain<br> in the eyes of the Children of Israel.
Exodus 24 18,Exodus 25 18,winged-sphinxes,,,Moshe came into the midst of the cloud<br> and he went up the mountain.<br> And Moshe was on the mountain<br> for forty days and forty nights.
Exodus 28 12,,for remembrance,for reminder,,"You are to place the two stones on the shoulder-pieces of the <i>efod</i>,<br> as stones of reminder for the Children of Israel.<br> And Aharon is to bear their names before the presence of <small>YHWH</small><br> on his two shoulders,<br> for reminder."
Exodus 28 31,,tunic,robe,,You are to make the robe for the <i>efod</i><br> completely of blue-violet.
Exodus 32 9,,hard-necked,hard necked,,"And <small>YHWH</small> said to Moshe:<br> I see this people—<br> and here, it is a hard necked people!"
Exodus 32 12,,be sorry,repent ,,"Why<br> should the Egyptians [be able to] say, yes, say:<br> With evil intent he brought them out,<br> to kill them in the mountains,<br> to destroy them from the face of the earth?<br> Turn away from your flaming anger,<br> repent of the evil<sup>•</sup><i class='footnote'><b>the evil:</b> Destruction. The biblical use of “evil” (<i>ra’</i>) corresponds more closely to our idea of “ill” as in “ill-fortune”; it includes not only immorality but also disasters that befall people.</i> [intended] against your people!"
Exodus 32 25,,gotten-loose,gotten loose,,"Moshe saw the people: that it had gotten loose,<br> for Aharon had let it loose for whispering<sup>•</sup><i class='footnote'><b>for whispering:</b> A derisive kind of whispering.</i> among their foes,"
Exodus 32 27,,every-man,everyone,,"He said to them:<br> Thus says <small>YHWH</small>, the God of Israel:<br> Put everyone his sword on his thigh,<br> proceed and go back-and-forth from gate to gate in the camp,<br> and kill<br> everyone his brother, everyone his neighbor, everyone his relative!"
Exodus 33 13,,indeed your people,"indeed, this nation",,"So now—<br> if I have, pray, found favor in your eyes,<br> pray let me know<sup>•</sup><i class='footnote'><b>know:</b> Intimately.</i> your ways,<br> that I may [truly] know you,<br> in order that I may find favor in your eyes:<br> see,<br> indeed, this nation is your people!"
Exodus 34 8,,Quickly,Hastily ,,"Hastily Moshe did homage on the ground, and bowed low,"
Exodus 38 26,,603550,six hundred thousand and three thousand and five hundred and fifty,,"a <i>beka</i>/split-piece per capita, the half of a <i>shekel</i> by the Holy-Shrine <i>shekel,</i><br> for every one who went through the counting,<br> from the age of twenty years and upward,<br> for the six hundred thousand and three thousand and five hundred and fifty."
Exodus 39 3,,to make-use-of them amidst,to make-use-of-them amid,,"Then were beat out sheets of gold<br> and they were split into threads,<br> to make-use-of-them amid the blue-violet, amid the purple, amid the worm scarlet and amid the twisted byssus,<br> [all] of designer’s making."
Leviticus 4 3,,bringing-guilt,guilt ,,"if the Anointed Priest<sup>•</sup><i class='footnote'><b>Anointed Priest:</b> The High Priest.</i> should sin, to the guilt of the people,<br> he is to bring near, for the sin that he has sinned,<br> a bull, a young of the herd, wholly-sound, for <small>YHWH</small> as a <i>hattat</i>/decontamination-offering.<sup>•</sup><i class='footnote'><b><i>hattat:</i></b> Cf. “On Translating Leviticus,” above. It should be pronounced “hah<i>taht</i>.”</i>"
Leviticus 5 21,,withholding,withholds,,"A person—when one sins and breaks-faith, yes, faith against <small>YHWH</small>:<br> he denies his fellow’s [charges] regarding a deposit, or what is placed in one’s hand [for safekeeping], or robbery,<br> or withholds [property] from his fellow;"
Leviticus 6 2,,for,regarding,,"Command Aharon and his sons, saying:<br> This is the Instruction [regarding] the offering-up—<br> that is what goes-up on the blazing-hearth on the altar all night, until daybreak,<br><sup>•</sup><i class='footnote'><b>until daybreak:</b> Since everything of the offering-up had to be burned (Bamberger).</i> while the fire of the altar is kept blazing on it:"
Leviticus 6 15,,sacrifice,make it,sacrifice.,"Thus shall the priest anointed in his stead, from [among] his sons, make it,<br> a law for the ages, for <small>YHWH</small>:<br> completely it is to be turned into smoke."
