Chapter,Segment.,English,Hebrew
1,12,"Most importantly, one has to know all the renowned figures of the generation. This is because if he cannot know and bind himself to each individual soul, he has to bind himself to all the renowned figures and leaders of the generation, under whom the souls are grouped. Each renowned figure and leader of the generation has a certain number of individual souls for which he is responsible. When a person binds himself to the renowned figures, he is bound to all the individual Jewish souls.","וְהָעִקָּר לֵידַע כָּל מְפֻרְסְמֵי הַדּוֹר, כִּי אִם אֵינוֹ יָכוֹל לֵידַע וּלְקַשֵּׁר עַצְמוֹ בִּפְרָטִיּוּת עִם כָּל נְשָׁמָה וּנְשָׁמָה, צָרִיךְ לְקַשֵּׁר עַצְמוֹ עִם כָּל מְפֻרְסְמֵי וּמַנְהִיגֵי הַדּוֹר, כִּי הַנְּשָׁמוֹת נֶחֱלָקִים תַּחְתָּם, כִּי כָל מְפֻרְסָם וּמַנְהִיג הַדּוֹר יֵשׁ לוֹ כַּמָּה נְשָׁמוֹת פְּרָטִיּוֹת הַשַּׁיָּכִים לְחֶלְקוֹ, וּכְשֶׁמְּקַשֵּׁר עַצְמוֹ עִם הַמְפֻרְסָמִים, הוּא מְקֻשָּׁר עִם כָּל פְּרָטֵי נִשְׁמוֹת יִשְׂרָאֵל."
1,13,"However, one has to be able to know and distinguish [between] renowned figures, because there are many renowned figures who are imposters. Their [renown] derives solely from arrogance, as our Sages, of blessed memory, taught: Impudence is kingship without a crown (Sanhedrin 105a).","אַךְ צָרִיךְ לֵידַע וּלְהַכִּיר אֶת הַמְפֻרְסָמִים, כִּי יֵשׁ כַּמָּה מְפֻרְסָמִים שֶׁהֵם בְּשֶׁקֶר, וְהֵם רַק עַל־יְדֵי עַזּוּת, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (סנהדרין קה.): עַזּוּת מַלְכוּתָא בְּלָא תָּגָא:"
1,14,"<b>4.</b> The way to recognize which of the renowned figures owe their position to arrogance is through building Yerushalayim, which is the concept of the heart. YeRuShaLayiM corresponds to <i>YiRah ShaLeM—</i> i.e., the perfection of fear, which is dependent upon the heart. This is as our Sages, of blessed memory, taught: Of those things that are given over to the heart, it is said, “And you shall fear your Lord!” (Kiddushin 32b).","<b>ד</b> וּלְהַכִּיר אֶת הַמְפֻרְסָמִים, אֵיזֶהוּ עַל־יְדֵי עַזּוּת, הוּא עַל־יְדֵי בִּנְיַן יְרוּשָׁלַיִם, שֶׁהוּא בְּחִינַת הַלֵּב, כִּי יְרוּשָׁלַיִם בְּחִינַת יִרְאָה שָׁלֵם (מ""ר וירא פ' נ""ו, ועי' מ""ר במדבר פ""ב ע""פ נאוה כירושלים), הַיְנוּ שְׁלֵמוּת הַיִּרְאָה, הַתְּלוּיָה בַּלֵּב, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (קדושין לב): דָּבָר הַמָּסוּר לַלֵּב נֶאֱמַר בּוֹ וְיָרֵאתָ:"
1,15,"However, there are three traits that destroy Yerushalayim/the heart, undermining fear, which is dependent upon the heart. The three traits are craving wealth, craving food and craving sexual pleasure. These three traits are [centered] in the heart and so [have the power to] undermine the fear in the heart.","אַךְ יֵשׁ שָׁלֹשׁ מִדּוֹת, שֶׁהֵם מַחֲרִיבֵי יְרוּשָׁלַיִם, דְּהַיְנוּ הַלֵּב, הַיְנוּ שֶׁמַּפְסִידִין הַיִּרְאָה הַתְּלוּיָה בַּלֵּב. וְהַשָּׁלֹשׁ מִּדּוֹת הֵם: תַּאֲוַת מָמוֹן וְתַאֲוַת אֲכִילָה וְתַאֲוַת מִשְׁגָּל, כִּי שָׁלֹשׁ מִדּוֹת אֵלּוּ הֵם בַּלֵּב, וְעַל כֵּן הֵם מַפְסִידִים הַיִּרְאָה שֶׁבַּלֵּב."
1,16,"Wealth is rooted in the heart, as in “God’s blessing enriches, and no sadness is added to it” (Proverbs 10:22), and “and it saddened Him in His heart” (Genesis 6:6).","מָמוֹן שָׁרְשׁוֹ בַּלֵּב, בִּבְחִינַת (משלי י׳:כ״ב): בִּרְכַּת ה' הִיא תַעֲשִׁיר, וְלֹא יוֹסִף עֶצֶב עִמָּהּ; בְּחִינַת (בראשית ו׳:ו׳): וַיִּתְעַצֵּב אֶל לִבּוֹ;"
1,17,Food is the concept of “and bread sustains the heart of man” (Psalms 104:15).,"אֲכִילָה, בְּחִינַת (תהילים ק״ד:ט״ו): וְלֶחֶם לְבַב אֱנוֹשׁ יִסְעָד."
1,18,"Sexual desire, too, is in the heart, because the desire stems mainly from the passion produced by the blood in the heart’s ventricle.","תַּאֲוַת מִשְׁגָּל גַּם כֵּן בַּלֵּב, כִּי עִקָּר הַתַּאֲוָה עַל־יְדֵי הַחֲמִימוּת, הַבָּא מֵהַדָּם שֶׁבְּחָלָל הַלֵּב."
1,19,"And because they are [centered] in the heart, they undermine the fear in a person’s heart, which is Yerushalayim.","וּמַחֲמַת שֶׁהֵם בַּלֵּב, עַל־כֵּן הֵם מַפְסִידִין הַיִּרְאָה שֶׁבַּלֵּב שֶׁהִיא בְּחִינוֹת יְרוּשָׁלַיִם:"
1,20,"This is the explanation of: <b>The night consists of three watches. [At each watch, the Holy One, blessed be He, sits and roars like a lion, as it says: “God roars from on high…”</b> (Jeremiah 25:30) <b>. The sign [for each watch] is as follows: The first watch, a donkey brays; the second, dogs bark; the third, an infant nurses from its mother’s breasts and a woman converses with her husband]</b> (Berakhot 3a).",וְזֶה פֵּרוּשׁ (ברכות ג): שָׁלֹשׁ מִשְׁמָרוֹת הֲוֵי הַלַּיְלָה וְכוּ'.
1,21,"“Night” connotes darkness—i.e., obstacles. These are the three watches, the three traits. ","לַיְלָה זֶה בְּחִינַת חֹשֶׁךְ, הַיְנוּ מְנִיעוֹת, וְהֵם בְּחִינַת שָׁלֹשׁ מִשְׁמָרוֹת, הַיְנוּ בְּחִינַת שָׁלֹשׁ מִדּוֹת הַנַּ""ל."
1,22,"And this is: “The first watch, a donkey brays.” This corresponds to the craving for wealth, as in “Yissakhar is a strong-boned donkey” (Genesis 49:14), which Onkelos renders as “[Yissakhar is] rich with possessions.”","וְזֶהוּ: מִשְׁמָרָה רִאשׁוֹנָה – חֲמוֹר נוֹעֵר, בְּחִינַת תַּאֲוַת מָמוֹן, בְּחִינַת (בראשית מ״ט:י״ד): יִשָּׂשׂכָר חֲמֹר גָּרֶם; וְתַרְגּוּמוֹ: עֲתִיר בְּנִכְסִין."
1,23,"“The second, dogs bark.” This connotes the craving for food, as it is written: “The dogs are brazen, they are never satiated” (Isaiah 56:11).","שְׁנִיָּה – כְּלָבִים צּוֹעֲקִים. זֶה בְּחִינַת תַּאֲוַת אֲכִילָה, כְּמוֹ שֶׁכָּתוּב (ישעיהו נ״ו:י״א): וְהַכְּלָבִים עַזֵּי נֶפֶשׁ לֹא יָדְעוּ שָׂבְעָה."
1,24,"“The third, an infant nurses from its mother’s breasts and a woman converses with her husband.” This connotes &lt;the craving for&gt; sexual pleasure, as our Sages, of blessed memory, taught: “They saw her conversing…” (Ketuvot 13a).","שְׁלִישִׁית – תִּינוֹק יוֹנֵק מִשְּׁדֵי אִמּוֹ, וְאִשָּׁה מְסַפֶּרֶת עִם בַּעְלָהּ; זֶה בְּחִינַת מִשְׁגָּל, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (כתובות יג.): רָאוּהָ מְדַבֶּרֶת וְכוּ',"
1,25,"And this is the meaning of “an infant nurses from its mother’s breasts,” because this desire is related to nursing. If an infant suckles milk from an immodest woman, this desire becomes stronger within him, because “the blood decomposes and turns into milk” (Bekhorot 6b). Therefore, when she is immodest, the milk produced by the decomposition of her blood is harmful to the infant, generating passion in his heart, which strengthens this craving. Conversely, when he suckles milk from a modest woman, his heart is hollow within him and he has only as much passion as is necessary for [fulfilling] the commandments of the Creator, blessed be His Name.","וְזֶהוּ: תִּינוֹק יוֹנֵק מִשְּׁדֵי אִמּוֹ; כִּי תַּאֲוָה זוֹ לְפִי הַיְנִיקָה: אִם הַתִּינוֹק יוֹנֵק מֵחֲלֵב אִשָּׁה חֲצוּפָה, אֲזַי מִתְגַּבֵּר בּוֹ תַּאֲוָה זוֹ, כִּי דָּם נֶעְכָּר וְנַעֲשֶׂה חָלָב (בכורות ו:), וְעַל־כֵּן כְּשֶׁהִיא חֲצוּפָה, אֲזַי מַזִּיק לְהַתִּינוֹק חָלָב הַנַּעֲשֶׂה מֵעֲכִירַת דָּמֶיהָ, וְנוֹלָד לוֹ חֲמִימוּת בְּלִבּוֹ, שֶׁהוּא הִתְגַּבְּרוּת תַּאֲוָה זוֹ. וְכֵן לְהֵפֶךְ, כְּשֶׁיּוֹנֵק חֲלֵב אִשָּׁה כְּשֵׁרָה, אֲזַי לִבּוֹ חָלָל בְּקִרְבּוֹ, וְאֵין לוֹ חֲמִימוּת, רַק מְעַט הַמֻּכְרָח לְמִצְוו‍ֹת הַבּוֹרֵא יִתְבָּרַךְ שְׁמוֹ"
1,26,"This is as our Sages, of blessed memory, taught (Avodah Zarah 4b) : David was not suited for that deed, as it is stated (Psalms 109:22), “and my heart is hollow within me.” The initial letters of <i>Lebee Chalal B’kirbi</i> (“my heart is hollow within me”) spell <i>ChaLaV</i> (milk). In other words, because of the modest woman’s milk, his heart is hollow within him and this desire does not dominate him. Therefore David, who had attained this level, was not suited for that deed. Conversely, the milk of an immodest woman generates excessive passion &lt;in the heart&gt;, corresponding to “<i>Cham Lebee B’kirbi</i> (My heart is hot within me)” (Psalms 39:4), the initial letters of which spell <i>ChaLaV,</i> [in the manner] explained above.","וְזֶה שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (ע""ז ד:): לֹא הָיָה דָּוִד רָאוּי לְאוֹתוֹ מַעֲשֶׂה, שֶׁנֶּאֱמַר (תהילים ק״ט:כ״ב): וְלִבִּי חָלַל בְּקִרְבִּי. כִּי לִבִּי חָלַל בְּקִרְבִּי – רָאשֵׁי תֵבוֹת חָלָב, הַיְנוּ שֶׁעַל יְדֵי חָלָב כְּשֵׁרָה לִבּוֹ חָלַל בְּקִרְבּוֹ, וְאֵין מִתְגַּבֵּר בּוֹ תַּאֲוָה זוֹ, וְעַל־כֵּן דָּוִד, שֶׁהָיָה בִּבְחִינָה זוֹ, לֹא הָיָה רָאוּי לְאוֹתוֹ מַעֲשֶׂה. וּלְהֶפֶךְ, חָלָב אִשָּׁה חֲצוּפָה מוֹלִיד חֲמִימוּת הַרְבֵּה, בְּחִינַת: חַם לִבִּי בְּקִרְבִּי (תהילים ל״ט:ד׳) – רָאשֵׁי תֵבוֹת חָלָב וְכַנַּ""ל."
1,27,"And this is the meaning of what our Sages, of blessed memory, taught: At each watch, the Holy One, blessed be He, sits and roars like a lion (Berakhot, op. cit.)—i.e., over the undermining of fear, as in “A lion has roared; who will not fear?” (Amos 3:8). This is because the three traits, which are the three watches, undermine the building of Yerushalayim—i.e., the perfection of fear, which depends upon the heart.","וְזֶהוּ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (שם בברכות): וְעַל כָּל מִשְׁמָר וּמִשְׁמָר יוֹשֵׁב הַקָּדוֹשׁ־בָּרוּךְ־הוּא וְשׁוֹאֵג כַּאֲרִי; הַיְנוּ עַל הֶפְסֵד הַיִּרְאָה, בְּחִינַת: אַרְיֵה שָׁאָג מִי לֹא יִירָא (עמוס ג׳:ח׳); כִּי שָׁלֹשׁ מִדּוֹת הַנַּ""ל שֶׁהֵם בְּחִינַת שָׁלֹשׁ מִשְׁמָרוֹת, הֵם מַפְסִידִין בִּנְיַן יְרוּשָׁלַיִם, הַיְנוּ שְׁלֵמוּת הַיִּרְאָה, הַתְּלוּיָה בַּלֵּב כַּנַּ""ל:"
1,28,"<b>5.</b> Now, the way to rectify these three traits is through unitive knowledge and awareness of God (<i>daat</i>). It is necessary to draw this unitive knowledge and awareness into the heart, as in (Deuteronomy 4:39), “Know it today and ponder it in your heart.” One has to draw the <i>daat</i> into the heart and thereby rectify the three traits.","<b>ה</b> וּלְתַקֵּן שָׁלֹשׁ מִדּוֹת אֵלּוּ הוּא עַל־יְדֵי הַדַּעַת, שֶׁצְּרִיכִין לְהַמְשִׁיךְ הַדַּעַת אֶל הַלֵּב, בִּבְחִינַת (דברים ד׳:ל״ט): וְיָדַעְתָּ הַיּוֹם וַהֲשֵׁבוֹתָ אֶל לְבָבֶךָ, שֶׁצָּרִיךְ לְהַמְשִׁיךְ הַדַּעַת אֶל הַלֵּב, וְעַל־יְדֵי־זֶה נִתְתַּקֵּן שָׁלֹשׁ מִדּוֹת הַנַּ""ל."
1,29,"For <i>daat</i> corresponds to the three mentalities, the three regions of the brain. These also correspond to the Three Festivals.","כִּי הַדַּעַת הוּא בְּחִינַת תְּלָת מֹחִין, תְּלָת חֲלָלֵי דְּגֻלְגַּלְתָּא, וְהֵם בְּחִינַת שָׁלֹשׁ רְגָלִים,"
1,30,"Each festival signifies a renewal of the mentalities, as a new intellect is drawn to rectify these three traits. In other words, on each of the Three Festivals one of the three traits is rectified. We must therefore take great care to honor the Three Festivals and celebrate them fittingly, because it is through the mitzvot of the Three Festivals that we merit rectifying these three traits.","כִּי כָל רֶגֶל הוּא בְּחִינַת הִתְחַדְּשׁוּת הַמֹּחִין, שֶׁנִּמְשָׁךְ שֵׂכֶל חָדָשׁ לְתַקֵּן שָׁלֹשׁ מִדּוֹת אֵלּוּ, הַיְנוּ בְּכָל רֶגֶל מִשָּׁלֹשׁ רְגָלִים נִתְתַּקֵּן מִדָּה אַחַת מִשָּׁלֹשׁ מִדּוֹת הַנַּ""ל. עַל־כֵּן צְרִיכִין לִזָּהֵר מְאֹד בִּכְבוֹד יוֹם טוֹב, וּלְקַבֵּל הַשָׁלֹשׁ רְגָלִים כָּרָאוּי. כִּי עַל־יְדֵי מִצְווֹת הַשָּׁלֹשׁ רְגָלִים, עַל־יְדֵי־זֶה זוֹכִין לְתַקֵּן הַשָּׁלֹשׁ מִדּוֹת הַנַּ""ל,"
1,31,"On Pesach the craving for wealth is rectified, as it is written (Exodus 12:36), “God granted the people favor in the eyes of the Egyptians, who lent them”—against their will (Berakhot 9b). The [Jews] did not want to &lt;receive&gt; anything, because the craving for wealth had at that time been rectified.","כִּי בְּפֶסַח נִתְתַּקֵּן תַּאֲוַת מָמוֹן, כְּמוֹ שֶׁכָּתוּב (שמות י״ב:ל״ו): וַה' נָתַן אֶת חֵן הָעָם בְּעֵינֵי מִצְרַיִם וַיַּשְׁאִילוּם – בְּעַל כָּרְחָם (ברכות ט), כִּי הֵם לֹא רָצוּ כְּלָל, כִּי אָז נִתְתַּקֵּן תַּאֲוַת מָמוֹן."
1,32,"On Shavuot the craving for sex is rectified, as in “the blood decomposes and turns into milk.”","בְּשָׁבוּעוֹת נִתְתַּקֵּן תַּאֲוַת מִשְׁגָּל, בִּבְחִינַת: דָּם נֶעְכָּר וְנַעֲשֶׂה חָלָב."
1,33,"On Sukkot the craving for food is rectified, because Sukkot is called “the Festival of the Ingathering” (Exodus 23:16), when one gathers in all types of food. This is rectifying the craving for food, for “there is no similarity between one who has bread in his basket and one who does not” (Yoma 74b).","בְּסֻכּוֹת נִתְתַּקֵּן תַּאֲוַת אֲכִילָה, כִּי סֻכּוֹת נִקְרָא חַג הָאָסִיף (שמות כ׳:כ״א׳:כ״אג), שֶׁאוֹסֵף כָּל מִינֵי מַאֲכָל, וְזֶהוּ בְּחִינַת תִּקּוּן תַּאֲוַת אֲכִילָה, כִּי אֵינוֹ דוֹמֶה מִי שֶׁיֵּשׁ לוֹ פַּת בְּסַלּוֹ לְמִי שֶׁאֵין לוֹ וְכוּ' (יומא עד:)."
1,34,"And this is the meaning of “those called up to meeting, men of name” (Numbers 16:2). “Men of name” refers to the three traits, as each one has the concept of name applied to it.","וְזֶהוּ בְּחִינַת (במדבר ט״ז:ב׳): קְרוּאֵי מוֹעֵד אַנְשֵׁי שֵׁם. אַנְשֵׁי שֵׁם זֶה בְּחִינַת שָׁלֹשׁ מִדּוֹת הַנַּ""ל, שֶׁכָּל אֶחָד וְאֶחָד נִקְרָא בְּחִינַת שֵׁם."
1,35,"Wealth—as it is written, “in every place I permit My Name to be mentioned I shall come to you and bless you” (Exodus 20:21). This is as in “God’s blessing enriches….”","מָמוֹן – כְּמוֹ שֶׁכָּתוּב (שמות כ): בְּכָל מָקוֹם אֲשֶׁר אַזְכִּיר אֶת שְׁמִי אָבוֹא אֵלֶיךָ וּבֵרַכְתִּיךָ, בְּחִינַת: בִּרְכַּת ה' הִיא תַּעֲשִׁיר וְכוּ', כַּנַּ""ל."
1,36,"Food—as it is written, “and call a name in <i>Bet-Lechem</i> (lit., the House of Bread)” (Ruth 4:11).",אֲכִילָה – כְּמוֹ שֶׁכָּתוּב (רות ד׳:י״א): וְקָרָא שֵׁם בְּבֵית לָחֶם.
1,37,"Sexual desire—this is as in “unless the king desired her, and she was called by name” (Esther 2:14).",מִשְׁגָּל – בְּחִינַת (אסתר ב׳:י״ד): כִּי אִם חָפֵץ בָּהּ הַמֶּלֶךְ וְנִקְרְאָה בְשֵׁם.
1,38,"The fear in the heart likewise has the concept of a name applied to it, as in “to fear this glorious name” (Deuteronomy 28:58).","וְגַם הַיִּרְאָה שֶׁבַּלֵּב הִיא גַּם כֵּן בְּחִינַת שֵׁם, בִּבְחִינַת (דברים כ״ח:נ״ח): לְיִרְאָה אֶת הַשֵּׁם הַנִּכְבָּד."
