Chapter,Segment #,English,Hebrew
54,1,"Free will is the ability a person has to act as he wishes. Even [in] all things, a Jew has the power to behave entirely as he wishes—in the manner he chooses.","הַבְּחִירָה בְּיַד הָאָדָם לַעֲשׂוֹת כִּרְצוֹנוֹ. וַאֲפִלּוּ כָּל הַדְּבָרִים, הַכֹּל בְּיַד הָאִישׁ הַיִּשְׂרְאֵלִי לְהִתְנַהֵג הַכֹּל כִּרְצוֹנוֹ כִּבְחִירָתוֹ."
54,2,"The Jewish people have free will at their disposal with regard to everything in the world. For others, there are matters in which they are compelled. But for a Jew, whatever he does, such as traveling to some place and so on, involves service [of God], and so he has free will with regard to everything.","כִּי בְּיַד יִשְׂרָאֵל יֵשׁ בְּחִירָה בְּיָדָם עַל כָּל דָּבָר שֶׁבָּעוֹלָם. כִּי אֵצֶל אֲחֵרִים יֵשׁ דְּבָרִים שֶׁהֵם מֻכְרָחִים בָּהֶם, אֲבָל אֵצֶל אִישׁ הַיִּשְׂרְאֵלִי, כָּל דָּבָר וְדָבָר שֶׁהוּא עוֹשֶׂה, כְּגוֹן לִנְסֹעַ לְאֵיזֶה מָקוֹם וְכַיּוֹצֵא, יֵשׁ בּוֹ עֲבוֹדָה, וְעַל־כֵּן יֵשׁ לוֹ בְּחִירָה עַל הַכֹּל:"
55,1,"The profit of this world is inestimable—i.e., what a person can earn in this world. It is not even necessary for him to invest anything of his own for it. Just from what God has prepared for him he can spend generously and profit enormously. “No eye has seen it….”","רֶוַח הָעוֹלָם הַזֶּה אֵין לְשַׁעֵר, דְּהַיְנוּ מַה שֶּׁהָאָדָם יָכוֹל לְהַרְוִיחַ בְּזֶה הָעוֹלָם, וְאֵין צָרִיךְ עַל זֶה הוֹצָאוֹת מִשֶּׁלּוֹ, שֶׁקּוֹרִין ""אוֹישׂ־לַאג"", רַק מִמַּה שֶּׁהֵכִין לְפָנָיו הַבּוֹרֵא יִתְבָּרַךְ, יָכוֹל לְהַרְחִיב יָדוֹ וּלְהַרְוִיחַ הַרְבֵּה מְאֹד. עַיִן לֹא רָאָתָה וְכוּ':"
56,1,"When a person has a heart, place has no relevance whatsoever. On the contrary, he is the “place” of the world…. This is because Godliness is in the heart, as it is written, “Rock of my heart” (Psalms 73:26). And with reference to God it is stated: “See, there is a place with Me” (Exodus 33:21)—He is the Place of the world; the world is not His place.","כְּשֶׁיֵּשׁ לְהָאָדָם לֵב, אֵין שַׁיָּךְ אֶצְלוֹ מָקוֹם כְּלָל, כִּי אַדְּרַבָּא, הוּא מְקוֹמוֹ שֶׁל עוֹלָם וְכוּ'. כִּי הָאֱלֹקוּת הוּא בַּלֵּב, כְּמוֹ שֶׁכָּתוּב (תהלים ע""ג): צוּר לְבָבִי. וְאֵצֶל הַשֵּׁם יִתְבָּרַךְ נֶאֱמַר (שמות ל""ג): הִנֵּה מָקוֹם אִתִּי – שֶׁהוּא מְקוֹמוֹ שֶׁל עוֹלָם, וְאֵין הָעוֹלָם מְקוֹמוֹ."
56,2,"It follows, that it is inappropriate for someone with a Jewish heart to say that a particular place is unpleasing to him. This is because place has no relevance for him at all. On the contrary, he is the place of the world, and the world is not his place.","נִמְצָא, מִי שֶׁיֵּשׁ לוֹ לֵב יִשְׂרְאֵלִי, אֵין רָאוּי לוֹ לוֹמַר שֶׁמָּקוֹם זֶה אֵין טוֹב לְפָנָיו, כִּי אֵין שַׁיָּךְ אֶצְלוֹ מָקוֹם כְּלָל, כִּי אַדְּרַבָּא, הוּא מְקוֹמוֹ שֶׁל עוֹלָם, וְאֵין הָעוֹלָם מְקוֹמוֹ כַּנַּ""ל:"
57,1,"Know! when a great true tzaddik reveals wonderful and awesome original Torah insights, it is beneficial for those on a lesser level. Through this, a lesser level [tzaddik] gains prominence, such that everyone runs and comes to him.","דַּע, כְּשֶׁצַּדִּיק גָּדוֹל אֲמִתִּי מְגַלֶּה תּוֹרָה, חִדּוּשִׁים נִפְלָאִים וְנוֹרָאִים, הוּא טוֹבָה לְהַקְּטַנִּים בְּמַעֲלָה, שֶׁעַל־יְדֵי־זֶה נִתְגַּדֵּל הַקָּטָן בְּמַעֲלָה, שֶׁהַכֹּל רָצִים וּבָאִים אֵלָיו."
57,2,"In the Other Side, too, there is one who gains prominence in this way. We find this of Bilaam. When God gave the Torah to the Jewish people, all the nations came to Bilaam (as our Sages, of blessed memory, taught; Zevachim 116a).","וְגַם בְּהַסִּטְרָא־אָחֳרָא נִתְגַּדֵּל אֶחָד עַל־יְדֵי־זֶה, כְּמוֹ שֶׁמָּצִינוּ בְּבִלְעָם, כְּשֶׁנָּתַן הַשֵּׁם יִתְבָּרַךְ אֶת הַתּוֹרָה לְיִשְׂרָאֵל, בָּאוּ כָּל הָאֻמּוֹת לְבִלְעָם (כשארז""ל זבחים קטז)."
57,3,"It follows, that as a result of the Torah being given to the Jews, Bilaam gained prominence and the entire world came to him, whereupon he delivered a Torah lesson based on some verse. For when they came to him, they asked what they asked—“God sat enthroned at the Flood” (Psalms 29:10)—and he, basing himself on Scripture, answered them: “God [will give] strength” (ibid: 11).","נִמְצָא שֶׁעַל־יְדֵי נְתִינַת הַתּוֹרָה לְיִשְׂרָאֵל נִתְגַּדֵּל בִּלְעָם, וּבָאוּ אֵלָיו כָּל הָעוֹלָם, וְהוּא עָמַד עַצְמוֹ עַל אֵיזֶה פָּסוּק וְאָמַר לָהֶם תּוֹרָה. כִּי אָז כְּשֶׁבָּאוּ אֵלָיו, שָׁאֲלוּ אוֹתוֹ מַה שֶּׁשָּׁאֲלוּ – ה' לַמַּבּוּל יָשָׁב, וְהוּא עָמַד עַל פָּסוּק, וְהֵשִׁיב לָהֶם: ה' עֹז וְכוּ'."
57,4,"And the same is true of the Jews themselves, who are holy and would not come to Bilaam or anyone like him, God forbid. But when a great true tzaddik reveals original Torah insights, and as a result there is a great uproar that he is revealing such awesome original insights, everyone then gathers and comes to someone of a lesser level. They assemble by him to hear from him, on account of the uproar created by the great tzaddik’s original insights, and he bases himself on some verse and says to them what he says.","וְכֵן בְּיִשְׂרָאֵל בְּעַצְמָן שֶׁהֵם בִּקְדֻשָּׁה וְאֵינָם בָּאִים, חַס וְשָׁלוֹם, לְבִלְעָם וְכַיּוֹצֵא בּוֹ. אַךְ כְּשֶׁצַּדִּיק גָּדוֹל אֲמִתִּי מְגַלֶּה חִדּוּשִׁים, וְנַעֲשֶׂה רַעַשׁ גָּדוֹל, שֶׁזֶּה מְגַלֶּה חִדּוּשִׁים נוֹרָאִים כָּאֵלּוּ, אֲזַי כֻּלָּם מִתְקַבְּצִים וּבָאִים לְאֵיזֶה קָטָן בְּמַעֲלָה, וְנֶאֱסָפִים אֶצְלוֹ לִשְׁמֹעַ מִמֶּנּוּ, מֵחֲמַת הָרַעַשׁ שֶׁנַּעֲשֶׂה עַל־יְדֵי הַחִדּוּשִׁים שֶׁמְּגַלֶּה הַצַּדִּיק הַגָּדוֹל, וְהוּא עוֹמֵד עַצְמוֹ עַל אֵיזֶה פָּסוּק, וְאוֹמֵר לָהֶם מַה שֶּׁאוֹמֵר:"
58,1,"Some people say that when the tzaddik is on a high spiritual level, his greatness prevents him from supervising and keeping an eye on the inhabitants of the world, because He is distant from the world. Actually, it is not so. On the contrary, when the tzaddik is very great, he is able to supervise and keep an eye on the world even more.","יֵשׁ בְּנֵי־אָדָם שֶׁאוֹמְרִים, שֶׁכְּשֶׁהַצַּדִּיק גָּדוֹל בְּמַעֲלָה, מֵחֲמַת גְּדֻלָּתוֹ אֵינוֹ יָכוֹל לְהַשְׁגִּיחַ וּלְהִסְתַּכֵּל עַל בְּנֵי הָעוֹלָם, כִּי הוּא רָחוֹק מֵהָעוֹלָם. וּבֶאֱמֶת אֵינוֹ כֵן, כִּי אַדְּרַבָּא, כְּשֶׁהַצַּדִּיק גָּדוֹל מְאֹד, הוּא יָכוֹל לְהַשְׁגִּיחַ וּלְהִסְתַּכֵּל יוֹתֵר עַל הָעוֹלָם."
58,2,"We find this in connection with Rabbi Yochanan ben Zakkai. He was certainly on a very, very high spiritual level, far, far greater than present day tzaddikim, and even so said: “Woe is me if I say it! Woe is me if I do not!” (Keilim 17:16). It follows, that Rabbi Yochanan ben Zakkai was so schooled in the ways of the world that he dreaded delivering a Torah lesson, lest deceivers learn from him. You see, he was so fluent with the world that, on the contrary, he feared lest they learn deception from him. For, in fact, the greater the tzaddik, the greater his ability to supervise and keep an eye on the world. Isn’t God far more sublime and exalted than the world? Nonetheless, He supervises the entire world into the finest detail.","וּכְמוֹ שֶׁמָּצִינוּ בְּרַבָּן יוֹחָנָן בֶּן זַכַּאי, שֶׁבְּוַדַּאי הָיָה גָּדוֹל בְּמַעֲלָה מְאֹד מְאֹד, יוֹתֵר וְיוֹתֵר הַרְבֵּה מֵהַצַּדִּיקִים שֶׁבַּזְּמַן הַזֶּה, וְאַף־עַל־פִּי־כֵן אָמַר: אוֹי לִי אִם אֹמַר, אוֹי לִי אִם לֹא אֹמַר (כלים פ' יז מ' טז). נִמְצָא שֶׁרַבָּן יוֹחָנָן בֶּן זַכַּאי הָיָה בָּקִי כָּל־כָּךְ בְּתוֹךְ הָעוֹלָם, עַד שֶׁהָיָה מִתְיָרֵא לוֹמַר דִּבְרֵי־תוֹרָה, שֶׁלֹּא יִלְמְדוּ מִמֶּנּוּ הָרַמָּאִים. הֲרֵי שֶׁהָיָה בָּקִי מְאֹד בְּהָעוֹלָם, עַד שֶׁאַדְּרַבָּא, הָיָה מִתְיָרֵא פֶּן יִלְמְדוּ מִמֶּנּוּ רַמָּאוּת, כִּי בֶּאֱמֶת כָּל מַה שֶּׁהַצַּדִּיק גָּדוֹל בְּיוֹתֵר, יָכוֹל לְהַשְׁגִּיחַ וּלְהִסְתַּכֵּל בָּעוֹלָם יוֹתֵר, כִּי הֲלֹא הַשֵּׁם יִתְבָּרַךְ הוּא מְרוֹמָם וּמְנֻשָּׂא מְאֹד מְאֹד מִן הָעוֹלָם, וְאַף־עַל־פִּי־כֵן הוּא מַשְׁגִּיחַ בְּהַשְׁגָּחָה פְּרָטִית עַל כָּל הָעוֹלָם."
58,3,"In truth, whoever is “something” cannot be ubiquitous. This is because anything that has corporeality, when it is located here, it is not there. For example, when he is in the midst of a devotional practice, he cannot be keeping an eye on the world. But whoever is “nothing,” there is nowhere that he is not. This is because he has no hereness at all.","כִּי בֶּאֱמֶת מִי שֶׁהוּא יֵשׁ, אֲזַי אֵינוֹ יָכוֹל לִהְיוֹת בְּכָל מָקוֹם בְּבַת־אַחַת, כִּי מַה שֶּׁהוּא יֵשׁוּת, כְּשֶׁהוּא עוֹמֵד כָּאן אֵינוֹ כָּאן, כְּגוֹן כְּשֶׁהוּא בְּאֵיזֶה עֲבוֹדַת הַשֵּׁם, אֵינוֹ יָכוֹל לְהִסְתַּכֵּל בָּעוֹלָם. אֲבָל מִי שֶׁהוּא אַיִן, אֵין מָקוֹם שֶׁלֹּא יִהְיֶה שָׁם, כִּי אֵין לוֹ מָקוֹם כְּלָל."
58,4,"Therefore, the more the tzaddik is encompassed in nothingness, the more he is able to supervise and keep an eye on the world. It is not relevant to say of him that he is in a lofty place, distant from the world, for he has no hereness at all. This is as is brought in our teachings (Likutey Moharan I, 162), in the name of the Magid, concerning “He who wants to become wise, let him face south…” (Bava Batra 25b). See there.","וְעַל־כֵּן כָּל מַה שֶּׁהַצַּדִּיק נִכְלָל יוֹתֵר בָּאַיִן, הוּא יָכוֹל לְהַשְׁגִּיחַ וּלְהִסְתַּכֵּל בָּעוֹלָם בְּיוֹתֵר, כִּי אֵין שַׁיָּךְ לוֹמַר עָלָיו שֶׁהוּא בְּמָקוֹם גָּבוֹהַּ וְרָחוֹק מֵהָעוֹלָם, כִּי אֵין לוֹ מָקוֹם כְּלָל, וּכְמוֹ שֶׁמּוּבָא בִּדְבָרֵינוּ (בְּלִקּוּטֵי קַמָּא, סִימָן קסב) בְּשֵׁם הַמַּגִּיד, עַל הָרוֹצֶה לְהַחְכִּים יַדְרִים וְכוּ', עַיֵּן שָׁם:"
59,1,Some are quick and profit; some are quick and suffer loss (see Pesachim 50b).,"יֵשׁ זָרִיז וְנִשְׂכָּר, זָרִיז וְנִפְסָד (ע' פסחים נ:)."
59,2,"For know! one mitzvah drags another (Avot 4:2). It follows, that the mitzvah drags its companion. There is certainly some element between the mitzvot; that which is between mitzvah and mitzvah, which connects one mitzvah to its companion so that, as a result, the mitzvot are dragged one after another. In fact, this element itself, i.e., that which is between the mitzvot, is also extremely precious.","כִּי דַע, כִּי מִצְוָה גּוֹרֶרֶת מִצְוָה (אבות פ""ד), נִמְצָא שֶׁהַמִּצְוָה גּוֹרֶרֶת אֶת חֲבֶרְתָּהּ. וּבְוַדַּאי יֵשׁ אֵיזֶה בְּחִינָה בֵּין הַמִּצְווֹת, מַה שֶּׁהוּא בֵּין מִצְוָה לְמִצְוָה, שֶׁהוּא מְקַשֵּׁר מִצְוָה אַחַת לַחֲבֶרְתָּהּ, אֲשֶׁר עַל־יְדֵי־זֶה הַמִּצְווֹת נִגְרָרִים אַחַת אַחַר חֲבֶרְתָּהּ. וּבֶאֱמֶת זֹאת הַבְּחִינָה בְּעַצְמָהּ, הַיְנוּ מַה שֶּׁהוּא בֵּין הַמִּצְווֹת כַּנַּ""ל, זֹאת הַבְּחִינָה הִיא גַם־כֵּן יְקָרָה מְאֹד."
59,3,"Therefore, someone who is righteous from an early age and has walked the upright path from his first days, from level to level—as it is written of Avraham (Genesis 24:1), “Avraham was old, well advanced in days”; Avraham reached his level through the days, as is brought in the <i>Zohar</i> (I, 129a), for he recognized his Maker at the age of three (Nedarim 32a) and progressed constantly, from level to level—such a person suffers loss as a result of acting quickly. For when he is very quick and quickly runs from mitzvah to mitzvah, he thereby loses the element of holiness, that which is between mitzvah and mitzvah. On account of this quickness he bypasses and skips over this element. This is because the mitzvah itself is coming toward him, since it is being pulled and dragged in his direction by the first mitzvah, which drags the second one, as mentioned above. Thus, when he also runs quickly toward the mitzvah, he might skip over and bypass the aforementioned element—i.e., that which is between the mitzvot. He is therefore one who acts quickly and suffers loss. But if he waits a bit, he can in the meantime attain also the element between the mitzvot, as mentioned above.","וְעַל־כֵּן מִי שֶׁהוּא צַדִּיק מִנְּעוּרָיו וְהוֹלֵךְ בְּדֶרֶךְ הַיָּשָׁר מִיָּמָיו, מִדַּרְגָּא לְדַרְגָּא, כְּמוֹ שֶׁכָּתוּב בְּאַבְרָהָם (בראשית כ""ד): וְאַבְרָהָם זָקֵן בָּא בַּיָּמִים – שֶׁאַבְרָהָם בָּא לַדַּרְגָּא שֶׁלּוֹ עַל־יְדֵי הַיָּמִים, כַּמּוּבָא בַּזֹּהַר (חיי שרה דף קכט.), כִּי בֶּן שָׁלֹשׁ שָׁנִים הִכִּיר אֶת בּוֹרְאוֹ (נדרים לב), וְהָיָה הוֹלֵךְ תָּמִיד מִדַּרְגָּא לְדַרְגָּא. וּמִי שֶׁהוּא בִּבְחִינָה זוֹ, הוּא מַפְסִיד עַל־יְדֵי הַזְּרִיזוּת. כִּי כְּשֶׁהוּא זָרִיז גָּדוֹל וְרָץ בִּזְרִיזוּת מִמִּצְוָה לְמִצְוָה, אֲזַי הוּא מַפְסִיד עַל־יְדֵי־זֶה אֶת בְּחִינַת הַקְּדֻשָּׁה, מַה שֶּׁהוּא בֵּין מִצְוָה לְמִצְוָה כַּנַּ""ל. כִּי עַל־יְדֵי זֶה הַזְּרִיזוּת הוּא עוֹבֵר וּמְדַלֵּג עַל הַבְּחִינָה הַזֹּאת, כִּי הַמִּצְוָה בְּעַצְמָהּ הוֹלֶכֶת אֵלָיו, כִּי הִיא נִמְשֶׁכֶת וְנִגְרֶרֶת אֵלָיו עַל־יְדֵי הַמִּצְוָה רִאשׁוֹנָה, שֶׁגּוֹרֶרֶת אֶת הַשְּׁנִיָּה כַּנַּ""ל. וּכְשֶׁגַּם הוּא רָץ בִּזְרִיזוּת אֶל הַמִּצְוָה, אֲזַי יוּכַל לְדַלֵּג וְלַעֲבֹר אֶת הַבְּחִינָה הַנַּ""ל, דְּהַיְנוּ מַה שֶׁהוּא בֵּין הַמִּצְווֹת כַּנַּ""ל, וְעַל־כֵּן הוּא זָרִיז וְנִפְסָד. אֲבָל כְּשֶׁשּׁוֹהֶה קְצָת, יוּכַל בְּתוֹךְ כָּךְ לְהַשִּׂיג גַּם הַבְּחִינָה שֶׁבֵּין הַמִּצְווֹת כַּנַּ""ל."
59,5,"All this applies to someone who has consistently walked in God’s ways from a young age. But someone who needs to repent must actually be extremely quick, to hasten and run swiftly in order to save his soul. He is forbidden to delay at all, to stand and settle in. This is because a penitent does not go from level to level at all, and between him and the sacred there is none of the aforementioned element. Instead, he must start anew. He has to run and leap towards holiness. As is brought, the penitent must skip over that which he must skip over and jump toward holiness with great quickness. Such a person is one who is “quick and profits,” as mentioned above.","וְכָל זֶה – לְמִי שֶׁהוֹלֵךְ בְּדַרְכֵי ה' כַּסֵּדֶר מִנְּעוּרָיו. אֲבָל מִי שֶׁצָּרִיךְ לַעֲשׂוֹת תְּשׁוּבָה, הוּא צָרִיךְ דַּוְקָא לִהְיוֹת זָרִיז גָּדוֹל מְאֹד מְאֹד, לְמַהֵר וְלָרוּץ מְאֹד, לְהִמָּלֵט עַל נַפְשׁוֹ, וְאָסוּר לוֹ לִשְׁהוֹת כְּלָל לַעֲמֹד וּלְהִתְיַשֵּׁב, כִּי בַּעַל־תְּשׁוּבָה אֵינוֹ הוֹלֵךְ מִדַּרְגָּא לְדַרְגָּא כְּלָל, וְאֵין בֵּינוֹ וּבֵין הַקְּדֻשָּׁה שׁוּם בְּחִינָה הַנַּ""ל, כִּי הוּא צָרִיךְ לְהַתְחִיל מֵחָדָשׁ, וְהוּא צָרִיךְ לָרוּץ וּלְדַלֵּג אֶל הַקְּדֻשָּׁה, כַּמּוּבָא, שֶׁהַבַּעַל־תְּשׁוּבָה צָרִיךְ לְדַלֵּג עַל מַה שֶּׁצָּרִיךְ לְדַלֵּג, וְלִקְפֹּץ אֶל הַקְּדֻשָּׁה בִּזְרִיזוּת גָּדוֹל. וְאִישׁ כָּזֶה הוּא זָרִיז וְנִשְׂכָּר כַּנַּ""ל:"
59,6,"<b>2.</b> An example of the element between the mitzvot is: “And God spoke to Moshe, saying: ‘You shall make.’” Now, there is surely a devotional practice in these words as well, in that they precede the mitzvah. For the core of the mitzvah itself is stated afterwards in the Torah, following the words “you shall make.” Yet, it is certainly true that the aforementioned verses between one mitzvah and the next also contain devotional practice. This is the aforementioned element, that which is between mitzvah and mitzvah.","וּבְחִינָה שֶׁבֵּין הַמִּצְווֹת כַּנַּ""ל הוּא כְּגוֹן: וַיְדַבֵּר ה' אֶל מֹשֶׁה לֵּאמֹר וְעָשִׂיתָ. וּבְוַדַּאי יֵשׁ עֲבוֹדָה גַּם בְּאֵלּוּ הַדִּבּוּרִים, שֶׁהֵם קֹדֶם הַמִּצְוָה. כִּי עִקָּר הַמִּצְוָה בְּעַצְמָהּ נֶאֱמַר בַּתּוֹרָה אַחַר־כָּךְ, אַחַר תֵּבַת וְעָשִׂיתָ, אֲבָל בֶּאֱמֶת בְּוַדַּאי גַּם בַּפְּסוּקִים הַנַּ""ל שֶׁבֵּין מִצְוָה לְמִצְוָה, יֵשׁ בָּהֶם עֲבוֹדָה. וְזֶהוּ בְּחִינָה הַנַּ""ל מַה שֶּׁבֵּין מִצְוָה לְמִצְוָה."
