Chapter,Segment,English,Hebrew
51,11,"This is the explanation of what our Sages taught: “On that day, God will be One…”—it will be entirely “Who is good and beneficent” (Pesachim 50a). This is because where there is oneness, evil has no place. Consequently, “Truthful speech abides forever” (Proverbs 12:19) will be fulfilled in the World to Come. For then all will be one, all will be good.","וְזֶה שֶׁאָמְרוּ חֲכָמֵינוּ זִכְרוֹנָם לִבְרָכָה (פסחים נ): בַּיּוֹם הַהוּא יִהְיֶה ה' אֶחָד וְכוּ' – שֶׁיִּהְיֶה כֻּלּוֹ הַטּוֹב וְהַמֵּיטִיב, כִּי בְּאֶחָד אֵין שַׁיָּךְ רַע, וְעַל־כֵּן לֶעָתִיד לָבוֹא יְקֻיַּם: שְׂפַת אֱמֶת תִּכּוֹן לָעַד (משלי יב), כִּי יִהְיֶה אָז כֻּלּוֹ אֶחָד, כֻּלּוֹ טוֹב. "
51,12,"Truth is one. For example: Saying of a silver vessel that it is a silver vessel is the truth. But saying that it is a gold vessel is false. We see that the truth is one, because the only true statement one can make [about its substance] is that it is a silver vessel. Nothing more. Falsehood, on the other hand, is manifold. It could be said that it is a gold vessel, or a copper vessel, or any other designation. We see then that falsehood is the aspect of “they chased after <i>many</i> intrigues” (Ecclesia st es 7:29) .","כִּי אֱמֶת הוּא אֶחָד, לְמָשָׁל, עַל כְּלִי כֶּסֶף כְּשֶׁאוֹמְרִים עָלָיו שֶׁהוּא כְּלִי כֶּסֶף, הוּא הָאֱמֶת, אֲבָל כְּשֶׁאוֹמְרִין עָלָיו שֶׁהוּא כְּלִי זָהָב, הוּא שֶׁקֶר. נִמְצָא שֶׁהָאֱמֶת הוּא אֶחָד, כִּי אִי אֶפְשָׁר לוֹמַר אֱמֶת, רַק שֶׁהוּא כְּלִי כֶסֶף, לֹא יוֹתֵר; אֲבָל הַשֶּׁקֶר הוּא הַרְבֵּה, כִּי אֶפְשָׁר לוֹמַר שֶׁהוּא כְּלִי זָהָב וּכְלִי נְחֹשֶׁת וּשְׁאָר שֵׁמוֹת. נִמְצָא, שֶׁהַשֶּׁקֶר הוּא בִּבְחִינַת (קהלת ז): בִקְשׁוּ חִשְּׁבֹנוֹת רַבִּים. "
51,13,"<b>{“The wolf will dwell with the lamb, and the leopard with the goat…. They will do nothing evil or vile in all My sacred mountain, for the land will be filled with the knowledge of God…”</b> (Isaiah 11:6,9)<b>.}.</b> Because of this, the evil and the contrariety and the tears will be eliminated in the World to Come. As it is written, “They will do nothing evil”—i.e., evil will be nullified; and it is written, “The wolf will dwell with the lamb, and the leopard with the goat”—i.e., the aspect of the elimination of contrariety. And it is written, “God the Lord will wipe away the tears from every face” (Isaiah 25:8)—i.e., the elimination of tears, which are the aspect of falsehood, as explained above. For then it will be “God is One and His Name is One,” because He is entirely good and entirely truthful.","וּבִשְׁבִיל זֶה לֶעָתִיד לָבוֹא יִתְבַּטֵּל הָרָע, וְיִתְבַּטֵּל הַהִתְנַגְּדוּת, וְיִתְבַּטֵּל הַדְּמָעוֹת, כְּמוֹ שֶׁכָּתוּב (ישעיה יא): לֹא יָרֵעוּ וְכוּ', הַיְנוּ בִּטּוּל הָרָע. וּכְתִיב (שם): וְגָר זְאֵב עִם כֶּבֶשׂ וְנָמֵר עִם גְּדִי וְכוּ', הַיְנוּ בְּחִינַת בִּטּוּל הַהִתְנַגְּדוּת. וּכְתִיב (שם כה): וּמָחָה ה' אֱלֹקִים דִּמְעָה מֵעַל כָּל פָּנִים; הַיְנוּ בִּטּוּל הַדְּמָעוֹת, שֶׁהֵם בְּחִינַת שֶׁקֶר כַּנַּ""ל, כִּי אָז יִהְיֶה ה' אֶחָד וּשְׁמוֹ אֶחָד, שֶׁהוּא כֻּלּוֹ טוֹב, כֻּלּוֹ אֱמֶת כַּנַּ""ל. "
51,14,"Impurity will therefore be eliminated in the World to Come, as is written (Zechariah 13:2), “I will remove the spirit of impurity from the earth.” For then all will be one, as is written (Job 14:4), “Who can turn impure into pure, not one!” {This means: The very hold which purity and impurity have derives from a di st ancing from oneness.}","וְעַל־כֵּן לֶעָתִיד לָבוֹא יִתְבַּטֵּל הַטֻּמְאָה, כְּמוֹ שֶׁכָּתוּב (זכריה יג): וְאֶת רוּחַ הַטֻּמְאָה אַעֲבִיר מִן הָאָרֶץ; כִּי אָז יִהְיֶה כֻּלּוֹ אֶחָד, כְּמוֹ שֶׁכָּתוּב (איוב יד): מִי יִתֵּן טָהוֹר מִטָּמֵא לֹא אֶחָד. [פֵּרוּשׁ, שֶׁעִקַּר אֲחִיזַת הַטָּהֳרָה וְהַטֻּמְאָה, הוּא מִבְּחִינַת הִתְרַחֲקוּת מֵאֶחָד]: "
51,15,"<b>3.</b> Prior to the creation, when the creation was still in potential, so to speak, before He actualized it, it was entirely one, entirely true, entirely good, and entirely holy. Even the designation “pure” was not applicable. This is because purity applies only when impurity is also possible, as is written, “you will be purified of all your impurity” (Ezekiel 36:25). But when all is one, the aspect of “many intrigues”—which is the essence of evil and impurity, as explained above—has no place. For purity is a mean between holiness and impurity, through which impurity is rectified, as in, “you will be purified of all your impurity.”","כִּי קֹדֶם הַבְּרִיאָה, כְּשֶׁהָיָה הַבְּרִיאָה בְּכֹחַ, כִּבְיָכוֹל, קֹדֶם שֶׁהוֹצִיא אֶל הַפֹּעַל, הָיָה כֻּלּוֹ אֶחָד, וְכֻלּוֹ אֱמֶת, וְכֻלּוֹ טוֹב, וְכֻלּוֹ קֹדֶשׁ, אֲפִלּוּ שֵׁם טָהוֹר לֹא הָיָה שַׁיָּךְ לוֹמַר, כִּי טָהוֹר אֵין שַׁיָּךְ אֶלָּא כְּשֶׁיֵּשׁ טֻמְאָה, כְּמוֹ שֶׁכָּתוּב (יחזקאל לו): וּטְהַרְתֶּם מִכָּל טֻמְאוֹתֵיכֶם; אֲבָל כְּשֶׁכֻּלּוֹ אֶחָד, אֵין שָׁם בְּחִינַת חִשְּׁבֹנוֹת רַבִּים, שֶׁהוּא עִקַּר הָרָע וְהַטֻּמְאָה כַּנַּ""ל, כִּי הַטָּהֳרָה הוּא בְּחִינַת הַמְמֻצָּע בֵּין הַקֹּדֶשׁ וְהַטֻּמְאָה, שֶׁעַל יָדוֹ נִתְתַּקֵּן הַטֻּמְאָה, כְּמוֹ שֶׁכָּתוּב: וּטְהַרְתֶּם מִכָּל טֻמְאוֹתֵיכֶם; "
51,16,"This is also the aspect of free will, which is a mean between two things. This does not appertain prior to the creation, when everything was one, because free will, which is the aspect of purity, is not applicable in oneness. But when the Holy One transformed the creation from potential to actual, then the aspect of purity immediately came into being. For when He transformed potential to actual, two entities existed: the aspect of oneness and the creation. Free will was then applicable, because [free will] is the aspect of purity, which is a mean between that which is one—to which [purity] stands in close proximity and has yet to reach “many intrigues,” which is evil and impurity—yet is also an indicator and a sign of the eventual devolvement into evil and impurity.","וְהוּא בְּחִינַת הַבְּחִירָה, שֶׁהוּא מְמֻצָּע בֵּין שְׁנֵי דְּבָרִים. וְזֶה אֵין שַׁיָּךְ קֹדֶם הַבְּרִיאָה, שֶׁאָז הָיָה כֻּלּוֹ אֶחָד, כִּי בְּאֶחָד אֵין שַׁיָּךְ בְּחִירָה, שֶׁהוּא בְּחִינַת הַטָּהֳרָה. וּכְשֶׁהוֹצִיא הַקָּדוֹשׁ־בָּרוּךְ־הוּא אֶת הַבְּרִיאָה מִן הַכֹּחַ אֶל הַפֹּעַל, אֲזַי נִתְהַוָּה תֵּכֶף בְּחִינַת הַטָּהֳרָה, כִּי כְּשֶׁהוֹצִיא מִן הַכֹּחַ אֶל הַפֹּעַל, הָיוּ שְׁנֵי דְּבָרִים: בְּחִינַת הָאֶחָד וְהַבְּרִיאָה, וְאָז שַׁיָּךְ בְּחִירָה, שֶׁהוּא בְּחִינַת הַטָּהֳרָה, שֶׁהוּא מְמֻצָּע בֵּין הָאֶחָד, כִּי הוּא סָמוּךְ לוֹ, וַעֲדַיִן לֹא הִגִּיעַ לְחִשְּׁבֹנוֹת רַבִּים, שֶׁהִיא הָרָע וְהַטֻּמְאָה, אַךְ הוּא רֹשֶׁם וְסִימָן עַל הַהִשְׁתַּלְשְׁלוּת, שֶׁיּוּכַל לְהִשְׁתַּלְשֵׁל וְיַגִּיעַ עַד שֶׁיִּהְיֶה רַע וְטֻמְאָה. "
51,17,"Thus it is written in the <i>Zohar</i> (I, 48a), that the very hold which impurity has derives from the left side. For purity implies the existence of impurity, and is a sign of the eventual devolvement into impurity. Consequently, the possibility exists for purifying and elevating impurity to purity, for it itself devolved from purity, as in, “you will be purified of all your impurity.” It follows then that the very hold which impurity has derives from purity, which is free will, as explained above.","וְעַל־כֵּן כָּתוּב בַּזֹּהַר (בראשית דף מח. ובכמה מקומות), שֶׁעִקַּר אֲחִיזַת הַטֻּמְאָה – מִסִּטְרָא דִּשְׂמָאלָא, כִּי הַטָּהֳרָה מְרַמֶּזֶת שֶׁיֵּשׁ טֻמְאָה, וְהוּא סִימָן שֶׁיִּשְׁתַּלְשֵׁל עַד שֶׁיִּהְיֶה טֻמְאָה. וְעַל־כֵּן אֶפְשָׁר לְזַכֵּךְ וּלְהַעֲלוֹת הַטֻּמְאָה לְטָהֳרָה, כִּי הִיא בְּעַצְמָהּ נִשְׁתַּלְשְׁלָה מִטָּהֳרָה, כְּמוֹ שֶׁכָּתוּב: וּטְהַרְתֶּם מִכָּל טֻמְאוֹתֵיכֶם. נִמְצָא, שֶׁעִקַּר אֲחִיזַת הַטֻּמְאָה, מִבְּחִינַת הַטָּהֳרָה, שֶׁהוּא בְּחִינַת הַבְּחִירָה כַּנַּ""ל. "
51,18,"Purity is the aspect of the left side, the aspect of Levi, corresponding to “You shall purify the Levites” (Numbers 8:5). And Levi is the aspect of the left side, as is known. Therefore, the very hold that impurity has derives from the left side, because the left is the aspect of purity from which impurity’s very hold derives, as explained above.","וְהַטָּהֳרָה הוּא בְּחִינַת שְׂמֹאל, בְּחִינַת לֵוִי, בְּחִינַת: וְטִהַרְתָּ אֶת בְּנֵי לֵוִי; וְלֵוִי הוּא בְּחִינַת שְׂמֹאל, כַּיָּדוּעַ. וְעַל־כֵּן עִקַּר אֲחִיזַת הַטֻּמְאָה הוּא מִבְּחִינַת שְׂמָאלָא, כִּי שְׂמֹאל הוּא בְּחִינַת הַטָּהֳרָה, שֶׁמִּשָּׁם עִקַּר אֲחִיזַת הַטֻּמְאָה כַּנַּ""ל. "
51,19,"All this—i.e., the aspect of the left side/purity/free will, from which comes the essential devolvement of impurity/evil/contrariety/falsehood—all this extends from after-the-creation, after the creation was transformed from potential to actual. For then there were, so to speak, two entities: oneness and the creation, as explained above. We see therefore that the very hold of falsehood, which is impurity, derives from a distancing from oneness—i.e., from the aspect of after-the-creation.","וְכָל זֶה, הַיְנוּ בְּחִינַת שְׂמֹאל, בְּחִינַת טָהֳרָה, בְּחִינַת הַבְּחִירָה, שֶׁמִּשָּׁם עִקַּר הִשְׁתַּלְשְׁלוּת הַטֻּמְאָה, שֶׁהוּא הָרָע וְהַהִתְנַגְּדוּת, בְּחִינַת שֶׁקֶר כַּנַּ""ל – כָּל זֶה נִמְשָׁךְ מִבְּחִינַת אַחַר הַבְּרִיאָה, אַחַר שֶׁיָּצָא הַבְּרִיאָה מִכֹּחַ אֶל הַפֹּעַל, שֶׁאָז הָיָה כִּבְיָכוֹל, שְׁנֵי בְּחִינוֹת, דְּהַיְנוּ הָאֶחָד וְהַבְּרִיאָה וְכַנַּ""ל. נִמְצָא שֶׁעִקַּר אֲחִיזַת הַשֶּׁקֶר, שֶׁהִיא הַטֻּמְאָה וְכוּ', הוּא מֵחֲמַת הָרִחוּק מֵאֶחָד כַּנַּ""ל, הַיְנוּ מִבְּחִינַת אַחַר הַבְּרִיאָה וְכַּנַּ""ל: "
51,20,"<b>4.</b> Yet through Divine Providence, even after the act whereby the Holy One transformed potential into actual, everything remains one with Him. And the evil nourishes from the residue of the Providence—i.e., from “over His shoulder,” as is known. He is far from oneness. Yet by being truthful, a person gains Divine Providence, as it is written, “My eyes are upon the truthful” (Psalms 101:6). But because of falsehood, which is evil, he turns away Divine Providence from himself, as in, “He who speaks falsely will not be sustained before My eyes.” His vitality is only from over the shoulder.","וְעַל יְדֵי הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ, אֲפִלּוּ אַחַר הַפְּעֻלָּה, שֶׁהוֹצִיא הַקָּדוֹשׁ־בָּרוּךְ־הוּא מִכֹּחַ אֶל הַפֹּעַל, כָּל הַדְּבָרִים הֵם בְּאַחְדוּת עִמּוֹ, וְהָרָע יוֹנֵק מֵהַשְׁאָרַת הַהַשְׁגָּחָה, הַיְנוּ מֵאֲחוֹרֵי כַּתְפֵּהּ, כַּיָּדוּעַ, וְהוּא רָחוֹק מֵאֶחָד. וְעַל־יְדֵי אֱמֶת הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ עָלָיו, כְּמוֹ שֶׁכָּתוּב (תהלים קא): עֵינַי בְּנֶאֶמְנֵי אָרֶץ; וְעַל־יְדֵי הַשֶּׁקֶר, שֶׁהוּא הָרַע, מֵסִיר מִמֶּנּוּ הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ, כְּמוֹ שֶׁכָּתוּב (שם): דֹּבֵר שְׁקָרִים לֹא יִכּוֹן לְנֶגֶד עֵינָי; וְאֵין חִיּוּתוֹ אֶלָּא מֵאֲחוֹרֵי כַּתְפָּא. "
51,21,"We see therefore that when a person wants everything to be one even after the existence of corporeality and after the act that transformed potential into actual; that father and child should be as one, as it was earlier when in potential—he must keep himself from falsehood. By doing this he earns Divine Providence, and then everything is one.","נִמְצָא, מִי שֶׁהוּא רוֹצֶה שֶׁיִּהְיֶה אַחַר הַיֵּשׁוּת וְהַפְּעֻלָּה שֶׁהוֹצִיא מִכֹּחַ אֶל הַפֹּעַל, שֶׁיִּהְיֶה כֻּלּוֹ אֶחָד, שֶׁיִּהְיֶה אָב וּבֵן כְּאֶחָד, כְּמוֹ שֶׁהָיָה מִקֹּדֶם כְּשֶׁהָיָה בְּכֹח – יִשְׁמֹר עַצְמוֹ מִשֶּׁקֶר, וְעַל־יְדֵי־זֶה הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ עָלָיו, וַאֲזַי כֻּלּוֹ אֶחָד: "
51,22,"<b>5.</b> This is the explanation of what Rabbi Akiva’s said: <b>When you approach pure <i>avnei shayish</i> (marble st one), do not say, “Water! Water!” as it is said, “He who speaks falsely will not be su st ained before My eyes.”</b>",וְזֶה שֶׁאָמַר רַבִּי עֲקִיבָא: כְּשֶׁאַתֶּם מַגִּיעִים לְאַבְנֵי שַׁיִשׁ טָהוֹר. 
51,23,"<b>Pure <i>shaYiSh</i>—</b>This is the aspect of after the Act [of Creation], which is <i>YeSh</i> (corporeality), when the designation “pure” is applicable, as explained above. If you want it to be as it was before the Act, in a state of potential, with father and son as one, this is:","שַׁיִשׁ טָהוֹר, הוּא בְּחִינַת אַחַר הַפְּעֻלָּה, שֶׁהוּא יֵשׁ, וְאָז שַׁיָּךְ שֵׁם טָהוֹר כַּנַּ""ל. אִם תִּרְצֶה שֶׁיִּהְיֶה כְּמוֹ קֹדֶם הַפְּעֻלָּה שֶׁהָיָה בְּכֹחַ, שֶׁיִּהְיֶה אָב וּבֵן כְּאֶחָד. וְזֶהוּ: "
51,24,"<b>When you approach <i>AVNEi</i>—</b>This is the aspect of <i>AV</i> (father) and <i>BEN</i> (son) as one, which is the aspect of before-the-creation, when it was in a state of potential, entirely one. ","כְּשֶׁאַתֶּם מַגִּיעִין לְאַבְנֵי – הוּא בְּחִינַת אָב וּבֵן כַּחֲדָא, שֶׁהוּא בְּחִינַת קֹדֶם הַבְּרִיאָה שֶׁהָיָה בְּכֹחַ, שֶׁהָיָה הַכֹּל אֶחָד. "
51,25,"“Pure <i>shayish</i>” corresponds to after the Act [of Creation], the aspect of <i>yeshut</i> and purity. If you want to bring pure <i>shayish</i> to <i>avnei</i> …","שַׁיִשׁ טָהוֹר הוּא בְּחִינַת אַחַר הַפְּעֻלָּה, שֶׁהוּא בְּחִינַת יֵשׁוּת וְטָהֳרָה. אִם תִּרְצוּ לְהַגִּיעַ שַׁיִשׁ טָהוֹר לְאַבְנֵי – "
51,26,"<b>Do not say, Water! Water!—</b>This is falsehood, as explained above.","אַל תֹּאמְרוּ מַיִם מַיִם, הוּא בְּחִינַת שֶׁקֶר כַּנַּ""ל. "
51,27,"<b>as it is said, He who speaks falsely will not be su st ained before My eyes—</b>Through falsehood a person turns away Divine Providence from himself and is far from oneness. But by being truthful, he earns Divine Providence, and through Divine Providence everything is one, as it was before creation.","שֶׁנֶּאֱמַר: דֹּבֵר שְׁקָרִים לֹא יִכּוֹן לְנֶגֶד עֵינָי; כִּי עַל־יְדֵי שֶׁקֶר הוּא מֵסִיר מֵעָלָיו הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ, וְהוּא רָחוֹק מֵאֶחָד. אַךְ עַל־יְדֵי אֱמֶת, הַשְׁגָּחַת הַשֵּׁם יִתְבָּרַךְ עָלָיו. וְעַל־יְדֵי הַהַשְׁגָּחָה, כֻּלּוֹ אֶחָד, כְּמוֹ שֶׁהָיָה קֹדֶם הַבְּרִיאָה כַּנַּ""ל: "
51,28,"Therefore, the reward in the World to Come “No eye has seen it but You, O God” (Isaiah 64:3). Since everything will be one, there will be no eye to see other than “but You, O God.”","וְעַל כֵּן שְׂכַר עוֹלָם הַבָּא, עַיִן לֹא רָאֲתָה אֱלֹקִים זוּלָתֶךָ (ישעיה סד, ועיין ברכות לד:); כִּי מֵאַחַר שֶׁיִּהְיֶה כֻּלּוֹ אֶחָד, לֹא יִהְיֶה עַיִן שֶׁיִּרְאֶה, רַק אֶלֹהִים זוּלָתֶךָ: "
51,29,"<b>6.</b> Then [Rebbe Nachman] said: There is an inherent difficulty in this, something that cannot be understood. For if it is so, how will there be separate reward for each person commensurate with his level and to the degree of devotion and effort he exerted for God in this world. For certainly also at the very end not everyone will be equal. But since everything will be one, how is it possible that there will be a distinction between one person and another according to level. However, this involves a deep mystery which is impossible to understand, for the matter is beyond us.","וְאָמַר אָז, שֶׁגַּם בָּזֶה יֵשׁ קֻשְׁיָא מַה שֶׁאִי אֶפְשָׁר לְהָבִין. כִּי אִם כֵּן אֵיךְ יִהְיֶה חִלּוּק הַשָּׂכָר לְכָל אֶחָד וְאֶחָד לְפִי מַדְרֵגָתוֹ, וּלְפִי עֲבוֹדָתוֹ וִיגִיעָתוֹ בְּזֶה הָעוֹלָם בִּשְׁבִיל הַשֵּׁם יִתְבָּרַךְ, כִּי בְּוַדַּאי גַּם בְּהַסּוֹף הָאַחֲרוֹן, לֹא יִהְיוּ כֻּלָּם שָׁוִים. וּמֵאַחַר שֶׁיִּהְיֶה כֻּלּוֹ אֶחָד, אֵיךְ שַׁיָּךְ חִלּוּק בֵּין אֶחָד לַחֲבֵרוֹ לְפִי מַדְרֵגָתוֹ. אַךְ יֵשׁ בָּזֶה סוֹד שֶׁאִי אֶפְשָׁר לַהֲבִינוֹ, וְהַדְּבָרִים עַתִּיקִים: "
51,30,<b>7.</b> Addendum relating to the lesson:, (שַׁיָּךְ לְעֵיל): 
