Chapter,Segment,English,Hebrew
1,11,"This is the concept of the good inclination and the evil inclination. The good inclination is called “poor and wise,” corresponding to <i>Malkhut,</i> which is an aspect of poor and needy, with nothing of her own other than what she receives from <i>Chokhmah</i> (Wisdom). But the evil inclination is called “an old and foolish <i>melekh.</i>” This is <i>Malkhut</i> of the Other Side, who has no desire for wisdom and inner intelligence, as in, “The fool does not desire understanding....”","וְזֶה בְּחִינַת יֵצֶר טוֹב וְיֵצֶר הָרָע, כִּי הַיֵּצֶר טוֹב נִקְרָא מִסְכֵּן וְחָכָם (קהלת ד), בְּחִינַת מַלְכוּת, שֶׁהִיא בְּחִינַת עֲנִיָּה וְדַלָּה דְּלֵית לָהּ מִגַּרְמָהּ כְּלוּם, כִּי אִם מַה שֶּׁמְּקַבֶּלֶת מֵחָכְמָה. וְיֵצֶר הָרָע נִקְרָא מֶלֶךְ זָקֵן וּכְסִיל (שׁם), בְּחִינַת מַלְכוּת דְּסִטְרָא־אָחֳרָא, שֶׁאֵינָהּ חֲפֵצָה בְּחָכְמָה וָשֵׂכֶל, בְּחִינַת לֹא יַחְפֹּץ כְּסִיל בִּתְבוּנָה וְכוּ' כַּנַּ""ל."
1,12,"Each person is required to give strength to the Kingdom of Holiness so that it may overpower the Kingdom of the Other Side. As our Sages taught: A person should always incite the good inclination against the evil inclination (Berakhot 5a). And how is strength given to the Kingdom of Holiness? By means of the Torah study that a person engages in with enthusiasm. {As our Sages taught: A person should always incite.... If it leaves, good; if not, he should engage in Torah study (ibid.).} And, as our Sages taught: If this rogue accosts you, drag him to the house of study (Kiddushin 30b).","וְצָרִיךְ כָּל אֶחָד לִתֵּן כֹּחַ לִבְחִינַת מַלְכוּת דִּקְדֻשָּׁה לְהִתְגַּבֵּר עַל מַלְכוּת דְּסִטְרָא אָחֳרָא, וּכְמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (ברכות ה): לְעוֹלָם יַרְגִּיז אָדָם יֵצֶר טוֹב עַל יֵצֶר הָרָע. וְעַל־יְדֵי מַה נוֹתֵן כֹּחַ לְמַּלְכוּת דִּקְדֻשָּׁה, עַל־יְדֵי הַתּוֹרָה שֶׁהוּא עוֹסֵק בְּכֹחַ (כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה שָׁם: לְעוֹלָם יַרְגִּיז וְכוּ', אִי אָזִיל – מוּטָב, וְאִם לָאו – יַעֲסֹק בַּתּוֹרָה). וּכְמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (קדושין ל:): אִם פָּגַע בְּךָ מְנֻוָּל זֶה, מָשְׁכֵהוּ לְבֵית־ הַמִּדְרָשׁ,"
1,13,"For it is by means of the Torah that strength is given to the Kingdom of Holiness. Then, <i>Malkhut</i> / <i>nun</i> receives vitality from <i>Chokhmah</i> / <i>chet.</i> The <i>chet</i> and the <i>nun</i> are joined and bound together, and as a result, “the light of the moon will be like the light of the sun.”","כִּי עַל־יְדֵי הַתּוֹרָה נוֹתֵן כֹּחַ לְמַּלְכוּת דִּקְדֻשָּׁה. וַאֲזַי מְקַבֶּלֶת הַמַּלְכוּת, שֶׁהִיא בְּחִינַת נ, חִיּוּת מִן הַחָכְמָה, שֶׁהִיא בְּחִינַת ח, וְנִתְחַבֵּר וְנִתְקַשֵּׁר הַח וְהַנ, וְנַעֲשֶׂה אוֹר הַלְּבָנָה כְּאוֹר הַחַמָּה,"
1,14,"And “when the one rises, the other falls” (Rashi, Genesis 25:23) ; thus the Kingdom of Evil falls and is nullified. As is written (Hosea 14:10), “The ways of God are upright, the righteous walk in them whereas the sinners stumble in them.” That is, by means of “the ways of God”—i.e., the Torah—“the righteous,” who adhere to the Kingdom of Holiness, are fortified and receive strength. “...whereas the sinners stumble in them” corresponds to the Kingdom of Evil—i.e., the evil inclination—which falls and is humbled by means of the Torah, as above.","וּכְשֶׁזֶּה קָם, זֶה נוֹפֵל*), וַאֲזַי נוֹפֵל וְנִתְבַּטֵּל מַלְכוּת הָרְשָׁעָה, כְּמוֹ שֶׁכָּתוּב (הושע יד): כִּי יְשָׁרִים דַּרְכֵי ה', צַדִּיקִים יֵלְכוּ בָם, וּפֹשְׁעִים יִכָּשְׁלוּ בָם. הַיְנוּ עַל־יְדֵי דַּרְכֵי ה', הַיְנוּ הַתּוֹרָה, עַל־יְדֵי־זֶה הַצַּדִּיקִים שֶׁדְּבֵקִים בְּמַּלְכוּת דִּקְדֻשָּׁה, הֵם נִתְחַזְּקִים וּמְקַבְּלִים כֹּחַ עַל־יְדֵי־זֶה. וּפֹשְׁעִים יִכָּשְׁלוּ בָם, בְּחִינַת מַלְכוּת הָרְשָׁעָה, בְּחִינַת הַיֵּצֶר הָרָע, שֶׁנּוֹפֵל וְנִכְנָע עַל־יְדֵי הַתּוֹרָה, כַּנַּ""ל:"
1,15,"<b>3.</b> It is through this that all the prayers and petitions are accepted. For the main reason the requests are not accepted is that the words lack grace and do not penetrate the heart of the one being asked. It is as if there were no place in his heart for the words to enter, because the petitioner is lacking the grace needed for the words to enter the heart of the one he petitions.","וְעַל־יְדֵי־זֶה נִתְקַבְּלִים כָּל הַתְּפִלּוֹת וְהַבַּקָּשׁוֹת, כִּי עִקַּר מַה שֶּׁאֵין נִתְקַבְּלִין הַבַּקָּשׁוֹת הוּא מֵחֲמַת שֶׁאֵין לְהַדְּבָרִים חֵן, וְאֵין נִכְנָסִין בַּלֵּב שֶׁל זֶה שֶׁמְּבַקְּשִׁין מִמֶּנּוּ, כְּאִלּוּ אֵין בְּלִבּוֹ מָקוֹם שֶׁיִּכָּנְסוּ הַדְּבָרִים בְּלִבּוֹ, מֵחֲמַת שֶׁאֵין לְהַמְבַקֵּשׁ חֵן שֶׁיִּכָּנְסוּ הַדְּבָרִים בְּלִבּוֹ שֶׁל זֶה שֶׁמְּבַקְּשִׁין מִמֶּנּוּ;"
1,16,"But, by means of the Torah—through which the <i>Nun</i> and the <i>Chet</i> are joined and bound together— <i>CheiN</i> (grace) is produced. This is why the Torah is called “<i>yaalat CheiN.</i>” The person then merits that his words are words of charm, and so his words and requests are received. As is the case when someone speaks with <i>chein,</i> the matter penetrates the heart of the one petitioned—i.e., the one being asked.","אֲבָל עַל־יְדֵי הַתּוֹרָה, שֶׁעַל־יְדֵי־זֶה נִתְחַבְּרִין וְנִתְקַשְּׁרִין הַנ וְהַח כַּנַּ""ל וְנַעֲשֶׂה חֵן, וְעַל כֵּן נִקְרֵאת הַתּוֹרָה יַעֲלַת חֵן (משלי ה), וַאֲזַי זוֹכֶה שֶׁדְּבָרָיו הֵם דִּבְרֵי חֵן, וַאֲזַי נִתְקַבְּלִין דְּבָרָיו וּבַקָּשׁוֹתָיו, כְּמוֹ מִי שֶׁמְּדַבֵּר דִּבְרֵי חֵן, שֶׁנִּכְנָסִין הַדְּבָרִים בְּלֵב הַמִּתְבַּקֵּשׁ, דְּהַיְנוּ זֶה שֶׁמְּבַקְּשִׁין מִמֶּנּוּ."
1,17,"This is the concept of the <i>tav.</i> That is, by the <i>Chet</i> and <i>Nun</i> being joined and bound, producing <i>CheiN,</i> the <i>TaV</i> is made. This suggests etching and marking, as in (Ezekiel 9:4), “and <i>hiTVita TaV</i> (inscribe a mark).” By means of the <i>chein,</i> a space is carved out and marked in the heart of the one who is petitioned to accept the request. For as a result of the grace, his words are accepted.","וְזֶה בְּחִינַת ת, הַיְנוּ עַל־יְדֵי שֶׁנִּתְחַבְּרוּ וְנִתְקַשְּׁרוּ הַחֵי""ת וְהַנּוּ""ן וְנַעֲשָׂה בְּחִינַת ""חֵן"", עַל־יְדֵי־זֶה נַעֲשֶׂה בְּחִינַת תָּי""ו, שֶׁהוּא לְשׁוֹן חֲקִיקָה וּרְשִׁימָה, כְּמוֹ שֶׁכָּתוּב (יחזקאל ט): וְהִתְוִיתָ תָּו, כִּי עַל־יְדֵי הַחֵן נֶחְקָק וְנִרְשָׁם מָקוֹם בְּלֵב הַמִּתְבַּקֵּשׁ לְקַבֵּל הַבַּקָּשָׁה, כִּי עַל־יְדֵי הַחֵן נִתְקַבְּלוּ דְּבָרָיו."
1,18,"Thus it is that the <i>chein</i> etches a place in the heart of the one who is being petitioned, so that the other’s words may enter his heart and cause the request to be accepted. This etching and marking is the concept of the <i>tav.</i> This is the meaning of (Ecclesiastes 9:17), “The words of the wise are heard [for they are spoken] <i>b’nachat</i> (gently).” Specifically <i>nachat</i> —i.e., the aspect of <i>CheiN</i> and the <i>Tav</i>, which together spell <i>NaChaT.</i> Then, his words are heard and his request is accepted.","נִמְצָא, שֶׁבְּחִינַת הַ""חֵן"" חָקַק מָקוֹם בְּלֵב זֶה שֶׁמְּבַקְּשִׁין מִמֶּנּוּ, כְּדֵי שֶׁיִּכָּנְסוּ דְּבָרָיו בְּלִבּוֹ, וִיקַבֵּל בַּקָשָׁתוֹ, וְהַחֲקִיקָה וּרְשִׁימָה זֶה בְּחִינַת תָּי""ו כַּנַּ""ל. וְזֶהוּ (קהלת ט): דִּבְרֵי חֲכָמִים בְּנַחַת נִשְׁמָעִים. נַחַת דַּיְקָא, הַיְנוּ בְּחִינַת חֵן הַנַּ""ל וְהַת הַנַּ""ל, וְעַל־יְדֵי־זֶה נַעֲשֶׂה אוֹתִיּוֹת נַחַת, וְאָז נִשְׁמָעִים דְּבָרָיו וְנִתְקַבֵּל בַּקָּשָׁתוֹ כַּנַּ""ל:"
1,19,"<b>4.</b> Therefore, Yaakov, who is the aspect of inner intelligence, merited grace. As is written (Genesis 33:11), “God has <i>ChaNani</i> (granted me grace).” He, therefore, blessed the tribes with <i>CheiN,</i> as in (ibid., 33:5), “The children with whom the Lord has <i>ChaNan</i> (graced) your servant.” And Binyamin, who was not there at the time, was therefore blessed by Yosef with grace, as is written (Genesis 43:29), “May the Lord <i>yaChNkha</i> (grant you grace), my son.”","וְעַל כֵּן יַעֲקֹב, שֶׁהוּא בְּחִינַת הַשֵּׂכֶל כַּנַּ""ל, עַל כֵּן זָכָה לְחֵן, כְּמוֹ שֶׁכָּתוּב (בראשית לג): כִּי חַנַּנִי אֱלֹקִים וְכוּ'. וְעַל כֵּן בֵּרַךְ אֶת הַשְּׁבָטִים בְּחֵן, כְּמוֹ שֶׁכָּתוּב (שם): הַיְלָדִים אֲשֶׁר חָנַן וְכוּ'. וּבִנְיָמִין לֹא הָיָה אָז, וְעַל כֵּן בֵּרְכוֹ יוֹסֵף בְּחֵן, כְּמוֹ שֶׁכָּתוּב (שם מג): אֱלֹקִים יָחְנְךָ בְּנִי."
1,20,"And it was specifically Yosef who was able to bless him with <i>chein.</i> This is because Yosef, more than anyone else, embodied the aspect of Yaakov, as in (Genesis 37:2), “These are the chronicles of Yaakov: Yosef.” He was the essence of [Yaakov’s] chronicles, for Yaakov and Yosef are considered as one (Zohar I, 176b).","וְדַוְקָא יוֹסֵף הָיָה יָכוֹל לְבָרְכוֹ בְּחֵן, כִּי יוֹסֵף הָיָה כָּלוּל בְּיוֹתֵר מִבְּחִינַת יַעֲקֹב, כְּמוֹ שֶׁכָּתוּב (שם לז): אֵלֶּה תֹּלְדוֹת יַעֲקֹב־יוֹסֵף, כִּי הוּא הָיָה עִקַּר תּוֹלְדוֹתָיו, כִּי יַעֲקֹב וְיוֹסֵף כְּחַדָּא חֲשִׁיבֵי."
1,21,"It is therefore said of Yosef: “The firstborn of his <i>shor</i> (oxen), grandeur is his” (Deuteronomy 33:17). “Firstborn” corresponds to the inner intelligence, as above. And this is “his <i>shor,</i>” it suggests gazing. For it is necessary to focus on the inner intelligence of every matter. Onkelos renders “grandeur is his” as “radiance is his,” an expression of luminance. For the inner intelligence shines for him in each thing. Even in a place that had been dark and obscure, the inner intelligence shines for him—when he merits focusing on the inner intelligence that is found in each thing—and brings him closer to God.","וְעַל כֵּן נֶאֱמַר בְּיוֹסֵף (דברים לג): בְּכוֹר שׁוֹרוֹ הָדָר לוֹ. בְּכוֹר הוּא בְּחִינַת הַשֵּׂכֶל כַּנַּ""ל. וְזֶהוּ שׁוֹרוֹ – לְשׁוֹן הִסְתַּכְּלוּת, כִּי צְרִיכִין לְהִסְתַּכֵּל בְּהַשֵּׂכֶל שֶׁיֵּשׁ בְּכָל דָּבָר כַּנַּ""ל. וְזֶהוּ הָדָר לוֹ, תִּרְגֵּם אוּנְקֶלוּס: זִיו לֵיהּ, לְשׁוֹן אוֹר, כִּי הַשֵּׂכֶל מֵאִיר לוֹ בְּכָל דָּבָר; אֲפִלּוּ בְּמָקוֹם שֶׁהָיָה אֹפֶל וָחֹשֶׁךְ, מֵאִיר לוֹ הַשֵּׂכֶל, כְּשֶׁזּוֹכֶה לְהִסְתַּכֵּל עַל הַשֵּׂכֶל שֶׁיֵּשׁ שָׁם בְּכָל דָּבָר, וּמְקָרֵב אוֹתוֹ לְהַשֵּׁם יִתְבָּרַךְ:"
1,22,<b>5.</b> This is the explanation of what Rabbah bar bar Chanah said:,וְזֶה פֵּרוּשׁ מַה שֶּׁאָמַר רַבָּה בַּר בַּר חָנָּה (בבא בתרא עג.):
1,23,<b>That wave which would sink a <i>sephinta</i> (ship) appears to have a spark of white flame at its crest. We beat it with a staff on which was etched <i>Ehyeh asher Ehyeh</i></b> (Bava Batra 73a).,"הַאי גַּלָּא דְּמַטְבַּע לִסְפִינְתָּא מִתְחַזֵּי כִּי צוּצִיתָא דְּנוּרָא חִוַּרְתָּא בְּרֵישָׁא, וּמְחִינָן לֵיהּ בְּאַלְוָתָא דְּחָקִיק עֲלֵיהּ אֶהְיֶה אֲשֶׁר אֶהְיֶה:"
1,24,<b>wave -</b> This is the evil inclination.,גַּלָּא – הוּא הַיֵצֶר הָרָע.
1,25,"<b>which would sink a <i>SePhINta</i> —</b> This is the grace and the importance, as suggested by “<i>SePhIN</i> and important” (Moed Katan 28a). The evil inclination desires to sink and subdue, God forbid, the grace and importance of the Jewish people, the aspect of the Kingdom of Holiness.","דְּמַטְבַּע לִסְפִינְתָּא הוּא הַחֵן וְהַחֲשִׁיבוּת, לְשׁוֹן סָפוּן וְחָשׁוּב, כִּי הַיֵּצֶר הָרָע רוֹצֶה לְהַטְבִּיעַ וּלְהַשְׁפִּיל, חַס וְשָׁלוֹם, בְּחִינַת הַחֵן וְהַחֲשִׁיבוּת שֶׁל יִשְׂרָאֵל, בְּחִינַת מַלְכוּת דִּקְדֻשָּׁה."
1,26,"<b>appears to have a spark of white flame at its crest —</b> Initially, the evil inclination disguises itself in good deeds. It misleads a person, as if it were urging him to perform a mitzvah. This is the meaning of <b>a spark of white flame</b>. The flame is white; even so, it is a destroying angel.","וּמִתְחַזֵּי כִּי צוּצִיתָא דְּנוּרָא חִוַּרְתָּא בְּרֵישָׁא, כִּי מִתְּחִלָּה הַיֵּצֶר הָרָע מִתְלַבֵּשׁ עַצְמוֹ בְּמִצְווֹת וּמַטְעֶה אֶת הָאָדָם כְּאִלּוּ מְסִיתוֹ לַעֲשוֹת מִצְוָה. וְזֶהוּ בְּחִינַת צוּצִיתָא דְּנוּרָא חִוַּרְתָּא, אֵשׁ לְבָנָה; אַף־עַל־פִּי־כֵן מַלְאָךְ מַזִּיק הוּא."
1,27,"<b>We beat it with a staff on which was etched <i>Ehyeh</i> asher <i>Ehyeh</i> —</b> That is, the principal defeat of the evil inclination is accomplished by means of the Torah, which is comprised entirely of the names of God.","וּמַחִינָן לֵיהּ בְּאַלְוָתָא דְּחָקִיק עָלֵהּ אֶהְיֶה וְכוּ', הַיְנוּ שֶׁעִקַּר הַכְנָעָתוֹ שֶׁל הַיֵּצֶר־הָרָע הוּא עַל־יְדֵי הַתּוֹרָה, שֶׁהִיא כֻּלָּהּ שְׁמוֹתָיו שֶׁל הַקָּדוֹשׁ־בָּרוּךְ־הוּא."
1,28,"The Torah corresponds to the <i>vav.</i> For the Tablets were six handbreadths long by six handbreadths wide (Bava Batra 14a). This is the aspect of <b>a staff</b> —i.e., sticks.","וְהַתּוֹרָה הִיא בְּחִינַת וָי""ו, כִּי הַלּוּחוֹת אָרְכָּן וָי""ו וְרָחְבָּן וָי""ו (ב""ב יד.). וְזֶהוּ בְּחִינַת אַלְוָתָא, דְּהַיְנוּ מַקְלוֹת,"
1,29,"<b>on which was etched <i>Ehyeh</i> —</b> That is, Holy Names—the aspect of Torah, which corresponds to the <i>vav .</i> The <i>vav</i> has the shape of a stick, and [the Torah] is comprised entirely of the names of God.","דְּחָקִיק עָלֵהּ אֶהְיֶה וְכוּ', הַיְנוּ שֵׁמוֹת, בְּחִינַת הַתּוֹרָה, שֶׁהִיא בְּחִינַת וָי""ו. וְהַוָּי""ו הוּא צוּרַת מַקֵּל, וְהִיא כֻּלָּהּ שְׁמוֹתָיו שֶׁל הַשֵּׁם יִתְבָּרַךְ,"
1,30,"In other words, the holy Torah subdues the evil inclination, which wants to drive a person literally insane, God forbid. For a sinner is insane, as our Sages taught: A person does not commit a sin unless a spirit-of-folly has entered into him (Sotah 3a). And, just as the insane must be struck and have [amulets bearing] Holy Names placed upon them, the Torah study one engages in is likewise an aspect of sticks and Holy Names. With it we beat and subdue the evil inclination, and dispel from the person the insanity and foolishness that have entered into him. This is, <b>We beat it with a staff on which was etched Holy Names</b> ... (cf. Vayikra Rabbah 25:1).","הַיְנוּ שֶׁהַתּוֹרָה הַקְּדוֹשָׁה הִיא מַכְנִיעַ אֶת הַיֵּצֶר הָרָע, שֶׁרוֹצֶה לַעֲשׂוֹת אֶת הָאָדָם מְשֻׁגָּע מַמָּשׁ, חַס וְשָׁלוֹם, כִּי בַּעַל־עֲבֵרָה הוּא מְשֻׁגָּע, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (סוטה ג.): אֵין אָדָם עוֹבֵר עֲבֵרָה אֶלָא אִם כֵּן נִכְנַס בּוֹ רוּחַ־שְׁטוּת. וּכְמוֹ שֶׁהַמְּשֻׁגָּעִים צְרִיכִים לְהַכּוֹתָם וְלָשׂוּם עֲלֵיהֶם שֵׁמוֹת, כְּמוֹ כֵן מַמָּשׁ הַתּוֹרָה שֶׁעוֹסְקִין הוּא בְּחִינַת מַקְלוֹת וְשֵׁמוֹת, שֶׁבָּזֶה מַכִּין וּמַכְנִיעִין אֶת הַיֵּצֶר הָרָע וּמְגָרְשִׁין מִן הָאָדָם אֶת הַשִּׁגָּעוֹן וְהָרוּחַ שְׁטוּת שֶׁנִּכְנַס בּוֹ, בְּחִינַת וּמְחִינָן לֵיהּ בְּאַלְוָתָא, דְּחָקִיק עָלֵיהּ שֵׁמוֹת וְכוּ' כַּנַּ""ל:"
1,31,"<b>6.</b> And this is [the explanation of the opening verse]: <b>“<i>Ashrei</i> (Happy) are those whose way is perfect, [ho walk with the Torah of God].”</b>",וְזֶהוּ אַשְׁרֵי תְמִימֵי דָרֶךְ.
1,32,<b><i>aShRei —</i></b> This suggests gazing.,אַשְׁרֵי לְשׁוֹן הִסְתַּכְּלוּת.
