Chapter,Segment #,English,Hebrew 
101,7,"And anyone &lt;who pursues evil desires and&gt; traits is ruled by those &lt;nations&gt; that are tied and bound to those particular evil traits. This is the meaning of: “Whoever throws off the yoke of Torah, has placed upon him the yoke of government”—that is, physical servitude—&lt;“and the yoke of <i>derekh eretz</i>”—that is, spiritual servitude, which is&gt; <i>derekh ærtziyut</i> (worldliness), namely, the evil traits of the idolaters. For by throwing off the yoke of Torah, which is seventy shining countenances, he is overpowered by seventy darkened countenances, which is the rule and evil traits of the idolaters—this being the aspect of “the yoke of government” and “the yoke of worldly responsibilities.”","וְכָל מִי שֶׁיֵּשׁ בּוֹ מִדּוֹת רָעוֹת, הוּא נִכְנָע תַּחַת אוֹתָם הָעַכּוּ""ם, שֶׁהֵם כְּרוּכִים וּמְקֻשָּׁרִים לְאוֹתָם הַמִּדּוֹת רָעוֹת. וְזֶהוּ (אבות פ""ג): כָּל הַפּוֹרֵק מִמֶּנּוּ עֹל תּוֹרָה, נוֹתְנִין עָלָיו עֹל מַלְכוּת וְעֹל דֶּרֶךְ אֶרֶץ; הַיְנוּ שִׁעְבּוּד בְּגַשְׁמִיּוּת, שֶׁזֶּהוּ בְּחִינַת עֹל מַלְכוּת. וְגַם דֶּרֶךְ אַרְצִיּוּת, דְּהַיְנוּ הַמִּדּוֹת רָעוֹת שֶׁל הָעַכּוּ""ם, שֶׁזֶּהוּ בְּחִינַת עֹל דֶּרֶךְ אֶרֶץ. כִּי עַל־יְדֵי שֶׁפָּרַק מִמֶּנּוּ עֹל תּוֹרָה, שֶׁהִיא בְּחִינַת ע' אַנְפִּין נְהִירִין, עַל־יְדֵי־זֶה מִתְגַּבְּרִין עָלָיו בְּחִינַת ע' אַנְפִּין חֲשׁוּכִין, שֶׁהֵם הַשִּׁעְבּוּד וְהַמִּדּוֹת רָעוֹת שֶׁל הָעַכּוּ""ם, שֶׁזֶּהוּ בְּחִינַת עֹל מַלְכוּת וְעֹל דֶּרֶךְ אֶרֶץ כַּנַּ""ל. "
101,8,"However, “Whoever takes upon himself the yoke of Torah, has removed from him the yoke of government and the yoke of <i>derekh eretz</i> .” That is, someone who studies in depth—he thoroughly explores and understands the Torah’s wisdom, which is the aspect of a shining countenance, as in (Ecclesia st es 8:1), “A person’s wisdom illuminates his face,” &lt;i.e., the countenance of the Torah&gt;—accordingly “has removed from him the yoke of government and the yoke of <i>derekh eretz</i> .” He eliminates from himself the yoke of their evil desires and traits, which are the aspect of a darkened countenance, by taking upon himself the yoke of Torah, which is the aspect of a shining countenance.","אֲבָל כָּל הַמְקַבֵּל עָלָיו עֹל תּוֹרָה, מַעֲבִירִין מִמֶּנּוּ עֹל מַלְכוּת וְעֹל דֶּרֶךְ אֶרֶץ; הַיְנוּ מִי שֶׁלּוֹמֵד בְּעִיּוּן, שֶׁמְּעַיֵּן וּמֵבִין חָכְמוֹת הַתּוֹרָה, שֶׁזֶּהוּ בְּחִינַת אַנְפִּין נְהִירִין, בְּחִינַת (קהלת ח): חָכְמַת אָדָם תָּאִיר פָּנָיו, עַל־יְדֵי־זֶה מַעֲבִירִין מִמֶּנּוּ עֹל מַלְכוּת וְעֹל דֶּרֶךְ אֶרֶץ, כִּי נִתְבַּטֵּל מִמֶּנּוּ הַשִּׁעְבּוּד וְהַתַּאֲווֹת וְהַמִּדּוֹת רָעוֹת שֶׁלָּהֶם, שֶׁהֵם בְּחִינַת אַנְפִּין חֲשׁוּכִין, עַל־יְדֵי שֶׁקִּבֵּל עָלָיו עֹל תּוֹרָה, שֶׁהִיא בְּחִינַת אַנְפִּין נְהִירִין כַּנַּ""ל. "
101,9,"For whatever a person comprehends with his intellect is the aspect of a shining countenance, and that which he fails to comprehend is the aspect of a darkened countenance. Consequently, when a person merits thoroughly exploring the Torah until he comprehends its wisdom, and thus is in the aspect of a shining countenance, he can subdue the traits and desires of idolaters, who are in the grip of the aspect of a darkened countenance.","כִּי כָּל מַה שֶּׁאָדָם מַשִּׂיג בְּשִׂכְלוֹ, הוּא בְּחִינַת אַנְפִּין נְהִירִין, וּמַה שֶּׁאֵינוֹ מַשִּׂיג, הוּא בְּחִינַת אַנְפִּין חֲשׁוּכִין. וְעַל כֵּן כְּשֶׁזּוֹכֶה לְעַיֵּן בַּתּוֹרָה, עַד שֶׁמַּשִּׂיג חָכְמוֹת הַתּוֹרָה, שֶׁאֲזַי הוּא בִּבְחִינַת אַנְפִּין נְהִירִין, אָז נִכְנָעִין הַמִּדּוֹת וְהַתַּאֲווֹת שֶׁל הָעַכּוּ""ם, שֶׁנֶּאֱחָזִין בִּבְחִינַת אַנְפִּין חֲשׁוּכִין כַּנַּ""ל. "
101,10,"This is the meaning of “He established the boundaries of the nations <i>l’mispar</i> (according to the number) of the Children of Israel” (Deuteronomy 32:8). “<i>L’miSPaR</i> is a conjugate of “a brick of <i>SaPiR</i> (sapphire)” (Exodus 24:10). In other words, according to the shining countenances, which correspond to the <i>miSPaR</i> of the Children of Israel, “He fixes the boundaries of the nations,” which correspond to darkened countenances, as explained above.","וְזֶהוּ בְּחִינַת (דברים לב): יַצֵּב גְּבוּלוֹת עַמִּים לְמִסְפַּר בְּנֵי יִשְׂרָאֵל. לְמִסְפַּר, הוּא לְשׁוֹן סַפִּיר וּנְהִיר, בְּחִינַת (שמות כד): לִבְנַת הַסַּפִּיר. הַיְנוּ: אַחַר אַנְפִּין נְהִירִין, שֶׁהֵם בְּחִינַת מִסְפַּר בְּנֵי יִשְׂרָאֵל, אַחֲרֵיהֶם: יַצֵּב גְּבוּלוֹת עַמִּים, שֶׁהֵם בְּחִינַת אַנְפִּין חֲשׁוּכִין כַּנַּ""ל: "
101,11,"<b>3.</b> Now, each and every person has within him the aspect of a shining countenance, this being the sanctity of Israel, the holy people, who in their essence are distant from all the [evil] traits and desires. Yet the seventy nations, which are the darkened countenances, have a hold on him. These are the evil desires and traits, all of which stem from the seventy nations, who are the darkened countenances. This is as it is written (Psalms 106:35), “But they mingled with the nations and learned their ways”—that is, he became mixed with the evil traits inside him, which are drawn from the nations, as explained above.","וּבְכָל אָדָם וְאָדָם בְּעַצְמוֹ יֵשׁ בְּחִינַת אַנְפִּין נְהִירִין, שֶׁהֵם בְּחִינַת קְדֻשַּׁת יִשְׂרָאֵל עַם קָדוֹשׁ, הָרְחוֹקִים בְּשָׁרְשָׁם מִכָּל הַמִּדּוֹת וְהַתַּאֲווֹת. וְיֵשׁ בּוֹ אֲחִיזַת הַשִּׁבְעִים עַכּוּ""ם, שֶׁהֵם בְּחִינַת אַנְפִּין חֲשׁוּכִין, שֶׁהֵם בְּחִינַת הַתַּאֲווֹת וּמִדּוֹת רָעוֹת, שֶׁכֻּלָּם הֵם מִבְּחִינַת הַשִּׁבְעִים עַכּוּ""ם, שֶׁהֵם אַנְפִּין חֲשׁוּכִין. כְּמוֹ שֶׁכָּתוּב (תהלים קו): וַיִּתְעָרְבוּ בַגּוֹיִם וַיִּלְמְדוּ מַעֲשֵׂיהֶם; שֶׁהַיְנוּ שֶׁמְּעֹרָב בַּמִּדּוֹת רָעוֹת שֶׁבּוֹ, שֶׁנִּמְשָׁכִין מִן הַגּוֹיִם כַּנַּ""ל. "
101,12,"When a person transgresses, God forbid, the transgression and sin are etched onto his bones, as it is written (Ezekiel 32:27), “and their iniquities will be on their bones.” It is impossible to go free from this except by means of the Torah, which is the aspect of a shining countenance and the antithesis of all the [evil] desires and traits, which are the aspect of a darkened countenance, the source of all transgression, God forbid.","וּכְשֶׁאָדָם עוֹבֵר עֲבֵרָה, חַס וְשָׁלוֹם, אָז הָעֲבֵרָה וְהֶעָווֹן נֶחֱקָק עַל עַצְמוֹתָיו, כְּמוֹ שֶׁכָּתוּב (יחזקאל לב): וַתְּהִי עֲו‍ֹנוֹתָם עַל עַצְמוֹתָם. וְאִי אֶפְשָׁר לוֹ לָצֵאת מִזֶּה, כִּי אִם עַל־יְדֵי הַתּוֹרָה, שֶׁהִיא בְּחִינַת אַנְפִּין נְהִירִין, שֶׁהִיא הַהֶפֶךְ מִכָּל הַתַּאֲווֹת וְהַמִּדּוֹת, שֶׁהֵם בְּחִינַת אַנְפִּין חֲשׁוּכִין, שֶׁמִּשָּׁם נִמְשָׁכִין כָּל הָעֲבֵרוֹת, חַס וְשָׁלוֹם. "
101,13,"Aperson must exert himself in Torah and kill himself over it, as our Rabbis, of blessed memory, taught regarding the verse “This is the Torah: a man who dies in a tent” (Numbers 19:14)—the Torah is not retained except by one who kills <i>ATZMo</i> (himself) over it (Berakhot 63b). This alludes to <i>ATZMiyuto</i> (his essence), corresponding to the evil traits and evil desires, the source of all the blemishes etched onto <i>ATZMotav</i> (his bones). For he has to exert himself in Torah until he merits understanding it—that is, he goes from the aspect of a darkened countenance, which corresponds to a darkness and concealment of knowledge, to the aspect of a shining countenance, which corresponds to knowing and comprehending the Torah, as explained above.","כִּי צָרִיךְ הָאָדָם לְהִתְיַגֵּעַ בַּתּוֹרָה וּלְהָמִית עַצְמוֹ עָלֶיהָ, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (ברכות סג:) עַל פָּסוּק (במדבר יט): זֹאת הַתּוֹרָה אָדָם כִּי יָמוּת בְּאֹהֶל – אֵין הַתּוֹרָה מִתְקַיֶּמֶת אֶלָּא בְּמִי שֶׁמֵּמִית עַצְמוֹ עָלֶיהָ, דְּהַיְנוּ עַצְמִיּוּתוֹ, שֶׁהֵם בְּחִינַת הַמִּדּוֹת רָעוֹת וְהַתַּאֲווֹת רָעוֹת, שֶׁמֵּהֶם כָּל הַפְּגָמִים הַחֲקוּקִים עַל עַצְמוֹתָיו כַּנַּ""ל. כִּי צָרִיךְ לְהִתְיַגֵּעַ בְּהַתּוֹרָה עַד שֶׁיִּזְכֶּה לְהָבִין אוֹתָהּ, דְּהַיְנוּ שֶׁיֵּצֵא מִבְּחִינַת אַנְפִּין חֲשׁוּכִין, שֶׁהֵם בְּחִינַת חַשְׁכוּת וְהַסְתָּרַת הַיְדִיעָה, לִבְחִינַת אַנְפִּין נְהִירִין, שֶׁהֵם בְּחִינַת יְדִיעַת וְהַשָּׂגַת הַתּוֹרָה כַּנַּ""ל. "
101,14,"Then, he is called “<i>adam,</i>” as in “This is the Torah: <i>adam</i> (a man).” In other words, on account of the Torah he is called “<i>adam,</i>” as in, “You are referred to as ‘ <i>adam,</i> ’ but idolaters are not referred to as ‘ <i>adam</i> .’” This is because one merits being called “<i>adam</i>” primarily by means of the Torah, which is a shining countenance, the antithesis of all the evil traits and desires. By virtue of this, one is referred to as “<i>adam,</i>” as in, “This is the Torah: <i>adam</i> .” But idolaters, who are distant from the wisdom of Torah, from a shining countenance—because they correspond to a darkened countenance, for they are steeped in all the evil traits and evil desires—are therefore not referred to as “<i>adam,</i>” as explained above.","וְאָז נִקְרָא אָדָם, בְּחִינַת: זֹאת הַתּוֹרָה אָדָם, הַיְנוּ עַל־יְדֵי הַתּוֹרָה נִקְרָא אָדָם, בְּחִינַת: אַתֶּם קְרוּיִים אָדָם וְאֵין הָעַכּוּ""ם קְרוּיִים אָדָם. כִּי עִקַּר שֵׁם אָדָם זוֹכִין עַל־יְדֵי הַתּוֹרָה, שֶׁהִיא בְּחִינַת אַנְפִּין נְהִירִין, שֶׁהִיא הַהֶפֶךְ מִכָּל הַמִּדּוֹת וְהַתַּאֲווֹת רָעוֹת, שֶׁעַל־שֵׁם זֶה נִקְרָאִים אָדָם, בְּחִינַת: זֹאת הַתּוֹרָה אָדָם. אֲבָל הָעַכּוּ""ם הָרְחוֹקִים מֵחָכְמוֹת הַתּוֹרָה, מֵאַנְפִּין נְהִירִין, כִּי הֵם בְּחִינַת אַנְפִּין חֲשׁוּכִין, כִּי הֵם מְשֻׁקָּעִים בְּכָל הַמִּדּוֹת רָעוֹת וְתַאֲווֹת רָעוֹת, עַל כֵּן אֵין קְרוּיִים אָדָם וְכַנַּ""ל. "
101,15,"Integral to <i>adam</i> is the aspect of genuine intellect, namely, the wisdom of the holy Torah that one merits attaining. For there are three intellects: There is basic intellect, which is <i>Chokhmah,</i> as in “You made them all with wisdom” (Psalms 104:24). Then, when one studies and understands, it is called <i>Binah</i>. And afterwards, when one knows the Torah, it is called <i>Daat,</i> as is known. These three intellects are the aspect of hands to the Torah, corresponding to “a great hand,” “a strong hand,” and “an exalted hand” through which the Torah is received.","כִּי עִקַּר בְּחִינַת אָדָם, הוּא בְּחִינַת הַשֵּׂכֶל הָאֲמִתִּי שֶׁזּוֹכִין לְהַשִּׂיג, דְּהַיְנוּ חָכְמוֹת הַתּוֹרָה הַקְּדוֹשָׁה. כִּי יֵשׁ שָׁלֹשׁ שִׂכְלִיּוֹת: דְּהַיְנוּ שֵׂכֶל פָּשׁוּט, שֶׁהוּא בְּחִינַת חָכְמָה, בְּחִינַת (תהלים קד): כֻּלָּם בְּחָכְמָה עָשִׂיתָ. וּכְשֶׁלּוֹמֵד וּמֵבִין, זֶה נִקְרָא בִּינָה. וְאַחַר־כָּךְ כְּשֶׁיּוֹדֵעַ הַתּוֹרָה, זֶה נִקְרָא דַּעַת כַּיָּדוּעַ. וְשָׁלֹשׁ שִׂכְלִיּוּת אֵלּוּ, הֵם בְּחִינַת יָדַיִם לַתּוֹרָה: בְּחִינַת יָד הַגְּדוֹלָה וְיָד הַחֲזָקָה וְיָד הָרָמָה, שֶׁבָּהֶם מִתְקַבֶּלֶת הַתּוֹרָה. "
101,16,"These three intellects are also three times <i>Y-H</i>. This is because <i>Y-H</i> is <i>Chokhmah</i> and <i>Binah,</i> the “two friends who never separate” (Zohar III, 4a and 290a). They are encompassed in each one of the aforementioned three intellects. And the numerical value of three times <i>Y-H</i> is <i>ADaM</i>. Thus it is that integral to the appellation <i>adam</i> is the aspect of genuine intellect—i.e., the wisdom of the Torah, which is a shining countenance, the aspect of removing and breaking all the evil desires and traits, as explained above.","וְאֵלּוּ הַשְּׁלֹשָׁה שִׂכְלִיִּים, הֵם בְּחִינַת שָׁלֹשׁ פְּעָמִים י""ק. כִּי י""ק הֵם חָכְמָה וּבִינָה, שֶׁהֵם תְּרֵין רֵעִין דְּלָא מִתְפָּרְשִׁין (זוהר ויקרא ד' האזינו רצ), שֶׁהֵם כְּלוּלִים בְּכָל אֶחָד מֵהַשָּׁלֹשׁ שִׂכְלִיּוֹת הַנַּ""ל, וְשָׁלֹשׁ פְּעָמִים י""ק הוּא גִּימַטְרִיָּא אָדָם. נִמְצָא שֶׁעִקַּר שֵׁם אָדָם, הוּא בְּחִינַת הַשֵּׂכֶל הָאֲמִתִּי, דְּהַיְנוּ חָכְמוֹת הַתּוֹרָה, שֶׁהוּא בְּחִינַת אַנְפִּין נְהִירִין, בְּחִינַת הַרְחָקַת וּשְׁבִירַת כָּל הַתַּאֲווֹת וּמִדּוֹת רָעוֹת כַּנַּ""ל: "
101,17,"<b>4.</b> This is the meaning of [the opening verse]: <b>{“When <i>mrei’im</i> (evildoers) come close to consume my flesh—it is they, my foes and my enemies, who st umble and fall.”}</b> <b>When <i>mRei’Im</i> come close—</b>This corresponds to the “two <i>Rei’In</i> (friends) who never separate,” which are <i>Y-H,</i> the wisdom of the Torah, the aspect of <i>adam</i>. One must <b>to consume my flesh—</b>that is, to consume and kill my <i>atzmiyut</i> (essence), since “the Torah is not retained except by one who kills <i>atzmo</i> (himself) over it,” as explained above. ","וְזֶהוּ: בִּקְרֹב עָלַי מְרֵעִים – זֶה בְּחִינַת תְּרֵין רֵעִין דְּלָא מִתְפָּרְשִׁין, שֶׁהֵם בְּחִינַת י""ק, שֶׁהוּא חָכְמַת הַתּוֹרָה, בְּחִינַת אָדָם. צָרִיךְ לֶאֱכֹל אֶת בְּשָׂרִי – הַיְנוּ לֶאֱכֹל וּלְהָמִית הָעַצְמִיּוּת שֶׁלִּי, כִּי אֵין הַתּוֹרָה מִתְקַיֶּמֶת אֶלָּא בְּמִי שֶׁמֵּמִית עַצְמוֹ עָלֶיהָ כַּנַּ""ל. "
101,19,"And then, automatically, <b>it is they, my foes and my enemies, who st umble and fall—</b>all the foes and enemies in the grip of a darkened countenance stumble and fall. This is because the aspect of a darkened countenance is eliminated, and one merits a shining countenance, the wisdom of the Torah. This is the aspect of <i>Y-H,</i> the “two friends who never separate,” the specific reason Israel is referred to as “<i>adam,</i>” as explained above. And then, all the foes and enemies in the grip of a darkened countenance, of evil desires and traits, stumble and fall—because one merited a shining countenance.","וַאֲזַי מִמֵּילָא צָרַי וְאֹיְבַי לִי הֵמָּה כָּשְׁלוּ וְנָפָלוּ – כִּי כָּל הַצָּרִים וְהָאוֹיְבִים שֶׁנֶּאֱחָזִין בְּאַנְפִּין חֲשׁוּכִין, נִכְשָׁלִים וְנוֹפְלִים. כִּי נִתְבַּטְּלִים בְּחִינַת הָאַנְפִּין חֲשׁוּכִין, וְזוֹכֶה לְאַנְפִּין נְהִירִין, שֶׁהוּא חָכְמוֹת הַתּוֹרָה, שֶׁהוּא בְּחִינַת י""ה, בְּחִינַת תְּרֵין רֵעִין דְּלָא מִתְפָּרְשִׁין, שֶׁעַל שֵׁם זֶה דַּיְקָא נִקְרָאִין יִשְׂרָאֵל אָדָם כַּנַּ""ל. וְאָז כָּל הַצָּרִים וְהָאוֹיְבִים שֶׁנֶּאֱחָזִין בְּאַנְפִּין חֲשׁוּכִין, בְּתַאֲווֹת וּמִדּוֹת רָעוֹת, נִכְשָׁלִים וְנוֹפְלִים, כִּי זָכָה לְאַנְפִּין נְהִירִין כַּנַּ""ל: "
102,1,"“You shall be in charge of my court, and by your mouth shall all my people be supervised; [by the throne alone shall I be greater than you].” (Genesis 41:40)",אַתָּה תִּהְיֶה עַל בֵּיתִי וְעַל פִּיךָ יִשַּׁק כָּל עַמִּי (בראשית מא): 
102,2,"The matter is as follows: All that the Holy Blessed One created, He created solely for the sake of His glory (Avot 6:1)—in order to reveal His <i>Malkhut</i>. This causes the forces of evil to be subdued under the Divine Presence.","הָעִנְיָן הוּא, כִּי כָּל מַה שֶּׁבָּרָא הַקָּדוֹשׁ בָּרוּךְ הוּא לֹא בָּרָא אֶלָּא לִכְבוֹדוֹ (אבות פ""ו), כְּדֵי לְגַלּוֹת מַלְכוּתוֹ. וְעַל יְדֵי זֶה, נִכְפָפִין הַקְּלִפּוֹת תַּחַת הַשְּׁכִינָה. "
102,3,"By what means is His <i>Malkhut</i> revealed? When [God] provides Israel with abundant good, &lt;the nations of the world&gt; then acknowledge that “His <i>Malkhut</i> rules over all” (Psalms 103:19). And what enables us to draw this influx of bounty? Prayers. This is because &lt;the mouth and&gt; the letters are vessels for receiving the influx.","וּבְאֵיזֶה עִנְיָן נִתְגַּלֶּה מַלְכוּתוֹ, כְּשֶׁמַּשְׁפִּיעַ רַב טוּב לְיִשְׂרָאֵל, אָז מוֹדִים כָּל אֶחָד וְאֶחָד כִּי מַלְכוּתוֹ בַּכֹּל מָשָׁלָה (תהלים קג). וּבַמֶּה יְכוֹלִים לְהוֹרִיד הַשֶּׁפַע, עַל יְדֵי הַתְּפִלּוֹת, כִּי הַתֵּבוֹת הֵם כֵּלִים לְקַבֵּל הַשֶּׁפַע. "
